Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity RFWD2-N1,Intensity RFWD2-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.52842334622658,4.50098623350307,23.3003369184145,21.8010452032896
P05089;A0A5F9ZGN6;A0A5F9ZH78,P05089;A0A5F9ZGN6;A0A5F9ZH78,2;2;1,2;2;1,2;2;1,Arginase-1,ARG1,sp|P05089|ARGI1_HUMAN Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2;tr|A0A5F9ZGN6|A0A5F9ZGN6_HUMAN Arginase OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=1;tr|A0A5F9ZH78|A0A5F9ZH78_HUMAN Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=1,2,2,10.2,26.28142919286,25.1578073392644,4.41334328787,4.32921797042726
Q8TER5,Q8TER5,2,2,2,Rho guanine nucleotide exchange factor 40,ARHGEF40,sp|Q8TER5|ARH40_HUMAN Rho guanine nucleotide exchange factor 40 OS=Homo sapiens OX=9606 GN=ARHGEF40 PE=1 SV=3,2,2,1.3,23.5041788578327,23.5806091349586,23.6796253334967,23.2415014201461
P18847;A0A0A0MRJ2;Q5VTZ4,P18847;A0A0A0MRJ2;Q5VTZ4,2;2;2,2;2;2,2;2;2,Cyclic AMP-dependent transcription factor ATF-3,ATF3,sp|P18847|ATF3_HUMAN Cyclic AMP-dependent transcription factor ATF-3 OS=Homo sapiens OX=9606 GN=ATF3 PE=1 SV=2;tr|A0A0A0MRJ2|A0A0A0MRJ2_HUMAN Cyclic AMP-dependent transcription factor ATF-3 (Fragment) OS=Homo sapiens OX=9606 GN=ATF3 PE=1 SV=1;tr|Q5VTZ4|Q5V,2,2,18.8,25.8557159737818,25.6991174389267,4.41334328787,4.32921797042726
P21281;H0YC04;E5RGH6,P21281;H0YC04;E5RGH6,2;2;1,2;2;1,2;2;1,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,"sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1;tr|E5RGH6|E5RGH6",2,2,6.1,4.52842334622658,4.50098623350307,24.1196529398853,25.2221772795685
Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,BRISC and BRCA1-A complex member 1,BABAM1,sp|Q9NWV8|BABA1_HUMAN BRISC and BRCA1-A complex member 1 OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0QYV1|M0QYV1_HUMAN BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R3F4|M0R3F4_HUMAN BRISC and BRCA1-A c,2,2,5.8,4.52842334622658,4.50098623350307,23.1558249845697,24.2188931003175
Q9NYF8;H0YF14,Q9NYF8,23;6,22;5,2;2,Bcl-2-associated transcription factor 1,BCLAF1,sp|Q9NYF8|BCLF1_HUMAN Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2,23,2,33.4,27.9877727334658,28.6210424643169,28.9487110333719,28.5466096064255
O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,"3(2),5-bisphosphate nucleotidase 1",BPNT1,"sp|O95861|BPNT1_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1;tr|A6NF51|A6NF51_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=2;tr|F8VVW8|F8VVW8_HUMAN 3(2),5-bisphosphate nuc",2,2,6.2,4.52842334622658,4.50098623350307,23.2583935074264,24.6377122884933
P15056;H7C560;A0A2U3TZI2;A0A2R8Y8E0;A0A2R8Y467;A0A2R8YDP5,P15056;H7C560;A0A2U3TZI2;A0A2R8Y8E0;A0A2R8Y467;A0A2R8YDP5,3;3;3;3;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Serine/threonine-protein kinase B-raf,BRAF,sp|P15056|BRAF_HUMAN Serine/threonine-protein kinase B-raf OS=Homo sapiens OX=9606 GN=BRAF PE=1 SV=4;tr|H7C560|H7C560_HUMAN Serine/threonine-protein kinase B-raf OS=Homo sapiens OX=9606 GN=BRAF PE=1 SV=2;tr|A0A2U3TZI2|A0A2U3TZI2_HUMAN Serine/threonine-prot,3,2,3.0,4.52842334622658,4.50098623350307,23.6745448766351,23.4113165036904
P20290;H0Y9Y1,P20290,3;1,3;1,2;0,Transcription factor BTF3,BTF3,sp|P20290|BTF3_HUMAN Transcription factor BTF3 OS=Homo sapiens OX=9606 GN=BTF3 PE=1 SV=1,3,2,32.0,26.8407416256092,26.5417370889141,4.41334328787,4.32921797042726
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,24.0747401814924,24.3584371165142,23.3280021005752,23.0454023982834
Q6ZRI6;H3BMJ2,Q6ZRI6;H3BMJ2,2;1,2;1,2;1,Uncharacterized protein C15orf39,C15orf39,sp|Q6ZRI6|CO039_HUMAN Uncharacterized protein C15orf39 OS=Homo sapiens OX=9606 GN=C15orf39 PE=1 SV=3;tr|H3BMJ2|H3BMJ2_HUMAN Uncharacterized protein C15orf39 (Fragment) OS=Homo sapiens OX=9606 GN=C15orf39 PE=1 SV=1,2,2,2.3,4.52842334622658,4.50098623350307,24.6175087177701,24.4698740441022
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,24.2665658142311,24.2986600158148,23.4612646017837,24.3673971534476
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ELS0|K7ELS0_HUMAN Telomerase RNA component-interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ERU7|K7ERU7_HUMAN Telomerase RNA comp,2,2,21.6,4.52842334622658,4.50098623350307,24.7162819267612,24.0197949881964
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,24.0747949861987,24.3919179746318,24.251485870864,24.3178966976681
Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,2;2;2;1,2;2;2;1,2;2;2;1,Protein C9orf72,C9orf72,sp|Q96LT7|CI072_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=2;tr|A0A5F9ZHW7|A0A5F9ZHW7_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=1;tr|A0A2R8Y5K2|A0A2R8Y5K2_HUMAN Guanine nu,2,2,5.6,24.6465283876745,24.9476636886255,22.7286853344371,22.3990828273411
Q13555;Q5SWX3;A0A2Q3DQE3;Q8WU40;H0Y6G2;Q13557;H7BXS4;D6R938;E9PBG7;E9PF82;E9PBE8;E7EQE4;H7BZC6;H7C394;A0A5F9ZH90,Q13555;Q5SWX3;A0A2Q3DQE3;Q8WU40;H0Y6G2,6;6;6;5;3;2;2;2;2;2;1;1;1;1;1,6;6;6;5;3;2;2;2;2;2;1;1;1;1;1,2;2;2;1;1;0;0;0;0;0;0;0;0;0;0,Calcium/calmodulin-dependent protein kinase type II subunit gamma,CAMK2G,"sp|Q13555|KCC2G_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=4;tr|Q5SWX3|Q5SWX3_HUMAN Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, isoform CRA_n OS=Homo sapiens OX=9",6,2,12.4,26.086913039482,27.3614355607065,24.916021208057,23.8738953948087
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.52842334622658,4.50098623350307,23.7611137310158,24.0363245562864
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.52842334622658,4.50098623350307,25.5615662447535,24.3987828270151
Q8NDH2,Q8NDH2,2,2,2,Coiled-coil domain-containing protein 168,CCDC168,sp|Q8NDH2|CC168_HUMAN Coiled-coil domain-containing protein 168 OS=Homo sapiens OX=9606 GN=CCDC168 PE=2 SV=2,2,2,1.4,33.0049068242759,33.1144821695266,24.7911903185565,24.748278814889
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.52842334622658,4.50098623350307,24.3118131598024,24.3126442452505
B4DUR8,B4DUR8,11,2,2,T-complex protein 1 subunit gamma,CCT3,tr|B4DUR8|B4DUR8_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=1,11,2,29.4,4.52842334622658,4.50098623350307,23.7442721458845,23.3587724476272
P49368;Q5SZX9;E9PRC8;Q5SZX6;E9PM09,P49368,11;2;2;2;1,11;2;2;2;1,2;2;2;1;1,T-complex protein 1 subunit gamma,CCT3,sp|P49368|TCPG_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4,11,2,31.7,27.781942960764,28.6872239686151,21.774949490034,22.4825923255669
P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,20.5,22.4189777396268,22.3892416517675,23.7613166702539,24.1335944139335
Q96FF9;B5MBX0,Q96FF9;B5MBX0,2;2,2;2,2;2,Sororin,CDCA5,sp|Q96FF9|CDCA5_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1;tr|B5MBX0|B5MBX0_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1,2,2,15.5,25.4264641448076,25.5347313278212,22.2274664467279,21.9781993172643
P11802;F8VYH9;F8VTV8;F8VWX7;F8VYY1;Q96BE9;F8W1L8,P11802;F8VYH9;F8VTV8;F8VWX7,3;2;2;2;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,Cyclin-dependent kinase 4,CDK4,sp|P11802|CDK4_HUMAN Cyclin-dependent kinase 4 OS=Homo sapiens OX=9606 GN=CDK4 PE=1 SV=2;tr|F8VYH9|F8VYH9_HUMAN Cyclin-dependent kinase 4 (Fragment) OS=Homo sapiens OX=9606 GN=CDK4 PE=1 SV=1;tr|F8VTV8|F8VTV8_HUMAN Cyclin-dependent kinase 4 OS=Homo sapiens,3,2,19.5,27.8389399831477,28.5824767016154,25.430898205726,25.3835049683201
Q9NXV6;J3KNE1;D6RGD2,Q9NXV6;J3KNE1;D6RGD2,2;1;1,2;1;1,2;1;1,CDKN2A-interacting protein,CDKN2AIP,sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3;tr|J3KNE1|J3KNE1_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=1;tr|D6RGD2|D6RGD2_HUMAN CDKN2A-interacting protein OS=Homo sapiens,2,2,5.9,4.52842334622658,4.50098623350307,24.086022162004,24.2216242897802
P17676,P17676,2,2,2,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,2,2,8.7,4.52842334622658,4.50098623350307,24.6521206609293,24.3198270014465
Q96BT3;H3BUW2;H3BTR4;H3BQJ0;I3L4F8,Q96BT3;H3BUW2;H3BTR4;H3BQJ0;I3L4F8,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Centromere protein T,CENPT,sp|Q96BT3|CENPT_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=2;tr|H3BUW2|H3BUW2_HUMAN Centromere protein T (Fragment) OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=1;tr|H3BTR4|H3BTR4_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=C,2,2,4.5,4.52842334622658,4.50098623350307,22.3441384976691,22.0052517229406
O15078;J3KNF5;S4R322,O15078;J3KNF5;S4R322,2;2;1,2;2;1,2;2;1,Centrosomal protein of 290 kDa,CEP290,sp|O15078|CE290_HUMAN Centrosomal protein of 290 kDa OS=Homo sapiens OX=9606 GN=CEP290 PE=1 SV=2;tr|J3KNF5|J3KNF5_HUMAN Centrosomal protein of 290 kDa OS=Homo sapiens OX=9606 GN=CEP290 PE=1 SV=1;tr|S4R322|S4R322_HUMAN Centrosomal protein of 290 kDa (Fragme,2,2,1.0,23.3509726232248,25.5862045978521,4.41334328787,4.32921797042726
Q53EZ4;H0Y432,Q53EZ4;H0Y432,2;2,2;2,2;2,Centrosomal protein of 55 kDa,CEP55,sp|Q53EZ4|CEP55_HUMAN Centrosomal protein of 55 kDa OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=3;tr|H0Y432|H0Y432_HUMAN Centrosomal protein of 55 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=1,2,2,6.5,4.52842334622658,4.50098623350307,24.3376289790479,24.3331990359089
Q9P209;A0A0G2JR44,Q9P209;A0A0G2JR44,2;2,2;2,2;2,Centrosomal protein of 72 kDa,CEP72,sp|Q9P209|CEP72_HUMAN Centrosomal protein of 72 kDa OS=Homo sapiens OX=9606 GN=CEP72 PE=1 SV=2;tr|A0A0G2JR44|A0A0G2JR44_HUMAN Centrosomal protein of 72 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP72 PE=1 SV=1,2,2,2.5,22.4893462407191,25.0591193126479,4.41334328787,4.32921797042726
Q5JTW2;A0A2R8Y589;A0A2R8Y7U5;A8MST6;A0A2U3TZI9;A0A2R8Y5W6;A0A2R8Y432;A0A2R8YCP0;A0A2R8Y7A4;A0A2R8Y4C1,Q5JTW2;A0A2R8Y589;A0A2R8Y7U5;A8MST6;A0A2U3TZI9;A0A2R8Y5W6;A0A2R8Y432;A0A2R8YCP0;A0A2R8Y7A4;A0A2R8Y4C1,2;2;2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;2;2;1,Centrosomal protein of 78 kDa,CEP78,sp|Q5JTW2|CEP78_HUMAN Centrosomal protein of 78 kDa OS=Homo sapiens OX=9606 GN=CEP78 PE=1 SV=1;tr|A0A2R8Y589|A0A2R8Y589_HUMAN Centrosomal protein of 78 kDa OS=Homo sapiens OX=9606 GN=CEP78 PE=1 SV=1;tr|A0A2R8Y7U5|A0A2R8Y7U5_HUMAN Centrosomal protein of 78,2,2,4.1,32.3058201697077,23.0646388378808,4.41334328787,4.32921797042726
P26374,P26374,2,2,2,Rab proteins geranylgeranyltransferase component A 2,CHML,sp|P26374|RAE2_HUMAN Rab proteins geranylgeranyltransferase component A 2 OS=Homo sapiens OX=9606 GN=CHML PE=1 SV=2,2,2,4.6,24.0456550921124,23.9280477073661,23.548043898107,23.0346129351983
P53675;A0A087WX41;F5H5N6,P53675;A0A087WX41,5;5;1,2;2;1,2;2;1,Clathrin heavy chain 2,CLTCL1,sp|P53675|CLH2_HUMAN Clathrin heavy chain 2 OS=Homo sapiens OX=9606 GN=CLTCL1 PE=1 SV=2;tr|A0A087WX41|A0A087WX41_HUMAN Clathrin heavy chain 2 OS=Homo sapiens OX=9606 GN=CLTCL1 PE=1 SV=1,5,2,5.2,25.0296427741527,25.1792522914562,28.9777649313166,25.3905082762533
Q9P218,Q9P218,2,2,2,Collagen alpha-1(XX) chain,COL20A1,sp|Q9P218|COKA1_HUMAN Collagen alpha-1(XX) chain OS=Homo sapiens OX=9606 GN=COL20A1 PE=1 SV=4,2,2,3.8,27.8843098165107,27.0630140074198,22.9186347125084,22.6355649176901
Q9UNS2;J3QL22;J3QS85;J3KTQ1;J3QKR0;C9JLV5;H7C3P9,Q9UNS2;J3QL22;J3QS85;J3KTQ1;J3QKR0;C9JLV5;H7C3P9,2;1;1;1;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,COP9 signalosome complex subunit 3,COPS3,sp|Q9UNS2|CSN3_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3;tr|J3QL22|J3QL22_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=1;tr|J3QS85|J3QS85_HUMAN COP9 signalosome complex subunit,2,2,6.6,4.52842334622658,4.50098623350307,23.6817462749172,25.1115174572741
Q9UBL6;E9PJ31,Q9UBL6,3;1,2;1,2;1,Copine-7,CPNE7,sp|Q9UBL6|CPNE7_HUMAN Copine-7 OS=Homo sapiens OX=9606 GN=CPNE7 PE=1 SV=1,3,2,9.5,24.5462784134394,25.8767072976828,25.5378794956624,25.2270344715311
Q9P2I0;H0YJF4,Q9P2I0;H0YJF4,2;1,2;1,2;1,Cleavage and polyadenylation specificity factor subunit 2,CPSF2,sp|Q9P2I0|CPSF2_HUMAN Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens OX=9606 GN=CPSF2 PE=1 SV=2;tr|H0YJF4|H0YJF4_HUMAN Cleavage and polyadenylation specificity factor subunit 2 (Fragment) OS=Homo sapiens OX=9606 GN=CPSF2 PE=1 SV=,2,2,3.7,23.7882738794994,23.347462414581,22.3133502916523,23.6696878581068
