Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity RBBP4_N1,Intensity RBBP4_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q69YH5;E9PEI0,Q69YH5;E9PEI0,2;2,2;2,2;2,Cell division cycle-associated protein 2,CDCA2,sp|Q69YH5|CDCA2_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=2;tr|E9PEI0|E9PEI0_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=1,2,2,2.8,4.31753116899141,4.15777444202647,23.9223419472326,23.1943174135048
Q9NYV4;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;J3QSD7;A0A2R8Y4Z0,Q9NYV4;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;J3QSD7;A0A2R8Y4Z0,3;2;2;2;2;2;2;2;2;2;2,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,Cyclin-dependent kinase 12;Cyclin-dependent kinase 13,CDK12;CDK13,sp|Q9NYV4|CDK12_HUMAN Cyclin-dependent kinase 12 OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=2;sp|Q14004|CDK13_HUMAN Cyclin-dependent kinase 13 OS=Homo sapiens OX=9606 GN=CDK13 PE=1 SV=2;tr|A0A2R8YEB7|A0A2R8YEB7_HUMAN Cyclin-dependent kinase 13 (Fragment) OS=,3,2,2.7,4.31753116899141,4.15777444202647,24.8146516958088,24.3059125583627
Q96SN8;F8WCI3;A0A0A0MRG9;B1AMJ5,Q96SN8;F8WCI3;A0A0A0MRG9;B1AMJ5,2;2;2;1,2;2;2;1,2;2;2;1,CDK5 regulatory subunit-associated protein 2,CDK5RAP2,sp|Q96SN8|CK5P2_HUMAN CDK5 regulatory subunit-associated protein 2 OS=Homo sapiens OX=9606 GN=CDK5RAP2 PE=1 SV=5;tr|F8WCI3|F8WCI3_HUMAN CDK5 regulatory subunit-associated protein 2 OS=Homo sapiens OX=9606 GN=CDK5RAP2 PE=1 SV=1;tr|A0A0A0MRG9|A0A0A0MRG9_HUMA,2,2,1.5,24.4486552508025,24.2751895820331,23.5189335602606,23.1269296787887
Q9NXV6;J3KNE1;D6RGD2,Q9NXV6;J3KNE1;D6RGD2,2;1;1,2;1;1,2;1;1,CDKN2A-interacting protein,CDKN2AIP,sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3;tr|J3KNE1|J3KNE1_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=1;tr|D6RGD2|D6RGD2_HUMAN CDKN2A-interacting protein OS=Homo sapiens,2,2,5.9,4.31753116899141,4.15777444202647,24.086022162004,24.2216242897802
P17676,P17676,2,2,2,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,2,2,8.7,4.31753116899141,4.15777444202647,24.6521206609293,24.3198270014465
Q96BT3;H3BUW2;H3BTR4;H3BQJ0;I3L4F8,Q96BT3;H3BUW2;H3BTR4;H3BQJ0;I3L4F8,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Centromere protein T,CENPT,sp|Q96BT3|CENPT_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=2;tr|H3BUW2|H3BUW2_HUMAN Centromere protein T (Fragment) OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=1;tr|H3BTR4|H3BTR4_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=C,2,2,4.5,4.31753116899141,4.15777444202647,23.258708890675,22.0052517229406
Q53EZ4;H0Y432,Q53EZ4;H0Y432,2;2,2;2,2;2,Centrosomal protein of 55 kDa,CEP55,sp|Q53EZ4|CEP55_HUMAN Centrosomal protein of 55 kDa OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=3;tr|H0Y432|H0Y432_HUMAN Centrosomal protein of 55 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=1,2,2,6.5,4.31753116899141,4.15777444202647,24.3376289790479,24.3331990359089
Q3L8U1;H3BTW3;A0A087WU44,Q3L8U1;H3BTW3,12;12;3,2;2;1,2;2;1,Chromodomain-helicase-DNA-binding protein 9,CHD9,sp|Q3L8U1|CHD9_HUMAN Chromodomain-helicase-DNA-binding protein 9 OS=Homo sapiens OX=9606 GN=CHD9 PE=1 SV=2;tr|H3BTW3|H3BTW3_HUMAN Chromodomain-helicase-DNA-binding protein 9 OS=Homo sapiens OX=9606 GN=CHD9 PE=1 SV=9,12,2,6.1,25.8348799415172,23.176029453048,24.2332086423941,22.9768717372807
Q9UNS2;J3QL22;J3QS85;J3KTQ1;J3QKR0;C9JLV5;H7C3P9,Q9UNS2;J3QL22;J3QS85;J3KTQ1;J3QKR0;C9JLV5;H7C3P9,2;1;1;1;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,COP9 signalosome complex subunit 3,COPS3,sp|Q9UNS2|CSN3_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3;tr|J3QL22|J3QL22_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=1;tr|J3QS85|J3QS85_HUMAN COP9 signalosome complex subunit,2,2,6.6,4.31753116899141,4.15777444202647,23.6817462749172,23.971057941226
Q16527;F8VW96;F8VQR7,Q16527;F8VW96;F8VQR7,2;2;1,2;2;1,2;2;1,Cysteine and glycine-rich protein 2,CSRP2,sp|Q16527|CSRP2_HUMAN Cysteine and glycine-rich protein 2 OS=Homo sapiens OX=9606 GN=CSRP2 PE=1 SV=3;tr|F8VW96|F8VW96_HUMAN Cysteine and glycine-rich protein 2 OS=Homo sapiens OX=9606 GN=CSRP2 PE=1 SV=1;tr|F8VQR7|F8VQR7_HUMAN Cysteine and glycine-rich prot,2,2,14.5,24.3602469792724,21.4777345543521,4.51593238036728,4.43639371883917
