Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF15-N1,Intensity DCAF15-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q495B1;D6RD28;A0A0C4DFZ5;A0A0C4DGZ7,Q495B1;D6RD28;A0A0C4DFZ5;A0A0C4DGZ7,2;1;1;1,2;1;1;1,2;1;1;1,Ankyrin repeat and death domain-containing protein 1A,ANKDD1A,sp|Q495B1|AKD1A_HUMAN Ankyrin repeat and death domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKDD1A PE=2 SV=2;tr|D6RD28|D6RD28_HUMAN Ankyrin repeat and death domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKDD1A PE=4 SV=1;tr|A0A0C4DFZ5,2,2,3.4,24.7864820963165,26.5846285864287,23.3721221777558,24.4093984055949
H7C0V5,H7C0V5,5,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,5,2,12.6,4.03091735632192,4.10929759460997,22.7074829937707,24.4367608419954
Q6AI12,Q6AI12,2,2,2,Ankyrin repeat domain-containing protein 40,ANKRD40,sp|Q6AI12|ANR40_HUMAN Ankyrin repeat domain-containing protein 40 OS=Homo sapiens OX=9606 GN=ANKRD40 PE=1 SV=2,2,2,4.9,4.03091735632192,4.10929759460997,23.4332624725697,24.0672170058244
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.03091735632192,4.10929759460997,23.3003369184145,21.8010452032896
P05089;A0A5F9ZGN6,P05089;A0A5F9ZGN6,2;2,2;2,2;2,Arginase-1,ARG1,sp|P05089|ARGI1_HUMAN Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2;tr|A0A5F9ZGN6|A0A5F9ZGN6_HUMAN Arginase OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=1,2,2,5.9,21.6002277219321,22.6914913634998,4.54149659875415,4.45675807233791
Q68EM7;I3L4P6;C9IZD3,Q68EM7;I3L4P6;C9IZD3,2;1;1,2;1;1,2;1;1,Rho GTPase-activating protein 17,ARHGAP17,sp|Q68EM7|RHG17_HUMAN Rho GTPase-activating protein 17 OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|I3L4P6|I3L4P6_HUMAN Rho GTPase-activating protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|C9IZD3|C9IZD3_HUMAN Rho GTPase-activati,2,2,2.6,4.03091735632192,4.10929759460997,24.4218819696263,24.2214767900315
P52565;J3QQX2;J3KTF8;J3KRE2,P52565;J3QQX2;J3KTF8;J3KRE2,2;2;2;1,2;2;2;1,2;2;2;1,Rho GDP-dissociation inhibitor 1,ARHGDIA,sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3;tr|J3QQX2|J3QQX2_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=1;tr|J3KTF8|J3KTF8_HUMAN Rho GDP-dissociation inhibitor 1,2,2,14.2,4.03091735632192,4.10929759460997,25.99595566793,26.137156577394
Q8IVW6;Q99856;H3BQ92;K7EJ04,Q8IVW6;Q99856;H3BQ92;K7EJ04,2;1;1;1,2;1;1;1,2;1;1;1,AT-rich interactive domain-containing protein 3B;AT-rich interactive domain-containing protein 3A,ARID3B;ARID3A,sp|Q8IVW6|ARI3B_HUMAN AT-rich interactive domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ARID3B PE=1 SV=2;sp|Q99856|ARI3A_HUMAN AT-rich interactive domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ARID3A PE=1 SV=2;tr|H3BQ92|H3BQ92_HUMAN AT-,2,2,5.0,4.03091735632192,4.10929759460997,24.7837172630966,24.0299459224492
P59998;F8WDD7;F8WCF6;A0A0A6YYG9;R4GN08,P59998;F8WDD7;F8WCF6;A0A0A6YYG9;R4GN08,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,Actin-related protein 2/3 complex subunit 4,ARPC4;ARPC4-TTLL3,sp|P59998|ARPC4_HUMAN Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=3;tr|F8WDD7|F8WDD7_HUMAN Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=4 SV=1;tr|F8WCF6|F8WCF6_HUMAN Actin-related,2,2,13.1,4.03091735632192,4.10929759460997,24.509541138038,24.3766221520134
P20020;E7ERY9;Q16720;Q01814;H7BZS8;H0YHH6;A0A0U1RQU3;A0A2R8Y4R4;A0A2U3U055;A0A2U3TZI3,P20020;E7ERY9,5;3;2;1;1;1;1;1;1;1,5;3;2;1;1;1;1;1;1;1,2;1;0;0;0;0;0;0;0;0,Plasma membrane calcium-transporting ATPase 1;Calcium-transporting ATPase,ATP2B1,sp|P20020|AT2B1_HUMAN Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=4;tr|E7ERY9|E7ERY9_HUMAN Calcium-transporting ATPase OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=2,5,2,5.8,4.03091735632192,4.10929759460997,24.0099222209353,25.346617339614
Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,BRISC and BRCA1-A complex member 1,BABAM1,sp|Q9NWV8|BABA1_HUMAN BRISC and BRCA1-A complex member 1 OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0QYV1|M0QYV1_HUMAN BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R3F4|M0R3F4_HUMAN BRISC and BRCA1-A c,2,2,5.8,4.03091735632192,4.10929759460997,23.1558249845697,24.2188931003175
O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,"3(2),5-bisphosphate nucleotidase 1",BPNT1,"sp|O95861|BPNT1_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1;tr|A6NF51|A6NF51_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=2;tr|F8VVW8|F8VVW8_HUMAN 3(2),5-bisphosphate nuc",2,2,6.2,4.03091735632192,4.10929759460997,23.2583935074264,24.6377122884933
Q9UPA5,Q9UPA5,2,2,2,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,2,2,0.9,4.03091735632192,4.10929759460997,23.7839669896107,24.735467191381
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,4.03091735632192,4.10929759460997,23.3280021005752,23.0454023982834
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,4.03091735632192,4.10929759460997,23.4612646017837,24.3673971534476
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ELS0|K7ELS0_HUMAN Telomerase RNA component-interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ERU7|K7ERU7_HUMAN Telomerase RNA comp,2,2,21.6,4.03091735632192,4.10929759460997,24.7162819267612,24.0197949881964
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,4.03091735632192,4.10929759460997,24.849789800607,24.3178966976681
Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,2;1;1;1,2;1;1;1,2;1;1;1,Cactin,CACTIN,sp|Q8WUQ7|CATIN_HUMAN Cactin OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=3;tr|K7EIU6|K7EIU6_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7EMQ0|K7EMQ0_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7ENY9|K7E,2,2,4.1,4.03091735632192,4.10929759460997,24.5644911396355,24.0666929644928
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.03091735632192,4.10929759460997,23.7611137310158,24.0363245562864
Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,Chromobox protein homolog 3;Chromobox protein homolog 1,CBX3;CBX1,"sp|Q13185|CBX3_HUMAN Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4;sp|P83916|CBX1_HUMAN Chromobox protein homolog 1 OS=Homo sapiens OX=9606 GN=CBX1 PE=1 SV=1;tr|B8ZZ43|B8ZZ43_HUMAN Chromobox homolog 3 (HP1 gamma homolog, Drosophila)",2,2,16.4,4.03091735632192,4.10929759460997,24.9146989939742,25.2625929734968
Q9P2K1;A0A140T8Y7;H0Y941;A0A494C0X1,Q9P2K1;A0A140T8Y7;H0Y941;A0A494C0X1,2;2;1;1,2;2;1;1,2;2;1;1,Coiled-coil and C2 domain-containing protein 2A,CC2D2A,sp|Q9P2K1|C2D2A_HUMAN Coiled-coil and C2 domain-containing protein 2A OS=Homo sapiens OX=9606 GN=CC2D2A PE=1 SV=3;tr|A0A140T8Y7|A0A140T8Y7_HUMAN Coiled-coil and C2 domain-containing protein 2A (Fragment) OS=Homo sapiens OX=9606 GN=CC2D2A PE=1 SV=2;tr|H0Y94,2,2,1.9,22.9215794713851,24.4784207331042,27.3784864341902,27.2696363668668
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.03091735632192,4.10929759460997,25.0788345594308,24.3987828270151
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.03091735632192,4.10929759460997,24.3118131598024,24.3126442452505
P14635;E9PC90;D6RHI0,P14635;E9PC90;D6RHI0,2;2;1,2;2;1,2;2;1,G2/mitotic-specific cyclin-B1,CCNB1,sp|P14635|CCNB1_HUMAN G2/mitotic-specific cyclin-B1 OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1;tr|E9PC90|E9PC90_HUMAN G2/mitotic-specific cyclin-B1 (Fragment) OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1;tr|D6RHI0|D6RHI0_HUMAN G2/mitotic-specific cyclin-B1 (,2,2,4.2,4.03091735632192,4.10929759460997,23.8766143659587,22.7477381678077
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2,2,15.0,4.03091735632192,4.10929759460997,24.5936031234191,24.6954581299705
B4DUR8,B4DUR8,3,3,2,T-complex protein 1 subunit gamma,CCT3,tr|B4DUR8|B4DUR8_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=1,3,2,6.2,4.03091735632192,4.10929759460997,23.7442721458845,23.9861566085466
Q99832;F8WAM2,Q99832;F8WAM2,2;1,2;1,2;1,T-complex protein 1 subunit eta,CCT7,sp|Q99832|TCPH_HUMAN T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2;tr|F8WAM2|F8WAM2_HUMAN T-complex protein 1 subunit eta (Fragment) OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=1,2,2,4.2,23.2081949385125,23.8270650882508,26.2421631751837,26.0111335004918
P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,20.5,21.1800691920827,21.709314399638,23.7613166702539,24.1335944139335
Q69YH5;E9PEI0,Q69YH5;E9PEI0,2;2,2;2,2;2,Cell division cycle-associated protein 2,CDCA2,sp|Q69YH5|CDCA2_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=2;tr|E9PEI0|E9PEI0_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=1,2,2,2.8,4.03091735632192,4.10929759460997,23.9223419472326,23.1943174135048
Q96FF9;B5MBX0,Q96FF9;B5MBX0,2;2,2;2,2;2,Sororin,CDCA5,sp|Q96FF9|CDCA5_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1;tr|B5MBX0|B5MBX0_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1,2,2,15.1,4.03091735632192,4.10929759460997,23.9078405442646,21.9781993172643
Q9NXV6;J3KNE1;D6RGD2,Q9NXV6;J3KNE1;D6RGD2,2;1;1,2;1;1,2;1;1,CDKN2A-interacting protein,CDKN2AIP,sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3;tr|J3KNE1|J3KNE1_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=1;tr|D6RGD2|D6RGD2_HUMAN CDKN2A-interacting protein OS=Homo sapiens,2,2,5.9,4.03091735632192,4.10929759460997,24.086022162004,24.2216242897802
P17676,P17676,2,2,2,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,2,2,8.7,4.03091735632192,4.10929759460997,24.6521206609293,24.3198270014465
Q96BT3;H3BUW2;H3BTR4;H3BQJ0;I3L4F8,Q96BT3;H3BUW2;H3BTR4;H3BQJ0;I3L4F8,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Centromere protein T,CENPT,sp|Q96BT3|CENPT_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=2;tr|H3BUW2|H3BUW2_HUMAN Centromere protein T (Fragment) OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=1;tr|H3BTR4|H3BTR4_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=C,2,2,4.5,4.03091735632192,4.10929759460997,23.5500839966661,22.0052517229406
Q53EZ4;H0Y432,Q53EZ4;H0Y432,2;2,2;2,2;2,Centrosomal protein of 55 kDa,CEP55,sp|Q53EZ4|CEP55_HUMAN Centrosomal protein of 55 kDa OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=3;tr|H0Y432|H0Y432_HUMAN Centrosomal protein of 55 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=1,2,2,6.5,4.03091735632192,4.10929759460997,24.3376289790479,22.7906436078291
Q96G28;B5MC35;B5MD16;B5MCA1,Q96G28;B5MC35;B5MD16;B5MCA1,2;1;1;1,2;1;1;1,2;1;1;1,Cilia- and flagella-associated protein 36,CFAP36,sp|Q96G28|CFA36_HUMAN Cilia- and flagella-associated protein 36 OS=Homo sapiens OX=9606 GN=CFAP36 PE=1 SV=2;tr|B5MC35|B5MC35_HUMAN Cilia- and flagella-associated protein 36 OS=Homo sapiens OX=9606 GN=CFAP36 PE=1 SV=1;tr|B5MD16|B5MD16_HUMAN Cilia- and flage,2,2,9.9,4.03091735632192,4.10929759460997,23.6499849976521,23.5138837016405
O14578;H7BYJ3,O14578;H7BYJ3,2;2,2;2,2;2,Citron Rho-interacting kinase,CIT,sp|O14578|CTRO_HUMAN Citron Rho-interacting kinase OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=2;tr|H7BYJ3|H7BYJ3_HUMAN Citron Rho-interacting kinase (Fragment) OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=1,2,2,1.1,4.03091735632192,4.10929759460997,24.0806653135036,21.3780894896174
Q99715;D6RGG3;H0Y4P7;A0A087X0A8,Q99715;D6RGG3;H0Y4P7;A0A087X0A8,2;2;1;1,2;2;1;1,2;2;1;1,Collagen alpha-1(XII) chain,COL12A1,sp|Q99715|COCA1_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2;tr|D6RGG3|D6RGG3_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=1;tr|H0Y4P7|H0Y4P7_HUMAN Collagen alpha-1(XII) chain (Fragment) OS=,2,2,0.6,4.03091735632192,4.10929759460997,25.8843214628414,25.5516602366488
J3QS85;Q9UNS2;J3QL22;J3KTQ1;J3QKR0;C9JLV5,J3QS85;Q9UNS2;J3QL22;J3KTQ1;J3QKR0;C9JLV5,2;1;1;1;1;1,2;1;1;1;1;1,2;1;1;1;1;1,COP9 signalosome complex subunit 3,COPS3,tr|J3QS85|J3QS85_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=1;sp|Q9UNS2|CSN3_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3;tr|J3QL22|J3QL22_HUMAN COP9 signalosome complex subunit,2,2,80.6,21.5241319726216,22.7007902026661,24.390382156095,22.8277435246804
Q92905;E5RHF2;E5RHH5,Q92905;E5RHF2;E5RHH5,2;1;1,2;1;1,2;1;1,COP9 signalosome complex subunit 5,COPS5,sp|Q92905|CSN5_HUMAN COP9 signalosome complex subunit 5 OS=Homo sapiens OX=9606 GN=COPS5 PE=1 SV=4;tr|E5RHF2|E5RHF2_HUMAN COP9 signalosome complex subunit 5 (Fragment) OS=Homo sapiens OX=9606 GN=COPS5 PE=1 SV=1;tr|E5RHH5|E5RHH5_HUMAN COP9 signalosome compl,2,2,8.7,4.03091735632192,4.10929759460997,22.8459991493951,22.9199260566552
P04080;A0A1W2PS52,P04080;A0A1W2PS52,2;1,2;1,2;1,Cystatin-B,CSTB,sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2;tr|A0A1W2PS52|A0A1W2PS52_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=1,2,2,24.5,21.243187932731,27.4074640917509,24.402300643813,24.1044560668272
