Gene_names,AMBRA1_vs_BirA_logFC,AMBRA1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DCAF3_N1,Peptides_DCAF3_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DCAF3_N1,Razor___unique_peptides_DCAF3_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DCAF3_N1,Unique_peptides_DCAF3_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DCAF3_N1,Identification_type_DCAF3_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DCAF3_N1,Ratio_H_L_DCAF3_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DCAF3_N1,Ratio_H_L_normalized_DCAF3_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DCAF3_N1,Ratio_H_L_variability_____DCAF3_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DCAF3_N1,Ratio_H_L_count_DCAF3_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DCAF3_N1,Ratio_H_L_iso_count_DCAF3_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DCAF3_N1,Ratio_H_L_type_DCAF3_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DCAF3_N1____,Sequence_coverage_DCAF3_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DCAF3_N1,Intensity_L_DCAF3_N1,Intensity_H_DCAF3_N1,Intensity_DCAF3_N2,Intensity_L_DCAF3_N2,Intensity_H_DCAF3_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF3_N1,metacell_Intensity_L_DCAF3_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
LYPLA2,-0.307362885243784,0.695655158568077,O95372;Q5QPQ1;Q5QPN5;Q5QPN9;Q5QPQ0;Q5QPQ3;Q5QPQ2,O95372;Q5QPQ1;Q5QPN5;Q5QPN9;Q5QPQ0;Q5QPQ3;Q5QPQ2,4;3;2;2;2;2;2,4;3;2;2;2;2;2,4;3;2;2;2;2;2,Acyl-protein thioesterase 2,sp|O95372|LYPA2_HUMAN Acyl-protein thioesterase 2 OS=Homo sapiens OX=9606 GN=LYPLA2 PE=1 SV=1;tr|Q5QPQ1|Q5QPQ1_HUMAN Acyl-protein thioesterase 2 (Fragment) OS=Homo sapiens OX=9606 GN=LYPLA2 PE=1 SV=1;tr|Q5QPN5|Q5QPN5_HUMAN Acyl-protein thioesterase 2 (Frag,7,4,4,4,2,2,1,3,2,2,1,3,2,2,1,3,19.0,19.0,19.0,24.737,231,231;162;90;137;164;180;182,0.0,5.1492,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.57404,0.7793,62.613,8,4,Median,0.37578,0.43087,0.86636,0.57207,1.0584,1.0169,0.9456,0.60863,70.641,70.914,,77.078,2,2,1,3,0,1,1,2,Median,Median,Median,Median,7.8,7.8,7.8,14.7,246690000,147180000,99508000,46301000,30587000,15714000,52256000,31742000,20514000,23690000,12624000,11066000,124440000,72226000,52214000,,,,1172,2567;3719;6794;16928,True;True;True;True,3283;4699;8703;21219,7653;7654;10679;10680;19655;19656;19657;47959,12923;12924;12925;17587;17588;32320;32321;78432,12924;17587;32321;78432,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1173,quanti,quanti,quanti,quanti
IPO7,1.49015468434346,0.0109083525405311,O95373;E9PLJ0;E9PLB2,O95373,15;2;1,15;2;1,15;2;1,Importin-7,sp|O95373|IPO7_HUMAN Importin-7 OS=Homo sapiens OX=9606 GN=IPO7 PE=1 SV=1,3,15,15,15,3,3,11,6,3,3,11,6,3,3,11,6,17.3,17.3,17.3,119.52,1038,1038;64;130,0.0,17.711,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27571,0.82827,16.917,19,13,Leave out requantified,0.31143,0.2775,0.17817,0.091711,0.86592,0.76331,0.19548,0.12659,10.28,15.242,67.447,78.209,3,3,8,5,0,0,8,5,Leave out requantified,Leave out requantified,Median,Median,5.2,5.6,14.0,8.3,1069100000,925060000,144040000,121880000,97615000,24262000,148140000,114320000,33821000,436640000,378890000,57753000,362440000,334240000,28201000,,,,1173,478;836;3524;4119;4768;5646;7719;10279;10280;11404;11405;11985;13370;14442;15831,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,593;1051;1052;4460;5186;6042;7229;9838;12979;12980;14356;14357;15084;16792;18109;19867,1371;1372;2465;2466;2467;2468;2469;10127;11725;11726;13583;16291;16292;22152;29311;29312;29313;32383;32384;33901;37791;40822;44891;44892,2289;2290;2291;4078;4079;4080;4081;4082;4083;4084;4085;16722;19336;19337;22403;26686;26687;26688;36360;47653;47654;47655;52692;52693;52694;55117;61417;66698;73458;73459,2291;4084;16722;19337;22403;26688;36360;47653;47655;52693;52694;55117;61417;66698;73459,,,,,-1;-1;-1,protein_1174,quanti,quanti,quanti,quanti
AHSA1,-0.122859655236638,0.743717468620958,O95433;G3V438;G3V3W9;H0YJU2;H0YJG7;H0YJ63,O95433;G3V438,8;5;3;3;3;2,8;5;3;3;3;2,8;5;3;3;3;2,Activator of 90 kDa heat shock protein ATPase homolog 1,sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr|G3V438|G3V438_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,6,8,8,8,3,3,5,5,3,3,5,5,3,3,5,5,22.5,22.5,22.5,38.274,338,338;203;100;133;216;90,0.0,22.975,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43193,1.3237,11.76,16,7,Leave out requantified,0.40767,0.45082,0.10067,0.1021,1.3238,1.2295,0.11849,0.11789,12.316,10.494,88.967,55.583,4,4,4,4,0,0,3,4,Leave out requantified,Leave out requantified,Median,Median,11.8,11.8,14.2,16.3,1255700000,994660000,261010000,331440000,239700000,91742000,336390000,233430000,102960000,307260000,272330000,34932000,280570000,249190000,31374000,,,,1176,311;993;2369;2916;3436;7073;17333;17334,True;True;True;True;True;True;True;True,388;389;1264;3027;3718;4351;9024;21723;21724,882;883;884;2943;2944;7086;7087;8617;9908;9909;20380;20381;20382;49051;49052;49053;49054;49055;49056,1508;1509;1510;1511;4930;4931;11950;11951;14397;16378;16379;16380;16381;16382;16383;33479;33480;33481;33482;80193;80194;80195;80196;80197;80198;80199;80200;80201;80202;80203;80204;80205;80206;80207,1510;4931;11950;14397;16381;33481;80193;80207,,,,,-1;-1;-1;-1;-1;-1,protein_1177,quanti,quanti,quanti,quanti
AP2A1,0.765948005734082,0.0704752945926581,O95782;O94973;M0R2D9;E9PR62;A0A0G2JQM1;A0A0G2JS82,O95782,5;2;1;1;1;1,5;2;1;1;1;1,5;2;1;1;1;1,AP-2 complex subunit alpha-1,sp|O95782|AP2A1_HUMAN AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3,6,5,5,5,3,2,3,3,3,2,3,3,3,2,3,3,5.1,5.1,5.1,107.54,977,977;939;57;378;634;917,0.0,6.6268,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38876,0.67602,84.902,10,8,Median,0.34418,0.46188,0.26748,0.33334,1.0005,1.0028,0.29064,0.37153,28.751,6.8683,99.641,99.271,3,2,2,3,2,1,2,3,Median,Median,Median,Median,3.2,2.1,3.4,3.1,226800000,166720000,60074000,49718000,29937000,19782000,39019000,24571000,14448000,52865000,46664000,6200500,85193000,65549000,19644000,,,,1180,300;1261;1823;2419;4923,True;True;True;True;True,374;1622;2316;3096;6269;6270,838;839;840;841;3804;3805;5511;7253;14138;14139;14140;14141,1434;1435;1436;6352;6353;9270;12280;23262;23263;23264;23265,1435;6352;9270;12280;23264,,,,,-1;-1;-1;-1;-1;-1,protein_1181,quanti,quanti,quanti,quanti
BAG2,0.193735102889743,0.759319342202469,O95816,O95816,7,7,7,BAG family molecular chaperone regulator 2,sp|O95816|BAG2_HUMAN BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1,1,7,7,7,2,3,4,4,2,3,4,4,2,3,4,4,43.6,43.6,43.6,23.772,211,211,0.0,33.775,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26117,0.39404,80.048,12,9,Median,0.25896,0.33397,0.16552,0.26673,0.75282,0.81542,0.18361,0.28858,47.503,20.067,98.519,9.6548,2,3,4,3,1,1,4,3,Median,Median,Median,Plateau,12.3,20.9,30.3,22.7,599620000,492840000,106780000,84921000,67281000,17640000,197950000,144100000,53850000,205110000,180320000,24794000,111630000,101140000,10497000,,,,1182,4096;4097;6371;8975;11910;12868;14394,True;True;True;True;True;True;True,5159;5160;8159;11410;14991;16167;16168;18048,11664;11665;11666;11667;18347;25859;25860;33705;33706;36328;36329;36330;36331;40686;40687,19223;19224;19225;19226;30121;42236;42237;54820;54821;54822;54823;59000;59001;59002;59003;66439;66440;66441;66442,19223;19225;30121;42237;54821;59002;66441,,,,,-1,protein_1183,quanti,quanti,quanti,quanti
AIFM1,-19.8620924206598,2.10417596205024e-06,O95831,O95831,2,2,2,"Apoptosis-inducing factor 1, mitochondrial","sp|O95831|AIFM1_HUMAN Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1",1,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,3.8,3.8,3.8,66.9,613,613,0.0,3.3907,By MS/MS,By MS/MS,,,0.78891,1.7684,53.087,3,1,Median,0.54675,0.78891,,,1.5414,1.7684,,,74.233,,,,2,1,0,0,1,0,0,0,Median,Median,Median,Median,3.8,2.0,0.0,0.0,67254000,44736000,22518000,46306000,31336000,14970000,20948000,13400000,7547900,0,0,0,0,0,0,,,,1183,3293;6942,True;True,4176;8869,9566;9567;20023,15878;15879;15880;32895,15879;32895,,,,,-1,protein_1184,imputed MEC,imputed MEC,quanti,quanti
BPNT1,-1.91660129920145,0.00613988560197652,O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,O95861;A6NF51,7;6;3;3;3,7;6;3;3;3,7;6;3;3;3,"3(2),5-bisphosphate nucleotidase 1","sp|O95861|BPNT1_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1;tr|A6NF51|A6NF51_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=2",5,7,7,7,6,5,1,1,6,5,1,1,6,5,1,1,32.1,32.1,32.1,33.392,308,308;291;130;136;170,0.0,19.239,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38771,1.2322,28.684,12,5,Leave out requantified,0.32219,0.46176,1.6141,0.19362,1.1345,1.2894,1.8334,0.2054,36.178,20.168,,,6,4,1,1,2,1,1,1,Leave out requantified,Leave out requantified,Median,Median,28.2,19.2,3.9,3.6,452720000,314690000,138030000,197710000,138480000,59237000,152170000,98817000,53354000,44585000,27890000,16695000,58245000,49503000,8742000,,,,1184,1654;1742;8052;9880;11630;12877;15349,True;True;True;True;True;True;True,2104;2217;10280;12488;12489;14637;16179;19222,5005;5285;5286;23235;23236;23237;28192;28193;28194;28195;32991;36355;43335;43336,8427;8920;8921;38063;38064;38065;45800;45801;45802;45803;45804;45805;45806;53691;59040;59041;59042;70848;70849;70850,8427;8921;38064;45800;53691;59042;70848,,,,,-1;-1;-1;-1;-1,protein_1185,quanti,quanti,quanti,quanti
ACTL6A,-1.07242475945175,0.0231379116757213,O96019;H7C5S0;O94805,O96019;H7C5S0,8;4;1,8;4;1,8;4;1,Actin-like protein 6A,sp|O96019|ACL6A_HUMAN Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1;tr|H7C5S0|H7C5S0_HUMAN Actin-like protein 6A (Fragment) OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1,3,8,8,8,5,7,3,4,5,7,3,4,5,7,3,4,31.2,31.2,31.2,47.46,429,429;161;426,0.0,17.764,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51779,1.2718,37.149,18,9,Leave out requantified,0.61619,0.48858,0.17254,0.26103,1.8703,0.98883,0.19236,0.28269,13.965,26.167,8.5598,112.05,5,8,2,3,2,2,2,3,Leave out requantified,Leave out requantified,Median,Median,21.0,26.8,9.8,17.0,646320000,413330000,232990000,189290000,104410000,84881000,281880000,160970000,120910000,80718000,71215000,9503700,94431000,76740000,17691000,,,,1187,3156;9767;11083;12639;12784;13364;13620;13951,True;True;True;True;True;True;True;True,4013;12356;13957;15897;16066;16783;17081;17082;17475;17476,9240;27886;27887;31484;35676;35677;35678;36083;36084;37774;37775;37776;37777;38454;38455;38456;39362;39363;39364;39365,15402;45331;45332;45333;45334;45335;51152;57958;57959;57960;57961;57962;57963;57964;57965;57966;57967;58595;58596;58597;61394;61395;61396;61397;61398;61399;62449;62450;62451;62452;62453;62454;62455;64022;64023;64024;64025,15402;45333;51152;57962;58597;61399;62454;64025,,,,,-1;-1;-1,protein_1188,quanti,quanti,quanti,quanti
CYB5A,-22.1622337129694,1.55924631584404e-07,P00167,P00167,4,4,4,Cytochrome b5,sp|P00167|CYB5_HUMAN Cytochrome b5 OS=Homo sapiens OX=9606 GN=CYB5A PE=1 SV=2,1,4,4,4,3,4,0,0,3,4,0,0,3,4,0,0,49.3,49.3,49.3,15.33,134,134,0.0,4.2843,By MS/MS,By MS/MS,,,0.42489,1.1516,19.603,8,0,Leave out requantified,0.29996,0.51162,,,1.0369,1.368,,,7.1353,30.441,,,4,4,0,0,0,0,0,0,Leave out requantified,Leave out requantified,Median,Median,23.9,49.3,0.0,0.0,300530000,203950000,96578000,156660000,116600000,40064000,143870000,87352000,56514000,0,0,0,0,0,0,,,,1188,444;445;3904;13679,True;True;True;True,556;557;4925;17152,1289;1290;1291;1292;1293;11169;38596;38597,2154;2155;2156;18395;62681;62682;62683;62684,2154;2156;18395;62684,,,,,-1,protein_1189,imputed MEC,imputed MEC,quanti,quanti
LDHA,-1.02347855415958,0.0218397616331804,P00338;F5GXY2;F5GYU2;F5GXH2;F5H5J4;F5H6W8;F5GZQ4;F5H8H6;F5GXC7;F5GWW2;F5GXU1;P07864;F5H5G7;F5H155;G3XAP5;F5H245,P00338;F5GXY2;F5GYU2,38;20;19;15;8;8;5;4;4;4;3;2;2;2;2;2,38;20;19;15;8;8;5;4;4;4;3;2;2;2;2;2,34;19;18;14;8;8;5;4;4;4;3;0;0;0;0;0,L-lactate dehydrogenase A chain,sp|P00338|LDHA_HUMAN L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2;tr|F5GXY2|F5GXY2_HUMAN L-lactate dehydrogenase A chain (Fragment) OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=8;tr|F5GYU2|F5GYU2_HUMAN L-lactate dehydrogenase A chai,16,38,38,34,23,21,21,25,23,21,21,25,19,17,19,22,82.2,82.2,78.0,36.688,332,332;156;144;114;89;94;72;42;45;45;46;332;183;225;241;318,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27947,0.83096,29.232,113,59,Leave out requantified,0.24926,0.31934,0.05565,0.054973,0.80862,0.89045,0.071664,0.08253,36.879,20.591,108.87,87.447,32,26,24,31,5,1,23,30,Leave out requantified,Leave out requantified,Median,Median,50.3,58.7,66.0,73.8,43423000000,36198000000,7224700000,14809000000,11645000000,3163500000,14524000000,10892000000,3632000000,5468900000,5243400000,225580000,8621600000,8418000000,203530000,,,,1189,1829;1830;2561;2562;2721;3472;3838;3839;4115;4520;7107;7206;7207;7744;7745;8579;8824;8833;9038;9939;9940;9941;11457;11585;11586;12032;12153;12431;12486;12487;14347;14539;15448;15498;15499;16252;16253;16254,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2322;2323;2324;3275;3276;3472;4396;4839;4840;4841;4842;5182;5701;5702;9063;9183;9184;9185;9186;9187;9871;9872;10918;10919;11227;11241;11485;12557;12558;12559;12560;14424;14583;14584;14585;15144;15307;15308;15642;15643;15715;15716;15717;17989;18223;19347;19348;19410;19411;19412;20375;20376;20377,5520;5521;5522;5523;7637;7638;8097;10009;10982;10983;10984;10985;10986;10987;10988;10989;10990;10991;10992;11715;11716;11717;12815;12816;12817;12818;20462;20463;20716;20717;20718;20719;20720;20721;20722;20723;20724;20725;20726;20727;20728;22253;22254;22255;22256;24690;24691;24692;24693;24694;24695;25415;25416;25417;25418;25448;26025;26026;26027;26028;26029;26030;26031;26032;28338;28339;28340;28341;28342;28343;28344;28345;28346;28347;28348;28349;32532;32533;32534;32892;32893;32894;32895;32896;32897;34022;34023;34024;34025;34026;34364;34365;34366;35093;35094;35261;35262;35263;35264;35265;35266;35267;35268;35269;40566;41050;41051;43664;43665;43666;43667;43802;43803;43804;43805;43806;43807;43808;43809;46040;46041;46042;46043;46044;46045,9287;9288;9289;9290;12895;12896;12897;13620;16548;16549;18070;18071;18072;18073;18074;18075;18076;18077;18078;18079;18080;18081;18082;18083;18084;18085;18086;18087;18088;18089;18090;18091;18092;18093;18094;18095;18096;19312;19313;19314;19315;21146;21147;21148;21149;21150;21151;33589;33590;34020;34021;34022;34023;34024;34025;34026;34027;34028;34029;34030;34031;34032;34033;34034;34035;34036;34037;34038;36515;36516;36517;36518;40355;40356;40357;40358;40359;40360;40361;40362;40363;40364;40365;40366;40367;40368;40369;40370;40371;40372;41584;41585;41586;41587;41588;41589;41590;41591;41629;42491;42492;42493;42494;42495;42496;42497;42498;42499;42500;42501;42502;42503;42504;42505;42506;42507;42508;42509;42510;42511;42512;42513;42514;42515;42516;42517;42518;42519;42520;42521;42522;46017;46018;46019;46020;46021;46022;46023;46024;46025;46026;46027;46028;46029;46030;46031;46032;46033;46034;46035;46036;46037;46038;46039;46040;46041;46042;46043;46044;46045;46046;46047;46048;46049;46050;52955;52956;52957;53558;53559;53560;53561;53562;53563;53564;53565;53566;53567;55303;55304;55305;55306;55307;55308;55309;55802;55803;55804;55805;55806;55807;57006;57007;57263;57264;57265;57266;57267;57268;57269;57270;57271;57272;57273;57274;57275;57276;57277;57278;57279;57280;57281;57282;57283;57284;57285;57286;57287;57288;57289;57290;57291;57292;57293;57294;57295;57296;66215;66216;66217;67032;67033;67034;67035;71351;71352;71353;71354;71355;71573;71574;71575;71576;71577;71578;71579;71580;71581;71582;71583;71584;71585;75387;75388;75389;75390;75391;75392;75393;75394;75395;75396;75397;75398,9287;9288;12895;12896;13620;16549;18077;18094;19312;21146;33590;34020;34027;36515;36518;40357;41586;41629;42512;46019;46046;46049;52956;53560;53567;55304;55806;57007;57269;57290;66217;67035;71355;71579;71585;75390;75396;75397,574;575;576;577;578;579;580,,5;76;81;90;118;126;317,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1190,quanti,quanti,quanti,quanti
GLUD1;GLUD2,-0.808825227833136,0.123978921959638,P00367;P49448,P00367;P49448,19;11,19;11,19;11,"Glutamate dehydrogenase 1, mitochondrial;Glutamate dehydrogenase 2, mitochondrial","sp|P00367|DHE3_HUMAN Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1 PE=1 SV=2;sp|P49448|DHE4_HUMAN Glutamate dehydrogenase 2, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD2 PE=1 SV=2",2,19,19,19,12,13,6,9,12,13,6,9,12,13,6,9,42.1,42.1,42.1,61.397,558,558;558,0.0,52.209,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34009,0.93699,17.593,42,25,Leave out requantified,0.28625,0.37193,0.15091,0.12975,0.9985,0.89098,0.16518,0.1463,26.02,19.939,88.567,84.852,13,14,7,8,5,5,7,8,Leave out requantified,Leave out requantified,Median,Median,27.4,27.6,14.0,20.6,2123500000,1659100000,464330000,540210000,400290000,139920000,755770000,536820000,218940000,234270000,188870000,45397000,593210000,533150000,60065000,,,,1190,976;1028;2387;2749;5645;6359;6401;6936;9777;10854;11162;11289;11656;11657;12218;13892;13920;17146;17252,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1243;1316;1317;3056;3506;7227;7228;8145;8192;8860;12368;13673;14048;14210;14665;14666;15395;17404;17439;21493;21628,2907;3071;3072;3073;3074;3075;7172;7173;8175;8176;8177;16288;16289;16290;18313;18314;18315;18435;18436;18437;19996;19997;19998;19999;20000;20001;27910;30851;30852;31692;32048;33039;33040;33041;33042;34555;34556;39211;39212;39283;39284;48536;48537;48538;48539;48845,4863;5120;5121;5122;5123;5124;5125;5126;5127;5128;5129;12167;12168;12169;12170;13741;13742;13743;26683;26684;26685;30066;30067;30068;30069;30070;30282;30283;30284;32851;32852;32853;32854;32855;32856;32857;32858;45369;50107;50108;50109;50110;51481;51482;51483;52103;52104;53764;53765;53766;53767;53768;53769;53770;53771;56141;63728;63729;63730;63836;63837;63838;79367;79368;79369;79370;79371;79881,4863;5126;12168;13741;26684;30066;30284;32852;45369;50109;51481;52103;53767;53769;56141;63729;63837;79370;79881,581,,457,,-1;-1,protein_1191,quanti,quanti,quanti,quanti
CYB5R3,1.33260846039067,0.0324174156639976,P00387;B1AHF3,P00387;B1AHF3,5;4,5;4,5;4,NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form,sp|P00387|NB5R3_HUMAN NADH-cytochrome b5 reductase 3 OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=3;tr|B1AHF3|B1AHF3_HUMAN NADH-cytochrome b5 reductase 3 (Fragment) OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=1,2,5,5,5,1,2,3,5,1,2,3,5,1,2,3,5,19.9,19.9,19.9,34.234,301,301;147,0.0,28.452,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45459,1.175,15.772,16,11,Leave out requantified,0.32109,0.47691,0.40879,0.22357,0.9638,1.3073,0.44871,0.24568,8.5173,11.216,69.448,69.468,2,3,4,7,0,0,4,7,Median,Median,Median,Median,6.3,10.3,15.6,19.9,706620000,573950000,132670000,67927000,50018000,17910000,120770000,84235000,36531000,167930000,120350000,47575000,350000000,319340000,30656000,,,,1191,5197;8666;8667;13658;13721,True;True;True;True;True,6631;6632;11027;11028;11029;17125;17206;17207,14946;14947;14948;24977;24978;24979;24980;38543;38544;38733;38734;38735;38736;38737;38738;38739;38740;38741,24592;24593;24594;24595;24596;40879;40880;40881;40882;62593;62594;62595;62596;62932;62933;62934;62935;62936;62937;62938;62939;62940;62941;62942;62943;62944;62945;62946;62947;62948;62949;62950;62951,24594;40879;40881;62596;62941,,,,,-1;-1,protein_1192,quanti,quanti,quanti,quanti
GSR,-1.71811442346856,0.00597697345215674,P00390;A0A2R8YF59;H0YC68,P00390,8;3;3,8;3;3,8;3;3,"Glutathione reductase, mitochondrial","sp|P00390|GSHR_HUMAN Glutathione reductase, mitochondrial OS=Homo sapiens OX=9606 GN=GSR PE=1 SV=2",3,8,8,8,6,7,3,2,6,7,3,2,6,7,3,2,15.7,15.7,15.7,56.256,522,522;123;131,0.0,36.522,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2665,0.82024,21.073,21,12,Leave out requantified,0.25199,0.28865,0.073344,0.2021,0.88083,0.78598,0.083567,0.22795,27.681,17.747,24.727,48.061,7,7,4,3,3,2,4,3,Leave out requantified,Leave out requantified,Median,Plateau,15.5,15.7,6.9,6.3,981090000,798730000,182360000,381330000,299910000,81415000,374630000,285480000,89144000,113820000,108400000,5420200,111310000,104930000,6380800,,,,1192,269;323;1204;1205;4873;8476;9268;10414,True;True;True;True;True;True;True;True,332;404;1548;1549;1550;6193;10805;11757;13131,744;745;746;747;926;3617;3618;3619;3620;3621;3622;3623;13964;13965;13966;24448;24449;24450;26601;26602;29673;29674,1242;1243;1244;1245;1591;6012;6013;6014;6015;6016;6017;6018;6019;6020;6021;6022;6023;23014;23015;23016;23017;40028;40029;40030;43437;43438;43439;48295;48296,1245;1591;6015;6023;23016;40030;43439;48295,,,,,-1;-1;-1,protein_1193,quanti,quanti,quanti,quanti
MT-CO2,0.554955411472104,0.113128342558097,P00403,P00403,3,3,3,Cytochrome c oxidase subunit 2,sp|P00403|COX2_HUMAN Cytochrome c oxidase subunit 2 OS=Homo sapiens OX=9606 GN=MT-CO2 PE=1 SV=1,1,3,3,3,1,2,2,2,1,2,2,2,1,2,2,2,16.3,16.3,16.3,25.565,227,227,0.0,6.2163,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.12412,0.24533,39.06,5,4,Median,0.070489,0.14993,0.2691,0.12412,0.22687,0.31393,0.29501,0.13847,,34.87,,,1,2,1,1,1,1,1,1,Median,Median,Median,Median,7.5,7.5,13.2,13.2,230630000,211660000,18968000,34351000,31906000,2445600,50110000,43346000,6764300,54757000,49246000,5511200,91411000,87164000,4247200,,,,1193,8937;10658;16387,True;True;True,11366;13432;20559,25752;25753;30309;30310;46490;46491;46492,42074;42075;49255;49256;49257;49258;76154;76155;76156;76157,42075;49256;76155,,,,,-1,protein_1194,quanti,quanti,quanti,quanti
