Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NLE1-N1,Intensity NLE1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
E9PSC8;Q6ZUT1;E9PKA8,E9PSC8;Q6ZUT1;E9PKA8,2;1;1,2;1;1,2;1;1,Uncharacterized protein C11orf57,C11orf57,tr|E9PSC8|E9PSC8_HUMAN Uncharacterized protein NKAPD1 (Fragment) OS=Homo sapiens OX=9606 GN=NKAPD1 PE=1 SV=1;sp|Q6ZUT1|NKAP1_HUMAN Uncharacterized protein NKAPD1 OS=Homo sapiens OX=9606 GN=NKAPD1 PE=1 SV=2;tr|E9PKA8|E9PKA8_HUMAN Uncharacterized protein NKA,2,2,30.1,22.3484353277451,23.7753514669217,4.42893354222385,4.39608992622293
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,4.18694249382544,4.30484830045098,23.3280021005752,23.0454023982834
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,4.18694249382544,4.30484830045098,23.4612646017837,24.3673971534476
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ELS0|K7ELS0_HUMAN Telomerase RNA component-interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ERU7|K7ERU7_HUMAN Telomerase RNA comp,2,2,21.6,20.9147354851035,22.3415690383366,24.7162819267612,24.0197949881964
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,4.18694249382544,4.30484830045098,24.9436918260864,24.3178966976681
Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,2;2;2;1,2;2;2;1,2;2;2;1,Protein C9orf72,C9orf72,sp|Q96LT7|CI072_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=2;tr|A0A5F9ZHW7|A0A5F9ZHW7_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=1;tr|A0A2R8Y5K2|A0A2R8Y5K2_HUMAN Guanine nu,2,2,5.6,4.18694249382544,4.30484830045098,22.7286853344371,22.3990828273411
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.18694249382544,4.30484830045098,23.7611137310158,24.0363245562864
Q6ZRH7;B8ZZI7;M0QZ16;X1WI24,Q6ZRH7;B8ZZI7;M0QZ16;X1WI24,2;2;1;1,2;2;1;1,2;2;1;1,Cation channel sperm-associated protein subunit gamma,CATSPERG,sp|Q6ZRH7|CTSRG_HUMAN Cation channel sperm-associated protein subunit gamma OS=Homo sapiens OX=9606 GN=CATSPERG PE=2 SV=3;tr|B8ZZI7|B8ZZI7_HUMAN Cation channel sperm-associated protein subunit gamma OS=Homo sapiens OX=9606 GN=CATSPERG PE=1 SV=1;tr|M0QZ16|M,2,2,2.1,31.3047808593774,32.0133515668871,4.42893354222385,4.39608992622293
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.18694249382544,4.30484830045098,25.5615662447535,24.3987828270151
Q6PK04;I3L0U5,Q6PK04;I3L0U5,2;2,2;2,2;2,Coiled-coil domain-containing protein 137,CCDC137,sp|Q6PK04|CC137_HUMAN Coiled-coil domain-containing protein 137 OS=Homo sapiens OX=9606 GN=CCDC137 PE=1 SV=1;tr|I3L0U5|I3L0U5_HUMAN Coiled-coil domain-containing protein 137 (Fragment) OS=Homo sapiens OX=9606 GN=CCDC137 PE=1 SV=1,2,2,7.3,23.8292930395406,24.6914700645496,4.42893354222385,4.39608992622293
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.18694249382544,4.30484830045098,24.3118131598024,24.3126442452505
Q8IV13;E7EN43;B4DZA8;A0A2R8Y754;A0A2R8Y7P8;A0A2R8YFU1;F6RF56,Q8IV13;E7EN43;B4DZA8;A0A2R8Y754;A0A2R8Y7P8;A0A2R8YFU1;F6RF56,2;2;2;1;1;1;1,2;2;2;1;1;1;1,2;2;2;1;1;1;1,Cyclin-J-like protein,CCNJL,sp|Q8IV13|CCNJL_HUMAN Cyclin-J-like protein OS=Homo sapiens OX=9606 GN=CCNJL PE=2 SV=3;tr|E7EN43|E7EN43_HUMAN Cyclin-J-like protein OS=Homo sapiens OX=9606 GN=CCNJL PE=1 SV=1;tr|B4DZA8|B4DZA8_HUMAN Cyclin-J-like protein OS=Homo sapiens OX=9606 GN=CCNJL PE=,2,2,5.5,4.18694249382544,4.30484830045098,26.2537054461269,25.9543580315881
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2,2,15.0,4.18694249382544,4.30484830045098,24.5936031234191,24.6954581299705
B4DUR8;E9PQ35;E9PM09;Q5SZW8,B4DUR8,8;1;1;1,8;1;1;1,2;0;0;0,T-complex protein 1 subunit gamma,CCT3,tr|B4DUR8|B4DUR8_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=1,8,2,17.2,21.3050219027549,24.8231335737713,23.7442721458845,23.9861566085466
P50991,P50991,2,2,2,T-complex protein 1 subunit delta,CCT4,sp|P50991|TCPD_HUMAN T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,2,2,4.8,22.3986783207087,22.6940874789987,22.8991588014454,21.5117140537476
P48643;E7ENZ3;D6RIZ7;H0Y914;B7ZAR1;E9PCA1,P48643;E7ENZ3;D6RIZ7;H0Y914;B7ZAR1;E9PCA1,2;2;1;1;1;1,2;2;1;1;1;1,2;2;1;1;1;1,T-complex protein 1 subunit epsilon,CCT5,sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;tr|E7ENZ3|E7ENZ3_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;tr|D6RIZ7|D6RIZ7_HUMAN T-complex protein 1 subunit epsil,2,2,3.0,22.7895296650726,24.178280669856,22.6893172492644,23.343563201128
Q99832;F8WAM2,Q99832;F8WAM2,2;1,2;1,2;1,T-complex protein 1 subunit eta,CCT7,sp|Q99832|TCPH_HUMAN T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2;tr|F8WAM2|F8WAM2_HUMAN T-complex protein 1 subunit eta (Fragment) OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=1,2,2,3.5,22.56694922294,23.2681376110933,26.2421631751837,26.0217608558262
O95400,O95400,2,2,2,CD2 antigen cytoplasmic tail-binding protein 2,CD2BP2,sp|O95400|CD2B2_HUMAN CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens OX=9606 GN=CD2BP2 PE=1 SV=1,2,2,7.3,24.152517573791,24.6255572465437,4.42893354222385,4.39608992622293
P11802;F8VYH9;F8VZZ0;F8VTV8;F8VWX7;F8VZ51;F8VYY1;Q96BE9;F8W1L8,P11802;F8VYH9;F8VZZ0;F8VTV8;F8VWX7;F8VZ51,3;2;2;2;2;2;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,Cyclin-dependent kinase 4,CDK4,sp|P11802|CDK4_HUMAN Cyclin-dependent kinase 4 OS=Homo sapiens OX=9606 GN=CDK4 PE=1 SV=2;tr|F8VYH9|F8VYH9_HUMAN Cyclin-dependent kinase 4 (Fragment) OS=Homo sapiens OX=9606 GN=CDK4 PE=1 SV=1;tr|F8VZZ0|F8VZZ0_HUMAN Cyclin-dependent kinase 4 (Fragment) OS=Ho,3,2,19.8,4.18694249382544,4.30484830045098,26.252872012307,25.9535368114751
P17676,P17676,2,2,2,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,2,2,8.7,4.18694249382544,4.30484830045098,24.6521206609293,24.3198270014465
P49454,P49454,2,2,2,Centromere protein F,CENPF,sp|P49454|CENPF_HUMAN Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3,2,2,0.9,22.8005206807901,23.3481381183266,27.3371226643595,27.3246586575008
