Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity TOR1AIP2-N1,Intensity TOR1AIP2-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q86UQ4;A0A0A0MT16,Q86UQ4;A0A0A0MT16,3;3,3;3,3;3,ATP-binding cassette sub-family A member 13,ABCA13,sp|Q86UQ4|ABCAD_HUMAN ATP-binding cassette sub-family A member 13 OS=Homo sapiens OX=9606 GN=ABCA13 PE=2 SV=3;tr|A0A0A0MT16|A0A0A0MT16_HUMAN ATP-binding cassette sub-family A member 13 OS=Homo sapiens OX=9606 GN=ABCA13 PE=1 SV=1,3,3,1.0,25.7830177988021,23.9914429576056,22.6663757205658,23.6478962147468
Q8IZY2;E9PKG5;E9PL63,Q8IZY2;E9PKG5;E9PL63,3;2;2,3;2;2,3;2;2,ATP-binding cassette sub-family A member 7,ABCA7,sp|Q8IZY2|ABCA7_HUMAN Phospholipid-transporting ATPase ABCA7 OS=Homo sapiens OX=9606 GN=ABCA7 PE=1 SV=3;tr|E9PKG5|E9PKG5_HUMAN Phospholipid-transporting ATPase ABCA7 (Fragment) OS=Homo sapiens OX=9606 GN=ABCA7 PE=1 SV=1;tr|E9PL63|E9PL63_HUMAN Phospholipid-,3,3,1.3,21.585133097424,27.237193670918,25.006529663298,24.7108808267968
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,ABCB4;ABCB1,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,4.17208717402692,4.1631440863452,25.4010964315382,25.3548105652978
P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,12;12,12;12,12;12,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,12,12,22.2,21.9803865103845,25.5312434215667,28.0267018211971,27.8053817676833
Q8NE71;H0YGW7;A0A0G2JIC2;Q5STZ8,Q8NE71;H0YGW7,14;12;4;3,14;12;4;3,14;12;4;3,ATP-binding cassette sub-family F member 1,ABCF1,sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;tr|H0YGW7|H0YGW7_HUMAN ATP-binding cassette sub-family F member 1 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=1,14,14,20.6,21.4878780669711,22.5878132185461,27.9774920089267,27.777936515309
Q9UG63;C9JHK9;C9JZV3,Q9UG63;C9JHK9;C9JZV3,10;6;6,10;6;6,10;6;6,ATP-binding cassette sub-family F member 2,ABCF2,sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2;tr|C9JHK9|C9JHK9_HUMAN ATP-binding cassette sub-family F member 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=1;tr|C9JZV3|C9JZV3_HUMAN ATP-b,10,10,20.1,22.5478774108096,24.8394206411701,27.0952685564084,26.5749341593783
Q9NUQ8,Q9NUQ8,8,8,8,ATP-binding cassette sub-family F member 3,ABCF3,sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2,8,8,14.5,22.6166283690799,21.8456738064426,26.4675281888522,26.2290534850347
Q96IU4;B4DQI4;F8W9U3,Q96IU4;B4DQI4;F8W9U3,3;2;2,3;2;2,3;2;2,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,3,3,23.3,4.17208717402692,4.1631440863452,25.9899067138378,25.4482141271051
Q8IZP0;B6VEX4;A0A0A0MRT6;B7Z836;H0Y6B5,Q8IZP0;B6VEX4;A0A0A0MRT6,7;7;7;2;1,7;7;7;2;1,5;5;5;0;0,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,7,5,14.6,23.0369175740449,22.3227863769271,26.3675304647618,26.039005367772
O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,20;20;19;19;10;10,20;20;19;19;10;10,3;3;2;2;2;2,Actin-binding LIM protein 1,ABLIM1,sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;tr|A0A3B3IS55|A0A3B3IS55_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;tr|F8W8M4|F8W8M4_HUMAN Actin-binding LIM protein 1 OS=Homo,20,3,28.7,21.9157053106845,22.9032684546656,28.2451318806885,28.1038960609818
A0A087WYK6,A0A087WYK6,5,2,2,,ACACA,tr|A0A087WYK6|A0A087WYK6_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,5,2,81.6,22.0657348569259,24.5809540985057,23.5321951458799,23.3123220575917
Q13085;Q59FY4;A0A0C4DGT1;A0A087WWN5;A0A087X2F8;A0A087X126;A0A087WYS8,Q13085;Q59FY4,171;86;7;6;3;3;1,171;86;7;6;3;3;1,146;79;3;6;1;1;1,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2;tr|Q59FY4|Q59FY4_HUMAN Acetyl-CoA carboxylase 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,171,146,72.5,33.9626666566873,36.7491018954023,33.2413291140538,32.9993726321351
O00763;F8W8T8;H0YGH5;A0A087WUA1,O00763,58;26;25;3,39;22;21;3,39;22;21;3,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,sp|O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3,58,39,28.4,23.2881349822105,29.4148805243235,24.5036093439039,24.7960023656898
Q9H3P7,Q9H3P7,9,9,9,Golgi resident protein GCP60,ACBD3,sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,9,9,20.5,4.17208717402692,4.1631440863452,26.6438892100658,26.9017319939852
S4R3H4;Q9UKV3;E7EQT4;G3V3B0;A0A087WYN3,S4R3H4;Q9UKV3;E7EQT4,17;16;16;7;1,17;16;16;7;1,17;16;16;7;1,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,tr|S4R3H4|S4R3H4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=1;sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2;tr|E7EQT4|E7E,17,17,21.6,22.3338058572637,25.2616608146408,28.0513397312771,27.9819614293041
P53396,P53396,5,5,5,ATP-citrate synthase,ACLY,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,5,5,5.5,4.17208717402692,4.1631440863452,25.354743320895,24.9626108126827
P21399,P21399,5,5,5,Cytoplasmic aconitate hydratase,ACO1,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,5,5,7.5,4.17208717402692,4.1631440863452,25.2578901873642,24.5850299163451
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,23.9420798914577,27.7064873758814,30.6256652328299,30.4397594998813
Q562R1,Q562R1,7,2,2,Beta-actin-like protein 2,ACTBL2,sp|Q562R1|ACTBL_HUMAN Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,7,2,20.5,23.397085659767,29.547400482047,4.49585555904608,4.40302638284169
P12814;H9KV75;G3V2N5;G3V2W4;H7C5W8;P35609;A0A494C1A0;H0YJW3;H0YJ11;A0A494C033;G3V2X9;A0A494C166;G3V5M4;F6THM6;A0A494C0Q3;A0A494C060;G3V2E8;G3V380;A0A494C031,P12814;H9KV75,33;29;12;11;10;9;9;9;7;5;5;5;5;4;3;3;3;1;1,33;29;12;11;10;9;9;9;7;5;5;5;5;4;3;3;3;1;1,20;18;6;6;6;2;2;6;4;1;2;1;2;1;1;0;1;1;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,33,20,48.9,24.0746354017022,27.9872848328367,29.3454926223626,29.0961487162145
O43707;F5GXS2;H7C144;K7EJH8;K7EP19;Q9H254;M0QZQ3;C9JY79,O43707,31;13;9;5;2;1;1;1,18;9;6;4;1;1;1;1,18;9;6;4;1;1;1;1,Alpha-actinin-4,ACTN4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,31,18,42.8,22.1418415863932,27.1885791875302,26.5441274896391,27.1045960343302
P61158;B4DXW1;F8WDR7,P61158;B4DXW1;F8WDR7,2;2;1,2;2;1,2;2;1,Actin-related protein 3,ACTR3,sp|P61158|ARP3_HUMAN Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3;tr|B4DXW1|B4DXW1_HUMAN Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=1;tr|F8WDR7|F8WDR7_HUMAN Actin-related protein 3 (Fragment) OS=Homo sapiens OX=9,2,2,4.8,22.0603956562627,24.5752516253058,4.49585555904608,4.40302638284169
P55265,P55265,28,28,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,28,2,31.6,22.4850022779767,23.3120209760523,30.2859281605847,30.0277566156443
P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2;D6RAH3;D6RF25;P35612;D6RJE2;H0YFD8,P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,Alpha-adducin,ADD1,sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2;tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|E7ENY0|E7ENY0_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|A0A0A0MSR2|A0A0A0M,10,10,19.7,4.17208717402692,4.1631440863452,28.269458025184,27.2819774132684
Q9UEY8,Q9UEY8,15,15,15,Gamma-adducin,ADD3,sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,15,15,24.4,22.4003013986594,24.1310838775825,28.7373124414758,28.5682656852846
Q9H2P0;A0A669KBJ7;A0A2R8Y6X0;A0A2R8YCL6,Q9H2P0;A0A669KBJ7;A0A2R8Y6X0,33;32;24;5,33;32;24;5,33;32;24;5,Activity-dependent neuroprotector homeobox protein,ADNP,sp|Q9H2P0|ADNP_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1;tr|A0A669KBJ7|A0A669KBJ7_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=4 SV=1;tr|A0A2R8Y6X0|A0A2,33,33,39.3,22.4871871380655,23.3142358220692,29.7188345051673,29.4172570222619
Q9UHB7;C9JCE0,Q9UHB7,12;2,12;2,12;2,AF4/FMR2 family member 4,AFF4,sp|Q9UHB7|AFF4_HUMAN AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1,12,12,14.4,4.17208717402692,4.1631440863452,27.1131681041474,26.4938262600787
Q9Y4W6;K7EP56,Q9Y4W6,11;2,10;2,10;2,AFG3-like protein 2,AFG3L2,sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,11,10,20.8,22.463305401102,26.5379367656384,23.8906895511704,23.405744994969
Q6ULP2;B8ZZI9;A0A0A0MSN6;A0A0U1RR74,Q6ULP2;B8ZZI9,12;7;2;1,12;7;2;1,12;7;2;1,Aftiphilin,AFTPH,sp|Q6ULP2|AFTIN_HUMAN Aftiphilin OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=3;tr|B8ZZI9|B8ZZI9_HUMAN Aftiphilin (Fragment) OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=2,12,12,18.5,4.17208717402692,4.1631440863452,27.9667525659425,26.9219562211269
P52594;C9J2I0;B8ZZY2,P52594;C9J2I0;B8ZZY2,6;5;5,6;5;5,6;5;5,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,sp|P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2;tr|C9J2I0|C9J2I0_HUMAN Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=8;tr|B8ZZY2|B8ZZ,6,6,17.4,4.17208717402692,4.1631440863452,27.4186046493561,27.0851712654646
Q8WYP5;H7C4S1,Q8WYP5,25;1,25;1,25;1,Protein ELYS,AHCTF1,sp|Q8WYP5|ELYS_HUMAN Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,25,25,15.8,22.6186142645165,24.9187529822331,28.7441630566847,28.3021688015919
P23526,P23526,2,2,2,Adenosylhomocysteinase,AHCY,sp|P23526|SAHH_HUMAN Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,2,2,6.5,21.6589865823913,23.3444855526263,4.49585555904608,4.40302638284169
O43865,O43865,6,6,2,Putative adenosylhomocysteinase 2,AHCYL1,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,6,2,12.1,22.9343500489888,22.205054620144,26.6035695268123,26.3900490072837
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,11.1,4.17208717402692,4.1631440863452,22.9306485579508,23.4636361216132
Q09666;E9PKR9;E9PLK4;E9PJZ0;E9PJC6;E9PQE3,Q09666,436;5;5;4;4;3,436;5;5;4;4;3,434;5;5;4;4;3,Neuroblast differentiation-associated protein AHNAK,AHNAK,sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,436,434,82.8,33.0415624151693,36.5088646170416,38.5140487165202,38.4132497682956
Q8IVF2,Q8IVF2,192,191,191,Protein AHNAK2,AHNAK2,sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,192,191,60.7,25.1619253143803,31.0943375175155,34.8565665927709,34.6221668110293
O95433;G3V438;H0YJG7;H0YJU2;H0YJ63;G3V3W9,O95433;G3V438,13;9;6;5;4;3,13;9;6;5;4;3,13;9;6;5;4;3,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr|G3V438|G3V438_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,13,13,47.6,22.4410358684336,26.8820369834743,29.2660206438674,29.3382200288084
E7ET48;Q8N1P7;E9PIR9;E7EX92,E7ET48;Q8N1P7;E9PIR9;E7EX92,2;2;2;1,2;2;2;1,2;2;2;1,Absent in melanoma 1-like protein,AIM1L,tr|E7ET48|E7ET48_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=1 SV=2;sp|Q8N1P7|CRBG2_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=2 SV=2;tr|E9PIR9|E9PIR9_HUMAN,2,2,1.4,22.5713841957516,24.8658019767456,24.3118824352119,26.5821895409773
O00170;E9PMH2;V9GYQ3,O00170;E9PMH2,5;4;2,5;4;2,5;4;2,AH receptor-interacting protein,AIP,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2;tr|E9PMH2|E9PMH2_HUMAN Peptidylprolyl isomerase (Fragment) OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2,5,5,23.6,22.2047212346344,26.2748697846014,4.49585555904608,4.40302638284169
Q92667;I3L0W0;I3L2A2;I3L2N7;I3L0K6;I3L364;I3L3K1;I3NI36,Q92667,21;9;8;8;5;3;2;1,21;9;8;8;5;3;2;1,21;9;8;8;5;3;2;1,"A-kinase anchor protein 1, mitochondrial",AKAP1,"sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",21,21,32.3,22.4298517896446,23.2773907068672,28.8692660583656,28.5301422071072
Q02952,Q02952,20,20,20,A-kinase anchor protein 12,AKAP12,sp|Q02952|AKA12_HUMAN A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,20,20,18.5,21.8439324718591,23.5383660973076,28.6428569685844,28.0702499496946
Q9Y2D5,Q9Y2D5,32,32,6,A-kinase anchor protein 2,AKAP2,sp|Q9Y2D5|AKAP2_HUMAN A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,32,6,50.1,22.3073317923277,27.6421683970551,32.1698538753083,31.9281832841395
Q5JQC9,Q5JQC9,2,2,2,A-kinase anchor protein 4,AKAP4,sp|Q5JQC9|AKAP4_HUMAN A-kinase anchor protein 4 OS=Homo sapiens OX=9606 GN=AKAP4 PE=1 SV=1,2,2,2.9,4.17208717402692,4.1631440863452,24.706777176842,24.482506506811
A0A5F9ZHN9;P51648;A0A5F9ZHI5;J3QRD1;A0A5F9ZGX4;A0A5K1VW72;A0A5F9ZI12;A0A5F9ZHZ9;A0A5F9ZHP6;I3L1M4;I3L0X1;J3QKK9;J3KTG1;J3QS00;E9PJV0;C9JMC5;C9JKT2;J3KTD9;I3L3I9;A8MYB8;K7EN73;E9PNN6;P48448;P43353;P30838,A0A5F9ZHN9;P51648;A0A5F9ZHI5;J3QRD1;A0A5F9ZGX4;A0A5K1VW72;A0A5F9ZI12,9;9;8;8;7;7;6;4;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1,9;9;8;8;7;7;6;4;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1,8;8;7;7;6;6;5;4;2;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1,Fatty aldehyde dehydrogenase,ALDH3A2,tr|A0A5F9ZHN9|A0A5F9ZHN9_HUMAN Aldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;sp|P51648|AL3A2_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|A0A5F9ZHI5|A0A5F9ZHI5_HUMAN Aldehyde dehydrog,9,8,22.6,22.0980063786642,25.9438020052189,26.0028807550642,26.0213209320886
