WSB1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
KHSRP,-0.2168125493,0.0947148132350785,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,19;19;10;7;5;4,15;15;8;5;4;2,15;15;8;5;4;2,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,19,15,36,711
PABPC1,0.1712605964,0.229745447425972,0,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361;H0YBN4;E5RJB9;E5RGH3;H0YAP2;E5RH24;H0YB86;Q4VXU2;E5RHG7;H0YAS6;H0YB75;Q5JQF8;H0YAS7;Q96DU9;E5RFD8;E5RGC4;H0YC10,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2,32;32;31;29;17;15;11;10;10;9;9;7;5;3;3;3;3;2;2;1;1;1,32;32;31;29;17;15;11;10;10;9;9;7;5;3;3;3;3;2;2;1;1;1,19;19;18;17;12;11;4;3;3;9;3;5;4;1;2;2;1;1;2;1;1;1,Polyadenylate-binding protein 1;Polyadenylate-binding protein,PABPC1,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein ,32,19,44.8,636
PYCR2,-0.829350517,0.00190785889398536,0,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9,4;4;3;2;1;1,3;3;2;1;1;1,3;3;2;1;1;1,Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase,PYCR2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,4,3,16.9,320
HNRNPDL,-0.0752987268,0.643291610721085,0,A0A087WU03,A0A087WU03,2,2,2,,HNRNPDL,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,2,40.4,57
MRPL45,-0.5991287939,0.227156556195962,0,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,2;2;2;2,2;2;2;2,2;2;2;2,"39S ribosomal protein L45, mitochondrial",MRPL45,"sp|Q9BRJ2|RM45_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=2;tr|A0A0G2JMS5|A0A0G2JMS5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1;tr|A0A087WU62|A0A087WU62_HUMAN 39S",2,2,11.1,306
POLA1,0.4022338096,0.0602425936706478,0,P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,3;3;3,3;3;3,3;3;3,DNA polymerase alpha catalytic subunit;DNA polymerase,POLA1,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,3,3,4.4,1462
CTNNBL1,-0.2567995955,0.0497486797631367,0,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,5;5;1,5;5;1,5;5;1,Beta-catenin-like protein 1,CTNNBL1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,5,5,13,563
HNRNPDL,-0.1848942635,0.175931101636957,0,O14979;A0A087WUK2,O14979;A0A087WUK2,11;11,9;9,9;9,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,11,9,28.8,420
SLIRP,-0.3437272125,0.0436371410841275,0,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJI1;H0YJ07;H0YJU7,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,"sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",6,6,67.9,109
EIF5B,-0.0587247648,0.692784976409808,0,O60841;A0A087WUT6,O60841;A0A087WUT6,10;10,10;10,10;10,Eukaryotic translation initiation factor 5B,EIF5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,10,10,13.4,1220
SPTBN1,-0.3026938602,0.0517934607455334,0,Q01082;A0A087WUZ3;F8W6C1;O15020;A4QPE4,Q01082;A0A087WUZ3,36;36;10;1;1,36;36;10;1;1,35;35;9;0;0,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,"sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",36,35,21.4,2364
MTHFD1L,0.0911561066,0.506957725550806,0,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM0;Q4VXM1;Q4VXV2,Q6UB35;A0A087WVM4;B7ZM99,7;7;7;2;1;1,6;6;6;2;1;1,6;6;6;2;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,"sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",7,6,8.6,978
POLR2E,-0.2122632847,0.231992863917838,0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,2;2;2;1;1;1;1,2;2;2;1;1;1;1,2;2;2;1;1;1;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,"sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WVZ9|A0A087WVZ9_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV",2,2,12.4,210
NOMO2;NOMO1;NOMO3,-0.5620970366,0.152579842926326,0,Q5JPE7;Q15155;P69849;A0A0G2JP90;A0A087WW46;J3KN36;A0A0G2JN29;A0A087X117,Q5JPE7;Q15155;P69849;A0A0G2JP90;A0A087WW46;J3KN36;A0A0G2JN29;A0A087X117,4;4;4;4;4;4;4;4,4;4;4;4;4;4;4;4,4;4;4;4;4;4;4;4,Nodal modulator 2;Nodal modulator 1;Nodal modulator 3,NOMO2;NOMO1;NOMO3,sp|Q5JPE7|NOMO2_HUMAN Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1;sp|Q15155|NOMO1_HUMAN Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5;sp|P69849|NOMO3_HUMAN Nodal modulator 3 OS=Homo sapiens OX=9606 GN=NOMO3 PE=1 SV=2;tr|A0A0,4,4,5.8,1267
POLD2,-0.4184268477,0.381051616542918,0,P49005;F8W8R3;A0A087WWF6;C9JHC7;C9IZD2;C9J8Z7;C9JLE1;H7C1B3,P49005;F8W8R3;A0A087WWF6;C9JHC7;C9IZD2;C9J8Z7;C9JLE1,4;4;4;3;2;2;2;1,4;4;4;3;2;2;2;1,4;4;4;3;2;2;2;1,DNA polymerase delta subunit 2,POLD2,sp|P49005|DPOD2_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|F8W8R3|F8W8R3_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|A0A087WWF6|A0A087WWF6_HUMAN DNA polymerase delta subunit 2 O,4,4,11.5,469
TPM3,-0.0420722573,0.675339960111879,0,A0A087WWU8;D6R904;A0A494C0G0;Q5VU61,A0A087WWU8;D6R904,29;17;9;8,29;17;9;8,12;12;4;8,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,29,12,75.8,227
SRP19,0.207164598,0.795889210061226,0,P09132;A0A087WWU9;A0A087WYR0;D6RBG4;A0A2R8Y4M3;A0A2U3TZN1,P09132;A0A087WWU9;A0A087WYR0;D6RBG4;A0A2R8Y4M3;A0A2U3TZN1,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Signal recognition particle 19 kDa protein,SRP19,"sp|P09132|SRP19_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=3;tr|A0A087WWU9|A0A087WWU9_HUMAN HCG2039564, isoform CRA_a OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=1;tr|A0A087WYR0|A0A087WYR0_HUMAN Signal recognitio",2,2,27.1,144
TARDBP;TDP43,-0.3081479329,0.0276707723428376,0,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;K7EN94;A0A087WXQ5;A0A087WV68;A0A1W2PNU8;A0A087WXV3;A0A087WX67;A0A087WW61;A0A0A0MSV7;K7EJ99;K7EL26;A0A087WZC9;A0A087WYE7;A0A087WTZ4,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;K7EN94,9;9;7;7;7;7;6;6;5;4;4;4;3;3;3;2;2;1;1;1;1,9;9;7;7;7;7;6;6;5;4;4;4;3;3;3;2;2;1;1;1;1,9;9;7;7;7;7;6;6;5;4;4;4;3;3;3;2;2;1;1;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,9,9,24.6,414
RPL17;RPL17-C18orf32,0.2280892648,0.190895987582397,0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81;J3KSJ0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81,13;13;13;13;13;11;11;11;10;10;8;4,13;13;13;13;13;11;11;11;10;10;8;4,13;13;13;13;13;11;11;11;10;10;8;4,60S ribosomal protein L17,RPL17;RPL17-C18orf32,sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=1;tr|J3QQT2|J3QQT2_HUMAN 60S ribosomal protein L17 (Fragm,13,13,57.6,184
ITGB6,-0.12149817,0.340131645916479,0,P18564;A0A087WXP3;E9PEE8,P18564;A0A087WXP3;E9PEE8,1;1;1,1;1;1,1;1;1,Integrin beta-6;Integrin beta,ITGB6,sp|P18564|ITB6_HUMAN Integrin beta-6 OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=2;tr|A0A087WXP3|A0A087WXP3_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1;tr|E9PEE8|E9PEE8_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1,1,1,1.1,788
VTA1,0.1756891805,0.155969832870634,0,Q9NP79;A0A087WY55;Q5TGM0,Q9NP79;A0A087WY55;Q5TGM0,5;5;3,5;5;3,5;5;3,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,"sp|Q9NP79|VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|A0A087WY55|A0A087WY55_HUMAN Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|Q5TGM0|Q5T",5,5,20.5,307
AP2M1,-0.1635400567,0.491480182746877,0,Q96CW1;A0A087WY71;E9PFW3;C9JTK4;C9JGT8;C9JJ47,Q96CW1;A0A087WY71;E9PFW3;C9JTK4;C9JGT8;C9JJ47,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,AP-2 complex subunit mu,AP2M1,sp|Q96CW1|AP2M1_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2;tr|A0A087WY71|A0A087WY71_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=1;tr|E9PFW3|E9PFW3_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=960,2,2,6.7,435
UBE2D3;UBE2D2,-0.6460327731,0.0047462071399498,0,P61077;P62837;D6RAW0;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;D6RA11,P61077;P62837;D6RAW0;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;D6RA11,2;2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;2;1,1;1;1;1;1;1;1;1;0,Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2,UBE2D3;UBE2D2,sp|P61077|UB2D3_HUMAN Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1;sp|P62837|UB2D2_HUMAN Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens OX=9606 GN=UBE2D2 PE=1 SV=1;tr|D6RAW0|D6RAW0_HUMAN Ubiquitin-conjugating enzyme E2,2,1,19.7,147
POLD1,-0.5003017467,0.0288938831760103,0,P28340;M0QZR8;A0A087WYJ2;M0R2B7;A0A2R8Y705;A0A2R8Y7K6;M0QXE6,P28340;M0QZR8;A0A087WYJ2;M0R2B7;A0A2R8Y705;A0A2R8Y7K6,3;3;3;3;2;2;1,3;3;3;3;2;2;1,3;3;3;3;2;2;1,DNA polymerase delta catalytic subunit;DNA polymerase,POLD1,sp|P28340|DPOD1_HUMAN DNA polymerase delta catalytic subunit OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=2;tr|M0QZR8|M0QZR8_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=1;tr|A0A087WYJ2|A0A087WYJ2_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,3,3,4.1,1107
UGP2,-0.0485283616,0.68590678295119,0,Q16851;A0A087WYS1;E7EUC7;C9JQU9,Q16851;A0A087WYS1;E7EUC7,18;18;18;7,18;18;18;7,6;6;6;0,UTP--glucose-1-phosphate uridylyltransferase,UGP2,sp|Q16851|UGPA_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5;tr|A0A087WYS1|A0A087WYS1_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=1;tr|E7EUC7|E7EUC7_HUMAN UTP--gl,18,6,39,508
PTGES3,-0.039700297,0.738089082085154,0,Q15185;A0A087WYT3,Q15185;A0A087WYT3,5;5,5;5,5;5,Prostaglandin E synthase 3,PTGES3,sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1;tr|A0A087WYT3|A0A087WYT3_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,5,5,26.2,160
EIF3H,0.1209241873,0.325387098459035,0,O15372;A0A087WZK9;B3KS98;E5RJT0;E5RGU4,O15372;A0A087WZK9;B3KS98;E5RJT0,7;7;7;5;2,7;7;7;5;2,6;6;6;4;1,Eukaryotic translation initiation factor 3 subunit H,EIF3H,sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|A0A087WZK9|A0A087WZK9_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|B3KS98|B,7,6,28.7,352
SBDS,0.3141919684,0.159863360208738,0,Q9Y3A5;A0A087X020;F8WE72,Q9Y3A5;A0A087X020;F8WE72,4;4;2,4;4;2,4;4;2,Ribosome maturation protein SBDS,SBDS,sp|Q9Y3A5|SBDS_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=4;tr|A0A087X020|A0A087X020_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=1;tr|F8WE72|F8WE72_HUMAN Ribosome maturation protein SBD,4,4,18.4,250
HYOU1,-0.0719604539,0.634537523363788,0,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2;J3KTF1;Q9BST8;J3QQH7;J3QLE9;J3QL06;A0A087WW13;A0A087X214,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2,14;14;14;12;12;12;4;3;3;3;3;2;1,14;14;14;12;12;12;4;3;3;3;3;2;1,14;14;14;12;12;12;4;3;3;3;3;2;1,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087X054|A0A087X054_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A494C039|A0A494C039_HUMAN Hypoxia up-regulated pro,14,14,18.4,999
