ID,Intensity_L_WSB1_N1,Intensity_L_WSB1_N2,Intensity_L_BirA_alone_N1,Intensity_L_BirA_alone_N2
protein_115,26.3699584087613,27.2943711445639,24.488572259339,26.2951142796627
protein_120,24.90405395549,26.5624062314561,27.4824589983135,27.5099273384295
protein_121,26.7976745286231,26.9116161032073,28.0243932289018,27.8248166027042
protein_123,26.9238691643376,26.9056778957574,26.5308850578073,26.1250242977785
protein_124,22.2694630552219,24.1244021578462,25.18956900772,24.552803861608
protein_125,24.5564858352911,24.2204322945782,24.0443860681754,23.8306672139678
protein_126,23.8847830346959,24.4822212718951,24.5626849272457,23.834477607663
protein_131,32.7417215734575,32.71887885522,32.5765409421713,32.3305335418508
protein_132,25.7535061197642,26.8512042721013,24.9462783723993,24.1541206742104
protein_137,28.0659839734182,28.12123995406,28.1531791259487,27.3128530688873
protein_143,25.292441619,26.4530444544844,26.6096629801919,26.3438059972162
protein_145,25.2198908820062,25.4270416040321,25.5066517032832,25.065771121712
protein_146,25.6696258492907,24.9043336207468,25.0312461952722,24.5438045651159
protein_151,27.3381400008323,22.9378106519932,27.2101078129356,24.3188002914936
protein_152,25.3335680825412,25.7058635310373,24.262986028309,24.001234400755
protein_154,27.3589502061877,26.5821173038945,26.4730550652948,26.1331565483711
protein_155,28.9321910049809,28.4374950685,26.6764537051581,26.2394840210911
protein_158,24.979730037462,24.6888094393852,4.54533914757274,4.53120146157514
protein_159,23.8595636256254,24.4534646977268,25.945838823081,26.115209444846
protein_160,29.248519876542,29.5584437021788,28.9040165693667,28.8194010607765
protein_161,24.7755705942321,23.478457874382,23.5373013535713,23.4150129477086
protein_164,29.3551297364239,30.1320888067436,29.7830589982861,28.8737153198079
protein_166,31.7292448825264,31.7939253915314,32.0208762515221,32.0056161001136
protein_167,27.1702539705867,26.5819971944126,23.2978277775213,24.0060544988532
protein_169,26.4203627489643,26.5751343717629,27.209192438757,27.5002377957216
protein_174,26.2198908820062,25.9875747595557,25.7457098625184,25.9454416519095
protein_175,27.8594822117239,28.573776001239,27.3170323544121,27.6210589285023
protein_176,28.5457455848569,28.14777453074,28.3459346897839,28.1650857546801
protein_181,28.375947070426,28.3909813213207,27.2470192799039,27.8856244884622
protein_182,27.7345433259721,26.7318847226055,26.3270484220599,26.1925048532032
protein_183,21.9276522112964,23.0892730051617,23.1528908029099,24.1565210120689
protein_189,31.041327146413,30.9988090443035,31.1593364162986,31.3101086775148
protein_190,25.7729795076282,25.5077121032495,25.8911506793652,25.8370122905462
protein_192,28.1836068709459,28.1280840277319,23.9709904394984,24.1288610984289
protein_194,22.1388428240472,28.4141726665804,4.54533914757274,4.53120146157514
protein_201,30.361790972007,30.3833855490119,30.2607631864222,30.2000203674382
protein_203,22.9262225847885,22.366658241576,25.3650936088099,24.5997613543874
protein_205,25.6092949019781,26.2061640384694,26.0201643699618,26.0406766939824
protein_206,25.4063592562768,22.7613663806503,4.54533914757274,4.53120146157514
protein_209,28.9809514132185,29.0520795900239,28.3861205112077,27.8469209591317
protein_212,4.4365090982425,4.39377702312055,23.7471160508608,23.2145938656682
protein_213,23.3623081802967,22.6384236414438,25.287675422559,24.2873844874968
protein_214,28.1130762907106,28.1580034425452,28.5549651311835,28.7290928302625
protein_215,26.8815994916197,26.4735196565909,28.041758835892,27.6127624978059
protein_220,27.7654769510588,27.7535894887473,27.9589985111617,28.0174254024033
protein_223,4.4365090982425,4.39377702312055,25.3139944610157,24.5217023049102
protein_224,29.1278116627966,29.2365995428044,29.6726023030837,29.5751285428057
protein_226,27.4326934040902,27.5210300412538,28.3037400276393,27.8895840266546
protein_230,25.9017035971764,26.0910634316069,26.2770318489703,26.1508831306832
protein_232,26.4114356232131,26.0951258682598,26.512218269851,26.0529935657383
protein_235,25.0203689009012,25.2656436390992,26.9019220205624,26.6288093234123
protein_236,26.4209835151331,26.6229694559267,26.7920866717417,25.1380466878019
protein_237,28.103268701899,28.4986798483184,28.0000272334414,28.1448279577179
protein_239,25.8433122321021,26.0966568470772,26.0778108607248,24.9864172769442
protein_241,29.3820349619824,29.8881038549128,29.4488137972286,29.1392374637632
protein_243,26.1818173301831,26.2438833022012,26.2818162503403,26.3256463445488
protein_247,27.1728361775512,26.8411025150586,25.9804943329841,25.9146300357971
protein_248,4.4365090982425,4.39377702312055,27.380323287941,27.3968548637951
protein_251,25.1381047181522,25.0004658843992,24.9758578570783,26.3819805757971
protein_255,25.9059472563403,25.8810919575574,26.834290554938,26.7059506910631
protein_256,26.962616061291,27.3989123694326,26.1376201104973,26.8162733326024
protein_257,26.6439767413629,26.7131424992717,4.54533914757274,4.53120146157514
protein_258,28.2675699002202,28.4580596788762,28.1424643899071,28.2492376056373
protein_260,31.2305581994098,31.2494185188085,31.1996445421166,31.2423958414764
protein_266,30.3052864735749,30.662043365349,30.2899221536162,29.8954684887812
protein_267,29.3166360804059,29.2958731697291,29.2131113882174,29.1859671193517
protein_269,27.1876252400257,26.5648393124626,27.4619655167575,27.6228961185457
protein_271,28.0770761910505,28.0198108381667,27.5164742915951,27.3990981787142
protein_272,27.3643751612477,26.8882010028231,27.0070267400348,27.3106786976529
protein_273,29.7557496862494,29.921237598747,30.2969861124871,30.4069466573699
protein_274,26.8393444639739,26.0112460799638,27.2322905861562,26.4126204820646
protein_276,28.2592821182681,28.1860511329859,27.857327587172,27.8642508376696
protein_279,29.6955967006552,29.6392948806724,29.9842333295632,30.1289610013429
protein_281,27.2814995041135,26.8988475327236,27.9207682251853,27.7014212307882
protein_285,31.5613851135129,31.6914979037684,31.9035619306134,31.8223021760573
protein_286,30.0294185209273,30.2260695740555,30.3055306461671,30.2590706802546
protein_287,25.2005459109547,27.821905365236,26.1066356482879,25.9824939775209
protein_294,27.5326736203752,27.8504067072736,27.8787036929618,27.5516469429319
protein_298,4.4365090982425,4.39377702312055,25.6067662801062,23.7621208329853
protein_299,25.8211180816044,24.7469622938282,24.0858978496354,24.5981321874622
protein_302,25.7712495276072,25.1969389143821,26.517129576861,26.1072137536489
protein_307,28.7988425308544,29.1769545525507,28.9041781841809,28.6927011397038
protein_308,24.6740534664721,21.9472409454323,24.0177465698136,23.2937729395315
protein_309,27.8601181356015,28.2560020012189,28.0388177104844,28.3020004158586
protein_310,23.7802873644609,24.378048071531,26.8116035957203,25.7481710477595
protein_311,29.281746350729,29.6816529774454,29.4869708433344,29.6954615952291
protein_312,28.731210182308,28.6276610564858,27.6302672153028,27.5332931438041
protein_313,25.4982490645222,23.5438534858944,23.8459980774062,25.5581556683794
protein_316,24.8154423365479,24.6186900199073,23.662866968575,24.8921207497429
protein_318,27.3632630916125,27.3660863828095,27.6501574044823,26.3845818734284
protein_321,26.8742646749718,26.3885797452302,26.9567875792943,26.5945960017593
protein_323,25.1277482880227,24.6647849615643,24.6353580183986,24.3981037477477
protein_324,26.351262936284,25.780216811929,25.8575279012039,26.7181112365725
protein_326,28.8029495675844,28.5337853317373,26.5049263862263,26.16967480719
protein_327,24.5815781150916,24.4172458451377,24.1552175029292,24.2710328931926
protein_329,26.3642317165505,26.1911706727303,26.216655390967,26.4717551408486
protein_330,21.7021864150045,22.5132203427859,4.54533914757274,4.53120146157514
protein_331,23.4999736200442,23.5248841042307,23.8796573887575,24.187277038388
protein_334,26.2358158742092,27.6351765459031,24.3380246540319,24.773653518451
protein_335,28.2204258776668,26.7213449341377,29.0736497204204,28.9171027199353
protein_336,21.8311331921332,24.4274962278033,4.54533914757274,4.53120146157514
protein_338,27.0450176861551,27.9442202346688,28.3614375089908,27.9012602373088
protein_341,4.4365090982425,4.39377702312055,24.062223973004,24.1663575028062
protein_343,21.0892159471531,21.5084959499168,24.2459485206663,24.3049683359644
protein_344,25.5666699310985,25.3692218445174,24.1125503516386,23.3205467562448
protein_345,28.1119874722693,28.046910891871,27.4313419082035,26.7277508856796
protein_346,24.7490963853686,24.1884120069915,25.0751433720914,25.0591744700946
protein_347,26.5258925829561,26.5582605531985,25.8768932260708,25.769347097735
protein_349,28.3955561677239,28.3640970600309,28.5844603741626,28.1950330886319
protein_351,25.4017542384529,24.1251936876983,25.3458989952669,25.6145095496048
protein_353,24.0791970461759,23.7695404079801,26.0932311459684,25.9827281158011
protein_355,27.6314559983582,27.3106268299782,27.5629715703157,26.9842880673399
protein_356,27.5943905808099,27.7878393634424,27.8337646152215,27.5262605868725
protein_357,24.9599891249141,23.8299386157817,4.54533914757274,4.53120146157514
protein_361,27.3650563288554,27.7260810653484,28.0088464735171,27.7671588520065
protein_363,27.3701727181436,26.6456731141906,27.3931617219277,25.938216119072
protein_367,26.8175602621912,27.0365176084393,26.8954656193593,27.0315770174136
protein_372,27.5851889059332,26.2227915422356,26.5260204341428,26.1272852435034
protein_375,29.1325568541403,30.0118525316547,28.7625478166788,29.3863478838328
protein_381,28.3606589320232,28.1652370261494,28.0063644492702,27.3578741035285
protein_382,27.8643589319987,28.1212812807774,28.1728979758927,28.0817434304497
protein_383,25.6426763237348,25.479283569091,24.1664717067333,25.5505943930013
protein_384,25.1186101405661,25.3943641855002,25.5486105450353,24.7419753965456
protein_385,23.6624106134293,25.0624220297507,4.54533914757274,4.53120146157514
protein_387,25.3905291669178,25.2987336794428,26.5917333917278,26.4600308412481
protein_389,26.277848842565,26.404152970461,24.8152520689599,23.7349501708119
protein_390,23.0303477159466,24.6562307791344,23.1134676198411,22.6414469995602
protein_391,25.3620783328368,26.0546353716652,23.2405520524342,25.3714090135466
protein_392,23.8783285506807,23.7083526269302,26.1911858292944,25.40518628827
protein_393,27.9351152816804,27.9358795794822,28.4754063630781,27.8960210867161
protein_394,24.6723396666586,24.2218513895687,24.1258050837361,24.236454498791
protein_396,28.6238371382126,28.426131926479,26.3485855125779,26.5397082039963
protein_398,31.2772299768205,31.3051437071028,31.7969537207095,32.0788563679478
protein_402,27.0565158107932,26.8011084779796,25.3273136034132,25.1500031137762
protein_403,28.2480729419793,28.1610218445966,27.6447511533559,27.8783719459143
protein_405,23.6224284757429,22.9647251365157,23.6499878017221,23.6989215776044
protein_409,29.1117738820637,28.9190759727637,29.7807063055691,29.6897760510012
protein_410,4.4365090982425,4.39377702312055,25.2916836673748,22.454098994323
protein_412,25.4342316226397,24.7234155018366,26.498903579529,25.5953787896373
protein_413,27.7259727249726,26.6504920459589,28.2019141981398,28.354962913299
protein_414,29.9378047288818,25.421386964387,27.6771726310483,26.8529816633511
protein_417,24.4132532051189,24.4209035504928,4.54533914757274,4.53120146157514
protein_419,26.8787403346131,26.1389266343682,27.3873927801361,26.8799091810527
protein_421,27.089255869486,27.6349449922487,27.6452346788627,27.677513894475
protein_423,24.0755919255011,22.413352045483,22.5644202936401,22.2307005356361
protein_424,23.1307028150452,24.5927433530296,24.719096021575,24.6644372874851
protein_425,26.1636339227294,26.2305206820266,27.1316694809023,26.1506284441457
protein_426,23.8571599820786,23.65892080148,24.4569285449405,23.7527546251251
protein_427,25.2017505594966,25.1192466012904,26.4121053882906,25.95300299189
protein_429,32.1341088322537,32.3061211197046,32.684512806161,32.4293983504554
protein_430,25.2411687021689,25.5803386615982,25.7100282337308,25.7297207107999
protein_434,26.1325568541403,25.8797050230336,25.7354283858752,25.7754265542918
protein_435,25.1854429088733,25.1012568211983,24.6403339062057,25.3578741035285
protein_436,27.0663808088053,26.5615536827599,27.5176366901528,27.1155890889496
protein_437,23.7068909925387,21.4241768552574,24.1753908583316,22.1477125544517
protein_441,25.5872183159462,26.3661561338207,26.6984636680989,25.6326275163021
protein_442,26.9844320383103,28.4765272598994,30.1069761909742,30.3342655179706
protein_444,24.1164655773884,23.6704446383541,4.54533914757274,4.53120146157514
protein_445,26.8638009766274,26.0814094096786,27.0126589598997,27.3509378146683
protein_446,24.1327589688843,25.3601732029597,23.4855512688887,24.2440272615737
protein_447,26.6607179600062,26.0262254810247,24.1023315699606,23.2898255252265
protein_448,25.2609049626827,23.9601484292117,23.8222477990533,25.9597586208352
protein_452,27.708959680811,27.7748674694314,27.6678746826474,27.4441920657466
protein_453,27.6079325407316,28.1329294246366,27.9430414091904,27.530448642494
protein_454,25.7523008149093,25.5645232438797,24.7634567357037,25.4468533953441
protein_459,4.4365090982425,4.39377702312055,24.283506928209,24.7685929051093
protein_460,29.3704762686165,29.6924022185371,29.5538324345442,29.3585007465069
protein_478,24.211319808667,23.8547282137988,25.3896800406468,26.6679521662439
protein_481,24.0691644047361,25.9388465046901,4.54533914757274,4.53120146157514
protein_482,25.7316550466472,25.6568923513376,24.4318576649868,23.5395667425028
protein_485,28.9284363501087,28.6155953140697,27.7817621936676,27.903254382484
protein_487,25.0520611374882,24.0314071123816,4.54533914757274,4.53120146157514
protein_490,24.3018491282523,25.7006954253366,23.8996380060416,23.6605398649233
protein_492,30.3291837405956,30.1182820212158,28.4581729264099,29.0051519562877
protein_493,23.8311581014738,21.9239277400442,4.54533914757274,4.53120146157514
protein_494,24.7751822277844,23.2551359812808,4.54533914757274,4.53120146157514
protein_496,27.9336418004179,28.5351198243573,28.0090719004882,28.8080315552879
protein_497,23.9398010823143,23.2597087110706,4.54533914757274,4.53120146157514
protein_502,24.8110287505844,24.869644114889,23.9864598733176,25.039551746527
protein_503,26.3276212382484,26.8532957843835,26.9870855893159,24.7852737273297
protein_504,26.3430614532673,26.5294007568989,27.5403782225945,27.7054463679535
protein_570,30.4313076037416,30.4749272193045,30.7435934909513,30.5230668306303
protein_571,27.1139936760313,27.8204297745741,27.8398605188299,27.4945021501663
protein_572,25.8833022595957,26.276713669768,25.7090295088373,25.0621319244923
protein_573,28.8044040973304,29.0938923331179,27.8544868130226,27.7370952590623
protein_574,27.139069212671,25.2341328550784,25.0970252551848,26.4340301968291
protein_578,25.4895952284594,24.4441909504109,25.1911593386261,24.8532662466523
protein_585,27.7319886049026,28.0974049214624,26.6248249973131,25.0471841476292
protein_589,24.9682992651663,23.9289077489598,23.7543058147737,23.2730763709293
protein_590,27.7498871800574,27.627864693433,27.18478746942,27.5143429736579
protein_591,27.3847776449455,26.8865485980142,27.9436705142002,27.5251000388361
protein_593,25.5173389664393,25.5794725826389,26.8788681682559,26.3741484218251
protein_596,25.7749232587258,25.7813261507309,23.6508664364404,24.4335544774758
protein_597,24.2547431207078,22.9475840624201,23.0966632635469,24.7744351248351
protein_601,26.5053561116138,25.8121077381685,26.074597794023,25.5047737204821
protein_604,24.0977100891279,25.2506091653895,24.404608010582,24.9961404421826
protein_605,24.8982204023873,25.8946563719055,26.7911606632063,26.8647449475791
protein_607,25.2112560107127,26.1471333167002,25.1010914147286,25.0048253656236
protein_609,27.6877942361176,25.3981621557183,4.54533914757274,4.53120146157514
protein_610,26.055672168408,26.8217019251961,26.2233547428281,26.9552848980068
protein_612,25.2079186367067,24.5989296723453,23.9896314372113,25.1039169280303
protein_614,27.3829025674431,27.6973727729216,28.4682097739962,28.2453397443242
protein_616,30.529159136199,30.7859635678346,31.3009348523973,30.698533585006
protein_617,26.7255261047257,25.8027997970958,24.4355299001949,24.3546212162839
protein_618,23.6987229743892,25.5355168303735,23.5616361473247,24.7965051448915
protein_619,24.8052074267509,25.4566126261869,23.3562088476638,24.7816898351851
protein_620,27.9624028603782,28.3564282543923,29.0647130255907,29.2055478344466
protein_623,23.2890603952923,23.3687763276326,24.0376837767023,25.4493404113885
protein_624,24.6901422705631,24.4189682734775,25.3327991424969,24.777317393419
protein_625,26.02523992789,25.6734465628308,4.54533914757274,4.53120146157514
protein_626,26.7569521143724,25.8344831134628,24.6984450306749,25.7787264071506
protein_627,26.587771296314,27.6255356993993,24.3957157556493,24.0057473137054
protein_630,25.5497403761008,25.5222824894972,25.4721832408539,24.2608576718837
protein_633,30.2291066349423,30.1027729392027,25.7048421421368,27.0109350772431
protein_634,28.3666146341705,28.4796897922357,28.6301206620098,29.0699154963064
protein_637,24.8365036479458,24.1251936876983,4.54533914757274,4.53120146157514
protein_638,24.6101661385046,23.6732436220068,24.4608892146544,23.9452013829372
protein_640,25.0280315283476,22.7371841299961,24.750355879397,26.4099145341407
protein_641,25.2821829759182,24.3572004811425,23.9698791067634,24.2623156760915
protein_646,25.1702457657404,24.9688097485347,24.3354382341562,24.2055812697664
protein_648,24.883102038231,23.6514310098335,4.54533914757274,4.53120146157514
protein_651,28.9822371856714,28.8798467077685,29.2604318316414,29.2832980901129
protein_652,29.3357827002581,29.608094818355,29.1208627259457,29.7814356381902
protein_656,21.6486155830578,24.5533434791423,26.419089073523,26.0855273598925
protein_657,27.101699304771,27.3437327382281,27.0023390151843,27.0421003693372
protein_658,28.491435233316,28.3683515662563,27.6516020740254,28.2176452789328
protein_659,27.1445086145703,27.7008613572524,25.0625136184587,25.9463489737439
protein_661,27.9162819856607,28.0078792080236,27.6374787564621,27.434810037146
protein_662,25.5521351004331,25.6966851362221,25.8813987227539,23.9450945838817
protein_663,28.8487821968009,28.9864181450885,26.9003349327771,26.3236144227281
protein_664,27.1404100463566,28.0887236082886,25.9365140082767,26.0955936412597
protein_665,26.2145697690549,25.0501793145029,27.4599880179148,27.8340018584559
protein_667,29.6681159642331,29.9251487891769,27.4968903768948,27.6664630327713
protein_668,26.5548401347686,26.3091618629633,26.8150629881672,26.4630361264532
protein_669,25.1664830328838,25.331510475384,24.2727323075992,25.2212327701235
protein_670,26.7590812316149,25.876594226237,25.9844129553452,26.2149792440686
protein_671,24.8909499000537,24.8260492923387,23.6913603065818,23.6639182390748
protein_672,29.0522481367747,29.5245497843287,29.4134287612018,29.5142304977255
protein_673,27.7146248869853,26.6012071628519,27.6813278071745,27.7187829586825
protein_675,22.6309433622688,23.6270499731269,4.54533914757274,4.53120146157514
protein_676,25.4606367459476,25.6561851422806,25.8388463219229,26.0019019704169
protein_680,27.1269030249092,27.7169761063888,26.4191569304607,26.410243384387
protein_682,26.2477619492985,27.1677202196926,25.6565799049081,25.6045026099627
protein_683,25.1490702428204,23.8304240448041,23.2216076018075,22.7775573227462
protein_684,23.3307078469199,22.9617593140841,4.54533914757274,4.53120146157514
protein_686,26.2965367654623,27.5165750481344,25.9270012806761,25.7073209289766
protein_689,24.0222974676092,25.6075225930377,4.54533914757274,4.53120146157514
protein_691,25.2456298451084,26.0461796993501,24.8764979130006,24.5020175780947
protein_699,28.4664450619883,28.3201994375746,27.5913520423036,27.8811657017077
protein_700,23.6688362603685,22.9781497467665,23.215827499227,26.2975004569881
protein_708,29.5744254137951,29.5480899000943,29.8471501715041,29.6016681960977
protein_713,26.8798947115447,27.3690826352694,26.7311713035619,25.5791601042332
protein_715,4.4365090982425,4.39377702312055,25.8865119946379,25.8234228626698
protein_719,26.7310433228085,26.400343513217,24.3380246540319,25.128767065837
protein_722,28.4916650690061,28.34811826291,28.4301639460525,28.3402166720641
protein_729,26.1151875365186,26.7318847226055,26.4304220581357,26.7747055822626
protein_732,25.4741255921052,25.1465324272115,23.9107486343877,25.1430832543478
protein_737,4.4365090982425,4.39377702312055,24.1190258548775,25.2774515885335
protein_738,26.4450552047488,25.1468247830891,23.4163132527552,25.0245185617568
protein_740,25.5287752194785,24.612917260858,27.3205483153259,26.4838996384318
protein_741,27.6474289783287,26.5918131129095,27.4417335140501,27.4820421422178
protein_742,24.100433945066,27.8657322469113,28.7669534034411,28.6381707814868
protein_743,28.5253955469682,27.8321924561286,27.6929738690538,27.4775263726486
protein_745,23.5819975785019,24.3814751648106,25.1646380691873,24.0048253656236
protein_746,29.6519750813622,29.3915125586989,28.249374700902,28.748882456607
protein_747,25.2511016125356,25.2887889757471,26.4111731870577,25.6704575613504
protein_748,24.7399046165187,24.0052749919514,24.1193600054386,24.1280145843799
protein_750,4.4365090982425,4.39377702312055,25.5751624557029,25.7378815067197
protein_753,24.5867020096351,22.2233306976101,4.54533914757274,4.53120146157514
protein_756,30.2207626250331,30.5260801474494,30.5718751550294,30.478103150748
protein_757,29.469898862201,29.6056155038588,29.7527316254474,30.4407164596012
protein_758,27.0262828782565,27.1999318148718,26.187445835827,27.0133564554695
protein_760,26.3285038004951,26.6508356402226,28.4515532763261,27.5049548611743
protein_762,26.6432675679711,25.7430787438303,27.6409740823169,27.1832531601737
protein_764,26.8238328592067,26.9386026208182,25.7069558727345,25.8089708290145
protein_765,25.2486481017677,23.9560762586269,24.1681953569274,23.5831804309893
protein_768,28.9188236203914,28.8618047961453,29.3241463243345,29.5421241688134
protein_769,28.3188768225235,28.2614122548545,25.5215186480903,26.3968743859234
protein_770,22.7349871638592,23.5549598894613,4.54533914757274,4.53120146157514
protein_774,22.1834930571899,23.7175666711629,22.1640551315604,22.8348004510928
protein_775,24.3140205694547,25.9560947945218,24.3763678277267,24.9635069112211
protein_778,29.5711666627206,28.9742288185817,29.8053825329097,29.7627723780689
protein_780,23.9728410534844,24.4426042342915,4.54533914757274,4.53120146157514
protein_783,24.2983998198658,24.6388763589028,23.702836799792,23.9950575893748
protein_784,28.2102867323234,28.4046624026775,29.4573471292984,29.4752862880167
protein_785,30.0708816516725,29.8060273904967,30.5359523749125,30.5641745461711
protein_787,31.9373829498871,31.852044976283,31.7443271268893,31.3516178381807
protein_788,27.0037146108862,26.7341564282343,4.54533914757274,4.53120146157514
protein_789,23.1390440601337,24.3020917397104,24.3825985762995,25.1781279668741
protein_790,26.1577698042848,26.3483301279579,26.0925221839991,26.6113666965303
protein_793,22.6069932762516,23.1400202962624,23.1494700532623,25.0921977880869
protein_795,25.5761139633676,25.2636081324378,4.54533914757274,4.53120146157514
protein_796,24.5022958975849,22.2150517516979,4.54533914757274,4.53120146157514
protein_798,25.9130250875808,27.7364245623985,26.6140959560961,26.4048368687291
protein_799,26.7599538074581,26.8262724015337,26.7913004761722,27.9115451654322
protein_803,25.3944678843744,25.4174343359277,25.48243735069,25.7282319573202
protein_804,30.2854913347837,30.923075993663,28.7941113357413,29.6740343447352
protein_808,25.0620538242608,26.4906403964785,25.9093644762495,26.6996972499059
protein_812,25.1555335167799,26.8332524633788,4.54533914757274,4.53120146157514
protein_814,29.3282648265257,29.5992798331234,29.87322418497,29.9574705491237
protein_816,24.6971065857128,25.696330098681,26.4936719898353,25.5476079912414
protein_818,27.3753422041321,27.0571434294971,25.3194338347445,25.4469288224911
protein_819,26.2521872786034,26.31865045712,25.9856964375675,25.8820027745718
protein_822,26.6075387300743,26.2944004673359,26.3853797653903,27.2087207350148
protein_823,26.2444924722764,25.0016157858576,4.54533914757274,4.53120146157514
protein_828,4.4365090982425,4.39377702312055,22.7298297227775,24.1121211274534
protein_830,26.1180828055455,25.6919292630558,4.54533914757274,4.53120146157514
protein_832,22.7040374434999,22.2364545602147,4.54533914757274,4.53120146157514
protein_834,30.7088255321195,30.733331996292,28.2421050941723,28.1982851814342
protein_835,25.9419556796769,25.6230628538934,25.6409934771592,24.9546749742623
protein_836,24.4162451424475,23.6670967917319,23.541596330614,24.3944320702862
protein_839,28.0236967927697,27.0973629050938,28.1401334812366,27.3383881609944
protein_840,23.3741530806841,22.419839469409,22.7535023407068,23.0960313893537
protein_841,29.3278970969524,29.5092351568828,28.9438670532702,29.2956797837037
protein_845,24.8530768416605,25.9478599886189,24.7002331263893,25.6575446942902
protein_849,29.8175602621912,29.4603320905836,29.8841624679254,29.960164936108
protein_850,27.2998780334283,27.3159086502655,26.3415853611688,26.3764074945044
protein_852,26.2460502902022,25.5469827369303,26.0172087301798,25.6968616482582
protein_857,29.6466035535704,29.44423389971,29.2633010478619,29.1730585971957
protein_859,25.8237285390909,25.7653999502224,25.8042095730991,26.3525089392119
protein_861,28.5875255534287,28.3700915981163,27.2697751939716,26.1573970633519
protein_862,25.2949723464467,25.3558242254385,26.6794594587562,26.8965734730695
