Gene_names,DTL_vs_BirA_logFC,DTL_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DTL_N1,Peptides_DTL_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DTL_N1,Razor___unique_peptides_DTL_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DTL_N1,Unique_peptides_DTL_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DTL_N1,Identification_type_DTL_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DTL_N1,Ratio_H_L_DTL_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DTL_N1,Ratio_H_L_normalized_DTL_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DTL_N1,Ratio_H_L_variability_____DTL_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DTL_N1,Ratio_H_L_count_DTL_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DTL_N1,Ratio_H_L_iso_count_DTL_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DTL_N1,Ratio_H_L_type_DTL_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DTL_N1____,Sequence_coverage_DTL_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DTL_N1,Intensity_L_DTL_N1,Intensity_H_DTL_N1,Intensity_DTL_N2,Intensity_L_DTL_N2,Intensity_H_DTL_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DTL_N1,metacell_Intensity_L_DTL_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
PGRMC2,0.688175290942262,0.488675859529269,O15173,O15173,3,3,3,Membrane-associated progesterone receptor component 2,sp|O15173|PGRC2_HUMAN Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1,1,3,3,3,2,3,3,1,2,3,3,1,2,3,3,1,13.5,13.5,13.5,23.818,223,223,0.0,11.803,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4148,1.1025,10.22,8,0,Leave out requantified,0.36845,0.52262,0.47102,0.32139,0.94231,1.1684,1.1934,0.98583,22.202,27.346,12.841,,2,2,3,1,0,0,0,0,Median,Median,Leave out requantified,Median,9.9,13.5,13.5,3.6,339070000,234810000,104270000,37604000,25452000,12152000,47466000,30245000,17221000,209200000,146940000,62265000,44802000,32175000,12628000,,,,1010,2520;4604;7023,True;True;True,2638;4788;7361,7572;7573;7574;7575;13164;13165;13166;20433;20434,14920;14921;14922;14923;14924;14925;14926;14927;25259;25260;25261;25262;25263;25264;25265;25266;25267;39280;39281;39282,14923;25263;39280,,,,,-1,protein_1011,quanti,quanti,quanti,quanti
NKRF,20.3330701250089,2.22435788695063e-06,O15226,O15226,4,4,4,NF-kappa-B-repressing factor,sp|O15226|NKRF_HUMAN NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF PE=1 SV=2,1,4,4,4,0,0,2,3,0,0,2,3,0,0,2,3,7.1,7.1,7.1,77.672,690,690,0.0,3.9137,,,By MS/MS,By MS/MS,0.44732,1.3011,85.166,4,3,Median,,,1.9243,0.34112,,,5.1342,0.98062,,,,42.479,0,0,1,3,0,0,1,2,Median,Median,Median,Median,0.0,0.0,3.9,4.8,155370000,95154000,60217000,0,0,0,0,0,0,49972000,19778000,30195000,105400000,75377000,30023000,,,,1012,3174;3653;9789;11538,True;True;True;True,3312;3813;10244;12062,9302;10542;28548;28549;33340,18131;20396;54373;54374;62900,18131;20396;54373;62900,,,,,-1,protein_1013,quanti,quanti,imputed MEC,imputed MEC
SURF4,0.109928951560828,0.705757489492465,O15260;Q5T8U5;B7Z1G8,O15260;Q5T8U5;B7Z1G8,2;2;1,2;2;1,2;2;1,Surfeit locus protein 4,"sp|O15260|SURF4_HUMAN Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3;tr|Q5T8U5|Q5T8U5_HUMAN Surfeit 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=1;tr|B7Z1G8|B7Z1G8_HUMAN Surfeit 4, isoform CRA_b OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=1",3,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,10.4,10.4,10.4,30.394,269,269;186;226,0.0,4.4938,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39357,1.084,17.083,7,4,Median,0.36764,0.40052,0.44817,0.32946,1.269,0.91417,1.1277,1.05,,29.253,5.8809,4.5063,1,2,2,2,1,1,1,1,Median,Median,Median,Median,3.7,10.4,10.4,10.4,296070000,206210000,89861000,46091000,32129000,13963000,62826000,44831000,17995000,78624000,50201000,28423000,108530000,79051000,29480000,,,,1015,5565;14360,True;True,5820;14953,16094;16095;16096;41175;41176;41177;41178;41179,30861;30862;30863;30864;77335;77336;77337;77338;77339;77340,30861;77338,,,,,-1;-1;-1,protein_1016,quanti,quanti,quanti,quanti
OGT,-0.0443724685851663,0.936339360100057,O15294,O15294,3,3,3,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,sp|O15294|OGT1_HUMAN UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens OX=9606 GN=OGT PE=1 SV=3,1,3,3,3,2,1,3,1,2,1,3,1,2,1,3,1,4.1,4.1,4.1,116.92,1046,1046,0.0,2.9099,By matching,By MS/MS,By MS/MS,By MS/MS,1.0747,2.3913,48.805,7,0,Leave out requantified,0.96695,1.547,1.0747,0.52916,1.6894,3.8146,2.3254,1.1757,49.144,,43.385,,2,1,3,1,0,0,0,0,Median,Median,Leave out requantified,Median,2.5,1.5,4.1,1.0,126430000,55726000,70705000,17883000,9071600,8811600,30989000,12737000,18252000,57682000,22486000,35196000,19876000,11431000,8445000,,,,1016,542;1804;8700,True;True;True,559;1889;9111,1501;1502;1503;5481;5482;5483;25355,2831;2832;10832;48286,2832;10832;48286,,,,,-1,protein_1017,quanti,quanti,quanti,quanti
PMM2,-20.1893373197518,5.59958004872149e-07,O15305;H3BRM0;H3BV55;H3BR08;H3BM92;H3BV34;H3BT06;H3BNY9;H3BPH4,O15305;H3BRM0;H3BV55,3;2;2;1;1;1;1;1;1,3;2;2;1;1;1;1;1;1,3;2;2;1;1;1;1;1;1,Phosphomannomutase 2;Phosphomannomutase,sp|O15305|PMM2_HUMAN Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1;tr|H3BRM0|H3BRM0_HUMAN Phosphomannomutase OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1;tr|H3BV55|H3BV55_HUMAN Phosphomannomutase OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1,9,3,3,3,2,2,0,0,2,2,0,0,2,2,0,0,18.3,18.3,18.3,28.082,246,246;155;219;65;66;70;90;91;142,0.0,4.9086,By MS/MS,By MS/MS,,,0.36671,0.8261,19.448,4,3,Median,0.31574,0.38141,,,0.82613,0.75556,,,15.775,28.391,,,2,2,0,0,2,1,0,0,Median,Median,Median,Median,10.2,12.6,0.0,0.0,67709000,46311000,21398000,40264000,28553000,11711000,27445000,17758000,9687300,0,0,0,0,0,0,,,,1017,182;11839;15642,True;True;True,188;12374;16270,482;34185;34186;44854,917;918;64534;64535;64536;84761,918;64536;84761,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1018,imputed MEC,imputed MEC,quanti,quanti
PPM1G,-0.434089761848423,0.581556520655122,O15355,O15355,11,11,11,Protein phosphatase 1G,sp|O15355|PPM1G_HUMAN Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1,1,11,11,11,5,6,4,9,5,6,4,9,5,6,4,9,26.4,26.4,26.4,59.271,546,546,0.0,32.053,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38234,1.0773,23.152,26,9,Leave out requantified,0.43312,0.40236,0.38506,0.34347,1.3787,1.0634,1.0156,1.0885,10.034,8.7443,14.637,24.409,6,6,3,11,2,2,1,4,Leave out requantified,Leave out requantified,Median,Leave out requantified,11.9,14.8,9.0,24.7,1303100000,939710000,363410000,219820000,156630000,63197000,300160000,216100000,84061000,132800000,92440000,40364000,650330000,474550000,175790000,,,,1018,870;1086;1098;2234;5211;5681;10011;11962;12821;17252;18464,True;True;True;True;True;True;True;True;True;True;True,899;1132;1144;2337;5445;5939;10469;12497;13376;17965;19203,2484;2485;3193;3194;3195;3196;3197;3198;3235;3236;3237;3238;6740;15027;16379;29119;29120;29121;29122;34534;34535;36883;49672;53047;53048;53049;53050,4707;4708;6103;6104;6105;6106;6107;6108;6109;6110;6111;6112;6113;6114;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;13329;28847;31334;55341;55342;55343;55344;55345;55346;55347;55348;55349;55350;55351;55352;65188;65189;65190;65191;65192;69536;94154;100393;100394;100395;100396;100397;100398;100399,4708;6113;6190;13329;28847;31334;55348;65192;69536;94154;100396,,,,,-1,protein_1019,quanti,quanti,quanti,quanti
EIF3D,-0.823289933729452,0.0284221834980012,O15371;B0QYA5;B0QYA4;B0QYA6;B0QYA8,O15371;B0QYA5,14;7;4;3;2,14;7;4;3;2,14;7;4;3;2,Eukaryotic translation initiation factor 3 subunit D,sp|O15371|EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1;tr|B0QYA5|B0QYA5_HUMAN Eukaryotic translation initiation factor 3 subunit D (Fragment) OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,5,14,14,14,11,11,7,12,11,11,7,12,11,11,7,12,37.0,37.0,37.0,63.972,548,548;269;105;173;123,0.0,36.174,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38582,1.0189,18.986,40,6,Leave out requantified,0.34251,0.34904,0.48083,0.41915,1.0249,0.89814,1.4453,1.2688,35.636,49.515,21.809,19.307,11,11,8,10,1,1,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,33.4,28.5,15.3,35.0,2282700000,1598600000,684190000,517880000,371430000,146450000,654890000,480860000,174030000,477130000,307770000,169360000,632840000,438490000,194340000,,,,1019,4258;4726;4727;6571;6572;11975;12125;13641;14945;15577;15769;16146;17962;18536,True;True;True;True;True;True;True;True;True;True;True;True;True;True,4436;4917;4918;6881;6882;12510;12662;14213;15551;16201;16398;16791;18694;19280,12193;12194;13484;13485;13486;13487;13488;13489;19002;19003;19004;19005;19006;19007;34574;34575;34576;34577;35007;35008;35009;35010;39054;39055;39056;42843;42844;42845;42846;42847;44671;45191;45192;45193;46376;46377;46378;46379;51673;53247;53248;53249,23430;25843;25844;25845;25846;25847;25848;25849;25850;25851;25852;25853;36428;36429;36430;36431;36432;36433;36434;36435;65260;65261;65262;65263;65264;65265;65266;65267;66110;66111;66112;66113;66114;66115;66116;66117;66118;66119;73433;73434;80402;80403;80404;80405;80406;80407;80408;80409;80410;80411;84324;85323;85324;85325;85326;85327;85328;85329;85330;87750;87751;87752;87753;87754;87755;97976;97977;100807;100808,23430;25847;25852;36428;36435;65265;66111;73433;80406;84324;85325;87755;97976;100808,,,,,-1;-1;-1;-1;-1,protein_1020,quanti,quanti,quanti,quanti
STX7,-0.704920266297933,0.199230795704703,O15400,O15400,4,4,4,Syntaxin-7,sp|O15400|STX7_HUMAN Syntaxin-7 OS=Homo sapiens OX=9606 GN=STX7 PE=1 SV=4,1,4,4,4,2,3,2,1,2,3,2,1,2,3,2,1,18.0,18.0,18.0,29.815,261,261,0.0,4.1355,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51685,1.3176,44.725,8,5,Median,0.30843,0.47485,0.81249,0.56257,0.81683,1.1762,2.1279,1.705,4.4505,26.781,51.735,,2,3,2,1,1,2,2,0,Median,Median,Median,Median,11.5,18.0,9.2,5.4,244680000,153380000,91304000,41551000,30193000,11357000,79359000,48599000,30760000,79830000,46476000,33354000,43942000,28110000,15832000,,,,1020,7482;7561;10600;15010,True;True;True;True,7839;7919;11079;15618,21738;21966;30735;30736;30737;30738;43025;43026,41633;42066;58112;58113;58114;58115;58116;58117;80809;80810,41633;42066;58112;80810,,,,,-1,protein_1021,quanti,quanti,quanti,quanti
P4HA2,-1.16196392335221,0.507744811107581,O15460;C9JN43;C9JIG4;C9JCP0;C9JX45;A8MXE0;E7ERI1;E7ENX0;E7EPI9,O15460,4;1;1;1;1;1;1;1;1,4;1;1;1;1;1;1;1;1,4;1;1;1;1;1;1;1;1,Prolyl 4-hydroxylase subunit alpha-2,sp|O15460|P4HA2_HUMAN Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens OX=9606 GN=P4HA2 PE=1 SV=1,9,4,4,4,1,1,2,1,1,1,2,1,1,1,2,1,11.4,11.4,11.4,60.901,535,535;101;114;146;153;167;184;204;236,0.0,7.8322,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.8009,4.2523,144.09,5,3,Median,0.053545,1.8009,2.2347,1.6144,0.19418,3.7129,5.6576,4.2523,,,5.6062,,1,1,2,1,1,0,1,1,Median,Median,Median,Median,3.4,2.6,5.4,2.2,231030000,147890000,83138000,107470000,100840000,6627300,16671000,6611600,10059000,79467000,29893000,49574000,27416000,10538000,16878000,,,,1022,635;7960;13466;14708,True;True;True;True,657;8339;14033;15309,1777;23074;23075;38552;42157,3368;44160;44161;72450;79073,3368;44161;72450;79073,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1023,quanti,quanti,quanti,quanti
MAGEB2,1.41737692322637,0.00502351802525248,O15479;O15481;Q96LZ2;P43366;Q9UBF1,O15479,4;1;1;1;1,4;1;1;1;1,4;1;1;1;1,Melanoma-associated antigen B2,sp|O15479|MAGB2_HUMAN Melanoma-associated antigen B2 OS=Homo sapiens OX=9606 GN=MAGEB2 PE=1 SV=3,5,4,4,4,2,2,4,4,2,2,4,4,2,2,4,4,13.2,13.2,13.2,35.277,319,319;346;347;347;373,0.0,80.175,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48972,1.2219,6.9053,12,0,Leave out requantified,0.53772,0.6056,0.52889,0.39153,1.2943,1.3113,1.3024,1.1468,21.995,16.072,6.0705,9.8084,2,2,4,4,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,5.6,5.6,13.2,13.2,362060000,234070000,127990000,29397000,18959000,10438000,43453000,26589000,16864000,127150000,74841000,52307000,162060000,113680000,48378000,,,,1023,1533;4319;13869;16945,True;True;True;True,1606;4498;14449;17641,4658;4659;12358;12359;39712;39713;39714;39715;48794;48795;48796;48797,9249;9250;23738;23739;23740;23741;74580;74581;74582;74583;74584;74585;74586;92406;92407;92408;92409;92410;92411,9250;23740;74584;92407,,,,,-1;-1;-1;-1;-1,protein_1024,quanti,quanti,quanti,quanti
DHX15,1.14894931161972,0.0166219112118251,O43143;Q14562;O60231;A0A140T947;F5H658,O43143,20;1;1;1;1,20;1;1;1;1,20;1;1;1;1,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2,5,20,20,20,9,11,14,15,9,11,14,15,9,11,14,15,26.4,26.4,26.4,90.932,795,795;1220;1041;669;1181,0.0,45.597,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29759,0.79849,19.289,49,20,Leave out requantified,0.2677,0.36774,0.32636,0.26307,0.7753,0.7891,0.84557,0.90066,29.864,19.32,17.541,16.969,9,10,15,15,2,5,6,7,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,13.2,13.7,19.5,21.9,2008600000,1446700000,561950000,251240000,173000000,78234000,237220000,154550000,82671000,692070000,514000000,178070000,828100000,605130000,222980000,,,,1026,1382;2213;2969;3044;3626;3762;4469;6171;6184;6556;7120;7359;10125;10126;14252;14406;14407;15119;18282;18528,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1446;2316;3101;3179;3785;3929;4650;6469;6482;6866;7462;7709;10589;10590;14842;14999;15000;15729;19017;19272,4136;4137;4138;4139;6672;8771;8962;10481;10847;10848;10849;10850;12777;12778;12779;17936;17937;17969;17970;18970;18971;20688;20689;20690;20691;21373;21374;21375;21376;29431;29432;29433;29434;29435;40863;40864;41295;41296;41297;41298;41299;43323;43324;43325;43326;52542;52543;52544;52545;53224;53225,8024;8025;8026;8027;8028;13206;13207;17219;17502;20305;20949;20950;20951;20952;20953;24457;24458;24459;24460;24461;34533;34534;34535;34536;34537;34578;34579;34580;34581;34582;34583;34584;36384;36385;39712;39713;39714;39715;39716;40890;40891;40892;40893;40894;55867;55868;55869;76733;76734;76735;77534;77535;77536;77537;77538;77539;77540;81401;81402;81403;81404;81405;99477;99478;99479;99480;99481;99482;99483;99484;100771;100772;100773,8028;13207;17219;17502;20305;20949;24460;34534;34578;36385;39713;40893;55868;55869;76734;77534;77540;81402;99480;100772,,,,,-1;-1;-1;-1;-1,protein_1027,quanti,quanti,quanti,quanti
RNMT,2.29197844185845,0.103496704759849,O43148;K7EP06;K7ERH6,O43148;K7EP06,8;7;1,8;7;1,8;7;1,mRNA cap guanine-N7 methyltransferase,sp|O43148|MCES_HUMAN mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT PE=1 SV=1;tr|K7EP06|K7EP06_HUMAN mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT PE=1 SV=1,3,8,8,8,1,4,6,3,1,4,6,3,1,4,6,3,23.3,23.3,23.3,54.843,476,476;298;114,0.0,9.416,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43315,1.0059,15.559,14,5,Leave out requantified,0.55042,0.44715,0.42933,0.40569,1.0529,0.82058,1.134,1.0044,,19.414,12.115,15.086,1,4,6,3,0,1,3,1,Median,Leave out requantified,Leave out requantified,Median,2.5,10.3,20.0,7.4,402860000,260410000,142450000,7869700,4634300,3235400,57858000,37297000,20561000,243950000,155360000,88595000,93184000,63123000,30062000,,,,1027,2631;10390;10617;10763;11996;13276;14877;14878,True;True;True;True;True;True;True;True,2751;10860;11096;11247;12531;13842;15483;15484,7884;7885;30117;30118;30778;31197;34631;38069;38070;42642;42643;42644;42645;42646,15509;15510;57046;57047;58185;58186;58187;59018;59019;65383;71578;80064;80065;80066;80067;80068;80069;80070;80071,15510;57046;58187;59019;65383;71578;80067;80071,,,,,-1;-1;-1,protein_1028,quanti,quanti,quanti,quanti
PRPF4,1.7742196174561,0.00591437221621044,O43172,O43172,5,5,5,U4/U6 small nuclear ribonucleoprotein Prp4,sp|O43172|PRP4_HUMAN U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2,1,5,5,5,1,1,3,4,1,1,3,4,1,1,3,4,13.2,13.2,13.2,58.449,522,522,0.0,6.1448,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36992,1.0723,63.387,9,2,Leave out requantified,1.1653,1.8733,0.46651,0.36992,3.2502,4.4864,1.0175,1.0723,,,19.141,43.902,1,1,3,4,0,0,2,0,Median,Median,Median,Leave out requantified,1.9,1.9,6.3,11.5,226420000,138420000,88005000,21674000,10951000,10723000,24585000,10208000,14377000,63953000,40102000,23850000,116210000,77157000,39055000,,,,1029,4159;7726;10834;10842;14256,True;True;True;True;True,4334;8093;11320;11328;14846,11919;22425;31393;31394;31395;31396;31419;31420;40875,22904;42967;59408;59409;59410;59411;59412;59413;59455;59456;76754,22904;42967;59410;59455;76754,,,,,-1,protein_1030,quanti,quanti,quanti,quanti
PSMD3,0.0436396264326397,0.925733201001734,O43242;H0YGV8,O43242,14;1,14;1,14;1,26S proteasome non-ATPase regulatory subunit 3,sp|O43242|PSMD3_HUMAN 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2,2,14,14,14,8,7,4,9,8,7,4,9,8,7,4,9,31.3,31.3,31.3,60.977,534,534;117,0.0,29.349,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29929,0.8331,34.976,29,11,Leave out requantified,0.26349,0.35664,0.32481,0.28864,0.79445,0.91746,0.83723,0.82598,8.4789,64.709,31.396,30.462,8,8,4,9,3,2,1,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.6,18.2,9.7,23.0,1503600000,1109700000,393890000,365280000,266220000,99060000,235740000,163620000,72119000,335860000,262050000,73803000,566670000,417760000,148910000,,,,1030,923;927;928;2100;3461;7389;10114;11273;12440;13297;14251;14841;17838;18506,True;True;True;True;True;True;True;True;True;True;True;True;True;True,958;962;963;2201;3611;7741;10578;11781;12985;13863;14841;15447;18567;19246,2669;2679;2680;2681;2682;6374;6375;6376;10085;10086;21456;21457;21458;21459;29400;29401;32584;35868;35869;38124;38125;38126;40860;40861;40862;42540;51331;51332;53167;53168,5128;5147;5148;5149;5150;5151;5152;12660;12661;12662;19592;19593;41071;41072;55823;55824;61600;67705;71652;71653;71654;71655;71656;71657;76729;76730;76731;76732;79864;97396;97397;100647;100648,5128;5150;5151;12661;19593;41071;55823;61600;67705;71653;76729;79864;97396;100648,,,,,-1;-1,protein_1031,quanti,quanti,quanti,quanti
ZW10,-0.287604615462012,0.816325419731163,O43264;F5H3C1,O43264;F5H3C1,4;2,4;2,4;2,Centromere/kinetochore protein zw10 homolog,sp|O43264|ZW10_HUMAN Centromere/kinetochore protein zw10 homolog OS=Homo sapiens OX=9606 GN=ZW10 PE=1 SV=3;tr|F5H3C1|F5H3C1_HUMAN Centromere/kinetochore protein zw10 homolog OS=Homo sapiens OX=9606 GN=ZW10 PE=1 SV=1,2,4,4,4,2,2,1,3,2,2,1,3,2,2,1,3,5.8,5.8,5.8,88.828,779,779;135,0.0,9.0461,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52636,1.0988,21.622,7,4,Median,0.55828,0.58159,0.52636,0.38098,1.421,1.3039,0.972,0.934,15.26,,,12.271,2,1,1,3,1,0,1,2,Median,Median,Median,Median,3.0,3.0,1.7,4.4,167610000,116350000,51255000,35169000,21964000,13205000,20963000,13685000,7277700,10722000,6425500,4296500,100750000,74277000,26476000,,,,1032,1727;1728;9135;12057,True;True;True;True,1807;1808;9563;12593,5240;5241;5242;26567;26568;34803;34804;34805,10339;10340;10341;10342;50620;50621;65693;65694;65695;65696,10341;10342;50621;65696,,,,,-1;-1,protein_1033,quanti,quanti,quanti,quanti
SART1,1.26312151313299,0.00727119725647938,O43290,O43290,7,7,7,U4/U6.U5 tri-snRNP-associated protein 1,sp|O43290|SNUT1_HUMAN U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens OX=9606 GN=SART1 PE=1 SV=1,1,7,7,7,3,3,6,7,3,3,6,7,3,3,6,7,8.9,8.9,8.9,90.254,800,800,0.0,22.822,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.0334,2.8539,16.601,18,1,Leave out requantified,0.96994,1.1012,1.271,0.82575,2.7427,2.7581,3.1877,2.6789,16.253,19.3,9.6348,33.87,3,3,6,6,0,0,1,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,5.0,5.0,6.9,8.9,625520000,302450000,323070000,54425000,26701000,27725000,77532000,37575000,39957000,229400000,96533000,132870000,264160000,141640000,122520000,,,,1034,5219;5328;8617;10048;10245;12845;15757,True;True;True;True;True;True;True,5454;5568;9021;10508;10709;13400;16386,15048;15049;15050;15051;15399;15400;15401;25063;25064;25065;29211;29212;29213;29214;29751;29752;36949;36950;45167;45168,28875;28876;28877;28878;28879;29556;29557;29558;29559;47732;47733;55525;55526;55527;55528;55529;55530;55531;55532;55533;55534;55535;55536;56396;69667;69668;85294;85295;85296,28875;29558;47732;55535;56396;69667;85295,,,,,-1,protein_1035,quanti,quanti,quanti,quanti
