DTL_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
KHSRP,-0.1467261238,0.278538340698294,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,19;19;11;8;5;2,19;19;11;8;5;2,17;17;9;6;4;2,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,19,17,38.4,711
PABPC1,-0.105334395,0.501685039193283,0,P11940;A0A087WTT1;E7ERJ7;E7EQV3;H0YAR2;Q9H361;H0YBN4;H0YB86;E5RGH3;E5RJB9;H0YAP2;E5RH24;H0YB75;H0YAS7;H0YAS6;H0YEQ8;E5RHG7;Q4VXU2;H0YC10;E5RGC4;H0YCC8;E5RFD8,P11940;A0A087WTT1;E7ERJ7;E7EQV3;H0YAR2,25;25;24;24;14;12;8;7;7;7;7;6;3;3;3;3;3;3;2;1;1;1,25;25;24;24;14;12;8;7;7;7;7;6;3;3;3;3;3;3;2;1;1;1,14;14;14;14;11;8;2;5;1;0;7;0;2;2;2;0;0;1;2;0;0;0,Polyadenylate-binding protein 1;Polyadenylate-binding protein,PABPC1,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7ERJ7|E7ERJ7_HUMAN Polyadenylate-binding protein ,25,14,40.1,636
PYCR2,-0.2304770073,0.332657520499796,0,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9,6;6;5;3;1;1,5;5;4;2;1;1,5;5;4;2;1;1,Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase,PYCR2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,5,25.6,320
POLA1,0.3013265278,0.0924422450618115,0,P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,1;1;1,1;1;1,1;1;1,DNA polymerase alpha catalytic subunit;DNA polymerase,POLA1,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,1,1,0.5,1462
CTNNBL1,-0.0488803698,0.7361952419404,0,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,7;7;1,7;7;1,7;7;1,Beta-catenin-like protein 1,CTNNBL1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,7,7,15.8,563
SPCS2,-0.1427134269,0.39604467467006,0,A0A087WUC6;Q15005;E9PRB9;E9PL01;E9PI68,A0A087WUC6;Q15005;E9PRB9;E9PL01;E9PI68,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Signal peptidase complex subunit 2,SPCS2,tr|A0A087WUC6|A0A087WUC6_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=1;sp|Q15005|SPCS2_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=3;tr|E9PRB9|E9PRB9_HUMAN Signal peptidase complex,2,2,19.4,227
HNRNPDL,-0.2266380602,0.200916668567674,0,O14979;A0A087WUK2,O14979;A0A087WUK2,11;11,11;11,9;9,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,11,9,20.5,420
EIF5B,-0.1528421919,0.286429036976708,0,O60841;A0A087WUT6,O60841;A0A087WUT6,7;7,7;7,7;7,Eukaryotic translation initiation factor 5B,EIF5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,7,7,10.4,1220
ADRM1,-0.1032034537,0.448719460571761,0,Q16186;A0A087WUX6;A0A087WX59,Q16186;A0A087WUX6;A0A087WX59,2;2;2,2;2;2,2;2;2,Proteasomal ubiquitin receptor ADRM1,ADRM1,sp|Q16186|ADRM1_HUMAN Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens OX=9606 GN=ADRM1 PE=1 SV=2;tr|A0A087WUX6|A0A087WUX6_HUMAN Proteasomal ubiquitin receptor ADRM1 (Fragment) OS=Homo sapiens OX=9606 GN=ADRM1 PE=1 SV=1;tr|A0A087WX59|A0A087WX59_HUMAN P,2,2,6.4,407
SPTBN1,-0.1848885654,0.321988171773064,0,Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,37;37;11,37;37;11,36;36;10,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,"sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",37,36,21.3,2364
MTHFD1L,-0.4252112155,0.0933773761558178,0,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM1;Q4VXM0;Q5JYA8;Q5JYA3;H0Y327,Q6UB35;A0A087WVM4;B7ZM99,10;10;10;1;1;1;1;1,9;9;9;1;1;1;1;1,9;9;9;1;1;1;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,"sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",10,9,12.1,978
POLD2,0.2246703491,0.563011745155741,0,P49005;F8W8R3;A0A087WWF6;C9JHC7;H7C1B3;C9IZD2;C9J8Z7;C9JLE1,P49005;F8W8R3;A0A087WWF6;C9JHC7,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,DNA polymerase delta subunit 2,POLD2,sp|P49005|DPOD2_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|F8W8R3|F8W8R3_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|A0A087WWF6|A0A087WWF6_HUMAN DNA polymerase delta subunit 2 O,3,3,8.5,469
TRAPPC3,-0.1879343215,0.259203828183297,0,O43617;A0A087WWM0;A0A087WYS5;A6NKE1,O43617;A0A087WWM0;A0A087WYS5,3;3;2;1,3;3;2;1,3;3;2;1,Trafficking protein particle complex subunit 3,TRAPPC3,sp|O43617|TPPC3_HUMAN Trafficking protein particle complex subunit 3 OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1;tr|A0A087WWM0|A0A087WWM0_HUMAN Trafficking protein particle complex subunit OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1;tr|A0A087WYS5|A0A087W,3,3,18.9,180
TPM3,-0.0243512833,0.849122746395545,0,A0A087WWU8;D6R904;A0A494C0G0;Q5VU61,A0A087WWU8;D6R904,24;14;8;6,24;14;8;6,9;9;3;6,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,24,9,74.4,227
TARDBP;TDP43,-0.2344506642,0.204357117814027,0,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;K7EN94;A0A087WXQ5;A0A087WV68;A0A1W2PNU8;A0A087WXV3;A0A087WX67;A0A087WW61;A0A0A0MSV7;K7EJ99;K7EL26;A0A087WZC9;A0A087WYE7;A0A087WTZ4,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;K7EN94,9;9;7;7;7;7;6;6;5;4;4;4;3;3;3;2;2;1;1;1;1,9;9;7;7;7;7;6;6;5;4;4;4;3;3;3;2;2;1;1;1;1,9;9;7;7;7;7;6;6;5;4;4;4;3;3;3;2;2;1;1;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,9,9,24.6,414
RPL17;RPL17-C18orf32,0.1425674527,0.418158177810883,0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81;J3KSJ0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81,13;13;13;13;13;11;11;11;10;10;9;4,13;13;13;13;13;11;11;11;10;10;9;4,13;13;13;13;13;11;11;11;10;10;9;4,60S ribosomal protein L17,RPL17;RPL17-C18orf32,sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=1;tr|J3QQT2|J3QQT2_HUMAN 60S ribosomal protein L17 (Fragm,13,13,61.4,184
ITGB6,0.2383633953,0.234039922887914,0,P18564;A0A087WXP3;E9PEE8,P18564;A0A087WXP3;E9PEE8,1;1;1,1;1;1,1;1;1,Integrin beta-6;Integrin beta,ITGB6,sp|P18564|ITB6_HUMAN Integrin beta-6 OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=2;tr|A0A087WXP3|A0A087WXP3_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1;tr|E9PEE8|E9PEE8_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1,1,1,1.1,788
TNNI2,-0.4810973151,0.0567545529243324,0,P48788;A0A087WXS0,P48788;A0A087WXS0,2;2,2;2,2;2,"Troponin I, fast skeletal muscle",TNNI2,"sp|P48788|TNNI2_HUMAN Troponin I, fast skeletal muscle OS=Homo sapiens OX=9606 GN=TNNI2 PE=1 SV=2;tr|A0A087WXS0|A0A087WXS0_HUMAN Troponin I, fast skeletal muscle OS=Homo sapiens OX=9606 GN=TNNI2 PE=1 SV=1",2,2,25.3,182
VTA1,-0.3332508362,0.107578852996054,0,Q9NP79;A0A087WY55;Q5TGM0,Q9NP79;A0A087WY55;Q5TGM0,3;3;2,3;3;2,3;3;2,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,"sp|Q9NP79|VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|A0A087WY55|A0A087WY55_HUMAN Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|Q5TGM0|Q5T",3,3,13.7,307
AP2M1,-0.0612108236,0.798471768323802,0,Q96CW1;A0A087WY71;E9PFW3;C9JJ47;C9JTK4;C9JGT8,Q96CW1;A0A087WY71;E9PFW3;C9JJ47,3;3;3;2;1;1,3;3;3;2;1;1,3;3;3;2;1;1,AP-2 complex subunit mu,AP2M1,sp|Q96CW1|AP2M1_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2;tr|A0A087WY71|A0A087WY71_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=1;tr|E9PFW3|E9PFW3_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=960,3,3,10.1,435
UBE2D3;UBE2D2;UBE2D4;UBE2D1,-1.0939417034,0.00478226519369589,1,P61077;P62837;D6RAW0;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;Q9Y2X8;P51668;D6RA11;A0A087WW00;C9J9H9,P61077;P62837;D6RAW0;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;Q9Y2X8;P51668;D6RA11;A0A087WW00;C9J9H9,2;2;2;2;2;2;2;2;1;1;1;1;1,2;2;2;2;2;2;2;2;1;1;1;1;1,2;2;2;2;2;2;2;2;1;1;1;1;1,Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2;Ubiquitin-conjugating enzyme E2 D4;Ubiquitin-conjugating enzyme E2 D1,UBE2D3;UBE2D2;UBE2D4;UBE2D1,sp|P61077|UB2D3_HUMAN Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1;sp|P62837|UB2D2_HUMAN Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens OX=9606 GN=UBE2D2 PE=1 SV=1;tr|D6RAW0|D6RAW0_HUMAN Ubiquitin-conjugating enzyme E2,2,2,19.7,147
MYO15A,0.4899499235,0.297087565763886,0,Q9UKN7;A0A087WYA1;A0A2R8Y712,Q9UKN7;A0A087WYA1;A0A2R8Y712,2;2;1,2;2;1,2;2;1,Unconventional myosin-XV,MYO15A,sp|Q9UKN7|MYO15_HUMAN Unconventional myosin-XV OS=Homo sapiens OX=9606 GN=MYO15A PE=1 SV=2;tr|A0A087WYA1|A0A087WYA1_HUMAN Unconventional myosin-XV OS=Homo sapiens OX=9606 GN=MYO15A PE=1 SV=1;tr|A0A2R8Y712|A0A2R8Y712_HUMAN Unconventional myosin-XV OS=Homo s,2,2,1.2,3530
UGP2,-0.0815929748,0.576044430579165,0,Q16851;A0A087WYS1;E7EUC7;C9JNZ1;C9JTZ5;C9JUW1;C9JWG0;C9JVG3;C9JQU9;F2Z3H1,Q16851;A0A087WYS1;E7EUC7;C9JNZ1,13;13;13;7;4;4;4;4;4;1,13;13;13;7;4;4;4;4;4;1,13;13;13;7;4;4;4;4;4;1,UTP--glucose-1-phosphate uridylyltransferase,UGP2,sp|Q16851|UGPA_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5;tr|A0A087WYS1|A0A087WYS1_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=1;tr|E7EUC7|E7EUC7_HUMAN UTP--gl,13,13,28.1,508
PTGES3,-0.1945803823,0.193282700284518,0,Q15185;A0A087WYT3,Q15185;A0A087WYT3,5;5,5;5,5;5,Prostaglandin E synthase 3,PTGES3,sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1;tr|A0A087WYT3|A0A087WYT3_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,5,5,26.2,160
EIF3H,-0.0814889443,0.583827858752775,0,O15372;A0A087WZK9;B3KS98;E5RJT0;E5RGU4,O15372;A0A087WZK9;B3KS98;E5RJT0,3;3;3;2;1,3;3;3;2;1,3;3;3;2;1,Eukaryotic translation initiation factor 3 subunit H,EIF3H,sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|A0A087WZK9|A0A087WZK9_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|B3KS98|B,3,3,13.9,352
SBDS,0.0834749181,0.61529986453831,0,Q9Y3A5;A0A087X020;F8WE72,Q9Y3A5;A0A087X020;F8WE72,3;3;2,3;3;2,3;3;2,Ribosome maturation protein SBDS,SBDS,sp|Q9Y3A5|SBDS_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=4;tr|A0A087X020|A0A087X020_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=1;tr|F8WE72|F8WE72_HUMAN Ribosome maturation protein SBD,3,3,10.8,250
HYOU1,-0.0318534754,0.844023420144276,0,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2;J3KTF1;Q9BST8;J3QQH7;J3QLE9;J3QL06;A0A087WW13;A0A087X214,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2,14;14;14;12;12;12;4;3;3;3;3;2;1,14;14;14;12;12;12;4;3;3;3;3;2;1,14;14;14;12;12;12;4;3;3;3;3;2;1,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087X054|A0A087X054_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A494C039|A0A494C039_HUMAN Hypoxia up-regulated pro,14,14,19.5,999
