Gene_names,DCAF17_vs_zBirA_logFC,DCAF17_vs_zBirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DCAF17_N1,Peptides_DCAF17_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DCAF17_N1,Razor___unique_peptides_DCAF17_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DCAF17_N1,Unique_peptides_DCAF17_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DCAF17_N1,Identification_type_DCAF17_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DCAF17_N1,Ratio_H_L_DCAF17_N2,X,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DCAF17_N1,Ratio_H_L_normalized_DCAF17_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DCAF17_N1,Ratio_H_L_variability_____DCAF17_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DCAF17_N1,Ratio_H_L_count_DCAF17_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DCAF17_N1,Ratio_H_L_iso_count_DCAF17_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DCAF17_N1,Ratio_H_L_type_DCAF17_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DCAF17_N1____,Sequence_coverage_DCAF17_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DCAF17_N1,Intensity_L_DCAF17_N1,Intensity_H_DCAF17_N1,Intensity_DCAF17_N2,Intensity_L_DCAF17_N2,Intensity_H_DCAF17_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF17_N1,metacell_Intensity_L_DCAF17_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
C11orf98,1.06455773061188,0.0212852564654789,E9PRG8;E9PLD3;A0A494BXY3,E9PRG8;E9PLD3;A0A494BXY3,2;1;1,2;1;1,2;1;1,Uncharacterized protein C11orf98,sp|E9PRG8|CK098_HUMAN Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2;tr|E9PLD3|E9PLD3_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A494BXY3|A0A494BXY3_HUMAN Uncharacterized protein C11orf98 OS=Homo sa,3,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,21.1,21.1,21.1,14.234,123,123;99;122,0.0,5.0772,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.93317,2.73,19.225,4,1,Median,0.81971,1.0382,0.83875,1.2179,,2.174,2.5354,2.9394,3.3996,,,,,1,1,1,1,0,0,0,1,Median,Median,Median,Median,10.6,10.6,21.1,10.6,265620000,133520000,132110000,18992000,9440300,9551800,26067000,12527000,13541000,123120000,68602000,54521000,97442000,42946000,54496000,,,,763,16727;19599,True;True,17864;20949,47805;56344;56345;56346;56347,87774;104687;104688;104689;104690;104691;104692;104693;104694;104695;104696;104697;104698,87774;104697,,,,,-1;-1;-1,protein_764,quanti,quanti,quanti,quanti
FRG1,20.1411957714346,7.16889652452179e-08,Q14331;E9PRR7;E9PLY7,Q14331;E9PRR7;E9PLY7,2;2;1,2;2;1,2;2;1,Protein FRG1,sp|Q14331|FRG1_HUMAN Protein FRG1 OS=Homo sapiens OX=9606 GN=FRG1 PE=1 SV=1;tr|E9PRR7|E9PRR7_HUMAN Protein FRG1 (Fragment) OS=Homo sapiens OX=9606 GN=FRG1 PE=1 SV=1;tr|E9PLY7|E9PLY7_HUMAN Protein FRG1 (Fragment) OS=Homo sapiens OX=9606 GN=FRG1 PE=1 SV=8,3,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,9.7,9.7,9.7,29.172,258,258;116;102,0.023446,0.46006,,,By MS/MS,By MS/MS,1.3048,2.5315,23.43,4,1,Linear,,,0.79117,1.1858,,,,2.0364,2.9496,,,15.356,6.2041,0,0,2,2,0,0,1,0,Median,Median,Median,Median,0.0,0.0,9.7,9.7,173260000,86952000,86311000,0,0,0,0,0,0,84220000,49490000,34730000,89043000,37463000,51581000,,,,764,12097;20415,True;True,13008;21804,34937;34938;58615;58616;58617,64467;108629;108630;108631,64467;108629,,,,,-1;-1;-1,protein_765,quanti,quanti,imputed MEC,imputed MEC
WDR74,19.7679492662927,1.44517920086439e-05,Q6RFH5;E9PS41,Q6RFH5;E9PS41,4;4,4;4,4;4,WD repeat-containing protein 74,sp|Q6RFH5|WDR74_HUMAN WD repeat-containing protein 74 OS=Homo sapiens OX=9606 GN=WDR74 PE=1 SV=1;tr|E9PS41|E9PS41_HUMAN WD repeat-containing protein 74 OS=Homo sapiens OX=9606 GN=WDR74 PE=1 SV=1,2,4,4,4,0,0,1,4,0,0,1,4,0,0,1,4,13.8,13.8,13.8,42.441,385,385;328,0.002302,1.4599,,,By matching,By MS/MS,1.4744,3.4459,5.9296,4,0,Leave out requantified,,,,1.4744,,,,,3.4459,,,,5.9296,0,0,0,4,0,0,0,0,Median,Median,Median,Leave out requantified,0.0,0.0,2.9,13.8,278680000,87502000,191180000,0,0,0,0,0,0,90972000,15307000,75665000,187710000,72196000,115510000,,,,766,5998;8583;11904;16133,True;True;True;True,6445;9247;12804;17241,17150;24825;34394;34395;46095,31841;46251;63422;84627,31841;46251;63422;84627,,,,,-1;-1,protein_767,quanti,quanti,imputed MEC,imputed MEC
LSM8,1.94320706454742,0.0197233359641833,O95777;F2Z2Y6;C9JNV3;C9JIZ0,O95777;F2Z2Y6;C9JNV3,3;3;2;1,3;3;2;1,3;3;2;1,U6 snRNA-associated Sm-like protein LSm8,sp|O95777|LSM8_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=3;tr|F2Z2Y6|F2Z2Y6_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=1;tr|C9JNV3|C9JNV3_HUMAN U6 snRNA-associated Sm-,4,3,3,3,1,2,2,3,1,2,2,3,1,2,2,3,37.5,37.5,37.5,10.403,96,96;67;77;75,0.0,7.6575,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.23273,0.73966,1.2351,9,3,Leave out requantified,0.30149,0.42063,0.21436,0.26517,,0.76824,0.98478,0.73323,0.69723,,30.255,1.0085,6.0722,1,2,3,3,1,1,0,1,Median,Median,Median,Median,10.4,20.8,27.1,37.5,496530000,397910000,98611000,17451000,11210000,6240400,51274000,30990000,20285000,257100000,226600000,30498000,170700000,129120000,41588000,,,,768,5428;17568;17724,True;True;True,5805;18755;18918,15279;15280;15281;50235;50236;50237;50238;50703;50704,28353;28354;92653;92654;92655;92656;92657;92658;92659;92660;92661;93559;93560,28354;92655;93560,,,,,-1;-1;-1;-1,protein_769,quanti,quanti,quanti,quanti
MLEC,1.78585188215159,0.0170778312435677,Q14165;F5GX14;F5H1S8,Q14165;F5GX14;F5H1S8,3;3;2,3;3;2,3;3;2,Malectin,sp|Q14165|MLEC_HUMAN Malectin OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1;tr|F5GX14|F5GX14_HUMAN Malectin OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1;tr|F5H1S8|F5H1S8_HUMAN Malectin (Fragment) OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1,3,3,3,3,1,2,3,3,1,2,3,3,1,2,3,3,16.4,16.4,16.4,32.233,292,292;217;146,0.0,5.5726,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35724,0.96574,14.634,9,2,Leave out requantified,0.29713,0.38644,0.32754,0.38289,,0.77514,0.90613,1.1686,0.96574,,7.2322,20.374,12.427,1,2,3,3,0,1,1,0,Median,Median,Plateau,Leave out requantified,4.1,8.6,16.4,16.4,550770000,397380000,153390000,18223000,12951000,5272300,47950000,34015000,13935000,278790000,204670000,74126000,205810000,145750000,60060000,,,,771,1878;15996;20525,True;True;True,2015;17100;21919,5649;5650;5651;5652;45759;45760;45761;58923;58924,10601;10602;10603;10604;10605;10606;83999;84000;84001;84002;84003;84004;109213;109214,10606;84002;109214,,,,,-1;-1;-1,protein_772,quanti,quanti,quanti,quanti
PSMD9,19.5936651443944,2.47661292346445e-06,O00233;F5H5V4;F5GX23;J3KN29;F5H7X1;F5H169,O00233;F5H5V4;F5GX23;J3KN29;F5H7X1;F5H169,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,26S proteasome non-ATPase regulatory subunit 9,sp|O00233|PSMD9_HUMAN 26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens OX=9606 GN=PSMD9 PE=1 SV=3;tr|F5H5V4|F5H5V4_HUMAN 26S proteasome non-ATPase regulatory subunit 9 (Fragment) OS=Homo sapiens OX=9606 GN=PSMD9 PE=1 SV=1;tr|F5GX23|F5GX23_HUM,6,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,9.9,9.9,9.9,24.682,223,223;153;179;222;85;128,0.0018665,1.528,,,By MS/MS,By MS/MS,0.57329,1.3357,14.423,3,1,Median,,,0.5164,0.69898,,,,1.2426,1.5425,,,10.217,,0,0,2,1,0,0,1,0,Median,Median,Median,Median,0.0,0.0,9.9,4.5,99419000,67682000,31737000,0,0,0,0,0,0,69842000,50495000,19348000,29577000,17188000,12389000,,,,772,1640;14506,True;True,1758;15532,4943;4944;41529,9348;9349;76377,9348;76377,,,,,-1;-1;-1;-1;-1;-1,protein_773,quanti,quanti,imputed MEC,imputed MEC
OTUB1,-0.246731842874173,0.551308964895421,Q96FW1;F5GYN4;J3KR44;F5H6Q1;F5GYJ8;F5H3F0,Q96FW1;F5GYN4;J3KR44;F5H6Q1;F5GYJ8;F5H3F0,5;5;5;4;4;3,5;5;5;4;4;3,5;5;5;4;4;3,Ubiquitin thioesterase OTUB1,sp|Q96FW1|OTUB1_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=2;tr|F5GYN4|F5GYN4_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=1;tr|J3KR44|J3KR44_HUMAN Ubiquitin thioesterase OS=Homo sapiens OX=96,6,5,5,5,4,4,3,4,4,4,3,4,4,4,3,4,26.2,26.2,26.2,31.284,271,271;241;272;280;286;170,0.0,10.21,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39172,0.99655,16.872,21,0,Leave out requantified,0.38151,0.43173,0.30667,0.38751,,1.1985,1.0917,0.90136,0.9692,50.921,14.112,21.333,17.282,5,5,5,6,0,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,20.7,20.7,15.9,21.4,1314400000,939100000,375330000,211650000,148330000,63315000,234090000,156300000,77791000,311270000,234460000,76809000,557430000,400010000,157420000,,,,777,575;3985;8133;10820;19776,True;True;True;True;True,601;4258;8770;11659;21137,1607;1608;1609;1610;1611;1612;1613;1614;11333;11334;23536;31459;31460;31461;31462;56849;56850;56851;56852;56853;56854,2914;2915;2916;2917;2918;2919;2920;2921;2922;2923;2924;2925;2926;2927;21043;21044;43800;58282;58283;58284;58285;58286;58287;58288;58289;58290;58291;58292;58293;105637;105638;105639;105640;105641;105642;105643;105644;105645;105646,2917;21043;43800;58291;105642,,,,,-1;-1;-1;-1;-1;-1,protein_778,quanti,quanti,quanti,quanti
ATP6V0D1,0.632714739291902,0.133800274174724,P61421;J3QL14;R4GN72;F5GYQ1,P61421;J3QL14;R4GN72;F5GYQ1,2;2;2;2,2;2;2;2,2;2;2;2,V-type proton ATPase subunit d 1,sp|P61421|VA0D1_HUMAN V-type proton ATPase subunit d 1 OS=Homo sapiens OX=9606 GN=ATP6V0D1 PE=1 SV=1;tr|J3QL14|J3QL14_HUMAN V-type proton ATPase subunit d 1 (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V0D1 PE=1 SV=1;tr|R4GN72|R4GN72_HUMAN V-type proton ATPas,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,8.3,8.3,8.3,40.329,351,351;232;274;392,0.0,2.9814,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.405,3.6545,57.898,4,1,Median,1.3075,1.5098,0.49723,2.1662,,3.6886,3.6208,1.4793,5.9167,,,,,1,1,1,1,0,0,1,0,Median,Median,Median,Median,3.1,3.1,5.1,3.1,242800000,94483000,148320000,22620000,9865300,12755000,24668000,9903200,14764000,49568000,29741000,19827000,145950000,44974000,100970000,,,,778,340;12030,True;True,358;12935,951;34753;34754;34755,1760;64093;64094;64095;64096;64097;64098,1760;64098,,,,,-1;-1;-1;-1,protein_779,quanti,quanti,quanti,quanti
LIG1,-1.90812475753154,0.0168603255240807,P18858;F5GZ28,P18858;F5GZ28,2;2,2;2,2;2,DNA ligase 1;DNA ligase,sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1;tr|F5GZ28|F5GZ28_HUMAN DNA ligase OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,3.3,3.3,3.3,101.73,919,919;851,0.00055066,2.6048,By MS/MS,By MS/MS,By matching,By matching,0.72149,1.7214,48.267,5,0,Leave out requantified,0.5306,1.0857,0.58517,0.58938,,1.4431,2.7321,1.4865,1.2236,56.142,,,,2,1,1,1,0,0,0,0,Median,Median,Median,Median,3.3,2.0,1.3,1.3,121960000,65949000,56007000,43495000,26734000,16761000,32384000,14079000,18304000,28220000,14970000,13249000,17858000,10165000,7692600,,,,779,1494;10083,True;True,1602;10868,4480;4481;4482;29296;29297,8430;8431;54294;54295;54296;54297,8430;54297,,,,,-1;-1,protein_780,quanti,quanti,quanti,quanti
SLC3A2,2.22705119114728,0.00102418466756477,P08195;F5GZS6;J3KPF3;H0YFS2;F5H0E2;F5GZI0;F5H867;H0YFX4;F5GZR9,P08195;F5GZS6;J3KPF3,21;21;21;9;6;5;4;2;1,21;21;21;9;6;5;4;2;1,21;21;21;9;6;5;4;2;1,4F2 cell-surface antigen heavy chain,sp|P08195|4F2_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3;tr|F5GZS6|F5GZS6_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1;tr|J3KPF3|J3KPF3_HUMAN 4F2 cell-surface antigen hea,9,21,21,21,7,7,18,18,7,7,18,18,7,7,18,18,36.5,36.5,36.5,67.993,630,630;599;631;247;145;175;135;122;47,0.0,162.3,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.57309,1.7141,26.557,72,12,Leave out requantified,0.50539,0.58013,0.56617,0.61667,,1.7155,1.5719,1.8605,1.6524,32.145,13.669,32.778,13.036,8,9,28,27,1,1,5,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,19.5,19.5,35.7,32.7,11447000000,7140800000,4305900000,369640000,226810000,142830000,667580000,377290000,290280000,5074800000,3275700000,1799100000,5334700000,3261000000,2073700000,,,,780,384;5032;5391;6038;6233;6257;7380;7381;7705;9676;10391;10392;10819;12281;15775;17945;18621;18622;18692;19831;20016,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,408;5365;5761;6492;6493;6705;6706;6730;7958;7959;8311;10444;11202;11203;11204;11658;13201;16869;19156;19892;19893;19972;21196;21389,1104;1105;14138;14139;14140;14141;14142;14143;14144;14145;15153;15154;17284;17285;17286;17287;17827;17828;17829;17896;17897;21213;21214;21215;21216;21217;21218;21219;22251;22252;22253;22254;22255;22256;22257;28209;30231;30232;30233;30234;30235;30236;30237;30238;30239;31453;31454;31455;31456;31457;31458;35456;35457;35458;35459;45122;45123;45124;45125;45126;51392;51393;53425;53426;53427;53428;53429;53657;57010;57011;57529;57530,2034;2035;2036;2037;2038;2039;26099;26100;26101;26102;26103;26104;26105;26106;26107;26108;28119;28120;28121;28122;28123;32154;32155;32156;32157;32158;32159;32160;32161;33102;33103;33104;33105;33106;33107;33108;33109;33222;33223;33224;39415;39416;39417;39418;39419;39420;39421;39422;39423;39424;39425;39426;39427;39428;39429;39430;39431;39432;41498;41499;41500;41501;41502;41503;41504;41505;41506;41507;41508;41509;41510;41511;41512;41513;41514;52305;56033;56034;56035;56036;56037;56038;56039;56040;56041;56042;56043;56044;56045;56046;58267;58268;58269;58270;58271;58272;58273;58274;58275;58276;58277;58278;58279;58280;58281;65374;65375;65376;65377;65378;65379;65380;65381;82808;82809;82810;82811;82812;82813;82814;82815;82816;82817;82818;82819;82820;95070;95071;95072;95073;98963;98964;98965;98966;98967;98968;98969;98970;98971;98972;99447;105905;105906;105907;105908;105909;105910;105911;106810;106811;106812;106813,2038;26102;28123;32157;33104;33223;39417;39431;41506;52305;56040;56046;58280;65377;82817;95071;98963;98970;99447;105911;106810,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_781,quanti,quanti,quanti,quanti
CPSF7,2.47121716567548,0.000307307579966059,Q8N684;F5H6M0;F5H047;F5H669;J3QT54;C9J286;C9J323;C9JM38;F5H5B7;F5H1W4;F5H2K8;F5H6P5;F5H6A8;F5GXA3,Q8N684;F5H6M0;F5H047;F5H669;J3QT54;C9J286;C9J323,6;6;6;6;5;3;3;2;1;1;1;1;1;1,6;6;6;6;5;3;3;2;1;1;1;1;1;1,6;6;6;6;5;3;3;2;1;1;1;1;1;1,Cleavage and polyadenylation specificity factor subunit 7,sp|Q8N684|CPSF7_HUMAN Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1;tr|F5H6M0|F5H6M0_HUMAN Cleavage and polyadenylation-specificity factor subunit 7 (Fragment) OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=,14,6,6,6,1,1,4,6,1,1,4,6,1,1,4,6,14.9,14.9,14.9,52.049,471,471;219;288;374;204;143;145;138;93;98;100;101;101;102,0.0,6.1007,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38861,1.1007,14.607,12,4,Leave out requantified,0.48461,0.70086,0.34682,0.43073,,1.3393,1.6959,1.103,1.0505,,,15.97,15.121,1,1,4,6,1,1,1,1,Median,Median,Leave out requantified,Leave out requantified,2.3,2.3,10.0,14.9,575670000,401340000,174330000,20912000,12954000,7957500,25338000,15334000,10004000,255900000,183770000,72135000,273520000,189280000,84234000,,,,782,2086;6565;10551;14361;15497;17432,True;True;True;True;True;True,2234;7066;11375;15380;16572;18617,6264;6265;18738;18739;30720;30721;41160;41161;41162;44287;44288;49901,11724;34674;34675;56920;56921;75805;75806;75807;81249;81250;81251;81252;92076,11724;34674;56920;75807;81249;92076,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_783,quanti,quanti,quanti,quanti
RAB35,-21.3943251509656,4.01172787873641e-08,Q15286;F5H157;F5H7F8,Q15286;F5H157;F5H7F8,2;2;1,2;2;1,2;2;1,Ras-related protein Rab-35,sp|Q15286|RAB35_HUMAN Ras-related protein Rab-35 OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1;tr|F5H157|F5H157_HUMAN Ras-related protein Rab-35 (Fragment) OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1;tr|F5H7F8|F5H7F8_HUMAN Ras-related protein Rab-35 OS=Homo sa,3,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,11.4,11.4,11.4,23.025,201,201;185;147,0.0030435,1.1443,By MS/MS,By MS/MS,,,0.31459,0.81888,31.476,4,2,Median,0.37842,0.31194,,,,1.1181,0.77564,,,40.248,3.8728,,,2,2,0,0,1,1,0,0,Median,Median,Median,Median,11.4,11.4,0.0,0.0,117430000,82336000,35094000,52354000,35534000,16820000,65076000,46803000,18273000,0,0,0,0,0,0,,,,783,1821;19913,True;True,1955;21282,5470;5471;57261;57262,10287;106367;106368;106369;106370,10287;106367,,,,,-1;-1;-1,protein_784,imputed MEC,imputed MEC,quanti,quanti
NAP1L1,-0.547681126707822,0.122397409424709,P55209;F8VY35;F8W0J6;F5H4R6;H0YIV4;F8W020;H0YHC3;F8W118;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8VXI6;F8VRJ2;F8VVB5;B7Z4K9,P55209;F8VY35;F8W0J6;F5H4R6;H0YIV4;F8W020;H0YHC3;F8W118;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8VXI6;F8VRJ2;F8VVB5,14;14;14;14;14;13;12;12;12;12;12;11;11;9;9;1,14;14;14;14;14;13;12;12;12;12;12;11;11;9;9;1,3;3;3;3;3;3;1;1;3;1;1;0;3;1;1;0,Nucleosome assembly protein 1-like 1,sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8VY35|F8VY35_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8W0J6|F8W0J6_HUMAN Nucleosome asse,16,14,14,3,13,10,8,10,13,10,8,10,2,3,1,2,32.7,32.7,9.2,45.374,391,391;264;379;383;385;207;198;209;237;327;349;177;215;114;161;208,0.0,61.936,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31024,0.91077,21.288,61,16,Leave out requantified,0.24184,0.30056,0.23378,0.37062,,0.82329,0.88177,0.77067,0.99422,22.095,23.681,22.513,7.8138,16,13,13,19,6,2,3,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,32.7,27.9,25.6,29.9,7172300000,5426600000,1745700000,1363600000,1066600000,296950000,1317500000,990640000,326850000,1919300000,1537200000,382060000,2572000000,1832100000,739890000,,,,785,4926;5162;5163;5749;9258;9259;9625;13750;14319;14320;14913;19134;20079;20080,True;True;True;True;True;True;True;True;True;True;True;True;True;True,5254;5507;5508;5509;6165;9988;9989;9990;10385;14740;14741;15335;15336;15956;20455;21453;21454;21455,13862;13863;13864;13865;14518;14519;14520;14521;14522;14523;14524;14525;14526;14527;14528;14529;14530;14531;16320;16321;16322;16323;26834;26835;26836;26837;26838;28041;28042;28043;28044;28045;28046;39516;39517;39518;39519;39520;39521;41038;41039;41040;41041;41042;41043;41044;41045;42638;54999;55000;55001;55002;57696;57697;57698;57699;57700;57701;57702;57703;57704;57705;57706,25624;25625;25626;25627;25628;25629;26901;26902;26903;26904;26905;26906;26907;26908;26909;26910;26911;26912;26913;26914;26915;26916;26917;26918;26919;26920;26921;26922;26923;26924;26925;26926;26927;26928;26929;26930;26931;26932;26933;26934;26935;26936;30340;30341;30342;49732;49733;49734;49735;49736;51983;51984;51985;51986;51987;51988;51989;51990;51991;51992;51993;51994;72918;72919;72920;72921;72922;72923;72924;72925;75617;75618;75619;75620;75621;75622;75623;75624;78262;102100;102101;102102;102103;102104;102105;107098;107099;107100;107101;107102;107103;107104;107105;107106;107107;107108;107109;107110;107111;107112;107113,25629;26906;26922;30341;49732;49735;51989;72922;75621;75624;78262;102100;107098;107105,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_786,quanti,quanti,quanti,quanti
