Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SMU1-N1,Intensity SMU1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
O43865,O43865,6,6,2,Putative adenosylhomocysteinase 2,AHCYL1,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,6,2,12.1,4.17608450057973,4.06670010289021,26.6035695268123,26.3900490072837
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,11.1,4.17608450057973,4.06670010289021,22.9306485579508,23.4636361216132
H7C0V5,H7C0V5,6,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,6,2,18.6,4.17608450057973,4.06670010289021,22.7074829937707,24.4367608419954
Q6AI12,Q6AI12,2,2,2,Ankyrin repeat domain-containing protein 40,ANKRD40,sp|Q6AI12|ANR40_HUMAN Ankyrin repeat domain-containing protein 40 OS=Homo sapiens OX=9606 GN=ANKRD40 PE=1 SV=2,2,2,4.9,4.17608450057973,4.06670010289021,23.4332624725697,23.6511058832339
Q9BTT0;E9PPH5;Q5TB19,Q9BTT0;E9PPH5,3;2;1,3;2;1,2;2;0,Acidic leucine-rich nuclear phosphoprotein 32 family member E,ANP32E,sp|Q9BTT0|AN32E_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1;tr|E9PPH5|E9PPH5_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment) OS=Homo sapiens OX=9606 GN=ANP32,3,2,12.3,4.17608450057973,4.06670010289021,26.6500671970334,25.5374184365192
P10398;Q96II5;P15056;H7C560;A0A2U3TZI2;A0A2R8Y8E0;H7C4S5;A0A2R8Y492,P10398;Q96II5,5;5;2;2;2;2;1;1,5;5;2;2;2;2;1;1,2;2;0;0;0;0;0;0,Serine/threonine-protein kinase A-Raf,ARAF,sp|P10398|ARAF_HUMAN Serine/threonine-protein kinase A-Raf OS=Homo sapiens OX=9606 GN=ARAF PE=1 SV=2;tr|Q96II5|Q96II5_HUMAN ARAF protein OS=Homo sapiens OX=9606 GN=ARAF PE=1 SV=1,5,2,9.2,24.60065204343,23.2807278076406,26.6582635738238,23.3609167230479
Q8WWN8;G5E9Y3;Q05CH1,Q8WWN8;G5E9Y3;Q05CH1,2;2;1,2;2;1,2;2;1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",ARAP3,"sp|Q8WWN8|ARAP3_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens OX=9606 GN=ARAP3 PE=1 SV=1;tr|G5E9Y3|G5E9Y3_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens OX",2,2,1.4,4.17608450057973,4.06670010289021,24.1449936222789,24.207705526351
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.17608450057973,4.06670010289021,23.3003369184145,21.8010452032896
P52565;J3QQX2;J3KTF8;J3KRE2,P52565;J3QQX2;J3KTF8;J3KRE2,2;2;2;1,2;2;2;1,2;2;2;1,Rho GDP-dissociation inhibitor 1,ARHGDIA,sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3;tr|J3QQX2|J3QQX2_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=1;tr|J3KTF8|J3KTF8_HUMAN Rho GDP-dissociation inhibitor 1,2,2,14.2,4.17608450057973,4.06670010289021,25.99595566793,26.137156577394
A0A2R8Y4D7;Q96PE2,A0A2R8Y4D7;Q96PE2,2;1,2;1,2;1,Rho guanine nucleotide exchange factor 17,ARHGEF17,tr|A0A2R8Y4D7|A0A2R8Y4D7_HUMAN Rho guanine nucleotide exchange factor 17 OS=Homo sapiens OX=9606 GN=ARHGEF17 PE=1 SV=1;sp|Q96PE2|ARHGH_HUMAN Rho guanine nucleotide exchange factor 17 OS=Homo sapiens OX=9606 GN=ARHGEF17 PE=1 SV=1,2,2,2.5,23.5802640889074,22.6601317791703,4.45881916663448,4.39209895775669
Q66PJ3;F8WEP2;A0A0C4DH18;F5GYV5;H7BZV4;A0A0C4DG62;F8WCT1,Q66PJ3;F8WEP2;A0A0C4DH18;F5GYV5;H7BZV4;A0A0C4DG62;F8WCT1,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,ADP-ribosylation factor-like protein 6-interacting protein 4,ARL6IP4,sp|Q66PJ3|AR6P4_HUMAN ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens OX=9606 GN=ARL6IP4 PE=1 SV=2;tr|F8WEP2|F8WEP2_HUMAN ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens OX=9606 GN=ARL6IP4 PE=1 SV=1,2,2,3.6,24.6162190200361,23.4403774955588,4.45881916663448,4.39209895775669
O75915;F8WF90;C9JQU6;F8WF33,O75915;F8WF90;C9JQU6;F8WF33,2;2;2;2,2;2;2;2,2;2;2;2,PRA1 family protein 3,ARL6IP5,sp|O75915|PRAF3_HUMAN PRA1 family protein 3 OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1;tr|F8WF90|F8WF90_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1;tr|C9JQU6|C9JQU6_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=ARL6IP5 P,2,2,12.2,4.17608450057973,4.06670010289021,23.1513256667458,23.1719592297095
P27540,P27540,2,2,2,Aryl hydrocarbon receptor nuclear translocator,ARNT,sp|P27540|ARNT_HUMAN Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1,2,2,3.7,4.17608450057973,4.06670010289021,24.5999146577554,23.8311309294789
P20020;E7ERY9;Q16720;Q01814;H0YDG5;H7BZS8;H7BY13;H0YHH6;A0A0U1RQU3;A0A2R8Y4R4;A0A2U3U055;A0A2U3TZI3,P20020;E7ERY9,5;3;2;1;1;1;1;1;1;1;1;1,5;3;2;1;1;1;1;1;1;1;1;1,2;1;0;0;0;0;0;0;0;0;0;0,Plasma membrane calcium-transporting ATPase 1;Calcium-transporting ATPase,ATP2B1,sp|P20020|AT2B1_HUMAN Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=4;tr|E7ERY9|E7ERY9_HUMAN Calcium-transporting ATPase OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=2,5,2,5.8,4.17608450057973,4.06670010289021,24.0099222209353,25.1044560668272
Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,BRISC and BRCA1-A complex member 1,BABAM1,sp|Q9NWV8|BABA1_HUMAN BRISC and BRCA1-A complex member 1 OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0QYV1|M0QYV1_HUMAN BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R3F4|M0R3F4_HUMAN BRISC and BRCA1-A c,2,2,5.8,4.17608450057973,4.06670010289021,23.1558249845697,24.2188931003175
O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,"3(2),5-bisphosphate nucleotidase 1",BPNT1,"sp|O95861|BPNT1_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1;tr|A6NF51|A6NF51_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=2;tr|F8VVW8|F8VVW8_HUMAN 3(2),5-bisphosphate nuc",2,2,6.2,4.17608450057973,4.06670010289021,23.2583935074264,24.6377122884933
Q9UPA5,Q9UPA5,2,2,2,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,2,2,0.9,4.17608450057973,4.06670010289021,23.7839669896107,24.735467191381
O43684;J3QT28,O43684;J3QT28,2;2,2;2,2;2,Mitotic checkpoint protein BUB3,BUB3,sp|O43684|BUB3_HUMAN Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1;tr|J3QT28|J3QT28_HUMAN Mitotic checkpoint protein BUB3 (Fragment) OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1,2,2,6.4,23.6234376864658,22.7024448907184,4.45881916663448,4.39209895775669
S4R3N7;Q96M02;Q5T025;A0A0A0MSX2,S4R3N7;Q96M02;Q5T025;A0A0A0MSX2,2;1;1;1,2;1;1;1,2;1;1;1,Centrosomal protein C10orf90,C10orf90,tr|S4R3N7|S4R3N7_HUMAN (E2-independent) E3 ubiquitin-conjugating enzyme FATS (Fragment) OS=Homo sapiens OX=9606 GN=C10orf90 PE=1 SV=2;sp|Q96M02|CJ090_HUMAN (E2-independent) E3 ubiquitin-conjugating enzyme FATS OS=Homo sapiens OX=9606 GN=C10orf90 PE=2 SV=2;,2,2,8.0,4.17608450057973,4.06670010289021,26.9157609542467,26.8446973371439
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,4.17608450057973,4.06670010289021,23.3280021005752,23.0454023982834
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,4.17608450057973,4.06670010289021,23.4612646017837,24.3673971534476
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,4.17608450057973,4.06670010289021,24.9514776632593,24.3178966976681
K7EKF7;K7EQ95;A0A1B0GUS3;O00555;A0A1B0GTW2;A0A1B0GU81;A0A1B0GTN7;A0A1C7CYY9;A0A087WW63,K7EKF7;K7EQ95;A0A1B0GUS3;O00555;A0A1B0GTW2;A0A1B0GU81;A0A1B0GTN7;A0A1C7CYY9;A0A087WW63,2;2;2;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,CACNA1A,tr|K7EKF7|K7EKF7_HUMAN Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Fragment) OS=Homo sapiens OX=9606 GN=CACNA1A PE=1 SV=2;tr|K7EQ95|K7EQ95_HUMAN Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Fragment) OS=Homo sapiens OX=9606,2,2,4.2,4.17608450057973,4.06670010289021,25.8787671535862,25.3691292404244
Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,2;1;1;1,2;1;1;1,2;1;1;1,Cactin,CACTIN,sp|Q8WUQ7|CATIN_HUMAN Cactin OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=3;tr|K7EIU6|K7EIU6_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7EMQ0|K7EMQ0_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7ENY9|K7E,2,2,4.1,4.17608450057973,4.06670010289021,24.5156416487925,24.0666929644928
P04632;K7EM73;K7ELJ7;A0A0C4DGQ5;K7ES78;U3KQE2;K7EIV0;A0A075B7C0;K7EKD8,P04632;K7EM73;K7ELJ7;A0A0C4DGQ5;K7ES78;U3KQE2;K7EIV0;A0A075B7C0;K7EKD8,2;2;2;2;1;1;1;1;1,2;2;2;2;1;1;1;1;1,2;2;2;2;1;1;1;1;1,Calpain small subunit 1,CAPNS1,sp|P04632|CPNS1_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|K7EM73|K7EM73_HUMAN Calpain small subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|K7ELJ7|K7ELJ7_HUMAN Calpain small subunit 1 OS=Homo sapiens O,2,2,27.6,21.9944501215909,21.9304668262525,23.0053545339181,23.0201681457758
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.17608450057973,4.06670010289021,23.7611137310158,22.8220930856658
Q03135;C9JKI3;E9PCT5,Q03135;C9JKI3;E9PCT5,2;1;1,2;1;1,2;1;1,Caveolin-1;Caveolin,CAV1,sp|Q03135|CAV1_HUMAN Caveolin-1 OS=Homo sapiens OX=9606 GN=CAV1 PE=1 SV=4;tr|C9JKI3|C9JKI3_HUMAN Caveolin (Fragment) OS=Homo sapiens OX=9606 GN=CAV1 PE=1 SV=1;tr|E9PCT5|E9PCT5_HUMAN Caveolin OS=Homo sapiens OX=9606 GN=CAV1 PE=1 SV=1,2,2,19.7,25.8004034679612,23.469321607639,23.5869203979367,23.9039939509861
P35520;P0DN79;C9JMA6,P35520;P0DN79;C9JMA6,2;2;1,2;2;1,2;2;1,Cystathionine beta-synthase,CBS,sp|P35520|CBS_HUMAN Cystathionine beta-synthase OS=Homo sapiens OX=9606 GN=CBS PE=1 SV=2;sp|P0DN79|CBSL_HUMAN Cystathionine beta-synthase-like protein OS=Homo sapiens OX=9606 GN=CBSL PE=1 SV=1;tr|C9JMA6|C9JMA6_HUMAN Cystathionine beta-synthase (Fragment) O,2,2,4.5,23.2820658164083,22.4446430687535,4.45881916663448,4.39209895775669
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.17608450057973,4.06670010289021,25.5615662447535,24.3987828270151
Q8NDH2,Q8NDH2,2,2,2,Coiled-coil domain-containing protein 168,CCDC168,sp|Q8NDH2|CC168_HUMAN Coiled-coil domain-containing protein 168 OS=Homo sapiens OX=9606 GN=CCDC168 PE=2 SV=2,2,2,1.4,31.2219906692107,28.6295284124397,24.7911903185565,23.8984808114096
Q5T5S1,Q5T5S1,2,2,2,Coiled-coil domain-containing protein 183,CCDC183,sp|Q5T5S1|CC183_HUMAN Coiled-coil domain-containing protein 183 OS=Homo sapiens OX=9606 GN=CCDC183 PE=2 SV=3,2,2,9.2,25.7605187784205,20.3788832695774,24.5528585618631,24.5705549098956
Q8IV13;E7EN43;B4DZA8;A0A2R8Y754;A0A2R8Y7P8;A0A2R8YFU1;F6RF56,Q8IV13;E7EN43;B4DZA8;A0A2R8Y754;A0A2R8Y7P8;A0A2R8YFU1;F6RF56,2;2;2;1;1;1;1,2;2;2;1;1;1;1,2;2;2;1;1;1;1,Cyclin-J-like protein,CCNJL,sp|Q8IV13|CCNJL_HUMAN Cyclin-J-like protein OS=Homo sapiens OX=9606 GN=CCNJL PE=2 SV=3;tr|E7EN43|E7EN43_HUMAN Cyclin-J-like protein OS=Homo sapiens OX=9606 GN=CCNJL PE=1 SV=1;tr|B4DZA8|B4DZA8_HUMAN Cyclin-J-like protein OS=Homo sapiens OX=9606 GN=CCNJL PE=,2,2,8.0,23.1018782381574,22.3429964049565,25.7253008485813,25.4606398691533
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2,2,15.0,4.17608450057973,4.06670010289021,24.5936031234191,24.6954581299705
Q99832;F8WAM2,Q99832;F8WAM2,2;1,2;1,2;1,T-complex protein 1 subunit eta,CCT7,sp|Q99832|TCPH_HUMAN T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2;tr|F8WAM2|F8WAM2_HUMAN T-complex protein 1 subunit eta (Fragment) OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=1,2,2,4.2,23.8458460559685,22.5720194707419,26.2421631751837,26.2104560460933
Q69YH5;E9PEI0,Q69YH5;E9PEI0,2;2,2;2,2;2,Cell division cycle-associated protein 2,CDCA2,sp|Q69YH5|CDCA2_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=2;tr|E9PEI0|E9PEI0_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=1,2,2,2.8,4.17608450057973,4.06670010289021,23.9223419472326,23.1943174135048
Q96FF9;B5MBX0,Q96FF9;B5MBX0,2;2,2;2,2;2,Sororin,CDCA5,sp|Q96FF9|CDCA5_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1;tr|B5MBX0|B5MBX0_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1,2,2,15.1,4.17608450057973,4.06670010289021,23.9078405442646,21.9781993172643
P06493;E5RIU6;A0A087WZZ9;A0A024QZP7;G3V317,P06493;E5RIU6;A0A087WZZ9;A0A024QZP7,4;4;4;4;1,2;2;2;2;0,2;2;2;2;0,Cyclin-dependent kinase 1,CDK1;CDC2,sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|E5RIU6|E5RIU6_HUMAN Cyclin-dependent kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=2;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cyclin-dependent kinase 1 OS=Homo,4,2,15.8,21.716491270887,21.7250899882442,23.579727554575,23.099071016264
P11802;F8VYH9;F8VTV8;F8VWX7;F8W1L8;F8VXD2;F8VZZ0;F8VZ51;F8VYY1;Q96BE9,P11802;F8VYH9;F8VTV8;F8VWX7;F8W1L8;F8VXD2;F8VZZ0;F8VZ51,3;3;3;3;2;2;2;2;1;1,2;2;2;2;2;1;1;1;1;1,2;2;2;2;2;1;1;1;1;1,Cyclin-dependent kinase 4,CDK4,sp|P11802|CDK4_HUMAN Cyclin-dependent kinase 4 OS=Homo sapiens OX=9606 GN=CDK4 PE=1 SV=2;tr|F8VYH9|F8VYH9_HUMAN Cyclin-dependent kinase 4 (Fragment) OS=Homo sapiens OX=9606 GN=CDK4 PE=1 SV=1;tr|F8VTV8|F8VTV8_HUMAN Cyclin-dependent kinase 4 OS=Homo sapiens,3,2,14.5,22.1027113324851,22.0080813281096,25.328729465294,25.3835049683201
