Gene_names,GNB2_vs_BirA_logFC,GNB2_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_GNB2_N1,Peptides_GNB2_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_GNB2_N1,Razor___unique_peptides_GNB2_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_GNB2_N1,Unique_peptides_GNB2_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_GNB2_N1,Identification_type_GNB2_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_GNB2_N1,Ratio_H_L_GNB2_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_GNB2_N1,Ratio_H_L_normalized_GNB2_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____GNB2_N1,Ratio_H_L_variability_____GNB2_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_GNB2_N1,Ratio_H_L_count_GNB2_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_GNB2_N1,Ratio_H_L_iso_count_GNB2_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_GNB2_N1,Ratio_H_L_type_GNB2_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_GNB2_N1____,Sequence_coverage_GNB2_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_GNB2_N1,Intensity_L_GNB2_N1,Intensity_H_GNB2_N1,Intensity_GNB2_N2,Intensity_L_GNB2_N2,Intensity_H_GNB2_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_GNB2_N1,metacell_Intensity_L_GNB2_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CAD,-1.45636238842654,0.0325250751527834,P27708;F8VPD4;H7C2E4;H7BZB3,P27708;F8VPD4,29;29;6;2,29;29;6;2,29;29;6;2,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,sp|P27708|PYR1_HUMAN CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3;tr|F8VPD4|F8VPD4_HUMAN CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=1,4,29,29,29,20,22,8,13,20,22,8,13,20,22,8,13,17.7,17.7,17.7,242.98,2225,2225;2162;293;279,0.0,74.063,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34564,0.98525,16.597,69,21,Leave out requantified,0.31179,0.35919,0.34375,0.38285,1.0224,0.90994,0.94558,1.0911,20.647,13.288,34.077,17.225,20,24,10,15,5,8,3,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,12.9,13.8,4.9,8.0,2417500000,1729600000,687870000,690980000,512490000,178500000,882100000,629520000,252570000,318590000,222020000,96569000,525810000,365580000,160230000,,,,915,168;902;3773;4386;4644;7520;7706;7707;9315;9589;10240;10307;10730;12269;12297;13156;13897;15589;16811;17570;17788;17952;18087;19221;19222;19223;19356;19494;19581,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,216;1164;5009;5804;6178;10212;10213;10489;10490;12781;13191;14017;14089;14687;16658;16693;17757;18696;20857;22410;23402;23683;23883;24053;25587;25588;25589;25769;25953;26068,487;488;489;490;2721;11448;13166;13167;13168;13936;13937;23084;23085;23086;23087;23088;23786;23787;23788;28718;28719;29599;29600;29601;29602;31498;31664;31665;31666;31667;31668;32996;32997;32998;32999;37431;37432;37433;37434;37514;37515;39836;41976;41977;46527;46528;50182;50183;52463;52464;52465;53068;53069;53070;53071;53522;53956;53957;53958;57543;57544;57545;57546;57547;57548;57983;58405;58406;58692,876;877;878;879;880;881;882;883;884;885;886;4927;20970;24012;24013;24014;24015;24016;25375;41907;41908;41909;41910;41911;43266;43267;43268;43269;43270;51843;51844;53355;53356;53357;53358;53359;53360;53361;56781;57066;57067;57068;57069;57070;57071;57072;57073;57074;59384;59385;59386;59387;59388;59389;59390;59391;59392;67137;67138;67139;67287;67288;67289;71321;75287;75288;75289;75290;83038;83039;83040;89548;89549;89550;89551;89552;89553;89554;89555;94027;94028;94029;94030;95156;95157;95158;95159;95883;96851;103692;103693;103694;103695;103696;103697;103698;103699;103700;103701;104555;104556;104557;104558;105308;105309;105921,882;4927;20970;24014;25375;41911;43266;43267;51843;53355;56781;57071;59384;67139;67289;71321;75289;83040;89552;94028;95159;95883;96851;103697;103698;103701;104556;105308;105921,,,,,-1;-1;-1;-1,protein_916,quanti,quanti,quanti,quanti
LIMA1,3.03871555452069,0.00310970890158246,Q9UHB6;F8VQE1;F8VS07;F8VRN8,Q9UHB6;F8VQE1;F8VS07,14;14;13;2,14;14;13;2,14;14;13;2,LIM domain and actin-binding protein 1,sp|Q9UHB6|LIMA1_HUMAN LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1;tr|F8VQE1|F8VQE1_HUMAN LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1;tr|F8VS07|F8VS07_HUMAN LIM domain and actin-bin,4,14,14,14,2,2,11,10,2,2,11,10,2,2,11,10,21.1,21.1,21.1,85.225,759,759;598;456;388,0.0,90.613,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37979,1.1403,24.489,34,9,Leave out requantified,0.16754,0.4039,0.40135,0.42947,0.54936,1.0765,1.1256,1.1428,101.97,8.1463,32.613,26.727,2,2,17,13,2,0,5,2,Median,Median,Leave out requantified,Leave out requantified,4.5,4.0,18.3,16.7,2691600000,1825000000,866570000,80126000,64272000,15855000,104810000,73901000,30913000,1707400000,1165500000,541940000,799230000,521370000,277860000,,,,916,2660;3068;8206;8578;10683;11648;13306;14093;16158;16395;16523;16524;18835;20994,True;True;True;True;True;True;True;True;True;True;True;True;True;True,3540;4095;11134;11620;14626;14627;15865;15866;17944;18931;21603;21892;22054;22055;22056;25015;25016;27893,8225;8226;9457;25235;26356;26357;32850;32851;32852;32853;32854;32855;35591;35592;35593;35594;35595;40270;42481;48308;48309;48971;49363;49364;49365;49366;56215;56216;56217;56218;56219;56220;62724;62725,15131;17399;45770;47974;47975;59132;59133;59134;59135;59136;59137;59138;59139;59140;59141;59142;59143;59144;59145;59146;63848;63849;63850;63851;63852;63853;63854;63855;63856;63857;63858;63859;63860;72132;72133;76161;86288;86289;86290;86291;86292;86293;87489;88122;88123;88124;88125;88126;101177;101178;101179;101180;101181;101182;101183;101184;101185;101186;101187;101188;101189;101190;101191;113134;113135,15131;17399;45770;47974;59134;63852;72132;76161;86290;87489;88122;88126;101187;113134,756;757;758;759;760,,423;439;500;603;606,,-1;-1;-1;-1,protein_917,quanti,quanti,quanti,quanti
UBE2N,-1.72094581839837,0.100026122546637,P61088;F8VSD4;F8VQQ8;F8VV71;Q5JXB2;F8VZ29,P61088;F8VSD4;F8VQQ8;F8VV71,3;3;2;2;1;1,3;3;2;2;1;1,3;3;2;2;1;1,Ubiquitin-conjugating enzyme E2 N,sp|P61088|UBE2N_HUMAN Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1;tr|F8VSD4|F8VSD4_HUMAN Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1;tr|F8VQQ8|F8VQQ8_HUMAN Ubiquitin-conjugating enzyme E2 N ,6,3,3,3,2,2,1,2,2,2,1,2,2,2,1,2,24.3,24.3,24.3,17.138,152,152;105;89;152;153;87,0.0,4.2751,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.24986,0.73295,94.316,5,1,Median,0.17866,0.24986,1.2213,0.28642,0.65446,0.73295,3.8863,0.87294,,,,119.46,1,1,1,2,0,0,0,1,Median,Median,Median,Median,17.1,17.1,12.5,19.7,342980000,237640000,105340000,87898000,71572000,16326000,104290000,82344000,21942000,44759000,14936000,29823000,106040000,68790000,37250000,,,,921,8593;10671;12166,True;True;True,11639;14612;16528,26398;32816;32817;32818;32819;37151;37152,48067;59088;59089;59090;59091;59092;59093;66604;66605;66606;66607,48067;59089;66606,763,,82,,-1;-1;-1;-1;-1;-1,protein_922,quanti,quanti,quanti,quanti
SLC25A3,0.864690481877076,0.139808096573928,F8VVM2;F8VWQ0;F8VZL5;F8VWR4,F8VVM2,13;4;3;3,13;4;3;3,2;1;0;0,,"tr|F8VVM2|F8VVM2_HUMAN Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=1",4,13,13,2,8,8,11,6,8,8,11,6,1,2,1,1,39.2,39.2,13.6,36.161,324,324;156;153;154,0.0,108.42,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26679,0.77287,61.647,44,16,Leave out requantified,0.23888,0.29604,0.25224,0.28669,0.82457,0.80769,0.65474,0.84068,11.341,82.302,28.09,15.458,9,9,16,10,3,2,8,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,27.5,30.2,31.2,23.5,6684900000,5154900000,1530000000,838590000,666910000,171680000,974950000,761880000,213070000,3129100000,2391100000,737940000,1742300000,1334900000,407330000,,,,929,660;5616;5617;6391;8143;8144;12989;13180;14116;14457;14458;18064;21211,True;True;True;True;True;True;True;True;True;True;True;True;True,838;839;840;7544;7545;7546;7547;8626;8627;11064;11065;11066;17545;17787;18956;19396;19397;24022;28188;28189,1895;1896;1897;1898;1899;1900;16987;16988;16989;16990;16991;16992;19388;19389;19390;19391;19392;19393;25084;25085;25086;25087;25088;25089;25090;25091;25092;39355;39356;39357;39906;39907;39908;39909;39910;42521;43418;43419;43420;53884;63400;63401;63402;63403;63404,3362;3363;3364;3365;3366;3367;3368;3369;3370;3371;30959;30960;30961;30962;30963;30964;30965;30966;30967;30968;30969;30970;35120;35121;35122;35123;35124;35125;35126;35127;35128;35129;35130;35131;35132;35133;35134;35135;45494;45495;45496;45497;45498;45499;45500;45501;45502;45503;45504;45505;45506;45507;45508;45509;45510;45511;45512;70445;70446;70447;70448;71481;71482;71483;71484;71485;71486;76219;77788;77789;77790;77791;96722;114313;114314;114315;114316;114317;114318;114319;114320;114321,3368;30959;30966;35134;45499;45508;70445;71485;76219;77790;77791;96722;114317,773;774,,217;233,,-1;-1;-1;-1,protein_930,quanti,quanti,quanti,quanti
AAAS,19.402888650833,3.60692309859675e-05,Q9NRG9;F8VZ44;H3BU82;F8VUB6,Q9NRG9;F8VZ44;H3BU82,4;4;3;1,4;4;3;1,4;4;3;1,Aladin,sp|Q9NRG9|AAAS_HUMAN Aladin OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1;tr|F8VZ44|F8VZ44_HUMAN Aladin OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1;tr|H3BU82|H3BU82_HUMAN Aladin (Fragment) OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1,4,4,4,4,0,0,3,1,0,0,3,1,0,0,3,1,11.2,11.2,11.2,59.573,546,546;422;358;127,0.0,5.4051,,,By MS/MS,By MS/MS,0.63043,1.6664,30.751,5,1,Leave out requantified,,,0.67481,0.63043,,,1.7593,1.0942,,,26.869,,0,0,4,1,0,0,1,0,Median,Median,Median,Median,0.0,0.0,7.7,3.5,124020000,74764000,49258000,0,0,0,0,0,0,115680000,69937000,45742000,8342400,4826800,3515600,,,,933,7046;7711;10802;20129,True;True;True;True,9630;9631;10495;14778;26786,21755;21756;23799;33220;60304,39506;39507;39508;39509;39510;43284;59773;59774;108905,39509;43284;59773;108905,,,,,-1;-1;-1;-1,protein_934,quanti,quanti,imputed MEC,imputed MEC
AK2,-0.0338607568035805,0.956837583567219,P54819;F8W1A4;F8VY04;A0A5K1VW67;F8VZG5;A0A5F9ZHP2;G3V213;F8VPP1,P54819;F8W1A4;F8VY04;A0A5K1VW67;F8VZG5;A0A5F9ZHP2;G3V213,16;16;12;12;11;11;9;3,16;16;12;12;11;11;9;3,16;16;12;12;11;11;9;3,"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed;Adenylate kinase 2, mitochondrial","sp|P54819|KAD2_HUMAN Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2;tr|F8W1A4|F8W1A4_HUMAN Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=1;tr|F8VY04|F8VY04_HUMAN Adenylate kinase 2, mitochondrial OS=Ho",8,16,16,16,8,9,11,8,8,9,11,8,8,9,11,8,77.0,77.0,77.0,26.477,239,239;232;190;197;162;162;133;42,0.0,47.631,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30048,0.87677,24.384,46,15,Leave out requantified,0.26622,0.30633,0.25208,0.32099,0.92074,0.87284,0.85609,0.84123,17.73,14.15,24.624,26.938,8,9,18,11,3,3,7,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,53.1,47.7,59.4,42.3,3734300000,2860500000,873730000,655210000,523960000,131250000,842060000,624230000,217830000,1598300000,1232800000,365560000,638670000,479580000,159090000,,,,934,1605;1606;1711;1712;2268;2269;3632;5638;8189;9511;10441;11321;13376;13586;14223;16967,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2159;2160;2304;2305;3012;3013;3014;3015;4827;7574;11116;13078;14273;15461;15462;18032;18033;18300;18301;19101;22601,5047;5048;5366;5367;5368;7095;7096;7097;7098;7099;7100;7101;7102;7103;7104;7105;11074;17060;17061;17062;17063;25199;25200;29355;29356;29357;29358;32066;32067;34689;34690;34691;34692;34693;34694;34695;40456;40457;40458;40459;40460;41039;41040;41041;42805;50653,9338;9339;9927;9928;9929;9930;9931;13193;13194;13195;13196;13197;13198;13199;13200;13201;13202;13203;13204;13205;13206;13207;13208;13209;13210;13211;13212;13213;13214;13215;13216;13217;20340;31070;45722;45723;52899;52900;52901;52902;52903;52904;52905;52906;52907;52908;52909;52910;52911;57826;57827;62351;62352;62353;62354;62355;62356;62357;62358;62359;62360;62361;62362;72441;72442;72443;72444;72445;72446;72447;72448;73471;73472;73473;73474;76745;76746;90469,9338;9339;9927;9929;13195;13217;20340;31070;45722;52910;57826;62357;72441;73472;76746;90469,780;781;782;783,,28;63;93;147,,-1;-1;-1;-1;-1;-1;-1;-1,protein_935,quanti,quanti,quanti,quanti
MYL6,-0.732765625741077,0.204922948961387,P60660;F8W1R7;G3V1V0;J3KND3;G8JLA2;B7Z6Z4;F8VPF3;G3V1Y7;F8VZU9;F8W180;P14649;F8W1I5;F8VXL3;H0YI43,P60660;F8W1R7;G3V1V0;J3KND3;G8JLA2;B7Z6Z4;F8VPF3;G3V1Y7,14;14;14;11;11;11;9;7;4;4;3;3;1;1,14;14;14;11;11;11;9;7;4;4;3;3;1;1,14;14;14;11;11;11;9;7;4;4;3;3;1;1,Myosin light polypeptide 6,sp|P60660|MYL6_HUMAN Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2;tr|F8W1R7|F8W1R7_HUMAN Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=1;tr|G3V1V0|G3V1V0_HUMAN Myosin light polypeptide 6 OS=Homo sapiens OX=9606 ,14,14,14,14,9,11,11,11,9,11,11,11,9,11,11,11,67.5,67.5,67.5,16.93,151,151;145;161;152;152;238;130;115;103;196;208;175;47;83,0.0,184.85,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48269,1.574,21.941,51,3,Leave out requantified,0.41178,0.6199,0.46558,0.52785,1.4946,1.7676,1.511,1.5834,15.195,10.806,21.023,23.209,9,11,13,18,0,0,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,57.6,67.5,67.5,67.5,6963200000,4517800000,2445400000,1585500000,1106600000,478890000,2165800000,1327800000,838020000,1153400000,763910000,389510000,2058500000,1319500000,738970000,,,,935,1292;1293;1294;2518;2519;2520;3317;6959;7893;13514;17247;19148;19149;19216,True;True;True;True;True;True;True;True;True;True;True;True;True;True,1732;1733;1734;1735;1736;3343;3344;3345;4418;4419;9496;9497;10744;10745;18204;22957;22958;25485;25486;25487;25580;25581,4021;4022;4023;4024;4025;4026;4027;4028;4029;4030;7809;7810;7811;7812;7813;7814;7815;7816;10187;10188;10189;21463;21464;21465;21466;24360;24361;24362;24363;24364;24365;40842;40843;40844;51482;51483;51484;51485;57311;57312;57313;57314;57315;57316;57317;57318;57531;57532;57533;57534;57535,7278;7279;7280;7281;7282;7283;7284;7285;7286;7287;7288;7289;7290;7291;7292;7293;7294;7295;7296;7297;7298;7299;7300;14449;14450;14451;14452;14453;14454;14455;14456;14457;14458;14459;14460;14461;14462;14463;14464;14465;14466;14467;14468;14469;14470;14471;14472;14473;14474;18742;18743;18744;18745;18746;18747;18748;38993;38994;38995;38996;38997;38998;38999;39000;39001;39002;39003;39004;44277;44278;44279;44280;44281;44282;44283;44284;44285;44286;44287;44288;44289;44290;44291;44292;44293;73140;73141;73142;73143;73144;73145;73146;73147;73148;73149;73150;92058;92059;92060;92061;92062;103270;103271;103272;103273;103274;103275;103276;103277;103278;103279;103280;103281;103282;103283;103284;103285;103286;103287;103288;103674;103675;103676;103677;103678;103679;103680,7282;7295;7300;14449;14462;14471;18746;38995;44279;73140;92061;103271;103288;103675,784;785,,26;56,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_936,quanti,quanti,quanti,quanti
COPZ1,0.360382892846438,0.508813452225486,F8W651;P61923;F8VVA7;F8VYK5;F8VXB1;F8VUC5;F8W156;F8VYZ4,F8W651;P61923;F8VVA7,3;2;2;1;1;1;1;1,3;2;2;1;1;1;1;1,3;2;2;1;1;1;1;1,Coatomer subunit zeta-1,tr|F8W651|F8W651_HUMAN Coatomer subunit zeta OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1;sp|P61923|COPZ1_HUMAN Coatomer subunit zeta-1 OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1;tr|F8VVA7|F8VVA7_HUMAN Coatomer subunit zeta OS=Homo sapiens OX=9606 GN=COPZ1 P,8,3,3,3,1,1,2,2,1,1,2,2,1,1,2,2,51.3,51.3,51.3,13.393,119,119;177;198;89;92;95;107;163,0.0,6.2062,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43395,1.2071,39.01,6,0,Leave out requantified,0.43395,0.5099,0.26933,0.57525,1.2071,1.308,0.78341,1.536,,,17.099,44.798,1,1,2,2,0,0,0,0,Median,Median,Median,Median,11.8,11.8,31.1,39.5,172430000,117890000,54538000,21442000,15480000,5961500,40896000,27363000,13533000,62831000,46772000,16059000,47261000,28276000,18985000,,,,937,11102;12430;18342,True;True;True,15170;16852;24373,34080;37869;37870;37871;54713;54714,61347;67882;67883;67884;67885;67886;67887;67888;67889;98348;98349,61347;67888;98348,786;787,,49;53,,-1;-1;-1;-1;-1;-1;-1;-1,protein_938,quanti,quanti,quanti,quanti
HNRNPA1,1.53380214627508,0.0211889070164798,P09651;F8W6I7;F8VZ49;F8VTQ5;F8W646;Q32P51;F8VYN5,P09651;F8W6I7;F8VZ49;F8VTQ5;F8W646,25;25;18;13;13;12;9,25;25;18;13;13;12;9,9;9;6;5;9;6;2,"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed",sp|P09651|ROA1_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5;tr|F8W6I7|F8W6I7_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=2;tr|F8VZ49|F8VZ49_HUMAN Heterogeneous,7,25,25,9,8,7,25,18,8,7,25,18,2,2,9,5,57.3,57.3,18.5,38.746,372,372;307;231;145;156;320;113,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.21545,0.69617,27.781,117,55,Leave out requantified,0.23763,0.24445,0.21486,0.21074,0.71056,0.6689,0.69617,0.65513,55.552,23.167,46.387,35.574,12,10,53,42,2,3,29,21,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,33.3,32.8,57.3,52.2,30192000000,24725000000,5467000000,3175800000,2590100000,585710000,2950800000,2330600000,620240000,13942000000,11375000000,2567000000,10123000000,8428900000,1694100000,,,,939,2323;3272;3409;5303;5304;5305;5369;5370;5371;5467;7274;7341;9048;9996;13803;13804;14951;15558;15559;15773;15774;15979;16512;16573;20700,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3083;4362;4542;7071;7072;7073;7074;7183;7184;7185;7186;7187;7188;7189;7332;9900;9901;9980;12343;12344;12345;13717;13718;18579;18580;18581;20053;20054;20813;20814;21095;21096;21097;21098;21099;21100;21375;21376;22036;22113;22114;22115;22116;27511,7259;10055;10445;10446;15893;15894;15895;15896;15897;15898;15899;15900;15901;15902;15903;15904;16190;16191;16192;16193;16194;16195;16196;16197;16198;16199;16200;16201;16202;16203;16204;16205;16206;16207;16208;16209;16210;16211;16212;16213;16545;16546;22331;22332;22333;22334;22514;22515;22516;22517;27818;27819;27820;27821;27822;27823;27824;27825;27826;27827;30832;30833;30834;30835;41692;41693;41694;41695;41696;41697;41698;44782;44783;44784;46426;46427;47106;47107;47108;47109;47110;47111;47112;47113;47114;47115;47116;47117;47118;47119;47120;47121;47122;47762;47763;47764;47765;47766;49297;49298;49299;49500;49501;49502;49503;49504;49505;49506;49507;49508;49509;49510;49511;49512;49513;61920;61921;61922,13499;18511;19193;19194;28957;28958;28959;28960;28961;28962;28963;28964;28965;28966;28967;28968;28969;28970;29536;29537;29538;29539;29540;29541;29542;29543;29544;29545;29546;29547;29548;29549;29550;29551;29552;29553;29554;29555;29556;29557;29558;29559;29560;29561;29562;29563;29564;29565;29566;29567;29568;29569;29570;29571;29572;29573;29574;29575;29576;29577;29578;29579;30157;30158;30159;40501;40502;40503;40504;40505;40506;40507;40508;40509;40510;40511;40816;40817;40818;40819;40820;50478;50479;50480;50481;50482;50483;50484;50485;50486;50487;50488;50489;50490;50491;50492;50493;50494;50495;50496;50497;50498;50499;50500;50501;55566;55567;55568;55569;55570;55571;55572;55573;55574;55575;55576;55577;55578;55579;55580;55581;55582;55583;55584;55585;74738;74739;74740;74741;74742;74743;74744;74745;74746;74747;74748;74749;80041;80042;80043;80044;80045;80046;80047;80048;80049;82883;82884;84152;84153;84154;84155;84156;84157;84158;84159;84160;84161;84162;84163;84164;84165;84166;84167;84168;84169;84170;84171;84172;84173;84174;84175;84176;84177;85319;85320;85321;85322;85323;87998;87999;88000;88001;88002;88003;88004;88349;88350;88351;88352;88353;88354;88355;88356;88357;88358;88359;88360;88361;88362;88363;88364;88365;88366;88367;88368;88369;88370;88371;88372;88373;88374;88375;88376;88377;88378;88379;88380;88381;88382;88383;88384;88385;111733;111734;111735;111736,13499;18511;19193;28959;28964;28969;29536;29557;29570;30157;40502;40816;50491;55578;74738;74745;80046;82883;82884;84154;84174;85323;87998;88349;111733,252;253;254;788;789;790;791;792,,3;8;15;52;78;161;166;350,,-1;-1;-1;-1;-1;-1;-1,protein_940,quanti,quanti,quanti,quanti
UBAP2L,21.1714111017095,1.86093104556889e-07,Q14157;F8W726;Q5VU77;Q5VU81;Q5VU80;Q5VU79;Q5VU78;H0Y5H6;H7C2T8,Q14157;F8W726;Q5VU77,4;4;2;1;1;1;1;1;1,4;4;2;1;1;1;1;1;1,4;4;2;1;1;1;1;1;1,Ubiquitin-associated protein 2-like,sp|Q14157|UBP2L_HUMAN Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2;tr|F8W726|F8W726_HUMAN Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2;tr|Q5VU77|Q5VU77_HUMAN Ubiquitin-associated protein,9,4,4,4,0,0,3,4,0,0,3,4,0,0,3,4,5.3,5.3,5.3,114.53,1087,1087;1079;350;182;234;265;280;383;399,0.0,9.2322,,,By MS/MS,By MS/MS,0.45462,1.195,24.213,7,0,Leave out requantified,,,0.47418,0.43854,,,1.3329,1.2009,,,36.687,16.865,0,0,3,4,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,3.5,5.3,194540000,127690000,66853000,0,0,0,0,0,0,77236000,51295000,25941000,117300000,76392000,40912000,,,,940,1018;2869;5531;7208,True;True;True;True,1328;3826;7421;9830,3085;8896;8897;16716;16717;22193;22194,5627;16480;30480;30481;40286;40287;40288,5627;16480;30480;40286,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_941,quanti,quanti,imputed MEC,imputed MEC
MRE11A,0.756725705064049,0.263670409299914,P49959;F8W7U8;F5GXT0,P49959;F8W7U8,5;5;1,5;5;1,5;5;1,Double-strand break repair protein MRE11A,sp|P49959|MRE11_HUMAN Double-strand break repair protein MRE11 OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=3;tr|F8W7U8|F8W7U8_HUMAN Double-strand break repair protein OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=1,3,5,5,5,1,2,4,2,1,2,4,2,1,2,4,2,7.9,7.9,7.9,80.592,708,708;707;221,0.0,8.7311,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34254,0.87206,4.6646,9,4,Leave out requantified,0.29837,0.41089,0.16404,0.35316,0.80455,0.98625,0.48153,0.95319,,12.738,54.68,10.515,1,2,4,2,0,0,3,1,Median,Median,Median,Median,2.3,4.5,5.6,4.0,213440000,158550000,54895000,19704000,15547000,4157400,49753000,31752000,18001000,93651000,76220000,17431000,50336000,35030000,15306000,,,,941,11534;13721;13722;16292;18359,True;True;True;True;True,15718;18481;18482;21763;24395,35283;35284;35285;35286;41465;41466;48682;54765;54766,63276;63277;63278;63279;63280;63281;74333;74334;86933;98453;98454,63276;74333;74334;86933;98453,793;794,,393;625,,-1;-1;-1,protein_942,quanti,quanti,quanti,quanti
