Gene_names,PHIP_vs_BirA_logFC,PHIP_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DCAF14_N1,Peptides_DCAF14_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DCAF14_N1,Razor___unique_peptides_DCAF14_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DCAF14_N1,Unique_peptides_DCAF14_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DCAF14_N1,Identification_type_DCAF14_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DCAF14_N1,Ratio_H_L_DCAF14_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DCAF14_N1,Ratio_H_L_normalized_DCAF14_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DCAF14_N1,Ratio_H_L_variability_____DCAF14_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DCAF14_N1,Ratio_H_L_count_DCAF14_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DCAF14_N1,Ratio_H_L_iso_count_DCAF14_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DCAF14_N1,Ratio_H_L_type_DCAF14_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DCAF14_N1____,Sequence_coverage_DCAF14_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DCAF14_N1,Intensity_L_DCAF14_N1,Intensity_H_DCAF14_N1,Intensity_DCAF14_N2,Intensity_L_DCAF14_N2,Intensity_H_DCAF14_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF14_N1,metacell_Intensity_L_DCAF14_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HTRA2,0.881072636078056,0.0723543021433721,O43464;A0A0C4DG44;P83110,O43464;A0A0C4DG44,3;3;1,3;3;1,3;3;1,"Serine protease HTRA2, mitochondrial","sp|O43464|HTRA2_HUMAN Serine protease HTRA2, mitochondrial OS=Homo sapiens OX=9606 GN=HTRA2 PE=1 SV=2;tr|A0A0C4DG44|A0A0C4DG44_HUMAN Serine protease HTRA2, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=HTRA2 PE=1 SV=1",3,3,3,3,1,1,3,3,1,1,3,3,1,1,3,3,8.5,8.5,8.5,48.84,458,458;423;453,0.0,7.4444,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3402,0.8806,33.804,8,2,Leave out requantified,0.22878,0.3402,0.29083,0.35912,0.78435,0.87121,0.8806,0.90097,,,32.269,21.714,1,1,3,3,1,0,0,1,Median,Median,Leave out requantified,Median,3.1,3.1,8.5,8.5,473300000,336130000,137170000,39950000,31562000,8387600,38772000,28939000,9832800,235910000,170150000,65757000,158680000,105480000,53195000,,,,156,8854;17533;21101,True;True;True,9539;18744;22554,24521;24522;24523;24524;48040;48041;58051;58052,46683;46684;46685;46686;46687;89950;89951;89952;109921;109922,46684;89952;109921,,,,,-1;-1;-1,protein_157,quanti,quanti,quanti,quanti
DDX46,-0.505544495765527,0.215365243642299,Q7L014;A0A0C4DG89;D6RJA6,Q7L014;A0A0C4DG89,11;11;3,11;11;3,11;11;3,Probable ATP-dependent RNA helicase DDX46,sp|Q7L014|DDX46_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2;tr|A0A0C4DG89|A0A0C4DG89_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=1,3,11,11,11,6,6,8,8,6,6,8,8,6,6,8,8,13.5,13.5,13.5,117.36,1031,1031;1032;471,0.0,16.224,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33025,0.88695,20.132,30,9,Leave out requantified,0.3351,0.37305,0.30185,0.32954,0.95009,0.91461,0.80619,0.73049,22.002,25.494,22.291,35.311,6,8,8,8,2,2,1,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,7.1,7.5,9.4,8.8,995450000,709050000,286400000,141210000,104620000,36590000,245400000,158780000,86623000,354870000,266470000,88395000,253970000,179180000,74791000,,,,157,831;5685;6118;8577;9199;11837;13529;14264;15951;18487;21231,True;True;True;True;True;True;True;True;True;True;True,870;6061;6548;9245;9911;12744;14530;15321;17078;19740;22692,2263;2264;15341;16563;16564;16565;16566;23762;23763;23764;23765;23766;23767;25473;32882;32883;32884;32885;37384;37385;37386;39393;39394;43756;43757;50654;50655;50656;58406;58407,4225;4226;4227;29150;31642;31643;31644;45304;45305;45306;45307;45308;45309;48493;62252;62253;62254;62255;62256;62257;70435;70436;70437;70438;70439;70440;74172;74173;82144;82145;95103;95104;95105;95106;95107;110636;110637,4227;29150;31644;45306;48493;62254;70435;74173;82144;95103;110637,,,,,-1;-1;-1,protein_158,quanti,quanti,quanti,quanti
PACSIN3,21.3553691524122,6.40353630138646e-08,Q9UKS6;A0A0C4DGG1;E9PIY1;E9PJ75;E9PNM9;E9PJ33,Q9UKS6;A0A0C4DGG1;E9PIY1;E9PJ75;E9PNM9,4;4;3;2;2;1,4;4;3;2;2;1,4;4;3;2;2;1,Protein kinase C and casein kinase substrate in neurons protein 3,sp|Q9UKS6|PACN3_HUMAN Protein kinase C and casein kinase substrate in neurons protein 3 OS=Homo sapiens OX=9606 GN=PACSIN3 PE=1 SV=2;tr|A0A0C4DGG1|A0A0C4DGG1_HUMAN Protein kinase C and casein kinase substrate in neurons protein 3 (Fragment) OS=Homo sapiens,6,4,4,4,0,0,3,3,0,0,3,3,0,0,3,3,12.0,12.0,12.0,48.486,424,424;405;320;142;148;69,0.0,5.5113,,,By MS/MS,By MS/MS,0.60438,1.5015,20.069,6,1,Leave out requantified,,,0.59574,0.74212,,,1.6388,1.7043,,,18.326,21.397,0,0,3,3,0,0,1,0,Median,Median,Plateau,Leave out requantified,0.0,0.0,8.3,9.2,321300000,198410000,122890000,0,0,0,0,0,0,162590000,102250000,60346000,158710000,96159000,62549000,,,,161,1620;1949;2556;5690,True;True;True;True,1731;2085;2735;6066,4656;5614;5615;7347;7348;15347,8891;10767;10768;14135;14136;14137;29156,8891;10767;14137;29156,,,,,-1;-1;-1;-1;-1;-1,protein_162,quanti,quanti,imputed MEC,imputed MEC
CHD4,2.0891789074175,0.00681214216630888,Q14839;A0A0C4DGG9;A0A2R8Y521;A0A2R8Y212;F5GWX5;A0A2R8YFD8;A0A2U3TZM0;A0A2R8YFK9;A0A2R8Y5J0;A0A2R8Y425;A0A2R8YD40;A0A2R8YDJ9;A0A2R8Y4X2;A0A2R8YDW2;A0A2R8YER1;A0A2R8Y8C1;A0A2R8Y445;A0A2R8Y5Z7;A0A2R8Y685;A0A2R8Y7I0;A0A2R8Y7M9;A0A2R8Y8B3;Q8TDI0;K7EMY3;A0A2R8Y5M9;A0A2R8YE38;F2Z2R5;F5H6N4,Q14839;A0A0C4DGG9;A0A2R8Y521;A0A2R8Y212;F5GWX5;A0A2R8YFD8;A0A2U3TZM0;A0A2R8YFK9;A0A2R8Y5J0;A0A2R8Y425;A0A2R8YD40;A0A2R8YDJ9;A0A2R8Y4X2;A0A2R8YDW2;A0A2R8YER1;A0A2R8Y8C1;A0A2R8Y445;A0A2R8Y5Z7;A0A2R8Y685,21;21;21;21;21;21;21;21;21;21;20;20;19;18;15;15;15;11;11;10;10;9;8;6;5;5;4;1,21;21;21;21;21;21;21;21;21;21;20;20;19;18;15;15;15;11;11;10;10;9;8;6;5;5;4;1,16;16;16;16;16;16;16;16;16;16;15;15;14;13;11;11;11;8;8;8;8;7;4;3;4;4;2;1,Chromodomain-helicase-DNA-binding protein 4,sp|Q14839|CHD4_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2;tr|A0A0C4DGG9|A0A0C4DGG9_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=1;tr|A0A2R8Y521|A0A2R8Y521_HUMAN C,28,21,21,16,5,6,19,17,5,6,19,17,4,5,14,13,15.4,15.4,11.7,218.0,1912,1912;1937;1920;1914;1905;1903;1902;1899;1892;1889;1484;1554;1262;1215;1645;1669;1671;1425;1377;605;560;1147;1954;1060;554;458;1225;354,0.0,41.089,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.99115,2.4957,17.6,47,5,Leave out requantified,0.94825,1.2441,0.894,1.0913,2.3873,2.7284,2.5312,2.5299,20.607,17.6,18.122,16.067,5,6,20,16,1,1,2,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,3.0,4.5,14.7,12.1,2764900000,1357100000,1407800000,87448000,43037000,44411000,196730000,78407000,118330000,1522300000,784620000,737700000,958440000,451070000,507360000,,,,163,308;652;681;1035;2614;4254;4619;5210;6063;6701;7855;8153;11485;11548;13805;15222;15936;19979;20482;21759;21955,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,323;681;711;1088;2794;4539;4930;5554;6490;7196;8463;8776;12369;12437;14829;16314;17062;21334;21897;23248;23449,818;819;820;1757;1758;1825;2866;2867;7492;7493;7494;7495;11608;12482;12483;14084;14085;16444;18327;18328;21645;22450;22451;22452;22453;31929;31930;31931;32115;32116;38104;38105;41922;43695;43696;43697;54831;54832;54833;56393;56394;59902;59903;60392;60393;60394;60395;60396,1550;1551;1552;1553;1554;3263;3264;3367;5344;5345;5346;14399;14400;14401;14402;14403;14404;14405;22087;23701;23702;23703;23704;23705;26695;26696;26697;26698;26699;26700;26701;26702;31404;31405;34941;41205;42715;42716;42717;42718;42719;42720;42721;42722;60411;60755;60756;71692;71693;71694;79017;79018;82042;82043;82044;103697;103698;103699;103700;103701;103702;103703;103704;103705;106748;106749;106750;106751;106752;113407;113408;113409;114243;114244;114245,1554;3263;3367;5344;14400;22087;23701;26697;31405;34941;41205;42718;60411;60755;71694;79017;82042;103702;106749;113407;114244,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_164,quanti,quanti,quanti,quanti
CD276,20.7113034957917,8.38307596990661e-08,Q5ZPR3;A0A0C4DGH0;H0YLT8;H0YN85;H0YK40;H0YK59;H0YL10,Q5ZPR3;A0A0C4DGH0,3;3;1;1;1;1;1,3;3;1;1;1;1;1,3;3;1;1;1;1;1,CD276 antigen,sp|Q5ZPR3|CD276_HUMAN CD276 antigen OS=Homo sapiens OX=9606 GN=CD276 PE=1 SV=1;tr|A0A0C4DGH0|A0A0C4DGH0_HUMAN CD276 antigen OS=Homo sapiens OX=9606 GN=CD276 PE=1 SV=1,7,3,3,3,0,0,2,2,0,0,2,2,0,0,2,2,10.5,10.5,10.5,57.235,534,534;388;132;136;156;165;199,0.0,3.2503,,,By MS/MS,By MS/MS,0.49738,1.37,82.883,4,3,Median,,,0.49738,0.9082,,,1.37,2.2428,,,29.26,131.62,0,0,2,2,0,0,1,2,Median,Median,Median,Median,0.0,0.0,8.6,5.2,225080000,127480000,97599000,0,0,0,0,0,0,113100000,69772000,43324000,111980000,57704000,54275000,,,,164,14688;15546;19436,True;True;True,15756;16649;20757,40539;40540;42704;53319,76431;76432;80392;100634;100635,76431;80392;100635,,,,,-1;-1;-1;-1;-1;-1;-1,protein_165,quanti,quanti,imputed MEC,imputed MEC
CAPNS1,-0.657242754803999,0.28329235024514,P04632;A0A0C4DGQ5;K7ELJ7;K7EIV0;A0A075B7C0;K7EM73;K7EKD8;U3KPR7;K7EMQ1;Q96L46;K7ES78,P04632;A0A0C4DGQ5;K7ELJ7;K7EIV0;A0A075B7C0;K7EM73;K7EKD8,11;11;10;9;9;8;6;4;2;1;1,11;11;10;9;9;8;6;4;2;1;1,3;3;3;1;1;2;2;0;2;0;1,Calpain small subunit 1,sp|P04632|CPNS1_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|A0A0C4DGQ5|A0A0C4DGQ5_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|K7ELJ7|K7ELJ7_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9,11,11,11,3,3,4,6,8,3,4,6,8,1,2,2,3,52.6,52.6,19.4,28.315,268,268;322;278;196;197;163;238;100;94;248;72,0.0,19.144,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38004,0.95467,13.182,28,9,Leave out requantified,0.30347,0.3689,0.38573,0.39676,0.8083,1.0428,0.78343,0.95467,23.038,15.058,22.298,13.361,5,5,7,11,2,1,2,4,Median,Leave out requantified,Leave out requantified,Leave out requantified,10.4,26.5,32.1,44.0,1098800000,770550000,328210000,156990000,118850000,38143000,239630000,172650000,66975000,203430000,141650000,61779000,498710000,337400000,161310000,,,,166,8468;10634;10864;13427;17308;18483;18484;18485;21392;22253;22398,True;True;True;True;True;True;True;True;True;True;True,9124;11457;11705;14423;14424;18511;19736;19737;19738;22870;23762;23924,23450;23451;23452;29539;29540;29541;30170;30171;37120;37121;37122;37123;37124;37125;37126;37127;47460;50640;50641;50642;50643;50644;50645;58918;61160;61161;61600;61601,44681;44682;44683;44684;44685;44686;44687;55932;57184;57185;69942;69943;69944;69945;69946;69947;69948;69949;69950;88883;95069;95070;95071;95072;95073;95074;95075;95076;95077;111650;115631;115632;115633;116481;116482;116483,44687;55932;57184;69945;88883;95072;95074;95076;111650;115632;116483,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_167,quanti,quanti,quanti,quanti
DDOST,1.52391781863773,0.00640388528087407,P39656;A0A0C4DGS1;U3KQ84,P39656;A0A0C4DGS1,14;14;6,14;14;6,14;14;6,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,sp|P39656|OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4;tr|A0A0C4DGS1|A0A0C4DGS1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=H,3,14,14,14,6,6,12,12,6,6,12,12,6,6,12,12,45.4,45.4,45.4,50.8,456,456;439;154,0.0,47.195,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37811,1.0634,14.783,43,8,Leave out requantified,0.3193,0.43503,0.3631,0.42985,1.0953,1.1359,1.0538,1.1329,10.793,26.492,15.024,15.892,6,7,15,15,2,2,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,12.5,20.6,35.3,42.5,5795200000,4053100000,1742000000,329810000,242510000,87299000,380470000,264460000,116000000,2882100000,2040500000,841570000,2202800000,1505700000,697170000,,,,167,4418;5920;7058;11043;12069;14852;17104;17650;18087;18808;19963;21707;21711;22435,True;True;True;True;True;True;True;True;True;True;True;True;True;True,4712;6323;7575;11889;12986;15928;18292;18868;19320;20083;20084;21315;23196;23200;23961,11981;15951;15952;15953;19240;19241;19242;30634;30635;30636;30637;33478;33479;33480;40978;40979;40980;40981;46883;46884;46885;48401;48402;48403;48404;49572;49573;51562;51563;51564;51565;54780;54781;59752;59753;59754;59755;59770;59771;59772;59773;61691;61692;61693,22768;30347;30348;30349;30350;30351;30352;30353;36547;58028;58029;58030;58031;63279;63280;63281;63282;63283;63284;63285;63286;63287;63288;63289;77268;77269;77270;77271;77272;77273;77274;77275;77276;77277;77278;77279;77280;87800;87801;87802;87803;90615;90616;90617;90618;90619;90620;90621;90622;92842;92843;92844;92845;97060;97061;97062;97063;97064;97065;97066;97067;97068;97069;97070;97071;97072;97073;97074;97075;97076;97077;97078;97079;103603;113127;113128;113129;113130;113131;113132;113133;113134;113135;113136;113137;113192;113193;113194;113195;113196;113197;116670;116671;116672;116673;116674;116675,22768;30349;36547;58028;63283;77272;87803;90618;92845;97068;103603;113127;113192;116670,,,,,-1;-1;-1,protein_168,quanti,quanti,quanti,quanti
SLC25A22;SLC25A18,20.2197521019271,1.66798555754802e-07,Q9H936;K4DIB3;E9PJH7;A0A0D9SFE1;A0A0D9SEI9;E9PS95;K4DIA8;K4DIB8;K4DIB6;E9PI74;A0A0D9SG84;K4DIA2;K4DIB0;A0A0D9SFA8;E9PQ36;Q9H1K4;E9PJY0;A0A0A6YYN8;K4DIB4,Q9H936;K4DIB3;E9PJH7;A0A0D9SFE1;A0A0D9SEI9;E9PS95;K4DIA8;K4DIB8;K4DIB6;E9PI74;A0A0D9SG84;K4DIA2;K4DIB0;A0A0D9SFA8;E9PQ36;Q9H1K4;E9PJY0;A0A0A6YYN8;K4DIB4,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,Mitochondrial glutamate carrier 1;Mitochondrial glutamate carrier 2,sp|Q9H936|GHC1_HUMAN Mitochondrial glutamate carrier 1 OS=Homo sapiens OX=9606 GN=SLC25A22 PE=1 SV=1;tr|K4DIB3|K4DIB3_HUMAN Mitochondrial glutamate carrier 1 (Fragment) OS=Homo sapiens OX=9606 GN=SLC25A22 PE=1 SV=5;tr|E9PJH7|E9PJH7_HUMAN Mitochondrial glut,19,2,2,2,0,1,1,1,0,1,1,1,0,1,1,1,5.6,5.6,5.6,34.47,323,323;161;313;247;197;196;190;177;156;127;117;114;103;97;134;315;72;78;65,0.0045267,1.2838,,By MS/MS,By MS/MS,By MS/MS,0.27348,0.71661,7.4165,2,0,Median,,,0.24406,0.30645,,,0.67999,0.75519,,,,,0,0,1,1,0,0,0,0,Median,Median,Median,Median,0.0,3.1,2.5,2.5,124350000,92075000,32279000,0,0,0,0,0,0,76216000,55130000,21086000,48138000,36945000,11193000,,,,170,395;10135,True;True,418;10924,1102;28082;28083,2134;53260;53261;53262;53263;53264,2134;53263,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_171,quanti,quanti,imputed MEC,imputed MEC
DNM1;DNM2,-0.890212606234922,0.31509085882023,Q05193;A0A1B0GUX5;A0A0D9SFB1;A0A0U1RQP1;A0A0D9SFE4;P50570;A0A1B0GU67;Q9UQ16;E5RHK8,Q05193;A0A1B0GUX5;A0A0D9SFB1;A0A0U1RQP1;A0A0D9SFE4;P50570;A0A1B0GU67,4;4;4;4;4;3;2;1;1,4;4;4;4;4;3;2;1;1,4;4;4;4;4;3;2;1;1,Dynamin-1;Dynamin-2,sp|Q05193|DYN1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=2;tr|A0A1B0GUX5|A0A1B0GUX5_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;tr|A0A0D9SFB1|A0A0D9SFB1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;tr|A0A0U1RQP1|A0A,9,4,4,4,1,2,1,3,1,2,1,3,1,2,1,3,5.1,5.1,5.1,97.407,864,864;320;835;856;864;870;356;869;639,0.0,4.3185,By MS/MS,By MS/MS,By matching,By MS/MS,0.49964,1.087,30.979,7,3,Median,0.40978,0.57726,0.3255,0.64031,1.087,1.3878,0.6638,1.4138,,6.3886,,32.186,1,2,1,3,0,1,0,2,Median,Median,Median,Plateau,1.7,2.7,1.7,4.2,169700000,108700000,61009000,19002000,12436000,6565900,54533000,33451000,21083000,20814000,14530000,6284200,75356000,48279000,27076000,,,,174,6282;6612;7201;17695,True;True;True;True,6735;7099;7734;18913,17092;18082;19657;48518;48519;48520;48521;48522,32632;34475;37296;90791;90792;90793;90794,32632;34475;37296;90793,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_175,quanti,quanti,quanti,quanti
DIAPH1,-21.1743291516163,8.2153022744716e-08,O60610;H9KV28;A0A2R8Y5N1;A0A140T8Z0;A0A0G2JH68,O60610;H9KV28;A0A2R8Y5N1;A0A140T8Z0;A0A0G2JH68,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,Protein diaphanous homolog 1,sp|O60610|DIAP1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2;tr|H9KV28|H9KV28_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2;tr|A0A2R8Y5N1|A0A2R8Y5N1_HUMAN Protein diaphanous homolog 1 OS=Ho,5,3,3,3,3,2,0,0,3,2,0,0,3,2,0,0,3.3,3.3,3.3,141.35,1272,1272;1228;1250;1263;1272,0.0,3.2912,By MS/MS,By MS/MS,,,0.41856,1.1509,36.178,5,2,Median,0.41461,0.58523,,,1.1509,1.4392,,,36.027,47.834,,,3,2,0,0,1,1,0,0,Median,Median,Median,Median,3.3,2.3,0.0,0.0,108230000,69329000,38900000,50472000,34850000,15622000,57756000,34478000,23278000,0,0,0,0,0,0,,,,178,1640;12783;18146,True;True;True,1753;13736;19384,4712;4713;35343;35344;49720,8995;8996;66535;66536;66537;66538;66539;66540;93105;93106,8996;66537;93105,,,,,-1;-1;-1;-1;-1,protein_179,imputed MEC,imputed MEC,quanti,quanti
HSPA1A;HSPA1B,-0.934127512780943,0.0357830383508776,P0DMV8;A0A0G2JIW1;P0DMV9;V9GZ37,P0DMV8;A0A0G2JIW1;P0DMV9;V9GZ37,31;31;31;18,29;29;29;18,19;19;19;12,Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B,sp|P0DMV8|HS71A_HUMAN Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1;tr|A0A0G2JIW1|A0A0G2JIW1_HUMAN Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1;sp|P0DMV9|HS71B_HUMAN Heat shock 70 kDa protein 1B OS=Hom,4,31,29,19,21,26,16,18,19,24,15,17,12,14,8,10,45.6,43.5,30.4,70.051,641,641;642;641;476,0.0,116.78,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2667,0.7932,26.248,90,20,Leave out requantified,0.23261,0.33975,0.24182,0.22631,0.84576,0.99646,0.72116,0.61451,20.364,19.078,41.209,28.09,22,29,18,21,3,5,6,6,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,31.2,38.2,30.0,29.3,11543000000,8962900000,2579700000,2187600000,1723700000,463930000,3118100000,2248700000,869460000,2760400000,2219000000,541390000,3476500000,2771600000,704930000,,,,180,704;1870;1957;2152;2153;2847;2855;4058;4753;4837;7629;8281;8282;10481;11165;11166;11747;11748;12919;12920;14012;14100;14732;14733;14817;15184;17766;19176;19177;20904;20997,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True,735;2004;2093;2299;2300;3045;3046;3054;4333;5074;5160;8223;8915;8916;11298;12020;12021;12653;12654;13881;13882;15057;15148;15800;15801;15892;16276;18987;20474;20475;20476;22351;22446,1882;1883;1884;1885;1886;1887;1888;5404;5405;5406;5407;5635;5636;5637;5638;5639;5640;5641;5642;6187;6188;6189;6190;6191;6192;6193;8103;8104;8105;8106;8118;11153;12841;12842;12843;12844;13070;13071;13072;13073;13074;21039;21040;22846;22847;22848;22849;22850;22851;22852;29198;29199;29200;29201;29202;29203;29204;30978;30979;30980;30981;32675;32676;32677;32678;32679;32680;32681;35700;35701;38733;38954;38955;38956;38957;40646;40647;40648;40649;40650;40651;40652;40653;40886;41826;41827;48709;52545;52546;52547;52548;52549;52550;52551;52552;52553;52554;57543;57544;57752;57753,3457;3458;3459;3460;3461;3462;3463;3464;3465;3466;3467;3468;3469;3470;3471;3472;3473;3474;3475;3476;3477;3478;10372;10373;10374;10375;10376;10377;10378;10379;10380;10381;10788;10789;10790;10791;10792;10793;10794;10795;10796;10797;11848;11849;11850;11851;11852;11853;11854;11855;15528;15529;15530;15531;15532;15533;15534;15535;15553;21284;24434;24435;24436;24437;24865;24866;24867;24868;24869;24870;24871;24872;40103;40104;40105;43536;43537;43538;43539;43540;43541;43542;43543;43544;43545;43546;43547;43548;43549;43550;43551;43552;43553;43554;43555;43556;43557;43558;55403;55404;55405;55406;55407;55408;55409;55410;55411;55412;55413;55414;55415;58720;58721;58722;58723;58724;58725;58726;58727;58728;58729;58730;58731;61895;61896;61897;61898;61899;61900;61901;61902;61903;61904;61905;61906;61907;61908;61909;61910;61911;61912;61913;67237;67238;67239;72869;72870;72871;73358;73359;73360;73361;73362;73363;73364;73365;73366;73367;73368;73369;76602;76603;76604;76605;76606;76607;76608;76609;76610;76611;76612;76613;76614;76615;76616;76617;76618;76619;76620;76621;76622;76623;76624;76625;76626;76627;76628;76629;76630;77067;78843;78844;78845;78846;78847;91165;98960;98961;98962;98963;98964;98965;98966;98967;98968;98969;98970;98971;98972;98973;98974;98975;98976;98977;98978;98979;98980;98981;98982;98983;98984;98985;98986;109102;109431;109432;109433;109434;109435;109436,3474;10381;10795;11849;11852;15530;15553;21284;24434;24872;40104;43538;43554;55413;58723;58730;61901;61911;67237;67239;72870;73363;76605;76628;77067;78846;91165;98972;98985;109102;109436,,,,,-1;-1;-1;-1,protein_181,quanti,quanti,quanti,quanti
