Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SNRNP40_N1,Intensity SNRNP40_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2.0,2.0,0.7,4.3500727725963,4.5358450090929,24.1592326418786,23.8440354221938
P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,12;12,12;12,12;12,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,12.0,12.0,22.2,23.4580130339143,23.7349675074827,27.9059831591297,27.8053817676833
Q8NE71;H0YGW7;A0A0G2JIC2;Q5STZ8,Q8NE71;H0YGW7,14;12;4;3,14;12;4;3,14;12;4;3,ATP-binding cassette sub-family F member 1,ABCF1,sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;tr|H0YGW7|H0YGW7_HUMAN ATP-binding cassette sub-family F member 1 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=1,14.0,14.0,20.6,4.3500727725963,4.5358450090929,27.9774920089267,27.777936515309
Q9UG63;C9JHK9;C9JZV3,Q9UG63;C9JHK9;C9JZV3,11;6;6,11;6;6,11;6;6,ATP-binding cassette sub-family F member 2,ABCF2,sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2;tr|C9JHK9|C9JHK9_HUMAN ATP-binding cassette sub-family F member 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=1;tr|C9JZV3|C9JZV3_HUMAN ATP-b,11.0,11.0,20.2,23.5849725903347,23.8855000129399,27.0952685564084,26.5749341593783
Q9NUQ8,Q9NUQ8,9,9,9,ATP-binding cassette sub-family F member 3,ABCF3,sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2,9.0,9.0,17.8,4.3500727725963,4.5358450090929,26.4675281888522,26.3658465047751
Q96IU4;B4DQI4;F8W9U3,Q96IU4;B4DQI4;F8W9U3,3;2;2,3;2;2,3;2;2,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,3.0,3.0,23.3,4.3500727725963,4.5358450090929,25.9899067138378,25.4482141271051
Q8IZP0;B6VEX4;A0A0A0MRT6;B7Z836;H0Y6B5,Q8IZP0;B6VEX4;A0A0A0MRT6,6;6;6;2;1,6;6;6;2;1,4;4;4;0;0,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,6.0,4.0,14.4,4.3500727725963,4.5358450090929,26.247750523388,26.039005367772
Q13085;Q59FY4;A0A0C4DGT1;A0A087WWN5;A0A087X2F8;A0A087X126;S4R3S7;A0A087WYS8,Q13085,166;80;8;6;4;4;4;1,166;80;8;6;4;4;4;1,143;73;2;6;1;1;0;1,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,166.0,143.0,71.5,36.1368081805909,36.176173973197,33.2499701529448,33.0797591263367
O00763;F8W8T8;H0YGH5;A0A087WUA1,O00763,40;15;14;1,24;11;10;1,24;11;10;1,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,sp|O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3,40.0,24.0,22.0,28.9556832049251,28.8238988744715,24.5036093439039,24.7960023656898
P11310;Q5T4U5;E9PQA8;E9PLN7;E9PRX4;E9PJM9;B7Z9I1,P11310;Q5T4U5;E9PQA8;E9PLN7;E9PRX4;E9PJM9;B7Z9I1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,"sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|Q5T4U5|Q5T4U5_HUMAN Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain, isoform CRA_a OS=Homo sapiens OX=9606 GN=ACADM PE",2.0,2.0,9.0,4.3500727725963,4.5358450090929,25.0241143108677,24.1330456072923
Q9H3P7,Q9H3P7,9,9,9,Golgi resident protein GCP60,ACBD3,sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,9.0,9.0,20.5,4.3500727725963,4.5358450090929,26.6438892100658,26.9017319939852
S4R3H4;Q9UKV3;E7EQT4;G3V3B0;A0A087WYN3,S4R3H4;Q9UKV3;E7EQT4;G3V3B0,38;37;37;19;1,38;37;37;19;1,35;34;34;16;1,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,tr|S4R3H4|S4R3H4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=1;sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2;tr|E7EQT4|E7E,38.0,35.0,42.5,32.6626754237122,32.6283188058463,27.9314558543711,27.9127933310354
P53396,P53396,5,5,5,ATP-citrate synthase,ACLY,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,5.0,5.0,5.5,4.3500727725963,4.5358450090929,25.354743320895,24.9626108126827
P21399,P21399,5,5,5,Cytoplasmic aconitate hydratase,ACO1,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,5.0,5.0,7.5,4.3500727725963,4.5358450090929,25.2578901873642,24.5850299163451
Q86TX2;G3V4F2,Q86TX2;G3V4F2,21;18,21;18,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,21.0,2.0,67.7,30.7799567788843,30.7730542939293,30.652154860577,30.4397594998813
P68133;P68032;P62736;P63267;A6NL76;F8WB63;B8ZZJ2;C9JFL5;F6UVQ4;F6QUT6,P68133;P68032;P62736;P63267;A6NL76,13;13;11;11;10;5;5;5;5;5,2;2;1;1;2;1;1;1;1;1,2;2;1;1;2;1;1;1;1;1,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",ACTA1;ACTC1;ACTA2;ACTG2,"sp|P68133|ACTS_HUMAN Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1;sp|P68032|ACTC_HUMAN Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1;sp|P62736|ACTA_HUMAN Actin, aortic smooth muscle OS=Homo sapiens OX=9",13.0,2.0,29.2,26.6162470692062,26.8276469248305,28.917353594158,28.4595146682324
P12814;H9KV75;H7C5W8;G3V2W4;G3V2N5;H0YJ11;H0YJW3;P35609;A0A494C1A0;G3V2X9;G3V5M4;F6THM6;A0A087WSZ2;G3V2E8;A0A494C033;A0A494C166;A0A494C060;Q08043;G3V380;A0A494C031,P12814;H9KV75,30;28;11;11;10;8;8;7;7;5;4;4;3;3;3;3;3;3;1;1,30;28;11;11;10;8;8;7;7;5;4;4;3;3;3;3;3;3;1;1,18;16;7;5;5;5;5;1;1;1;1;1;0;0;0;0;0;0;1;0,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,30.0,18.0,44.2,28.2892085404702,24.2221404201763,29.3454926223626,29.1412412469208
O43707;H7C144;F5GXS2;K7EJH8,O43707,21;9;9;3,10;6;6;2,9;6;6;2,Alpha-actinin-4,ACTN4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,21.0,9.0,30.4,24.6720104736614,24.7187920536073,26.8217720359998,27.0229510602678
P55265,P55265,37,37,4,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,37.0,4.0,37.2,31.0828388581143,31.0146489396435,30.2859281605847,29.9137065375641
Q9BUB4;H3BP27,Q9BUB4;H3BP27,2;1,2;1,2;1,tRNA-specific adenosine deaminase 1,ADAT1,sp|Q9BUB4|ADAT1_HUMAN tRNA-specific adenosine deaminase 1 OS=Homo sapiens OX=9606 GN=ADAT1 PE=1 SV=1;tr|H3BP27|H3BP27_HUMAN tRNA-specific adenosine deaminase 1 (Fragment) OS=Homo sapiens OX=9606 GN=ADAT1 PE=1 SV=1,2.0,2.0,6.6,24.7271796876541,25.7144226652994,4.38176407895191,4.39969772430431
P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2;D6RAH3;D6RF25;P35612;D6RJE2;H0YFD8,P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,Alpha-adducin,ADD1,sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2;tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|E7ENY0|E7ENY0_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|A0A0A0MSR2|A0A0A0M,10.0,10.0,19.7,4.3500727725963,4.5358450090929,28.269458025184,27.2819774132684
Q9UEY8,Q9UEY8,17,17,17,Gamma-adducin,ADD3,sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,17.0,17.0,28.3,4.3500727725963,4.5358450090929,28.8468803167183,28.6387551199059
Q9H2P0;A0A669KBJ7;A0A2R8Y6X0;A0A2R8YCL6,Q9H2P0;A0A669KBJ7;A0A2R8Y6X0,55;53;38;8,55;53;38;8,55;53;38;8,Activity-dependent neuroprotector homeobox protein,ADNP,sp|Q9H2P0|ADNP_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1;tr|A0A669KBJ7|A0A669KBJ7_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=4 SV=1;tr|A0A2R8Y6X0|A0A2,55.0,55.0,62.9,32.1921353226843,32.3254684387876,29.7188345051673,29.3863202409199
Q6IQ32;H0YLN6;H0YM09,Q6IQ32,5;1;1,5;1;1,5;1;1,ADNP homeobox protein 2,ADNP2,sp|Q6IQ32|ADNP2_HUMAN Activity-dependent neuroprotector homeobox protein 2 OS=Homo sapiens OX=9606 GN=ADNP2 PE=1 SV=1,5.0,5.0,6.5,25.186351553128,26.3666303742423,4.38176407895191,4.39969772430431
Q8N556,Q8N556,2,2,2,Actin filament-associated protein 1,AFAP1,sp|Q8N556|AFAP1_HUMAN Actin filament-associated protein 1 OS=Homo sapiens OX=9606 GN=AFAP1 PE=1 SV=2,2.0,2.0,3.4,24.2195579197331,24.6000514547947,22.2291121776993,22.0951961079141
Q9UHB7;C9JCE0;H7C319,Q9UHB7,21;3;1,21;3;1,21;3;1,AF4/FMR2 family member 4,AFF4,sp|Q9UHB7|AFF4_HUMAN AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1,21.0,21.0,25.3,28.4505757171576,28.3947250697663,27.17216911928,26.5714808157017
Q9Y4W6;K7EP56,Q9Y4W6,3;1,2;1,2;1,AFG3-like protein 2,AFG3L2,sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,3.0,2.0,4.9,4.3500727725963,4.5358450090929,23.8906895511704,23.405744994969
Q6ULP2;B8ZZI9;A0A0A0MSN6;A0A0U1RR74,Q6ULP2;B8ZZI9,11;7;2;1,11;7;2;1,11;7;2;1,Aftiphilin,AFTPH,sp|Q6ULP2|AFTIN_HUMAN Aftiphilin OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=3;tr|B8ZZI9|B8ZZI9_HUMAN Aftiphilin (Fragment) OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=2,11.0,11.0,16.9,4.3500727725963,4.5358450090929,27.854301619201,26.9219562211269
P52594;C9J2I0;B8ZZY2,P52594;C9J2I0;B8ZZY2,6;5;5,6;5;5,6;5;5,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,sp|P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2;tr|C9J2I0|C9J2I0_HUMAN Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=8;tr|B8ZZY2|B8ZZ,6.0,6.0,17.4,25.9444096574364,25.5543525354803,27.4186046493561,27.0851712654646
Q8N302;A0A2R8YFF1,Q8N302;A0A2R8YFF1,7;6,7;6,7;6,Angiogenic factor with G patch and FHA domains 1,AGGF1,sp|Q8N302|AGGF1_HUMAN Angiogenic factor with G patch and FHA domains 1 OS=Homo sapiens OX=9606 GN=AGGF1 PE=1 SV=2;tr|A0A2R8YFF1|A0A2R8YFF1_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1,7.0,7.0,18.5,26.190596191777,26.8832029861571,4.38176407895191,4.39969772430431
Q9UPW5;J3KNS1,Q9UPW5;J3KNS1,2;2,2;2,2;2,Cytosolic carboxypeptidase 1,AGTPBP1,sp|Q9UPW5|CBPC1_HUMAN Cytosolic carboxypeptidase 1 OS=Homo sapiens OX=9606 GN=AGTPBP1 PE=1 SV=3;tr|J3KNS1|J3KNS1_HUMAN Cytosolic carboxypeptidase 1 OS=Homo sapiens OX=9606 GN=AGTPBP1 PE=1 SV=1,2.0,2.0,2.0,24.6023522656266,25.7448785802972,22.0499282952772,23.7616210255957
Q8WYP5;H7C4S1,Q8WYP5,91;5,91;5,91;5,Protein ELYS,AHCTF1,sp|Q8WYP5|ELYS_HUMAN Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,91.0,91.0,52.8,32.8959816422687,32.9066283555611,28.7441630566847,28.4915956344387
O43865,O43865,6,6,2,Putative adenosylhomocysteinase 2,AHCYL1,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,6.0,2.0,12.1,4.3500727725963,4.5358450090929,26.6035695268123,26.3900490072837
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6.0,2.0,11.1,4.3500727725963,4.5358450090929,22.9306485579508,23.4636361216132
Q5TGY3,Q5TGY3,18,18,18,AT-hook DNA-binding motif-containing protein 1,AHDC1,sp|Q5TGY3|AHDC1_HUMAN AT-hook DNA-binding motif-containing protein 1 OS=Homo sapiens OX=9606 GN=AHDC1 PE=1 SV=1,18.0,18.0,20.8,28.6203433994742,29.0888144366957,4.38176407895191,4.39969772430431
Q09666;E9PKR9;E9PLK4;E9PJZ0;E9PJC6;E9PQE3;P48552,Q09666,442;5;5;4;4;3;1,442;5;5;4;4;3;1,441;5;5;4;4;3;1,Neuroblast differentiation-associated protein AHNAK,AHNAK,sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,442.0,441.0,82.7,35.2853012328481,35.3207965643649,38.5157383562449,38.3967602864542
Q8IVF2,Q8IVF2,195,194,194,Protein AHNAK2,AHNAK2,sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,195.0,194.0,63.4,29.1365797906961,29.3596146232826,34.8642908332647,34.6501014453934
O95433;G3V438;H0YJG7;H0YJ63;H0YJU2;G3V3W9,O95433;G3V438;H0YJG7,16;12;8;6;5;3,16;12;8;6;5;3,16;12;8;6;5;3,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr|G3V438|G3V438_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr,16.0,16.0,58.0,29.2908569205322,28.7401466872326,29.3292004234309,29.3382200288084
O00170;E9PMH2;V9GYQ3,O00170;E9PMH2,7;5;3,7;5;3,7;5;3,AH receptor-interacting protein,AIP,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2;tr|E9PMH2|E9PMH2_HUMAN Peptidylprolyl isomerase (Fragment) OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2,7.0,7.0,33.6,26.689658503526,26.5778752583337,4.38176407895191,4.39969772430431
Q92667;I3L0W0;I3L2A2;I3L2N7;I3L0K6;I3L364;I3L3K1;I3NI36,Q92667,21;9;8;8;5;3;2;1,21;9;8;8;5;3;2;1,21;9;8;8;5;3;2;1,"A-kinase anchor protein 1, mitochondrial",AKAP1,"sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",21.0,21.0,32.3,4.3500727725963,4.5358450090929,28.8692660583656,28.4953368477762
Q02952,Q02952,20,20,20,A-kinase anchor protein 12,AKAP12,sp|Q02952|AKA12_HUMAN A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,20.0,20.0,18.5,4.3500727725963,4.5358450090929,28.6428569685844,28.2236600888725
Q02040;X6RAJ1,Q02040;X6RAJ1,4;3,4;3,4;3,A-kinase anchor protein 17A,AKAP17A,sp|Q02040|AK17A_HUMAN A-kinase anchor protein 17A OS=Homo sapiens OX=9606 GN=AKAP17A PE=1 SV=2;tr|X6RAJ1|X6RAJ1_HUMAN A-kinase anchor protein 17A OS=Homo sapiens OX=9606 GN=AKAP17A PE=1 SV=1,4.0,4.0,7.5,25.1333984355265,24.5988930396028,23.2019480018814,23.1668485125616
Q9Y2D5,Q9Y2D5,32,32,6,A-kinase anchor protein 2,AKAP2,sp|Q9Y2D5|AKAP2_HUMAN A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,32.0,6.0,50.1,25.3148720651461,23.628786372747,32.1911647318126,31.9472623764293
