WDR82_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
TPM3,0.0295930383,0.759063103209954,0,A0A087WWU8;D6R904;A0A494C0G0;Q5VU61,A0A087WWU8;D6R904,30;18;10;8,30;18;10;8,12;12;4;8,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,30,12,75.8,227
RPL17;RPL17-C18orf32,0.3581132822,0.0629297333698407,0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81;J3KSJ0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81,15;15;15;15;15;12;12;12;12;12;8;4,15;15;15;15;15;12;12;12;12;12;8;4,15;15;15;15;15;12;12;12;12;12;8;4,60S ribosomal protein L17,RPL17;RPL17-C18orf32,sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=1;tr|J3QQT2|J3QQT2_HUMAN 60S ribosomal protein L17 (Fragm,15,15,57.6,184
ITGB6,0.1483125277,0.47512485882497,0,P18564;A0A087WXP3;E9PEE8,P18564;A0A087WXP3;E9PEE8,2;2;2,2;2;2,2;2;2,Integrin beta-6;Integrin beta,ITGB6,sp|P18564|ITB6_HUMAN Integrin beta-6 OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=2;tr|A0A087WXP3|A0A087WXP3_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1;tr|E9PEE8|E9PEE8_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1,2,2,4.2,788
VTA1,0.0733268365,0.514853746749229,0,Q9NP79;A0A087WY55;Q5TGM0,Q9NP79;A0A087WY55;Q5TGM0,5;5;3,5;5;3,5;5;3,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,"sp|Q9NP79|VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|A0A087WY55|A0A087WY55_HUMAN Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|Q5TGM0|Q5T",5,5,20.5,307
AP2M1,-0.6583607371,0.0778422017143606,0,Q96CW1;A0A087WY71;E9PFW3,Q96CW1;A0A087WY71;E9PFW3,2;2;2,2;2;2,2;2;2,AP-2 complex subunit mu,AP2M1,sp|Q96CW1|AP2M1_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2;tr|A0A087WY71|A0A087WY71_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=1;tr|E9PFW3|E9PFW3_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=960,2,2,7.6,435
SRP19,0.8683107983,0.444904569467462,0,P09132;A0A087WYR0;A0A087WWU9;D6RBG4;A0A2R8Y4M3;A0A2U3TZN1,P09132;A0A087WYR0;A0A087WWU9,3;3;2;1;1;1,3;3;2;1;1;1,3;3;2;1;1;1,Signal recognition particle 19 kDa protein,SRP19,sp|P09132|SRP19_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=3;tr|A0A087WYR0|A0A087WYR0_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=1;tr|A0A087WWU9|A0A087WWU9_HUMAN ,3,3,35.4,144
UGP2,-0.2031265185,0.0885188223361768,0,Q16851;A0A087WYS1;E7EUC7;C9JNZ1;C9JVG3;C9JQU9;C9JWG0;C9JUW1;C9JTZ5;F2Z3H1,Q16851;A0A087WYS1;E7EUC7;C9JNZ1;C9JVG3;C9JQU9,18;18;18;12;9;9;8;7;5;2,18;18;18;12;9;9;8;7;5;2,18;18;18;12;9;9;8;7;5;2,UTP--glucose-1-phosphate uridylyltransferase,UGP2,sp|Q16851|UGPA_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5;tr|A0A087WYS1|A0A087WYS1_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=1;tr|E7EUC7|E7EUC7_HUMAN UTP--gl,18,18,41.9,508
PTGES3,-0.0111803905,0.913263762519982,0,Q15185;A0A087WYT3;B4DDC6,Q15185;A0A087WYT3,6;6;1,6;6;1,6;6;1,Prostaglandin E synthase 3,PTGES3,sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1;tr|A0A087WYT3|A0A087WYT3_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,6,6,33.8,160
EIF3H,0.1078009006,0.459481076042824,0,O15372;A0A087WZK9;B3KS98;E5RJT0;E5RGU4,O15372;A0A087WZK9;B3KS98,8;8;8;3;2,8;8;8;3;2,7;7;7;2;1,Eukaryotic translation initiation factor 3 subunit H,EIF3H,sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|A0A087WZK9|A0A087WZK9_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|B3KS98|B,8,7,31,352
SBDS,0.1016736175,0.322015556529651,0,Q9Y3A5;A0A087X020;F8WE72,Q9Y3A5;A0A087X020,6;6;2,6;6;2,6;6;2,Ribosome maturation protein SBDS,SBDS,sp|Q9Y3A5|SBDS_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=4;tr|A0A087X020|A0A087X020_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=1,6,6,26,250
OGFR,-0.3372457494,0.0400289522196921,0,Q9NZT2;A0A087X028;A0A0A0MRN5,Q9NZT2;A0A087X028;A0A0A0MRN5,4;4;4,4;4;4,4;4;4,Opioid growth factor receptor,OGFR,sp|Q9NZT2|OGFR_HUMAN Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=3;tr|A0A087X028|A0A087X028_HUMAN Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=1;tr|A0A0A0MRN5|A0A0A0MRN5_HUMAN Opioid growth factor receptor,4,4,6.6,677
HYOU1,-0.1724549021,0.270365347014323,0,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2;J3KTF1;A0A087WW13;Q9BST8;J3QQH7;J3QLE9;J3QL06;A0A087X214,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2,15;15;15;11;11;11;3;2;2;2;2;2;1,15;15;15;11;11;11;3;2;2;2;2;2;1,15;15;15;11;11;11;3;2;2;2;2;2;1,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087X054|A0A087X054_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A494C039|A0A494C039_HUMAN Hypoxia up-regulated pro,15,15,22.7,999
RYR3,-2.5371214578,0.0360956022419409,1,Q15413;A0A087X080;A0A0U1RRH1;A0A0X1KG73;A0A1B0GTF2,Q15413;A0A087X080;A0A0U1RRH1;A0A0X1KG73;A0A1B0GTF2,6;6;5;5;3,6;6;5;5;3,6;6;5;5;3,Ryanodine receptor 3,RYR3,sp|Q15413|RYR3_HUMAN Ryanodine receptor 3 OS=Homo sapiens OX=9606 GN=RYR3 PE=1 SV=3;tr|A0A087X080|A0A087X080_HUMAN Ryanodine receptor 3 OS=Homo sapiens OX=9606 GN=RYR3 PE=1 SV=1;tr|A0A0U1RRH1|A0A0U1RRH1_HUMAN Ryanodine receptor 3 OS=Homo sapiens OX=9606 GN,6,6,2.9,4870
SNX12,-0.6524800757,0.0205649338328055,0,Q9UMY4;A0A087X0R6,Q9UMY4;A0A087X0R6,8;8,8;8,7;7,Sorting nexin-12,SNX12,sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=4;tr|A0A087X0R6|A0A087X0R6_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=1,8,7,62.3,162
ACOT1;ACOT2,-1.1680031617,0.00108229237759041,1,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95;A0A2R8Y7H3,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95,10;10;9;9;9;2,10;10;9;9;9;2,10;10;9;9;9;2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT1;ACOT2,"sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=1;sp|P49753|ACOT2_HUMAN Acyl-coenzyme A th",10,10,35.6,421
NOMO2;NOMO1;NOMO3,-0.7713664389,0.0613951223867458,0,Q5JPE7;Q15155;P69849;J3KN36;A0A0G2JN29;A0A087X117;A0A0G2JP90;A0A087WW46,Q5JPE7;Q15155;P69849;J3KN36;A0A0G2JN29;A0A087X117;A0A0G2JP90;A0A087WW46,4;4;4;4;4;4;3;3,4;4;4;4;4;4;3;3,4;4;4;4;4;4;3;3,Nodal modulator 2;Nodal modulator 1;Nodal modulator 3,NOMO2;NOMO1;NOMO3,sp|Q5JPE7|NOMO2_HUMAN Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1;sp|Q15155|NOMO1_HUMAN Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5;sp|P69849|NOMO3_HUMAN Nodal modulator 3 OS=Homo sapiens OX=9606 GN=NOMO3 PE=1 SV=2;tr|J3KN,4,4,4.8,1267
