Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF12_N1,Intensity DCAF12_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.25377280271413,4.41538556284283,23.3003369184145,21.8010452032896
Q68EM7;I3L4P6;C9IZD3,Q68EM7;I3L4P6;C9IZD3,2;1;1,2;1;1,2;1;1,Rho GTPase-activating protein 17,ARHGAP17,sp|Q68EM7|RHG17_HUMAN Rho GTPase-activating protein 17 OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|I3L4P6|I3L4P6_HUMAN Rho GTPase-activating protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|C9IZD3|C9IZD3_HUMAN Rho GTPase-activati,2,2,2.6,4.25377280271413,4.41538556284283,24.4218819696263,24.2214767900315
Q8IVW6;Q99856;H3BQ92;K7EJ04,Q8IVW6;Q99856;H3BQ92;K7EJ04,2;1;1;1,2;1;1;1,2;1;1;1,AT-rich interactive domain-containing protein 3B;AT-rich interactive domain-containing protein 3A,ARID3B;ARID3A,sp|Q8IVW6|ARI3B_HUMAN AT-rich interactive domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ARID3B PE=1 SV=2;sp|Q99856|ARI3A_HUMAN AT-rich interactive domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ARID3A PE=1 SV=2;tr|H3BQ92|H3BQ92_HUMAN AT-,2,2,5.0,4.25377280271413,4.41538556284283,24.7837172630966,24.0662320986676
P29374;C9J1W3;H7C485,P29374;C9J1W3;H7C485,2;1;1,2;1;1,2;1;1,AT-rich interactive domain-containing protein 4A,ARID4A,sp|P29374|ARI4A_HUMAN AT-rich interactive domain-containing protein 4A OS=Homo sapiens OX=9606 GN=ARID4A PE=1 SV=3;tr|C9J1W3|C9J1W3_HUMAN AT-rich interactive domain-containing protein 4A (Fragment) OS=Homo sapiens OX=9606 GN=ARID4A PE=1 SV=1;tr|H7C485|H7C4,2,2,3.3,23.628786372747,25.2581059174641,23.7975863307603,24.099030740251
Q76L83;A0A5F9ZHN2;E7EWD6,Q76L83;A0A5F9ZHN2;E7EWD6,2;2;2,2;2;2,2;2;2,Putative Polycomb group protein ASXL2,ASXL2,sp|Q76L83|ASXL2_HUMAN Putative Polycomb group protein ASXL2 OS=Homo sapiens OX=9606 GN=ASXL2 PE=1 SV=1;tr|A0A5F9ZHN2|A0A5F9ZHN2_HUMAN Putative Polycomb group protein ASXL2 (Fragment) OS=Homo sapiens OX=9606 GN=ASXL2 PE=1 SV=1;tr|E7EWD6|E7EWD6_HUMAN Putativ,2,2,2.1,22.9967789554969,23.948599649852,4.42724936884613,4.39090484493968
Q6VMQ6;F5GYR7;F5H592,Q6VMQ6;F5GYR7;F5H592,2;1;1,2;1;1,2;1;1,Activating transcription factor 7-interacting protein 1,ATF7IP,sp|Q6VMQ6|MCAF1_HUMAN Activating transcription factor 7-interacting protein 1 OS=Homo sapiens OX=9606 GN=ATF7IP PE=1 SV=3;tr|F5GYR7|F5GYR7_HUMAN Activating transcription factor 7-interacting protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=ATF7IP PE=1 SV=1;,2,2,1.6,23.4238815215064,22.5311482145952,23.0380341491043,22.7456464451613
H7C5W9;P16615,H7C5W9;P16615,2;1,2;1,2;1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,tr|H7C5W9|H7C5W9_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1;sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,2,2,3.3,4.25377280271413,4.41538556284283,24.0383356317693,21.1735307515394
Q13535;A0A590UJ01,Q13535;A0A590UJ01,2;1,2;1,2;1,Serine/threonine-protein kinase ATR,ATR,sp|Q13535|ATR_HUMAN Serine/threonine-protein kinase ATR OS=Homo sapiens OX=9606 GN=ATR PE=1 SV=3;tr|A0A590UJ01|A0A590UJ01_HUMAN Serine/threonine-protein kinase ATR (Fragment) OS=Homo sapiens OX=9606 GN=ATR PE=1 SV=1,2,2,1.8,23.6216503753077,24.9361674167541,24.7802611815343,24.4122860785656
Q96GD4;J3KT86;J3QLN8,Q96GD4;J3KT86;J3QLN8,2;2;1,2;2;1,2;2;1,Aurora kinase B,AURKB,sp|Q96GD4|AURKB_HUMAN Aurora kinase B OS=Homo sapiens OX=9606 GN=AURKB PE=1 SV=3;tr|J3KT86|J3KT86_HUMAN Aurora kinase B (Fragment) OS=Homo sapiens OX=9606 GN=AURKB PE=1 SV=1;tr|J3QLN8|J3QLN8_HUMAN Aurora kinase B (Fragment) OS=Homo sapiens OX=9606 GN=AURKB,2,2,9.9,23.9354406115173,24.9292222830084,24.4735789248608,25.3019421231342
Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,BRISC and BRCA1-A complex member 1,BABAM1,sp|Q9NWV8|BABA1_HUMAN BRISC and BRCA1-A complex member 1 OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0QYV1|M0QYV1_HUMAN BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R3F4|M0R3F4_HUMAN BRISC and BRCA1-A c,2,2,5.8,4.25377280271413,4.41538556284283,23.1558249845697,24.2188931003175
Q9NYF8;H0YF14,Q9NYF8,27;6,27;6,2;2,Bcl-2-associated transcription factor 1,BCLAF1,sp|Q9NYF8|BCLF1_HUMAN Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2,27,2,37.1,27.9966884599532,28.6987267598526,29.0476005627713,28.6369936083669
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,4.25377280271413,4.41538556284283,23.3280021005752,23.0454023982834
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ELS0|K7ELS0_HUMAN Telomerase RNA component-interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ERU7|K7ERU7_HUMAN Telomerase RNA comp,2,2,21.6,4.25377280271413,4.41538556284283,24.7162819267612,24.0197949881964
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,4.25377280271413,4.41538556284283,24.3603435615534,24.3178966976681
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.25377280271413,4.41538556284283,23.7611137310158,24.0363245562864
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.25377280271413,4.41538556284283,25.0788345594308,24.3987828270151
Q8IWP9;B4DUJ5,Q8IWP9;B4DUJ5,2;2,2;2,2;2,Coiled-coil domain-containing protein 28A,CCDC28A,sp|Q8IWP9|CC28A_HUMAN Coiled-coil domain-containing protein 28A OS=Homo sapiens OX=9606 GN=CCDC28A PE=1 SV=1;tr|B4DUJ5|B4DUJ5_HUMAN Coiled-coil domain-containing protein 28A OS=Homo sapiens OX=9606 GN=CCDC28A PE=1 SV=1,2,2,14.2,24.443889791389,24.2218455111317,23.425728133037,23.3246334401943
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.25377280271413,4.41538556284283,24.3118131598024,24.3126442452505
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2,2,15.0,4.25377280271413,4.41538556284283,24.5936031234191,24.6954581299705
Q86VB7;F5GZZ9;C9JHR8,Q86VB7;F5GZZ9;C9JHR8,2;2;2,2;2;2,2;2;2,Scavenger receptor cysteine-rich type 1 protein M130;Soluble CD163,CD163,sp|Q86VB7|C163A_HUMAN Scavenger receptor cysteine-rich type 1 protein M130 OS=Homo sapiens OX=9606 GN=CD163 PE=1 SV=2;tr|F5GZZ9|F5GZZ9_HUMAN Scavenger receptor cysteine-rich type 1 protein M130 OS=Homo sapiens OX=9606 GN=CD163 PE=1 SV=1;tr|C9JHR8|C9JHR8_HU,2,2,2.6,22.8825967823719,24.7063433378319,26.0826663937553,25.9055012242358
P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,20.5,21.9059934862134,21.4669745992022,23.7613166702539,24.1335944139335
Q96FF9;B5MBX0,Q96FF9;B5MBX0,2;2,2;2,2;2,Sororin,CDCA5,sp|Q96FF9|CDCA5_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1;tr|B5MBX0|B5MBX0_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1,2,2,15.1,4.25377280271413,4.41538556284283,23.9078405442646,21.9781993172643
P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;K7ELV5,P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;K7ELV5,4;4;3;3;2,2;2;1;1;0,2;2;1;1;0,Cyclin-dependent kinase 1,CDK1;CDC2;CDK3,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|E5RIU6|E5RIU6_HUMAN Cyclin-depend",4,2,17.5,4.25377280271413,4.41538556284283,21.9130924698339,23.099071016264
Q07002;A0A0A0MSJ6;D6RA44;D6R9B0,Q07002;A0A0A0MSJ6;D6RA44,4;3;2;1,3;3;2;1,2;2;1;1,Cyclin-dependent kinase 18,CDK18,sp|Q07002|CDK18_HUMAN Cyclin-dependent kinase 18 OS=Homo sapiens OX=9606 GN=CDK18 PE=1 SV=4;tr|A0A0A0MSJ6|A0A0A0MSJ6_HUMAN Cyclin-dependent kinase 18 (Fragment) OS=Homo sapiens OX=9606 GN=CDK18 PE=1 SV=6;tr|D6RA44|D6RA44_HUMAN Cyclin-dependent kinase 18 (F,4,2,13.7,26.4631059884419,24.7776606629985,20.6819178099083,21.9897896896864
Q8IVW4;E7ET86;E5RGK4;B4DX41,Q8IVW4;E7ET86;E5RGK4;B4DX41,2;2;1;1,2;2;1;1,2;2;1;1,Cyclin-dependent kinase-like 3,CDKL3,sp|Q8IVW4|CDKL3_HUMAN Cyclin-dependent kinase-like 3 OS=Homo sapiens OX=9606 GN=CDKL3 PE=1 SV=1;tr|E7ET86|E7ET86_HUMAN Cyclin-dependent kinase-like 3 OS=Homo sapiens OX=9606 GN=CDKL3 PE=1 SV=1;tr|E5RGK4|E5RGK4_HUMAN Cyclin-dependent kinase-like 3 OS=Homo s,2,2,6.8,24.7197844402213,25.720854719639,24.0280028969852,24.1251826325151
Q9NXV6;J3KNE1;D6RGD2,Q9NXV6;J3KNE1;D6RGD2,2;1;1,2;1;1,2;1;1,CDKN2A-interacting protein,CDKN2AIP,sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3;tr|J3KNE1|J3KNE1_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=1;tr|D6RGD2|D6RGD2_HUMAN CDKN2A-interacting protein OS=Homo sapiens,2,2,5.9,4.25377280271413,4.41538556284283,24.086022162004,24.2216242897802
P17676,P17676,2,2,2,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,2,2,8.7,4.25377280271413,4.41538556284283,24.6521206609293,24.3198270014465
Q53EZ4;H0Y432,Q53EZ4;H0Y432,2;2,2;2,2;2,Centrosomal protein of 55 kDa,CEP55,sp|Q53EZ4|CEP55_HUMAN Centrosomal protein of 55 kDa OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=3;tr|H0Y432|H0Y432_HUMAN Centrosomal protein of 55 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=1,2,2,6.5,4.25377280271413,4.41538556284283,24.3376289790479,22.7906436078291
Q86WJ1;A0A0A0MRH8;A0A494C1P7;A0A0A0MSH9;A0A494C1F7;A0A494C0F0;A0A494C0J6;A0A087WTM4;A0A494C179,Q86WJ1;A0A0A0MRH8;A0A494C1P7;A0A0A0MSH9;A0A494C1F7;A0A494C0F0;A0A494C0J6;A0A087WTM4;A0A494C179,2;2;2;2;2;1;1;1;1,2;2;2;2;2;1;1;1;1,2;2;2;2;2;1;1;1;1,Chromodomain-helicase-DNA-binding protein 1-like,CHD1L,sp|Q86WJ1|CHD1L_HUMAN Chromodomain-helicase-DNA-binding protein 1-like OS=Homo sapiens OX=9606 GN=CHD1L PE=1 SV=3;tr|A0A0A0MRH8|A0A0A0MRH8_HUMAN Chromodomain-helicase-DNA-binding protein 1-like OS=Homo sapiens OX=9606 GN=CHD1L PE=1 SV=2;tr|A0A494C1P7|A0A49,2,2,2.5,23.1102832104996,25.0176351576675,4.42724936884613,4.39090484493968
Q12873;A0A5F9ZHX5,Q12873;A0A5F9ZHX5,18;12,2;1,2;1,Chromodomain-helicase-DNA-binding protein 3,CHD3,sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3;tr|A0A5F9ZHX5|A0A5F9ZHX5_HUMAN Chromodomain-helicase-DNA-binding protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=1,18,2,9.4,23.8855327530368,23.8866023304984,4.42724936884613,4.39090484493968
Q9ULV3;H0Y5D5;F5H2X7;Q9BTG3;Q5SYW2,Q9ULV3;H0Y5D5;F5H2X7;Q9BTG3;Q5SYW2,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Cip1-interacting zinc finger protein,CIZ1,sp|Q9ULV3|CIZ1_HUMAN Cip1-interacting zinc finger protein OS=Homo sapiens OX=9606 GN=CIZ1 PE=1 SV=2;tr|H0Y5D5|H0Y5D5_HUMAN Cip1-interacting zinc finger protein (Fragment) OS=Homo sapiens OX=9606 GN=CIZ1 PE=1 SV=1;tr|F5H2X7|F5H2X7_HUMAN Cip1-interacting zin,2,2,3.1,22.3238484212854,21.8788980891716,21.6188084633088,22.9700198044049
Q8N2M8;F5H0Q6;A0A0A0MQS2;K7EKC9;K7EM61,Q8N2M8;F5H0Q6;A0A0A0MQS2;K7EKC9;K7EM61,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,CLK4-associating serine/arginine rich protein,CLASRP,sp|Q8N2M8|CLASR_HUMAN CLK4-associating serine/arginine rich protein OS=Homo sapiens OX=9606 GN=CLASRP PE=1 SV=4;tr|F5H0Q6|F5H0Q6_HUMAN CLK4-associating serine/arginine-rich protein OS=Homo sapiens OX=9606 GN=CLASRP PE=1 SV=2;tr|A0A0A0MQS2|A0A0A0MQS2_HUMAN,2,2,4.0,23.7392053431842,24.5607503066784,4.42724936884613,4.39090484493968
Q92905;E5RHF2;E5RHH5,Q92905;E5RHF2;E5RHH5,2;1;1,2;1;1,2;1;1,COP9 signalosome complex subunit 5,COPS5,sp|Q92905|CSN5_HUMAN COP9 signalosome complex subunit 5 OS=Homo sapiens OX=9606 GN=COPS5 PE=1 SV=4;tr|E5RHF2|E5RHF2_HUMAN COP9 signalosome complex subunit 5 (Fragment) OS=Homo sapiens OX=9606 GN=COPS5 PE=1 SV=1;tr|E5RHH5|E5RHH5_HUMAN COP9 signalosome compl,2,2,8.7,23.0355193404894,24.291359440509,22.8459991493951,22.9199260566552
Q92793;Q09472;I3L293;I3L0Q1;I3L466;A0A669KB12,Q92793;Q09472;I3L293;I3L0Q1;I3L466;A0A669KB12,2;1;1;1;1;1,2;1;1;1;1;1,2;1;1;1;1;1,CREB-binding protein;Histone acetyltransferase p300,CREBBP;EP300,sp|Q92793|CBP_HUMAN CREB-binding protein OS=Homo sapiens OX=9606 GN=CREBBP PE=1 SV=3;sp|Q09472|EP300_HUMAN Histone acetyltransferase p300 OS=Homo sapiens OX=9606 GN=EP300 PE=1 SV=2;tr|I3L293|I3L293_HUMAN CREB-binding protein (Fragment) OS=Homo sapiens OX=9,2,2,1.5,22.7211726356558,24.3461127889916,27.4198668095936,27.1229732981769
Q5TZA2;B1AKD8;A0A087WW81,Q5TZA2;B1AKD8;A0A087WW81,2;2;1,2;2;1,2;2;1,Rootletin,CROCC,sp|Q5TZA2|CROCC_HUMAN Rootletin OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=1;tr|B1AKD8|B1AKD8_HUMAN Rootletin (Fragment) OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=2;tr|A0A087WW81|A0A087WW81_HUMAN Rootletin (Fragment) OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=6,2,2,1.0,27.0631168990534,27.6796390303824,25.5081511709835,25.2228405876449
Q53ET0;Q5T4K5;H0YDQ8,Q53ET0;Q5T4K5;H0YDQ8,2;1;1,2;1;1,2;1;1,CREB-regulated transcription coactivator 2,CRTC2,sp|Q53ET0|CRTC2_HUMAN CREB-regulated transcription coactivator 2 OS=Homo sapiens OX=9606 GN=CRTC2 PE=1 SV=2;tr|Q5T4K5|Q5T4K5_HUMAN CREB-regulated transcription coactivator 2 OS=Homo sapiens OX=9606 GN=CRTC2 PE=1 SV=1;tr|H0YDQ8|H0YDQ8_HUMAN CREB-regulated t,2,2,5.5,23.6247253390299,23.1830301500707,24.1555671827231,23.2253951579457
