Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity RBBP5-N1,Intensity RBBP5-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q5TGY3,Q5TGY3,2,2,2,AT-hook DNA-binding motif-containing protein 1,AHDC1,sp|Q5TGY3|AHDC1_HUMAN AT-hook DNA-binding motif-containing protein 1 OS=Homo sapiens OX=9606 GN=AHDC1 PE=1 SV=1,2,2,1.7,24.7696631349264,26.1121371134045,4.42759069901186,4.36970281032512
Q5TCS8;J3KP89;Q8N9B4;E9PPM3;E9PP91;F8W6I9;E9PIL2,Q5TCS8;J3KP89;Q8N9B4;E9PPM3;E9PP91;F8W6I9;E9PIL2,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,Adenylate kinase 9;Ankyrin repeat domain-containing protein 42,AK9;ANKRD42,sp|Q5TCS8|KAD9_HUMAN Adenylate kinase 9 OS=Homo sapiens OX=9606 GN=AK9 PE=1 SV=2;tr|J3KP89|J3KP89_HUMAN Adenylate kinase 9 OS=Homo sapiens OX=9606 GN=AK9 PE=1 SV=1;sp|Q8N9B4|ANR42_HUMAN Ankyrin repeat domain-containing protein 42 OS=Homo sapiens OX=9606 GN,2,2,1.0,23.5009381353559,25.6552397653926,23.9948469950242,23.3742467175465
C9JVY5,C9JVY5,28,2,2,,AKAP2,tr|C9JVY5|C9JVY5_HUMAN PALM2 and AKAP2 fusion (Fragment) OS=Homo sapiens OX=9606 GN=PALM2AKAP2 PE=1 SV=1,28,2,51.7,22.8547553104584,23.387586145132,25.9107708049551,25.6223771146669
H7C0V5,H7C0V5,7,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,7,2,23.4,4.17591035104535,4.22706700329514,22.7074829937707,24.4367608419954
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.17591035104535,4.22706700329514,23.3003369184145,21.8010452032896
Q68EM7;I3L4P6;C9IZD3,Q68EM7;I3L4P6;C9IZD3,2;1;1,2;1;1,2;1;1,Rho GTPase-activating protein 17,ARHGAP17,sp|Q68EM7|RHG17_HUMAN Rho GTPase-activating protein 17 OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|I3L4P6|I3L4P6_HUMAN Rho GTPase-activating protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|C9IZD3|C9IZD3_HUMAN Rho GTPase-activati,2,2,2.6,4.17591035104535,4.22706700329514,24.4218819696263,24.2214767900315
Q9NXL2,Q9NXL2,2,2,2,Rho guanine nucleotide exchange factor 38,ARHGEF38,sp|Q9NXL2|ARH38_HUMAN Rho guanine nucleotide exchange factor 38 OS=Homo sapiens OX=9606 GN=ARHGEF38 PE=1 SV=2,2,2,4.6,23.5564882798243,25.9473713382389,22.1650885480981,22.3756338827512
Q68CP9;F8VWP4;F8W108;F8WCU9;A0A087WY37,Q68CP9;F8VWP4;F8W108;F8WCU9;A0A087WY37,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,AT-rich interactive domain-containing protein 2,ARID2,sp|Q68CP9|ARID2_HUMAN AT-rich interactive domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ARID2 PE=1 SV=2;tr|F8VWP4|F8VWP4_HUMAN AT-rich interactive domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ARID2 PE=1 SV=1;tr|F8W108|F8W108_HUMAN AT-ric,2,2,1.3,22.7218429991013,23.2478591532462,4.42759069901186,4.36970281032512
P29374;Q4LE39;C9J1W3;X6RCR8;H7C485,P29374;Q4LE39;C9J1W3;X6RCR8;H7C485,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,AT-rich interactive domain-containing protein 4A;AT-rich interactive domain-containing protein 4B,ARID4A;ARID4B,sp|P29374|ARI4A_HUMAN AT-rich interactive domain-containing protein 4A OS=Homo sapiens OX=9606 GN=ARID4A PE=1 SV=3;sp|Q4LE39|ARI4B_HUMAN AT-rich interactive domain-containing protein 4B OS=Homo sapiens OX=9606 GN=ARID4B PE=1 SV=2;tr|C9J1W3|C9J1W3_HUMAN AT-,2,2,2.4,22.8279196804029,23.0058856072825,23.7975863307603,24.2732951920981
O75915;F8WF90;C9JQU6;F8WF33,O75915;F8WF90;C9JQU6;F8WF33,2;2;2;2,2;2;2;2,2;2;2;2,PRA1 family protein 3,ARL6IP5,sp|O75915|PRAF3_HUMAN PRA1 family protein 3 OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1;tr|F8WF90|F8WF90_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1;tr|C9JQU6|C9JQU6_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=ARL6IP5 P,2,2,12.2,4.17591035104535,4.22706700329514,23.1513256667458,23.1719592297095
H7C5W9;P16615,H7C5W9;P16615,2;1,2;1,2;1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,tr|H7C5W9|H7C5W9_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1;sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,2,2,3.3,4.17591035104535,4.22706700329514,24.0383356317693,21.1735307515394
P21281;H0YC04;E5RGH6,P21281;H0YC04;E5RGH6,2;2;1,2;2;1,2;2;1,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,"sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1;tr|E5RGH6|E5RGH6",2,2,6.1,4.17591035104535,4.22706700329514,24.1196529398853,25.2221772795685
Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,BRISC and BRCA1-A complex member 1,BABAM1,sp|Q9NWV8|BABA1_HUMAN BRISC and BRCA1-A complex member 1 OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0QYV1|M0QYV1_HUMAN BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R3F4|M0R3F4_HUMAN BRISC and BRCA1-A c,2,2,5.8,4.17591035104535,4.22706700329514,23.1558249845697,24.2188931003175
Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Bcl-2-like protein 2,BCL2L2,sp|Q92843|B2CL2_HUMAN Bcl-2-like protein 2 OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=2;tr|G3V3B7|G3V3B7_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=1;tr|G3V3G8|G3V3G8_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens,2,2,16.6,4.17591035104535,4.22706700329514,25.7820429794854,25.5113822922466
Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|H3BPT9|H3BPT9_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV,2,2,29.1,22.8845287105499,21.1448225200577,24.2604050335537,23.1003870803596
O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,"3(2),5-bisphosphate nucleotidase 1",BPNT1,"sp|O95861|BPNT1_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1;tr|A6NF51|A6NF51_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=2;tr|F8VVW8|F8VVW8_HUMAN 3(2),5-bisphosphate nuc",2,2,6.2,4.17591035104535,4.22706700329514,23.2583935074264,24.6377122884933
Q9NPI1,Q9NPI1,2,2,2,Bromodomain-containing protein 7,BRD7,sp|Q9NPI1|BRD7_HUMAN Bromodomain-containing protein 7 OS=Homo sapiens OX=9606 GN=BRD7 PE=1 SV=1,2,2,3.4,25.0684784500427,25.5784512419888,4.42759069901186,4.36970281032512
Q92994;H0YIV6;F8VWY1;F6VUY7;F8VWT8;Q3SYD7;A3KN61;F8VS45,Q92994;H0YIV6;F8VWY1;F6VUY7;F8VWT8;Q3SYD7;A3KN61;F8VS45,2;2;1;1;1;1;1;1,2;2;1;1;1;1;1;1,2;2;1;1;1;1;1;1,Transcription factor IIIB 90 kDa subunit,BRF1,sp|Q92994|TF3B_HUMAN Transcription factor IIIB 90 kDa subunit OS=Homo sapiens OX=9606 GN=BRF1 PE=1 SV=1;tr|H0YIV6|H0YIV6_HUMAN Transcription factor IIIB 90 kDa subunit (Fragment) OS=Homo sapiens OX=9606 GN=BRF1 PE=1 SV=1;tr|F8VWY1|F8VWY1_HUMAN Transcriptio,2,2,4.3,23.6972138983343,24.3205846290127,4.42759069901186,4.36970281032512
Q96M02;S4R3N7;A0A0A0MSX2;S4R3Q7;Q5T025,Q96M02;S4R3N7;A0A0A0MSX2;S4R3Q7;Q5T025,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Centrosomal protein C10orf90,C10orf90,sp|Q96M02|CJ090_HUMAN (E2-independent) E3 ubiquitin-conjugating enzyme FATS OS=Homo sapiens OX=9606 GN=C10orf90 PE=2 SV=2;tr|S4R3N7|S4R3N7_HUMAN (E2-independent) E3 ubiquitin-conjugating enzyme FATS (Fragment) OS=Homo sapiens OX=9606 GN=C10orf90 PE=1 SV=2;,2,2,4.0,23.5763806281503,25.4602648996799,26.8153160459646,26.8446973371439
E9PSC8;Q6ZUT1;E9PKA8,E9PSC8;Q6ZUT1;E9PKA8,2;1;1,2;1;1,2;1;1,Uncharacterized protein C11orf57,C11orf57,tr|E9PSC8|E9PSC8_HUMAN Uncharacterized protein NKAPD1 (Fragment) OS=Homo sapiens OX=9606 GN=NKAPD1 PE=1 SV=1;sp|Q6ZUT1|NKAP1_HUMAN Uncharacterized protein NKAPD1 OS=Homo sapiens OX=9606 GN=NKAPD1 PE=1 SV=2;tr|E9PKA8|E9PKA8_HUMAN Uncharacterized protein NKA,2,2,30.1,22.7231592250229,23.5221705887599,4.42759069901186,4.36970281032512
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,4.17591035104535,4.22706700329514,23.3280021005752,23.0454023982834
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,4.17591035104535,4.22706700329514,23.4612646017837,24.3673971534476
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ELS0|K7ELS0_HUMAN Telomerase RNA component-interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ERU7|K7ERU7_HUMAN Telomerase RNA comp,2,2,21.6,22.8795869585083,23.3455687587145,24.7162819267612,24.0197949881964
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,4.17591035104535,4.22706700329514,24.9920881954102,24.3178966976681
Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,2;2;2;1,2;2;2;1,2;2;2;1,Protein C9orf72,C9orf72,sp|Q96LT7|CI072_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=2;tr|A0A5F9ZHW7|A0A5F9ZHW7_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=1;tr|A0A2R8Y5K2|A0A2R8Y5K2_HUMAN Guanine nu,2,2,5.6,4.17591035104535,4.22706700329514,22.7286853344371,22.3990828273411
P04632;K7EM73;K7ELJ7;A0A0C4DGQ5;K7ES78;U3KQE2;K7EIV0;A0A075B7C0;K7EKD8,P04632;K7EM73;K7ELJ7;A0A0C4DGQ5;K7ES78;U3KQE2;K7EIV0;A0A075B7C0;K7EKD8,2;2;2;2;1;1;1;1;1,2;2;2;2;1;1;1;1;1,2;2;2;2;1;1;1;1;1,Calpain small subunit 1,CAPNS1,sp|P04632|CPNS1_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|K7EM73|K7EM73_HUMAN Calpain small subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|K7ELJ7|K7ELJ7_HUMAN Calpain small subunit 1 OS=Homo sapiens O,2,2,27.6,4.17591035104535,4.22706700329514,23.0053545339181,23.0201681457758
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.17591035104535,4.22706700329514,23.7611137310158,24.0363245562864
O00257;I3L4F1,O00257;I3L4F1,2;1,2;1,2;1,E3 SUMO-protein ligase CBX4,CBX4,sp|O00257|CBX4_HUMAN E3 SUMO-protein ligase CBX4 OS=Homo sapiens OX=9606 GN=CBX4 PE=1 SV=3;tr|I3L4F1|I3L4F1_HUMAN E3 SUMO-protein ligase CBX4 (Fragment) OS=Homo sapiens OX=9606 GN=CBX4 PE=1 SV=1,2,2,5.0,20.3940397587168,23.8157757278414,4.42759069901186,4.36970281032512
Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,2;2;1;1,2;2;1;1,2;2;1;1,Cell division cycle and apoptosis regulator protein 1,CCAR1,sp|Q8IX12|CCAR1_HUMAN Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2;tr|A0A0C4DGG8|A0A0C4DGG8_HUMAN Cell division cycle and apoptosis regulator protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=,2,2,2.0,4.17591035104535,4.22706700329514,24.1833633919656,24.2177843867033
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.17591035104535,4.22706700329514,25.0788345594308,24.3987828270151
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.17591035104535,4.22706700329514,24.3118131598024,24.3126442452505
P14635;E9PC90;D6RHI0,P14635;E9PC90;D6RHI0,2;2;1,2;2;1,2;2;1,G2/mitotic-specific cyclin-B1,CCNB1,sp|P14635|CCNB1_HUMAN G2/mitotic-specific cyclin-B1 OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1;tr|E9PC90|E9PC90_HUMAN G2/mitotic-specific cyclin-B1 (Fragment) OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1;tr|D6RHI0|D6RHI0_HUMAN G2/mitotic-specific cyclin-B1 (,2,2,4.2,4.17591035104535,4.22706700329514,23.8766143659587,22.7477381678077
P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,20.5,4.17591035104535,4.22706700329514,23.7613166702539,24.1335944139335
Q53HL2,Q53HL2,2,2,2,Borealin,CDCA8,sp|Q53HL2|BOREA_HUMAN Borealin OS=Homo sapiens OX=9606 GN=CDCA8 PE=1 SV=2,2,2,9.6,23.1090089198031,23.9069236158996,4.42759069901186,4.36970281032512
Q00536;A0A087WZU2;E5RGN0;H0YAZ9;Q00537;O94921;Q07002;F5H6Z0;E7EUK8;A0A0A0MSJ6;F8VXD2;D6RA44;Q00534;F8VZZ0;Q96Q40;Q00535;F8VZ51,Q00536;A0A087WZU2;E5RGN0;H0YAZ9;Q00537;O94921;Q07002;F5H6Z0;E7EUK8,3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1;1;0;1;0;0;0;0;0,2;2;2;1;1;1;1;1;1;1;0;1;0;0;0;0;0,Cyclin-dependent kinase 16;Cyclin-dependent kinase 17;Cyclin-dependent kinase 14;Cyclin-dependent kinase 18,CDK16;CDK17;CDK14;CDK18,sp|Q00536|CDK16_HUMAN Cyclin-dependent kinase 16 OS=Homo sapiens OX=9606 GN=CDK16 PE=1 SV=1;tr|A0A087WZU2|A0A087WZU2_HUMAN Cyclin-dependent kinase 16 OS=Homo sapiens OX=9606 GN=CDK16 PE=1 SV=1;tr|E5RGN0|E5RGN0_HUMAN Cyclin-dependent kinase 16 (Fragment) OS,3,2,5.8,4.17591035104535,4.22706700329514,22.3392476236262,21.9526218213782
Q8N8U2;A0A0B4J291,Q8N8U2;A0A0B4J291,2;2,2;2,2;2,Chromodomain Y-like protein 2,CDYL2,sp|Q8N8U2|CDYL2_HUMAN Chromodomain Y-like protein 2 OS=Homo sapiens OX=9606 GN=CDYL2 PE=1 SV=2;tr|A0A0B4J291|A0A0B4J291_HUMAN Chromodomain Y-like protein 2 OS=Homo sapiens OX=9606 GN=CDYL2 PE=1 SV=1,2,2,7.1,23.1965742526165,23.78066711388,4.42759069901186,4.36970281032512
P17676,P17676,2,2,2,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,2,2,8.7,4.17591035104535,4.22706700329514,24.6521206609293,24.3198270014465
Q53EZ4;H0Y432,Q53EZ4;H0Y432,2;2,2;2,2;2,Centrosomal protein of 55 kDa,CEP55,sp|Q53EZ4|CEP55_HUMAN Centrosomal protein of 55 kDa OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=3;tr|H0Y432|H0Y432_HUMAN Centrosomal protein of 55 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=1,2,2,6.5,4.17591035104535,4.22706700329514,24.3376289790479,22.7906436078291
