Unnamed: 0,CIAO1_vs_BirA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
EIF2B4,-2.5223595175,0.0171626302524167,1,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69,6;6;6;3;3;1,6;6;6;3;3;1,6;6;6;3;3;1,Translation initiation factor eIF-2B subunit delta,EIF2B4,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,6,17.2,523,2.5223595174615,0.0171626302524167
KHSRP,-1.7372745426,0.00347000405172886,1,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0R251;M0QYG1;M0R263;M0R0C6,Q92945;A0A087WTP3;M0R0I5,17;17;9;7;5;3;1;1;1;1,14;14;7;5;4;2;0;0;0;0,14;14;7;5;4;2;0;0;0;0,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,17,14,30.1,711,1.73727454263579,0.00347000405172886
PYCR2,-1.0768223922,0.031437038723972,1,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,5;5;4;2;1;1,4;4;3;1;1;1,4;4;3;1;1;1,Pyrroline-5-carboxylate reductase 2,PYCR2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,5,4,20.6,320,1.07682239221865,0.031437038723972
UHRF1,-22.6191902572,3.59401736188816e-08,1,Q96T88;A0A087WTW0;A0A087WVR3,Q96T88;A0A087WTW0;A0A087WVR3,2;2;2,2;2;2,2;2;2,E3 ubiquitin-protein ligase UHRF1,UHRF1,sp|Q96T88|UHRF1_HUMAN E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens OX=9606 GN=UHRF1 PE=1 SV=1;tr|A0A087WTW0|A0A087WTW0_HUMAN E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens OX=9606 GN=UHRF1 PE=1 SV=1;tr|A0A087WVR3|A0A087WVR3_HUMAN E3 ubiquitin-prote,2,2,3.2,793,22.6191902571894,3.59401736188816e-08
HNRNPDL,-1.2129519806,0.12172029955082,0,A0A087WU03,A0A087WU03,2,2,2,,HNRNPDL,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,2,40.4,57,1.21295198060405,0.12172029955082
MINOS1;MINOS1-NBL1,0.7154399119,0.139319999872257,0,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,MICOS complex subunit MIC10,MINOS1;MINOS1-NBL1,sp|Q5TGZ0|MIC10_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A087WU07|A0A087WU07_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A3B3IRY5|A0A3B3IRY5_HUMAN MICOS complex subunit MIC1,2,2,59,78,-0.715439911875414,0.139319999872257
MRPL45,0.9337972738,0.175805172703794,0,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,2;2;2;2,2;2;2;2,2;2;2;2,"39S ribosomal protein L45, mitochondrial",MRPL45,"sp|Q9BRJ2|RM45_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=2;tr|A0A0G2JMS5|A0A0G2JMS5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1;tr|A0A087WU62|A0A087WU62_HUMAN 39S",2,2,11.1,306,-0.933797273838614,0.175805172703794
CTNNBL1,-18.0968818834,1.77637765233856e-07,1,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,5;5;1,5;5;1,5;5;1,Beta-catenin-like protein 1,CTNNBL1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,5,5,11.7,563,18.0968818834448,1.77637765233856e-07
GMPPA,-0.0657470569,0.849948866169033,0,Q96IJ6;A0A087WUI8;C9J255;F8WD54;A0A0U1RRC2;C9JAH0,Q96IJ6;A0A087WUI8;C9J255;F8WD54,3;3;2;2;1;1,3;3;2;2;1;1,3;3;2;2;1;1,Mannose-1-phosphate guanyltransferase alpha,GMPPA,sp|Q96IJ6|GMPPA_HUMAN Mannose-1-phosphate guanyltransferase alpha OS=Homo sapiens OX=9606 GN=GMPPA PE=1 SV=1;tr|A0A087WUI8|A0A087WUI8_HUMAN Mannose-1-phosphate guanyltransferase alpha OS=Homo sapiens OX=9606 GN=GMPPA PE=1 SV=1;tr|C9J255|C9J255_HUMAN Mannos,3,3,11,420,0.0657470568836512,0.849948866169033
HNRNPDL,-0.4914749134,0.307762773410178,0,O14979;A0A087WUK2,O14979;A0A087WUK2,10;10,8;8,8;8,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,10,8,19,420,0.491474913427449,0.307762773410178
SLIRP,-3.0982641533,0.000249258609665266,1,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJI1,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,4;4;4;4;4;3;1,4;4;4;4;4;3;1,4;4;4;4;4;3;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,"sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1",4,4,34.9,109,3.0982641532598,0.000249258609665266
GPX1,-4.9232753232,0.000818576676245639,1,P07203;A0A087WUQ6;A0A2R8Y6B6;A0A494C1C9;A0A494C118,P07203;A0A087WUQ6;A0A2R8Y6B6,5;5;4;1;1,5;5;4;1;1,5;5;4;1;1,Glutathione peroxidase 1;Glutathione peroxidase,GPX1,sp|P07203|GPX1_HUMAN Glutathione peroxidase 1 OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=4;tr|A0A087WUQ6|A0A087WUQ6_HUMAN Glutathione peroxidase OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=1;tr|A0A2R8Y6B6|A0A2R8Y6B6_HUMAN Glutathione peroxidase 1 OS=Homo sapiens,5,5,24.1,203,4.92327532320585,0.000818576676245639
EIF5B,-1.2695386499,0.0104518926354906,1,O60841;A0A087WUT6,O60841;A0A087WUT6,8;8,8;8,8;8,Eukaryotic translation initiation factor 5B,EIF5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,8,8,10.9,1220,1.2695386498708,0.0104518926354906
BSG,-2.3581036874,0.00117012102845791,1,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,4;4;4;3;3;2,4;4;4;3;3;2,4;4;4;3;3;2,Basigin,BSG,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|R4GMX5|R4GMX,4,4,12.7,385,2.35810368742595,0.00117012102845791
SPTBN1,-1.2012923033,0.01731360762152,1,Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,28;28;5,28;28;5,28;28;5,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,"sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",28,28,16.2,2364,1.20129230330365,0.01731360762152
WBSCR17,5.8906371405,1.38636659749653e-05,1,Q6IS24;A0A087WV18;H7BZX9,Q6IS24;A0A087WV18;H7BZX9,2;2;1,2;2;1,2;2;1,Putative polypeptide N-acetylgalactosaminyltransferase-like protein 3;Polypeptide N-acetylgalactosaminyltransferase,WBSCR17,sp|Q6IS24|GLT17_HUMAN Polypeptide N-acetylgalactosaminyltransferase 17 OS=Homo sapiens OX=9606 GN=GALNT17 PE=2 SV=2;tr|A0A087WV18|A0A087WV18_HUMAN Polypeptide N-acetylgalactosaminyltransferase OS=Homo sapiens OX=9606 GN=GALNT17 PE=1 SV=1;tr|H7BZX9|H7BZX9_H,2,2,5.2,598,-5.89063714052415,1.38636659749653e-05
AK6;TAF9,-2.0294799664,0.354327912415617,0,Q9Y3D8;A0A087WVD7;A0A087WY94;D6RDH4,Q9Y3D8;A0A087WVD7;A0A087WY94,3;3;2;1,3;3;2;1,3;3;2;1,Adenylate kinase isoenzyme 6,AK6;TAF9,sp|Q9Y3D8|KAD6_HUMAN Adenylate kinase isoenzyme 6 OS=Homo sapiens OX=9606 GN=AK6 PE=1 SV=1;tr|A0A087WVD7|A0A087WVD7_HUMAN Adenylate kinase isoenzyme 6 OS=Homo sapiens OX=9606 GN=AK6 PE=1 SV=1;tr|A0A087WY94|A0A087WY94_HUMAN Adenylate kinase isoenzyme 6 OS=H,3,3,22.1,172,2.0294799664041,0.354327912415617
MTHFD1L,-0.7225472017,0.0958119694554968,0,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM1;Q4VXM0,Q6UB35;A0A087WVM4;B7ZM99,6;6;6;1;1,4;4;4;1;1,4;4;4;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,"sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",6,4,5.9,978,0.722547201694148,0.0958119694554968
RRBP1;NIN,-2.1190230419,0.00437671999153302,1,Q9P2E9;F8W7S5;A0A087WVV2;Q8N4C6;H0YDJ4;H9KV85;E9PN67;C9J066,Q9P2E9;F8W7S5;A0A087WVV2;Q8N4C6;H0YDJ4;H9KV85;E9PN67;C9J066,2;2;2;1;1;1;1;1,2;2;2;1;1;1;1;1,2;2;2;1;1;1;1;1,Ribosome-binding protein 1;Ninein,RRBP1;NIN,sp|Q9P2E9|RRBP1_HUMAN Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5;tr|F8W7S5|F8W7S5_HUMAN Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=1;tr|A0A087WVV2|A0A087WVV2_HUMAN Ribosome-binding protein 1 OS=Homo sapie,2,2,1.5,1410,2.119023041882,0.00437671999153302
POLR2E,-2.6821476154,0.00220541047385863,1,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,2;2;2;1;1;1;1,2;2;2;1;1;1;1,2;2;2;1;1;1;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,"sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WVZ9|A0A087WVZ9_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV",2,2,12.4,210,2.682147615425,0.00220541047385863
NOMO2;NOMO1;NOMO3,-0.7078869983,0.0562320793891743,0,Q5JPE7;Q15155;P69849;A0A0G2JP90;A0A087WW46;J3KN36;A0A0G2JN29;A0A087X117,Q5JPE7;Q15155;P69849;A0A0G2JP90;A0A087WW46;J3KN36;A0A0G2JN29;A0A087X117,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,Nodal modulator 2;Nodal modulator 1;Nodal modulator 3,NOMO2;NOMO1;NOMO3,sp|Q5JPE7|NOMO2_HUMAN Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1;sp|Q15155|NOMO1_HUMAN Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5;sp|P69849|NOMO3_HUMAN Nodal modulator 3 OS=Homo sapiens OX=9606 GN=NOMO3 PE=1 SV=2;tr|A0A0,2,2,2.8,1267,0.707886998304334,0.0562320793891743
POLD2,-1.3829653469,0.0355724092970694,1,P49005;F8W8R3;A0A087WWF6;C9JHC7;H7C1B3;C9IZD2;C9J8Z7;C9JLE1,P49005;F8W8R3;A0A087WWF6;C9JHC7,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,DNA polymerase delta subunit 2,POLD2,sp|P49005|DPOD2_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|F8W8R3|F8W8R3_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|A0A087WWF6|A0A087WWF6_HUMAN DNA polymerase delta subunit 2 O,3,3,8.5,469,1.38296534689044,0.0355724092970694
HYOU1,-1.0261362302,0.0861309040759491,0,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039;J3KTF1,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039,8;8;8;8;8;8;1,8;8;8;8;8;8;1,8;8;8;8;8;8;1,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|E9PJ21|E9PJ21_HUMAN Hypoxia up-regulated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087WWI4|A0A087WWI4_HUMAN Hypoxia up-regulated,8,8,11.2,999,1.02613623020325,0.0861309040759491
TPM3,-1.73075211,0.00463013971721668,1,A0A087WWU8;D6R904;A0A494C0G0;Q5VU61,A0A087WWU8;D6R904,26;16;10;6,26;16;10;6,9;9;3;6,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,26,9,75.8,227,1.7307521099584,0.00463013971721668
SRP19,0.4545404782,0.315623348399957,0,P09132;A0A087WWU9;A0A087WYR0;D6RBG4;A0A2R8Y4M3;A0A2U3TZN1,P09132;A0A087WWU9;A0A087WYR0;D6RBG4;A0A2R8Y4M3;A0A2U3TZN1,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Signal recognition particle 19 kDa protein,SRP19,"sp|P09132|SRP19_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=3;tr|A0A087WWU9|A0A087WWU9_HUMAN HCG2039564, isoform CRA_a OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=1;tr|A0A087WYR0|A0A087WYR0_HUMAN Signal recognitio",2,2,27.1,144,-0.454540478190966,0.315623348399957
TARDBP;TDP43,-2.498252093,0.000667772140911364,1,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EJM5;A0A0A0N0M3;A0A087WV68;A0A087WXQ5;A0A087WXV3;K7EN94;A0A1W2PNU8;A0A087WX67;A0A087WW61;K7EL26;A0A087WZC9;A0A087WYE7;A0A087WTZ4,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EJM5;A0A0A0N0M3;A0A087WV68;A0A087WXQ5,7;7;5;5;5;5;4;4;4;4;3;3;2;2;2;1;1;1;1,7;7;5;5;5;5;4;4;4;4;3;3;2;2;2;1;1;1;1,7;7;5;5;5;5;4;4;4;4;3;3;2;2;2;1;1;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,7,7,22.5,414,2.49825209295555,0.000667772140911364
NDUFA10,0.5571405528,0.143559917750072,0,O95299;A0A087WXC5;E7ESZ7;Q8N1B9;C9J6X0,O95299;A0A087WXC5;E7ESZ7;Q8N1B9;C9J6X0,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,"sp|O95299|NDUAA_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFA10 PE=1 SV=1;tr|A0A087WXC5|A0A087WXC5_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=H",2,2,11,355,-0.557140552813714,0.143559917750072
