Gene_names,CIAO1_vs_BirA_logFC,CIAO1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_CIAO1_N1,Peptides_CIAO1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_CIAO1_N1,Razor___unique_peptides_CIAO1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_CIAO1_N1,Unique_peptides_CIAO1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_CIAO1_N1,Identification_type_CIAO1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_CIAO1_N1,Ratio_H_L_CIAO1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_CIAO1_N1,Ratio_H_L_normalized_CIAO1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____CIAO1_N1,Ratio_H_L_variability_____CIAO1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_CIAO1_N1,Ratio_H_L_count_CIAO1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_CIAO1_N1,Ratio_H_L_iso_count_CIAO1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_CIAO1_N1,Ratio_H_L_type_CIAO1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_CIAO1_N1____,Sequence_coverage_CIAO1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_CIAO1_N1,Intensity_L_CIAO1_N1,Intensity_H_CIAO1_N1,Intensity_CIAO1_N2,Intensity_L_CIAO1_N2,Intensity_H_CIAO1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_CIAO1_N1,metacell_Intensity_L_CIAO1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
GSTZ1,-1.77517099983345,0.025407711918317,O43708;G3V3B9;A0A0A0MR33;G3V267;G3V5T0;A0A0C4DFM0;G3V4T6,O43708;G3V3B9;A0A0A0MR33;G3V267;G3V5T0;A0A0C4DFM0;G3V4T6,3;3;3;3;3;3;3,3;3;3;3;3;3;3,3;3;3;3;3;3;3,Maleylacetoacetate isomerase,sp|O43708|MAAI_HUMAN Maleylacetoacetate isomerase OS=Homo sapiens OX=9606 GN=GSTZ1 PE=1 SV=3;tr|G3V3B9|G3V3B9_HUMAN Maleylacetoacetate isomerase OS=Homo sapiens OX=9606 GN=GSTZ1 PE=1 SV=1;tr|A0A0A0MR33|A0A0A0MR33_HUMAN Maleylacetoacetate isomerase OS=Homo ,7,3,3,3,2,2,1,2,2,2,1,2,2,2,1,2,19.0,19.0,19.0,24.212,216,216;119;174;189;202;216;217,0.0,6.7728,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34118,1.0036,28.273,7,2,Leave out requantified,0.24324,0.46129,0.34127,0.36267,0.85301,1.2679,0.3604,0.39006,6.898,3.1691,,69.98,2,2,1,2,0,0,1,1,Median,Median,Median,Median,19.0,19.0,6.5,14.4,343850000,237980000,105870000,124590000,91408000,33180000,131670000,87639000,44034000,28921000,19023000,9898400,58667000,39911000,18756000,,,,103,3784;8875;8876,True;True;True,4623;10951;10952,10685;10686;10687;25322;25323;25324;25325,17736;17737;17738;17739;17740;41703;41704;41705;41706;41707;41708;41709,17738;41704;41706,,,,,-1;-1;-1;-1;-1;-1;-1,protein_104,quanti,quanti,quanti,quanti
HNRNPUL1,1.51155304390451,0.0295006233214135,Q9BUJ2;M0R3F1;A0A0A0MRA5;B7Z4B8;M0QYZ0;M0R203;M0QZV6;M0R0K8;M0QYI8,Q9BUJ2;M0R3F1;A0A0A0MRA5;B7Z4B8;M0QYZ0,9;9;9;9;5;1;1;1;1,9;9;9;9;5;1;1;1;1,9;9;9;9;5;1;1;1;1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,sp|Q9BUJ2|HNRL1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2;tr|M0R3F1|M0R3F1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1,9,9,9,9,1,2,5,5,1,2,5,5,1,2,5,5,12.9,12.9,12.9,95.737,856,856;641;766;767;371;81;118;158;172,0.0,9.2219,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40913,0.66867,108.45,6,3,Median,0.6679,0.45357,0.17527,,1.9856,1.1751,0.18455,,,36.658,64.503,,1,2,3,0,0,0,3,0,Median,Median,Median,Median,1.6,5.5,7.0,6.3,272200000,223090000,49110000,26981000,16341000,10640000,77069000,44349000,32720000,94148000,88397000,5750400,73998000,73998000,0,,,,106,919;7497;8456;10647;10648;11309;16096;16170;16695,True;True;True;True;True;True;True;True;True,1115;9272;10450;13021;13022;13780;19506;19592;20197,2679;2680;21348;24133;30040;30041;30042;31773;31774;45281;45282;45485;46820,4560;4561;35323;39819;49226;49227;49228;49229;49230;52097;52098;74651;74652;75004;77071,4561;35323;39819;49226;49229;52097;74652;75004;77071,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_107,quanti,quanti,quanti,quanti
EPB41L3,-0.865361191136746,0.238723723595089,Q9Y2J2;A0A1B0GTF8;A8K968;A0A0A0MRA8;A0A0A0MSA4;J3KT37;J3QS55,Q9Y2J2;A0A1B0GTF8;A8K968;A0A0A0MRA8;A0A0A0MSA4;J3KT37,3;3;3;3;3;2;1,2;2;2;2;2;1;1,2;2;2;2;2;1;1,"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed",sp|Q9Y2J2|E41L3_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=2;tr|A0A1B0GTF8|A0A1B0GTF8_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=1;tr|A8K968|A8K968_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX,7,3,2,2,2,3,1,1,1,2,1,1,1,2,1,1,3.4,2.8,2.8,120.68,1087,1087;571;756;918;1046;147;162,0.0,4.5902,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27985,0.77988,128.39,5,4,Median,0.27985,0.48306,0.091644,0.11037,0.77988,1.2973,0.096306,0.12322,,2.4306,,,1,2,1,1,1,1,1,1,Median,Median,Median,Median,1.9,3.4,1.5,1.3,161860000,120190000,41673000,21600000,16732000,4868000,97324000,65120000,32203000,23960000,20877000,3083500,18978000,17460000,1518400,,,,107,1606;3883;15119,True;False;True,1979;4738;18288,4785;4786;4787;10941;10942;42370;42371,8154;8155;8156;18168;18169;69820;69821;69822;69823,8154;18168;69822,,,,,-1;-1;-1;-1;-1;-1;-1,protein_108,quanti,quanti,quanti,quanti
PCMT1,-0.714545480930965,0.0400044118489554,P22061;A0A3F2YNX8;A0A0A0MRJ6;H7BY58;F6S8N6;C9J0F2,P22061;A0A3F2YNX8;A0A0A0MRJ6;H7BY58;F6S8N6,4;4;4;4;3;1,4;4;4;4;3;1,4;4;4;4;3;1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase;Protein-L-isoaspartate O-methyltransferase,sp|P22061|PIMT_HUMAN Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=4;tr|A0A3F2YNX8|A0A3F2YNX8_HUMAN Protein-L-isoaspartate O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=1;tr|A0A0A0MRJ6|A0A0A,6,4,4,4,4,4,2,3,4,4,2,3,4,4,2,3,37.9,37.9,37.9,24.636,227,227;250;285;286;250;96,0.0,6.0323,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30895,1.0131,23.82,11,5,Leave out requantified,0.25448,0.37506,0.082581,0.095297,0.93333,1.0996,0.088569,0.113,29.911,17.75,,91.422,4,3,1,3,1,0,1,3,Leave out requantified,Leave out requantified,Median,Median,37.9,37.9,15.4,26.4,794440000,645190000,149260000,250570000,194060000,56506000,277540000,198840000,78700000,132300000,127500000,4801900,134040000,124790000,9247800,,,,112,1054;8440;10135;15639,True;True;True;True,1297;10433;12420;18938,3078;3079;3080;24091;24092;24093;28653;28654;28655;43956;43957;43958;43959;43960;43961,5178;5179;5180;5181;5182;5183;39745;39746;39747;39748;46971;46972;46973;46974;46975;46976;46977;46978;72511;72512;72513;72514;72515;72516;72517;72518;72519,5180;39746;46975;72512,,,,,-1;-1;-1;-1;-1;-1,protein_113,quanti,quanti,quanti,quanti
NOLC1,0.285572049180946,0.405061838023075,Q14978;A0A0A0MRM9;S4R402;S4R341;S4R349,Q14978;A0A0A0MRM9,5;5;1;1;1,5;5;1;1;1,5;5;1;1;1,Nucleolar and coiled-body phosphoprotein 1,sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2;tr|A0A0A0MRM9|A0A0A0MRM9_HUMAN Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1,5,5,5,5,2,3,3,3,2,3,3,3,2,3,3,3,8.3,8.3,8.3,73.602,699,699;708;46;73;258,0.0,4.1261,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32485,0.8972,7.9156,9,5,Leave out requantified,0.28742,0.36717,0.18893,0.28721,0.88432,0.91027,0.20202,0.33394,35.726,19.895,80.266,68.598,2,2,2,3,0,0,2,3,Median,Median,Median,Median,3.3,4.9,4.6,4.6,298240000,235620000,62622000,75604000,58361000,17244000,63668000,45188000,18480000,83164000,69225000,13939000,75804000,62844000,12960000,,,,114,142;4223;9183;15669;15962,True;True;True;True;True,167;5143;11313;18971;19344,375;376;377;378;11881;11882;26091;26092;44030;44897;44898,633;634;635;636;637;638;19726;42818;42819;42820;72608;74083;74084;74085,635;19726;42820;72608;74083,,,,,-1;-1;-1;-1;-1,protein_115,quanti,quanti,quanti,quanti
ABI1,1.15264206601546,0.0391293535766366,Q8IZP0;B6VEX4;A0A0A0MRT6,Q8IZP0;B6VEX4;A0A0A0MRT6,3;3;3,3;3;3,3;3;3,Abl interactor 1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,3,3,3,3,1,1,2,1,1,1,2,1,1,1,2,1,7.7,7.7,7.7,55.08,508,508;393;475,0.0,5.8518,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39903,0.43903,57.276,5,5,Median,0.41004,0.39903,0.29843,0.4229,1.0449,0.83955,0.31571,0.43903,,,26.285,,1,1,2,1,1,1,2,1,Median,Median,Median,Median,3.1,3.1,4.5,2.2,122170000,87561000,34611000,17454000,12298000,5155800,17501000,12478000,5022300,58961000,43365000,15596000,28257000,19420000,8837000,,,,117,419;1133;6157,True;True;True,499;1400;7634,1173;1174;1175;3311;3312;17602,2015;2016;2017;2018;2019;5579;5580;29128,2016;5580;29128,,,,,-1;-1;-1,protein_118,quanti,quanti,quanti,quanti
CASP8,-0.676782762882105,0.18896127508254,Q14790;A0A0A0MS31;E7EQ01;E7EVN1;E7ETB7;E7EQ06;C9JB29,Q14790;A0A0A0MS31;E7EQ01;E7EVN1;E7ETB7;E7EQ06,3;3;2;2;2;2;1,3;3;2;2;2;2;1,3;3;2;2;2;2;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0A0MS31|A0A0A0MS31_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ01|E7EQ01_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EVN1|,7,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,7.7,7.7,7.7,55.391,479,479;278;116;124;198;209;149,0.0,3.2173,By MS/MS,By matching,By MS/MS,By MS/MS,0.4884,0.77599,158.63,4,2,Median,0.74052,0.75119,0.32212,0.064507,2.3999,1.6829,0.35781,0.075367,,,,,1,1,1,1,0,0,1,1,Median,Median,Median,Median,2.7,2.7,2.1,2.9,78945000,50007000,28938000,34924000,17614000,17310000,20904000,12511000,8392400,10702000,8187200,2514500,12416000,11695000,721360,,,,118,3875;5381;6547,True;True;True,4730;6646;8116,10921;15306;15307;18792,18127;25270;31150,18127;25270;31150,,,,,-1;-1;-1;-1;-1;-1;-1,protein_119,quanti,quanti,quanti,quanti
HADH,-0.839909606249606,0.321144920490561,Q16836;A0A1W2PQ78;A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;A0A1W2PQV5,Q16836;A0A1W2PQ78;A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;A0A1W2PQV5,3;3;3;3;3;3;2,3;3;3;3;3;3;2,3;3;3;3;3;3;2,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial","sp|Q16836|HCDH_HUMAN Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3;tr|A0A1W2PQ78|A0A1W2PQ78_HUMAN Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=1;tr|A0A1W2PNM1|A0",7,3,3,3,2,1,2,1,2,1,2,1,2,1,2,1,12.7,12.7,12.7,34.293,314,314;176;267;317;318;390;245,0.0012594,2.7884,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.23355,0.53258,172.83,5,2,Median,0.23405,0.4495,0.082646,0.016237,0.66775,1.1002,0.087435,0.019069,31.986,,,,2,1,1,1,0,0,1,1,Median,Median,Median,Median,9.6,3.5,6.7,3.5,149330000,117880000,31447000,69150000,51762000,17388000,30248000,21039000,9209700,38650000,33970000,4679900,11279000,11110000,169480,,,,120,1109;8877;9554,True;True;True,1369;10953;11735,3243;25326;25327;25328;25329;27039,5439;41710;41711;41712;41713;41714;41715;44255,5439;41712;44255,,,,,-1;-1;-1;-1;-1;-1;-1,protein_121,quanti,quanti,quanti,quanti
DDX42,0.437444310215216,0.57379702440671,Q86XP3;A0A0A0MSJ0;J3KRE3,Q86XP3;A0A0A0MSJ0,3;3;1,3;3;1,3;3;1,ATP-dependent RNA helicase DDX42,sp|Q86XP3|DDX42_HUMAN ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1;tr|A0A0A0MSJ0|A0A0A0MSJ0_HUMAN ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5.4,5.4,5.4,102.97,938,938;708;99,0.0,3.2196,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.56818,0.6021,60.697,3,3,Plateau,,0.55456,0.56818,0.27948,,1.1045,0.6021,0.32806,,,,,0,1,1,1,0,1,1,1,Median,Median,Median,Median,1.8,1.4,2.2,1.4,89387000,69864000,19523000,15092000,15092000,0,15271000,10149000,5122000,48046000,35947000,12099000,10979000,8676100,2302700,,,,122,2464;4692;10738,True;True;True,3032;5757;13127,7238;7239;13290;30283,12316;12317;22094;22095;49570;49571,12316;22095;49570,,,,,-1;-1;-1,protein_123,quanti,quanti,quanti,quanti
PLS3,-0.407007712227731,0.505319124431296,P13797;A0A0A0MSQ0;H7C4N2,P13797;A0A0A0MSQ0,7;7;3,6;6;3,3;3;1,Plastin-3,sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4;tr|A0A0A0MSQ0|A0A0A0MSQ0_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=1,3,7,6,3,4,4,5,3,3,3,4,2,3,2,1,1,13.3,11.3,5.6,70.81,630,630;617;190,0.0,13.595,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44315,1.1385,5.6823,13,8,Leave out requantified,0.428,0.47151,0.35138,0.28482,1.0434,1.1923,0.37329,0.30984,7.1228,3.0585,69.227,10.672,3,3,5,2,0,1,5,2,Leave out requantified,Median,Median,Median,7.6,7.8,10.0,6.2,424720000,311470000,113250000,96325000,65463000,30861000,135960000,96628000,39335000,148370000,114480000,33889000,44060000,34896000,9163500,,,,125,1908;2088;6293;10170;10538;11504;16027,True;True;True;False;True;True;True,2351;2575;2576;7816;12461;12894;14020;19427,5692;5693;6187;6188;6189;18085;28748;28749;28750;28751;29730;29731;32307;45092;45093;45094;45095,9741;9742;10575;10576;10577;10578;10579;10580;10581;29996;47126;47127;47128;47129;47130;47131;48653;48654;48655;48656;52968;74377;74378;74379;74380;74381;74382;74383;74384,9741;10581;29996;47128;48656;52968;74381,,,,,-1;-1;-1,protein_126,quanti,quanti,quanti,quanti
PITPNB,-0.231933250804392,0.668268961168743,P48739;A0A0A0MSW4;B3KYB6;B3KYB7;Q00169;I3L3W1;I3L2X8;I3L471;I3L4C0;I3L4U7;I3L459;I3L4H1;F5GWE5,P48739;A0A0A0MSW4;B3KYB6;B3KYB7,8;8;4;4;1;1;1;1;1;1;1;1;1,8;8;4;4;1;1;1;1;1;1;1;1;1,8;8;4;4;1;1;1;1;1;1;1;1;1,Phosphatidylinositol transfer protein beta isoform,sp|P48739|PIPNB_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2;tr|A0A0A0MSW4|A0A0A0MSW4_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=1;tr|B3KYB6|B3K,13,8,8,8,2,2,7,4,2,2,7,4,2,2,7,4,41.7,41.7,41.7,31.54,271,271;271;120;167;270;44;83;98;115;121;142;209;270,0.0,13.487,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.23196,0.26511,123.34,13,11,Median,0.47785,0.42082,0.11679,0.23196,1.7196,1.2108,0.14853,0.26511,34.561,30.018,80.266,44.623,3,2,5,3,2,1,5,3,Median,Median,Median,Median,8.1,8.1,33.2,21.0,855550000,689740000,165810000,284820000,212180000,72639000,194830000,139440000,55384000,256880000,238060000,18820000,119020000,100050000,18965000,,,,128,2065;3088;9982;10150;13093;14396;15341;15935,True;True;True;True;True;True;True;True,2546;3793;12251;12436;12437;15878;17404;18575;19313,6133;6134;6135;6136;8875;28259;28691;28692;28693;28694;28695;36622;40239;40240;43056;44824,10505;10506;10507;10508;10509;10510;10511;10512;14875;46311;46312;47038;47039;47040;47041;47042;47043;59915;59916;66157;66158;70970;73949,10512;14875;46312;47038;59915;66158;70970;73949,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_129,quanti,quanti,quanti,quanti
IVD,-21.593398100336,5.17507007918727e-08,P26440;A0A0A0MT83;A0A0S2Z4K7;H0YLC3;H0YKV0;H0YN10;H7C4G6;A0A087WVD3,P26440;A0A0A0MT83;A0A0S2Z4K7;H0YLC3,6;6;5;3;2;2;2;1,6;6;5;3;2;2;2;1,6;6;5;3;2;2;2;1,"Isovaleryl-CoA dehydrogenase, mitochondrial","sp|P26440|IVD_HUMAN Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2;tr|A0A0A0MT83|A0A0A0MT83_HUMAN Isovaleryl-CoA dehydrogenase isoform 1 OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2;tr|A0A0S2Z4K7|A0A0S2Z4K7_HUMAN Isovalery",8,6,6,6,5,5,0,0,5,5,0,0,5,5,0,0,13.6,13.6,13.6,46.65,426,426;423;393;243;145;212;307;211,0.0,9.8435,By MS/MS,By MS/MS,,,0.41258,0.99982,3.7414,8,4,Leave out requantified,0.35563,0.41258,,,0.95655,1.0199,,,19.854,1.308,,,4,4,0,0,3,1,0,0,Median,Leave out requantified,Median,Median,11.3,12.0,0.0,0.0,212360000,144020000,68343000,99889000,72788000,27101000,112470000,71232000,41242000,0,0,0,0,0,0,,,,131,539;3868;4706;6062;9785;13639,True;True;True;True;True;True,639;4723;5778;7520;12023;16494,1502;10906;10907;13349;13350;17335;17336;27719;27720;38095,2534;18099;18100;22198;22199;22200;22201;28697;28698;45412;45413;62410,2534;18099;22200;28697;45413;62410,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_132,imputed MEC,imputed MEC,quanti,quanti
ILK,-1.27794126019934,0.0956300379981146,Q13418;A0A0A0MTH3;E9PQ52;A0A087WW45;A0A087WWY6,Q13418;A0A0A0MTH3,3;3;1;1;1,3;3;1;1;1,3;3;1;1;1,Integrin-linked protein kinase,sp|Q13418|ILK_HUMAN Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=2;tr|A0A0A0MTH3|A0A0A0MTH3_HUMAN Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=1,5,3,3,3,3,3,1,1,3,3,1,1,3,3,1,1,7.3,7.3,7.3,51.419,452,452;483;36;40;111,0.0,4.707,By MS/MS,By MS/MS,By MS/MS,By matching,0.75849,1.4088,33.018,8,0,Leave out requantified,0.59625,0.96641,0.325,0.60892,1.3002,1.8088,0.34001,0.71421,20.213,24.928,,,3,3,1,1,0,0,0,0,Leave out requantified,Leave out requantified,Median,Median,7.3,7.3,3.1,3.1,114210000,68027000,46182000,37636000,24373000,13263000,40591000,20456000,20135000,25139000,17955000,7183900,10844000,5243200,5600400,,,,134,4953;9919;12177,True;True;True,6109;12181;14816,14135;14136;14137;14138;28089;28090;34087;34088,23461;23462;23463;46041;55804;55805;55806,23461;46041;55805,,,,,-1;-1;-1;-1;-1,protein_135,quanti,quanti,quanti,quanti
ADSL,-1.10871273488761,0.20893181911152,P30566;A0A1B0GWJ0;A0A1B0GTJ7;A0A0A6YY92;A0A096LNY6;A0A096LNY5;A0A1B0GTG9;A0A1B0GWF8;B4DEP1;A0A1W2PRX2;A0A096LP72;A0A096LNY4;V9GY96;A0A096LP92;A0A096LP76;A0A096LPA2,P30566;A0A1B0GWJ0;A0A1B0GTJ7;A0A0A6YY92;A0A096LNY6;A0A096LNY5;A0A1B0GTG9;A0A1B0GWF8,7;7;7;7;5;4;4;4;2;2;2;2;1;1;1;1,7;7;7;7;5;4;4;4;2;2;2;2;1;1;1;1,7;7;7;7;5;4;4;4;2;2;2;2;1;1;1;1,Adenylosuccinate lyase,sp|P30566|PUR8_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2;tr|A0A1B0GWJ0|A0A1B0GWJ0_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=1;tr|A0A1B0GTJ7|A0A1B0GTJ7_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9,16,7,7,7,4,5,1,4,4,5,1,4,4,5,1,4,22.1,22.1,22.1,54.889,484,484;480;480;498;360;262;377;403;127;142;149;164;57;78;102;133,0.0,8.9025,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27123,0.74934,17.116,12,5,Leave out requantified,0.23594,0.26387,,0.12669,0.7338,0.76521,,0.13492,18.084,3.3873,,52.031,5,5,0,2,1,2,0,2,Leave out requantified,Leave out requantified,Median,Median,13.8,17.6,3.9,13.0,662760000,545140000,117630000,237120000,186690000,50428000,218160000,158670000,59494000,45986000,45986000,0,161500000,153790000,7705600,,,,139,87;516;1682;3795;15438;15439;16288,True;True;True;True;True;True;True,95;609;2074;4636;18696;18697;19721,204;205;206;207;1433;1434;1435;5022;10717;43373;43374;43375;43376;45772;45773,320;321;322;323;2439;2440;2441;8586;17790;71531;71532;71533;71534;75456;75457,321;2439;8586;17790;71531;71534;75456,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_140,quanti,quanti,quanti,quanti
TMED7;TMED7-TICAM2,2.19513939213073,0.00470997270805583,Q9Y3B3;A0A0A6YYA0,Q9Y3B3;A0A0A6YYA0,3;3,3;3,3;3,Transmembrane emp24 domain-containing protein 7,sp|Q9Y3B3|TMED7_HUMAN Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens OX=9606 GN=TMED7 PE=1 SV=2;tr|A0A0A6YYA0|A0A0A6YYA0_HUMAN Protein TMED7-TICAM2 OS=Homo sapiens OX=9606 GN=TMED7-TICAM2 PE=3 SV=1,2,3,3,3,1,1,2,3,1,1,2,3,1,1,2,3,18.8,18.8,18.8,25.171,224,224;188,0.0,5.3756,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.1698,0.17763,92.624,7,6,Median,0.34361,0.38572,0.10914,0.1698,0.97005,0.85282,0.11584,0.17763,,,4.6104,30.979,1,1,2,3,1,0,2,3,Median,Median,Median,Median,4.5,4.5,10.3,18.8,202340000,168790000,33546000,22682000,14310000,8371800,19617000,14044000,5573100,61057000,54363000,6694400,98983000,86076000,12907000,,,,140,3527;13381;15699,True;True;True,4319;16203;19005,9991;9992;37377;37378;37379;37380;44100,16601;16602;61155;61156;61157;61158;61159;61160;72715,16601;61160;72715,,,,,-1;-1,protein_141,quanti,quanti,quanti,quanti
