RBBP7_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
HNRNPDL,1.7236328788,0.179703810928185,0,O14979;A0A087WUK2,O14979;A0A087WUK2,5;5,3;3,3;3,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,5,3,12.1,420
SLIRP,-1.2087539528,0.0131820338724653,1,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJI1,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,4;4;4;4;4;3;1,4;4;4;4;4;3;1,4;4;4;4;4;3;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,"sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",4,4,34.9,109
BSG,-0.3453206344,0.50155280884178,0,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192,5;5;5;3;3;2,5;5;5;3;3;2,5;5;5;3;3;2,Basigin,BSG,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|R4GMX5|R4GMX,5,5,15.1,385
SPTBN1,0.7594688656,0.132065087725737,0,Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,30;30;8,30;30;8,30;30;8,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,"sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",30,30,17.5,2364
POLR2E,0.4014012495,0.355549500421412,0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,2;2;2;1;1;1;1,2;2;2;1;1;1;1,2;2;2;1;1;1;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,"sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WVZ9|A0A087WVZ9_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV",2,2,12.4,210
TPM3,0.1866303758,0.647522845678719,0,A0A087WWU8;D6R904;A0A494C0G0;Q5VU61;A0A2R8YEU4;A0A2R8YH90;A0A2R8YE05;K7ENT6;A0A2R8YHD2;H0YL80;A0A5F9UN72,A0A087WWU8;D6R904,22;13;7;6;5;5;5;5;5;4;1,22;13;7;6;5;5;5;5;5;4;1,9;9;3;6;0;0;0;0;0;0;0,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,22,9,70.5,227
TARDBP;TDP43,0.0088986933,0.975646514929453,0,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EJM5;A0A0A0N0M3;A0A087WV68;A0A087WXQ5;A0A087WXV3;K7EN94;A0A1W2PNU8;A0A087WX67;A0A087WW61;K7EL26;A0A087WZC9;A0A087WYE7;A0A087WTZ4,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EJM5;A0A0A0N0M3;A0A087WV68;A0A087WXQ5,7;7;5;5;5;5;4;4;4;4;3;3;2;2;2;1;1;1;1,7;7;5;5;5;5;4;4;4;4;3;3;2;2;2;1;1;1;1,7;7;5;5;5;5;4;4;4;4;3;3;2;2;2;1;1;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,7,7,22.5,414
RPL17;RPL17-C18orf32,0.3619356002,0.425232032921033,0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;A0A087WY81;J3QLC8;A0A0A0MRF8;J3KSJ0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;A0A087WY81;J3QLC8;A0A0A0MRF8,12;12;12;12;12;11;11;11;9;9;8;5,12;12;12;12;12;11;11;11;9;9;8;5,12;12;12;12;12;11;11;11;9;9;8;5,60S ribosomal protein L17,RPL17;RPL17-C18orf32,sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=1;tr|J3QQT2|J3QQT2_HUMAN 60S ribosomal protein L17 (Fragm,12,12,56.5,184
ITGB6,-1.863209437,0.00499232745764202,1,P18564;A0A087WXP3;E9PEE8,P18564;A0A087WXP3;E9PEE8,2;2;2,2;2;2,2;2;2,Integrin beta-6;Integrin beta,ITGB6,sp|P18564|ITB6_HUMAN Integrin beta-6 OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=2;tr|A0A087WXP3|A0A087WXP3_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1;tr|E9PEE8|E9PEE8_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1,2,2,6.1,788
PSMB3,0.3559135574,0.296352936772545,0,P49720;A0A087WXQ8;A0A087WY10;A0A087WUL2,P49720;A0A087WXQ8;A0A087WY10;A0A087WUL2,9;9;9;7,9;9;9;7,9;9;9;7,Proteasome subunit beta type-3,PSMB3,sp|P49720|PSB3_HUMAN Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2;tr|A0A087WXQ8|A0A087WXQ8_HUMAN Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=1;tr|A0A087WY10|A0A087WY10_HUMAN Proteasome subunit beta t,9,9,38.5,205
VTA1,1.1401067661,0.00669647088453612,1,Q9NP79;A0A087WY55;Q5TGM0,Q9NP79;A0A087WY55;Q5TGM0,4;4;2,4;4;2,4;4;2,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,"sp|Q9NP79|VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|A0A087WY55|A0A087WY55_HUMAN Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|Q5TGM0|Q5T",4,4,16,307
UGP2,1.499725,0.00641357215378979,1,Q16851;A0A087WYS1;E7EUC7;C9JNZ1;C9JTZ5;C9JUW1;C9JWG0;C9JVG3;C9JQU9;F2Z3H1,Q16851;A0A087WYS1;E7EUC7;C9JNZ1,12;12;12;6;3;3;3;3;3;1,12;12;12;6;3;3;3;3;3;1,12;12;12;6;3;3;3;3;3;1,UTP--glucose-1-phosphate uridylyltransferase,UGP2,sp|Q16851|UGPA_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5;tr|A0A087WYS1|A0A087WYS1_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=1;tr|E7EUC7|E7EUC7_HUMAN UTP--gl,12,12,25.2,508
PTGES3,-0.965899478,0.0104427056602091,0,A0A087WYT3;Q15185,A0A087WYT3;Q15185,6;5,6;5,6;5,Prostaglandin E synthase 3,PTGES3,tr|A0A087WYT3|A0A087WYT3_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1;sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,6,6,34.1,164
EIF3H,-0.1787226644,0.619268482379449,0,O15372;A0A087WZK9;B3KS98;E5RJT0;E5RGU4,O15372;A0A087WZK9;B3KS98;E5RJT0,3;3;3;2;1,3;3;3;2;1,3;3;3;2;1,Eukaryotic translation initiation factor 3 subunit H,EIF3H,sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|A0A087WZK9|A0A087WZK9_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|B3KS98|B,3,3,13.9,352
NDUFB6,5.4633278762,3.31850110961811e-05,1,A0A087WZX2;O95139,A0A087WZX2;O95139,3;2,3;2,3;2,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,NDUFB6,tr|A0A087WZX2|A0A087WZX2_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFB6 PE=1 SV=1;sp|O95139|NDUB6_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFB6 PE=1 ,3,3,44.3,97
HYOU1,0.8690352366,0.0607440589431257,0,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2;J3KTF1;A0A087WW13;Q9BST8;J3QQH7;J3QLE9;J3QL06,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2,10;10;10;9;9;9;2;1;1;1;1;1,10;10;10;9;9;9;2;1;1;1;1;1,10;10;10;9;9;9;2;1;1;1;1;1,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087X054|A0A087X054_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A494C039|A0A494C039_HUMAN Hypoxia up-regulated pro,10,10,12.3,999
ACOT1;ACOT2,-0.0990303294,0.708053953176503,0,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95;A0A2R8Y7H3,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95,11;11;10;10;10;2,11;11;10;10;10;2,11;11;10;10;10;2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT1;ACOT2,"sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=1;sp|P49753|ACOT2_HUMAN Acyl-coenzyme A th",11,11,29.7,421
PSME2,-0.0430617749,0.916164620921601,0,Q9UL46;A0A087X1Z3;H0YM70,Q9UL46;A0A087X1Z3;H0YM70,6;6;4,6;6;4,6;6;4,Proteasome activator complex subunit 2,PSME2,sp|Q9UL46|PSME2_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=4;tr|A0A087X1Z3|A0A087X1Z3_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=1;tr|H0YM70|H0YM70_HUMAN Proteasome activ,6,6,29.7,239
SRSF3,-0.7408650595,0.0539562629994469,0,P84103;A0A087X2D0,P84103;A0A087X2D0,5;5,5;5,5;5,Serine/arginine-rich splicing factor 3,SRSF3,sp|P84103|SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1;tr|A0A087X2D0|A0A087X2D0_HUMAN Serine/arginine-rich-splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1,5,5,38.4,164
DDX1,0.1878973278,0.603153029851022,0,Q92499;A0A087X2G1;F1T0B3,Q92499;A0A087X2G1;F1T0B3,19;19;19,19;19;19,19;19;19,ATP-dependent RNA helicase DDX1,DDX1,sp|Q92499|DDX1_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2;tr|A0A087X2G1|A0A087X2G1_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=1;tr|F1T0B3|F1T0B3_HUMAN ATP-dependent RNA helicase DDX1 O,19,19,38.4,740
PYCRL,1.8021881317,0.0226559836315215,1,Q53H96;A0A0A0MQS1;F8WEI0;B5MD87,Q53H96;A0A0A0MQS1,3;3;1;1,3;3;1;1,3;3;1;1,Pyrroline-5-carboxylate reductase 3;Pyrroline-5-carboxylate reductase,PYCRL,sp|Q53H96|P5CR3_HUMAN Pyrroline-5-carboxylate reductase 3 OS=Homo sapiens OX=9606 GN=PYCR3 PE=1 SV=3;tr|A0A0A0MQS1|A0A0A0MQS1_HUMAN Pyrroline-5-carboxylate reductase OS=Homo sapiens OX=9606 GN=PYCR3 PE=1 SV=1,3,3,12.8,274
WDR18,-0.6653484228,0.477423309823183,0,Q9BV38;U3KQC1;A0A0A0MQU0;K7EIR0;A0A087X237;K7EKX5;K7EML4,Q9BV38;U3KQC1;A0A0A0MQU0;K7EIR0,3;3;3;2;1;1;1,3;3;3;2;1;1;1,3;3;3;2;1;1;1,WD repeat-containing protein 18,WDR18,sp|Q9BV38|WDR18_HUMAN WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2;tr|U3KQC1|U3KQC1_HUMAN WD repeat-containing protein 18 (Fragment) OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=1;tr|A0A0A0MQU0|A0A0A0MQU0_HUMAN WD repeat-containin,3,3,8.1,432
VDAC2,-0.0393814323,0.874587302076232,0,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1;A2A3S1,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1,14;14;9;9;6,14;14;9;9;6,14;14;9;9;6,Voltage-dependent anion-selective channel protein 2,VDAC2,sp|P45880|VDAC2_HUMAN Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2;tr|A0A0A0MR02|A0A0A0MR02_HUMAN Voltage-dependent anion-selective channel protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=1;tr,14,14,49.3,294
TTN,6.8162382857,4.32992670759306e-05,1,Q8WZ42;A0A0A0MRA3;A0A0A0MTS7,Q8WZ42;A0A0A0MRA3;A0A0A0MTS7,3;3;3,3;3;3,3;3;3,Titin,TTN,sp|Q8WZ42|TITIN_HUMAN Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4;tr|A0A0A0MRA3|A0A0A0MRA3_HUMAN Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=1;tr|A0A0A0MTS7|A0A0A0MTS7_HUMAN Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=1,3,3,0.1,34350
HNRNPUL1,-0.9025155113,0.235557628690407,0,Q9BUJ2;M0R3F1;A0A0A0MRA5;B7Z4B8;M0QYZ0,Q9BUJ2;M0R3F1;A0A0A0MRA5;B7Z4B8,7;7;7;7;3,7;7;7;7;3,7;7;7;7;3,Heterogeneous nuclear ribonucleoprotein U-like protein 1,HNRNPUL1,sp|Q9BUJ2|HNRL1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2;tr|M0R3F1|M0R3F1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1,7,7,10.5,856
SNX6,1.3402528828,0.109345661296341,0,Q9UNH7;A0A0A0MRI2;G3V5X9;H0YJF8;G3V4Z5;G3V2U1;G3V5U2,Q9UNH7;A0A0A0MRI2,10;10;3;2;2;1;1,10;10;3;2;2;1;1,10;10;3;2;2;1;1,"Sorting nexin-6;Sorting nexin-6, N-terminally processed",SNX6,sp|Q9UNH7|SNX6_HUMAN Sorting nexin-6 OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=1;tr|A0A0A0MRI2|A0A0A0MRI2_HUMAN Sorting nexin OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=1,10,10,29.1,406
PCMT1,2.2582708846,0.00103884443929841,1,P22061;A0A3F2YNX8;A0A0A0MRJ6;H7BY58;F6S8N6;C9J0F2,P22061;A0A3F2YNX8;A0A0A0MRJ6;H7BY58;F6S8N6,4;4;4;4;3;1,4;4;4;4;3;1,4;4;4;4;3;1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase;Protein-L-isoaspartate O-methyltransferase,PCMT1,sp|P22061|PIMT_HUMAN Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=4;tr|A0A3F2YNX8|A0A3F2YNX8_HUMAN Protein-L-isoaspartate O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=1;tr|A0A0A0MRJ6|A0A0A,4,4,37.9,227
NOLC1,1.7077644271,0.00137256612326482,1,Q14978;A0A0A0MRM9;S4R402;S4R341;S4R349,Q14978;A0A0A0MRM9,5;5;1;1;1,5;5;1;1;1,5;5;1;1;1,Nucleolar and coiled-body phosphoprotein 1,NOLC1,sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2;tr|A0A0A0MRM9|A0A0A0MRM9_HUMAN Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1,5,5,7.3,699
ABI1,2.5500242888,0.00194009954659124,1,Q8IZP0;B6VEX4;A0A0A0MRT6,Q8IZP0;B6VEX4;A0A0A0MRT6,2;2;2,2;2;2,2;2;2,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,2,2,5.3,508
