Gene_names,RBBP7_vs_BirA_logFC,RBBP7_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_RBBP7_N1,Peptides_RBBP7_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_RBBP7_N1,Razor___unique_peptides_RBBP7_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_RBBP7_N1,Unique_peptides_RBBP7_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_RBBP7_N1,Identification_type_RBBP7_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_RBBP7_N1,Ratio_H_L_RBBP7_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_RBBP7_N1,Ratio_H_L_normalized_RBBP7_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____RBBP7_N1,Ratio_H_L_variability_____RBBP7_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_RBBP7_N1,Ratio_H_L_count_RBBP7_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_RBBP7_N1,Ratio_H_L_iso_count_RBBP7_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_RBBP7_N1,Ratio_H_L_type_RBBP7_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_RBBP7_N1____,Sequence_coverage_RBBP7_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_RBBP7_N1,Intensity_L_RBBP7_N1,Intensity_H_RBBP7_N1,Intensity_RBBP7_N2,Intensity_L_RBBP7_N2,Intensity_H_RBBP7_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_RBBP7_N1,metacell_Intensity_L_RBBP7_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
FKBP2,-0.0771469307635613,0.836297468614634,P26885;A0A494C1N0,P26885;A0A494C1N0,2;2,2;2,2;2,Peptidyl-prolyl cis-trans isomerase FKBP2,sp|P26885|FKBP2_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=2;tr|A0A494C1N0|A0A494C1N0_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,9.2,9.2,9.2,15.649,142,142;171,0.0,7.0378,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.15834,0.19839,142.08,7,4,Median,0.32056,0.43989,0.094366,0.080305,1.1599,1.185,0.10461,0.095224,,9.2145,76.383,103.8,1,2,2,2,0,0,2,2,Median,Median,Median,Median,8.5,9.2,9.2,9.2,326390000,252460000,73928000,73005000,55431000,17574000,117630000,77838000,39791000,66803000,58971000,7832200,68947000,60217000,8730400,,,,339,7176;9352,True;True,8804;8805;11379,19520;19521;19522;25143;25144;25145;25146,32330;32331;32332;32333;41130;41131;41132;41133;41134;41135;41136;41137;41138,32330;41133,,,,,-1;-1,protein_340,quanti,quanti,quanti,quanti
PREP,-19.150954664839,1.33723213411338e-07,P48147;A0A499FJL1,P48147;A0A499FJL1,2;2,2;2,2;2,Prolyl endopeptidase,sp|P48147|PPCE_HUMAN Prolyl endopeptidase OS=Homo sapiens OX=9606 GN=PREP PE=1 SV=2;tr|A0A499FJL1|A0A499FJL1_HUMAN Prolyl endopeptidase OS=Homo sapiens OX=9606 GN=PREP PE=1 SV=1,2,2,2,2,1,2,0,0,1,2,0,0,1,2,0,0,3.8,3.8,3.8,80.699,710,710;644,0.0,2.9128,By MS/MS,By MS/MS,,,0.59096,1.2182,22.981,3,0,Median,0.59096,0.57494,,,1.5829,1.1044,,,,13.875,,,1,2,0,0,0,0,0,0,Median,Median,Median,Median,1.8,3.8,0.0,0.0,44467000,26948000,17519000,19439000,10971000,8468800,25028000,15977000,9050400,0,0,0,0,0,0,,,,341,14720;16062,True;True,17717;19336,39257;42842;42843,64627;70583;70584,64627;70583,,,,,-1;-1,protein_342,imputed MEC,imputed MEC,quanti,quanti
S100A2,3.09087514222339,0.0163504399151004,A0A590UJ49;P29034;R4GN49;Q5RHS7,A0A590UJ49;P29034,3;2;1;1,3;2;1;1,3;2;1;1,Protein S100-A2,tr|A0A590UJ49|A0A590UJ49_HUMAN Protein S100 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=1;sp|P29034|S10A2_HUMAN Protein S100-A2 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=3,4,3,3,3,1,1,1,3,1,1,1,3,1,1,1,3,45.4,45.4,45.4,10.985,97,97;98;64;96,0.0,14.212,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.16683,0.21126,144.22,6,4,Median,0.62558,0.72122,0.16369,0.061771,1.7915,1.8502,0.19369,0.093635,,,73.007,54.341,1,1,2,2,0,0,2,2,Median,Median,Median,Median,17.5,17.5,17.5,45.4,449020000,391790000,57225000,24365000,15074000,9291400,40904000,23989000,16915000,110650000,92332000,18319000,273100000,260400000,12700000,,,,342,2223;3073;16433,True;True;True,2705;3726;19774,6185;6186;6187;8353;8354;8355;43799,10529;10530;10531;14081;14082;14083;14084;72122,10531;14081;72122,,,,,-1;-1;-1;-1,protein_343,quanti,quanti,quanti,quanti
SRSF6,-1.28149288850062,0.00854299543346203,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80;Q08170;A0A0D9SEM4;A0A0D9SGD2;B4DJK0;B4DUA4,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80,7;7;7;7;7;2;2;1;1;1,7;7;7;7;7;2;2;1;1;1,6;6;6;6;6;1;1;1;0;0,Serine/arginine-rich splicing factor 6,sp|Q13247|SRSF6_HUMAN Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2;tr|A0A590UJK4|A0A590UJK4_HUMAN Serine/arginine-rich-splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=1;tr|A0A590UK01|A0A590UK01_HUMAN Serine/a,10,7,7,6,4,3,5,5,4,3,5,5,3,2,4,4,18.3,18.3,15.7,39.586,344,344;226;273;276;1090;494;378;45;124;138,0.0,24.816,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31265,1.0441,29.33,17,12,Leave out requantified,0.30062,0.36285,0.0391,0.20758,1.0882,1.1044,0.044137,0.26093,35.804,21.44,35.056,74.31,4,3,5,5,1,1,5,5,Leave out requantified,Plateau,Median,Median,12.2,8.4,12.5,12.5,1478400000,1145700000,332740000,535150000,401600000,133550000,588820000,418050000,170770000,198030000,186460000,11569000,156420000,139560000,16851000,,,,345,1016;2228;3472;8234;8427;13800;14813,True;True;True;True;True;True;True,1238;2712;4200;10080;10081;10314;16629;17844,2864;6197;6198;6199;6200;9338;9339;22427;22428;22429;22430;22431;22931;36750;36751;36752;36753;39549,4853;4854;4855;10545;10546;10547;10548;15598;15599;15600;36970;36971;36972;36973;36974;36975;36976;36977;36978;37717;60458;60459;60460;60461;60462;60463;60464;60465;60466;65157,4855;10545;15600;36971;37717;60458;65157,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_346,quanti,quanti,quanti,quanti
SAE1,-21.2014774508299,4.70564666555578e-07,Q9UBE0;A0A590UK93;A0A590UKC5;M0QZS6;B3KNJ4;M0R375;A0A590UKA0;M0QX65,Q9UBE0;A0A590UK93;A0A590UKC5;M0QZS6;B3KNJ4;M0R375;A0A590UKA0;M0QX65,2;2;2;2;2;1;1;1,2;2;2;2;2;1;1;1,2;2;2;2;2;1;1;1,"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed",sp|Q9UBE0|SAE1_HUMAN SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;tr|A0A590UK93|A0A590UK93_HUMAN SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;tr|A0A590UKC5|A0A590UKC5_HUMAN SUMO-activating enzyme ,8,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,9.0,9.0,9.0,38.449,346,346;210;235;265;299;50;127;205,0.0052301,1.4964,By MS/MS,By MS/MS,,,0.39356,1.1259,13.66,4,1,Median,0.37664,0.44764,,,1.0965,1.1259,,,22.663,6.2593,,,2,2,0,0,0,1,0,0,Median,Median,Median,Median,9.0,9.0,0.0,0.0,165730000,119030000,46702000,58294000,36406000,21888000,107440000,82624000,24814000,0,0,0,0,0,0,,,,347,4760;9480,True;True,5819;11545,12903;12904;25522;25523,21512;21513;41780,21513;41780,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_348,imputed MEC,imputed MEC,quanti,quanti
AMPD2,-0.865823663687564,0.303755925036997,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;E9PJF6;A0A590UJX5,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,7;7;7;4;4;1;1,7;7;7;4;4;1;1,7;7;7;4;4;1;1,AMP deaminase 2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,7,7,7,7,3,3,2,3,3,3,2,3,3,3,2,3,8.8,8.8,8.8,100.69,879,879;825;836;564;660;103;183,0.0,9.9043,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29828,0.82449,10.554,11,8,Leave out requantified,0.29828,0.3116,0.060793,0.33142,0.82449,0.8589,0.066888,0.36628,26.402,8.403,,39.065,3,4,1,3,1,3,1,3,Median,Median,Median,Median,3.8,3.5,1.9,3.5,368340000,265140000,103200000,72817000,53149000,19668000,169460000,121050000,48409000,29256000,28344000,912270,96812000,62601000,34211000,,,,348,9133;10882;12558;15851;16288;16326;16361,True;True;True;True;True;True;True,11126;13182;15165;19102;19604;19649;19687,24591;24592;29094;33459;42365;42366;42367;43411;43412;43510;43592;43593,40278;40279;47708;54691;69861;69862;69863;69864;71457;71458;71459;71662;71773;71774,40279;47708;54691;69861;71458;71662;71773,,,,,-1;-1;-1;-1;-1;-1;-1,protein_349,quanti,quanti,quanti,quanti
AIMP1,-0.734801093026835,0.100493722922417,Q12904;A0A5F9ZHC5;D6R937,Q12904;A0A5F9ZHC5,6;6;2,6;6;2,6;6;2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2,sp|Q12904|AIMP1_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2;tr|A0A5F9ZHC5|A0A5F9ZHC5_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9,3,6,6,6,4,5,4,2,4,5,4,2,4,5,4,2,26.3,26.3,26.3,34.352,312,312;273;150,0.0,28.864,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35263,0.95895,17.432,17,7,Leave out requantified,0.31584,0.37856,0.1356,0.076679,0.95895,1.1098,0.15902,0.092928,13.673,20.229,91.38,98.816,6,5,4,2,2,0,3,2,Leave out requantified,Leave out requantified,Median,Median,19.9,22.4,16.0,6.4,1025200000,798630000,226520000,285530000,211930000,73603000,388310000,277180000,111120000,257800000,222010000,35788000,93514000,87508000,6006200,,,,350,837;4094;5847;7018;10255;14169,True;True;True;True;True;True,999;4929;7197;7198;8604;12446;17058,2306;2307;2308;10936;10937;15889;15890;15891;15892;19097;19098;27465;27466;27467;27468;37748;37749;37750,3890;3891;3892;3893;3894;3895;3896;18264;18265;18266;18267;26310;26311;26312;26313;26314;26315;31696;31697;31698;31699;31700;44922;44923;44924;44925;44926;44927;44928;62129;62130;62131;62132;62133,3893;18265;26312;31697;44924;62130,,,,,-1;-1;-1,protein_351,quanti,quanti,quanti,quanti
ACAT1,-1.45756678185739,0.00554323485170025,P24752;A0A5F9ZHJ7;A0A5F9ZHL1;A0A5F9ZHJ0;A0A5F9ZHH9;H0YEL7;A0A5F9ZHD4;A0A5F9ZI66;A0A5F9ZHL7;E9PRQ6,P24752;A0A5F9ZHJ7;A0A5F9ZHL1;A0A5F9ZHJ0;A0A5F9ZHH9,7;7;7;5;4;3;3;3;2;2,7;7;7;5;4;3;3;3;2;2,7;7;7;5;4;3;3;3;2;2,"Acetyl-CoA acetyltransferase, mitochondrial","sp|P24752|THIL_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHJ7|A0A5F9ZHJ7_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHL1|A0A5F9ZHL1_HUMAN",10,7,7,7,6,6,2,3,6,6,2,3,6,6,2,3,19.2,19.2,19.2,45.199,427,427;315;434;337;197;136;306;322;106;141,0.0,30.426,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33643,0.93434,19.586,15,4,Leave out requantified,0.25923,0.37955,0.079486,0.36368,0.8794,1.057,0.089687,0.45034,26.513,22.741,12.954,,6,6,2,1,2,0,2,0,Leave out requantified,Leave out requantified,Median,Median,19.2,19.2,7.0,10.3,682910000,525330000,157580000,233280000,179630000,53649000,294250000,209660000,84595000,80266000,75357000,4908700,75111000,60686000,14425000,,,,352,7153;8018;8763;10413;11169;11170;13859,True;True;True;True;True;True;True,8777;9826;10702;12628;13514;13515;16699,19474;19475;21818;21819;21820;23742;23743;27868;27869;27870;27871;29800;29801;29802;36895;36896;36897,32269;32270;35935;35936;35937;35938;35939;35940;35941;35942;35943;39020;39021;39022;39023;39024;45609;45610;45611;45612;48858;48859;48860;48861;60665;60666;60667;60668,32270;35936;39024;45612;48858;48859;60668,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_353,quanti,quanti,quanti,quanti
MRPL2,-19.2317781891713,1.03399259047736e-07,Q5T653;A0A669KAX9;C9IY40,Q5T653;A0A669KAX9;C9IY40,2;2;1,2;2;1,2;2;1,"39S ribosomal protein L2, mitochondrial","sp|Q5T653|RM02_HUMAN 39S ribosomal protein L2, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL2 PE=1 SV=2;tr|A0A669KAX9|A0A669KAX9_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;tr|C9IY40|C9IY40_HUMAN 39S ribosomal protein L2, mit",3,2,2,2,1,1,0,0,1,1,0,0,1,1,0,0,7.2,7.2,7.2,33.3,305,305;238;225,0.0,8.1638,By MS/MS,By MS/MS,,,0.35224,0.85107,24.288,2,1,Median,0.27677,0.44828,,,0.71677,1.0105,,,,,,,1,1,0,0,1,0,0,0,Median,Median,Median,Median,3.3,3.9,0.0,0.0,39332000,28198000,11134000,17971000,12451000,5520500,21361000,15747000,5613900,0,0,0,0,0,0,,,,356,91;11852,True;True,97;14317,213;31507,338;51501,338;51501,,,,,-1;-1;-1,protein_357,imputed MEC,imputed MEC,quanti,quanti
CTNND1,0.851878020362616,0.10164873234528,O60716;A0A669KB62;A0A669KB05;C9JZR2,O60716;A0A669KB62;A0A669KB05;C9JZR2,2;2;2;2,2;2;2;2,2;2;2;2,Catenin delta-1,sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1;tr|A0A669KB62|A0A669KB62_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=4 SV=1;tr|A0A669KB05|A0A669KB05_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE,4,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2.9,2.9,2.9,108.17,968,968;888;915;938,0.0,2.8088,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.0149,2.1811,37.774,5,2,Median,0.97216,1.4736,1.0149,1.6732,2.2507,3.3641,1.1751,2.0779,4.4414,,,,2,1,1,1,0,0,1,1,Median,Median,Median,Median,2.9,1.2,1.2,1.2,140830000,58512000,82317000,27879000,12893000,14985000,22253000,8761600,13492000,48568000,20032000,28536000,42129000,16825000,25303000,,,,357,5213;5352,True;True,6386;6575,14084;14085;14086;14087;14545,23324;23325;23326;23327;23328;23329;23330;23331;23332;23333;24138,23330;24138,,,,,-1;-1;-1;-1,protein_358,quanti,quanti,quanti,quanti
STAT1,0.591459936713342,0.359181456779097,P42224;A0A669KBI6;A0A669KB68;A0A669KB56;A0A669KBA4;A0A669KB53;J3KPM9;A0A669KB52;A0A669KB75;E7EPD2;E7ENM1;D2KFR9;A0A669KB17;Q67C41;E9PH66,P42224;A0A669KBI6;A0A669KB68;A0A669KB56;A0A669KBA4;A0A669KB53;J3KPM9;A0A669KB52;A0A669KB75,13;13;13;13;13;13;12;11;8;6;5;5;5;2;2,13;13;13;13;13;13;12;11;8;6;5;5;5;2;2,13;13;13;13;13;13;12;11;8;6;5;5;5;2;2,Signal transducer and activator of transcription 1-alpha/beta;Signal transducer and activator of transcription,sp|P42224|STAT1_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2;tr|A0A669KBI6|A0A669KBI6_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=,15,13,13,13,7,3,5,6,7,3,5,6,7,3,5,6,20.3,20.3,20.3,87.334,750,750;716;748;748;779;791;714;636;572;377;150;193;273;42;69,0.0,17.417,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50101,1.3382,30.26,19,11,Leave out requantified,0.47941,0.44114,0.082644,0.14657,1.5034,1.0997,0.089397,0.16476,26.317,5.059,55.006,34.989,6,3,5,5,1,0,5,5,Leave out requantified,Leave out requantified,Median,Median,12.4,5.1,9.3,10.9,530100000,400690000,129410000,179790000,114560000,65235000,93690000,51155000,42536000,169790000,157710000,12080000,86830000,77271000,9559500,,,,358,1157;2850;3082;3572;3680;3802;3886;3901;3902;8455;10710;12807;15148,True;True;True;True;True;True;True;True;True;True;True;True;True,1410;3464;3735;3736;4316;4446;4587;4681;4699;4700;10343;12981;15451;18266,3244;3245;7817;8370;8371;8372;8373;8374;9597;9598;9860;9861;10170;10378;10420;10421;22995;28626;28627;34079;34080;40508,5501;5502;5503;5504;5505;5506;5507;5508;13224;14101;14102;14103;14104;14105;14106;14107;14108;14109;14110;14111;14112;16005;16006;16007;16008;16444;16445;16446;16447;16955;17313;17380;17381;17382;37811;46900;46901;46902;46903;55738;55739;55740;66777,5503;13224;14109;16007;16444;16955;17313;17381;17382;37811;46900;55738;66777,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_359,quanti,quanti,quanti,quanti
USP7,0.232293790857394,0.601396577338911,Q93009;H3BND8;A0A669KBL1;F5H2X1;I3L2D8,Q93009;H3BND8;A0A669KBL1;F5H2X1,3;3;3;2;1,3;3;3;2;1,3;3;3;2;1,Ubiquitin carboxyl-terminal hydrolase 7;Ubiquitin carboxyl-terminal hydrolase,sp|Q93009|UBP7_HUMAN Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2;tr|H3BND8|H3BND8_HUMAN Ubiquitin carboxyl-terminal hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=1;tr|A0A669KBL1|A0A669KBL1_HUMAN Ubiquiti,5,3,3,3,1,2,1,2,1,2,1,2,1,2,1,2,3.9,3.9,3.9,128.3,1102,1102;909;1137;509;68,0.0,3.351,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35729,0.89054,105.76,6,4,Median,0.30678,0.42365,0.14671,0.28315,1.0065,0.94022,0.16241,0.31692,,22.089,,160.53,1,2,1,2,0,1,1,2,Median,Median,Median,Median,1.4,3.2,1.4,2.1,153110000,115620000,37481000,35959000,25126000,10832000,46136000,29239000,16897000,30755000,27527000,3227800,40256000,33732000,6524000,,,,360,12072;12556;13113,True;True;True,14574;15163;15803,32088;33451;33452;33453;33454;34884,52441;52442;54676;54677;54678;54679;57103,52441;54676;57103,,,,,-1;-1;-1;-1;-1,protein_361,quanti,quanti,quanti,quanti
ACO2,-1.36893728488547,0.0142720934055904,Q99798;A2A274,Q99798;A2A274,14;14,14;14,14;14,"Aconitate hydratase, mitochondrial","sp|Q99798|ACON_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2;tr|A2A274|A2A274_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=1",2,14,14,14,10,10,3,4,10,10,3,4,10,10,3,4,25.8,25.8,25.8,85.424,780,780;805,0.0,17.178,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3019,0.78297,29.227,26,7,Leave out requantified,0.27715,0.34692,0.25134,0.1496,0.70294,0.87897,0.28824,0.17798,26.749,27.307,39.77,5.1325,11,11,2,2,2,1,2,2,Leave out requantified,Leave out requantified,Median,Median,22.6,20.1,6.9,8.5,1415300000,873800000,541470000,705580000,324750000,380820000,452090000,312760000,139320000,134450000,121520000,12928000,123160000,114760000,8393800,,,,363,913;1758;2494;6781;12772;14258;14296;14297;14298;14346;14347;14626;15919;15920,True;True;True;True;True;True;True;True;True;True;True;True;True;True,1099;2134;3033;8304;15409;17163;17207;17208;17209;17275;17276;17594;19178;19179,2547;2548;4940;6905;6906;6907;6908;18413;18414;18415;33989;33990;33991;37991;38076;38077;38078;38079;38233;38234;38235;38236;38237;38960;38961;38962;38963;42517;42518,4349;4350;8432;8433;8434;11747;11748;11749;11750;30543;30544;30545;30546;30547;55602;55603;55604;55605;55606;55607;55608;55609;55610;62571;62700;62701;62702;62703;63003;63004;63005;63006;63007;63008;64164;64165;64166;64167;64168;64169;70087;70088;70089;70090,4350;8433;11748;30544;55603;62571;62701;62702;62703;63003;63008;64167;70087;70089,,,,,-1;-1,protein_364,quanti,quanti,quanti,quanti
AAR2,-19.0365702577765,1.71075143665184e-07,Q9Y312;A2A2Q9,Q9Y312;A2A2Q9,2;2,2;2,2;2,Protein AAR2 homolog,sp|Q9Y312|AAR2_HUMAN Protein AAR2 homolog OS=Homo sapiens OX=9606 GN=AAR2 PE=1 SV=2;tr|A2A2Q9|A2A2Q9_HUMAN Protein AAR2 homolog OS=Homo sapiens OX=9606 GN=AAR2 PE=1 SV=1,2,2,2,2,1,1,0,0,1,1,0,0,1,1,0,0,3.1,3.1,3.1,43.472,384,384;398,0.01197,1.2708,By MS/MS,By MS/MS,,,0.55416,1.2906,53.134,2,2,Median,0.36178,0.84883,,,0.88637,1.8791,,,,,,,1,1,0,0,1,1,0,0,Median,Median,Median,Median,2.9,3.1,0.0,0.0,36072000,24472000,11600000,16221000,12609000,3612400,19851000,11863000,7987500,0,0,0,0,0,0,,,,364,253;254,True;True,298;299,668;669,1126;1127,1126;1127,189,,12,,-1;-1,protein_365,imputed MEC,imputed MEC,quanti,quanti
PGP,-0.19465801064085,0.64232777237279,A6NDG6,A6NDG6,3,3,3,Phosphoglycolate phosphatase,sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1,1,3,3,3,1,3,1,1,1,3,1,1,1,3,1,1,12.5,12.5,12.5,34.006,321,321,0.0,5.0168,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.59841,1.1355,32.98,6,1,Leave out requantified,0.30937,0.59841,0.22312,1.4439,0.96726,1.1355,0.26083,1.8302,,33.137,,,1,3,1,1,0,0,1,0,Median,Leave out requantified,Median,Median,4.4,12.5,3.1,3.1,245360000,145070000,100300000,31552000,25186000,6365800,89379000,55460000,33920000,50877000,40008000,10870000,73555000,24415000,49140000,,,,369,2018;3584;3596,True;True;True,2456;4331;4348,5653;5654;9623;9624;9625;9662,9715;9716;9717;9718;9719;16041;16042;16043;16108,9717;16043;16108,,,,,-1,protein_370,quanti,quanti,quanti,quanti
HCFC1,-0.671768731869779,0.372716966222842,P51610;A6NEM2;H7C1C4,P51610;A6NEM2,12;12;1,12;12;1,12;12;1,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,sp|P51610|HCFC1_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2;tr|A6NEM2|A6NEM2_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,3,12,12,12,8,6,3,7,8,6,3,7,8,6,3,7,7.8,7.8,7.8,208.73,2035,2035;2080;611,0.0,26.477,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40846,0.9702,43.183,25,16,Leave out requantified,0.42519,0.45966,0.18137,0.25348,1.2554,1.05,0.19815,0.28946,41.441,53.979,73.821,29.901,9,7,2,7,5,2,2,7,Leave out requantified,Leave out requantified,Median,Median,5.3,5.0,1.7,4.7,585870000,399670000,186200000,223990000,132590000,91395000,179620000,111040000,68586000,57254000,50206000,7047500,125010000,105840000,19173000,,,,371,1591;3141;5646;5647;6590;7947;9357;9521;10317;12731;14325;15592,True;True;True;True;True;True;True;True;True;True;True;True,1931;3803;6967;6968;8084;9752;11385;11588;12520;15362;17246;18791,4476;4477;4478;4479;4480;4481;8498;8499;15417;15418;15419;15420;17946;17947;21655;21656;25156;25157;25630;27628;33894;33895;38163;38164;38165;41675;41676,7660;7661;7662;7663;7664;7665;7666;7667;7668;7669;7670;7671;14279;14280;25601;25602;25603;25604;25605;25606;25607;25608;29736;29737;29738;35725;35726;41154;41155;41943;45249;55450;55451;55452;62892;62893;62894;68702;68703,7669;14280;25601;25604;29738;35725;41154;41943;45249;55451;62892;68702,,,,,-1;-1;-1,protein_372,quanti,quanti,quanti,quanti
