Gene_names,WDR26_vs_BirA_logFC,WDR26_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_Bira_alone_N1,Peptides_Bira_alone_N2,Peptides_WDR26_N1,Peptides_WDR26_N2,Razor___unique_peptides_Bira_alone_N1,Razor___unique_peptides_Bira_alone_N2,Razor___unique_peptides_WDR26_N1,Razor___unique_peptides_WDR26_N2,Unique_peptides_Bira_alone_N1,Unique_peptides_Bira_alone_N2,Unique_peptides_WDR26_N1,Unique_peptides_WDR26_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_Bira_alone_N1,Identification_type_Bira_alone_N2,Identification_type_WDR26_N1,Identification_type_WDR26_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_Bira_alone_N1,Ratio_H_L_Bira_alone_N2,Ratio_H_L_WDR26_N1,Ratio_H_L_WDR26_N2,Ratio_H_L_normalized_Bira_alone_N1,Ratio_H_L_normalized_Bira_alone_N2,Ratio_H_L_normalized_WDR26_N1,Ratio_H_L_normalized_WDR26_N2,Ratio_H_L_variability_____Bira_alone_N1,Ratio_H_L_variability_____Bira_alone_N2,Ratio_H_L_variability_____WDR26_N1,Ratio_H_L_variability_____WDR26_N2,Ratio_H_L_count_Bira_alone_N1,Ratio_H_L_count_Bira_alone_N2,Ratio_H_L_count_WDR26_N1,Ratio_H_L_count_WDR26_N2,Ratio_H_L_iso_count_Bira_alone_N1,Ratio_H_L_iso_count_Bira_alone_N2,Ratio_H_L_iso_count_WDR26_N1,Ratio_H_L_iso_count_WDR26_N2,Ratio_H_L_type_Bira_alone_N1,Ratio_H_L_type_Bira_alone_N2,Ratio_H_L_type_WDR26_N1,Ratio_H_L_type_WDR26_N2,Sequence_coverage_Bira_alone_N1____,Sequence_coverage_Bira_alone_N2____,Sequence_coverage_WDR26_N1____,Sequence_coverage_WDR26_N2____,Intensity,Intensity_L,Intensity_H,Intensity_Bira_alone_N1,Intensity_L_Bira_alone_N1,Intensity_H_Bira_alone_N1,Intensity_Bira_alone_N2,Intensity_L_Bira_alone_N2,Intensity_H_Bira_alone_N2,Intensity_WDR26_N1,Intensity_L_WDR26_N1,Intensity_H_WDR26_N1,Intensity_WDR26_N2,Intensity_L_WDR26_N2,Intensity_H_WDR26_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_WDR26_N1,metacell_Intensity_L_WDR26_N2,metacell_Intensity_L_Bira_alone_N1,metacell_Intensity_L_Bira_alone_N2
EXOSC5,2.28746179867953,0.000667263851741089,Q9NQT4;M0R050,Q9NQT4;M0R050,3;3,3;3,3;3,Exosome complex component RRP46,sp|Q9NQT4|EXOS5_HUMAN Exosome complex component RRP46 OS=Homo sapiens OX=9606 GN=EXOSC5 PE=1 SV=1;tr|M0R050|M0R050_HUMAN Exosome complex component RRP46 OS=Homo sapiens OX=9606 GN=EXOSC5 PE=1 SV=1,2,3,3,3,1,1,2,3,1,1,2,3,1,1,2,3,21.3,21.3,21.3,25.249,235,235;197,0.0,5.3945,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.56419,1.3904,24.483,9,4,Leave out requantified,0.31509,0.35582,0.41636,0.55317,0.71692,0.74209,0.98122,1.3904,,,26.67,15.592,1,1,3,4,1,1,2,0,Median,Median,Median,Leave out requantified,5.1,5.1,11.1,21.3,320030000,215420000,104600000,11580000,9076800,2502900,17091000,12478000,4613500,113820000,83463000,30359000,177530000,110410000,67127000,,,,1113,2356;6133;14005,True;True;True,2749;2750;7253;16531,6908;6909;6910;6911;6912;6913;17444;39932;39933,13637;13638;13639;13640;13641;13642;13643;13644;33896;33897;76680;76681;76682,13641;33897;76681,,,,,-1;-1,protein_1114,quanti,quanti,quanti,quanti
RPS5,-1.18214321609723,0.0100620800027503,P46782;M0R0F0;M0R0R2;M0QZN2,P46782;M0R0F0;M0R0R2;M0QZN2,14;14;13;10,14;14;13;10,14;14;13;10,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",sp|P46782|RS5_HUMAN 40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4;tr|M0R0F0|M0R0F0_HUMAN 40S ribosomal protein S5 (Fragment) OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=1;tr|M0R0R2|M0R0R2_HUMAN 40S ribosomal protein S5 OS=Homo sapiens OX=9,4,14,14,14,9,10,8,10,9,10,8,10,9,10,8,10,55.4,55.4,55.4,22.876,204,204;200;225;134,0.0,66.238,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3418,0.94884,23.193,58,12,Leave out requantified,0.24124,0.28417,0.41165,0.38946,0.83271,0.84997,1.0959,1.0809,11.456,20.994,6.3365,11.888,13,13,13,19,3,3,3,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,34.8,39.7,44.1,47.5,6048900000,4483400000,1565500000,1525400000,1219000000,306380000,1613600000,1235800000,377840000,1217400000,841000000,376350000,1692500000,1187600000,504910000,,,,1116,1798;11943;13149;13549;14343;14995;14996;15083;16920;16921;17106;19316;20187;20252,True;True;True;True;True;True;True;True;True;True;True;True;True;True,2108;14199;14200;14201;15571;16017;16920;16921;17687;17688;17689;17787;19885;19886;20105;22707;22708;23708;23777,5300;34267;34268;34269;34270;34271;34272;34273;34274;34275;37615;37616;38688;40773;40774;40775;40776;40777;40778;40779;42502;42503;42504;42505;42506;42737;42738;42739;48003;48004;48005;48006;48007;48008;48009;48010;48011;48012;48013;48549;48550;48551;48552;48553;48554;48555;48556;55075;55076;55077;55078;55079;55080;55081;55082;57438;57439;57440;57608,10378;65870;65871;65872;65873;65874;65875;65876;65877;65878;65879;65880;65881;65882;65883;65884;65885;65886;72162;72163;74220;74221;78274;78275;78276;78277;78278;78279;78280;81204;81205;81206;81207;81208;81209;81210;81211;81614;81615;81616;81617;91682;91683;91684;91685;91686;91687;91688;91689;91690;91691;91692;91693;91694;91695;91696;91697;91698;91699;92848;92849;92850;92851;92852;92853;92854;92855;92856;92857;92858;92859;92860;92861;92862;92863;92864;92865;92866;92867;92868;92869;92870;92871;92872;106160;106161;106162;106163;106164;106165;106166;106167;106168;106169;106170;106171;106172;106173;106174;106175;106176;106177;110742;111046,10378;65883;72162;74220;78274;81204;81208;81615;91688;91693;92866;106173;110742;111046,,76,,77,-1;-1;-1;-1,protein_1117,quanti,quanti,quanti,quanti
NAPA,0.838566980155438,0.163110294674594,P54920;M0R0Y2;M0R2M1;M0R213;Q9H115;M0QZM9;M0QZN5;M0R031;M0R027;M0R058;M0R0I4;A0A087WZQ7,P54920;M0R0Y2;M0R2M1,6;6;4;2;1;1;1;1;1;1;1;1,6;6;4;2;1;1;1;1;1;1;1;1,6;6;4;2;1;1;1;1;1;1;1;1,Alpha-soluble NSF attachment protein,sp|P54920|SNAA_HUMAN Alpha-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPA PE=1 SV=3;tr|M0R0Y2|M0R0Y2_HUMAN Alpha-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPA PE=1 SV=1;tr|M0R2M1|M0R2M1_HUMAN Alpha-soluble NSF attachment pr,12,6,6,6,3,2,5,3,3,2,5,3,3,2,5,3,26.1,26.1,26.1,33.232,295,295;256;268;83;298;35;60;74;102;137;139;302,0.0,7.5164,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.56448,1.3853,5.21,14,5,Leave out requantified,0.61775,0.59021,0.55866,0.59368,1.4219,1.3764,1.4269,1.5307,23.108,28.393,16.491,5.9255,3,2,6,3,0,1,3,1,Leave out requantified,Median,Leave out requantified,Median,15.6,9.8,19.7,12.9,452100000,277470000,174630000,44376000,22470000,21906000,65447000,43532000,21915000,208280000,128130000,80158000,134000000,83342000,50654000,,,,1117,135;7370;9872;12497;17175;18034,True;True;True;True;True;True,147;8765;11781;14836;20194;21169,346;347;348;21074;28586;28587;28588;35877;35878;35879;48772;48773;51191;51192;51193,684;685;40863;55083;55084;55085;55086;55087;68952;68953;68954;93417;98305;98306,685;40863;55086;68952;93417;98306,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1118,quanti,quanti,quanti,quanti
TECR,-0.785871191964482,0.25261963620442,Q9NZ01;M0R3C3,Q9NZ01;M0R3C3,2;2,2;2,2;2,Very-long-chain enoyl-CoA reductase,sp|Q9NZ01|TECR_HUMAN Very-long-chain enoyl-CoA reductase OS=Homo sapiens OX=9606 GN=TECR PE=1 SV=1;tr|M0R3C3|M0R3C3_HUMAN Very-long-chain enoyl-CoA reductase OS=Homo sapiens OX=9606 GN=TECR PE=1 SV=1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,4.5,4.5,4.5,36.034,308,308;105,0.0,4.6657,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41606,1.1916,35.532,5,2,Median,0.51124,0.67255,0.3356,0.40524,1.5316,1.7288,0.86152,0.98716,35.5,,,,2,1,1,1,1,0,1,0,Median,Median,Median,Median,4.5,3.9,3.9,3.9,168620000,97786000,70835000,56176000,32091000,24085000,33819000,16280000,17540000,42845000,27946000,14899000,35780000,21469000,14311000,,,,1120,12811;12812,True;True,15184;15185,36687;36688;36689;36690;36691,70513;70514;70515;70516;70517;70518;70519,70516;70519,,,,,-1;-1,protein_1121,quanti,quanti,quanti,quanti
AGPS,1.52609014928624,0.008827238808933,O00116;A0A1B0GWA2;A0A2R8YEL0;B8ZZ81,O00116;A0A1B0GWA2;A0A2R8YEL0,13;8;8;5,13;8;8;5,13;8;8;5,"Alkyldihydroxyacetonephosphate synthase, peroxisomal","sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1;tr|A0A1B0GWA2|A0A1B0GWA2_HUMAN Alkylglycerone-phosphate synthase (Fragment) OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1;tr|A0A2R8YEL0|A0A2R8YE",4,13,13,13,4,6,9,11,4,6,9,11,4,6,9,11,24.5,24.5,24.5,72.911,658,658;543;560;189,0.0,25.806,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44928,1.1963,14.264,33,9,Leave out requantified,0.36732,0.48536,0.43442,0.44378,0.85848,1.236,1.1287,1.2036,29.205,23.563,29.341,12.796,4,6,11,12,1,2,2,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,9.6,15.5,19.5,24.0,1585100000,1081900000,503180000,83754000,61312000,22442000,177140000,116330000,60809000,568270000,402540000,165730000,755920000,501720000,254200000,,,,1121,885;3530;4047;4234;6602;8170;8321;8322;13600;14731;16577;17146;20471,True;True;True;True;True;True;True;True;True;True;True;True;True,1010;1011;4143;4735;4950;7807;9723;9890;9891;16073;17380;19499;20159;24023,2472;2473;2474;2475;10058;11310;11767;11768;18713;18714;18715;18716;23517;23518;23911;23912;23913;23914;38811;38812;38813;38814;41764;41765;41766;47047;48696;48697;48698;48699;58202;58203;58204,4743;4744;4745;4746;19649;21915;22767;22768;36234;36235;36236;36237;36238;45665;45666;45667;46391;46392;46393;46394;46395;74455;74456;74457;74458;74459;74460;79934;79935;89758;93230;93231;93232;93233;93234;93235;93236;93237;93238;93239;112109;112110;112111,4746;19649;21915;22768;36238;45666;46391;46395;74457;79935;89758;93236;112111,,,,,-1;-1;-1;-1,protein_1122,quanti,quanti,quanti,quanti
DDX39A,1.33118002363686,0.0258174512921168,O00148;K7EQN7;K7EPJ3;K7EN69;K7ENP6;A0A0D9SEM9;K7EL56;K7EIL8;F6SXL5,O00148,19;9;8;5;4;4;4;4;4,5;2;1;0;0;2;0;0;0,5;2;1;0;0;2;0;0;0,ATP-dependent RNA helicase DDX39A,sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2,9,19,5,5,10,9,17,13,1,2,4,3,1,2,4,3,47.8,20.8,20.8,49.129,427,427;255;189;130;92;96;108;125;136,0.0,13.397,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30014,0.78594,13.41,12,3,Leave out requantified,0.22345,0.24447,0.29962,0.36592,0.78481,0.65381,0.69477,1.0304,,13.869,13.992,25.171,1,2,5,4,0,1,1,1,Median,Median,Leave out requantified,Leave out requantified,29.5,30.9,43.1,34.9,954890000,704440000,250450000,53703000,43842000,9860700,112840000,86730000,26111000,398980000,299410000,99575000,389360000,274460000,114900000,,,,1122,1086;2633;2807;3316;3755;3756;4833;5910;6433;6434;8028;11924;12856;13353;14837;19292;19598;20836;20837,False;True;False;False;False;False;True;False;False;False;False;False;False;True;False;True;True;False;False,1255;3074;3287;3288;3289;3898;3899;4412;4413;5643;6964;6965;7592;7593;7594;7595;9557;9558;14175;15236;15798;15799;17511;22676;23018;24450;24451,3100;3101;3102;3103;7663;8164;8165;8166;8167;8168;8169;8170;8171;9523;9524;9525;9526;9527;10654;10655;10656;10657;13445;16733;16734;16735;18216;18217;18218;18219;18220;18221;18222;18223;18224;18225;18226;18227;18228;18229;23081;23082;23083;23084;23085;23086;34196;34197;36792;38173;38174;38175;38176;42108;42109;42110;42111;54993;54994;54995;54996;55773;55774;59217;59218;59219;59220;59221;59222;59223,6009;6010;6011;6012;6013;6014;6015;6016;6017;6018;6019;6020;6021;6022;6023;6024;15025;16036;16037;16038;16039;16040;16041;16042;16043;16044;16045;16046;16047;16048;16049;18649;18650;18651;18652;18653;18654;18655;18656;18657;18658;18659;20733;20734;20735;20736;20737;20738;20739;26043;32476;32477;32478;32479;32480;32481;32482;32483;32484;32485;32486;35236;35237;35238;35239;35240;35241;35242;35243;35244;35245;35246;35247;35248;35249;35250;35251;35252;35253;35254;35255;35256;35257;35258;35259;35260;35261;35262;35263;35264;35265;35266;44876;44877;44878;44879;44880;44881;44882;44883;44884;44885;44886;44887;44888;44889;44890;44891;44892;44893;44894;44895;44896;44897;44898;44899;44900;44901;44902;65727;65728;65729;65730;70688;73303;73304;73305;73306;73307;73308;73309;73310;80553;80554;80555;80556;80557;80558;80559;80560;80561;105984;105985;105986;105987;105988;105989;105990;105991;105992;105993;105994;105995;105996;105997;105998;105999;106000;106001;106002;107451;107452;107453;113993;113994;113995;113996;113997;113998;113999;114000;114001;114002;114003;114004;114005;114006,6011;15025;16042;18659;20733;20739;26043;32476;35237;35260;44886;65730;70688;73303;80560;105994;107453;113993;114005,357,,52,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1123,quanti,quanti,quanti,quanti
ACOT7,-2.91289482364732,0.002425125999752,O00154;K7EKP8,O00154;K7EKP8,6;5,6;5,6;5,Cytosolic acyl coenzyme A thioester hydrolase,sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3;tr|K7EKP8|K7EKP8_HUMAN Cytosolic acyl coenzyme A thioester hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=8,2,6,6,6,6,5,2,2,6,5,2,2,6,5,2,2,21.8,21.8,21.8,41.796,380,380;279,0.0,18.374,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31709,1.0139,24.382,16,3,Leave out requantified,0.30652,0.33592,0.54543,0.41494,0.97239,0.90987,1.2436,1.1234,26.73,25.395,2.7072,4.1063,6,6,2,2,2,0,1,0,Leave out requantified,Leave out requantified,Median,Median,21.8,19.2,8.2,8.2,792130000,570650000,221490000,265970000,198470000,67494000,335520000,249450000,86074000,57571000,33334000,24237000,133070000,89390000,43681000,,,,1123,2166;8088;8945;11158;12747;17453,True;True;True;True;True;True,2520;9635;10636;13287;15106;20514,6326;6327;6328;6329;23292;23293;23294;23295;23296;25702;32135;32136;36513;36514;49553;49554,12374;12375;12376;12377;12378;12379;45289;45290;45291;45292;45293;45294;45295;45296;45297;49843;62021;62022;62023;70197;70198;70199;70200;70201;94923;94924,12377;45290;49843;62021;70200;94923,,,,,-1;-1,protein_1124,quanti,quanti,quanti,quanti
AIP,-2.07416360313874,0.0138848243227949,O00170;E9PMH2,O00170,3;1,3;1,3;1,AH receptor-interacting protein,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2,2,3,3,3,3,2,1,1,3,2,1,1,3,2,1,1,15.2,15.2,15.2,37.636,330,330;232,0.0,3.5445,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44889,1.0708,23.845,7,3,Leave out requantified,0.42803,0.35654,0.36349,0.49066,1.177,0.83422,0.81985,0.99828,47.277,63.563,,,3,2,1,1,2,1,0,0,Median,Median,Median,Median,15.2,11.2,4.2,4.2,155040000,104960000,50084000,60106000,40912000,19194000,47088000,31733000,15355000,27024000,19482000,7541400,20822000,12829000,7993500,,,,1124,13506;18759;18939,True;True;True,15970;22025;22255,38573;53370;53371;53964;53965;53966;53967,73994;102765;102766;102767;103892;103893;103894;103895;103896;103897,73994;102767;103895,,,,,-1;-1,protein_1125,quanti,quanti,quanti,quanti
PSMD11,-0.715109012650966,0.0563096769518904,O00231;J3QRY4;J3KSW3,O00231,14;5;1,14;5;1,14;5;1,26S proteasome non-ATPase regulatory subunit 11,sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,3,14,14,14,8,10,6,9,8,10,6,9,8,10,6,9,40.3,40.3,40.3,47.463,422,422;187;45,0.0,23.388,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3753,1.1193,28.386,33,15,Leave out requantified,0.35107,0.40713,0.35385,0.36962,1.2232,1.1955,0.92983,0.99431,31.786,24.285,94.48,11.907,8,10,6,9,2,3,4,6,Leave out requantified,Leave out requantified,Median,Leave out requantified,23.7,30.3,14.9,25.8,2160100000,1265700000,894350000,350460000,232380000,118080000,550570000,364080000,186490000,601060000,265330000,335730000,657970000,403930000,254050000,,,,1127,24;1518;1873;8077;9199;12198;12288;15770;17036;18674;19413;19761;20814;21000,True;True;True;True;True;True;True;True;True;True;True;True;True;True,24;1772;2191;9616;10962;14493;14600;18588;20025;21910;22811;22812;23220;24422;24630,56;57;58;59;4410;5502;5503;5504;23234;23235;26480;35028;35029;35299;35300;35301;35302;44742;48319;48320;48321;48322;53056;53057;53058;55307;55308;55309;55310;56313;59143;59638;59639,109;110;111;112;113;114;115;116;117;118;119;8471;10797;10798;10799;10800;10801;45161;45162;45163;45164;45165;45166;51204;67362;67363;67364;67899;67900;67901;67902;67903;67904;67905;85379;92322;92323;92324;92325;92326;92327;92328;102074;102075;102076;102077;102078;102079;106657;106658;106659;106660;106661;106662;106663;106664;106665;108629;113854;114830;114831;114832;114833,111;8471;10800;45162;51204;67363;67901;85379;92328;102075;106657;108629;113854;114833,,,,,-1;-1;-1,protein_1128,quanti,quanti,quanti,quanti
PGRMC1,0.22451572409804,0.437113092291087,O00264;U3KQM0,O00264,15;1,15;1,14;0,Membrane-associated progesterone receptor component 1,sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3,2,15,15,14,10,10,10,10,10,10,10,10,10,10,9,9,48.7,48.7,44.1,21.671,195,195;91,0.0,48.065,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35155,1.0359,21.063,54,14,Leave out requantified,0.30339,0.439,0.35335,0.34821,1.114,1.3063,0.96885,0.93934,10.485,19.623,30.167,18.617,11,11,17,15,5,2,5,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,26.7,39.0,42.6,41.0,6386200000,4523900000,1862400000,796740000,594220000,202510000,1264700000,820710000,444010000,1672500000,1175500000,496990000,2652300000,1933400000,718850000,,,,1129,2823;2824;2825;4384;5203;5204;5917;6337;7970;7971;8690;8939;14768;15015;20489,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3306;3307;3308;5124;6076;6077;6078;6976;7489;9492;9493;9494;9495;10323;10628;10629;10630;17425;17426;17711;24043;24044,8219;8220;8221;8222;8223;8224;8225;8226;12200;12201;12202;14519;14520;14521;14522;14523;14524;16763;16764;18011;18012;18013;18014;22935;22936;22937;22938;22939;22940;22941;22942;22943;22944;22945;24954;24955;24956;25686;25687;25688;25689;25690;25691;25692;25693;41868;41869;41870;41871;42548;42549;42550;58253;58254,16150;16151;16152;16153;16154;16155;16156;16157;16158;16159;16160;16161;16162;16163;16164;16165;16166;16167;16168;23663;23664;23665;23666;23667;23668;23669;28165;28166;28167;28168;28169;28170;28171;28172;28173;28174;28175;28176;28177;28178;28179;32544;32545;32546;34900;34901;34902;34903;34904;34905;34906;34907;34908;34909;34910;44577;44578;44579;44580;44581;44582;44583;44584;44585;44586;44587;44588;44589;44590;44591;44592;44593;44594;44595;44596;44597;44598;44599;44600;44601;48426;48427;48428;48429;48430;48431;48432;48433;49805;49806;49807;49808;49809;49810;49811;49812;49813;49814;49815;49816;49817;49818;49819;49820;49821;49822;49823;49824;49825;49826;49827;80155;80156;80157;80158;80159;80160;80161;80162;80163;80164;81304;81305;81306;81307;81308;81309;81310;81311;81312;112198;112199;112200,16155;16166;16168;23669;28171;28177;32546;34910;44587;44597;48430;49806;80155;81304;112199,358;359;360,,96;105;169,,-1;-1,protein_1130,quanti,quanti,quanti,quanti
SUPT5H,2.1168617315339,0.00190153837165503,O00267,O00267,4,4,4,Transcription elongation factor SPT5,sp|O00267|SPT5H_HUMAN Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,1,4,4,4,1,1,2,3,1,1,2,3,1,1,2,3,5.7,5.7,5.7,121.0,1087,1087,0.0,5.9894,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.5682,1.4811,37.026,7,2,Leave out requantified,0.37,0.45552,0.70844,0.52685,0.86156,0.87814,1.8258,1.3945,,,21.068,21.655,1,1,2,3,0,0,0,2,Median,Median,Median,Median,1.4,1.4,2.7,4.3,269980000,174180000,95803000,14502000,10129000,4373000,12655000,9006800,3647900,94095000,65265000,28829000,148730000,89778000,58953000,,,,1130,4338;8922;18319;19461,True;True;True;True,5072;10604;21490;22866,12085;25631;25632;25633;51963;51964;55423,23435;49701;49702;49703;49704;99925;99926;106837,23435;49702;99925;106837,,,,,-1,protein_1131,quanti,quanti,quanti,quanti
CLIC1,-1.85019290687104,0.00184263452610034,O00299,O00299,23,23,23,Chloride intracellular channel protein 1,sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4,1,23,23,23,19,20,11,13,19,20,11,13,19,20,11,13,78.0,78.0,78.0,26.922,241,241,0.0,69.378,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34235,1.002,12.741,79,23,Leave out requantified,0.29692,0.3391,0.40785,0.3408,1.0132,0.94593,1.1007,0.90654,17.102,8.3705,16.413,16.252,23,25,13,18,7,8,1,7,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,67.6,78.0,55.6,43.6,6685200000,4910600000,1774600000,2111900000,1591300000,520640000,2217400000,1644200000,573270000,1055300000,717350000,337920000,1300600000,957820000,342780000,,,,1131,456;457;821;3526;4689;4964;4965;5567;5568;6623;6624;7572;9488;10067;10397;10398;13977;13978;18908;20702;20703;20853;20854,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,522;523;938;4139;5478;5798;5799;6534;6535;6536;7832;7833;9001;11326;11327;11997;12367;12368;12369;16502;16503;22218;24289;24290;24468;24469,1268;1269;1270;1271;1272;1273;1274;1275;2260;10052;13056;13832;13833;13834;15651;15652;15653;15654;15655;15656;15657;15658;15659;18764;18765;18766;18767;18768;18769;18770;18771;18772;21616;21617;21618;21619;27365;27366;27367;27368;27369;27370;27371;27372;27373;29024;29025;29916;29917;29918;29919;29920;29921;29922;29923;29924;29925;29926;39869;39870;39871;39872;39873;39874;39875;53873;53874;53875;58822;58823;58824;58825;59261;59262;59263;59264;59265;59266;59267;59268,2479;2480;2481;2482;2483;2484;2485;2486;2487;2488;2489;2490;2491;2492;2493;2494;2495;2496;4318;19636;19637;19638;25291;25292;26728;26729;26730;26731;26732;30515;30516;30517;30518;30519;30520;30521;30522;30523;30524;30525;30526;30527;30528;30529;30530;30531;36304;36305;36306;36307;36308;36309;36310;36311;36312;36313;36314;36315;36316;41907;41908;41909;41910;41911;41912;41913;41914;41915;41916;52718;52719;52720;52721;52722;52723;52724;52725;52726;52727;52728;52729;52730;52731;52732;52733;52734;52735;52736;52737;52738;52739;52740;52741;52742;55866;55867;57663;57664;57665;57666;57667;57668;57669;57670;57671;57672;57673;57674;57675;57676;57677;57678;57679;76549;76550;76551;76552;76553;76554;76555;76556;76557;76558;76559;103720;103721;103722;103723;103724;103725;103726;103727;113204;113205;113206;113207;113208;114068;114069;114070;114071;114072;114073;114074;114075;114076;114077;114078;114079;114080;114081;114082,2487;2494;4318;19637;25292;26728;26732;30517;30526;36309;36315;41907;52726;55866;57663;57678;76549;76557;103721;113207;113208;114075;114082,,,,,-1,protein_1132,quanti,quanti,quanti,quanti
