Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity FBXW8-N1,Intensity FBXW8-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q68EM7;I3L4P6;C9IZD3,Q68EM7;I3L4P6;C9IZD3,2;1;1,2;1;1,2;1;1,Rho GTPase-activating protein 17,ARHGAP17,sp|Q68EM7|RHG17_HUMAN Rho GTPase-activating protein 17 OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|I3L4P6|I3L4P6_HUMAN Rho GTPase-activating protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|C9IZD3|C9IZD3_HUMAN Rho GTPase-activati,2,2,2.6,4.08688509245965,4.17955488494526,24.4218819696263,24.2214767900315
Q9P227;A0A087WTU4,Q9P227;A0A087WTU4,2;1,2;1,2;1,Rho GTPase-activating protein 23,ARHGAP23,sp|Q9P227|RHG23_HUMAN Rho GTPase-activating protein 23 OS=Homo sapiens OX=9606 GN=ARHGAP23 PE=1 SV=2;tr|A0A087WTU4|A0A087WTU4_HUMAN Rho GTPase-activating protein 23 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP23 PE=1 SV=6,2,2,1.6,29.9840714490548,30.6761501653613,23.6751912453918,23.746631586517
Q8IVW6;Q99856;H3BQ92;K7EJ04,Q8IVW6;Q99856;H3BQ92;K7EJ04,2;1;1;1,2;1;1;1,2;1;1;1,AT-rich interactive domain-containing protein 3B;AT-rich interactive domain-containing protein 3A,ARID3B;ARID3A,sp|Q8IVW6|ARI3B_HUMAN AT-rich interactive domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ARID3B PE=1 SV=2;sp|Q99856|ARI3A_HUMAN AT-rich interactive domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ARID3A PE=1 SV=2;tr|H3BQ92|H3BQ92_HUMAN AT-,2,2,5.0,4.08688509245965,4.17955488494526,24.7837172630966,24.5511490659853
P36404;V9GYD0,P36404;V9GYD0,2;1,2;1,2;1,ADP-ribosylation factor-like protein 2,ARL2;ARL2-SNX15,sp|P36404|ARL2_HUMAN ADP-ribosylation factor-like protein 2 OS=Homo sapiens OX=9606 GN=ARL2 PE=1 SV=4;tr|V9GYD0|V9GYD0_HUMAN ARL2-SNX15 readthrough (NMD candidate) OS=Homo sapiens OX=9606 GN=ARL2-SNX15 PE=3 SV=1,2,2,10.9,4.08688509245965,4.17955488494526,26.8403403045927,26.5916357922548
O75915;F8WF90;C9JQU6;F8WF33,O75915;F8WF90;C9JQU6;F8WF33,2;2;2;2,2;2;2;2,2;2;2;2,PRA1 family protein 3,ARL6IP5,sp|O75915|PRAF3_HUMAN PRA1 family protein 3 OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1;tr|F8WF90|F8WF90_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1;tr|C9JQU6|C9JQU6_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=ARL6IP5 P,2,2,12.2,4.08688509245965,4.17955488494526,23.1513256667458,23.1719592297095
P27540,P27540,2,2,2,Aryl hydrocarbon receptor nuclear translocator,ARNT,sp|P27540|ARNT_HUMAN Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1,2,2,3.7,4.08688509245965,4.17955488494526,24.5999146577554,23.8311309294789
H7C5W9;P16615,H7C5W9;P16615,2;1,2;1,2;1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,tr|H7C5W9|H7C5W9_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1;sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,2,2,3.3,4.08688509245965,4.17955488494526,24.0383356317693,21.1735307515394
P21281;H0YC04;E5RGH6,P21281;H0YC04;E5RGH6,2;2;1,2;2;1,2;2;1,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,"sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1;tr|E5RGH6|E5RGH6",2,2,6.1,4.08688509245965,4.17955488494526,24.1196529398853,25.2221772795685
Q9Y679,Q9Y679,2,2,2,Ancient ubiquitous protein 1,AUP1,sp|Q9Y679|AUP1_HUMAN Ancient ubiquitous protein 1 OS=Homo sapiens OX=9606 GN=AUP1 PE=1 SV=2,2,2,6.8,4.08688509245965,4.17955488494526,23.5698741461313,23.0411464360641
Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,BRISC and BRCA1-A complex member 1,BABAM1,sp|Q9NWV8|BABA1_HUMAN BRISC and BRCA1-A complex member 1 OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0QYV1|M0QYV1_HUMAN BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R3F4|M0R3F4_HUMAN BRISC and BRCA1-A c,2,2,5.8,4.08688509245965,4.17955488494526,23.1558249845697,24.2188931003175
Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|H3BPT9|H3BPT9_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV,2,2,29.1,4.08688509245965,4.17955488494526,24.2604050335537,23.1003870803596
O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,"3(2),5-bisphosphate nucleotidase 1",BPNT1,"sp|O95861|BPNT1_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1;tr|A6NF51|A6NF51_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=2;tr|F8VVW8|F8VVW8_HUMAN 3(2),5-bisphosphate nuc",2,2,6.2,4.08688509245965,4.17955488494526,23.2583935074264,24.6377122884933
Q9UPA5,Q9UPA5,2,2,2,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,2,2,0.9,4.08688509245965,4.17955488494526,23.7839669896107,24.735467191381
Q06187;Q5JY90;U3NG26,Q06187;Q5JY90;U3NG26,3;2;2,2;1;1,2;1;1,Tyrosine-protein kinase BTK;Non-specific protein-tyrosine kinase,BTK,sp|Q06187|BTK_HUMAN Tyrosine-protein kinase BTK OS=Homo sapiens OX=9606 GN=BTK PE=1 SV=3;tr|Q5JY90|Q5JY90_HUMAN Tyrosine-protein kinase OS=Homo sapiens OX=9606 GN=BTK PE=1 SV=1;tr|U3NG26|U3NG26_HUMAN Tyrosine-protein kinase OS=Homo sapiens OX=9606 GN=BTK P,3,2,6.8,4.08688509245965,4.17955488494526,24.6101096925908,24.4284782563017
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,4.08688509245965,4.17955488494526,23.3280021005752,23.0454023982834
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,4.08688509245965,4.17955488494526,23.4612646017837,24.3673971534476
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,4.08688509245965,4.17955488494526,25.1521503080584,24.3178966976681
Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,2;2;2;1,2;2;2;1,2;2;2;1,Protein C9orf72,C9orf72,sp|Q96LT7|CI072_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=2;tr|A0A5F9ZHW7|A0A5F9ZHW7_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=1;tr|A0A2R8Y5K2|A0A2R8Y5K2_HUMAN Guanine nu,2,2,5.6,4.08688509245965,4.17955488494526,22.7286853344371,22.3990828273411
Q01668;A0A1B0GUB6;A0A1B0GUN6;A0A1B0GWE1;A0A1W2PQ56;A0A1B0GTN0,Q01668;A0A1B0GUB6;A0A1B0GUN6;A0A1B0GWE1;A0A1W2PQ56;A0A1B0GTN0,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Voltage-dependent L-type calcium channel subunit alpha-1D,CACNA1D,sp|Q01668|CAC1D_HUMAN Voltage-dependent L-type calcium channel subunit alpha-1D OS=Homo sapiens OX=9606 GN=CACNA1D PE=1 SV=2;tr|A0A1B0GUB6|A0A1B0GUB6_HUMAN Voltage-dependent L-type calcium channel subunit alpha OS=Homo sapiens OX=9606 GN=CACNA1D PE=1 SV=1;,2,2,1.9,4.08688509245965,4.17955488494526,24.553268826345,24.7959528387483
Q9NY47;C9JE82;C9JVC9,Q9NY47;C9JE82;C9JVC9,2;2;2,2;2;2,2;2;2,Voltage-dependent calcium channel subunit alpha-2/delta-2;Voltage-dependent calcium channel subunit alpha-2-2;Voltage-dependent calcium channel subunit delta-2,CACNA2D2,sp|Q9NY47|CA2D2_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Homo sapiens OX=9606 GN=CACNA2D2 PE=1 SV=2;tr|C9JE82|C9JE82_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Homo sapiens OX=9606 GN=CACNA2D2 PE=1 SV=1;tr|,2,2,1.9,4.08688509245965,4.17955488494526,25.2925918796328,24.9605796559832
Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,2;1;1;1,2;1;1;1,2;1;1;1,Cactin,CACTIN,sp|Q8WUQ7|CATIN_HUMAN Cactin OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=3;tr|K7EIU6|K7EIU6_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7EMQ0|K7EMQ0_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7ENY9|K7E,2,2,4.1,4.08688509245965,4.17955488494526,24.6264862411716,24.0666929644928
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.08688509245965,4.17955488494526,23.7611137310158,24.0363245562864
Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,Chromobox protein homolog 3;Chromobox protein homolog 1,CBX3;CBX1,"sp|Q13185|CBX3_HUMAN Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4;sp|P83916|CBX1_HUMAN Chromobox protein homolog 1 OS=Homo sapiens OX=9606 GN=CBX1 PE=1 SV=1;tr|B8ZZ43|B8ZZ43_HUMAN Chromobox homolog 3 (HP1 gamma homolog, Drosophila)",2,2,16.4,4.08688509245965,4.17955488494526,24.9146989939742,25.2625929734968
Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,2;2;1;1,2;2;1;1,2;2;1;1,Cell division cycle and apoptosis regulator protein 1,CCAR1,sp|Q8IX12|CCAR1_HUMAN Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2;tr|A0A0C4DGG8|A0A0C4DGG8_HUMAN Cell division cycle and apoptosis regulator protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=,2,2,2.0,4.08688509245965,4.17955488494526,24.1833633919656,24.2177843867033
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.08688509245965,4.17955488494526,25.5615662447535,24.3987828270151
A0A087WUB1;Q6ZRS4;B8ZZ49;E7ERG9;E7EQ43,A0A087WUB1;Q6ZRS4;B8ZZ49;E7ERG9;E7EQ43,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Coiled-coil domain-containing protein 129,CCDC129,tr|A0A087WUB1|A0A087WUB1_HUMAN Protein ITPRID1 OS=Homo sapiens OX=9606 GN=ITPRID1 PE=1 SV=1;sp|Q6ZRS4|ITPI1_HUMAN Protein ITPRID1 OS=Homo sapiens OX=9606 GN=ITPRID1 PE=2 SV=2;tr|B8ZZ49|B8ZZ49_HUMAN Protein ITPRID1 (Fragment) OS=Homo sapiens OX=9606 GN=ITPR,2,2,2.8,4.08688509245965,4.17955488494526,25.5630221302394,25.0955502659727
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.08688509245965,4.17955488494526,24.3118131598024,24.3126442452505
B4DUR8,B4DUR8,6,6,2,T-complex protein 1 subunit gamma,CCT3,tr|B4DUR8|B4DUR8_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=1,6,2,12.8,22.7306351468722,24.8388438323236,23.7442721458845,23.9861566085466
P50991,P50991,2,2,2,T-complex protein 1 subunit delta,CCT4,sp|P50991|TCPD_HUMAN T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,2,2,4.8,22.713030110121,22.5711017450778,23.0397769771172,21.5117140537476
P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,20.5,4.08688509245965,4.17955488494526,23.7613166702539,24.1335944139335
Q69YH5;E9PEI0,Q69YH5;E9PEI0,2;2,2;2,2;2,Cell division cycle-associated protein 2,CDCA2,sp|Q69YH5|CDCA2_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=2;tr|E9PEI0|E9PEI0_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=1,2,2,2.8,4.08688509245965,4.17955488494526,23.9223419472326,23.1943174135048
Q9NXV6;J3KNE1;D6RGD2,Q9NXV6;J3KNE1;D6RGD2,2;1;1,2;1;1,2;1;1,CDKN2A-interacting protein,CDKN2AIP,sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3;tr|J3KNE1|J3KNE1_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=1;tr|D6RGD2|D6RGD2_HUMAN CDKN2A-interacting protein OS=Homo sapiens,2,2,5.9,4.08688509245965,4.17955488494526,24.086022162004,24.2216242897802
P17676,P17676,2,2,2,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,2,2,8.7,4.08688509245965,4.17955488494526,24.6521206609293,24.3198270014465
Q96BT3;H3BUW2;H3BTR4;H3BQJ0;I3L4F8,Q96BT3;H3BUW2;H3BTR4;H3BQJ0;I3L4F8,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Centromere protein T,CENPT,sp|Q96BT3|CENPT_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=2;tr|H3BUW2|H3BUW2_HUMAN Centromere protein T (Fragment) OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=1;tr|H3BTR4|H3BTR4_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=C,2,2,4.5,4.08688509245965,4.17955488494526,23.5231687177365,22.0052517229406
Q9UPN4;I3L2J8;I3L2X7,Q9UPN4;I3L2J8;I3L2X7,2;2;1,2;2;1,2;2;1,Centrosomal protein of 131 kDa,CEP131,sp|Q9UPN4|CP131_HUMAN Centrosomal protein of 131 kDa OS=Homo sapiens OX=9606 GN=CEP131 PE=1 SV=3;tr|I3L2J8|I3L2J8_HUMAN Centrosomal protein of 131 kDa OS=Homo sapiens OX=9606 GN=CEP131 PE=1 SV=1;tr|I3L2X7|I3L2X7_HUMAN Centrosomal protein of 131 kDa (Fragme,2,2,2.5,4.08688509245965,4.17955488494526,23.7098822945901,23.9724567437001
Q53EZ4;H0Y432,Q53EZ4;H0Y432,2;2,2;2,2;2,Centrosomal protein of 55 kDa,CEP55,sp|Q53EZ4|CEP55_HUMAN Centrosomal protein of 55 kDa OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=3;tr|H0Y432|H0Y432_HUMAN Centrosomal protein of 55 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=1,2,2,6.5,4.08688509245965,4.17955488494526,24.3376289790479,24.3331990359089
P53675;A0A087WV74;A0A087WXH4;A0A087WX41,P53675;A0A087WV74;A0A087WXH4;A0A087WX41,2;1;1;1,2;1;1;1,2;1;1;1,Clathrin heavy chain 2,CLTCL1,sp|P53675|CLH2_HUMAN Clathrin heavy chain 2 OS=Homo sapiens OX=9606 GN=CLTCL1 PE=1 SV=2;tr|A0A087WV74|A0A087WV74_HUMAN Clathrin heavy chain 2 OS=Homo sapiens OX=9606 GN=CLTCL1 PE=1 SV=1;tr|A0A087WXH4|A0A087WXH4_HUMAN Clathrin heavy chain 2 OS=Homo sapiens,2,2,2.2,22.8713012541504,23.6368830104106,28.9013579816483,28.6660127421296
