DCAF4_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
BSG,-0.1765218682,0.283122363818803,0,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,4;4;4;3;3;2,4;4;4;3;3;2,4;4;4;3;3;2,Basigin,BSG,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|R4GMX5|R4GMX,4,4,12.7,385
SPTBN1,-0.3773647831,0.0245406480389642,0,Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,27;27;6,27;27;6,27;27;6,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,"sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",27,27,16.4,2364
MTHFD1L,-0.2749984255,0.0356290716873009,0,Q6UB35;A0A087WVM4;B7ZM99,Q6UB35;A0A087WVM4;B7ZM99,8;8;8,6;6;6,6;6;6,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,"sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",8,6,9.8,978
RRBP1,0.1575850873,0.493885208080035,0,Q9P2E9;A0A087WVV2;F8W7S5,Q9P2E9;A0A087WVV2;F8W7S5,5;5;4,5;5;4,5;5;4,Ribosome-binding protein 1,RRBP1,sp|Q9P2E9|RRBP1_HUMAN Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5;tr|A0A087WVV2|A0A087WVV2_HUMAN Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=1;tr|F8W7S5|F8W7S5_HUMAN Ribosome-binding protein 1 OS=Homo sapie,5,5,5.1,1410
POLR2E,-0.173474235,0.377054125172262,0,P19388;A0A087WVZ9;A0A0A0MQR7;A0A087WWX0;K7EQN2;K7EJ87;A0A087WVN5,P19388;A0A087WVZ9;A0A0A0MQR7;A0A087WWX0,4;4;4;3;1;1;1,4;4;4;3;1;1;1,4;4;4;3;1;1;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,"sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WVZ9|A0A087WVZ9_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV",4,4,21.4,210
NOMO2;NOMO1;NOMO3,-0.3103906809,0.359538201770656,0,Q5JPE7;Q15155;P69849;A0A0G2JP90;A0A087WW46;J3KN36;A0A0G2JN29;A0A087X117,Q5JPE7;Q15155;P69849;A0A0G2JP90;A0A087WW46;J3KN36;A0A0G2JN29;A0A087X117,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,Nodal modulator 2;Nodal modulator 1;Nodal modulator 3,NOMO2;NOMO1;NOMO3,sp|Q5JPE7|NOMO2_HUMAN Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1;sp|Q15155|NOMO1_HUMAN Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5;sp|P69849|NOMO3_HUMAN Nodal modulator 3 OS=Homo sapiens OX=9606 GN=NOMO3 PE=1 SV=2;tr|A0A0,2,2,2.8,1267
POLD2,-0.0199335013,0.95886047672702,0,P49005;F8W8R3;A0A087WWF6;C9JHC7;C9IZD2;C9J8Z7;C9JLE1;H7C1B3,P49005;F8W8R3;A0A087WWF6;C9JHC7;C9IZD2;C9J8Z7;C9JLE1,4;4;4;3;2;2;2;1,4;4;4;3;2;2;2;1,4;4;4;3;2;2;2;1,DNA polymerase delta subunit 2,POLD2,sp|P49005|DPOD2_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|F8W8R3|F8W8R3_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|A0A087WWF6|A0A087WWF6_HUMAN DNA polymerase delta subunit 2 O,4,4,11.5,469
TRAPPC3,-0.0416649673,0.692914916231237,0,O43617;A0A087WWM0;A0A087WYS5;A6NKE1,O43617;A0A087WWM0;A0A087WYS5,3;3;2;1,3;3;2;1,3;3;2;1,Trafficking protein particle complex subunit 3,TRAPPC3,sp|O43617|TPPC3_HUMAN Trafficking protein particle complex subunit 3 OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1;tr|A0A087WWM0|A0A087WWM0_HUMAN Trafficking protein particle complex subunit OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1;tr|A0A087WYS5|A0A087W,3,3,18.9,180
TPM3,-0.0308097125,0.744687355039314,0,A0A087WWU8;D6R904;A0A494C0G0;A0A2R8YEU4;Q5VU61,A0A087WWU8;D6R904,27;16;10;8;6,27;16;10;8;6,10;10;4;0;6,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,27,10,77.1,227
TARDBP;TDP43,-0.2462403937,0.172641983200205,0,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;A0A087WXQ5;A0A087WV68;A0A1W2PNU8;K7EN94;A0A087WXV3;A0A087WX67;A0A087WW61;K7EL26;A0A087WZC9;A0A087WYE7;A0A087WTZ4;A0A0A0MSV7;K7EJ99,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5,9;9;7;7;7;7;5;5;4;4;4;4;3;3;3;2;2;2;2;1;1,9;9;7;7;7;7;5;5;4;4;4;4;3;3;3;2;2;2;2;1;1,9;9;7;7;7;7;5;5;4;4;4;4;3;3;3;2;2;2;2;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,9,9,26.3,414
RPL17;RPL17-C18orf32,0.2894574118,0.110711347743552,0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;A0A087WY81;J3QLC8;A0A0A0MRF8;J3KSJ0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;A0A087WY81;J3QLC8;A0A0A0MRF8,11;11;11;11;11;10;10;10;8;8;7;5,11;11;11;11;11;10;10;10;8;8;7;5,11;11;11;11;11;10;10;10;8;8;7;5,60S ribosomal protein L17,RPL17;RPL17-C18orf32,sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=1;tr|J3QQT2|J3QQT2_HUMAN 60S ribosomal protein L17 (Fragm,11,11,64.1,184
ITGB6,-0.0559661586,0.639224191306433,0,P18564;A0A087WXP3;E9PEE8,P18564;A0A087WXP3;E9PEE8,1;1;1,1;1;1,1;1;1,Integrin beta-6;Integrin beta,ITGB6,sp|P18564|ITB6_HUMAN Integrin beta-6 OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=2;tr|A0A087WXP3|A0A087WXP3_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1;tr|E9PEE8|E9PEE8_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1,1,1,1.1,788
VTA1,-0.2889997984,0.0383054574728406,0,Q9NP79;A0A087WY55;Q5TGM0,Q9NP79;A0A087WY55;Q5TGM0,4;4;3,4;4;3,4;4;3,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,"sp|Q9NP79|VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|A0A087WY55|A0A087WY55_HUMAN Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|Q5TGM0|Q5T",4,4,17.3,307
UBE2D3;UBE2D2,-0.4835746622,0.0302658297226693,0,P61077;P62837;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;D6RAW0;Q9Y2X8;P51668;D6RA11;A0A087WW00;C9J9H9,P61077;P62837;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;D6RAW0,3;3;3;3;3;3;3;2;1;1;1;1;1,3;3;3;3;3;3;3;2;1;1;1;1;1,3;3;3;3;3;3;3;2;1;1;1;1;1,Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2,UBE2D3;UBE2D2,sp|P61077|UB2D3_HUMAN Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1;sp|P62837|UB2D2_HUMAN Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens OX=9606 GN=UBE2D2 PE=1 SV=1;tr|D6RFM0|D6RFM0_HUMAN Ubiquitin-conjugating enzyme E2,3,3,36.1,147
SRP19,-0.7219814029,0.339445915681317,0,P09132;A0A087WYR0;A0A087WWU9;D6RBG4;A0A2R8Y4M3;A0A2U3TZN1,P09132;A0A087WYR0;A0A087WWU9,3;3;2;1;1;1,3;3;2;1;1;1,3;3;2;1;1;1,Signal recognition particle 19 kDa protein,SRP19,sp|P09132|SRP19_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=3;tr|A0A087WYR0|A0A087WYR0_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=1;tr|A0A087WWU9|A0A087WWU9_HUMAN ,3,3,35.4,144
UGP2,-0.0123772694,0.891645002530453,0,Q16851;A0A087WYS1;E7EUC7;C9JNZ1;C9JUW1;C9JWG0;C9JVG3;C9JTZ5;F2Z3H1,Q16851;A0A087WYS1;E7EUC7;C9JNZ1,16;16;16;9;6;6;6;5;2,16;16;16;9;6;6;6;5;2,10;10;10;3;0;0;0;0;0,UTP--glucose-1-phosphate uridylyltransferase,UGP2,sp|Q16851|UGPA_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5;tr|A0A087WYS1|A0A087WYS1_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=1;tr|E7EUC7|E7EUC7_HUMAN UTP--gl,16,10,34.1,508
PTGES3,0.064739402,0.465429298964316,0,Q15185;A0A087WYT3,Q15185;A0A087WYT3,6;6,6;6,6;6,Prostaglandin E synthase 3,PTGES3,sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1;tr|A0A087WYT3|A0A087WYT3_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,6,6,26.2,160
EIF3H,-0.0532761915,0.753483986109614,0,O15372;A0A087WZK9;B3KS98;E5RJT0;E5RGU4;E5RFH0,O15372;A0A087WZK9;B3KS98;E5RJT0,9;9;9;7;3;1,9;9;9;7;3;1,9;9;9;7;3;1,Eukaryotic translation initiation factor 3 subunit H,EIF3H,sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|A0A087WZK9|A0A087WZK9_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|B3KS98|B,9,9,48.9,352
SBDS,0.0698393582,0.456988113503238,0,Q9Y3A5;A0A087X020;F8WE72,Q9Y3A5;A0A087X020;F8WE72,4;4;2,4;4;2,4;4;2,Ribosome maturation protein SBDS,SBDS,sp|Q9Y3A5|SBDS_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=4;tr|A0A087X020|A0A087X020_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=1;tr|F8WE72|F8WE72_HUMAN Ribosome maturation protein SBD,4,4,20.4,250
HYOU1,0.1261402332,0.389798142356279,0,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2;J3KTF1;Q9BST8;J3QQH7;J3QLE9;J3QL06;A0A087X214;A0A087WW13,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2,12;12;12;10;10;10;3;2;2;2;2;1;1,12;12;12;10;10;10;3;2;2;2;2;1;1,12;12;12;10;10;10;3;2;2;2;2;1;1,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087X054|A0A087X054_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A494C039|A0A494C039_HUMAN Hypoxia up-regulated pro,12,12,17.6,999
SLC4A1AP,-0.1526366058,0.353866986208034,0,Q9BWU0;A0A087X0M4;A0A087WWF4,Q9BWU0;A0A087X0M4;A0A087WWF4,2;2;1,2;2;1,2;2;1,Kanadaptin,SLC4A1AP,sp|Q9BWU0|NADAP_HUMAN Kanadaptin OS=Homo sapiens OX=9606 GN=SLC4A1AP PE=1 SV=1;tr|A0A087X0M4|A0A087X0M4_HUMAN Kanadaptin OS=Homo sapiens OX=9606 GN=SLC4A1AP PE=1 SV=1;tr|A0A087WWF4|A0A087WWF4_HUMAN Kanadaptin (Fragment) OS=Homo sapiens OX=9606 GN=SLC4A1AP ,2,2,3.4,796
SNX12,-0.3661807436,0.0986077933596061,0,Q9UMY4;A0A087X0R6,Q9UMY4;A0A087X0R6,5;5,5;5,4;4,Sorting nexin-12,SNX12,sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=4;tr|A0A087X0R6|A0A087X0R6_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=1,5,4,34,162
ACOT1;ACOT2,-0.4144426032,0.0525321163511176,0,Q86TX2;G3V4F2;A0A087X0W7;P49753;A0A087WT95;A0A2R8Y7H3,Q86TX2;G3V4F2;A0A087X0W7;P49753;A0A087WT95,8;8;8;7;7;2,8;8;8;7;7;2,8;8;8;7;7;2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT1;ACOT2,"sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2, ",8,8,26.6,421
RELA,-0.2881835432,0.0527612972359646,0,Q04206;Q2TAM5;E9PKH5;A0A087X0W8;E9PKV4;A0A087WVP0;E9PM47;E9PNK5;E9PN69;E9PNV4;E9PMD5;E9PI38;E9PQS6,Q04206;Q2TAM5;E9PKH5;A0A087X0W8;E9PKV4;A0A087WVP0,3;3;3;3;2;2;1;1;1;1;1;1;1,3;3;3;3;2;2;1;1;1;1;1;1;1,3;3;3;3;2;2;1;1;1;1;1;1;1,Transcription factor p65,RELA,sp|Q04206|TF65_HUMAN Transcription factor p65 OS=Homo sapiens OX=9606 GN=RELA PE=1 SV=2;tr|Q2TAM5|Q2TAM5_HUMAN RELA protein OS=Homo sapiens OX=9606 GN=RELA PE=1 SV=1;tr|E9PKH5|E9PKH5_HUMAN Transcription factor p65 (Fragment) OS=Homo sapiens OX=9606 GN=RELA,3,3,11.8,551
