Gene_names,POC1B_vs_BirA_logFC,POC1B_vs_BirA_pval,ID,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_POC1B_N1,Peptides_POC1B_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_POC1B_N1,Razor___unique_peptides_POC1B_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_POC1B_N1,Unique_peptides_POC1B_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_POC1B_N1,Identification_type_POC1B_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_POC1B_N1,Ratio_H_L_POC1B_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_POC1B_N1,Ratio_H_L_normalized_POC1B_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____POC1B_N1,Ratio_H_L_variability_____POC1B_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_POC1B_N1,Ratio_H_L_count_POC1B_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_POC1B_N1,Ratio_H_L_iso_count_POC1B_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_POC1B_N1,Ratio_H_L_type_POC1B_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_POC1B_N1____,Sequence_coverage_POC1B_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_POC1B_N1,Intensity_L_POC1B_N1,Intensity_H_POC1B_N1,Intensity_POC1B_N2,Intensity_L_POC1B_N2,Intensity_H_POC1B_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_POC1B_N1,metacell_Intensity_L_POC1B_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
PLS3,-0.610444582614722,0.0606277783385858,protein_129,P13797;A0A0A0MSQ0;U3KQI3;H7C4N2;Q5TBN3,P13797;A0A0A0MSQ0,6;6;2;2;1,6;6;2;2;1,4;4;1;1;0,Plastin-3,sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4;tr|A0A0A0MSQ0|A0A0A0MSQ0_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=1,5,6,6,4,4,4,3,4,4,4,3,4,3,3,2,3,11.1,11.1,7.1,70.81,630,630;617;164;190;246,0.0,19.747,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44542,1.0853,14.068,15,1,Leave out requantified,0.38492,0.45494,0.49974,0.49111,1.1062,1.2205,1.0576,1.0953,8.2566,4.7807,31.494,18.907,4,4,3,4,0,1,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,7.6,7.8,5.6,7.1,561880000,381390000,180480000,149810000,105750000,44061000,208710000,145120000,63592000,92110000,60671000,31439000,111250000,69856000,41393000,,,,128,1809;1975;6056;9840;10185;15443,True;True;True;True;True;True,1896;2070;6337;10316;10687;16202,5756;5757;6262;6263;18374;18375;18376;29799;29800;30838;30839;46574;46575;46576;46577,11431;12405;12406;12407;12408;35963;57368;57369;57370;59231;59232;59233;59234;59235;90119;90120;90121;90122;90123;90124;90125,11431;12407;35963;57370;59235;90119,,,,,-1;-1;-1;-1;-1,protein_129,quanti,quanti,quanti,quanti
PITPNB,-0.973791662231331,0.0107347976915758,protein_131,P48739;B3KYB6;A0A0A0MSW4;B3KYB7;Q00169;I3L3W1;I3L2X8;I3L471;I3L4C0;I3L4U7;I3L459;I3L4H1;F5GWE5,P48739;B3KYB6;A0A0A0MSW4;B3KYB7,4;4;4;3;1;1;1;1;1;1;1;1;1,4;4;4;3;1;1;1;1;1;1;1;1;1,4;4;4;3;1;1;1;1;1;1;1;1;1,Phosphatidylinositol transfer protein beta isoform,sp|P48739|PIPNB_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2;tr|B3KYB6|B3KYB6_HUMAN Phosphatidylinositol transfer protein beta isoform (Fragment) OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=1;tr|A0A0A0M,13,4,4,4,2,2,3,4,2,2,3,4,2,2,3,4,20.3,20.3,20.3,31.54,271,271;120;271;167;270;44;83;98;115;121;142;209;270,0.0,7.2695,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37367,0.80755,37.835,13,3,Leave out requantified,0.47785,0.35104,0.31099,0.43238,1.7196,0.97921,0.67548,0.94994,34.561,75.328,42.351,8.6874,3,3,3,4,2,1,0,0,Median,Median,Leave out requantified,Leave out requantified,8.1,8.1,15.9,20.3,855040000,642280000,212770000,284820000,212180000,72639000,310620000,244000000,66616000,120250000,88837000,31414000,139350000,97257000,42098000,,,,130,1953;9816;12582;13856,True;True;True;True,2048;10292;13207;14525,6204;6205;6206;6207;29738;29739;29740;29741;29742;29743;37804;37805;41609,12323;12324;12325;12326;12327;12328;12329;12330;57260;57261;57262;57263;57264;57265;57266;57267;72481;80115,12326;57263;72481;80115,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_131,quanti,quanti,quanti,quanti
IVD,-0.901378526527868,0.0200898397888942,protein_134,P26440;A0A0A0MT83;A0A0S2Z4K7;H0YLC3;H7C4G6;H0YKV0;H0YN10;A0A087WVD3,P26440;A0A0A0MT83;A0A0S2Z4K7;H0YLC3,7;7;6;4;3;2;2;1,7;7;6;4;3;2;2;1,7;7;6;4;3;2;2;1,"Isovaleryl-CoA dehydrogenase, mitochondrial","sp|P26440|IVD_HUMAN Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2;tr|A0A0A0MT83|A0A0A0MT83_HUMAN Isovaleryl-CoA dehydrogenase isoform 1 OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2;tr|A0A0S2Z4K7|A0A0S2Z4K7_HUMAN Isovalery",8,7,7,7,5,5,2,3,5,5,2,3,5,5,2,3,19.5,19.5,19.5,46.65,426,426;423;393;243;307;145;212;211,0.0,8.9561,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40853,0.9134,13.405,13,6,Leave out requantified,0.35563,0.41258,0.45531,0.41354,0.95655,1.0199,0.91284,0.84355,19.854,1.308,2.4224,24.392,4,4,2,3,3,1,1,1,Median,Leave out requantified,Median,Median,11.3,12.0,5.4,11.0,306680000,205940000,100740000,99889000,72788000,27101000,112470000,71232000,41242000,44981000,29570000,15411000,49340000,32352000,16989000,,,,133,508;3649;4485;5829;9321;9467;13103,True;True;True;True;True;True;True,522;3805;4679;6093;9772;9929;13747,1507;10980;10981;13532;13533;13534;17569;17570;17571;28299;28776;28777;28778;28779;39371,2902;21272;21273;26386;26387;26388;26389;26390;34312;34313;34314;54459;55463;55464;55465;55466;75428,2902;21272;26389;34312;54459;55465;75428,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_134,quanti,quanti,quanti,quanti
ILK,-0.653584901134426,0.113070820146499,protein_137,Q13418;A0A0A0MTH3;A0A087WWY6,Q13418;A0A0A0MTH3,4;4;1,4;4;1,4;4;1,Integrin-linked protein kinase,sp|Q13418|ILK_HUMAN Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=2;tr|A0A0A0MTH3|A0A0A0MTH3_HUMAN Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=1,3,4,4,4,2,2,3,3,2,2,3,3,2,2,3,3,10.2,10.2,10.2,51.419,452,452;483;111,0.0,5.144,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.85087,1.5841,22.795,8,0,Leave out requantified,0.59577,0.7951,0.82232,1.0862,1.4608,1.6112,1.5168,2.0905,16.465,33.964,2.1958,30.899,2,2,2,2,0,0,0,0,Median,Median,Median,Median,5.3,5.3,7.5,7.1,99407000,55914000,43493000,31191000,20380000,10811000,30993000,16641000,14352000,17174000,8441700,8732700,20048000,10451000,9597000,,,,136,3331;4737;8661;11698,True;True;True;True,3479;4947;9096;12282,10076;10077;14326;14327;14328;26415;35175;35176;35177;35178,19517;19518;19519;27927;27928;27929;27930;27931;51109;67536;67537;67538;67539;67540,19518;27930;51109;67538,,,,,-1;-1;-1,protein_137,quanti,quanti,quanti,quanti
ADSL,-1.017071620437,0.048194517731491,protein_142,P30566;A0A1B0GWJ0;A0A1B0GTJ7;A0A0A6YY92;A0A096LNY6;A0A096LNY5;A0A1B0GTG9;A0A1B0GWF8;B4DEP1;A0A1W2PRX2;A0A096LP72;A0A096LNY4;V9GY96;A0A096LP92;A0A096LP76;A0A096LPA2,P30566;A0A1B0GWJ0;A0A1B0GTJ7;A0A0A6YY92;A0A096LNY6;A0A096LNY5;A0A1B0GTG9;A0A1B0GWF8,6;6;6;6;4;3;3;3;2;2;2;2;1;1;1;1,6;6;6;6;4;3;3;3;2;2;2;2;1;1;1;1,6;6;6;6;4;3;3;3;2;2;2;2;1;1;1;1,Adenylosuccinate lyase,sp|P30566|PUR8_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2;tr|A0A1B0GWJ0|A0A1B0GWJ0_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=1;tr|A0A1B0GTJ7|A0A1B0GTJ7_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9,16,6,6,6,4,5,3,3,4,5,3,3,4,5,3,3,17.6,17.6,17.6,54.889,484,484;480;480;498;360;262;377;403;127;142;149;164;57;78;102;133,0.0,6.8761,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29162,0.77404,23.244,15,3,Leave out requantified,0.23594,0.26387,0.39808,0.44534,0.7338,0.76521,0.82523,0.95677,61.75,3.3873,44.744,40.25,4,5,3,3,1,2,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,11.6,17.6,8.5,8.5,448310000,327780000,120540000,106790000,79513000,27273000,218160000,158670000,59494000,57228000,39905000,17323000,66140000,49690000,16450000,,,,141,89;488;3582;14858;14859;15695,True;True;True;True;True;True,89;501;3737;15588;15589;16459,222;223;224;225;1440;1441;1442;1443;10786;44792;44793;44794;44795;47292;47293,363;364;365;2787;2788;2789;20893;86621;86622;86623;91422;91423,365;2788;20893;86622;86623;91422,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_142,quanti,quanti,quanti,quanti
TMED7;TMED7-TICAM2,0.22208651292808,0.468149399264074,protein_144,Q9Y3B3;A0A0A6YYA0,Q9Y3B3;A0A0A6YYA0,2;2,2;2,2;2,Transmembrane emp24 domain-containing protein 7,sp|Q9Y3B3|TMED7_HUMAN Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens OX=9606 GN=TMED7 PE=1 SV=2;tr|A0A0A6YYA0|A0A0A6YYA0_HUMAN Protein TMED7-TICAM2 OS=Homo sapiens OX=9606 GN=TMED7-TICAM2 PE=3 SV=1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,10.3,10.3,10.3,25.171,224,224;188,0.0,2.2204,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48172,1.1182,21.883,4,1,Median,0.34361,0.38572,0.61654,0.60161,0.97005,0.85282,1.289,1.3372,,,,,1,1,1,1,1,0,0,0,Median,Median,Median,Median,4.5,4.5,5.8,4.5,87863000,55064000,32800000,22682000,14310000,8371800,19617000,14044000,5573100,19547000,11820000,7727100,26018000,14891000,11127000,,,,143,3298;12855,True;True,3446;13494,9989;38621;38622;38623,19333;73956;73957,19333;73957,,,,,-1;-1,protein_144,quanti,quanti,quanti,quanti
LUC7L2,1.02547899509431,0.00715457498966956,protein_145,Q9Y383;A0A0A6YYJ8;B8ZZ10;A8MYV2,Q9Y383;A0A0A6YYJ8,5;5;2;2,5;5;2;2,3;3;0;0,Putative RNA-binding protein Luc7-like 2,sp|Q9Y383|LC7L2_HUMAN Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=1 SV=2;tr|A0A0A6YYJ8|A0A0A6YYJ8_HUMAN Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=4 SV=1,4,5,5,3,1,2,5,4,1,2,5,4,0,1,3,2,19.9,19.9,12.5,46.513,392,392;458;182;272,0.0,8.9554,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40791,0.87722,16.955,12,2,Leave out requantified,0.34771,0.3971,0.43221,0.38688,1.2509,1.0143,0.88949,0.79637,,1.0365,27.909,23.592,1,2,5,4,0,0,1,1,Median,Median,Leave out requantified,Leave out requantified,4.3,10.5,19.9,17.6,379830000,257870000,121960000,62070000,45218000,16851000,74884000,52402000,22482000,131260000,90076000,41184000,111610000,70170000,41443000,,,,144,8075;10754;12016;14157;14252,True;True;True;True;True,8492;11279;12616;14837;14933,24653;32533;32534;36101;36102;42544;42545;42546;42547;42778;42779;42780,47790;62651;62652;69271;69272;69273;69274;82106;82107;82108;82109;82110;82111;82112;82113;82114;82115;82116;82117;82532,47790;62652;69272;82113;82532,,,,,-1;-1;-1;-1,protein_145,quanti,quanti,quanti,quanti
NAA15,-0.482670306476766,0.561205538829358,protein_147,Q9BXJ9;A0A0B4J1W3,Q9BXJ9;A0A0B4J1W3,3;3,3;3,3;3,"N-alpha-acetyltransferase 15, NatA auxiliary subunit","sp|Q9BXJ9|NAA15_HUMAN N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1;tr|A0A0B4J1W3|A0A0B4J1W3_HUMAN N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1",2,3,3,3,2,1,1,2,2,1,1,2,2,1,1,2,3.5,3.5,3.5,101.27,866,866;865,0.0,4.6764,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36195,1.0116,25.414,6,4,Median,0.29952,0.39423,0.51277,0.38849,0.95611,0.98915,1.076,0.82904,11.158,,,50.76,2,1,1,2,1,0,1,2,Median,Median,Median,Median,2.4,1.3,1.3,2.3,165090000,117950000,47145000,65230000,48246000,16983000,32194000,24666000,7528600,20668000,11809000,8858700,46999000,33224000,13775000,,,,146,1090;10355;16128,True;True;True,1135;10864;16908,3377;31340;48549;48550;48551;48552,6570;60259;93869;93870;93871;93872,6570;60259;93870,,,,,-1;-1,protein_147,quanti,quanti,quanti,quanti
SRSF7,2.45298849000456,0.000800042853094831,protein_149,Q16629;A0A0B4J1Z1;C9JAB2,Q16629;A0A0B4J1Z1;C9JAB2,3;3;3,3;3;3,3;3;3,Serine/arginine-rich splicing factor 7,sp|Q16629|SRSF7_HUMAN Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|A0A0B4J1Z1|A0A0B4J1Z1_HUMAN Serine/arginine-rich-splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|C9JAB2|C9JAB2_HUMAN Serine/arginine-,3,3,3,3,1,1,3,3,1,1,3,3,1,1,3,3,16.0,16.0,16.0,27.366,238,238;137;235,0.0,58.694,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47432,1.102,23.738,8,1,Leave out requantified,0.21037,0.34509,0.47541,0.47324,0.77145,1.0022,1.0855,1.1187,,,23.055,23.751,1,1,3,3,0,1,0,0,Median,Median,Leave out requantified,Leave out requantified,3.8,7.1,16.0,16.0,1138400000,771880000,366520000,94768000,76237000,18531000,88730000,66263000,22467000,544320000,353860000,190460000,410580000,275520000,135060000,,,,148,529;15113;15476,True;True;True,543;15852;16236,1557;1558;1559;45508;45509;46666;46667;46668,2986;2987;2988;2989;2990;2991;2992;2993;2994;87990;87991;87992;87993;90285;90286;90287;90288;90289;90290;90291;90292;90293,2994;87991;90289,,,,,-1;-1;-1,protein_149,quanti,quanti,quanti,quanti
TCEB2,-0.666911275584663,0.0307225993450428,protein_152,Q15370;A0A0B4J296;B8ZZU8;I3L0M9,Q15370;A0A0B4J296;B8ZZU8;I3L0M9,4;4;2;2,4;4;2;2,4;4;2;2,Transcription elongation factor B polypeptide 2,sp|Q15370|ELOB_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1;tr|A0A0B4J296|A0A0B4J296_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1;tr|B8ZZU8|B8ZZU8_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1;tr|I3L0M9|I3L0M9_HUMAN El,4,4,4,4,3,3,4,4,3,3,4,4,3,3,4,4,19.5,19.5,19.5,13.133,118,118;66;113;140,0.0,5.0575,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.99255,1.8458,19.144,14,0,Leave out requantified,0.72711,0.96665,1.07,1.1083,1.8079,1.7918,2.0713,1.9593,34.821,36.231,19.268,20.916,3,3,4,4,0,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,13.6,13.6,19.5,19.5,311630000,160550000,151080000,79853000,45944000,33909000,124290000,60794000,63501000,59724000,30158000,29566000,47753000,23652000,24101000,,,,151,6671;6672;9652;9653,True;True;True;True,6979;6980;10124;10125,20223;20224;20225;20226;20227;20228;29303;29304;29305;29306;29307;29308;29309;29310,39352;39353;39354;39355;39356;39357;39358;39359;39360;56431;56432;56433;56434;56435;56436;56437;56438;56439;56440;56441;56442;56443;56444;56445;56446,39356;39360;56434;56440,,,,,-1;-1;-1;-1,protein_152,quanti,quanti,quanti,quanti
RPS15,1.63914111692976,0.00326383589405003,protein_153,P62841;K7EM56;A0A0B4J2B4;S4R417;K7ELC2;S4R456;K7EJ78;K7EQJ5,P62841;K7EM56;A0A0B4J2B4;S4R417;K7ELC2;S4R456;K7EJ78;K7EQJ5,4;4;4;4;4;3;3;3,4;4;4;4;4;3;3;3,4;4;4;4;4;3;3;3,40S ribosomal protein S15,sp|P62841|RS15_HUMAN 40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=2;tr|K7EM56|K7EM56_HUMAN 40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=2;tr|A0A0B4J2B4|A0A0B4J2B4_HUMAN 40S ribosomal protein S15 OS=Homo sapiens O,8,4,4,4,2,1,3,3,2,1,3,3,2,1,3,3,42.8,42.8,42.8,17.04,145,145;112;118;135;152;68;129;141,0.0,2.5689,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52683,1.1016,25.589,12,3,Leave out requantified,0.43418,0.26071,0.52683,0.31605,1.1242,0.72829,1.1016,0.70718,56.261,,24.179,23.024,2,1,5,4,1,0,1,1,Median,Median,Leave out requantified,Median,31.7,18.6,34.5,40.0,466390000,331900000,134490000,59189000,43419000,15770000,66863000,51206000,15657000,160130000,104860000,55277000,180210000,132420000,47791000,,,,152,2450;2670;13168;13271,True;True;True;True,2564;2795;13816;13817;13923,7635;7636;7637;7638;8249;39566;39567;39568;39569;39570;39571;39895,14997;14998;14999;15000;15001;15002;15003;15004;15005;15006;15007;15008;16108;75877;75878;75879;75880;75881;75882;75883;75884;75885;75886;75887;75888;76600,14997;16108;75879;76600,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_153,quanti,quanti,quanti,quanti
TPT1,0.390147580049963,0.170733410977036,protein_154,P13693;Q5W0H4;A0A0B4J2C3;J3KPG2;E9PJF7;Q56UQ5;Q9HAU6;H0YCX0,P13693;Q5W0H4;A0A0B4J2C3;J3KPG2;E9PJF7,10;10;10;6;6;3;1;1,10;10;10;6;6;3;1;1,10;10;10;6;6;3;1;1,Translationally-controlled tumor protein,sp|P13693|TCTP_HUMAN Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1;tr|Q5W0H4|Q5W0H4_HUMAN Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1;tr|A0A0B4J2C3|A0A0B4J2C3_HUMAN Translationally,8,10,10,10,6,8,7,6,6,8,7,6,6,8,7,6,35.5,35.5,35.5,19.595,172,172;188;197;160;162;140;139;77,0.0,75.226,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34079,0.9781,22.889,30,7,Leave out requantified,0.3009,0.23706,0.47583,0.42649,1.0034,0.61641,1.053,1.0082,13.063,14.931,8.1422,35.162,6,8,8,8,2,3,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,31.4,31.4,28.5,28.5,2179800000,1557900000,621910000,474330000,357050000,117270000,530450000,396190000,134260000,700280000,476150000,224130000,474700000,328460000,146250000,,,,153,2389;2390;2808;5308;6424;9828;9829;14626;14627;15893,True;True;True;True;True;True;True;True;True;True,2500;2501;2936;5545;6721;10304;10305;15342;15343;16662,7428;7429;7430;7431;7432;7433;7434;7435;7436;7437;7438;8612;8613;8614;8615;16034;19459;19460;19461;19462;19463;19464;29777;29778;29779;44053;44054;44055;44056;44057;44058;47859;47860,14613;14614;14615;14616;14617;14618;14619;14620;14621;14622;14623;14624;14625;14626;14627;14628;14629;14630;14631;14632;14633;14634;16824;16825;16826;16827;16828;16829;16830;31196;31197;31198;31199;31200;31201;31202;31203;37965;37966;37967;37968;37969;37970;37971;57326;57327;57328;57329;57330;57331;57332;85105;85106;85107;85108;85109;85110;85111;85112;85113;85114;92460;92461,14630;14633;16830;31199;37968;57328;57331;85113;85114;92461,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_154,quanti,quanti,quanti,quanti
SET,1.01514346266153,0.0627984264311476,protein_158,Q01105;A0A0C4DFV9,Q01105;A0A0C4DFV9,9;9,9;9,3;3,Protein SET,sp|Q01105|SET_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3;tr|A0A0C4DFV9|A0A0C4DFV9_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=1,2,9,9,3,6,5,8,8,6,5,8,8,3,2,2,2,32.1,32.1,19.3,33.488,290,290;266,0.0,62.757,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37284,0.87011,7.7488,34,5,Leave out requantified,0.34135,0.33224,0.38431,0.37441,1.1675,0.96544,0.85865,0.8504,25.613,17.217,11.727,14.918,8,6,10,10,1,1,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,22.4,21.0,29.7,29.7,3629300000,2701400000,927930000,816280000,631720000,184560000,564040000,411390000,152660000,1064600000,764920000,299670000,1184400000,893390000,291050000,,,,157,2731;2732;5667;6341;8965;8966;12003;14262;14851,True;True;True;True;True;True;True;True;True,2858;2859;5927;6635;9407;9408;12603;14945;15581,8428;8429;8430;8431;8432;8433;8434;8435;17113;17114;19222;19223;19224;19225;27255;27256;27257;27258;27259;27260;27261;27262;27263;27264;36073;36074;42820;42821;44766;44767;44768;44769;44770;44771,16470;16471;16472;16473;16474;16475;16476;16477;16478;16479;16480;16481;16482;16483;16484;16485;33437;33438;33439;33440;33441;33442;37559;37560;37561;37562;52521;52522;52523;52524;52525;52526;52527;52528;52529;52530;52531;52532;52533;69218;69219;82620;82621;82622;82623;86570;86571;86572;86573;86574;86575;86576;86577;86578;86579;86580,16476;16480;33440;37562;52525;52532;69219;82623;86570,,,,,-1;-1,protein_158,quanti,quanti,quanti,quanti
