Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF6-N1,Intensity DCAF6-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q8NE71;H0YGW7;Q5STZ8;A0A0G2JIC2,Q8NE71;H0YGW7,14;12;4;3,14;12;4;3,14;12;4;3,ATP-binding cassette sub-family F member 1,ABCF1,sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;tr|H0YGW7|H0YGW7_HUMAN ATP-binding cassette sub-family F member 1 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=1,14,14,20.4,22.6111950421691,22.8625648330266,27.9774920089267,27.7014064129536
Q9UG63;C9JHK9;C9JZV3,Q9UG63;C9JHK9;C9JZV3,8;6;6,8;6;6,8;6;6,ATP-binding cassette sub-family F member 2,ABCF2,sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2;tr|C9JHK9|C9JHK9_HUMAN ATP-binding cassette sub-family F member 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=1;tr|C9JZV3|C9JZV3_HUMAN ATP-b,8,8,16.7,3.85926602610109,3.93616518704728,26.91558820241,26.5749341593783
Q9NUQ8,Q9NUQ8,9,9,9,ATP-binding cassette sub-family F member 3,ABCF3,sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2,9,9,18.1,3.85926602610109,3.93616518704728,26.4675281888522,25.8447212781175
Q96IU4;B4DQI4;F8W9U3,Q96IU4;B4DQI4;F8W9U3,3;2;2,3;2;2,3;2;2,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,3,3,23.3,3.85926602610109,3.93616518704728,25.9899067138378,25.4482141271051
Q8IZP0;B6VEX4;A0A0A0MRT6;H0Y6B5,Q8IZP0;B6VEX4;A0A0A0MRT6,6;6;6;1,6;6;6;1,5;5;5;0,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,6,5,12.6,3.85926602610109,3.93616518704728,26.247750523388,25.8289784289976
O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,17;17;16;16;10;10,17;17;16;16;10;10,3;3;2;2;2;2,Actin-binding LIM protein 1,ABLIM1,sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;tr|A0A3B3IS55|A0A3B3IS55_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;tr|F8W8M4|F8W8M4_HUMAN Actin-binding LIM protein 1 OS=Homo,17,3,25.8,3.85926602610109,3.93616518704728,28.1805397607883,27.8858812213942
I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,2;1;1;1,2;1;1;1,2;1;1;1,,ABR,tr|I3L3W0|I3L3W0_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L259|I3L259_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L2L,2,2,29.3,3.85926602610109,3.93616518704728,23.1248829926369,26.0421406174902
A0A087WYK6,A0A087WYK6,5,2,2,,ACACA,tr|A0A087WYK6|A0A087WYK6_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,5,2,81.6,22.4003603908717,22.9070177580884,23.5321951458799,23.4512362702179
Q13085;Q59FY4;A0A087WWN5;A0A0C4DGT1;A0A087X2F8;A0A087X126;A0A087WYS8,Q13085;Q59FY4,173;89;6;6;3;3;1,173;89;6;6;3;3;1,150;81;6;2;1;1;1,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2;tr|Q59FY4|Q59FY4_HUMAN Acetyl-CoA carboxylase 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,173,150,71.2,34.681595076044,35.1636521686375,33.2174764520269,32.9587488902214
O00763;F8W8T8;H0YGH5;S4R3S7;A0A087WUA1,O00763,57;26;25;5;3,40;21;20;1;3,40;21;20;1;3,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,sp|O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3,57,40,29.7,28.342825315545,29.3992352492579,23.4526193062251,24.7960023656898
Q9H3P7,Q9H3P7,8,8,8,Golgi resident protein GCP60,ACBD3,sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,8,8,20.3,3.85926602610109,3.93616518704728,26.6100630770979,26.9017319939852
S4R3H4;Q9UKV3;E7EQT4;G3V3B0;A0A087WYN3,S4R3H4;Q9UKV3;E7EQT4,16;15;15;6;1,16;15;15;6;1,16;15;15;6;1,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,tr|S4R3H4|S4R3H4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=1;sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2;tr|E7EQT4|E7E,16,16,20.3,3.85926602610109,3.93616518704728,28.0513397312771,27.9819614293041
P53396,P53396,5,5,5,ATP-citrate synthase,ACLY,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,5,5,5.5,3.85926602610109,3.93616518704728,25.354743320895,24.9626108126827
P21399,P21399,5,5,5,Cytoplasmic aconitate hydratase,ACO1,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,5,5,7.5,3.85926602610109,3.93616518704728,25.2578901873642,24.517252237289
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,24.5123773479621,26.0418900480967,30.4787523107101,30.4397594998813
P12814;H9KV75;H7C5W8;G3V2W4;G3V2N5;H0YJW3;H0YJ11;P35609;A0A494C1A0;F6THM6;G3V5M4;G3V2X9;A0A494C060;G3V380,P12814;H9KV75,26;24;10;9;8;7;6;5;5;4;3;3;3;1,26;24;10;9;8;7;6;5;5;4;3;3;3;1,16;14;6;5;5;4;3;1;1;1;1;1;0;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,26,16,39.5,20.9686696053319,21.7584074782591,29.1664338899385,29.0207012120263
Q08043;A0A087WSZ2;D6RH00,Q08043;A0A087WSZ2,4;3;1,2;1;1,2;1;1,Alpha-actinin-3,ACTN3,sp|Q08043|ACTN3_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=2;tr|A0A087WSZ2|A0A087WSZ2_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=1,4,2,7.5,24.3318663225918,24.9962358970674,21.2975969684813,22.2758713885783
O43707;H7C144;F5GXS2;K7EJH8;G3V2E8;Q9H254;A0A494C033;A0A494C166;M0QZQ3;C9JY79,O43707,17;6;6;3;2;1;1;1;1;1,7;3;3;2;0;1;0;0;1;1,7;3;3;2;0;1;0;0;1;1,Alpha-actinin-4,ACTN4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,17,7,25.2,3.85926602610109,3.93616518704728,26.0872773308599,26.8140893512135
Q9UP79,Q9UP79,2,2,2,A disintegrin and metalloproteinase with thrombospondin motifs 8,ADAMTS8,sp|Q9UP79|ATS8_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 8 OS=Homo sapiens OX=9606 GN=ADAMTS8 PE=2 SV=2,2,2,5.4,19.321377645408,25.1566120817291,4.55445633867376,4.43650122396724
P55265,P55265,26,26,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,26,2,29.2,22.606895576943,22.1997633921526,30.2223938094815,29.608248532313
P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2;D6RAH3;D6RF25;D6RJE2;H0YFD8,P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2,9;9;9;6;5;2;2;1;1,9;9;9;6;5;2;2;1;1,9;9;9;6;5;2;2;1;1,Alpha-adducin,ADD1,sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2;tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|E7ENY0|E7ENY0_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|A0A0A0MSR2|A0A0A0M,9,9,18.6,3.85926602610109,3.93616518704728,28.1754565815377,26.9728991761448
Q9UEY8,Q9UEY8,15,15,15,Gamma-adducin,ADD3,sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,15,15,22.7,3.85926602610109,3.93616518704728,28.5375665495567,28.5883151874353
Q9H2P0;A0A669KBJ7;A0A2R8Y6X0;A0A2R8YCL6,Q9H2P0;A0A669KBJ7;A0A2R8Y6X0,32;31;24;5,32;31;24;5,32;31;24;5,Activity-dependent neuroprotector homeobox protein,ADNP,sp|Q9H2P0|ADNP_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1;tr|A0A669KBJ7|A0A669KBJ7_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=4 SV=1;tr|A0A2R8Y6X0|A0A2,32,32,40.6,3.85926602610109,3.93616518704728,29.4197903243114,29.3210063174323
P25098;E9PRV7;P35626;Q8N433,P25098;E9PRV7;P35626;Q8N433,2;2;1;1,2;2;1;1,2;2;1;1,Beta-adrenergic receptor kinase 1;Beta-adrenergic receptor kinase 2,ADRBK1;ADRBK2,sp|P25098|ARBK1_HUMAN Beta-adrenergic receptor kinase 1 OS=Homo sapiens OX=9606 GN=GRK2 PE=1 SV=2;tr|E9PRV7|E9PRV7_HUMAN G protein-coupled receptor kinase OS=Homo sapiens OX=9606 GN=GRK2 PE=1 SV=1;sp|P35626|ARBK2_HUMAN Beta-adrenergic receptor kinase 2 OS=,2,2,5.8,21.9880280945143,21.8516331547027,23.6132813179126,22.7099243519915
Q9UHB7;C9JCE0,Q9UHB7,9;2,9;2,9;2,AF4/FMR2 family member 4,AFF4,sp|Q9UHB7|AFF4_HUMAN AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1,9,9,10.7,3.85926602610109,3.93616518704728,26.8337627702679,26.4732382758418
Q6ULP2;B8ZZI9;A0A0A0MSN6,Q6ULP2;B8ZZI9,9;5;2,9;5;2,9;5;2,Aftiphilin,AFTPH,sp|Q6ULP2|AFTIN_HUMAN Aftiphilin OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=3;tr|B8ZZI9|B8ZZI9_HUMAN Aftiphilin (Fragment) OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=2,9,9,14.3,3.85926602610109,3.93616518704728,27.6949137442986,27.195635785423
P52594;C9J2I0;B8ZZY2,P52594;C9J2I0;B8ZZY2,6;5;5,6;5;5,6;5;5,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,sp|P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2;tr|C9J2I0|C9J2I0_HUMAN Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=8;tr|B8ZZY2|B8ZZ,6,6,17.4,3.85926602610109,3.93616518704728,27.4186046493561,27.0851712654646
Q8WYP5;H7C4S1,Q8WYP5,23;1,23;1,23;1,Protein ELYS,AHCTF1,sp|Q8WYP5|ELYS_HUMAN Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,23,23,14.5,3.85926602610109,3.93616518704728,28.5979701236679,28.1924410705973
O43865;H0Y8B3,O43865;H0Y8B3,6;4,6;4,2;0,Putative adenosylhomocysteinase 2;Adenosylhomocysteinase,AHCYL1;AHCYL2,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,12.1,3.85926602610109,3.93616518704728,26.6035695268123,26.3900490072837
Q09666;E9PKR9;E9PLK4;E9PJZ0;E9PJC6;E9PQE3;P48552,Q09666,408;5;5;4;4;3;1,408;5;5;4;4;3;1,407;5;5;4;4;3;1,Neuroblast differentiation-associated protein AHNAK,AHNAK,sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,408,407,81.2,31.776588099514,32.0089517819139,38.3796768066688,38.2888112740359
Q8IVF2,Q8IVF2,179,178,178,Protein AHNAK2,AHNAK2,sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,179,178,58.1,26.5185734416814,26.4618422387105,34.7174807466466,34.4209148100433
O95433;G3V438;H0YJU2;H0YJG7;H0YJ63;G3V3W9,O95433;G3V438,11;8;5;5;3;2,11;8;5;5;3;2,11;8;5;5;3;2,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr|G3V438|G3V438_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,11,11,42.6,23.6965728155742,23.0078026965434,29.2660206438674,29.3239074606194
Q13155;A8MU58,Q13155;A8MU58,2;2,2;2,2;2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,sp|Q13155|AIMP2_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2;tr|A8MU58|A8MU58_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=A,2,2,15.0,3.85926602610109,3.93616518704728,27.0573436369337,23.4402507487947
O00170;V9GYQ3;E9PMH2,O00170;V9GYQ3;E9PMH2,6;3;3,6;3;3,6;3;3,AH receptor-interacting protein,AIP,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2;tr|V9GYQ3|V9GYQ3_HUMAN AH receptor-interacting protein (Fragment) OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=1;tr|E9PMH2|E9PMH2_HUMAN Peptidylprolyl isomerase (Fragmen,6,6,27.0,23.6375464710067,24.8656132164364,4.55445633867376,4.43650122396724
Q92667;I3L0W0;I3L2A2;I3L2N7;I3L0K6;I3L364;I3L3K1;I3NI36,Q92667,19;9;7;7;5;3;2;1,19;9;7;7;5;3;2;1,19;9;7;7;5;3;2;1,"A-kinase anchor protein 1, mitochondrial",AKAP1,"sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",19,19,29.6,3.85926602610109,3.93616518704728,28.6102743320158,28.429819436852
Q02952,Q02952,20,20,20,A-kinase anchor protein 12,AKAP12,sp|Q02952|AKA12_HUMAN A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,20,20,18.5,3.85926602610109,3.93616518704728,28.6428569685844,28.0702499496946
Q02040;X6RAJ1,Q02040;X6RAJ1,2;1,2;1,2;1,A-kinase anchor protein 17A,AKAP17A,sp|Q02040|AK17A_HUMAN A-kinase anchor protein 17A OS=Homo sapiens OX=9606 GN=AKAP17A PE=1 SV=2;tr|X6RAJ1|X6RAJ1_HUMAN A-kinase anchor protein 17A OS=Homo sapiens OX=9606 GN=AKAP17A PE=1 SV=1,2,2,5.2,30.5600141094614,31.1989445856262,23.2019480018814,24.0544240918961
Q9Y2D5,Q9Y2D5,32,32,6,A-kinase anchor protein 2,AKAP2,sp|Q9Y2D5|AKAP2_HUMAN A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,32,6,50.1,22.2666343481671,22.0543075412787,32.1911647318126,31.9604070414458
P51648;J3QRD1;A0A5F9ZI12;A0A5F9ZHI5;A0A5F9ZGX4;A0A5F9ZHN9;I3L1M4;A0A5K1VW72;J3QS00;A0A5F9ZHZ9,P51648;J3QRD1;A0A5F9ZI12;A0A5F9ZHI5;A0A5F9ZGX4;A0A5F9ZHN9;I3L1M4;A0A5K1VW72,3;3;3;3;3;3;2;2;1;1,3;3;3;3;3;3;2;2;1;1,3;3;3;3;3;3;2;2;1;1,Fatty aldehyde dehydrogenase,ALDH3A2,sp|P51648|AL3A2_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|J3QRD1|J3QRD1_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|A0A5F9ZI12|A0A5F9ZI12_HUMAN Aldehy,3,3,8.0,3.85926602610109,3.93616518704728,25.3963021742974,25.1967053728
Q8TCU4;A0A087WV20;A0A087WTU9;H7C1D9;A0A494BZW1,Q8TCU4;A0A087WV20;A0A087WTU9,48;48;48;21;7,48;48;48;21;7,48;48;48;21;7,Alstrom syndrome protein 1,ALMS1,sp|Q8TCU4|ALMS1_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=4;tr|A0A087WV20|A0A087WV20_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=1;tr|A0A087WTU9|A0A087WTU9_HUMAN Alstrom syndrome protein 1 OS=Ho,48,48,18.9,3.85926602610109,3.93616518704728,29.9747325947833,29.2051310810445
Q86V81;E9PB61,Q86V81;E9PB61,3;3,3;3,3;3,THO complex subunit 4,ALYREF,sp|Q86V81|THOC4_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3;tr|E9PB61|E9PB61_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1,3,3,17.1,3.85926602610109,3.93616518704728,24.9518040577262,24.9272339790603
Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;E9PJF6;A0A590UJX5;E9PIJ1;H0YF16,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,10,10,13.7,3.85926602610109,3.93616518704728,27.355146740306,27.163653668047
Q9H1A4;H0Y564;F8WAS1;A0A2R8YF63,Q9H1A4;H0Y564,12;7;1;1,12;7;1;1,12;7;1;1,Anaphase-promoting complex subunit 1,ANAPC1,sp|Q9H1A4|APC1_HUMAN Anaphase-promoting complex subunit 1 OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1;tr|H0Y564|H0Y564_HUMAN Anaphase-promoting complex subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1,12,12,7.8,23.3826012538891,23.9137864156398,26.9828318992247,25.8544086356758
Q9UJX5;D6RAP6;D6RFM7,Q9UJX5,12;3;2,12;3;2,12;3;2,Anaphase-promoting complex subunit 4,ANAPC4,sp|Q9UJX5|APC4_HUMAN Anaphase-promoting complex subunit 4 OS=Homo sapiens OX=9606 GN=ANAPC4 PE=1 SV=2,12,12,20.4,3.85926602610109,3.93616518704728,27.3608497626598,26.7960023656898
