Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF4-N1,Intensity DCAF4-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
P05023,P05023,4,4,2,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,sp|P05023|AT1A1_HUMAN Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,4,2,4.4,4.28381434908204,4.2995252600849,25.925220289732,25.1173558434994
H7C5W9;P16615,H7C5W9;P16615,2;1,2;1,2;1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,tr|H7C5W9|H7C5W9_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1;sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,2,2,3.3,4.28381434908204,4.2995252600849,24.0383356317693,21.1735307515394
Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,BRISC and BRCA1-A complex member 1,BABAM1,sp|Q9NWV8|BABA1_HUMAN BRISC and BRCA1-A complex member 1 OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0QYV1|M0QYV1_HUMAN BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R3F4|M0R3F4_HUMAN BRISC and BRCA1-A c,2,2,5.8,4.28381434908204,4.2995252600849,23.1558249845697,24.2188931003175
Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Bcl-2-like protein 2,BCL2L2,sp|Q92843|B2CL2_HUMAN Bcl-2-like protein 2 OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=2;tr|G3V3B7|G3V3B7_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=1;tr|G3V3G8|G3V3G8_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens,2,2,16.6,23.5375369281656,23.4780309274913,25.7820429794854,25.5113822922466
P54132;H0YNU5;A0A3B3IT82,P54132;H0YNU5;A0A3B3IT82,2;2;2,2;2;2,2;2;2,Bloom syndrome protein,BLM,sp|P54132|BLM_HUMAN Bloom syndrome protein OS=Homo sapiens OX=9606 GN=BLM PE=1 SV=1;tr|H0YNU5|H0YNU5_HUMAN Bloom syndrome protein OS=Homo sapiens OX=9606 GN=BLM PE=1 SV=1;tr|A0A3B3IT82|A0A3B3IT82_HUMAN Bloom syndrome protein OS=Homo sapiens OX=9606 GN=BLM,2,2,1.2,25.3223050316121,25.5160200250488,23.5979846617366,22.3126027023466
Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|H3BPT9|H3BPT9_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV,2,2,29.1,25.264312301405,23.619636999982,24.2604050335537,23.1003870803596
Q9UPA5,Q9UPA5,2,2,2,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,2,2,0.9,4.28381434908204,4.2995252600849,23.7839669896107,24.735467191381
O43684;J3QSX4;J3QT28,O43684;J3QSX4;J3QT28,2;2;2,2;2;2,2;2;2,Mitotic checkpoint protein BUB3,BUB3,sp|O43684|BUB3_HUMAN Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1;tr|J3QSX4|J3QSX4_HUMAN Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1;tr|J3QT28|J3QT28_HUMAN Mitotic checkpoint protein BUB3 (Fragment,2,2,9.1,23.7862624475984,22.6949164003371,4.44574164211784,4.39522505029433
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,23.9373278386129,24.0597794716897,23.4612646017837,24.3673971534476
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ELS0|K7ELS0_HUMAN Telomerase RNA component-interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ERU7|K7ERU7_HUMAN Telomerase RNA comp,2,2,21.6,22.2275853918574,23.4327916013218,24.7162819267612,24.0197949881964
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,4.28381434908204,4.2995252600849,25.0958826956397,24.3178966976681
Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,2;2;2;1,2;2;2;1,2;2;2;1,Protein C9orf72,C9orf72,sp|Q96LT7|CI072_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=2;tr|A0A5F9ZHW7|A0A5F9ZHW7_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=1;tr|A0A2R8Y5K2|A0A2R8Y5K2_HUMAN Guanine nu,2,2,7.1,4.28381434908204,4.2995252600849,22.7286853344371,21.588431001611
Q9NY47;C9JE82;C9JVC9,Q9NY47;C9JE82;C9JVC9,2;2;2,2;2;2,2;2;2,Voltage-dependent calcium channel subunit alpha-2/delta-2;Voltage-dependent calcium channel subunit alpha-2-2;Voltage-dependent calcium channel subunit delta-2,CACNA2D2,sp|Q9NY47|CA2D2_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Homo sapiens OX=9606 GN=CACNA2D2 PE=1 SV=2;tr|C9JE82|C9JE82_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Homo sapiens OX=9606 GN=CACNA2D2 PE=1 SV=1;tr|,2,2,1.9,4.28381434908204,4.2995252600849,25.146862750874,24.9605796559832
Q13555;Q8WU40;Q5SWX3;A0A2Q3DQE3;Q13554;H0Y6G2;H7C394,Q13555;Q8WU40;Q5SWX3;A0A2Q3DQE3;Q13554;H0Y6G2,3;3;3;3;2;2;1,3;3;3;3;2;2;1,2;2;2;2;1;2;1,Calcium/calmodulin-dependent protein kinase type II subunit gamma;Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK2G;CAMK2B,sp|Q13555|KCC2G_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=4;tr|Q8WU40|Q8WU40_HUMAN CAMK2G protein (Fragment) OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=2;tr|Q5SWX3|Q5SWX3_HUMAN Calcium/,3,2,5.9,4.28381434908204,4.2995252600849,24.916021208057,23.8738953948087
P07384;E9PLX0;E9PJJ3;E9PLC9;E9PMC6;E9PJA6;E9PSA6;E9PQB3;E9PRM1;E9PIA9,P07384;E9PLX0;E9PJJ3;E9PLC9;E9PMC6;E9PJA6;E9PSA6;E9PQB3;E9PRM1;E9PIA9,2;2;2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;2;2;1,Calpain-1 catalytic subunit,CAPN1,sp|P07384|CAN1_HUMAN Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1;tr|E9PLX0|E9PLX0_HUMAN Calpain-1 catalytic subunit (Fragment) OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1;tr|E9PJJ3|E9PJJ3_HUMAN Calpain-1 catalytic subunit (Fragmen,2,2,3.9,23.2615532190826,23.5519743614948,4.44574164211784,4.39522505029433
O15234;J3KSY7,O15234;J3KSY7,2;1,2;1,2;1,Protein CASC3,CASC3,sp|O15234|CASC3_HUMAN Protein CASC3 OS=Homo sapiens OX=9606 GN=CASC3 PE=1 SV=2;tr|J3KSY7|J3KSY7_HUMAN Protein CASC3 (Fragment) OS=Homo sapiens OX=9606 GN=CASC3 PE=1 SV=1,2,2,4.6,24.4514249441266,23.7768578835156,22.5136186974158,22.0453024020927
Q8IWP9;B4DUJ5,Q8IWP9;B4DUJ5,2;2,2;2,2;2,Coiled-coil domain-containing protein 28A,CCDC28A,sp|Q8IWP9|CC28A_HUMAN Coiled-coil domain-containing protein 28A OS=Homo sapiens OX=9606 GN=CCDC28A PE=1 SV=1;tr|B4DUJ5|B4DUJ5_HUMAN Coiled-coil domain-containing protein 28A OS=Homo sapiens OX=9606 GN=CCDC28A PE=1 SV=1,2,2,14.2,23.4970976547891,23.1577842146427,23.425728133037,23.7028011018951
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.28381434908204,4.2995252600849,24.3118131598024,24.3126442452505
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2,2,15.0,4.28381434908204,4.2995252600849,24.5936031234191,24.6954581299705
P48643;E7ENZ3;D6RIZ7;H0Y914,P48643;E7ENZ3,23;19;2;1,23;19;2;1,2;2;2;1,T-complex protein 1 subunit epsilon,CCT5,sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;tr|E7ENZ3|E7ENZ3_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1,23,2,49.4,29.0301270872626,29.058350465584,24.7294972477158,24.3029183305457
P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,20.5,4.28381434908204,4.2995252600849,23.7613166702539,24.1335944139335
Q69YH5;E9PEI0,Q69YH5;E9PEI0,2;2,2;2,2;2,Cell division cycle-associated protein 2,CDCA2,sp|Q69YH5|CDCA2_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=2;tr|E9PEI0|E9PEI0_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=1,2,2,3.6,4.28381434908204,4.2995252600849,24.0646216954365,24.1847258532807
Q96FF9;B5MBX0,Q96FF9;B5MBX0,2;2,2;2,2;2,Sororin,CDCA5,sp|Q96FF9|CDCA5_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1;tr|B5MBX0|B5MBX0_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1,2,2,15.1,4.28381434908204,4.2995252600849,23.9078405442646,21.9781993172643
P50750;X6RE90,P50750,3;1,2;1,2;1,Cyclin-dependent kinase 9,CDK9,sp|P50750|CDK9_HUMAN Cyclin-dependent kinase 9 OS=Homo sapiens OX=9606 GN=CDK9 PE=1 SV=3,3,2,8.3,24.5846859261096,25.0289645523105,23.2685659859292,23.151979006654
Q9NXV6;J3KNE1;D6RGD2,Q9NXV6;J3KNE1;D6RGD2,2;1;1,2;1;1,2;1;1,CDKN2A-interacting protein,CDKN2AIP,sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3;tr|J3KNE1|J3KNE1_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=1;tr|D6RGD2|D6RGD2_HUMAN CDKN2A-interacting protein OS=Homo sapiens,2,2,5.9,4.28381434908204,4.2995252600849,24.086022162004,24.2216242897802
P17676,P17676,2,2,2,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,2,2,8.7,4.28381434908204,4.2995252600849,24.6521206609293,24.3198270014465
Q53EZ4;H0Y432,Q53EZ4;H0Y432,2;2,2;2,2;2,Centrosomal protein of 55 kDa,CEP55,sp|Q53EZ4|CEP55_HUMAN Centrosomal protein of 55 kDa OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=3;tr|H0Y432|H0Y432_HUMAN Centrosomal protein of 55 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=1,2,2,6.5,4.28381434908204,4.2995252600849,24.3376289790479,22.7906436078291
Q96GE4;A0A0A0MTQ1,Q96GE4;A0A0A0MTQ1,2;2,2;2,2;2,Centrosomal protein of 95 kDa,CEP95,sp|Q96GE4|CEP95_HUMAN Centrosomal protein of 95 kDa OS=Homo sapiens OX=9606 GN=CEP95 PE=1 SV=1;tr|A0A0A0MTQ1|A0A0A0MTQ1_HUMAN Centrosomal protein of 95 kDa OS=Homo sapiens OX=9606 GN=CEP95 PE=1 SV=1,2,2,3.0,27.900004973659,28.1492839806748,4.44574164211784,4.39522505029433
Q12873;A0A5F9ZHX5;H7C3H7,Q12873;A0A5F9ZHX5,13;9;3,3;2;1,2;2;0,Chromodomain-helicase-DNA-binding protein 3,CHD3,sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3;tr|A0A5F9ZHX5|A0A5F9ZHX5_HUMAN Chromodomain-helicase-DNA-binding protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=1,13,2,8.8,24.9469947729338,23.8078399298743,4.44574164211784,4.39522505029433
O14578;H7BYJ3,O14578;H7BYJ3,2;2,2;2,2;2,Citron Rho-interacting kinase,CIT,sp|O14578|CTRO_HUMAN Citron Rho-interacting kinase OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=2;tr|H7BYJ3|H7BYJ3_HUMAN Citron Rho-interacting kinase (Fragment) OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=1,2,2,1.1,4.28381434908204,4.2995252600849,24.0806653135036,21.3780894896174
Q9HAW4;E7ESG2,Q9HAW4;E7ESG2,2;2,2;2,2;2,Claspin,CLSPN,sp|Q9HAW4|CLSPN_HUMAN Claspin OS=Homo sapiens OX=9606 GN=CLSPN PE=1 SV=3;tr|E7ESG2|E7ESG2_HUMAN Claspin OS=Homo sapiens OX=9606 GN=CLSPN PE=1 SV=1,2,2,1.9,24.2142307664962,23.0167892486167,4.44574164211784,4.39522505029433
Q9C0A0;A0A590UJB1;F5H107;A0A087WTA1;A0A0A0MR20;E9PDN6,Q9C0A0;A0A590UJB1;F5H107;A0A087WTA1;A0A0A0MR20;E9PDN6,2;2;2;2;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Contactin-associated protein-like 4,CNTNAP4,sp|Q9C0A0|CNTP4_HUMAN Contactin-associated protein-like 4 OS=Homo sapiens OX=9606 GN=CNTNAP4 PE=1 SV=3;tr|A0A590UJB1|A0A590UJB1_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|F5H107|F5H107_HUMAN Contactin-associated protein-like 4 OS=Ho,2,2,2.1,25.0161597347536,25.0978823172141,23.6027486959922,24.1286997131587
Q9Y678,Q9Y678,6,2,2,Coatomer subunit gamma-1,COPG1,sp|Q9Y678|COPG1_HUMAN Coatomer subunit gamma-1 OS=Homo sapiens OX=9606 GN=COPG1 PE=1 SV=1,6,2,10.6,25.5714663491854,25.4567210947448,22.0381179006088,23.2305469824092
Q9UNS2;J3QL22;J3QS85;J3KTQ1;J3QKR0;C9JLV5;H7C3P9,Q9UNS2;J3QL22;J3QS85;J3KTQ1;J3QKR0;C9JLV5;H7C3P9,2;1;1;1;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,COP9 signalosome complex subunit 3,COPS3,sp|Q9UNS2|CSN3_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3;tr|J3QL22|J3QL22_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=1;tr|J3QS85|J3QS85_HUMAN COP9 signalosome complex subunit,2,2,6.6,20.4342046865266,21.4720918657624,23.6817462749172,22.8277435246804
Q9H3G5;C9JVI2;C9JZ94,Q9H3G5;C9JVI2;C9JZ94,2;2;2,2;2;2,2;2;2,Probable serine carboxypeptidase CPVL,CPVL,sp|Q9H3G5|CPVL_HUMAN Probable serine carboxypeptidase CPVL OS=Homo sapiens OX=9606 GN=CPVL PE=1 SV=2;tr|C9JVI2|C9JVI2_HUMAN Probable serine carboxypeptidase CPVL (Fragment) OS=Homo sapiens OX=9606 GN=CPVL PE=4 SV=1;tr|C9JZ94|C9JZ94_HUMAN Probable serine ca,2,2,5.3,21.9842279064179,24.1299353472135,25.8376173472715,25.5746166235769
Q5TZA2;B1AKD8;A0A087WW81,Q5TZA2;B1AKD8;A0A087WW81,2;2;1,2;2;1,2;2;1,Rootletin,CROCC,sp|Q5TZA2|CROCC_HUMAN Rootletin OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=1;tr|B1AKD8|B1AKD8_HUMAN Rootletin (Fragment) OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=2;tr|A0A087WW81|A0A087WW81_HUMAN Rootletin (Fragment) OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=6,2,2,1.0,23.9270530882017,26.813967073378,25.5081511709835,25.2228405876449
