Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WSB2-N1,Intensity WSB2-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,ABCB4;ABCB1,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,4.25717907948666,4.09415654932906,25.4010964315382,25.3548105652978
P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,11;11,11;11,11;11,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,11,11,21.5,26.2858091341605,25.10185419945,27.9059831591297,27.7012742011646
Q8NE71;H0YGW7;A0A0G2JIC2;Q5STZ8,Q8NE71;H0YGW7,12;10;3;3,12;10;3;3,12;10;3;3,ATP-binding cassette sub-family F member 1,ABCF1,sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;tr|H0YGW7|H0YGW7_HUMAN ATP-binding cassette sub-family F member 1 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=1,12,12,18.2,23.9350808596194,20.9770115400853,27.8178138553662,27.777936515309
Q9UG63;C9JHK9;C9JZV3,Q9UG63;C9JHK9;C9JZV3,9;6;6,9;6;6,9;6;6,ATP-binding cassette sub-family F member 2,ABCF2,sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2;tr|C9JHK9|C9JHK9_HUMAN ATP-binding cassette sub-family F member 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=1;tr|C9JZV3|C9JZV3_HUMAN ATP-b,9,9,18.3,4.25717907948666,4.09415654932906,27.0033526867141,26.4249116808208
Q9NUQ8,Q9NUQ8,8,8,8,ATP-binding cassette sub-family F member 3,ABCF3,sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2,8,8,14.8,4.25717907948666,4.09415654932906,26.1261481533969,25.9359126497852
Q96IU4;B4DQI4;F8W9U3,Q96IU4;B4DQI4;F8W9U3,4;3;3,4;3;3,4;3;3,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,4,4,28.1,25.0444771689536,24.1308482906608,25.9899067138378,25.4482141271051
Q8IZP0;B6VEX4;A0A0A0MRT6;H0Y6B5,Q8IZP0;B6VEX4;A0A0A0MRT6,7;7;7;1,7;7;7;1,5;5;5;0,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,7,5,14.4,4.25717907948666,4.09415654932906,26.247750523388,26.039005367772
O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,18;18;17;17;10;10,18;18;17;17;10;10,3;3;2;2;2;2,Actin-binding LIM protein 1,ABLIM1,sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;tr|A0A3B3IS55|A0A3B3IS55_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;tr|F8W8M4|F8W8M4_HUMAN Actin-binding LIM protein 1 OS=Homo,18,3,27.2,4.25717907948666,4.09415654932906,28.1805397607883,27.9545466242509
A0A087WYK6,A0A087WYK6,5,2,2,,ACACA,tr|A0A087WYK6|A0A087WYK6_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,5,2,81.6,23.5543099490233,22.7676542810266,23.5321951458799,23.7771576406165
Q13085;Q59FY4;A0A0C4DGT1;A0A087WWN5;A0A087X2F8;A0A087X126;A0A087WYS8,Q13085,125;59;6;4;3;3;1,125;59;6;4;3;3;1,108;53;2;4;1;1;1,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,125,108,68.6,36.5386676634177,35.2651781852104,33.2519460611555,33.0437148156024
O00763;F8W8T8;H0YGH5;A0A087WUA1;S4R3S7,O00763,58;27;26;4;4,45;23;22;4;1,45;23;22;4;1,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,sp|O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3,58,45,32.0,30.2258446842911,29.2332019395639,24.5036093439039,25.0459355942762
Q9H3P7,Q9H3P7,7,7,7,Golgi resident protein GCP60,ACBD3,sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,7,7,16.9,4.25717907948666,4.09415654932906,26.6100630770979,26.7389234913818
S4R3H4;Q9UKV3;E7EQT4;G3V3B0,S4R3H4;Q9UKV3;E7EQT4,14;13;13;5,14;13;13;5,14;13;13;5,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,tr|S4R3H4|S4R3H4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=1;sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2;tr|E7EQT4|E7E,14,14,17.1,4.25717907948666,4.09415654932906,27.8897732560367,27.831710829684
P53396,P53396,5,5,5,ATP-citrate synthase,ACLY,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,5,5,5.5,4.25717907948666,4.09415654932906,25.354743320895,24.9626108126827
P21399,P21399,5,5,5,Cytoplasmic aconitate hydratase,ACO1,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,5,5,7.5,4.25717907948666,4.09415654932906,25.2578901873642,23.8424930662172
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,28.3010350529749,27.7699531276819,30.652154860577,30.463339894737
O00154;K7EKP8,O00154;K7EKP8,2;2,2;2,2;2,Cytosolic acyl coenzyme A thioester hydrolase,ACOT7,sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3;tr|K7EKP8|K7EKP8_HUMAN Cytosolic acyl coenzyme A thioester hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=8,2,2,6.3,23.5154486428037,23.7389234913818,4.51247618958678,4.42747165566269
P12814;H9KV75;G3V2W4;H7C5W8;G3V2N5;H0YJW3;H0YJ11;P35609;A0A494C1A0;G3V2X9;F6THM6;G3V5M4;A0A494C060;A0A494C033;G3V2E8;A0A494C166;G3V380,P12814;H9KV75,26;24;10;9;9;7;6;6;6;4;4;3;3;2;2;2;1,26;24;10;9;9;7;6;6;6;4;4;3;3;2;2;2;1,15;13;5;5;5;4;3;1;1;1;1;1;0;0;0;0;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,26,15,39.0,25.4156422355002,23.9961927884351,29.3237357035418,28.9863627923273
O43707;H7C144;F5GXS2;K7EJH8;Q9H254;M0QZQ3;C9JY79,O43707,20;8;8;3;1;1;1,9;5;5;2;1;1;1,9;5;5;2;1;1;1,Alpha-actinin-4,ACTN4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,20,9,28.0,4.25717907948666,4.09415654932906,26.8217720359998,26.980327881244
P55265,P55265,26,26,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,26,2,29.1,4.25717907948666,4.09415654932906,30.217201970791,29.7446763457131
P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2;D6RAH3;D6RF25;P35612;D6RJE2;H0YFD8,P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,Alpha-adducin,ADD1,sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2;tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|E7ENY0|E7ENY0_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|A0A0A0MSR2|A0A0A0M,10,10,19.7,4.25717907948666,4.09415654932906,28.2500209959269,27.2819774132684
Q9UEY8,Q9UEY8,15,15,15,Gamma-adducin,ADD3,sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,15,15,24.4,23.4980184378436,22.4396929307084,28.5747754002138,28.5682656852846
Q9H2P0;A0A669KBJ7;A0A2R8Y6X0;A0A2R8YCL6,Q9H2P0;A0A669KBJ7;A0A2R8Y6X0,32;31;23;5,32;31;23;5,32;31;23;5,Activity-dependent neuroprotector homeobox protein,ADNP,sp|Q9H2P0|ADNP_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1;tr|A0A669KBJ7|A0A669KBJ7_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=4 SV=1;tr|A0A2R8Y6X0|A0A2,32,32,36.9,4.25717907948666,4.09415654932906,29.5643638830309,29.2229465044454
Q9UHB7;C9JCE0,Q9UHB7,11;2,11;2,11;2,AF4/FMR2 family member 4,AFF4,sp|Q9UHB7|AFF4_HUMAN AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1,11,11,13.0,4.25717907948666,4.09415654932906,27.0873987408807,26.4732382758418
Q9Y4W6;K7EP56,Q9Y4W6,10;2,9;2,9;2,AFG3-like protein 2,AFG3L2,sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,10,9,13.8,26.6128772690385,25.376864889204,23.8906895511704,24.2371334270123
Q6ULP2;B8ZZI9;A0A0A0MSN6,Q6ULP2;B8ZZI9,10;6;2,10;6;2,10;6;2,Aftiphilin,AFTPH,sp|Q6ULP2|AFTIN_HUMAN Aftiphilin OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=3;tr|B8ZZI9|B8ZZI9_HUMAN Aftiphilin (Fragment) OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=2,10,10,15.6,4.25717907948666,4.09415654932906,27.854301619201,26.8600573353497
E7EUN2;A0A087X044;A0A087X1U1;F5GXM9;Q9UPQ3;Q96P47;C9J8Z2;H7C5G0;H7C4U6;C9J975;E7ESL9,E7EUN2;A0A087X044;A0A087X1U1;F5GXM9,3;2;2;2;1;1;1;1;1;1;1,3;2;2;2;1;1;1;1;1;1;1,3;2;2;2;1;1;1;1;1;1;1,,AGAP1,"tr|E7EUN2|E7EUN2_HUMAN Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=AGAP1 PE=1 SV=1;tr|A0A087X044|A0A087X044_HUMAN Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 G",3,3,3.8,24.1643827961471,25.3617200053854,31.2211840505566,31.0336743902819
P52594;C9J2I0;B8ZZY2,P52594;C9J2I0;B8ZZY2,6;5;5,6;5;5,6;5;5,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,sp|P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2;tr|C9J2I0|C9J2I0_HUMAN Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=8;tr|B8ZZY2|B8ZZ,6,6,17.4,4.25717907948666,4.09415654932906,27.4186046493561,27.0851712654646
Q8WYP5;H7C4S1,Q8WYP5,24;1,24;1,24;1,Protein ELYS,AHCTF1,sp|Q8WYP5|ELYS_HUMAN Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,24,24,14.8,4.25717907948666,4.09415654932906,28.6874242224036,28.3021688015919
O43865;H0Y8B3,O43865;H0Y8B3,6;4,6;4,2;0,Putative adenosylhomocysteinase 2;Adenosylhomocysteinase,AHCYL1;AHCYL2,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,12.1,4.25717907948666,4.09415654932906,26.6035695268123,26.3900490072837
Q09666;E9PKR9;E9PLK4;E9PJZ0;E9PJC6;E9PQE3;P48552,Q09666,385;5;5;4;4;3;1,385;5;5;4;4;3;1,384;5;5;4;4;3;1,Neuroblast differentiation-associated protein AHNAK,AHNAK,sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,385,384,80.4,35.8042194044771,34.8821700282799,38.5195511325099,38.4032437837162
Q8IVF2,Q8IVF2,183,182,182,Protein AHNAK2,AHNAK2,sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,183,182,59.4,29.6931364225835,29.8486123871473,34.851409541968,34.5982364100145
O95433;G3V438;H0YJU2;H0YJG7;H0YJ63;G3V3W9,O95433;G3V438,12;8;5;5;3;3,12;8;5;5;3;3,12;8;5;5;3;3,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr|G3V438|G3V438_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,12,12,46.7,27.8536474570904,26.1563999164387,29.2660206438674,29.3382200288084
Q13155;A8MU58,Q13155;A8MU58,2;2,2;2,2;2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,sp|Q13155|AIMP2_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2;tr|A8MU58|A8MU58_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=A,2,2,15.0,4.25717907948666,4.09415654932906,27.0573436369337,23.4402507487947
O00170;E9PMH2;V9GYQ3,O00170;E9PMH2,7;4;3,7;4;3,7;4;3,AH receptor-interacting protein,AIP,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2;tr|E9PMH2|E9PMH2_HUMAN Peptidylprolyl isomerase (Fragment) OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2,7,7,29.7,26.5068506418285,26.0941210277958,4.51247618958678,4.42747165566269
Q92667;I3L0W0;I3L2A2;I3L2N7;I3L0K6;I3L364;I3L3K1;I3NI36,Q92667,21;9;8;8;5;3;2;1,21;9;8;8;5;3;2;1,21;9;8;8;5;3;2;1,"A-kinase anchor protein 1, mitochondrial",AKAP1,"sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",21,21,32.3,25.2379037295221,25.3702606355093,28.846372246576,28.429819436852
Q02952,Q02952,20,20,20,A-kinase anchor protein 12,AKAP12,sp|Q02952|AKA12_HUMAN A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,20,20,18.5,4.25717907948666,4.09415654932906,28.6428569685844,28.0702499496946
Q9Y2D5,Q9Y2D5,31,31,5,A-kinase anchor protein 2,AKAP2,sp|Q9Y2D5|AKAP2_HUMAN A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,31,5,46.6,23.2319412654617,24.2800842865596,32.1506765727855,31.909063163614
P54886,P54886,5,5,5,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,ALDH18A1,sp|P54886|P5CS_HUMAN Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens OX=9606 GN=ALDH18A1 PE=1 SV=2,5,5,8.3,25.5130403373602,24.5077574598132,21.9534035965864,22.9720995521615
A0A5F9ZHI5;J3QRD1;A0A5F9ZHN9;P51648;A0A5F9ZGX4;A0A5F9ZI12;A0A5K1VW72;A0A5F9ZHZ9;I3L1M4;I3L0X1;J3QKK9;J3KTG1;J3QS00;A0A5F9ZHP6;E9PJV0;C9JKT2;I3L3I9;K7EN73;A8MYB8;C9JMC5;E9PNN6;P48448;P43353;P30838,A0A5F9ZHI5;J3QRD1;A0A5F9ZHN9;P51648;A0A5F9ZGX4;A0A5F9ZI12;A0A5K1VW72;A0A5F9ZHZ9,11;11;11;11;8;8;8;6;5;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1,11;11;11;11;8;8;8;6;5;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1,10;10;10;10;7;7;7;6;5;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1,Fatty aldehyde dehydrogenase,ALDH3A2,tr|A0A5F9ZHI5|A0A5F9ZHI5_HUMAN Aldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|J3QRD1|J3QRD1_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|A0A5F9ZHN9|A0A5F9ZHN9_HUMAN Aldehyde dehydro,11,10,31.8,28.7305263172246,27.9220696806874,26.0028807550642,25.8437393722741
