Gene_names,RFWD2_vs_BirA_logFC,RFWD2_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_RFWD2_N1,Peptides_RFWD2_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_RFWD2_N1,Razor___unique_peptides_RFWD2_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_RFWD2_N1,Unique_peptides_RFWD2_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_RFWD2_N1,Identification_type_RFWD2_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_RFWD2_N1,Ratio_H_L_RFWD2_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_RFWD2_N1,Ratio_H_L_normalized_RFWD2_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____RFWD2_N1,Ratio_H_L_variability_____RFWD2_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_RFWD2_N1,Ratio_H_L_count_RFWD2_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_RFWD2_N1,Ratio_H_L_iso_count_RFWD2_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_RFWD2_N1,Ratio_H_L_type_RFWD2_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_RFWD2_N1____,Sequence_coverage_RFWD2_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_RFWD2_N1,Intensity_L_RFWD2_N1,Intensity_H_RFWD2_N1,Intensity_RFWD2_N2,Intensity_L_RFWD2_N2,Intensity_H_RFWD2_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_RFWD2_N1,metacell_Intensity_L_RFWD2_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
COX5A,-1.0847060225471,0.0541865994617401,P20674;H3BNX8;H3BRM5;H3BV69;H3BRI0,P20674;H3BNX8;H3BRM5;H3BV69,6;5;4;4;1,6;5;4;4;1,6;5;4;4;1,"Cytochrome c oxidase subunit 5A, mitochondrial","sp|P20674|COX5A_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens OX=9606 GN=COX5A PE=1 SV=2;tr|H3BNX8|H3BNX8_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens OX=9606 GN=COX5A PE=1 SV=1;tr|H3BRM5|H3BRM5_HUMAN Cytochro",5,6,6,6,4,5,4,4,4,5,4,4,4,5,4,4,38.0,38.0,38.0,16.762,150,150;153;69;111;84,0.0,16.716,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39689,1.1787,26.139,24,2,Leave out requantified,0.36593,0.4444,0.47033,0.36417,1.2599,1.3087,1.2868,0.93403,12.324,16.615,3.9656,19.606,6,7,6,5,0,1,1,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.3,32.7,21.3,22.0,2387100000,1657900000,729170000,467510000,339530000,127980000,790760000,545250000,245510000,782360000,523640000,258710000,346480000,249510000,96965000,,,,1780,6056;8074;8339;11988;16180;22072,True;True;True;True;True;True,6276;8400;8677;12468;16787;22862,14531;14532;14533;14534;14535;14536;14537;19388;19389;19390;20119;28828;28829;28830;28831;38427;38428;38429;38430;38431;38432;38433;38434;52825,30116;30117;30118;30119;30120;30121;30122;30123;30124;30125;30126;30127;30128;30129;30130;30131;30132;39976;39977;39978;39979;39980;39981;39982;39983;39984;39985;39986;41590;41591;59475;59476;59477;59478;59479;59480;59481;59482;78615;78616;78617;78618;78619;78620;78621;78622;78623;78624;78625;78626;78627;78628;78629;109086;109087;109088;109089;109090,30120;39978;41590;59476;78625;109087,,,,,-1;-1;-1;-1;-1,protein_1781,quanti,quanti,quanti,quanti
LMNB1,0.658369542801928,0.213129973539399,P20700;E9PBF6;A0A0D9SFE5;A0A0D9SFY5,P20700;E9PBF6;A0A0D9SFE5,40;32;26;13,39;31;26;13,36;30;25;12,Lamin-B1,"sp|P20700|LMNB1_HUMAN Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2;tr|E9PBF6|E9PBF6_HUMAN Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=1;tr|A0A0D9SFE5|A0A0D9SFE5_HUMAN Lamin B1, isoform CRA_a OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=1",4,40,39,36,21,19,29,25,21,18,29,25,19,16,27,23,57.0,57.0,51.7,66.408,586,586;387;329;166,0.0,155.27,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3864,1.0374,16.25,114,29,Leave out requantified,0.34081,0.43731,0.40762,0.35793,1.1109,1.2616,1.0735,0.99829,26.214,15.255,15.164,13.164,23,20,38,33,8,3,11,7,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,40.4,36.0,48.8,41.0,13936000000,9785300000,4150700000,1728700000,1240600000,488030000,1977900000,1326900000,650970000,5075400000,3532100000,1543300000,5154000000,3685700000,1468400000,,,,1781,761;1187;1660;1661;2219;2767;2768;2828;2884;7794;7911;7912;8708;8709;9624;9892;10234;10235;10285;10286;10374;11353;11354;11516;11517;11518;12221;12255;12406;12638;12639;12929;13217;13218;14048;14049;14888;15597;17192;17490,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,780;1228;1724;1725;2306;2880;2881;2944;3000;8111;8233;8234;9063;9064;10020;10301;10658;10659;10710;10711;10712;10809;11817;11818;11983;11984;11985;12706;12740;12892;13132;13133;13435;13736;13737;14608;14609;15466;16192;17832;18137,1822;1823;1824;1825;2945;2946;4188;4189;4190;4191;4192;4193;4194;4195;4196;4197;4198;5613;5614;5615;5616;7044;7045;7188;7189;7190;7191;7298;7299;7300;7301;7302;7303;18708;18709;18710;18981;18982;18983;18984;21026;21027;21028;23188;23788;24690;24691;24692;24693;24817;24818;24819;24820;24821;24822;24823;24824;24825;25104;25105;25106;25107;25108;27355;27356;27357;27358;27359;27779;27780;27781;27782;27783;27784;27785;27786;29313;29314;29315;29316;29388;29389;29390;29391;29392;29393;29718;29719;29720;29721;30258;30259;30260;30261;30262;30263;30950;30951;30952;30953;31644;31645;31646;31647;31648;31649;31650;31651;31652;33626;33627;33628;33629;33630;33631;35606;35607;37189;40862;41584;41585;41586,3660;3661;3662;3663;3664;3665;3666;3667;3668;3669;3670;3671;3672;3673;3674;3675;6000;6001;6002;6003;6004;8678;8679;8680;8681;8682;8683;8684;8685;8686;8687;8688;8689;8690;8691;8692;8693;8694;8695;8696;8697;8698;8699;8700;8701;11776;11777;11778;11779;11780;14734;14735;14736;14737;14992;14993;14994;14995;14996;14997;14998;15195;15196;15197;15198;15199;15200;15201;15202;38587;38588;38589;38590;38591;38592;38593;39114;39115;39116;39117;39118;39119;43510;43511;43512;43513;43514;43515;48047;49178;50889;50890;50891;50892;50893;50894;50895;50896;51148;51149;51150;51151;51152;51153;51154;51155;51156;51157;51158;51159;51160;51161;51162;51163;51164;51165;51166;51167;51168;51169;51170;51171;51172;51778;51779;51780;51781;51782;51783;51784;51785;51786;56428;56429;56430;56431;57281;57282;57283;57284;57285;57286;57287;57288;57289;57290;57291;57292;57293;60398;60399;60400;60401;60402;60505;60506;60507;60508;60509;60510;60511;60512;60513;60514;60515;60516;60517;60518;60519;60520;61091;61092;61093;61094;61095;61096;61097;62074;62075;62076;62077;62078;62079;62080;62081;63496;63497;63498;63499;63500;63501;63502;63503;65078;65079;65080;65081;65082;65083;65084;65085;65086;65087;65088;65089;65090;65091;65092;65093;65094;65095;65096;65097;65098;65099;65100;65101;65102;69053;69054;69055;69056;69057;69058;69059;69060;69061;69062;69063;69064;69065;69066;69067;69068;73259;73260;73261;73262;73263;73264;76330;83461;83462;84888;84889;84890;84891;84892,3673;6000;8678;8690;11777;14734;14736;14994;15195;38590;39116;39117;43512;43515;48047;49178;50889;50894;51155;51165;51785;56428;56430;57281;57285;57290;60399;60517;61092;62076;62080;63497;65086;65096;69059;69064;73260;76330;83461;84888,,,,,-1;-1;-1;-1,protein_1782,quanti,quanti,quanti,quanti
ATP6V1B2,-1.05797004690526,0.067450565504975,P21281;H0YC04;P15313;E5RGH6;C9JNS9;C9JL73;H0YAT8,P21281;H0YC04,14;9;3;3;3;3;2,14;9;3;3;3;3;2,14;9;3;3;3;3;2,"V-type proton ATPase subunit B, brain isoform","sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1",7,14,14,14,8,10,8,2,8,10,8,2,8,10,8,2,33.3,33.3,33.3,56.5,511,511;199;513;66;310;496;56,0.0,27.687,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50895,1.4339,23.646,31,3,Leave out requantified,0.46018,0.54733,0.4916,0.49154,1.4791,1.491,1.1916,1.2758,17.069,18.167,24.981,11.144,8,11,9,3,0,0,0,3,Leave out requantified,Leave out requantified,Leave out requantified,Median,22.7,28.4,18.0,4.9,1425100000,902510000,522590000,266770000,180410000,86361000,485690000,293340000,192350000,462970000,299230000,163740000,209680000,129530000,80146000,,,,1782,2589;6120;6634;8656;9322;9967;9968;14390;15182;19189;19470;19551;19552;22100,True;True;True;True;True;True;True;True;True;True;True;True;True;True,2698;6347;6888;9008;9700;10377;10378;14963;15765;19872;20159;20243;20244;22890,6624;6625;6626;6627;6628;14720;15938;15939;15940;20907;22491;22492;23994;23995;23996;23997;34432;36272;45705;45706;45707;45708;46426;46427;46623;46624;46625;46626;52883;52884;52885;52886,13931;13932;13933;13934;13935;13936;13937;13938;13939;13940;30507;32933;32934;32935;32936;32937;32938;43300;43301;46624;46625;46626;46627;46628;46629;49545;49546;70783;74524;93636;93637;93638;93639;95151;95152;95153;95637;95638;95639;95640;109186;109187;109188;109189;109190,13936;30507;32935;43300;46629;49545;49546;70783;74524;93638;95152;95637;95640;109187,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1783,quanti,quanti,quanti,quanti
ATP6V1C1,-1.80678676617995,0.219477772863401,P21283;E7EV59,P21283;E7EV59,7;5,7;5,7;5,V-type proton ATPase subunit C 1,sp|P21283|VATC1_HUMAN V-type proton ATPase subunit C 1 OS=Homo sapiens OX=9606 GN=ATP6V1C1 PE=1 SV=4;tr|E7EV59|E7EV59_HUMAN V-type proton ATPase subunit C OS=Homo sapiens OX=9606 GN=ATP6V1C1 PE=1 SV=1,2,7,7,7,4,5,1,3,4,5,1,3,4,5,1,3,21.2,21.2,21.2,43.941,382,382;307,0.0,18.796,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.71291,1.5791,24.386,13,2,Leave out requantified,0.65273,0.69813,0.61471,0.81085,1.4867,1.4796,1.0721,2.0263,22.004,19.714,,62.252,4,5,1,3,0,0,0,2,Leave out requantified,Leave out requantified,Median,Plateau,13.9,17.0,3.1,7.3,315600000,169140000,146470000,54504000,33074000,21429000,132170000,67388000,64777000,17883000,9822600,8060100,111050000,58851000,52202000,,,,1783,5038;6991;7711;12012;17848;17849;18442,True;True;True;True;True;True;True,5214;7256;8028;12493;18503;18504;19105,12127;16731;18550;28895;28896;42459;42460;42461;42462;43905;43906;43907;43908,24992;34537;38292;59596;59597;59598;59599;86665;86666;86667;89622;89623;89624;89625;89626;89627;89628;89629;89630;89631;89632;89633;89634,24992;34537;38292;59597;86665;86667;89626,,,,,-1;-1,protein_1784,quanti,quanti,quanti,quanti
ACO1,-23.3982420882153,7.33857528183062e-07,P21399,P21399,12,12,12,Cytoplasmic aconitate hydratase,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,1,12,12,12,11,8,0,0,11,8,0,0,11,8,0,0,17.2,17.2,17.2,98.398,889,889,0.0,11.976,By MS/MS,By MS/MS,,,0.30663,0.73733,26.552,19,6,Leave out requantified,0.22597,0.33353,,,0.6646,0.78854,,,32.069,27.75,,,11,8,0,0,5,1,0,0,Leave out requantified,Leave out requantified,Median,Median,13.9,12.3,0.0,0.0,531660000,400070000,131590000,282780000,214010000,68772000,248880000,186050000,62823000,0,0,0,0,0,0,,,,1785,2455;4580;6547;6799;8166;14494;17526;17537;20780;21916;22333;22835,True;True;True;True;True;True;True;True;True;True;True;True,2558;4743;6797;7054;8497;15067;18173;18185;21531;22703;23125;23637,6277;6278;6279;11071;11072;15735;16269;19647;34680;41659;41686;41687;49779;49780;52503;52504;53410;53411;54547;54548,13220;13221;13222;13223;22854;22855;32554;33549;40660;40661;40662;71316;85036;85103;85104;85105;102678;102679;102680;102681;108454;110201;110202;110203;110204;110205;110206;112480;112481;112482;112483,13221;22855;32554;33549;40660;71316;85036;85103;102678;108454;110206;112483,,,,,-1,protein_1786,imputed MEC,imputed MEC,quanti,quanti
VDAC1,1.54027079950518,0.0186265224604451,P21796;C9JI87,P21796;C9JI87,25;15,25;15,25;15,Voltage-dependent anion-selective channel protein 1,sp|P21796|VDAC1_HUMAN Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2;tr|C9JI87|C9JI87_HUMAN Voltage-dependent anion-selective channel protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=6,2,25,25,25,18,17,18,15,18,17,18,15,18,17,18,15,82.3,82.3,82.3,30.772,283,283;183,0.0,283.83,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28672,0.78375,15.591,92,29,Leave out requantified,0.22686,0.25315,0.30031,0.30559,0.8135,0.68363,0.86508,0.75886,21.769,16.094,8.6059,7.8239,21,20,28,23,9,5,8,7,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,59.4,59.4,70.3,69.6,35912000000,28113000000,7799400000,2855800000,2310700000,545160000,2822000000,2211100000,610880000,16921000000,13177000000,3743300000,13313000000,10413000000,2900000000,,,,1786,2509;3517;3518;3813;6301;7058;7059;9718;10899;12733;12734;12780;12781;12782;15102;17757;18403;18816;21068;21084;21526;21993;22049;22720;22767,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2616;3651;3652;3952;3953;6538;7325;7326;7327;10120;11349;13232;13233;13282;13283;13284;15685;18410;19066;19490;21830;21846;22299;22781;22839;23519;23569,6423;6424;6425;6426;6427;6428;8708;8709;8710;8711;9361;9362;9363;9364;9365;15163;15164;15165;15166;16885;16886;16887;16888;16889;16890;16891;16892;16893;16894;16895;16896;16897;16898;16899;16900;23408;23409;23410;23411;23412;26295;26296;26297;26298;26299;30477;30478;30479;30480;30584;30585;30586;30587;30588;30589;30590;30591;30592;30593;30594;30595;30596;30597;30598;36110;42219;42220;42221;42222;43821;43822;44840;50485;50486;50519;50520;50521;50522;50523;50524;50525;50526;50527;51529;51530;51531;51532;51533;52667;52668;52773;52774;52775;52776;54268;54269;54270;54271;54406;54407,13530;13531;13532;13533;13534;13535;13536;13537;13538;13539;13540;13541;13542;13543;13544;13545;13546;13547;13548;13549;13550;13551;13552;13553;13554;13555;13556;13557;13558;13559;18218;18219;18220;18221;18222;18223;19519;19520;19521;19522;19523;19524;19525;19526;19527;19528;19529;19530;19531;19532;31404;31405;31406;31407;31408;31409;31410;34840;34841;34842;34843;34844;34845;34846;34847;34848;34849;34850;34851;34852;34853;34854;34855;34856;34857;34858;34859;34860;34861;34862;34863;34864;34865;34866;34867;34868;34869;34870;34871;34872;34873;34874;34875;48488;48489;48490;48491;48492;48493;48494;48495;48496;48497;48498;48499;48500;54264;54265;54266;54267;54268;54269;54270;54271;54272;54273;54274;54275;54276;54277;54278;54279;54280;54281;54282;54283;54284;54285;62526;62527;62528;62529;62530;62531;62532;62533;62739;62740;62741;62742;62743;62744;62745;62746;62747;62748;62749;62750;62751;62752;62753;62754;62755;62756;62757;62758;62759;62760;62761;62762;62763;62764;62765;62766;62767;62768;62769;62770;62771;62772;62773;62774;62775;62776;62777;62778;62779;62780;62781;62782;74258;74259;86170;86171;86172;86173;86174;86175;86176;86177;89460;89461;91768;104189;104190;104191;104192;104233;104234;104235;104236;104237;104238;104239;104240;104241;104242;104243;104244;104245;104246;104247;104248;104249;104250;104251;104252;104253;104254;104255;106408;106409;106410;106411;106412;106413;106414;106415;106416;106417;106418;106419;106420;106421;106422;106423;106424;108761;108762;108968;108969;108970;108971;108972;108973;108974;108975;108976;111911;111912;111913;111914;111915;111916;111917;111918;111919;111920;111921;111922;111923;112216;112217,13543;18219;18222;19530;31409;34851;34872;48495;54273;62526;62530;62757;62775;62782;74258;86172;89460;91768;104191;104233;106424;108761;108972;111918;112216,,237,,129,-1;-1,protein_1787,quanti,quanti,quanti,quanti
SDHB,-0.0909165818902977,0.903610921518649,P21912;A0A087WWT1;A0A087WXX8,P21912;A0A087WWT1;A0A087WXX8,7;5;4,7;5;4,7;5;4,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial","sp|P21912|SDHB_HUMAN Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHB PE=1 SV=3;tr|A0A087WWT1|A0A087WWT1_HUMAN Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (Fragment) OS=Homo",3,7,7,7,4,3,5,2,4,3,5,2,4,3,5,2,28.9,28.9,28.9,31.629,280,280;200;123,0.0,11.58,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34435,0.91008,22.376,15,0,Leave out requantified,0.2464,0.45628,0.32212,0.4144,0.73991,1.2638,0.83942,0.94163,23.336,41.941,31.027,26.535,5,3,5,2,0,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Median,21.4,12.5,19.6,8.2,957120000,673320000,283800000,193710000,152040000,41671000,132130000,79922000,52206000,488770000,341880000,146890000,142500000,99476000,43028000,,,,1787,3329;8246;9325;9326;12203;21886;21984,True;True;True;True;True;True;True,3455;8583;9703;9704;12688;22673;22772,8306;8307;19880;19881;22495;22496;22497;22498;29270;29271;29272;29273;52434;52652;52653,17290;17291;17292;17293;17294;17295;41156;46636;46637;46638;46639;46640;46641;60325;60326;60327;60328;60329;60330;60331;108300;108738;108739;108740,17293;41156;46636;46641;60330;108300;108738,,,,,-1;-1;-1,protein_1788,quanti,quanti,quanti,quanti
TGM2,-2.62872303451633,0.0637580338506712,P21980;A2A299;A2A2A0,P21980,25;7;5,25;7;5,25;7;5,Protein-glutamine gamma-glutamyltransferase 2,sp|P21980|TGM2_HUMAN Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2,3,25,25,25,23,20,16,5,23,20,16,5,23,20,16,5,39.0,39.0,39.0,77.328,687,687;280;159,0.0,97.806,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26154,0.75134,26.219,68,18,Leave out requantified,0.23412,0.25693,0.34836,0.34861,0.77231,0.70053,0.96687,0.85247,25.848,18.166,22.757,30.382,25,21,17,5,6,5,6,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,36.0,33.3,27.5,9.5,5778700000,4410900000,1367800000,1931200000,1490700000,440490000,1862600000,1451400000,411170000,1795900000,1334100000,461770000,188990000,134600000,54386000,,,,1789,473;474;1468;1469;1749;5800;6643;10154;13118;13119;13405;15081;15157;16070;16617;17257;17859;18132;18133;19565;21715;21731;22542;22744;22745,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,485;486;1521;1522;1817;6007;6897;10576;13637;13638;13933;15664;15740;16674;17237;17899;18514;18791;18792;20257;22498;22516;23336;23544;23545,1171;1172;1173;1174;3670;3671;3672;3673;3674;4460;4461;13881;13882;15957;15958;15959;24478;31425;31426;31427;31428;31429;31430;31431;31432;32112;32113;32114;32115;32116;32117;36061;36062;36063;36226;36227;38196;38197;38198;38199;38200;39403;39404;39405;39406;41030;41031;41032;41033;42480;43150;43151;43152;43153;43154;46662;46663;46664;46665;52034;52035;52036;52037;52038;52039;52080;52081;53872;53873;53874;54332;54333;54334;54335;54336,2413;2414;2415;2416;2417;7482;7483;7484;7485;7486;7487;7488;7489;7490;9344;9345;9346;9347;28725;28726;28727;28728;32972;32973;32974;32975;32976;32977;50483;50484;50485;64633;64634;64635;64636;64637;64638;64639;64640;64641;64642;64643;64644;64645;64646;66029;66030;66031;66032;66033;66034;66035;74157;74158;74159;74160;74161;74162;74163;74164;74443;74444;74445;78214;78215;78216;78217;78218;78219;78220;78221;78222;78223;78224;80532;80533;80534;80535;80536;83802;83803;83804;83805;83806;83807;83808;86695;88052;88053;88054;88055;88056;88057;88058;88059;88060;88061;95731;95732;95733;95734;95735;107535;107536;107537;107538;107539;107540;107541;107542;107618;107619;111067;111068;111069;111070;111071;111072;112044;112045;112046;112047;112048;112049;112050;112051,2414;2417;7485;7488;9347;28727;32976;50485;64634;64644;66030;74158;74444;78223;80534;83804;86695;88059;88061;95734;107536;107619;111072;112045;112051,,,,,-1;-1;-1,protein_1790,quanti,quanti,quanti,quanti
MUT,20.1355340705177,8.70592797499738e-07,P22033,P22033,3,3,3,"Methylmalonyl-CoA mutase, mitochondrial","sp|P22033|MUTA_HUMAN Methylmalonyl-CoA mutase, mitochondrial OS=Homo sapiens OX=9606 GN=MMUT PE=1 SV=4",1,3,3,3,0,0,1,2,0,0,1,2,0,0,1,2,4.4,4.4,4.4,83.134,750,750,0.0083576,1.3736,,,By MS/MS,By MS/MS,0.70216,1.9225,69.096,3,3,Median,,,0.70216,0.63198,,,1.9225,1.322,,,,92.81,0,0,1,2,0,0,1,2,Median,Median,Median,Median,0.0,0.0,2.0,2.4,151180000,80117000,71066000,0,0,0,0,0,0,97054000,52544000,44510000,54128000,27573000,26555000,,,,1790,6607;8340;19005,True;True;True,6861;8678;19685,15866;20120;45312,32805;32806;41592;92872,32806;41592;92872,,,,,-1,protein_1791,quanti,quanti,imputed MEC,imputed MEC
OSBP,20.1116073920084,6.59248121607845e-05,P22059;Q969R2;A0A0A0MSB4;Q6ZN50,P22059,3;1;1;1,3;1;1;1,3;1;1;1,Oxysterol-binding protein 1,sp|P22059|OSBP1_HUMAN Oxysterol-binding protein 1 OS=Homo sapiens OX=9606 GN=OSBP PE=1 SV=1,4,3,3,3,0,0,1,3,0,0,1,3,0,0,1,3,6.1,6.1,6.1,89.42,807,807;916;636;743,0.0,5.1031,,,By matching,By MS/MS,0.4382,0.9676,16.399,4,0,Leave out requantified,,,0.52808,0.43072,,,1.0237,0.91454,,,,17.681,0,0,1,3,0,0,0,0,Median,Median,Median,Leave out requantified,0.0,0.0,1.1,6.1,149600000,99389000,50208000,0,0,0,0,0,0,26540000,17014000,9525600,123060000,82375000,40682000,,,,1791,7000;9092;22069,True;True;True,7266;9463;22859,16754;21939;52818;52819,34589;34590;45409;109081,34590;45409;109081,,,,,-1;-1;-1;-1,protein_1792,quanti,quanti,imputed MEC,imputed MEC
GART,-3.13794553583782,0.079964297944682,P22102;F8WD69;C9JBJ1;C9JTV6;C9JZG2;C9JKQ7;H7C366;A0A140TA71,P22102,28;13;11;11;7;7;4;1,28;13;11;11;7;7;4;1,28;13;11;11;7;7;4;1,Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase,sp|P22102|PUR2_HUMAN Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,8,28,28,28,21,21,15,1,21,21,15,1,21,21,15,1,40.0,40.0,40.0,107.77,1010,1010;306;231;241;136;138;145;223,0.0,78.328,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34208,0.93873,49.067,64,16,Leave out requantified,0.27636,0.34607,0.39481,2.6938,0.91599,0.89844,0.94138,7.5515,33.15,17.482,61.513,,23,24,16,1,5,6,5,0,Leave out requantified,Leave out requantified,Leave out requantified,Median,32.3,33.2,21.3,1.5,4660600000,3210800000,1449800000,1345300000,1001800000,343550000,1667100000,1195000000,472070000,1466700000,963050000,503670000,181440000,50930000,130510000,,,,1792,106;562;676;960;2087;2518;4432;4613;6891;7195;9027;9333;9615;10484;13842;15904;16431;16779;17075;17398;17399;17837;19443;19959;20146;20667;20748;20749,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,106;575;690;988;2168;2625;4589;4776;7151;7473;9398;9711;10011;10928;14391;16506;17049;17405;17712;18043;18044;18492;20129;20668;20862;21411;21496;21497,241;242;243;1354;1355;1356;1357;1621;1622;2368;2369;2370;2371;5288;5289;5290;5291;6444;6445;10707;10708;11157;16498;17255;21808;22511;22512;22513;23173;23174;23175;25421;25422;33109;33110;33111;37837;37838;38983;38984;38985;39772;39773;39774;40558;40559;41348;41349;41350;41351;42429;42430;46332;46333;47684;48136;48137;49499;49500;49695;49696;49697;49698;49699,411;412;413;414;415;416;2752;2753;2754;2755;2756;3276;4810;4811;4812;4813;4814;4815;4816;4817;11053;11054;11055;11056;13584;13585;13586;22155;22156;22157;22158;22159;23044;23045;34075;34076;34077;34078;35611;35612;45148;46660;46661;46662;46663;46664;46665;48023;48024;48025;48026;48027;48028;48029;52490;52491;52492;52493;67991;67992;67993;67994;67995;67996;67997;77507;77508;77509;79684;79685;79686;79687;79688;79689;79690;81222;81223;81224;81225;82914;82915;82916;84391;84392;84393;84394;84395;86613;86614;86615;86616;94956;94957;98178;98179;99180;99181;99182;99183;99184;102057;102058;102059;102060;102061;102503;102504;102505;102506;102507;102508;102509;102510;102511,413;2754;3276;4814;11055;13584;22157;23044;34078;35611;45148;46663;48023;52490;67997;77508;79687;81224;82916;84393;84395;86614;94956;98179;99180;102060;102503;102510,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1793,quanti,quanti,quanti,quanti
