RFWD2_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
NDUFS7,0.2291714436,0.444769449198053,0,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,5;5;5;5;5,5;5;5;5;5,5;5;5;5;5,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,"sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,5,35.2,213;182;214;214;236
KHSRP,0.1920742189,0.159475435440438,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0QYG1;M0R0C6,Q92945;A0A087WTP3;M0R0I5,23;23;13;8;6;2;1;1,21;21;11;6;5;2;1;1,21;21;11;6;5;2;1;1,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,23,21,42.5,711;711;279;169;116;269;114;176
POLA1,-0.0789941878,0.585150985980786,0,P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,1;1;1,1;1;1,1;1;1,DNA polymerase alpha catalytic subunit;DNA polymerase,POLA1,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,1,1,0.5,1462;1461;1468
CTNNBL1,-0.0627049152,0.619997383462822,0,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,9;9;2,9;9;2,9;9;2,Beta-catenin-like protein 1,CTNNBL1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,9,9,18.1,563;568;166
SPCS2,-0.3700575959,0.0481830500062949,0,Q15005;E9PRB9;E9PL01;A0A087WUC6;E9PI68,Q15005;E9PRB9;E9PL01;A0A087WUC6;E9PI68,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,Signal peptidase complex subunit 2,SPCS2,sp|Q15005|SPCS2_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=3;tr|E9PRB9|E9PRB9_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=1;tr|E9PL01|E9PL01_HUMAN Signal peptidase complex subunit,3,3,19.9,226;87;157;227;257
HNRNPDL,-0.5235753545,0.0258031432148793,0,O14979;A0A087WUK2,O14979;A0A087WUK2,10;10,8;8,8;8,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,10,8,21.4,420;363
SLIRP,-0.1552772785,0.286228769393093,0,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJ07;H0YJU7;H0YJI1,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,7;7;7;7;7;6;2;2;1,7;7;7;7;7;6;2;2;1,7;7;7;7;7;6;2;2;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,"sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",7,7,67.9,109;92;96;98;124;76;56;72;40
MTHFD1L,-0.1132564228,0.418142526859164,0,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM0;H0Y327;Q4VXM1;Q5JYA8;Q5JYA3,Q6UB35;A0A087WVM4;B7ZM99,14;14;14;2;2;1;1;1,13;13;13;2;2;1;1;1,13;13;13;2;2;1;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,"sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",14,13,18.7,978;913;979;92;332;57;108;114
POLR2E,-0.4771675743,0.0455001514300798,0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,2;2;2;1;1;1;1,2;2;2;1;1;1;1,2;2;2;1;1;1;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,"sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WVZ9|A0A087WVZ9_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV",2,2,12.4,210;184;204;51;68;83;134
POLD2,0.5703730706,0.183880624437361,0,P49005;F8W8R3;A0A087WWF6;C9IZD2;C9J8Z7;C9JLE1;C9JHC7;H7C1B3,P49005;F8W8R3;A0A087WWF6;C9IZD2;C9J8Z7;C9JLE1;C9JHC7,5;5;5;3;3;3;3;1,5;5;5;3;3;3;3;1,5;5;5;3;3;3;3;1,DNA polymerase delta subunit 2,POLD2,sp|P49005|DPOD2_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|F8W8R3|F8W8R3_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|A0A087WWF6|A0A087WWF6_HUMAN DNA polymerase delta subunit 2 O,5,5,13.6,469;455;504;148;155;220;257;83
TPM3,0.0773343059,0.531117750118755,0,A0A087WWU8;D6R904;A0A494C0G0;Q5VU61;H0YL80,A0A087WWU8;D6R904,26;16;9;7;5,26;16;9;7;5,11;11;4;7;0,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,26,11,74.4,227;95;87;49;68
RPL17;RPL17-C18orf32,0.1815271094,0.295814835973993,0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81;J3KSJ0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81,12;12;12;12;12;11;11;11;9;9;8;4,12;12;12;12;12;11;11;11;9;9;8;4,12;12;12;12;12;11;11;11;9;9;8;4,60S ribosomal protein L17,RPL17;RPL17-C18orf32,sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=1;tr|J3QQT2|J3QQT2_HUMAN 60S ribosomal protein L17 (Fragm,12,12,50,184;169;171;174;228;129;131;138;174;190;97;56
ITGB6,-0.1215205301,0.510562503893883,0,P18564;A0A087WXP3;E9PEE8,P18564;A0A087WXP3;E9PEE8,1;1;1,1;1;1,1;1;1,Integrin beta-6;Integrin beta,ITGB6,sp|P18564|ITB6_HUMAN Integrin beta-6 OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=2;tr|A0A087WXP3|A0A087WXP3_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1;tr|E9PEE8|E9PEE8_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1,1,1,1.1,788;693;746
VTA1,0.2049302638,0.266172874126912,0,Q9NP79;A0A087WY55;Q5TGM0,Q9NP79;A0A087WY55,5;5;2,5;5;2,5;5;2,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,"sp|Q9NP79|VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|A0A087WY55|A0A087WY55_HUMAN Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1",5,5,19.9,307;280;249
AP2M1,-0.3119792904,0.268968351256146,0,Q96CW1;A0A087WY71;E9PFW3;C9JJ47;H7C4C3;C9JTK4;C9JGT8,Q96CW1;A0A087WY71;E9PFW3;C9JJ47,6;6;6;3;1;1;1,6;6;6;3;1;1;1,6;6;6;3;1;1;1,AP-2 complex subunit mu,AP2M1,sp|Q96CW1|AP2M1_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2;tr|A0A087WY71|A0A087WY71_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=1;tr|E9PFW3|E9PFW3_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=960,6,6,19.3,435;434;460;252;122;160;195
UBE2D3;UBE2D2,-0.2723108499,0.137630608016575,0,P61077;P62837;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;D6RAW0;Q9Y2X8;P51668;D6RA11;A0A087WW00;C9J9H9,P61077;P62837;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;D6RAW0,3;3;3;3;3;3;3;2;1;1;1;1;1,3;3;3;3;3;3;3;2;1;1;1;1;1,3;3;3;3;3;3;3;2;1;1;1;1;1,Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2,UBE2D3;UBE2D2,sp|P61077|UB2D3_HUMAN Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1;sp|P62837|UB2D2_HUMAN Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens OX=9606 GN=UBE2D2 PE=1 SV=1;tr|D6RFM0|D6RFM0_HUMAN Ubiquitin-conjugating enzyme E2,3,3,36.1,147;147;98;118;141;147;148;72;147;147;96;109;122
POLD1,0.63537591,0.05330676452894,0,P28340;M0QZR8;A0A087WYJ2;M0R2B7;A0A2R8Y705;A0A2R8Y7K6;M0QXE6,P28340;M0QZR8;A0A087WYJ2;M0R2B7;A0A2R8Y705;A0A2R8Y7K6,4;4;4;4;3;3;1,4;4;4;4;3;3;1,4;4;4;4;3;3;1,DNA polymerase delta catalytic subunit;DNA polymerase,POLD1,sp|P28340|DPOD1_HUMAN DNA polymerase delta catalytic subunit OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=2;tr|M0QZR8|M0QZR8_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=1;tr|A0A087WYJ2|A0A087WYJ2_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,4,4,4.5,1107;1009;1083;1133;447;762;289
PTGES3,-0.2830026297,0.0828041889307984,0,Q15185;A0A087WYT3,Q15185;A0A087WYT3,7;7,7;7,7;7,Prostaglandin E synthase 3,PTGES3,sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1;tr|A0A087WYT3|A0A087WYT3_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,7,7,26.2,160;164
EIF3H,-0.5552262448,0.0132472897219217,0,O15372;A0A087WZK9;B3KS98;E5RJT0;E5RGU4,O15372;A0A087WZK9;B3KS98;E5RJT0,5;5;5;3;1,5;5;5;3;1,5;5;5;3;1,Eukaryotic translation initiation factor 3 subunit H,EIF3H,sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|A0A087WZK9|A0A087WZK9_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|B3KS98|B,5,5,21,352;349;366;244;235
SBDS,-0.0404175983,0.749442450036738,0,Q9Y3A5;A0A087X020;F8WE72,Q9Y3A5;A0A087X020,5;5;2,5;5;2,5;5;2,Ribosome maturation protein SBDS,SBDS,sp|Q9Y3A5|SBDS_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=4;tr|A0A087X020|A0A087X020_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=1,5,5,18.4,250;250;86
HYOU1,-0.3806385003,0.088442324975752,0,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2;J3KTF1;Q9BST8;J3QQH7;J3QLE9;J3QL06;A0A087WW13;A0A087X214,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2,17;17;17;13;13;13;5;4;4;4;4;3;2,17;17;17;13;13;13;5;4;4;4;4;3;2,17;17;17;13;13;13;5;4;4;4;4;3;2,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087X054|A0A087X054_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A494C039|A0A494C039_HUMAN Hypoxia up-regulated pro,17,17,22.5,999;937;1000;656;677;678;224;147;149;154;211;102;92
SNX12,-0.5535748635,0.0485860726080601,0,Q9UMY4;A0A087X0R6,Q9UMY4;A0A087X0R6,4;4,4;4,3;3,Sorting nexin-12,SNX12,sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=4;tr|A0A087X0R6|A0A087X0R6_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=1,4,3,20.4,162;172
ACOT1;ACOT2,-0.2065611177,0.240359299473828,0,Q86TX2;A0A087X0W7;P49753;A0A087WT95;G3V4F2;A0A2R8Y7H3,Q86TX2;A0A087X0W7;P49753;A0A087WT95;G3V4F2,12;12;11;11;10;2,12;12;11;11;10;2,12;12;11;11;10;2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT1;ACOT2,"sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=1;sp|P49753|ACOT2_HUMAN Acyl-coenzyme A th",12,12,38.7,421;421;483;463;395;421
NOMO2;NOMO1;NOMO3,-0.1214523396,0.709634698329672,0,Q5JPE7;Q15155;P69849;J3KN36;A0A0G2JN29;A0A087X117;A0A0G2JP90;A0A087WW46;H3BPS9;H3BUC9;A0A087WTD5,Q5JPE7;Q15155;P69849;J3KN36;A0A0G2JN29;A0A087X117;A0A0G2JP90;A0A087WW46,8;8;8;8;8;8;7;7;2;1;1,8;8;8;8;8;8;7;7;2;1;1,8;8;8;8;8;8;7;7;2;1;1,Nodal modulator 2;Nodal modulator 1;Nodal modulator 3,NOMO2;NOMO1;NOMO3,sp|Q5JPE7|NOMO2_HUMAN Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1;sp|Q15155|NOMO1_HUMAN Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5;sp|P69849|NOMO3_HUMAN Nodal modulator 3 OS=Homo sapiens OX=9606 GN=NOMO3 PE=1 SV=2;tr|J3KN,8,8,9.5,1267;1222;1222;1267;1267;1267;1100;1100;223;144;282
SEPT8,-0.3460840628,0.0421605571982233,0,Q92599;A0A087X142;A6NMH6;A6NFQ9;F8W8I8;C9JV02;A0A0A0MRP8;C9J4G8,Q92599;A0A087X142;A6NMH6;A6NFQ9;F8W8I8,10;10;10;10;10;3;1;1,6;6;6;6;6;1;1;1,6;6;6;6;6;1;1;1,Septin-8,SEPT8,sp|Q92599|SEPT8_HUMAN Septin-8 OS=Homo sapiens OX=9606 GN=SEPTIN8 PE=1 SV=4;tr|A0A087X142|A0A087X142_HUMAN Septin-8 OS=Homo sapiens OX=9606 GN=SEPTIN8 PE=1 SV=1;tr|A6NMH6|A6NMH6_HUMAN Septin-8 OS=Homo sapiens OX=9606 GN=SEPTIN8 PE=1 SV=1;tr|A6NFQ9|A6NFQ9_H,10,6,31.3,483;426;430;440;460;130;78;97
RAB18,0.0121465376,0.964591459177014,0,Q9NP72;A0A087X163;Q5W0J0;H0Y6T8,Q9NP72;A0A087X163;Q5W0J0;H0Y6T8,6;6;4;3,6;6;4;3,6;6;4;3,Ras-related protein Rab-18,RAB18,sp|Q9NP72|RAB18_HUMAN Ras-related protein Rab-18 OS=Homo sapiens OX=9606 GN=RAB18 PE=1 SV=1;tr|A0A087X163|A0A087X163_HUMAN Ras-related protein Rab-18 OS=Homo sapiens OX=9606 GN=RAB18 PE=1 SV=1;tr|Q5W0J0|Q5W0J0_HUMAN Ras-related protein Rab-18 OS=Homo sapie,6,6,33.5,206;182;161;291
PSME2,-0.4125152613,0.0794882694853358,0,Q9UL46;A0A087X1Z3;H0YM70,Q9UL46;A0A087X1Z3;H0YM70,7;7;5,7;7;5,7;7;5,Proteasome activator complex subunit 2,PSME2,sp|Q9UL46|PSME2_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=4;tr|A0A087X1Z3|A0A087X1Z3_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=1;tr|H0YM70|H0YM70_HUMAN Proteasome activ,7,7,34.7,239;254;228
AP2B1,-0.1348031401,0.42788453808267,0,P63010;A0A087X253;A0A087WYD1;A0A087WU93;A0A087WZQ6,P63010;A0A087X253,13;13;6;6;6,13;13;6;6;6,9;9;3;3;3,AP-2 complex subunit beta,AP2B1,sp|P63010|AP2B1_HUMAN AP-2 complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1;tr|A0A087X253|A0A087X253_HUMAN AP complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1,13,9,14.6,937;913;639;663;677
