CRBN_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
NDUFS7,0.1142965461,0.445448993084829,0,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,"sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",3,3,16,213
KHSRP,-0.0797354508,0.539475323947088,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0QYG1;M0R0C6;M0R251;M0R263,Q92945;A0A087WTP3;M0R0I5,29;29;16;10;5;4;3;3;2;2,24;24;13;7;4;2;1;1;0;0,24;24;13;7;4;2;1;1;0;0,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,29,24,46.1,711
HNRNPDL,-0.6490387742,0.00934222152914568,0,A0A087WU03,A0A087WU03,2,2,2,,HNRNPDL,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,2,40.4,57
MRPL45,0.0642798002,0.878134731027901,0,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,5;5;5;5,5;5;5;5,5;5;5;5,"39S ribosomal protein L45, mitochondrial",MRPL45,"sp|Q9BRJ2|RM45_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=2;tr|A0A0G2JMS5|A0A0G2JMS5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1;tr|A0A087WU62|A0A087WU62_HUMAN 39S",5,5,21.2,306
POLA1,-0.0244398958,0.862655189584936,0,P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,1;1;1,1;1;1,1;1;1,DNA polymerase alpha catalytic subunit;DNA polymerase,POLA1,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,1,1,0.5,1462
CTNNBL1,-0.1960431339,0.164767527690264,0,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,8;8;1,8;8;1,8;8;1,Beta-catenin-like protein 1,CTNNBL1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,8,8,15.8,563
SPCS2,1.0949376345,0.0558405787199854,0,Q15005;E9PRB9;E9PL01;A0A087WUC6;E9PI68,Q15005;E9PRB9;E9PL01;A0A087WUC6;E9PI68,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Signal peptidase complex subunit 2,SPCS2,sp|Q15005|SPCS2_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=3;tr|E9PRB9|E9PRB9_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=1;tr|E9PL01|E9PL01_HUMAN Signal peptidase complex subunit,2,2,11.5,226
HNRNPDL,-0.4615126959,0.0148761717922958,0,O14979;A0A087WUK2,O14979;A0A087WUK2,21;21,19;19,19;19,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,21,19,38.3,420
EIF5B,0.0355291999,0.832293985373393,0,O60841;A0A087WUT6,O60841;A0A087WUT6,15;15,15;15,15;15,Eukaryotic translation initiation factor 5B,EIF5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,15,15,21.8,1220
MTHFD1L,-0.3242066676,0.0880278474046141,0,Q6UB35;A0A087WVM4;B7ZM99;H0Y327;Q5JYA8;Q5JYA3;Q4VXM1;Q4VXM0;Q4VXV2,Q6UB35;A0A087WVM4;B7ZM99,19;19;19;6;2;2;1;1;1,18;18;18;6;2;2;1;1;1,18;18;18;6;2;2;1;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,"sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",19,18,30.3,978
RRBP1,0.1624152422,0.234976666841746,0,Q9P2E9;A0A087WVV2;F8W7S5,Q9P2E9;A0A087WVV2;F8W7S5,21;21;20,21;21;20,14;14;13,Ribosome-binding protein 1,RRBP1,sp|Q9P2E9|RRBP1_HUMAN Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5;tr|A0A087WVV2|A0A087WVV2_HUMAN Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=1;tr|F8W7S5|F8W7S5_HUMAN Ribosome-binding protein 1 OS=Homo sapie,21,14,19.7,1410
POLR2E,-0.5076200118,0.0745990584637144,0,P19388;A0A087WVZ9;A0A0A0MQR7;A0A087WVN5;A0A087WWX0,P19388;A0A087WVZ9;A0A0A0MQR7,3;3;3;1;1,3;3;3;1;1,3;3;3;1;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,"sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WVZ9|A0A087WVZ9_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV",3,3,27.6,210
POLD2,0.4237539643,0.274935398624527,0,P49005;F8W8R3;A0A087WWF6;C9IZD2;C9J8Z7;C9JLE1;C9JHC7;H7C1B3,P49005;F8W8R3;A0A087WWF6;C9IZD2;C9J8Z7;C9JLE1;C9JHC7,4;4;4;2;2;2;2;1,4;4;4;2;2;2;2;1,4;4;4;2;2;2;2;1,DNA polymerase delta subunit 2,POLD2,sp|P49005|DPOD2_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|F8W8R3|F8W8R3_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|A0A087WWF6|A0A087WWF6_HUMAN DNA polymerase delta subunit 2 O,4,4,10.7,469
TPM3,0.1260103453,0.318095503371668,0,A0A087WWU8;D6R904;A0A494C0G0;Q5VU61,A0A087WWU8;D6R904,34;19;11;8,34;19;11;8,12;12;4;8,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,34,12,82.8,227
TARDBP;TDP43,-0.3359562534,0.0361671358277858,0,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;A0A087WXQ5;A0A087WV68;K7EN94;A0A1W2PNU8;A0A087WXV3;A0A087WX67;A0A087WW61;K7EL26;A0A087WZC9;A0A087WYE7;A0A0A0MSV7;K7EJ99;A0A087WTZ4,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;A0A087WXQ5;A0A087WV68;K7EN94,12;12;10;10;10;10;8;8;7;7;7;5;4;3;3;2;2;2;2;2;2,12;12;10;10;10;10;8;8;7;7;7;5;4;3;3;2;2;2;2;2;2,12;12;10;10;10;10;8;8;7;7;7;5;4;3;3;2;2;2;2;2;2,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,12,12,32.4,414
RPL17;RPL17-C18orf32,0.3356348326,0.10344844051695,0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3QLC8;J3KRB3;A0A087WWH0;J3QS96;A0A0A0MRF8;A0A087WY81;J3KSJ0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3QLC8;J3KRB3;A0A087WWH0;J3QS96;A0A0A0MRF8;A0A087WY81,21;21;21;21;21;18;17;17;17;17;12;5,21;21;21;21;21;18;17;17;17;17;12;5,21;21;21;21;21;18;17;17;17;17;12;5,60S ribosomal protein L17,RPL17;RPL17-C18orf32,sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=1;tr|J3QQT2|J3QQT2_HUMAN 60S ribosomal protein L17 (Fragm,21,21,71.2,184
ITGB6,0.1655484954,0.285031172224501,0,P18564;A0A087WXP3;E9PEE8,P18564;A0A087WXP3;E9PEE8,1;1;1,1;1;1,1;1;1,Integrin beta-6;Integrin beta,ITGB6,sp|P18564|ITB6_HUMAN Integrin beta-6 OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=2;tr|A0A087WXP3|A0A087WXP3_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1;tr|E9PEE8|E9PEE8_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1,1,1,1.1,788
VTA1,0.2682302648,0.0822076544816645,0,Q9NP79;A0A087WY55,Q9NP79;A0A087WY55,4;4,4;4,2;2,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,"sp|Q9NP79|VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|A0A087WY55|A0A087WY55_HUMAN Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1",4,2,16,307
AP2M1,-0.431988697,0.189168460972766,0,Q96CW1;A0A087WY71;E9PFW3;H7C4C3;C9JJ47,Q96CW1;A0A087WY71;E9PFW3,4;4;4;1;1,4;4;4;1;1,4;4;4;1;1,AP-2 complex subunit mu,AP2M1,sp|Q96CW1|AP2M1_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2;tr|A0A087WY71|A0A087WY71_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=1;tr|E9PFW3|E9PFW3_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=960,4,4,14.7,435
UBE2D3;UBE2D2,0.0930861274,0.760738298935451,0,P61077;P62837;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;D6RAW0;D6RA11,P61077;P62837;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;D6RAW0,3;3;3;3;3;3;3;2;1,3;3;3;3;3;3;3;2;1,2;2;2;2;2;2;2;1;0,Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2,UBE2D3;UBE2D2,sp|P61077|UB2D3_HUMAN Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1;sp|P62837|UB2D2_HUMAN Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens OX=9606 GN=UBE2D2 PE=1 SV=1;tr|D6RFM0|D6RFM0_HUMAN Ubiquitin-conjugating enzyme E2,3,2,36.1,147
POLD1,0.2959816205,0.183593211706355,0,P28340;A0A087WYJ2;M0R2B7;M0QZR8;A0A2R8Y705;A0A2R8Y7K6;M0QXE6;M0QXQ2;M0R3H8,P28340;A0A087WYJ2;M0R2B7;M0QZR8;A0A2R8Y705;A0A2R8Y7K6,5;5;5;4;3;3;2;1;1,5;5;5;4;3;3;2;1;1,5;5;5;4;3;3;2;1;1,DNA polymerase delta catalytic subunit;DNA polymerase,POLD1,sp|P28340|DPOD1_HUMAN DNA polymerase delta catalytic subunit OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=2;tr|A0A087WYJ2|A0A087WYJ2_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=1;tr|M0R2B7|M0R2B7_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,5,5,7.4,1107
UGP2,-0.2141597785,0.187977255319228,0,Q16851;A0A087WYS1;E7EUC7;C9JNZ1;C9JVG3;C9JQU9;C9JWG0;C9JTZ5;C9JUW1;F2Z3H1,Q16851;A0A087WYS1;E7EUC7;C9JNZ1,16;16;16;10;6;6;5;4;4;1,16;16;16;10;6;6;5;4;4;1,16;16;16;10;6;6;5;4;4;1,UTP--glucose-1-phosphate uridylyltransferase,UGP2,sp|Q16851|UGPA_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5;tr|A0A087WYS1|A0A087WYS1_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=1;tr|E7EUC7|E7EUC7_HUMAN UTP--gl,16,16,36,508
EIF3H,-0.4251659475,0.0219535742952514,0,O15372;A0A087WZK9;B3KS98;E5RGU4;E5RFH0,O15372;A0A087WZK9;B3KS98,8;8;8;2;1,8;8;8;2;1,3;3;3;0;0,Eukaryotic translation initiation factor 3 subunit H,EIF3H,sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|A0A087WZK9|A0A087WZK9_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|B3KS98|B,8,3,37.5,352
OGFR,-0.1011733409,0.643006995179353,0,Q9NZT2;A0A087X028;A0A0A0MRN5,Q9NZT2;A0A087X028;A0A0A0MRN5,4;4;4,4;4;4,4;4;4,Opioid growth factor receptor,OGFR,sp|Q9NZT2|OGFR_HUMAN Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=3;tr|A0A087X028|A0A087X028_HUMAN Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=1;tr|A0A0A0MRN5|A0A0A0MRN5_HUMAN Opioid growth factor receptor,4,4,7.2,677
HYOU1,-0.1306811199,0.42905075241071,0,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2;J3KTF1;J3QL06;Q9BST8;J3QQH7;J3QLE9;A0A087WW13;A0A087X214;Q9BXT5;A0A2R8Y358;A0A1W2PS94,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2,31;31;31;21;21;21;8;7;6;6;6;4;3;1;1;1,31;31;31;21;21;21;8;7;6;6;6;4;3;1;1;1,31;31;31;21;21;21;8;7;6;6;6;4;3;1;1;1,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087X054|A0A087X054_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A494C039|A0A494C039_HUMAN Hypoxia up-regulated pro,31,31,37.7,999
SLC4A1AP,-0.5583119966,0.0161455618767957,0,Q9BWU0;A0A087X0M4;A0A087WWF4,Q9BWU0;A0A087X0M4;A0A087WWF4,2;2;1,2;2;1,2;2;1,Kanadaptin,SLC4A1AP,sp|Q9BWU0|NADAP_HUMAN Kanadaptin OS=Homo sapiens OX=9606 GN=SLC4A1AP PE=1 SV=1;tr|A0A087X0M4|A0A087X0M4_HUMAN Kanadaptin OS=Homo sapiens OX=9606 GN=SLC4A1AP PE=1 SV=1;tr|A0A087WWF4|A0A087WWF4_HUMAN Kanadaptin (Fragment) OS=Homo sapiens OX=9606 GN=SLC4A1AP ,2,2,2.6,796
ACOT2;ACOT1,-0.2682749616,0.291822414249763,0,A0A087X0W7;P49753;Q86TX2;A0A087WT95;G3V4F2;A0A2R8Y7H3,A0A087X0W7;P49753;Q86TX2;A0A087WT95;G3V4F2,17;16;16;16;14;2,17;16;16;16;14;2,17;16;16;16;14;2,"Acyl-coenzyme A thioesterase 2, mitochondrial;Acyl-coenzyme A thioesterase 1",ACOT2;ACOT1,"tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=1;sp|P49753|ACOT2_HUMAN Acyl-coenzyme A thioesterase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=6;sp|Q86TX2|ACOT1_HUMAN Acy",17,17,62.9,421
SEPT8,-0.101161139,0.64640856718503,0,Q92599;A0A087X142;A6NMH6;A6NFQ9;F8W8I8;C9JV02;A0A0A0MRP8;C9J4G8,Q92599;A0A087X142;A6NMH6;A6NFQ9;F8W8I8,9;9;9;9;9;3;1;1,5;5;5;5;5;1;1;1,5;5;5;5;5;1;1;1,Septin-8,SEPT8,sp|Q92599|SEPT8_HUMAN Septin-8 OS=Homo sapiens OX=9606 GN=SEPTIN8 PE=1 SV=4;tr|A0A087X142|A0A087X142_HUMAN Septin-8 OS=Homo sapiens OX=9606 GN=SEPTIN8 PE=1 SV=1;tr|A6NMH6|A6NMH6_HUMAN Septin-8 OS=Homo sapiens OX=9606 GN=SEPTIN8 PE=1 SV=1;tr|A6NFQ9|A6NFQ9_H,9,5,30.4,483
