Gene_names,DET1_vs_BirA_logFC,DET1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DET1_N1,Peptides_DET1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DET1_N1,Razor___unique_peptides_DET1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DET1_N1,Unique_peptides_DET1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DET1_N1,Identification_type_DET1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DET1_N1,Ratio_H_L_DET1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DET1_N1,Ratio_H_L_normalized_DET1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DET1_N1,Ratio_H_L_variability_____DET1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DET1_N1,Ratio_H_L_count_DET1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DET1_N1,Ratio_H_L_iso_count_DET1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DET1_N1,Ratio_H_L_type_DET1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DET1_N1____,Sequence_coverage_DET1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DET1_N1,Intensity_L_DET1_N1,Intensity_H_DET1_N1,Intensity_DET1_N2,Intensity_L_DET1_N2,Intensity_H_DET1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DET1_N1,metacell_Intensity_L_DET1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
EPB41L2,-0.483450473062113,0.561060327728829,O43491;E9PK52;E9PHY5;E9PII3;A0A2R8Y5B3;Q6ZSX4;H0Y5B0;E9PPC9;E9PMV8;Q6R5J7,O43491;E9PK52;E9PHY5;E9PII3;A0A2R8Y5B3,10;9;9;8;7;2;2;2;2;2,10;9;9;8;7;2;2;2;2;2,8;7;7;6;5;2;2;2;2;2,Band 4.1-like protein 2,sp|O43491|E41L2_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1;tr|E9PK52|E9PK52_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1;tr|E9PHY5|E9PHY5_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN,10,10,10,8,3,6,5,2,3,6,5,2,2,5,4,2,13.4,13.4,12.5,112.59,1005,1005;811;935;706;824;201;380;126;268;383,0.0,11.574,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31718,1.0531,10.397,16,10,Leave out requantified,0.26496,0.31237,0.27723,0.38879,0.91586,0.66708,0.99585,1.1495,27.474,48.299,32.297,2.8416,3,6,5,2,2,5,3,0,Plateau,Median,Median,Median,4.5,10.3,5.5,2.1,546230000,408780000,137450000,73157000,55462000,17694000,205090000,156270000,48824000,189250000,143150000,46096000,78732000,53895000,24838000,,,,1266,2831;4120;4121;5274;7519;12201;12402;16437;17685;18345,True;True;True;True;True;True;True;True;True;True,3651;5283;5284;6879;9866;15928;16173;21234;22857;23683,8509;11994;11995;11996;15615;15616;22414;35730;35731;36294;36295;47810;47811;51511;51512;53393,15835;21895;21896;21897;21898;28344;28345;28346;40513;63327;63328;63329;63330;64393;64394;84991;84992;84993;84994;91698;95090,15835;21895;21897;28345;40513;63330;64394;84992;91698;95090,334;1001;1002,,420;432;514,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1267,quanti,quanti,quanti,quanti
XPOT,-0.853423943296022,0.314609708334899,O43592;F8WDU6;F5GYW6,O43592;F8WDU6,4;2;1,4;2;1,4;2;1,Exportin-T,sp|O43592|XPOT_HUMAN Exportin-T OS=Homo sapiens OX=9606 GN=XPOT PE=1 SV=2;tr|F8WDU6|F8WDU6_HUMAN Exportin-T (Fragment) OS=Homo sapiens OX=9606 GN=XPOT PE=1 SV=8,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,6.4,6.4,6.4,109.96,962,962;201;60,0.022737,0.85941,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.151,4.8734,115.37,4,1,Leave out requantified,2.3283,0.30752,1.151,0.48311,6.6732,0.78764,4.8734,1.2681,,,,,1,1,1,1,0,0,0,1,Median,Median,Median,Median,2.0,1.6,2.0,0.9,149290000,61454000,87839000,24498000,7552800,16945000,38650000,30620000,8030100,64030000,8141600,55888000,22116000,15140000,6975900,,,,1267,1088;3944;5649;9643,True;True;True;True,1414;5060;7383;12753,3272;11532;16714;28749,5920;21097;30285;51398,5920;21097;30285;51398,,93;94,,229;234,-1;-1;-1,protein_1268,quanti,quanti,quanti,quanti
TIMM44,-0.835046309297891,0.230236349372903,O43615;M0QXU7;M0R301;M0QXM9;M0R124,O43615;M0QXU7,4;2;1;1;1,4;2;1;1;1,4;2;1;1;1,Mitochondrial import inner membrane translocase subunit TIM44,sp|O43615|TIM44_HUMAN Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2;tr|M0QXU7|M0QXU7_HUMAN Mitochondrial import inner membrane translocase subunit TIM44 (Fragment) OS=Homo sapiens OX=9606 GN=TIMM4,5,4,4,4,1,2,2,1,1,2,2,1,1,2,2,1,10.2,10.2,10.2,51.355,452,452;273;126;133;139,0.0,7.0877,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38406,1.0507,32.568,6,4,Median,0.39889,0.3599,0.40442,0.53852,1.1843,0.90773,1.1665,1.5134,,3.7621,58.62,,1,2,2,1,1,0,2,1,Median,Median,Median,Median,2.7,5.3,4.9,2.0,166590000,115070000,51520000,26916000,19328000,7587800,65062000,49063000,15999000,47193000,28472000,18721000,27423000,18210000,9212400,,,,1268,6824;11370;11468;13361,True;True;True;True,8997;14889;15005;17380,20433;33426;33647;33648;38838;38839,37076;59303;59638;59639;68675;68676,37076;59303;59638;68676,,,,,-1;-1;-1;-1;-1,protein_1269,quanti,quanti,quanti,quanti
PLRG1,2.75670046276486,0.0102844229010774,O43660;B7Z982;D6RA26;H0YA24,O43660,5;2;2;1,5;2;2;1,5;2;2;1,Pleiotropic regulator 1,sp|O43660|PLRG1_HUMAN Pleiotropic regulator 1 OS=Homo sapiens OX=9606 GN=PLRG1 PE=1 SV=1,4,5,5,5,1,1,4,4,1,1,4,4,1,1,4,4,13.8,13.8,13.8,57.193,514,514;131;212;156,0.0,8.8456,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.49104,1.7859,10.786,13,1,Leave out requantified,0.50169,0.64082,0.50274,0.47493,1.5624,1.6498,2.0539,1.457,,,5.243,16.537,1,1,7,4,0,0,1,0,Median,Median,Leave out requantified,Leave out requantified,2.9,2.9,12.6,10.1,642890000,416970000,225920000,30031000,18895000,11136000,33928000,19344000,14584000,402680000,271890000,130790000,176260000,106840000,69412000,,,,1269,6101;15539;16509;16769;16921,True;True;True;True;True,8058;20101;20102;21315;21316;21658;21871;21872,18289;18290;45151;45152;47961;47962;47963;48801;48802;49311;49312;49313;49314,33200;33201;33202;79890;79891;85239;85240;85241;85242;85243;86750;86751;86752;87727;87728;87729;87730;87731;87732,33200;79891;85241;86750;87730,1003;1004,,7;320,,-1;-1;-1;-1,protein_1270,quanti,quanti,quanti,quanti
NDUFA2,-1.50131549328407,0.0304513077669712,O43678,O43678,3,3,3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,sp|O43678|NDUA2_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens OX=9606 GN=NDUFA2 PE=1 SV=3,1,3,3,3,2,3,1,1,2,3,1,1,2,3,1,1,45.5,45.5,45.5,10.921,99,99,0.00057703,2.5031,By MS/MS,By MS/MS,By MS/MS,By matching,0.91901,2.7004,16.857,7,1,Leave out requantified,0.72497,0.95138,0.84635,0.9807,2.1868,2.4408,3.1401,3.0573,12.819,19.698,,,2,3,1,1,1,0,0,0,Median,Leave out requantified,Median,Median,35.4,45.5,21.2,14.1,284970000,145150000,139820000,57823000,33468000,24355000,139440000,67346000,72097000,38527000,20741000,17786000,49177000,23592000,25585000,,,,1270,1163;14552;18234,True;True;True,1508;18858;23553,3486;42239;42240;42241;53113;53114;53115,6273;74639;74640;94623;94624;94625,6273;74640;94623,,,,,-1,protein_1271,quanti,quanti,quanti,quanti
ASNA1,-1.9368106728061,0.0547580191860763,O43681,O43681,4,4,4,ATPase ASNA1,sp|O43681|GET3_HUMAN ATPase GET3 OS=Homo sapiens OX=9606 GN=GET3 PE=1 SV=2,1,4,4,4,3,4,1,2,3,4,1,2,3,4,1,2,19.3,19.3,19.3,38.792,348,348,0.0,12.766,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45756,1.3661,19.345,11,0,Leave out requantified,0.41204,0.51516,0.23514,0.39801,1.4175,1.3826,0.70781,1.1592,15.052,15.061,,19.767,3,4,1,3,0,0,0,0,Leave out requantified,Leave out requantified,Median,Plateau,12.1,19.3,2.9,8.3,475380000,322430000,152950000,133140000,82204000,50941000,214480000,147080000,67404000,24055000,19483000,4572000,103700000,73663000,30037000,,,,1271,5345;9695;15979;18587,True;True;True;True,6982;12831;12832;20654;23996,15868;15869;15870;28926;28927;28928;28929;28930;46332;46333;54092,28833;28834;28835;28836;28837;28838;51799;51800;51801;51802;51803;51804;51805;51806;51807;51808;51809;51810;81927;81928;81929;81930;96201;96202,28838;51805;81927;96201,,,,,-1,protein_1272,quanti,quanti,quanti,quanti
ACTN4,1.19311464794778,0.0667673920826819,O43707;F5GXS2;H7C144;P35609;A0A494C1A0;K7EJH8;A0A494C033;A0A494C166;F6THM6;A0A494C0Q3;K7EP19;A0A494C060,O43707;F5GXS2,52;27;19;13;13;12;7;7;6;5;4;2,29;19;15;0;0;6;0;0;0;0;0;0,28;19;15;0;0;6;0;0;0;0;0;0,Alpha-actinin-4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2;tr|F5GXS2|F5GXS2_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,12,52,29,28,19,24,45,43,11,15,23,21,11,15,22,20,57.5,38.3,37.1,104.85,911,911;521;342;894;858;182;182;263;686;131;105;588,0.0,97.831,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27825,0.97361,37.952,85,30,Leave out requantified,0.29495,0.33853,0.2202,0.32902,1.0562,0.93128,0.93796,1.06,31.168,24.884,43.541,66.306,12,15,32,26,0,3,16,11,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,28.9,34.1,51.7,51.5,7138700000,5361400000,1777300000,752710000,565030000,187670000,1044800000,754640000,290190000,3202600000,2473900000,728710000,2138500000,1567800000,570740000,,,,1272,300;916;917;1107;1108;1755;2386;2387;2471;2584;2985;2986;3114;3329;3526;3659;5032;5780;6067;6075;6119;6202;6310;6311;7037;7726;8201;8202;8542;8543;8659;8727;8728;9864;10315;10375;10980;10981;11380;12520;12783;13459;13848;15304;15305;15495;15505;16765;17020;17021;17043;17044,True;False;False;False;False;True;False;False;True;True;True;True;False;False;True;False;True;False;True;True;False;True;True;True;True;True;False;False;False;False;False;False;False;False;True;True;True;True;True;True;True;True;True;False;False;False;True;False;True;True;True;True,368;1156;1157;1158;1159;1160;1436;1437;1438;1439;1440;2263;3067;3068;3069;3176;3177;3328;3329;3848;3849;3850;4003;4004;4281;4521;4693;6531;7558;7559;8010;8021;8022;8085;8193;8328;8329;9275;10133;10864;10865;10866;10867;10868;10869;10870;11347;11348;11349;11511;11512;11592;11593;13032;13602;13678;13679;14425;14426;14900;16312;16643;17495;17970;19784;19785;19786;20046;20047;20059;21653;21654;22028;22029;22030;22059;22060,822;823;2671;2672;2673;2674;2675;2676;2677;2678;2679;2680;2681;2682;2683;2684;2685;2686;3319;3320;3321;3322;3323;3324;3325;3326;3327;3328;3329;3330;3331;5316;5317;5318;5319;7198;7199;7200;7201;7202;7419;7420;7769;7770;7771;7772;7773;8923;8924;8925;8926;8927;8928;9242;9243;9244;9245;9854;9855;9856;10340;10341;10342;10708;10709;14833;14834;14835;14836;14837;17088;17089;17090;18195;18196;18197;18198;18215;18216;18217;18354;18355;18356;18357;18578;18888;18889;18890;18891;18892;18893;18894;21074;21075;22987;22988;24484;24485;24486;24487;24488;24489;24490;24491;24492;24493;24494;24495;24496;24497;24498;24499;24500;24501;24502;24503;24504;24505;25557;25558;25559;25560;25561;26005;26006;26007;26008;26009;26175;26176;26177;29347;29348;30589;30590;30591;30731;30732;30733;30734;30735;30736;30737;30738;32432;32433;32434;32435;32436;33445;33446;33447;36605;36606;37272;37273;37274;39080;39081;40132;40133;40134;44445;44446;44447;44448;44449;44450;44451;44452;44453;44454;44455;44456;45038;45039;45040;45041;45042;45043;45044;45045;45069;48785;48786;48787;48788;48789;48790;48791;48792;49657;49658;49659;49660;49661;49662;49663;49664;49665;49666;49738;49739;49740;49741,1521;4859;4860;4861;4862;4863;4864;4865;4866;4867;4868;4869;4870;4871;4872;4873;4874;4875;4876;4877;4878;4879;4880;4881;4882;4883;4884;4885;4886;4887;4888;5996;5997;5998;5999;6000;6001;6002;6003;6004;6005;6006;6007;6008;6009;6010;6011;6012;6013;6014;6015;6016;6017;6018;9919;9920;9921;9922;9923;13402;13403;13404;13405;13406;13801;13802;14502;14503;14504;14505;14506;14507;14508;14509;14510;14511;14512;16573;16574;16575;16576;16577;16578;16579;16580;16581;17127;17128;17129;17130;17131;17132;17133;18213;18214;18215;18216;18217;18218;18219;18220;18221;18222;18223;18224;18225;19018;19019;19020;19021;19022;19653;19654;19655;27059;27060;27061;27062;27063;27064;27065;27066;27067;30938;30939;30940;30941;30942;30943;30944;33032;33033;33034;33035;33067;33068;33069;33305;33306;33307;33308;33309;33310;33311;33312;33697;34232;34233;34234;34235;34236;34237;34238;34239;34240;34241;34242;34243;34244;38236;38237;38238;38239;38240;38241;38242;38243;38244;41636;41637;41638;44028;44029;44030;44031;44032;44033;44034;44035;44036;44037;44038;44039;44040;44041;44042;44043;44044;44045;44046;44047;44048;44049;44050;44051;44052;44053;44054;44055;44056;45847;45848;45849;45850;45851;45852;45853;45854;45855;46671;46672;46673;46674;46675;46676;46677;46678;46959;46960;46961;46962;52461;52462;52463;52464;52465;52466;54414;54415;54416;54650;54651;54652;54653;54654;54655;54656;54657;54658;54659;54660;54661;54662;54663;57587;57588;57589;57590;57591;59329;59330;59331;59332;59333;64959;64960;66107;66108;66109;66110;66111;66112;69044;69045;69046;70870;70871;70872;70873;70874;70875;78471;78472;78473;78474;78475;78476;78477;78478;78479;78480;78481;78482;78483;78484;78485;78486;78487;78488;78489;78490;78491;78492;78493;79649;79650;79651;79652;79653;79654;79655;79656;79657;79658;79659;79660;79661;79662;79663;79664;79665;79666;79667;79668;79669;79670;79671;79672;79673;79674;79675;79676;79677;79678;79679;79680;79681;79682;79683;79725;86695;86696;86697;86698;86699;86700;86701;86702;86703;86704;86705;86706;86707;86708;86709;86710;86711;86712;86713;86714;86715;86716;86717;86718;86719;86720;86721;86722;86723;86724;86725;86726;86727;86728;86729;86730;86731;86732;86733;86734;88316;88317;88318;88319;88320;88321;88322;88323;88324;88325;88326;88327;88328;88329;88330;88331;88332;88333;88334;88335;88440;88441;88442;88443;88444;88445;88446;88447;88448,1521;4875;4884;5997;6013;9921;13402;13405;13801;14505;16573;16578;17129;18220;19022;19653;27065;30938;33032;33067;33306;33697;34232;34241;38237;41638;44036;44053;45851;45852;46674;46959;46962;52465;54415;54654;57590;57591;59331;64960;66108;69044;70870;78482;78493;79665;79725;86711;88316;88326;88442;88445,1005;1006;1007;1008;1009;1010;1011;1012,,54;122;125;273;363;417;592;760,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1273,quanti,quanti,quanti,quanti
NARS,-0.963193375723439,0.305173924706809,O43776;K7EMQ6;K7EPK2;K7EIU7;K7EQ35;K7EJ19,O43776,12;3;3;2;2;1,12;3;3;2;2;1,12;3;3;2;2;1,"Asparagine--tRNA ligase, cytoplasmic","sp|O43776|SYNC_HUMAN Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1",6,12,12,12,8,5,4,8,8,5,4,8,8,5,4,8,21.5,21.5,21.5,62.942,548,548;128;163;162;167;136,0.0,18.208,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39143,1.0113,22.564,25,7,Leave out requantified,0.31866,0.43421,0.36085,0.41209,0.9513,1.0502,1.3004,1.2622,14.943,12.569,37.039,23.896,8,5,4,8,2,1,3,1,Leave out requantified,Leave out requantified,Median,Leave out requantified,16.4,11.5,8.6,14.6,1032600000,743240000,289390000,391460000,304540000,86923000,193430000,127930000,65496000,111950000,75948000,36000000,335790000,234820000,100970000,,,,1275,3104;3105;4125;6424;7418;8309;9882;11529;12190;17005;18448;18466,True;True;True;True;True;True;True;True;True;True;True;True,3992;3993;5289;8460;9740;11042;13052;15073;15916;22002;23814;23836,9227;9228;9229;9230;12005;12006;12007;19163;19164;19165;22132;24863;29382;29383;29384;33793;33794;35698;49600;49601;53692;53693;53694;53738;53739,17110;17111;17112;21909;21910;21911;21912;21913;21914;21915;21916;21917;34696;34697;34698;34699;34700;34701;34702;34703;34704;34705;40057;40058;44608;52516;52517;52518;52519;59879;59880;59881;63251;88223;88224;95582;95583;95584;95585;95586;95587;95666;95667;95668;95669,17110;17111;21916;34705;40058;44608;52517;59881;63251;88223;95582;95669,,,,,-1;-1;-1;-1;-1;-1,protein_1276,quanti,quanti,quanti,quanti
NUDT21,0.660186337402962,0.296608880577336,O43809;H3BND3;H3BV41,O43809;H3BND3,11;8;4,11;8;4,11;8;4,Cleavage and polyadenylation specificity factor subunit 5,sp|O43809|CPSF5_HUMAN Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1;tr|H3BND3|H3BND3_HUMAN Cleavage and polyadenylation-specificity factor subunit 5 (Fragment) OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 S,3,11,11,11,4,4,7,6,4,4,7,6,4,4,7,6,53.3,53.3,53.3,26.227,227,227;149;71,0.0,16.787,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44885,1.4455,14.735,25,5,Leave out requantified,0.60663,0.77563,0.35512,0.48007,1.7385,1.9145,1.338,1.4455,9.8417,8.3685,14.874,32.755,4,4,10,7,1,0,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,28.2,24.7,29.5,35.2,1056300000,688790000,367500000,193770000,117810000,75951000,167890000,99700000,68194000,427400000,302620000,124780000,267230000,168650000,98575000,,,,1276,1174;1175;5734;7998;8854;9883;9995;9998;15497;16072;18520,True;True;True;True;True;True;True;True;True;True;True,1522;1523;7498;7499;10559;11744;13053;13054;13208;13212;20050;20773;20774;23904;23905,3521;3522;3523;3524;16952;16953;23903;26469;26470;26471;26472;29385;29386;29387;29388;29731;29736;29737;45051;45052;46653;46654;53899;53900;53901,6332;6333;6334;6335;6336;6337;6338;6339;30700;30701;43126;47443;47444;47445;47446;47447;47448;47449;52520;52521;52522;52523;52524;52525;52526;52527;52528;53100;53101;53106;53107;79689;79690;82626;82627;95923;95924;95925,6333;6337;30700;43126;47449;52521;53100;53106;79689;82626;95925,1013;1014;1015;1016,,23;29;173;189,,-1;-1;-1,protein_1277,quanti,quanti,quanti,quanti
RRP9,0.272388397019466,0.689353423581236,O43818,O43818,10,10,10,U3 small nucleolar RNA-interacting protein 2,sp|O43818|U3IP2_HUMAN U3 small nucleolar RNA-interacting protein 2 OS=Homo sapiens OX=9606 GN=RRP9 PE=1 SV=1,1,10,10,10,3,5,5,2,3,5,5,2,3,5,5,2,15.4,15.4,15.4,51.84,475,475,0.0,19.483,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38659,1.3701,29.37,12,7,Leave out requantified,0.39442,0.4177,0.2621,0.56882,1.1489,1.225,0.8694,1.8015,97.736,23.687,107.78,47.358,2,3,5,2,1,2,3,1,Median,Plateau,Median,Median,7.8,10.7,8.0,3.8,550450000,339610000,210840000,61260000,36375000,24885000,149130000,102860000,46271000,209070000,123430000,85636000,130990000,76941000,54053000,,,,1278,504;2496;3192;8448;10597;10825;10876;10877;12420;12421,True;True;True;True;True;True;True;True;True;True,608;3207;4101;11228;11229;13948;14245;14309;14310;16194;16195,1370;7479;9456;9457;25294;25295;31368;32049;32050;32184;32185;32186;36344;36345;36346;36347,2460;13886;13887;17556;17557;45407;45408;45409;55673;56927;56928;56929;56930;57145;57146;57147;57148;57149;57150;64484;64485;64486;64487;64488,2460;13887;17557;45408;55673;56928;57145;57148;64487;64488,1017,,84,,-1,protein_1279,quanti,quanti,quanti,quanti
CALU,0.214226723610938,0.808843774784791,O43852;H0Y875,O43852;H0Y875,2;1,2;1,2;1,Calumenin,sp|O43852|CALU_HUMAN Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2;tr|H0Y875|H0Y875_HUMAN Calumenin (Fragment) OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,4.8,4.8,4.8,37.106,315,315;147,0.0092937,1.306,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38873,1.1898,82.664,7,2,Median,0.37978,0.38873,0.43476,0.306,1.0971,1.0901,1.8518,0.93608,21.073,,110.29,,2,1,3,1,1,0,1,0,Median,Median,Median,Median,4.8,2.5,4.8,4.8,446220000,271110000,175120000,74078000,53070000,21009000,61346000,41241000,20105000,263120000,140260000,122870000,47676000,36539000,11137000,,,,1279,3418;18092,True;True,4383;23387,10054;10055;10056;52765;52766;52767;52768;52769,18507;18508;18509;18510;94054;94055;94056;94057;94058;94059;94060;94061;94062;94063,18509;94054,,,,,-1;-1,protein_1280,quanti,quanti,quanti,quanti
RAD21,0.242060748973909,0.754733030516774,O60216;E5RI01;E5RFZ5;E5RG18,O60216;E5RI01;E5RFZ5,4;2;2;1,4;2;2;1,4;2;2;1,Double-strand-break repair protein rad21 homolog,sp|O60216|RAD21_HUMAN Double-strand-break repair protein rad21 homolog OS=Homo sapiens OX=9606 GN=RAD21 PE=1 SV=2;tr|E5RI01|E5RI01_HUMAN Double-strand-break repair protein rad21 homolog OS=Homo sapiens OX=9606 GN=RAD21 PE=1 SV=1;tr|E5RFZ5|E5RFZ5_HUMAN Doub,4,4,4,4,2,2,2,1,2,2,2,1,2,2,2,1,9.0,9.0,9.0,71.689,631,631;135;176;69,0.0,3.671,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.7586,5.6408,14.982,7,2,Leave out requantified,2.1774,2.2653,1.5296,2.2167,4.6162,5.0438,5.5264,6.1635,,6.9566,9.6375,,1,3,2,1,1,1,0,0,Median,Plateau,Median,Median,5.4,5.4,3.6,2.1,174850000,54685000,120170000,17644000,7179000,10465000,49762000,12881000,36881000,77891000,25954000,51938000,29553000,8671200,20882000,,,,1282,1646;8884;15320;15885,True;True;True;True,2135;11783;19806;20542,5001;5002;5003;26564;26565;44493;44494;46073,9389;9390;47596;47597;47598;47599;78566;78567;81520,9389;47597;78566;81520,,,,,-1;-1;-1;-1,protein_1283,quanti,quanti,quanti,quanti
TIMM8A,-1.89556504158077,0.0219996619569876,O60220,O60220,5,5,5,Mitochondrial import inner membrane translocase subunit Tim8 A,sp|O60220|TIM8A_HUMAN Mitochondrial import inner membrane translocase subunit Tim8 A OS=Homo sapiens OX=9606 GN=TIMM8A PE=1 SV=1,1,5,5,5,4,4,2,2,4,4,2,2,4,4,2,2,44.3,44.3,44.3,10.998,97,97,0.0,7.9348,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31954,0.99677,19.407,12,3,Leave out requantified,0.36336,0.29479,0.23011,0.47762,1.1733,0.76861,0.89933,1.3462,12.31,10.882,8.2653,35.344,4,4,2,2,1,1,1,0,Leave out requantified,Leave out requantified,Median,Median,44.3,44.3,22.7,28.9,628760000,459960000,168810000,194450000,146900000,47551000,264670000,188540000,76132000,101310000,82144000,19164000,68341000,42378000,25962000,,,,1283,388;3917;3918;8693;14172,True;True;True;True;True,480;5025;5026;11556;18394,1094;1095;1096;1097;11465;11466;11467;11468;26117;26118;41142;41143,1999;2000;2001;2002;2003;20986;20987;20988;20989;20990;46869;72715;72716,2001;20986;20989;46869;72716,,,,,-1,protein_1284,quanti,quanti,quanti,quanti
SMARCA5,4.61511422195273,0.00211626073842517,O60264,O60264,16,16,7,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,sp|O60264|SMCA5_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1,1,16,16,7,1,1,14,8,1,1,14,8,0,0,6,4,14.4,14.4,7.1,121.9,1052,1052,0.0,16.441,By matching,By MS/MS,By MS/MS,By MS/MS,0.33763,1.0972,43.653,27,9,Leave out requantified,0.38859,0.61559,0.32793,0.39386,1.0829,1.2234,1.1461,1.0473,,,27.217,61.754,1,1,16,9,0,1,5,3,Median,Median,Leave out requantified,Leave out requantified,1.1,1.1,12.0,7.8,1110900000,744320000,366540000,21596000,13732000,7863600,15128000,7585800,7542100,740070000,509260000,230810000,334070000,213750000,120330000,,,,1284,1516;2545;3957;4049;4406;6538;7695;8690;8815;9696;9780;10209;12049;15689;17149;18536,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1963;3277;5075;5195;5637;8607;8608;10087;10088;11551;11697;12833;12933;13476;15734;20308;22193;22194;23922,4607;4608;7655;11561;11805;12803;12804;19497;19498;22903;22904;26104;26105;26382;28931;29138;29139;30321;30322;30323;35287;45590;50045;50046;50047;53936;53937;53938;53939,8633;8634;14289;21169;21543;21544;23326;23327;23328;35332;35333;35334;41488;41489;41490;46848;46849;46850;47299;51811;52140;52141;52142;52143;52144;53992;53993;53994;62523;62524;80682;89003;89004;89005;89006;95993;95994;95995;95996;95997,8633;14289;21169;21543;23326;35332;41490;46848;47299;51811;52142;53994;62523;80682;89003;95993,83;1018,,647;739,,-1,protein_1285,quanti,quanti,quanti,quanti
