Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity CIAO1-N1,Intensity CIAO1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,11.1,4.29321427599828,4.26311898798562,22.9306485579508,23.4636361216132
Q5TGY3,Q5TGY3,3,3,3,AT-hook DNA-binding motif-containing protein 1,AHDC1,sp|Q5TGY3|AHDC1_HUMAN AT-hook DNA-binding motif-containing protein 1 OS=Homo sapiens OX=9606 GN=AHDC1 PE=1 SV=1,3,3,3.2,23.9850275012657,23.6594890238874,4.42522191267267,4.39210376514955
Q09666;E9PKR9;E9PLK4;E9PJZ0;E9PJC6;E9PQE3;P48552,Q09666,574;9;9;8;8;6;1,574;9;9;8;8;6;1,573;9;9;8;8;6;1,Neuroblast differentiation-associated protein AHNAK,AHNAK,sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,574,573,87.1,38.3802414622694,37.7828662100041,38.5274743368313,38.4166745886157
Q8IVF2,Q8IVF2,247,246,246,Protein AHNAK2,AHNAK2,sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,247,246,69.9,33.4471452214201,33.2038775901591,34.8634141095079,34.6603925519132
O95433;G3V438;H0YJG7;H0YJ63;H0YJU2;G3V3W9,O95433;G3V438,15;11;7;5;5;3,15;11;7;5;5;3,15;11;7;5;5;3,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr|G3V438|G3V438_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,15,15,56.8,29.4391848433411,28.1547980261663,29.3292004234309,29.3382200288084
Q13155;A8MU58;F8WCL2,Q13155;A8MU58,5;3;1,5;3;1,5;3;1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,sp|Q13155|AIMP2_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2;tr|A8MU58|A8MU58_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=A,5,5,27.8,27.2425448189055,26.6976336207991,23.1930993845676,23.4402507487947
O00170;V9GYQ3;E9PMH2,O00170;V9GYQ3;E9PMH2,4;2;2,4;2;2,4;2;2,AH receptor-interacting protein,AIP,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2;tr|V9GYQ3|V9GYQ3_HUMAN AH receptor-interacting protein (Fragment) OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=1;tr|E9PMH2|E9PMH2_HUMAN Peptidylprolyl isomerase (Fragmen,4,4,21.2,25.5909794185811,24.3436726140017,4.42522191267267,4.39210376514955
Q92667;I3L0W0;I3L2A2;I3L2N7;I3L0K6;I3L364;I3L3K1;I3NI36,Q92667,27;11;10;10;6;4;3;2,27;11;10;10;6;4;3;2,27;11;10;10;6;4;3;2,"A-kinase anchor protein 1, mitochondrial",AKAP1,"sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",27,27,37.4,28.0296006522847,26.940893344877,28.8692660583656,28.5913504490892
Q02952,Q02952,23,23,23,A-kinase anchor protein 12,AKAP12,sp|Q02952|AKA12_HUMAN A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,23,23,22.2,26.6673614973095,25.7490383404755,28.6428569685844,28.2236600888725
Q9Y2D5,Q9Y2D5,33,33,6,A-kinase anchor protein 2,AKAP2,sp|Q9Y2D5|AKAP2_HUMAN A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,33,6,50.1,29.9036867877083,29.2338419183631,32.1911647318126,31.9472623764293
A0A5F9ZHN9;P51648;A0A5F9ZGX4;A0A5F9ZHI5;J3QRD1;A0A5F9ZI12;A0A5K1VW72;I3L1M4;A0A5F9ZHP6;A0A5F9ZHZ9;J3QS00;J3QKK9;J3KTG1;I3L0X1;J3KTD9;E9PJV0;C9JKT2;K7EN73;C9JMC5;J3QQV9;I3L4G6;I3L3I9;A8MYB8;E9PNN6;P48448;P43353;P30838,A0A5F9ZHN9;P51648;A0A5F9ZGX4;A0A5F9ZHI5;J3QRD1;A0A5F9ZI12;A0A5K1VW72,18;18;15;15;15;12;12;8;6;6;5;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1,18;18;15;15;15;12;12;8;6;6;5;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1,16;16;13;13;13;10;10;8;4;6;5;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1,Fatty aldehyde dehydrogenase,ALDH3A2,tr|A0A5F9ZHN9|A0A5F9ZHN9_HUMAN Aldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;sp|P51648|AL3A2_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|A0A5F9ZGX4|A0A5F9ZGX4_HUMAN Aldehyde dehydrog,18,16,48.0,30.3492101484628,29.4847178449227,26.281287682802,26.0213209320886
H3BR04;P04075;H3BMQ8;H3BU78;H3BPS8;H3BQN4;J3KPS3,H3BR04;P04075;H3BMQ8;H3BU78;H3BPS8;H3BQN4;J3KPS3,2;1;1;1;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,Fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase A,ALDOA,tr|H3BR04|H3BR04_HUMAN Fructose-bisphosphate aldolase A (Fragment) OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=1;sp|P04075|ALDOA_HUMAN Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2;tr|H3BMQ8|H3BMQ8_HUMAN Fructose-bisphosphate ald,2,2,17.9,25.408445239075,24.5335027425128,4.42522191267267,4.39210376514955
A0A096LP10;A0A087WT15,A0A096LP10,5;2,5;2,2;2,,ALG13,tr|A0A096LP10|A0A096LP10_HUMAN Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (Fragment) OS=Homo sapiens OX=9606 GN=ALG13 PE=1 SV=1,5,2,31.5,26.7113535746253,25.2405628073957,26.0234587758761,25.2427810239592
Q8TCU4;A0A087WV20;A0A087WTU9;H7C1D9;A0A494BZW1,Q8TCU4;A0A087WV20;A0A087WTU9,65;65;65;28;9,65;65;65;28;9,65;65;65;28;9,Alstrom syndrome protein 1,ALMS1,sp|Q8TCU4|ALMS1_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=4;tr|A0A087WV20|A0A087WV20_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=1;tr|A0A087WTU9|A0A087WTU9_HUMAN Alstrom syndrome protein 1 OS=Ho,65,65,27.2,30.8063194361018,29.6031450174548,30.1108556739702,29.4236821287451
Q86V81;E9PB61,Q86V81;E9PB61,4;4,4;4,4;4,THO complex subunit 4,ALYREF,sp|Q86V81|THOC4_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3;tr|E9PB61|E9PB61_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1,4,4,21.0,23.3117438810662,22.6365732910195,25.9082071524975,24.9272339790603
Q86SJ2,Q86SJ2,2,2,2,Amphoterin-induced protein 2,AMIGO2,sp|Q86SJ2|AMGO2_HUMAN Amphoterin-induced protein 2 OS=Homo sapiens OX=9606 GN=AMIGO2 PE=1 SV=1,2,2,5.4,24.2644196913963,24.7600213089183,4.42522191267267,4.39210376514955
