Gene_names,EED_vs_BirA_logFC,EED_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_EED_N1,Peptides_EED_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_EED_N1,Razor___unique_peptides_EED_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_EED_N1,Unique_peptides_EED_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_EED_N1,Identification_type_EED_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_EED_N1,Ratio_H_L_EED_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_EED_N1,Ratio_H_L_normalized_EED_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____EED_N1,Ratio_H_L_variability_____EED_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_EED_N1,Ratio_H_L_count_EED_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_EED_N1,Ratio_H_L_iso_count_EED_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_EED_N1,Ratio_H_L_type_EED_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_EED_N1____,Sequence_coverage_EED_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_EED_N1,Intensity_L_EED_N1,Intensity_H_EED_N1,Intensity_EED_N2,Intensity_L_EED_N2,Intensity_H_EED_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_EED_N1,metacell_Intensity_L_EED_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
BSG,0.972680362190733,0.155822774441362,P35613;A0A087X2B5;A0A087WUV8;I3L192;R4GMX5;R4GN83;A0A2R8YDZ0,P35613;A0A087X2B5;A0A087WUV8;I3L192;R4GMX5,6;6;5;4;3;2;1,6;6;5;4;3;2;1,6;6;5;4;3;2;1,Basigin,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|I3L192|I3L19,7,6,6,6,3,4,4,4,3,4,4,4,3,4,4,4,21.8,21.8,21.8,42.2,385,385;221;189;160;84;52;132,0.0,9.662,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48457,1.3123,12.435,17,7,Leave out requantified,0.47132,0.47976,0.44664,0.54452,1.6935,1.1503,1.3661,1.5678,51.363,26.124,16.563,10.623,3,5,5,4,2,4,1,0,Median,Median,Leave out requantified,Leave out requantified,11.2,13.8,15.1,14.8,1358200000,863900000,494330000,113920000,75944000,37975000,228610000,156830000,71774000,689490000,419250000,270240000,326220000,211880000,114340000,,,,120,3983;5780;14359;14369;15315;18791,True;True;True;True;True;True,5126;5127;7595;18797;18807;19989;24482,11629;11630;11631;11632;11633;11634;17196;41986;41987;41988;41989;42003;42004;44779;44780;44781;44782;55216,21833;21834;21835;21836;21837;21838;21839;21840;21841;21842;21843;21844;32040;76235;76236;76237;76238;76239;76240;76241;76257;76258;76259;76260;76261;81285;81286;81287;81288;81289;101244,21838;32040;76235;76260;81286;101244,91,,173,,-1;-1;-1;-1;-1;-1;-1,protein_121,quanti,quanti,quanti,quanti
SRSF3,1.51208961455701,0.0272174680908245,P84103;A0A087X2D0,P84103;A0A087X2D0,6;6,6;6,6;6,Serine/arginine-rich splicing factor 3,sp|P84103|SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1;tr|A0A087X2D0|A0A087X2D0_HUMAN Serine/arginine-rich-splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1,2,6,6,6,4,4,4,3,4,4,4,3,4,4,4,3,38.4,38.4,38.4,19.329,164,164;95,0.0,30.357,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32265,1.0054,18.074,22,5,Leave out requantified,0.27923,0.29941,0.32891,0.33192,1.0321,0.88371,0.9424,0.88188,36.295,12.204,22.984,17.903,4,4,7,7,1,1,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,31.7,35.4,28.7,28.7,7028600000,5308000000,1720600000,704650000,573470000,131180000,663020000,477510000,185510000,3430300000,2593700000,836640000,2230600000,1663300000,567250000,,,,122,550;11806;12861;12862;18675;18676,True;True;True;True;True;True,681;682;15605;16919;16920;24338;24339;24340;24341,1547;1548;1549;1550;1551;1552;35042;37979;37980;37981;37982;37983;54884;54885;54886;54887;54888;54889;54890;54891;54892;54893,2831;2832;2833;2834;2835;2836;2837;2838;2839;2840;2841;2842;2843;2844;2845;2846;2847;2848;2849;2850;2851;2852;2853;2854;2855;2856;2857;64054;69337;69338;69339;69340;69341;69342;69343;69344;69345;69346;69347;69348;69349;100685;100686;100687;100688;100689;100690;100691;100692;100693;100694;100695;100696;100697;100698;100699;100700;100701;100702;100703;100704;100705,2850;64054;69345;69349;100685;100698,92,,23,,-1;-1,protein_123,quanti,quanti,quanti,quanti
MRPL45,-0.0252902208964692,0.960591600133302,Q9BRJ2;A0A087X2D5;A0A0G2JMS5;A0A087WU62,Q9BRJ2;A0A087X2D5;A0A0G2JMS5;A0A087WU62,3;3;2;2,3;3;2;2,3;3;2;2,"39S ribosomal protein L45, mitochondrial","sp|Q9BRJ2|RM45_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=2;tr|A0A087X2D5|A0A087X2D5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1;tr|A0A0G2JMS5|A0A0G2JMS5_HUMAN 39S",4,3,3,3,1,2,1,1,1,2,1,1,1,2,1,1,16.3,16.3,16.3,35.351,306,306;306;256;256,0.0043311,1.6194,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.58906,1.5318,59.844,5,0,Leave out requantified,0.15657,0.426,0.54341,0.63855,0.45017,1.07,1.5886,1.8795,,50.732,,,1,2,1,1,0,0,0,0,Median,Median,Median,Median,4.6,11.1,5.2,5.2,228320000,143850000,84469000,25014000,20747000,4267700,67262000,42186000,25076000,58579000,39936000,18643000,77462000,40979000,36482000,,,,123,7891;10365;18840,True;True;True,10434;13843;24538,23678;23679;31189;55327;55328,44082;44083;44084;44085;57363;101421;101422,44085;57363;101421,,,,,-1;-1;-1;-1,protein_124,quanti,quanti,quanti,quanti
GPS1,-1.07523163921312,0.314608230204543,Q13098;C9JFE4;A0A096LP07;A0A096LPJ3;A8K070;J3QS84;J3QS88;J3KTB0;J3QLE8;J3QLT0;J3QL53;J3KRE8;J3KSA5;J3KRJ4;J3QQX0,Q13098;C9JFE4;A0A096LP07;A0A096LPJ3;A8K070;J3QS84;J3QS88;J3KTB0;J3QLE8;J3QLT0;J3QL53;J3KRE8;J3KSA5;J3KRJ4,4;4;4;4;4;3;3;3;3;3;3;3;3;3;1,4;4;4;4;4;3;3;3;3;3;3;3;3;3;1,4;4;4;4;4;3;3;3;3;3;3;3;3;3;1,COP9 signalosome complex subunit 1,sp|Q13098|CSN1_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=4;tr|C9JFE4|C9JFE4_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=2;tr|A0A096LP07|A0A096LP07_HUMAN COP9 signalosome complex su,15,4,4,4,2,3,1,2,2,3,1,2,2,3,1,2,8.4,8.4,8.4,55.536,491,491;471;486;490;526;101;134;139;166;168;168;186;210;253;79,0.0,7.9122,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41216,1.1999,27.416,8,3,Leave out requantified,0.61719,0.5426,0.20887,0.45045,2.0673,1.497,0.55278,1.2631,56.32,56.348,,7.2646,2,3,1,2,1,1,0,1,Median,Median,Median,Median,4.9,8.4,3.3,5.7,359420000,237550000,121870000,75480000,47221000,28259000,125780000,78858000,46922000,21345000,17237000,4108500,136820000,94231000,42585000,,,,127,1269;10568;10569;11506,True;True;True;True,1654;14108;14109;15254,3792;3793;3794;3795;31758;31759;34269;34270,7039;7040;7041;7042;7043;7044;7045;7046;58307;58308;62693;62694;62695,7044;58307;58308;62695,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_128,quanti,quanti,quanti,quanti
PYCRL,-0.652890444462848,0.196362273138166,Q53H96;A0A0A0MQS1;F8WEI0;B5MD87,Q53H96;A0A0A0MQS1;F8WEI0;B5MD87,2;2;1;1,2;2;1;1,2;2;1;1,Pyrroline-5-carboxylate reductase 3;Pyrroline-5-carboxylate reductase,sp|Q53H96|P5CR3_HUMAN Pyrroline-5-carboxylate reductase 3 OS=Homo sapiens OX=9606 GN=PYCR3 PE=1 SV=3;tr|A0A0A0MQS1|A0A0A0MQS1_HUMAN Pyrroline-5-carboxylate reductase OS=Homo sapiens OX=9606 GN=PYCR3 PE=1 SV=1;tr|F8WEI0|F8WEI0_HUMAN Pyrroline-5-carboxylate ,4,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,8.8,8.8,8.8,28.663,274,274;286;44;137,0.0,7.5959,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52563,1.2981,1.5856,7,1,Leave out requantified,0.49425,0.53622,0.5754,0.52563,1.4114,1.2977,1.5926,1.24,13.422,1.6245,,8.013,2,2,1,2,0,0,1,0,Median,Median,Median,Median,8.8,8.8,4.0,8.8,190110000,124770000,65342000,48064000,34465000,13598000,50930000,31640000,19290000,41300000,26856000,14444000,49817000,31807000,18010000,,,,130,240;11481,True;True,295;15219,637;638;639;34190;34191;34192;34193,1150;1151;62536;62537;62538;62539;62540,1150;62536,,,,,-1;-1;-1;-1,protein_131,quanti,quanti,quanti,quanti
WDR18,0.821463286202388,0.129182816830565,Q9BV38;U3KQC1;A0A0A0MQU0;K7EIR0;A0A087X237;K7EKX5;K7EML4,Q9BV38;U3KQC1;A0A0A0MQU0;K7EIR0,3;3;3;2;1;1;1,3;3;3;2;1;1;1,3;3;3;2;1;1;1,WD repeat-containing protein 18,sp|Q9BV38|WDR18_HUMAN WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2;tr|U3KQC1|U3KQC1_HUMAN WD repeat-containing protein 18 (Fragment) OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=1;tr|A0A0A0MQU0|A0A0A0MQU0_HUMAN WD repeat-containin,7,3,3,3,1,2,2,2,1,2,2,2,1,2,2,2,8.1,8.1,8.1,47.405,432,432;394;429;409;144;152;268,0.0,2.2238,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.64614,1.7077,85.484,7,2,Median,1.0492,0.50982,0.42624,0.74183,3.2678,0.94299,1.1222,1.8114,,83.982,68.385,139.74,1,2,2,2,0,1,1,0,Median,Median,Median,Median,2.3,5.8,4.2,4.2,192300000,102260000,90040000,29905000,15576000,14329000,23023000,13731000,9292400,66764000,42568000,24195000,72609000,30386000,42223000,,,,131,2792;5352;15588,True;True;True,3610;7021;20327,8368;8369;8370;15911;45590;45591;45592,15861;15862;15863;29763;82713;82714;82715,15862;29763;82713,,,,,-1;-1;-1;-1;-1;-1;-1,protein_132,quanti,quanti,quanti,quanti
NSA2,0.762987543504671,0.156453433557186,O95478;A0A0A0MQZ6;H0YAI9,O95478;A0A0A0MQZ6;H0YAI9,2;2;1,2;2;1,2;2;1,Ribosome biogenesis protein NSA2 homolog,sp|O95478|NSA2_HUMAN Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens OX=9606 GN=NSA2 PE=1 SV=1;tr|A0A0A0MQZ6|A0A0A0MQZ6_HUMAN Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens OX=9606 GN=NSA2 PE=1 SV=1;tr|H0YAI9|H0YAI9_HUMAN Ribosome biogen,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,7.7,7.7,7.7,30.065,260,260;189;98,0.0093333,1.1995,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.7882,4.5423,13.666,4,1,Median,2.1641,1.9214,1.6643,1.5249,5.4003,4.2479,4.857,3.9791,,,,,1,1,1,1,1,0,0,0,Median,Median,Median,Median,3.8,3.8,3.8,3.8,104550000,40910000,63641000,16790000,4517700,12273000,19598000,7997700,11600000,37648000,14460000,23189000,30514000,13935000,16580000,,,,133,13217;17072,True;True,17349;22212,38891;38892;49981;49982,70955;70956;91416,70956;91416,,,,,-1;-1;-1,protein_134,quanti,quanti,quanti,quanti
FGFR2,-24.2600905276139,2.8604382611575e-07,P21802;S4R381;H7BXU9;E7EVR7;D2CGD1;A0A5S6RJB7;A0A0A0MR25;A0A1W2PQT9;S4R3B2,P21802;S4R381;H7BXU9;E7EVR7;D2CGD1;A0A5S6RJB7;A0A0A0MR25;A0A1W2PQT9;S4R3B2,2;2;2;2;2;2;2;1;1,2;2;2;2;2;2;2;1;1,2;2;2;2;2;2;2;1;1,Fibroblast growth factor receptor 2;Receptor protein-tyrosine kinase;Fibroblast growth factor receptor,sp|P21802|FGFR2_HUMAN Fibroblast growth factor receptor 2 OS=Homo sapiens OX=9606 GN=FGFR2 PE=1 SV=1;tr|S4R381|S4R381_HUMAN Fibroblast growth factor receptor 2 OS=Homo sapiens OX=9606 GN=FGFR2 PE=1 SV=1;tr|H7BXU9|H7BXU9_HUMAN Fibroblast growth factor recep,9,2,2,2,1,1,1,0,1,1,1,0,1,1,1,0,4.9,4.9,4.9,92.024,821,821;593;669;707;732;768;821;86;251,0.015711,1.0257,By MS/MS,By MS/MS,By MS/MS,,0.078122,0.25194,8.2272,2,2,Median,0.069932,0.087272,,,0.2377,0.26703,,,,,,,1,1,0,0,1,1,0,0,Median,Median,Median,Median,2.1,2.1,2.8,0.0,836870000,764170000,72696000,512080000,475810000,36266000,317480000,288360000,29122000,7307300,0,7307300,0,0,0,,,,134,12502;13148,True;True,16464;17263,36959;36960;38732,67435;67436;70650,67436;70650,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_135,imputed MEC,imputed MEC,quanti,quanti
HNRNPUL1,2.4798980650084,0.0188481585435353,Q9BUJ2;M0R3F1;A0A0A0MRA5;B7Z4B8;M0QYZ0;M0QYM5;M0R0K8;M0QYI8,Q9BUJ2;M0R3F1;A0A0A0MRA5;B7Z4B8;M0QYZ0,10;10;10;10;6;1;1;1,10;10;10;10;6;1;1;1,10;10;10;10;6;1;1;1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,sp|Q9BUJ2|HNRL1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2;tr|M0R3F1|M0R3F1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1,8,10,10,10,1,4,8,5,1,4,8,5,1,4,8,5,14.1,14.1,14.1,95.737,856,856;641;766;767;371;90;158;172,0.0,22.039,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43142,1.1427,17.889,20,3,Leave out requantified,0.6679,0.60354,0.38007,0.45049,1.9856,1.191,1.1232,1.1778,,21.872,6.0986,8.0423,1,4,9,6,0,0,2,1,Median,Leave out requantified,Leave out requantified,Leave out requantified,1.6,9.5,12.5,7.8,833740000,569510000,264230000,26981000,16341000,10640000,103390000,60820000,42566000,389610000,272740000,116870000,313770000,219610000,94154000,,,,136,475;1027;9740;12376;12377;13119;15345;18718;18804;19412,True;True;True;True;True;True;True;True;True;True,593;1308;13018;16306;16307;17231;20028;24390;24498;25266,1349;1350;1351;3020;3021;29357;36587;36588;36589;38665;38666;38667;44888;44889;55002;55003;55246;55247;56857;56858,2455;2456;2457;5695;5696;54138;66820;66821;66822;66823;70540;70541;81509;100858;100859;101311;101312;104148;104149;104150,2455;5696;54138;66821;66822;70540;81509;100858;101311;104149,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_137,quanti,quanti,quanti,quanti
NOLC1,2.22738837706226,0.0177529927514571,Q14978;A0A0A0MRM9;S4R349;S4R402;S4R3C2,Q14978;A0A0A0MRM9,11;11;4;3;1,11;11;4;3;1,8;8;1;0;1,Nucleolar and coiled-body phosphoprotein 1,sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2;tr|A0A0A0MRM9|A0A0A0MRM9_HUMAN Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1,5,11,11,8,1,2,9,6,1,2,9,6,1,2,6,4,13.6,13.6,9.4,73.602,699,699;708;258;46;281,0.0,12.746,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39627,0.94885,21.348,19,2,Leave out requantified,0.32026,0.30885,0.38381,0.40332,1.1385,0.79081,1.0526,0.94336,,,18.237,30.071,1,1,10,7,0,0,2,0,Median,Median,Leave out requantified,Leave out requantified,1.1,2.7,12.0,8.6,814570000,573040000,241530000,56417000,44186000,12231000,38933000,28394000,10538000,494460000,346850000,147610000,224750000,153610000,71146000,,,,142,158;291;1566;1917;2893;7088;7788;10661;14117;18225;18559,True;True;True;True;True;True;True;True;True;True;True,194;195;363;2051;2481;3744;9407;10298;14215;18505;23745;24194,434;435;436;794;795;4787;5831;5832;8699;21353;23364;23365;31987;41317;41318;53521;54573;54574;54575;54576,800;801;802;803;804;1457;1458;9123;11083;11084;11085;11086;16566;39838;43469;43470;43471;58645;58646;75054;75055;75056;75057;75058;75059;75060;75061;98041;100159;100160;100161;100162;100163;100164;100165;100166;100167;100168;100169;100170;100171;100172,802;1457;9123;11085;16566;39838;43470;58645;75060;98041;100161,105;106;107;108;109;110,,33;193;452;579;604;663,,-1;-1;-1;-1;-1,protein_143,quanti,quanti,quanti,quanti
PRDX1,-0.801270875056304,0.404724380090091,Q06830;A0A0A0MSI0;A0A0A0MRQ5,Q06830;A0A0A0MSI0,27;27;7,27;27;7,24;24;4,Peroxiredoxin-1,sp|Q06830|PRDX1_HUMAN Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1;tr|A0A0A0MSI0|A0A0A0MSI0_HUMAN Peroxiredoxin-1 (Fragment) OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,3,27,27,24,20,17,14,23,20,17,14,23,17,14,11,20,65.3,65.3,65.3,22.11,199,199;171;97,0.0,130.3,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30449,0.89092,21.331,130,31,Leave out requantified,0.2636,0.33544,0.25923,0.3237,0.77469,0.85262,0.79823,0.93087,41.935,44.938,46.1,13.786,28,26,24,52,6,8,8,9,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,61.8,64.8,60.3,65.3,25335000000,18877000000,6458200000,5772600000,4494000000,1278600000,6542800000,4712600000,1830300000,2234900000,1692900000,542030000,10785000000,7977700000,2807300000,,,,147,338;1924;1925;1926;2733;2734;5397;5398;5399;6839;6840;6841;8438;8439;8542;8543;10369;10370;11248;13373;13374;13448;14071;15335;15336;16086;16087,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,423;2488;2489;2490;2491;2492;2493;2494;3527;3528;7077;7078;7079;7080;7081;7082;7083;9063;9064;9065;9066;9067;11252;11253;11254;11404;11405;11406;11407;11408;11409;13847;13848;13849;14933;14934;17553;17554;17555;17642;17643;18444;20012;20013;20014;20935;20936;20937;20938,956;957;958;959;5854;5855;5856;5857;5858;5859;5860;5861;5862;5863;5864;5865;5866;5867;5868;5869;5870;8216;8217;16038;16039;16040;16041;16042;16043;16044;16045;16046;16047;16048;16049;16050;16051;16052;16053;16054;16055;16056;16057;16058;16059;16060;16061;16062;16063;16064;16065;16066;20522;20523;20524;20525;20526;20527;20528;25406;25407;25408;25409;25410;25686;25687;25688;25689;25690;25691;25692;25693;25694;25695;25696;25697;25698;25699;25700;31196;31197;31198;31199;31200;31201;31202;31203;31204;31205;31206;33556;33557;33558;33559;33560;33561;39308;39309;39310;39311;39312;39313;39314;39483;39484;39485;39486;39487;39488;39489;39490;39491;39492;41169;44836;44837;44838;44839;44840;44841;47044;47045;47046;47047;47048;47049;47050;47051;47052;47053;47054,1826;1827;1828;1829;1830;1831;1832;11119;11120;11121;11122;11123;11124;11125;11126;11127;11128;11129;11130;11131;11132;11133;11134;11135;11136;11137;11138;11139;11140;11141;11142;11143;11144;11145;11146;11147;11148;11149;11150;11151;15614;15615;15616;29963;29964;29965;29966;29967;29968;29969;29970;29971;29972;29973;29974;29975;29976;29977;29978;29979;29980;29981;29982;29983;29984;29985;29986;29987;29988;29989;29990;29991;29992;29993;29994;29995;29996;29997;29998;29999;30000;30001;30002;30003;30004;30005;30006;30007;30008;30009;30010;30011;30012;30013;30014;30015;30016;30017;30018;30019;30020;30021;30022;30023;30024;30025;30026;30027;30028;30029;30030;30031;30032;30033;30034;30035;30036;30037;30038;30039;30040;30041;30042;30043;38187;38188;38189;38190;38191;38192;38193;38194;38195;38196;47187;47188;47189;47190;47191;47192;47193;47194;47601;47602;47603;47604;47605;47606;47607;47608;47609;47610;47611;47612;47613;47614;47615;47616;47617;47618;47619;47620;47621;47622;47623;47624;47625;47626;47627;47628;57371;57372;57373;57374;57375;57376;57377;57378;57379;57380;57381;57382;57383;57384;57385;57386;57387;57388;57389;57390;57391;57392;57393;57394;57395;57396;57397;57398;57399;57400;57401;57402;57403;57404;57405;57406;61393;61394;61395;61396;61397;61398;71679;71680;71681;71682;71683;71684;71685;71686;71687;71688;71689;71690;71691;71692;71967;71968;71969;71970;71971;71972;71973;71974;71975;71976;71977;71978;71979;71980;71981;71982;71983;71984;71985;71986;71987;71988;71989;71990;71991;71992;71993;71994;71995;71996;71997;71998;71999;72000;72001;72002;74786;74787;81390;81391;81392;81393;81394;81395;81396;85536;85537;85538;85539;85540;85541;85542;85543;85544;85545;85546;85547;85548;85549;85550;85551;85552;85553;85554;85555;85556;85557;85558;85559;85560;85561;85562;85563;85564;85565;85566;85567;85568;85569;85570;85571;85572;85573;85574;85575;85576,1830;11125;11131;11144;15615;15616;29965;30011;30035;38190;38193;38196;47187;47194;47604;47614;57385;57401;61398;71679;71680;71978;74786;81394;81396;85546;85552,113;114;115;116;117;118;119;120,6,7;16;27;37;93;109;120;136,100,-1;-1;-1,protein_148,quanti,quanti,quanti,quanti
DDX42,2.03868519748801,0.0462584672194773,Q86XP3;A0A0A0MSJ0;J3KRE3,Q86XP3;A0A0A0MSJ0,7;7;1,7;7;1,7;7;1,ATP-dependent RNA helicase DDX42,sp|Q86XP3|DDX42_HUMAN ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1;tr|A0A0A0MSJ0|A0A0A0MSJ0_HUMAN ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1,3,7,7,7,1,1,4,2,1,1,4,2,1,1,4,2,10.4,10.4,10.4,102.97,938,938;708;99,0.0,8.3615,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54574,1.1903,44.491,6,3,Median,,0.55456,0.54574,0.37344,,1.1045,1.2018,1.0684,,,52.241,,0,1,4,1,0,1,2,0,Median,Median,Median,Median,1.8,1.4,6.3,3.8,290770000,195510000,95263000,15092000,15092000,0,15271000,10149000,5122000,201610000,132470000,69145000,58796000,37800000,20996000,,,,149,2720;2726;3446;5252;10396;16746;18282,True;True;True;True;True;True;True,3513;3519;4445;6870;13880;21792;23815,8194;8201;10213;15564;31282;48981;53673;53674,15575;15582;19235;29174;29175;57521;57522;89342;98327;98328;98329;98330;98331,15575;15582;19235;29175;57522;89342;98327,,,,,-1;-1;-1,protein_150,quanti,quanti,quanti,quanti
PLS3,-2.34264247478518,0.00371944920297211,P13797;A0A0A0MSQ0;H7C4N2;Q5TBN3,P13797;A0A0A0MSQ0,6;6;2;1,6;6;2;1,3;3;1;0,Plastin-3,sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4;tr|A0A0A0MSQ0|A0A0A0MSQ0_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=1,4,6,6,3,4,4,1,1,4,4,1,1,3,2,0,0,11.1,11.1,5.6,70.81,630,630;617;190;246,0.0,11.136,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44315,1.1607,49.374,10,1,Leave out requantified,0.38492,0.45494,1.3657,1.1937,1.1062,1.2205,4.126,3.4865,8.2566,4.7807,,,4,4,1,1,0,1,0,0,Leave out requantified,Leave out requantified,Median,Median,7.6,7.8,1.9,1.9,487300000,319140000,168160000,149810000,105750000,44061000,208710000,145120000,63592000,63163000,30940000,32223000,65621000,37334000,28288000,,,,152,2105;2310;7107;11840;12260;18634,True;True;True;True;True;True,2718;2987;9440;15647;16161;24285,6398;6989;6990;21410;35133;35134;36257;36258;54774;54775,12268;13307;13308;13309;13310;39914;64206;64207;64208;66122;66123;66124;66125;100513;100514;100515;100516;100517,12268;13308;39914;64208;66125;100516,,,,,-1;-1;-1;-1,protein_153,quanti,quanti,quanti,quanti
