Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
XPHIP	ANXA2	ANXA2	5|5	10	5	2	82|72	0	0	0	0	0	-322.36	0.06	0.7	
XPHIP	MCM3	MCM3	1|0	1	0.5	2	3|4	0	0	0	0	0	-17.14	0.14	0.7	
XPHIP	SDAD1	SDAD1	0|1	1	0.5	2	5|5	0	0	0	0	0	-23.66	0.1	0.7	
XPHIP	TOX4	TOX4	2|1	3	1.5	2	28|25	0	0	0	0	0	-114.92	0.06	0.7	
XPHIP	NUP155	NUP155	1|0	1	0.5	2	0|1	0	0	0	0	0	-4.81	1	0.7	
XPHIP	NUMA1	NUMA1	1|2	3	1.5	2	24|22	0	0	0	0	0	-99.38	0.07	0.7	
XPHIP	HSPA1A	HSPA1A	1|0	1	0.5	2	17|18	0	0	0	0	0	-79.31	0.03	0.7	
XPHIP	HCFC1	HCFC1	3|3	6	3	2	68|62	0	0	0	0	0	-277.45	0.05	0.7	
XPHIP	AHNAK2	AHNAK2	0|1	1	0.5	2	344|333	0	0	0	0	0	#NAME?	0	0.7	
XPHIP	ALMS1	ALMS1	1|0	1	0.5	2	42|55	0	0	0	0	0	-218.13	0.01	0.7	
XPHIP	KLC1	KLC1	2|0	2	1	2	28|31	0	0	0	0	0	-133.05	0.03	0.7	
XPHIP	BAZ2A	BAZ2A	1|0	1	0.5	2	3|7	0	0	0	0	0	-23.53	0.1	0.7	
XPHIP	RPL7A	RPL7A	1|0	1	0.5	2	1|1	0	0	0	0	0	-6.4	0.5	0.7	
XPHIP	NEDD8	NEDD8	0|2	2	1	2	4|3	0	0	0	0	0	-17.14	0.29	0.7	
XPHIP	BRWD1	BRWD1	0|1	1	0.5	2	1|1	0	0	0	0	0	-6.4	0.5	0.7	
XPHIP	NASP	NASP	3|3	6	3	2	48|56	0	0	0	0	0	-219.73	0.06	0.7	
XPHIP	SCAF4	SCAF4	1|1	2	1	2	4|5	0	0	0	0	0	-18.6	0.22	0.7	
XPHIP	NUDC	NUDC	5|2	7	3.5	2	32|27	0	0	0	0	0	-124.16	0.12	0.7	
XPHIP	RBMX	RBMX	0|1	1	0.5	2	2|2	0	0	0	0	0	-10.6	0.25	0.7	
XPHIP	EEF2	EEF2	1|1	2	1	2	37|37	0	0	0	0	0	-161.66	0.03	0.7	
XPHIP	ZDBF2	ZDBF2	0|1	1	0.5	2	1|1	0	0	0	0	0	-6.4	0.5	0.7	
XPHIP	SF1	SF1	1|0	1	0.5	2	39|33	0	0	0	0	0	-162.19	0.01	0.7	
XPHIP	PCNP	PCNP	0|2	2	1	2	13|14	0	0	0	0	0	-61.44	0.07	0.7	
XPHIP	MRE11A	MRE11A	0|2	2	1	2	50|50	0	0	0	0	0	-225.03	0.02	0.7	
XPHIP	HDGFRP2	HDGFRP2	1|1	2	1	2	10|8	0	0	0	0	0	-37.78	0.11	0.7	
XPHIP	POU2F3	POU2F3	0|1	1	0.5	2	4|3	0	0	0	0	0	-17.14	0.14	0.7	
XPHIP	NUCKS1	NUCKS1	1|1	2	1	2	3|4	0	0	0	0	0	-14.49	0.29	0.7	
XPHIP	HIST3H3	HIST3H3	5|6	11	5.5	2	3|4	0	0	0	0	0	-8.03	1.57	0.62	
XPHIP	JUP	JUP	0|2	2	1	2	5|7	0	0	0	0	0	-28.08	0.17	0.7	
XPHIP	JMJD1C	JMJD1C	1|1	2	1	2	76|80	0	0	0	0	0	-345.05	0.01	0.7	
XPHIP	GNB2L1	GNB2L1	1|0	1	0.5	2	1|1	0	0	0	0	0	-6.4	0.5	0.7	
XPHIP	ACACA	ACACA	178|306	484	242	2	161|178	0	0	0	0	0	-342.18	1.43	0.66	
XPHIP	RPS23	RPS23	0|1	1	0.5	2	2|3	0	0	0	0	0	-12.82	0.2	0.7	
XPHIP	A0A222	A0A222	21|41	62	31	2	1762|1777	0	0	0	0	0	#NAME?	0.02	0.7	
XPHIP	UBC	UBC	1|3	4	2	2	6|9	0	0	0	0	0	-31.32	0.27	0.7	
XPHIP	PCBP2	PCBP2	1|0	1	0.5	2	16|16	0	0	0	0	0	-72.59	0.03	0.7	
XPHIP	PCBP1	PCBP1	6|6	12	6	2	34|31	0	0	0	0	0	-123.75	0.18	0.7	
XPHIP	RPS11	RPS11	1|0	1	0.5	2	1|0	0	0	0	0	0	-4.81	1	0.7	
XPHIP	ACTN3	ACTN3	1|0	1	0.5	2	0|1	0	0	0	0	0	-4.81	1	0.7	
XPHIP	GAPVD1	GAPVD1	1|1	2	1	2	23|22	0	0	0	0	0	-97.17	0.04	0.7	
XPHIP	DIAPH2	DIAPH2	1|0	1	0.5	2	10|11	0	0	0	0	0	-48.07	0.05	0.7	
XPHIP	CCT8	CCT8	1|2	3	1.5	2	112|102	0	0	0	0	0	-475.07	0.01	0.7	
XPHIP	MCCC1	MCCC1	79|123	202	101	2	121|141	0	0	0	0	0	-361.13	0.77	0.7	
XPHIP	EIF4A1	EIF4A1	2|0	2	1	2	13|12	0	0	0	0	0	-56.98	0.08	0.7	
XPHIP	KRT18	KRT18	5|0	5	2.5	2	63|73	0	0	0	0	0	-305.87	0.04	0.7	
XPHIP	CAPNS1	CAPNS1	1|0	1	0.5	2	2|1	0	0	0	0	0	-8.61	0.33	0.7	
XPHIP	ABR	ABR	1|0	1	0.5	2	2|1	0	0	0	0	0	-8.61	0.33	0.7	
XPHIP	TUBA3E	TUBA3E	0|1	1	0.5	2	3|3	0	0	0	0	0	-14.91	0.17	0.7	
XPHIP	RAN	RAN	4|1	5	2.5	2	6|7	0	0	0	0	0	-27.04	0.38	0.7	
XPHIP	ARID1A	ARID1A	12|10	22	11	2	6|9	0	0	0	0	0	-14.9	1.47	0.64	
XPHIP	VIM	VIM	7|1	8	4	2	76|82	0	0	0	0	0	-349.53	0.05	0.7	
XPHIP	SNX8	SNX8	1|0	1	0.5	2	2|2	0	0	0	0	0	-10.6	0.25	0.7	
XPHIP	MKL2	MKL2	3|3	6	3	2	85|93	0	0	0	0	0	-384.35	0.03	0.7	
XPHIP	TUBB	TUBB	12|10	22	11	2	44|41	0	0	0	0	0	-154.89	0.26	0.7	
XPHIP	HNRNPL	HNRNPL	0|1	1	0.5	2	14|15	0	0	0	0	0	-65.91	0.03	0.7	
XPHIP	HNRNPF	HNRNPF	3|3	6	3	2	13|16	0	0	0	0	0	-55.45	0.21	0.7	
XPHIP	USP5	USP5	0|1	1	0.5	2	11|13	0	0	0	0	0	-54.74	0.04	0.7	
XPHIP	TMEM33	TMEM33	1|0	1	0.5	2	2|0	0	0	0	0	0	-6.16	0.5	0.7	
XPHIP	TAGLN2	TAGLN2	0|1	1	0.5	2	44|52	0	0	0	0	0	-216.05	0.01	0.7	
XPHIP	SEPTIN-7	SEPTIN-7	1|0	1	0.5	2	11|11	0	0	0	0	0	-50.28	0.05	0.7	
XPHIP	SEPTIN-2	SEPTIN-2	0|1	1	0.5	2	7|5	0	0	0	0	0	-28.08	0.08	0.7	
XPHIP	NONO	NONO	6|3	9	4.5	2	41|50	0	0	0	0	0	-190.95	0.1	0.7	
XPHIP	PC	PC	196|347	543	271.5	2	215|214	0	0	0	0	0	-475.31	1.27	0.69	
XPHIP	S100Z	S100Z	0|1	1	0.5	2	1|0	0	0	0	0	0	-4.81	1	0.7	
XPHIP	MAP4	MAP4	0|1	1	0.5	2	192|233	0	0	0	0	0	#NAME?	0	0.7	
XPHIP	HSPB1	HSPB1	5|1	6	3	2	11|11	0	0	0	0	0	-46.48	0.27	0.7	
XPHIP	HELZ2	HELZ2	1|0	1	0.5	2	0|2	0	0	0	0	0	-6.16	0.5	0.7	
XPHIP	LDHA	LDHA	0|1	1	0.5	2	4|4	0	0	0	0	0	-19.27	0.12	0.7	
XPHIP	TUBA1C	TUBA1C	7|4	11	5.5	2	96|94	0	0	0	0	0	-406.55	0.06	0.7	
XPHIP	TUBA1B	TUBA1B	1|0	1	0.5	2	12|10	0	0	0	0	0	-50.28	0.05	0.7	
XPHIP	FUS	FUS	0|1	1	0.5	2	6|6	0	0	0	0	0	-28.08	0.08	0.7	
XPHIP	HNRNPU	HNRNPU	0|1	1	0.5	2	30|28	0	0	0	0	0	-130.8	0.02	0.7	
XPHIP	HNRNPK	HNRNPK	7|3	10	5	2	63|66	0	0	0	0	0	-275.23	0.08	0.7	
XPHIP	FASN	FASN	1|0	1	0.5	2	448|454	0	0	0	0	0	#NAME?	0	0.7	
XPHIP	HNRNPM	HNRNPM	1|0	1	0.5	2	30|34	0	0	0	0	0	-144.25	0.02	0.7	
XPHIP	HSP90AA1	HSP90AA1	1|0	1	0.5	2	9|9	0	0	0	0	0	-41.38	0.06	0.7	
XPHIP	HP1BP3	HP1BP3	1|1	2	1	2	22|27	0	0	0	0	0	-106.04	0.04	0.7	
XPHIP	RAB3C	RAB3C	1|0	1	0.5	2	0|1	0	0	0	0	0	-4.81	1	0.7	
XPHIP	CFL1	CFL1	5|4	9	4.5	2	13|10	0	0	0	0	0	-40.29	0.39	0.7	
XPHIP	BICD2	BICD2	0|1	1	0.5	2	2|3	0	0	0	0	0	-12.82	0.2	0.7	
XPHIP	PDCD6IP	PDCD6IP	1|0	1	0.5	2	7|5	0	0	0	0	0	-28.08	0.08	0.7	
