Gene_names,FBXW8_vs_BirA_logFC,FBXW8_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_FBXW8_N1,Peptides_FBXW8_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_FBXW8_N1,Razor___unique_peptides_FBXW8_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_FBXW8_N1,Unique_peptides_FBXW8_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_FBXW8_N1,Identification_type_FBXW8_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_FBXW8_N1,Ratio_H_L_FBXW8_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_FBXW8_N1,Ratio_H_L_normalized_FBXW8_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____FBXW8_N1,Ratio_H_L_variability_____FBXW8_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_FBXW8_N1,Ratio_H_L_count_FBXW8_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_FBXW8_N1,Ratio_H_L_iso_count_FBXW8_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_FBXW8_N1,Ratio_H_L_type_FBXW8_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_FBXW8_N1____,Sequence_coverage_FBXW8_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_FBXW8_N1,Intensity_L_FBXW8_N1,Intensity_H_FBXW8_N1,Intensity_FBXW8_N2,Intensity_L_FBXW8_N2,Intensity_H_FBXW8_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_FBXW8_N1,metacell_Intensity_L_FBXW8_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
LIG1,-19.874337761571,3.61788861065705e-06,P18858;F5GZ28,P18858;F5GZ28,2;2,2;2,2;2,DNA ligase 1;DNA ligase,sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1;tr|F5GZ28|F5GZ28_HUMAN DNA ligase OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1,2,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,3.3,3.3,3.3,101.73,919,919;851,0.0,3.6391,By MS/MS,By MS/MS,,,1.0496,2.7321,54.165,3,0,Plateau,0.5306,1.0857,,,1.4431,2.7321,,,56.142,,,,2,1,0,0,0,0,0,0,Median,Median,Median,Median,3.3,2.0,0.0,0.0,75879000,40813000,35066000,43495000,26734000,16761000,32384000,14079000,18304000,0,0,0,0,0,0,,,,701,1336;8767,True;True,1558;10358,4353;28224;28225,8943;8944;58326;58327;58328;58329,8943;58329,,,,,-1;-1,protein_702,imputed MEC,imputed MEC,quanti,quanti
SLC3A2,0.15820367171024,0.57383193235098,P08195;F5GZS6;J3KPF3;H0YFS2;F5GZI0;F5H0E2;F5H867;H0YFX4;F5GZR9,P08195;F5GZS6;J3KPF3,16;16;16;6;5;4;3;2;1,16;16;16;6;5;4;3;2;1,16;16;16;6;5;4;3;2;1,4F2 cell-surface antigen heavy chain,sp|P08195|4F2_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3;tr|F5GZS6|F5GZS6_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1;tr|J3KPF3|J3KPF3_HUMAN 4F2 cell-surface antigen hea,9,16,16,16,7,8,11,10,7,8,11,10,7,8,11,10,33.5,33.5,33.5,67.993,630,630;599;631;247;175;145;135;122;47,0.0,59.357,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.79117,1.7453,19.291,44,5,Leave out requantified,0.49294,0.58013,0.96863,0.96133,1.7037,1.5332,1.9937,2.0386,24.645,14.49,17.588,14.211,7,9,14,14,1,2,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,19.5,22.2,21.0,23.0,2444000000,1308700000,1135300000,321420000,205530000,115900000,623490000,357180000,266310000,696120000,354750000,341370000,802940000,391230000,411710000,,,,702,358;4221;5118;5292;6320;6599;8425;9035;9036;9398;10596;13491;15944;15945;17021;17181,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,405;4878;5991;6188;7441;7783;9982;10678;10679;10680;11095;12464;15763;15764;18569;18570;19860;20040,1059;13147;13148;13149;13150;16230;16231;16781;16782;20131;20132;21154;21155;21156;27246;29153;29154;29155;29156;29157;29158;29159;29160;30265;30266;30267;30268;33919;42610;42611;42612;42613;42614;42615;42616;50394;50395;50396;50397;50398;53927;53928;54403;54404,2197;2198;26695;26696;26697;26698;26699;26700;33310;33311;33312;34388;34389;34390;34391;41438;41439;41440;41441;41442;41443;41444;41445;43832;43833;43834;43835;43836;56341;56342;56343;60316;60317;60318;60319;60320;60321;60322;60323;60324;60325;60326;62511;62512;62513;62514;62515;62516;62517;62518;62519;62520;62521;69797;69798;87404;87405;87406;87407;87408;87409;87410;87411;87412;87413;87414;87415;87416;87417;87418;87419;87420;104051;104052;104053;104054;104055;104056;104057;104058;104059;104060;104061;111590;111591;111592;111593;111594;111595;112601;112602;112603,2197;26697;33310;34390;41444;43832;56341;60324;60326;62516;69797;87408;104051;104061;111593;112601,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_703,quanti,quanti,quanti,quanti
SNRPG;SNRPGP15,1.44233484390286,0.00116447879508562,P62308;Q49AN9;F5H013;A8MWD9;C9JVQ0,P62308;Q49AN9;F5H013;A8MWD9;C9JVQ0,3;3;3;2;2,3;3;3;2;2,3;3;3;2;2,Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15,sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;tr|Q49AN9|Q49AN9_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;tr|F5H013|F5H013_HUMAN Small nuclear ribonucleoprotein G O,5,3,3,3,1,1,3,2,1,1,3,2,1,1,3,2,38.2,38.2,38.2,8.496,76,76;64;68;76;96,0.0,14.205,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54398,1.2178,2.7994,9,1,Leave out requantified,0.41552,0.46764,0.58686,0.53637,1.4623,1.3099,1.2669,1.179,,,10.715,17.415,1,1,4,3,0,0,1,0,Median,Median,Linear,Median,17.1,17.1,38.2,26.3,563650000,358830000,204820000,54231000,38663000,15568000,63446000,43746000,19700000,239290000,149920000,89374000,206680000,126500000,80180000,,,,703,5195;5967;9920,True;True;True,6083;6084;7048;11680,16501;16502;16503;16504;16505;16506;19109;19110;31749,33860;33861;33862;33863;33864;33865;33866;33867;33868;33869;33870;33871;33872;33873;33874;33875;33876;33877;33878;33879;33880;33881;33882;33883;33884;33885;39402;39403;65393,33864;39402;65393,169,,20,,-1;-1;-1;-1;-1,protein_704,quanti,quanti,quanti,quanti
CPSF7,1.28005841081445,0.00326578953138529,Q8N684;J3QT54;F5H6M0;F5H047;F5H669;C9J286;C9J323;C9JM38,Q8N684;J3QT54;F5H6M0;F5H047;F5H669;C9J286;C9J323,4;4;4;4;4;2;2;1,4;4;4;4;4;2;2;1,4;4;4;4;4;2;2;1,Cleavage and polyadenylation specificity factor subunit 7,sp|Q8N684|CPSF7_HUMAN Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1;tr|J3QT54|J3QT54_HUMAN Cleavage and polyadenylation-specificity factor subunit 7 (Fragment) OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=,8,4,4,4,1,1,2,3,1,1,2,3,1,1,2,3,9.6,9.6,9.6,52.049,471,471;204;219;288;374;143;145;138,0.0,3.7233,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.56353,1.1529,23.651,7,5,Median,0.48461,0.70086,0.58618,0.60713,1.3393,1.6959,1.1447,1.2391,,,1.0154,20.805,1,1,2,3,1,1,1,2,Median,Median,Median,Plateau,2.3,2.3,4.9,7.2,182450000,112830000,69620000,20912000,12954000,7957500,25338000,15334000,10004000,64963000,39392000,25571000,71238000,45151000,26087000,,,,705,5593;9184;12250;13242,True;True;True;True,6540;10851;14343;15477,17654;17655;29619;29620;38807;38808;41796,36120;61182;61183;79701;79702;85726,36120;61183;79702;85726,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_706,quanti,quanti,quanti,quanti
RAB35,-20.9461280253768,4.68945227841341e-08,Q15286;F5H157;F5H7F8,Q15286;F5H157;F5H7F8,2;2;1,2;2;1,2;2;1,Ras-related protein Rab-35,sp|Q15286|RAB35_HUMAN Ras-related protein Rab-35 OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1;tr|F5H157|F5H157_HUMAN Ras-related protein Rab-35 (Fragment) OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1;tr|F5H7F8|F5H7F8_HUMAN Ras-related protein Rab-35 OS=Homo sa,3,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,11.4,11.4,11.4,23.025,201,201;185;147,0.0031266,1.7858,By MS/MS,By MS/MS,,,0.31459,0.81888,31.476,4,2,Median,0.37842,0.31194,,,1.1181,0.77564,,,40.248,3.8728,,,2,2,0,0,1,1,0,0,Median,Median,Median,Median,11.4,11.4,0.0,0.0,117430000,82336000,35094000,52354000,35534000,16820000,65076000,46803000,18273000,0,0,0,0,0,0,,,,707,1621;17084,True;True,1880;19933,5267;5268;54142;54143,10869;112085;112086;112087;112088,10869;112085,,,,,-1;-1;-1,protein_708,imputed MEC,imputed MEC,quanti,quanti
CMAS,19.6280596227276,6.02498075432431e-08,Q8NFW8;F5H296,Q8NFW8;F5H296,2;2,2;2,2;2,N-acylneuraminate cytidylyltransferase,sp|Q8NFW8|NEUA_HUMAN N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=2;tr|F5H296|F5H296_HUMAN N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=1,2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,6.5,6.5,6.5,48.379,434,434;88,0.0077897,1.395,,,By MS/MS,By MS/MS,0.61034,1.004,22.921,4,2,Median,,,0.55374,0.63988,,,0.97937,1.1843,,,12.629,32.488,0,0,2,2,0,0,1,1,Median,Median,Median,Median,0.0,0.0,6.5,6.5,70388000,41221000,29167000,0,0,0,0,0,0,35101000,22249000,12852000,35287000,18972000,16315000,,,,709,5488;5792,True;True,6409;6811,17325;17326;18429;18430,35441;35442;37775,35441;37775,,,,,-1;-1,protein_710,quanti,quanti,imputed MEC,imputed MEC
HMGA2,20.8724241214199,4.66352012660264e-08,P52926;F5H2U8;F5H2A4;F5H6H0,P52926;F5H2U8;F5H2A4;F5H6H0,2;2;2;1,2;2;2;1,2;2;2;1,High mobility group protein HMGI-C,sp|P52926|HMGA2_HUMAN High mobility group protein HMGI-C OS=Homo sapiens OX=9606 GN=HMGA2 PE=1 SV=1;tr|F5H2U8|F5H2U8_HUMAN High mobility group protein HMGI-C OS=Homo sapiens OX=9606 GN=HMGA2 PE=1 SV=1;tr|F5H2A4|F5H2A4_HUMAN High mobility group protein HMGI,4,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,29.4,29.4,29.4,11.832,109,109;99;118;147,0.0,7.3986,,,By MS/MS,By MS/MS,0.23455,0.47315,11.474,4,2,Median,,,0.22408,0.24594,,,0.42743,0.49448,,,12.715,4.5781,0,0,2,2,0,0,1,1,Median,Median,Median,Median,0.0,0.0,29.4,29.4,128950000,97356000,31596000,0,0,0,0,0,0,63535000,49249000,14286000,65417000,48107000,17311000,,,,710,4531;8042,True;True,5255;9518,14142;14143;25808;25809,28821;28822;53315;53316;53317,28822;53317,,,,,-1;-1;-1;-1,protein_711,quanti,quanti,imputed MEC,imputed MEC
SEC23A,19.9975139550753,3.02495076405941e-05,Q15436;F5H365;G3V4V1;G3V1W4;G3V3G5;G3V2R6;G3V5X8;G3V4Q2;G3V5K1,Q15436;F5H365;G3V4V1;G3V1W4;G3V3G5;G3V2R6;G3V5X8;G3V4Q2,7;7;5;5;5;5;4;4;3,4;4;2;2;2;2;2;2;1,4;4;2;2;2;2;2;2;1,Protein transport protein Sec23A,sp|Q15436|SC23A_HUMAN Protein transport protein Sec23A OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=2;tr|F5H365|F5H365_HUMAN Protein transport protein SEC23 OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=1;tr|G3V4V1|G3V4V1_HUMAN Protein transport protein SEC23 (Fr,9,7,4,4,3,3,4,4,0,0,2,2,0,0,2,2,9.2,5.6,5.6,86.16,765,765;736;93;108;140;169;85;86;40,0.0,4.0378,By matching,By matching,By MS/MS,By MS/MS,0.42987,0.87877,39.577,4,3,Median,,,0.42987,0.53203,,,0.87877,0.85781,,,7.6873,68.074,0,0,2,2,0,0,1,2,Median,Median,Median,Median,3.5,3.5,5.1,6.3,105160000,71980000,33181000,0,0,0,0,0,0,86975000,60298000,26677000,18186000,11683000,6503400,,,,711,2016;4207;4208;4397;4398;11151;15152,False;False;False;True;True;True;True,2348;4864;4865;5090;5091;13095;17634,6597;6598;6599;6600;13107;13108;13109;13110;13111;13112;13731;13732;35555;47763,13752;13753;13754;13755;13756;13757;13758;13759;26598;26599;26600;26601;26602;26603;26604;26605;26606;27939;27940;27941;73003;98253,13759;26598;26606;27940;27941;73003;98253,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_712,quanti,quanti,imputed MEC,imputed MEC
AP3S1,19.4301248370202,1.75264187398874e-05,Q92572;F5H459,Q92572;F5H459,2;2,2;2,2;2,AP-3 complex subunit sigma-1,sp|Q92572|AP3S1_HUMAN AP-3 complex subunit sigma-1 OS=Homo sapiens OX=9606 GN=AP3S1 PE=1 SV=1;tr|F5H459|F5H459_HUMAN AP complex subunit sigma OS=Homo sapiens OX=9606 GN=AP3S1 PE=1 SV=1,2,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,21.2,21.2,21.2,21.732,193,193;162,0.0,2.5419,,,By MS/MS,By MS/MS,0.80448,1.4677,8.1303,2,0,Median,,,0.75545,0.85669,,,1.3857,1.5545,,,,,0,0,1,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,21.2,6.2,61709000,44726000,16983000,0,0,0,0,0,0,45040000,35753000,9286600,16669000,8973100,7696200,,,,712,872;3395,True;True,994;3932,2677;2678;10689,5396;5397;21702;21703,5396;21702,,,,,-1;-1,protein_713,quanti,quanti,imputed MEC,imputed MEC
NAP1L1,0.177010181768654,0.357854780067847,P55209;F8VY35;F8W0J6;F5H4R6;H0YIV4;H0YHC3;F8W020;F8W118;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8VXI6;F8VRJ2;F8VVB5;B7Z4K9,P55209;F8VY35;F8W0J6;F5H4R6;H0YIV4;H0YHC3;F8W020;F8W118;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8VXI6;F8VRJ2;F8VVB5,15;15;15;15;15;13;13;13;13;13;13;12;11;9;9;2,15;15;15;15;15;13;13;13;13;13;13;12;11;9;9;2,3;3;3;3;3;1;3;1;3;1;1;0;3;1;1;0,Nucleosome assembly protein 1-like 1,sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8VY35|F8VY35_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8W0J6|F8W0J6_HUMAN Nucleosome asse,16,15,15,3,10,9,10,11,10,9,10,11,1,2,2,2,33.2,33.2,9.2,45.374,391,391;264;379;383;385;198;207;209;237;327;349;177;215;114;161;208,0.0,56.36,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48779,1.0454,23.639,63,15,Leave out requantified,0.23341,0.30724,0.57494,0.52296,0.84478,0.91937,1.1866,1.1485,21.758,17.12,12.832,13.392,14,12,18,19,6,2,2,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,25.1,29.7,30.4,29.9,7855700000,5410800000,2444900000,1338400000,1049700000,288770000,1599300000,1214500000,384770000,2411800000,1533900000,877950000,2506100000,1612800000,893380000,,,,713,4131;4334;4335;4849;8046;8047;8380;11823;12226;12227;12725;16009;16383;17242;17243,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4779;5012;5013;5014;5015;5659;9524;9525;9526;9926;13846;14312;14313;14314;14893;18658;19111;20107;20108;20109,12893;12894;12895;12896;13535;13536;13537;13538;13539;13540;13541;13542;13543;13544;13545;13546;13547;13548;13549;13550;13551;15294;15295;25822;25823;25824;25825;25826;25827;25828;25829;25830;25831;27053;27054;27055;27056;27057;27058;27059;37569;37570;37571;37572;38731;38732;38733;38734;40235;50648;51915;51916;51917;51918;54575;54576;54577;54578;54579;54580;54581;54582;54583;54584,26161;26162;26163;26164;26165;26166;26167;26168;26169;26170;27568;27569;27570;27571;27572;27573;27574;27575;27576;27577;27578;27579;27580;27581;27582;27583;27584;27585;27586;27587;27588;27589;27590;27591;27592;27593;27594;27595;27596;27597;27598;27599;27600;27601;27602;31399;31400;31401;31402;31403;31404;31405;53332;53333;53334;53335;53336;53337;53338;53339;53340;53341;53342;53343;53344;53345;53346;53347;53348;53349;53350;53351;55935;55936;55937;55938;55939;55940;55941;55942;55943;55944;55945;55946;55947;55948;55949;55950;55951;77223;77224;77225;77226;77227;77228;77229;77230;77231;77232;77233;79570;79571;79572;79573;79574;79575;79576;79577;79578;79579;82534;104717;107422;107423;107424;107425;107426;107427;112955;112956;112957;112958;112959;112960;112961;112962;112963;112964;112965;112966;112967;112968;112969;112970;112971,26166;27582;27585;31400;53332;53339;55941;77227;79573;79579;82534;104717;107422;112956;112961,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_714,quanti,quanti,quanti,quanti
