Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity POC1B-N1,Intensity POC1B-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q8NE71;H0YGW7;A0A0G2JIC2;Q5STZ8,Q8NE71;H0YGW7,12;10;3;3,12;10;3;3,12;10;3;3,ATP-binding cassette sub-family F member 1,ABCF1,sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;tr|H0YGW7|H0YGW7_HUMAN ATP-binding cassette sub-family F member 1 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=1,12,12,18.2,22.8856345658866,22.5448408910033,27.8486422322024,27.777936515309
Q9UG63;C9JHK9;C9JZV3,Q9UG63;C9JHK9;C9JZV3,9;6;6,9;6;6,9;6;6,ATP-binding cassette sub-family F member 2,ABCF2,sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2;tr|C9JHK9|C9JHK9_HUMAN ATP-binding cassette sub-family F member 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=1;tr|C9JZV3|C9JZV3_HUMAN ATP-b,9,9,18.3,23.6174236100758,23.2793759372348,27.0033526867141,26.5749341593783
Q9NUQ8,Q9NUQ8,8,8,8,ATP-binding cassette sub-family F member 3,ABCF3,sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2,8,8,14.8,4.12024628707503,4.14613732404923,26.1261481533969,25.9359126497852
Q96IU4;B4DQI4;F8W9U3,Q96IU4;B4DQI4;F8W9U3,4;3;3,4;3;3,4;3;3,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,4,4,28.1,23.5903162893935,23.2405264147605,25.9899067138378,25.4482141271051
Q8IZP0;B6VEX4;A0A0A0MRT6;H0Y6B5,Q8IZP0;B6VEX4;A0A0A0MRT6,7;7;7;1,7;7;7;1,5;5;5;0,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,7,5,14.4,4.12024628707503,4.14613732404923,26.247750523388,26.039005367772
P00519;P42684,P00519;P42684,2;2,2;2,2;2,Tyrosine-protein kinase ABL1;Abelson tyrosine-protein kinase 2,ABL1;ABL2,sp|P00519|ABL1_HUMAN Tyrosine-protein kinase ABL1 OS=Homo sapiens OX=9606 GN=ABL1 PE=1 SV=4;sp|P42684|ABL2_HUMAN Tyrosine-protein kinase ABL2 OS=Homo sapiens OX=9606 GN=ABL2 PE=1 SV=1,2,2,2.1,4.12024628707503,4.14613732404923,22.469137989422,20.9369685570668
O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,18;18;17;17;10;10,18;18;17;17;10;10,3;3;2;2;2;2,Actin-binding LIM protein 1,ABLIM1,sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;tr|A0A3B3IS55|A0A3B3IS55_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;tr|F8W8M4|F8W8M4_HUMAN Actin-binding LIM protein 1 OS=Homo,18,3,27.2,23.0705468226441,22.7202279859686,28.1805397607883,27.9545466242509
I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,2;1;1;1,2;1;1;1,2;1;1;1,,ABR,tr|I3L3W0|I3L3W0_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L259|I3L259_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L2L,2,2,29.3,25.6366038562198,25.0893803262741,23.1248829926369,25.6563279666607
Q13085;Q59FY4;A0A0C4DGT1;A0A087WWN5;A0A087X0W4;A0A087X2F8;A0A087X126;S4R3S7;A0A087WVR6;A0A087WYS8,Q13085,117;55;6;4;4;3;3;3;1;1,117;55;6;4;4;3;3;3;1;1,101;49;2;4;1;1;1;0;0;1,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,117,101,63.0,34.6456530629329,34.350277693682,33.2431749915293,33.0026621662268
O00763;F8W8T8;H0YGH5;A0A087WUA1,O00763,48;22;21;3,35;18;17;3,35;18;17;3,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,sp|O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3,48,35,24.4,29.0692513941704,28.3781970062237,23.4526193062251,24.7960023656898
Q9H3P7,Q9H3P7,8,8,8,Golgi resident protein GCP60,ACBD3,sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,8,8,20.3,4.12024628707503,4.14613732404923,26.6100630770979,26.9017319939852
S4R3H4;Q9UKV3;E7EQT4;G3V3B0;A0A087WYN3,S4R3H4;Q9UKV3;E7EQT4,16;15;15;6;1,16;15;15;6;1,16;15;15;6;1,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,tr|S4R3H4|S4R3H4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=1;sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2;tr|E7EQT4|E7E,16,16,20.3,4.12024628707503,4.14613732404923,28.0513397312771,27.9819614293041
P53396,P53396,5,5,5,ATP-citrate synthase,ACLY,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,5,5,5.5,4.12024628707503,4.14613732404923,25.354743320895,24.9626108126827
P21399,P21399,5,5,5,Cytoplasmic aconitate hydratase,ACO1,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,5,5,7.5,4.12024628707503,4.14613732404923,25.2578901873642,24.517252237289
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,27.3089526465722,25.7643826501727,30.6256652328299,30.463339894737
P68133;P68032;P62736;P63267;A6NL76;C9JFL5;F6UVQ4;F6QUT6;F8WB63;B8ZZJ2,P68133;P68032;P62736;P63267;A6NL76;C9JFL5;F6UVQ4;F6QUT6,12;12;11;11;9;6;6;6;5;5,3;3;3;3;2;2;2;2;1;1,3;3;3;3;2;2;2;2;1;1,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",ACTA1;ACTC1;ACTA2;ACTG2,"sp|P68133|ACTS_HUMAN Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1;sp|P68032|ACTC_HUMAN Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1;sp|P62736|ACTA_HUMAN Actin, aortic smooth muscle OS=Homo sapiens OX=9",12,3,34.2,25.5178936190458,25.474878845394,28.917353594158,28.4595146682324
O96019,O96019,2,2,2,Actin-like protein 6A,ACTL6A,sp|O96019|ACL6A_HUMAN Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1,2,2,9.8,4.12024628707503,4.14613732404923,23.8714533323075,26.2085118206486
P12814;H9KV75;G3V2W4;H7C5W8;G3V2N5;H0YJW3;P35609;H0YJ11;A0A494C1A0;G3V2X9;F6THM6;G3V5M4;G3V380,P12814;H9KV75,26;25;10;10;9;7;6;6;6;4;4;3;1,26;25;10;10;9;7;6;6;6;4;4;3;1,15;14;5;6;5;4;1;3;1;1;1;1;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,26,15,38.1,22.6643196356488,22.291033515155,29.2112719998451,29.0207012120263
Q08043;A0A087WSZ2;D6RH00,Q08043;A0A087WSZ2,5;4;1,2;1;1,2;1;1,Alpha-actinin-3,ACTN3,sp|Q08043|ACTN3_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=2;tr|A0A087WSZ2|A0A087WSZ2_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=1,5,2,6.4,24.5296955292438,24.9073501569775,21.2975969684813,22.216565751971
O43707;H7C144;F5GXS2;K7EJH8;A0A494C060;G3V2E8;A0A494C033;A0A494C166;Q9H254;M0QZQ3;C9JY79,O43707,20;8;8;3;3;2;2;2;1;1;1,9;5;5;2;0;0;0;0;1;1;1,9;5;5;2;0;0;0;0;1;1;1,Alpha-actinin-4,ACTN4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,20,9,28.0,4.12024628707503,4.14613732404923,26.5441274896391,26.980327881244
P55265,P55265,27,27,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,27,2,30.8,4.12024628707503,4.14613732404923,30.2405901012697,29.648850853213
P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2;D6RAH3;D6RF25;P35612;D6RJE2,P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2,10;10;10;7;6;2;2;1;1,10;10;10;7;6;2;2;1;1,9;9;9;7;5;2;2;1;1,Alpha-adducin,ADD1,sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2;tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|E7ENY0|E7ENY0_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|A0A0A0MSR2|A0A0A0M,10,9,19.7,4.12024628707503,4.14613732404923,28.1754565815377,27.2819774132684
Q9UEY8,Q9UEY8,14,14,14,Gamma-adducin,ADD3,sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,14,14,22.2,4.12024628707503,4.14613732404923,28.5375665495567,28.5682656852846
Q9H2P0;A0A669KBJ7;A0A2R8Y6X0;A0A2R8YCL6,Q9H2P0;A0A669KBJ7;A0A2R8Y6X0,31;30;23;5,31;30;23;5,31;30;23;5,Activity-dependent neuroprotector homeobox protein,ADNP,sp|Q9H2P0|ADNP_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1;tr|A0A669KBJ7|A0A669KBJ7_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=4 SV=1;tr|A0A2R8Y6X0|A0A2,31,31,38.6,4.12024628707503,4.14613732404923,29.5187460097175,29.2683652010621
P25098;E9PRV7;P35626;Q8N433,P25098;E9PRV7;P35626;Q8N433,2;2;1;1,2;2;1;1,2;2;1;1,Beta-adrenergic receptor kinase 1;Beta-adrenergic receptor kinase 2,ADRBK1;ADRBK2,sp|P25098|ARBK1_HUMAN Beta-adrenergic receptor kinase 1 OS=Homo sapiens OX=9606 GN=GRK2 PE=1 SV=2;tr|E9PRV7|E9PRV7_HUMAN G protein-coupled receptor kinase OS=Homo sapiens OX=9606 GN=GRK2 PE=1 SV=1;sp|P35626|ARBK2_HUMAN Beta-adrenergic receptor kinase 2 OS=,2,2,5.8,4.12024628707503,4.14613732404923,24.0903737454549,22.7099243519915
Q9UHB7;C9JCE0,Q9UHB7,11;2,11;2,11;2,AF4/FMR2 family member 4,AFF4,sp|Q9UHB7|AFF4_HUMAN AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1,11,11,13.0,4.12024628707503,4.14613732404923,27.0873987408807,26.4732382758418
Q6ULP2;B8ZZI9;A0A0A0MSN6,Q6ULP2;B8ZZI9,9;5;2,9;5;2,9;5;2,Aftiphilin,AFTPH,sp|Q6ULP2|AFTIN_HUMAN Aftiphilin OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=3;tr|B8ZZI9|B8ZZI9_HUMAN Aftiphilin (Fragment) OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=2,9,9,12.8,4.12024628707503,4.14613732404923,27.6685116212043,26.8600573353497
P52594;C9J2I0;B8ZZY2,P52594;C9J2I0;B8ZZY2,6;5;5,6;5;5,6;5;5,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,sp|P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2;tr|C9J2I0|C9J2I0_HUMAN Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=8;tr|B8ZZY2|B8ZZ,6,6,17.4,4.12024628707503,4.14613732404923,27.4186046493561,27.0851712654646
Q8WYP5;H7C4S1,Q8WYP5,25;1,25;1,25;1,Protein ELYS,AHCTF1,sp|Q8WYP5|ELYS_HUMAN Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,25,25,15.8,4.12024628707503,4.14613732404923,28.6938177111788,28.3021688015919
O43865;H0Y8B3,O43865;H0Y8B3,6;4,6;4,2;0,Putative adenosylhomocysteinase 2;Adenosylhomocysteinase,AHCYL1;AHCYL2,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,12.1,4.12024628707503,4.14613732404923,26.6035695268123,26.3900490072837
Q09666;E9PKR9;E9PLK4;E9PJZ0;E9PJC6;E9PQE3;P48552,Q09666,383;5;5;4;4;3;1,383;5;5;4;4;3;1,382;5;5;4;4;3;1,Neuroblast differentiation-associated protein AHNAK,AHNAK,sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,383,382,80.3,33.642590186116,33.1481325637412,38.4337943589536,38.3530088562068
Q8IVF2,Q8IVF2,184,183,183,Protein AHNAK2,AHNAK2,sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,184,183,59.2,27.9966884599532,27.6705390176044,34.7422406108608,34.4176493719761
O95433;G3V438;H0YJU2;H0YJG7;H0YJ63;G3V3W9,O95433;G3V438,11;8;5;5;3;2,11;8;5;5;3;2,11;8;5;5;3;2,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr|G3V438|G3V438_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,11,11,42.6,27.4502610617494,27.477614135371,28.883377805308,29.3239074606194
E7ET48;Q8N1P7;E9PIR9;E7EX92,E7ET48;Q8N1P7;E9PIR9;E7EX92,2;2;2;1,2;2;2;1,2;2;2;1,Absent in melanoma 1-like protein,AIM1L,tr|E7ET48|E7ET48_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=1 SV=2;sp|Q8N1P7|CRBG2_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=2 SV=2;tr|E9PIR9|E9PIR9_HUMAN,2,2,1.4,26.01854335765,26.1093468676868,24.3118824352119,26.5821895409773
O00170;E9PMH2;V9GYQ3,O00170;E9PMH2,8;5;3,8;5;3,8;5;3,AH receptor-interacting protein,AIP,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2;tr|E9PMH2|E9PMH2_HUMAN Peptidylprolyl isomerase (Fragment) OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2,8,8,34.2,26.7163342656406,25.4946656707272,4.49387385714151,4.39812296881927
Q92667;I3L0W0;I3L2A2;I3L2N7;I3L0K6;I3L364;I3L3K1;I3NI36,Q92667,19;9;7;7;5;3;2;1,19;9;7;7;5;3;2;1,19;9;7;7;5;3;2;1,"A-kinase anchor protein 1, mitochondrial",AKAP1,"sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",19,19,29.6,4.12024628707503,4.14613732404923,28.6102743320158,28.429819436852
Q02952,Q02952,20,20,20,A-kinase anchor protein 12,AKAP12,sp|Q02952|AKA12_HUMAN A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,20,20,18.5,4.12024628707503,4.14613732404923,28.6428569685844,28.0702499496946
Q9Y2D5,Q9Y2D5,32,32,6,A-kinase anchor protein 2,AKAP2,sp|Q9Y2D5|AKAP2_HUMAN A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,32,6,50.1,4.12024628707503,4.14613732404923,32.1911647318126,31.9604070414458
P54886,P54886,2,2,2,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,ALDH18A1,sp|P54886|P5CS_HUMAN Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens OX=9606 GN=ALDH18A1 PE=1 SV=2,2,2,4.0,23.0843949046528,22.7966559620211,21.9534035965864,22.5773913819421
