Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF17-N1,Intensity DCAF17-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
P20073,P20073,2,2,2,Annexin A7,ANXA7,sp|P20073|ANXA7_HUMAN Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3,2,2,3.7,23.3803373994892,23.0377470934488,4.54126939241188,4.42741644991123
P84085;C9J1Z8;P18085;F5H0C7;C9JPM4;F5H1V1;F5H6T5;F8WDB3;C9JAK5,P84085;C9J1Z8;P18085;F5H0C7;C9JPM4,6;5;3;3;3;1;1;1;1,2;1;0;0;0;0;0;0;0,2;1;0;0;0;0;0;0;0,ADP-ribosylation factor 5;ADP-ribosylation factor 4,ARF5;ARF4;ARF3,sp|P84085|ARF5_HUMAN ADP-ribosylation factor 5 OS=Homo sapiens OX=9606 GN=ARF5 PE=1 SV=2;tr|C9J1Z8|C9J1Z8_HUMAN ADP-ribosylation factor 5 (Fragment) OS=Homo sapiens OX=9606 GN=ARF5 PE=1 SV=1;sp|P18085|ARF4_HUMAN ADP-ribosylation factor 4 OS=Homo sapiens OX,6,2,52.8,26.6923217773872,24.881828448326,24.3250211953148,23.7264002878184
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.15692208665737,4.02835033526782,23.3003369184145,22.8855414773763
Q99856;Q8IVW6;H3BQ92;K7EJ04,Q99856;Q8IVW6;H3BQ92;K7EJ04,2;1;1;1,2;1;1;1,2;1;1;1,AT-rich interactive domain-containing protein 3A;AT-rich interactive domain-containing protein 3B,ARID3A;ARID3B,sp|Q99856|ARI3A_HUMAN AT-rich interactive domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ARID3A PE=1 SV=2;sp|Q8IVW6|ARI3B_HUMAN AT-rich interactive domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ARID3B PE=1 SV=2;tr|H3BQ92|H3BQ92_HUMAN AT-,2,2,9.8,4.15692208665737,4.02835033526782,24.2593277790738,24.0543558983202
P36404;V9GYD0,P36404;V9GYD0,2;1,2;1,2;1,ADP-ribosylation factor-like protein 2,ARL2;ARL2-SNX15,sp|P36404|ARL2_HUMAN ADP-ribosylation factor-like protein 2 OS=Homo sapiens OX=9606 GN=ARL2 PE=1 SV=4;tr|V9GYD0|V9GYD0_HUMAN ARL2-SNX15 readthrough (NMD candidate) OS=Homo sapiens OX=9606 GN=ARL2-SNX15 PE=3 SV=1,2,2,10.9,4.15692208665737,4.02835033526782,26.8708593969789,26.5916357922548
P36405,P36405,2,2,2,ADP-ribosylation factor-like protein 3,ARL3,sp|P36405|ARL3_HUMAN ADP-ribosylation factor-like protein 3 OS=Homo sapiens OX=9606 GN=ARL3 PE=1 SV=2,2,2,12.1,4.15692208665737,4.02835033526782,24.0349822801732,24.4864643447432
O75915;F8WF90;C9JQU6;F8WF33,O75915;F8WF90;C9JQU6;F8WF33,2;2;2;2,2;2;2;2,2;2;2;2,PRA1 family protein 3,ARL6IP5,sp|O75915|PRAF3_HUMAN PRA1 family protein 3 OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1;tr|F8WF90|F8WF90_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1;tr|C9JQU6|C9JQU6_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=ARL6IP5 P,2,2,12.2,4.15692208665737,4.02835033526782,23.1513256667458,23.1719592297095
P27540,P27540,2,2,2,Aryl hydrocarbon receptor nuclear translocator,ARNT,sp|P27540|ARNT_HUMAN Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1,2,2,3.7,4.15692208665737,4.02835033526782,24.5999146577554,23.8311309294789
H7C5W9;P16615,H7C5W9;P16615,2;1,2;1,2;1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,tr|H7C5W9|H7C5W9_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1;sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,2,2,3.3,4.15692208665737,4.02835033526782,24.0383356317693,21.1735307515394
P21281;H0YC04;E5RGH6,P21281;H0YC04;E5RGH6,2;2;1,2;2;1,2;2;1,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,"sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1;tr|E5RGH6|E5RGH6",2,2,6.1,4.15692208665737,4.02835033526782,24.1196529398853,25.2221772795685
Q13535;A0A590UJ01,Q13535;A0A590UJ01,2;2,2;2,2;2,Serine/threonine-protein kinase ATR,ATR,sp|Q13535|ATR_HUMAN Serine/threonine-protein kinase ATR OS=Homo sapiens OX=9606 GN=ATR PE=1 SV=3;tr|A0A590UJ01|A0A590UJ01_HUMAN Serine/threonine-protein kinase ATR (Fragment) OS=Homo sapiens OX=9606 GN=ATR PE=1 SV=1,2,2,1.4,22.0686457792853,21.4727536627034,24.6139849906921,24.4122860785656
Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,BRISC and BRCA1-A complex member 1,BABAM1,sp|Q9NWV8|BABA1_HUMAN BRISC and BRCA1-A complex member 1 OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0QYV1|M0QYV1_HUMAN BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R3F4|M0R3F4_HUMAN BRISC and BRCA1-A c,2,2,5.8,4.15692208665737,4.02835033526782,23.1558249845697,24.2188931003175
Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Bcl-2-like protein 2,BCL2L2,sp|Q92843|B2CL2_HUMAN Bcl-2-like protein 2 OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=2;tr|G3V3B7|G3V3B7_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=1;tr|G3V3G8|G3V3G8_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens,2,2,16.6,4.15692208665737,4.02835033526782,25.7820429794854,25.5113822922466
Q13867;K7ESE8;J3KSD8;K7ES02,Q13867;K7ESE8;J3KSD8;K7ES02,2;2;2;2,2;2;2;2,2;2;2;2,Bleomycin hydrolase,BLMH,sp|Q13867|BLMH_HUMAN Bleomycin hydrolase OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1;tr|K7ESE8|K7ESE8_HUMAN Bleomycin hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1;tr|J3KSD8|J3KSD8_HUMAN Bleomycin hydrolase (Fragment) OS=Homo sapiens OX=9606,2,2,5.3,25.4607335962958,25.0045592877493,4.54126939241188,4.42741644991123
Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|H3BPT9|H3BPT9_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV,2,2,29.1,4.15692208665737,4.02835033526782,24.2604050335537,23.1003870803596
Q9UPA5,Q9UPA5,2,2,2,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,2,2,0.9,4.15692208665737,4.02835033526782,23.7839669896107,24.735467191381
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,4.15692208665737,4.02835033526782,23.3280021005752,23.0454023982834
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,4.15692208665737,4.02835033526782,23.4612646017837,24.3673971534476
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ELS0|K7ELS0_HUMAN Telomerase RNA component-interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ERU7|K7ERU7_HUMAN Telomerase RNA comp,2,2,21.6,4.15692208665737,4.02835033526782,24.7162819267612,24.0197949881964
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,4.15692208665737,4.02835033526782,24.711888318405,24.3178966976681
Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,2;2;2;1,2;2;2;1,2;2;2;1,Protein C9orf72,C9orf72,sp|Q96LT7|CI072_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=2;tr|A0A5F9ZHW7|A0A5F9ZHW7_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=1;tr|A0A2R8Y5K2|A0A2R8Y5K2_HUMAN Guanine nu,2,2,5.6,4.15692208665737,4.02835033526782,22.7286853344371,22.3990828273411
Q9NY47;C9JE82;C9JVC9,Q9NY47;C9JE82;C9JVC9,2;2;2,2;2;2,2;2;2,Voltage-dependent calcium channel subunit alpha-2/delta-2;Voltage-dependent calcium channel subunit alpha-2-2;Voltage-dependent calcium channel subunit delta-2,CACNA2D2,sp|Q9NY47|CA2D2_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Homo sapiens OX=9606 GN=CACNA2D2 PE=1 SV=2;tr|C9JE82|C9JE82_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Homo sapiens OX=9606 GN=CACNA2D2 PE=1 SV=1;tr|,2,2,1.9,4.15692208665737,4.02835033526782,25.3350808648992,24.9605796559832
Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,2;1;1;1,2;1;1;1,2;1;1;1,Cactin,CACTIN,sp|Q8WUQ7|CATIN_HUMAN Cactin OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=3;tr|K7EIU6|K7EIU6_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7EMQ0|K7EMQ0_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7ENY9|K7E,2,2,4.1,4.15692208665737,4.02835033526782,25.0388840999876,24.0666929644928
P27482,P27482,2,2,2,Calmodulin-like protein 3,CALML3,sp|P27482|CALL3_HUMAN Calmodulin-like protein 3 OS=Homo sapiens OX=9606 GN=CALML3 PE=1 SV=2,2,2,18.1,23.7071459302548,23.3539630788296,4.54126939241188,4.42741644991123
P04632;K7EM73;K7ELJ7;A0A0C4DGQ5;K7ES78;U3KQE2;K7EIV0;A0A075B7C0;K7EKD8,P04632;K7EM73;K7ELJ7;A0A0C4DGQ5;K7ES78;U3KQE2;K7EIV0;A0A075B7C0;K7EKD8,2;2;2;2;1;1;1;1;1,2;2;2;2;1;1;1;1;1,2;2;2;2;1;1;1;1;1,Calpain small subunit 1,CAPNS1,sp|P04632|CPNS1_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|K7EM73|K7EM73_HUMAN Calpain small subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|K7ELJ7|K7ELJ7_HUMAN Calpain small subunit 1 OS=Homo sapiens O,2,2,27.6,22.4997175721878,20.8994749396143,23.0053545339181,23.0201681457758
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.15692208665737,4.02835033526782,23.7611137310158,22.8220930856658
Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,Chromobox protein homolog 3;Chromobox protein homolog 1,CBX3;CBX1,"sp|Q13185|CBX3_HUMAN Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4;sp|P83916|CBX1_HUMAN Chromobox protein homolog 1 OS=Homo sapiens OX=9606 GN=CBX1 PE=1 SV=1;tr|B8ZZ43|B8ZZ43_HUMAN Chromobox homolog 3 (HP1 gamma homolog, Drosophila)",2,2,16.4,4.15692208665737,4.02835033526782,24.9146989939742,25.2625929734968
Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,2;2;1;1,2;2;1;1,2;2;1;1,Cell division cycle and apoptosis regulator protein 1,CCAR1,sp|Q8IX12|CCAR1_HUMAN Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2;tr|A0A0C4DGG8|A0A0C4DGG8_HUMAN Cell division cycle and apoptosis regulator protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=,2,2,2.0,4.15692208665737,4.02835033526782,24.1833633919656,24.2177843867033
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.15692208665737,4.02835033526782,25.5615662447535,24.3987828270151
Q0P6D6;E9PKB1,Q0P6D6;E9PKB1,2;2,2;2,2;2,Coiled-coil domain-containing protein 15,CCDC15,sp|Q0P6D6|CCD15_HUMAN Coiled-coil domain-containing protein 15 OS=Homo sapiens OX=9606 GN=CCDC15 PE=2 SV=2;tr|E9PKB1|E9PKB1_HUMAN Coiled-coil domain-containing protein 15 OS=Homo sapiens OX=9606 GN=CCDC15 PE=1 SV=1,2,2,0.8,4.15692208665737,4.02835033526782,4.54126939241188,4.42741644991123
Q8NDH2,Q8NDH2,2,2,2,Coiled-coil domain-containing protein 168,CCDC168,sp|Q8NDH2|CC168_HUMAN Coiled-coil domain-containing protein 168 OS=Homo sapiens OX=9606 GN=CCDC168 PE=2 SV=2,2,2,1.4,4.15692208665737,4.02835033526782,29.4706498140976,29.2378006294547
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.15692208665737,4.02835033526782,24.3118131598024,24.3126442452505
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2,2,15.0,4.15692208665737,4.02835033526782,24.5936031234191,24.6954581299705
B4DUR8,B4DUR8,3,3,2,T-complex protein 1 subunit gamma,CCT3,tr|B4DUR8|B4DUR8_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=1,3,2,6.2,22.9982088931997,22.5429815452098,23.7442721458845,23.9861566085466
P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,20.5,4.15692208665737,4.02835033526782,23.7613166702539,24.1335944139335
Q9NYV4;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;J3QSD7;A0A2R8Y4Z0,Q9NYV4;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;J3QSD7;A0A2R8Y4Z0,3;2;2;2;2;2;2;2;2;2;2,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,Cyclin-dependent kinase 12;Cyclin-dependent kinase 13,CDK12;CDK13,sp|Q9NYV4|CDK12_HUMAN Cyclin-dependent kinase 12 OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=2;sp|Q14004|CDK13_HUMAN Cyclin-dependent kinase 13 OS=Homo sapiens OX=9606 GN=CDK13 PE=1 SV=2;tr|A0A2R8YEB7|A0A2R8YEB7_HUMAN Cyclin-dependent kinase 13 (Fragment) OS=,3,2,2.7,4.15692208665737,4.02835033526782,24.8146516958088,24.3059125583627
Q9NXV6;J3KNE1;D6RGD2,Q9NXV6;J3KNE1;D6RGD2,2;1;1,2;1;1,2;1;1,CDKN2A-interacting protein,CDKN2AIP,sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3;tr|J3KNE1|J3KNE1_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=1;tr|D6RGD2|D6RGD2_HUMAN CDKN2A-interacting protein OS=Homo sapiens,2,2,5.9,4.15692208665737,4.02835033526782,24.086022162004,24.2216242897802
Q15517;Q2L6G8;G8JLG2,Q15517;Q2L6G8;G8JLG2,2;2;2,2;2;2,2;2;2,Corneodesmosin,CDSN,sp|Q15517|CDSN_HUMAN Corneodesmosin OS=Homo sapiens OX=9606 GN=CDSN PE=1 SV=3;tr|Q2L6G8|Q2L6G8_HUMAN CDSN OS=Homo sapiens OX=9606 GN=CDSN PE=1 SV=1;tr|G8JLG2|G8JLG2_HUMAN CDSN OS=Homo sapiens OX=9606 GN=CDSN PE=1 SV=1,2,2,7.9,25.3847568788724,24.9313329677079,4.54126939241188,4.42741644991123
P49454,P49454,2,2,2,Centromere protein F,CENPF,sp|P49454|CENPF_HUMAN Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3,2,2,1.0,24.0622523811757,23.6347800367153,23.5815288545154,23.9978947114699
