Gene_names,GRWD1_vs_BirA_logFC,GRWD1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_GRWD1_N1,Peptides_GRWD1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_GRWD1_N1,Razor___unique_peptides_GRWD1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_GRWD1_N1,Unique_peptides_GRWD1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_GRWD1_N1,Identification_type_GRWD1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_GRWD1_N1,Ratio_H_L_GRWD1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_GRWD1_N1,Ratio_H_L_normalized_GRWD1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____GRWD1_N1,Ratio_H_L_variability_____GRWD1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_GRWD1_N1,Ratio_H_L_count_GRWD1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_GRWD1_N1,Ratio_H_L_iso_count_GRWD1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_GRWD1_N1,Ratio_H_L_type_GRWD1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_GRWD1_N1____,Sequence_coverage_GRWD1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_GRWD1_N1,Intensity_L_GRWD1_N1,Intensity_H_GRWD1_N1,Intensity_GRWD1_N2,Intensity_L_GRWD1_N2,Intensity_H_GRWD1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_GRWD1_N1,metacell_Intensity_L_GRWD1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
LDHA,-1.04390023495278,0.00931511730991133,P00338;F5GXY2;F5GYU2;F5GXH2;F5H5J4;F5H6W8;F5GWW2;F5GXU1;F5GZQ4;F5GXC7;F5H8H6;Q6ZMR3;A0A087WUM2;P07864;F5H5G7;F5H155;G3XAP5;F5H245,P00338;F5GXY2,35;18;17;14;7;7;4;4;4;4;4;3;3;2;2;2;2;2,35;18;17;14;7;7;4;4;4;4;4;3;3;2;2;2;2;2,32;17;16;13;7;7;4;4;4;4;4;1;1;0;0;0;0;0,L-lactate dehydrogenase A chain,sp|P00338|LDHA_HUMAN L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2;tr|F5GXY2|F5GXY2_HUMAN L-lactate dehydrogenase A chain (Fragment) OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=8,18,35,35,32,23,23,26,23,23,23,26,23,20,20,24,21,82.8,82.8,82.8,36.688,332,332;156;144;114;89;94;45;46;72;45;42;332;233;332;183;225;241;318,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36352,0.86697,15.331,156,24,Leave out requantified,0.25122,0.3286,0.41725,0.4125,0.81585,0.87912,0.91751,0.89251,37.921,20.408,16.573,12.212,32,31,46,47,6,2,8,8,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,53.6,62.0,73.5,65.7,58460000000,42850000000,15609000000,14824000000,11656000000,3168300000,18709000000,14010000000,4698500000,15873000000,10899000000,4974100000,9053400000,6284900000,2768500000,,,,1224,1902;1903;2590;2744;2745;3493;3865;3866;4179;4584;7405;7406;8009;8010;8865;9107;9115;9344;10289;10290;10291;11824;11957;12355;12463;12807;12863;12864;14810;15008;15944;15996;15997;16793;16794,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2211;2212;2213;3045;3221;3222;4075;4497;4498;4499;4500;4871;5352;8804;8805;8806;8807;8808;9565;9566;10584;10585;10891;10901;11170;12238;12239;12240;12241;14013;14161;14162;14634;14763;14764;15151;15152;15221;15222;15223;15224;17448;17449;17679;18776;18777;18835;18836;18837;19811;19812,6045;6046;6047;6048;6049;6050;6051;8265;8748;8749;10774;10775;11868;11869;11870;11871;11872;11873;11874;11875;11876;12799;12800;12801;12802;14058;14059;23350;23351;23352;23353;23354;23355;23356;23357;23358;23359;23360;23361;23362;23363;23364;23365;23366;23367;25357;25358;25359;25360;25361;25362;28214;28215;28216;28217;28218;28219;28220;28221;28222;28223;28224;29083;29084;29085;29117;29828;29829;29830;29831;29832;29833;29834;29835;32568;32569;32570;32571;32572;32573;32574;32575;32576;32577;32578;32579;37166;37167;37168;37169;37551;37552;37553;37554;37555;37556;37557;38687;38688;38689;38690;38691;38692;38993;38994;38995;38996;38997;40014;40015;40016;40017;40018;40019;40020;40223;40224;40225;40226;40227;40228;40229;40230;40231;40232;40233;40234;40235;40236;40237;40238;46190;46191;46192;46193;46194;46195;46196;46197;46742;46743;49760;49761;49762;49763;49764;49913;49914;49915;49916;49917;49918;49919;49920;49921;49922;52568;52569;52570;52571,12471;12472;12473;12474;12475;12476;12477;12478;17066;18049;18050;21962;21963;21964;21965;21966;21967;24160;24161;24162;24163;24164;24165;24166;24167;24168;24169;24170;24171;24172;24173;24174;24175;24176;24177;24178;24179;24180;24181;24182;24183;24184;25957;25958;25959;25960;25961;25962;28617;28618;28619;28620;28621;28622;47832;47833;47834;47835;47836;47837;47838;47839;47840;47841;47842;47843;47844;47845;47846;47847;47848;47849;47850;47851;47852;47853;47854;47855;47856;47857;47858;47859;47860;47861;47862;47863;47864;47865;47866;47867;47868;47869;47870;47871;47872;51808;51809;51810;51811;51812;57619;57620;57621;57622;57623;57624;57625;57626;57627;57628;57629;57630;57631;57632;57633;57634;57635;57636;57637;57638;57639;57640;57641;57642;57643;57644;57645;57646;57647;57648;57649;57650;59488;59489;59490;59491;59492;59493;59541;60840;60841;60842;60843;60844;60845;60846;60847;60848;60849;60850;60851;60852;60853;60854;60855;60856;60857;60858;60859;60860;60861;60862;60863;60864;60865;60866;60867;60868;60869;60870;60871;60872;60873;60874;60875;60876;60877;60878;60879;60880;60881;66099;66100;66101;66102;66103;66104;66105;66106;66107;66108;66109;66110;66111;66112;66113;66114;66115;66116;66117;66118;66119;66120;66121;66122;66123;66124;66125;66126;66127;66128;66129;66130;66131;66132;66133;66134;66135;66136;66137;66138;66139;66140;66141;66142;66143;75531;75532;75533;75534;75535;76306;76307;76308;76309;76310;76311;76312;76313;76314;76315;76316;76317;76318;76319;76320;76321;76322;76323;76324;78488;78489;78490;78491;78492;78493;78494;78495;78496;78497;78498;78499;78500;78501;79027;79028;79029;79030;79031;79032;79033;79034;79035;79036;79037;79038;81091;81092;81093;81094;81095;81096;81097;81098;81099;81100;81101;81102;81103;81104;81105;81106;81107;81108;81109;81509;81510;81511;81512;81513;81514;81515;81516;81517;81518;81519;81520;81521;81522;81523;81524;81525;81526;81527;81528;81529;81530;81531;81532;81533;81534;81535;81536;81537;81538;81539;81540;81541;81542;81543;81544;81545;81546;81547;81548;81549;81550;81551;81552;81553;81554;81555;81556;81557;81558;81559;81560;81561;81562;81563;93919;93920;93921;93922;93923;93924;93925;93926;93927;93928;93929;93930;93931;95088;95089;95090;101515;101516;101517;101518;101519;101520;101521;101522;101523;101524;101525;101526;101816;101817;101818;101819;101820;101821;101822;101823;101824;101825;101826;101827;101828;101829;101830;101831;101832;101833;101834;101835;101836;101837;101838;101839;101840;101841;101842;101843;101844;101845;101846;101847;101848;107489;107490;107491;107492;107493;107494;107495;107496,12472;12477;17066;18049;18050;21964;24162;24182;25957;28619;47837;47865;51809;51812;57638;59488;59541;60878;66116;66139;66142;75535;76309;78496;79035;81103;81524;81546;93921;95090;101526;101817;101848;107494;107495,458;459;460;461;462;463,,5;14;76;81;90;118,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1225,quanti,quanti,quanti,quanti
GLUD1,0.29148488786679,0.243317627196322,P00367;P49448,P00367,17;8,17;8,17;8,"Glutamate dehydrogenase 1, mitochondrial","sp|P00367|DHE3_HUMAN Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1 PE=1 SV=2",2,17,17,17,12,12,10,10,12,12,10,10,12,12,10,10,41.4,41.4,41.4,61.397,558,558;558,0.0,111.94,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36613,0.82377,17.278,51,16,Leave out requantified,0.28625,0.37193,0.3332,0.35941,0.9985,0.89098,0.72876,0.78652,26.02,19.939,12.491,17.037,12,13,14,12,4,4,5,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,27.4,25.6,24.2,24.2,3104400000,2263300000,841100000,494320000,365640000,128680000,663970000,470160000,193810000,1281900000,938050000,343880000,664230000,489500000,174730000,,,,1225,1003;1053;2433;2778;4480;5762;6499;6553;7119;11215;11525;12030;12031;12532;14319;14352;17742,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1152;1220;1221;2857;3258;5226;5227;6823;6824;7734;7792;7793;8478;13305;13664;14240;14241;14848;16857;16897;20923,3106;3291;3292;3293;3294;3295;3296;7777;7778;7779;7780;8840;8841;8842;13729;13730;13731;18044;18045;18046;20426;20427;20428;20429;20594;20595;20596;22494;22495;22496;22497;22498;35321;35322;36228;37731;37732;37733;37734;39219;39220;44618;44619;44620;44621;44712;44713;55461;55462;55463;55464,6338;6727;6728;6729;6730;6731;6732;6733;6734;6735;16175;16176;16177;16178;16179;16180;18250;18251;18252;27946;27947;27948;27949;27950;27951;36718;36719;36720;36721;41860;41861;41862;41863;41864;41865;42187;42188;42189;42190;42191;46065;46066;46067;46068;46069;46070;46071;71604;71605;73525;73526;73527;76614;76615;76616;76617;76618;76619;76620;76621;79505;90441;90442;90443;90444;90445;90446;90447;90620;90621;90622;113449;113450;113451;113452;113453;113454;113455,6338;6730;16178;18250;27946;36718;41862;42189;46066;71604;73525;76617;76619;79505;90443;90621;113452,464,,110,,-1;-1,protein_1226,quanti,quanti,quanti,quanti
CYB5R3,0.194257877652824,0.634518415893351,P00387;B1AHF3,P00387;B1AHF3,4;3,4;3,4;3,NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form,sp|P00387|NB5R3_HUMAN NADH-cytochrome b5 reductase 3 OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=3;tr|B1AHF3|B1AHF3_HUMAN NADH-cytochrome b5 reductase 3 (Fragment) OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=1,2,4,4,4,1,2,3,3,1,2,3,3,1,2,3,3,14.3,14.3,14.3,34.234,301,301;147,0.0,34.388,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44653,1.051,13.24,11,3,Leave out requantified,0.32109,0.47691,0.45483,0.48773,0.9638,1.3073,1.0521,1.0789,8.5173,11.216,13.231,14.049,2,3,3,3,0,0,2,1,Median,Median,Median,Median,6.3,10.3,14.3,8.0,491460000,333460000,158000000,67927000,50018000,17910000,120770000,84235000,36531000,165900000,108920000,56977000,136870000,90293000,46580000,,,,1226,5285;8954;8955;14147,True;True;True;True,6234;10695;10696;16665,16516;16517;16518;28554;28555;28556;28557;44097;44098;44099;44100;44101,33791;33792;33793;58413;58414;58415;58416;58417;58418;58419;89360;89361;89362;89363;89364;89365;89366;89367;89368;89369;89370;89371;89372;89373,33792;58414;58419;89370,,,,,-1;-1,protein_1227,quanti,quanti,quanti,quanti
GSR,-0.614106751728571,0.0995717545086041,P00390;A0A2R8YF59;H0YC68,P00390,9;3;3,9;3;3,9;3;3,"Glutathione reductase, mitochondrial","sp|P00390|GSHR_HUMAN Glutathione reductase, mitochondrial OS=Homo sapiens OX=9606 GN=GSR PE=1 SV=2",3,9,9,9,5,6,5,5,5,6,5,5,5,6,5,5,22.8,22.8,22.8,56.256,522,522;123;131,0.0,31.347,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.344,0.90082,19.297,22,7,Leave out requantified,0.25199,0.28865,0.35481,0.46866,0.88083,0.78598,0.77181,1.035,27.681,17.747,7.9716,3.8062,6,6,5,5,2,1,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,10.5,10.7,15.3,14.6,1171900000,854160000,317780000,307750000,240840000,66903000,273750000,209660000,64095000,354030000,249840000,104190000,236420000,153830000,82593000,,,,1227,273;336;1238;1239;4792;4957;8757;9590;13080,True;True;True;True;True;True;True;True;True,309;383;1436;1437;5610;5826;10470;11449;15468,770;771;772;773;975;976;3881;3882;3883;3884;3885;3886;14746;15409;15410;27922;27923;27924;27925;30538;30539;30540;30541;40861,1526;1527;1528;1529;2000;2001;2002;2003;2004;7843;7844;7845;7846;7847;7848;7849;7850;7851;7852;7853;7854;30150;31609;31610;31611;57136;57137;57138;57139;57140;62245;62246;62247;62248;62249;62250;82793,1529;2004;7851;7854;30150;31611;57136;62250;82793,,,,,-1;-1;-1,protein_1228,quanti,quanti,quanti,quanti
MT-CO2,-0.282844490631941,0.729855856469855,P00403,P00403,3,3,3,Cytochrome c oxidase subunit 2,sp|P00403|COX2_HUMAN Cytochrome c oxidase subunit 2 OS=Homo sapiens OX=9606 GN=MT-CO2 PE=1 SV=1,1,3,3,3,1,2,1,3,1,2,1,3,1,2,1,3,16.3,16.3,16.3,25.565,227,227,0.0,6.2529,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2139,0.40042,32.253,7,4,Median,0.070489,0.14993,0.19761,0.24235,0.22687,0.31393,0.38429,0.50805,,34.87,,14.832,1,2,1,3,1,1,1,1,Median,Median,Median,Plateau,7.5,7.5,4.4,16.3,192170000,162440000,29734000,34351000,31906000,2445600,50110000,43346000,6764300,34172000,28292000,5879600,73536000,58892000,14645000,,,,1228,9237;11010;16927,True;True;True,11048;13074;19983,29509;29510;29511;34686;53087;53088;53089,60200;60201;60202;60203;70369;70370;108670;108671;108672;108673,60203;70370;108670,,,,,-1,protein_1229,quanti,quanti,quanti,quanti
SOD1,2.6610398640601,0.00141112508867634,P00441;H7BYH4,P00441,9;4,9;4,9;4,Superoxide dismutase [Cu-Zn],sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2,2,9,9,9,2,3,9,8,2,3,9,8,2,3,9,8,88.3,88.3,88.3,15.936,154,154;135,0.0,281.54,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3712,0.80252,15.396,44,4,Leave out requantified,0.26336,0.39804,0.37682,0.39215,0.9279,1.053,0.79035,0.87683,10.661,3.0668,18.736,14.353,3,5,21,15,0,0,3,1,Median,Leave out requantified,Leave out requantified,Leave out requantified,27.9,40.9,88.3,88.3,8110100000,5664000000,2446100000,353070000,270120000,82945000,368780000,248270000,120510000,5682400000,3927600000,1754700000,1705900000,1218000000,487920000,,,,1229,1897;1984;1985;3420;4552;5155;5995;8181;14897,True;True;True;True;True;True;True;True;True,2206;2308;2309;2310;2311;3987;3988;3989;5315;6073;6074;7161;9798;9799;17553;17554;17555,6037;6038;6321;6322;6323;6324;6325;6326;6327;10556;10557;10558;10559;10560;10561;10562;13969;13970;16065;16066;16067;16068;16069;16070;16071;16072;16073;16074;16075;16076;16077;16078;16079;16080;16081;18981;18982;18983;18984;25981;25982;25983;25984;25985;25986;25987;25988;25989;25990;46462;46463;46464;46465;46466,12463;12464;13066;13067;13068;13069;13070;13071;13072;13073;13074;13075;13076;13077;13078;13079;13080;13081;21496;21497;21498;21499;21500;21501;21502;21503;21504;21505;21506;21507;28451;28452;28453;28454;28455;28456;32794;32795;32796;32797;32798;32799;32800;32801;32802;32803;32804;32805;32806;32807;32808;32809;32810;32811;32812;32813;32814;32815;32816;32817;32818;32819;32820;32821;32822;32823;32824;32825;32826;32827;32828;32829;32830;32831;32832;32833;32834;32835;32836;32837;32838;32839;32840;32841;32842;32843;32844;32845;32846;32847;32848;32849;32850;32851;32852;32853;32854;32855;32856;32857;32858;32859;32860;32861;32862;32863;32864;32865;32866;32867;32868;32869;32870;32871;32872;32873;32874;32875;32876;32877;32878;32879;32880;32881;32882;32883;32884;32885;32886;32887;32888;32889;32890;32891;38893;38894;38895;38896;38897;38898;38899;38900;38901;38902;53053;53054;53055;53056;53057;53058;53059;53060;53061;53062;53063;53064;53065;53066;53067;94557;94558;94559;94560;94561;94562;94563;94564;94565,12464;13071;13080;21497;28454;32796;38899;53060;94559,465;466;467;468,,4;10;31;123,,-1;-1,protein_1230,quanti,quanti,quanti,quanti
F8,21.588454063113,1.34048536576452e-06,P00451;B1B0G8,P00451;B1B0G8,2;1,2;1,2;1,"Coagulation factor VIII;Factor VIIIa heavy chain, 200 kDa isoform;Factor VIIIa heavy chain, 92 kDa isoform;Factor VIII B chain;Factor VIIIa light chain",sp|P00451|FA8_HUMAN Coagulation factor VIII OS=Homo sapiens OX=9606 GN=F8 PE=1 SV=1;tr|B1B0G8|B1B0G8_HUMAN Coagulation factor VIII (Fragment) OS=Homo sapiens OX=9606 GN=F8 PE=1 SV=1,2,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,1.5,1.5,1.5,267.01,2351,2351;222,0.048991,0.52552,,,By MS/MS,By MS/MS,0.27265,0.62498,9.1307,3,0,Median,,,0.24146,0.27265,,,0.53356,0.62498,,,,0.0,0,0,1,2,0,0,0,0,Median,Median,Median,Median,0.0,0.0,1.1,1.5,259140000,195430000,63711000,0,0,0,0,0,0,119320000,90590000,28729000,139820000,104840000,34981000,,,,1230,10966;15068,True;True,13029;17745,34573;46885;46886;46887,70139;95338,70139;95338,,151;152,,1069;1071,-1;-1,protein_1231,quanti,quanti,imputed MEC,imputed MEC
PNP,0.176409834856383,0.518430791657012,P00491;G3V5M2;G3V393;G3V2H3,P00491;G3V5M2,11;6;3;3,11;6;3;3,11;6;3;3,Purine nucleoside phosphorylase,sp|P00491|PNPH_HUMAN Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2;tr|G3V5M2|G3V5M2_HUMAN Purine nucleoside phosphorylase (Fragment) OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=1,4,11,11,11,7,8,10,7,7,8,10,7,7,8,10,7,57.4,57.4,57.4,32.118,289,289;221;61;93,0.0,25.624,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35244,0.91815,23.14,35,4,Leave out requantified,0.25508,0.21958,0.44068,0.45792,0.84357,0.58731,0.954,1.0092,19.813,21.573,11.056,10.104,7,8,12,8,0,1,3,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,30.4,42.9,56.1,36.3,2860300000,2076800000,783540000,412570000,318820000,93751000,583400000,471930000,111470000,1302100000,909160000,392920000,562250000,376860000,185390000,,,,1231,3719;3767;3840;5940;8688;10272;10712;15745;15750;16028;16318,True;True;True;True;True;True;True;True;True;True;True,4338;4388;4468;7080;10394;12218;12738;18528;18529;18537;18888;19260,11434;11435;11586;11587;11588;11589;11805;11806;11807;18739;18740;27690;27691;27692;27693;32516;32517;32518;32519;33902;33903;33904;33905;49036;49037;49038;49039;49040;49041;49061;49062;50113;50114;51178;51179,23300;23301;23623;23624;23625;23626;23627;23628;23629;23630;23631;23632;23633;23634;23635;23636;23637;24039;24040;24041;24042;24043;38382;38383;56559;56560;56561;56562;56563;56564;56565;56566;65986;65987;65988;65989;65990;65991;65992;68842;68843;68844;68845;68846;68847;99988;99989;99990;99991;99992;99993;99994;99995;99996;99997;99998;99999;100000;100001;100039;100040;100041;100042;100043;100044;100045;100046;102347;102348;104618;104619;104620;104621;104622;104623;104624,23301;23631;24043;38383;56559;65987;68844;99990;100042;102347;104623,,,,,-1;-1;-1;-1,protein_1232,quanti,quanti,quanti,quanti
HPRT1,1.88786027424631,0.00451749167775784,P00492,P00492,3,3,3,Hypoxanthine-guanine phosphoribosyltransferase,sp|P00492|HPRT_HUMAN Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=HPRT1 PE=1 SV=2,1,3,3,3,1,1,3,3,1,1,3,3,1,1,3,3,15.6,15.6,15.6,24.579,218,218,0.0,4.0925,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40463,0.87919,9.6968,7,4,Median,0.26184,0.40204,0.44378,0.43458,0.70282,0.90366,0.90786,0.87552,,,4.5377,4.7542,1,1,2,3,0,1,1,2,Median,Median,Median,Median,4.6,4.6,15.6,15.6,238290000,160650000,77635000,19523000,13356000,6167000,21155000,13529000,7626000,109320000,74669000,34652000,88292000,59101000,29191000,,,,1232,2655;13345;15758,True;True;True,3116;15764;18550,8420;8421;41663;41664;41665;41666;49102;49103,17333;17334;84532;84533;84534;84535;84536;84537;100131;100132,17333;84535;100132,,,,,-1,protein_1233,quanti,quanti,quanti,quanti
GOT2,0.396272558646686,0.214592377229282,P00505,P00505,26,26,26,"Aspartate aminotransferase, mitochondrial","sp|P00505|AATM_HUMAN Aspartate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=GOT2 PE=1 SV=3",1,26,26,26,22,23,17,18,22,23,17,18,22,23,17,18,65.8,65.8,65.8,47.517,430,430,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31388,0.82194,22.982,103,20,Leave out requantified,0.24311,0.29948,0.36699,0.36535,0.8545,0.86965,0.82249,0.81085,28.272,24.168,13.752,14.825,23,24,27,29,6,4,4,6,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,58.6,61.4,55.3,57.2,12182000000,8855900000,3326600000,1826900000,1395400000,431510000,2450200000,1795600000,654690000,4663300000,3365300000,1298000000,3242000000,2299600000,942430000,,,,1233,1696;1697;2371;2390;2827;3078;4360;6036;6037;6038;6365;6747;7211;7997;9003;9004;11035;11589;11600;11703;12106;13220;15059;15807;15808;16408,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1977;1978;2778;2799;3317;3318;3319;3594;3595;5078;5079;7218;7219;7220;7221;7578;7579;8045;8582;8583;9551;9552;10758;10759;10760;13100;13737;13749;13874;14335;15623;17734;18612;18613;19365,5420;5421;5422;5423;5424;5425;7541;7542;7599;7600;7601;7602;8969;8970;8971;8972;8973;8974;8975;8976;8977;8978;8979;8980;9641;9642;9643;9644;9645;9646;13359;13360;13361;13362;13363;13364;13365;13366;19112;19113;19114;19115;19116;19117;19118;19119;19120;19121;19122;19123;19996;19997;19998;19999;20000;20001;21363;21364;21365;21366;22779;22780;22781;22782;22783;22784;22785;25320;25321;28698;28699;28700;28701;28702;28703;28704;28705;34737;34738;34739;36426;36427;36428;36429;36453;36454;36455;36456;36779;36780;36781;37974;37975;41284;41285;46860;46861;49261;49262;49263;49264;49265;49266;49267;49268;51461,11218;11219;11220;11221;11222;11223;11224;11225;11226;11227;11228;11229;11230;15571;15706;15707;15708;15709;15710;15711;15712;15713;15714;15715;15716;18476;18477;18478;18479;18480;18481;18482;18483;18484;18485;18486;18487;18488;18489;18490;18491;18492;18493;18494;18495;18496;18497;18498;18499;18500;18501;18502;18503;18504;18505;18506;18507;18508;18509;18510;18511;18512;18513;18514;18515;18516;18517;18518;18519;18520;19804;19805;19806;19807;19808;19809;19810;19811;19812;19813;19814;27122;27123;27124;27125;27126;27127;27128;27129;27130;27131;27132;27133;27134;27135;27136;27137;39152;39153;39154;39155;39156;39157;39158;39159;39160;39161;39162;39163;39164;39165;39166;39167;39168;39169;39170;39171;39172;39173;39174;39175;39176;39177;39178;39179;39180;39181;39182;39183;40919;40920;40921;40922;40923;40924;40925;40926;40927;40928;40929;40930;40931;43849;43850;43851;43852;43853;43854;43855;43856;46673;46674;46675;46676;46677;46678;46679;46680;46681;46682;46683;46684;46685;46686;46687;46688;46689;46690;51746;51747;58657;58658;58659;58660;58661;58662;58663;58664;58665;58666;58667;58668;58669;70448;70449;70450;70451;70452;73955;73956;73957;73958;73959;73960;73961;73962;73963;73964;73965;73966;73967;73968;73969;73970;74009;74010;74011;74012;74013;74014;74015;74016;74017;74018;74019;74020;74021;74022;74023;74024;74025;74026;74027;74028;74029;74030;74031;74032;74033;74735;74736;74737;74738;74739;74740;74741;77141;77142;83663;83664;95278;95279;95280;95281;100494;100495;100496;100497;100498;100499;100500;100501;100502;100503;100504;100505;100506;105196;105197;105198,11219;11228;15571;15716;18487;19811;27126;39153;39176;39183;40921;43850;46676;51747;58657;58667;70451;73963;74029;74736;77141;83663;95280;100498;100503;105197,469,,159,,-1,protein_1234,quanti,quanti,quanti,quanti
