Gene_names,PAFAH1B1_vs_BirA_logFC,PAFAH1B1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_PAFAH1B1_N1,Peptides_PAFAHB_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_PAFAH1B1_N1,Razor___unique_peptides_PAFAHB_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_PAFAH1B1_N1,Unique_peptides_PAFAHB_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_PAFAH1B1_N1,Identification_type_PAFAHB_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_PAFAH1B1_N1,Ratio_H_L_PAFAHB_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_PAFAH1B1_N1,Ratio_H_L_normalized_PAFAHB_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____PAFAH1B1_N1,Ratio_H_L_variability_____PAFAHB_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_PAFAH1B1_N1,Ratio_H_L_count_PAFAHB_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_PAFAH1B1_N1,Ratio_H_L_iso_count_PAFAHB_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_PAFAH1B1_N1,Ratio_H_L_type_PAFAHB_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_PAFAH1B1_N1____,Sequence_coverage_PAFAHB_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_PAFAH1B1_N1,Intensity_L_PAFAH1B1_N1,Intensity_H_PAFAH1B1_N1,Intensity_PAFAHB_N2,Intensity_L_PAFAHB_N2,Intensity_H_PAFAHB_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_PAFAH1B1_N1,metacell_Intensity_L_PAFAHB_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
BANF1,1.66765202546463,0.0012617682252244,O75531,O75531,9,9,9,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",sp|O75531|BAF_HUMAN Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1,1,9,9,9,3,2,8,8,3,2,8,8,3,2,8,8,75.3,75.3,75.3,10.058,89,89,0.0,41.63,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42527,1.1082,19.047,27,2,Leave out requantified,0.44275,0.48437,0.40632,0.42786,1.1022,1.3144,1.0225,1.081,26.957,33.978,19.174,11.797,3,2,11,11,1,0,1,0,Median,Median,Leave out requantified,Leave out requantified,33.7,33.7,75.3,75.3,6299400000,4405600000,1893700000,162760000,113240000,49512000,243860000,152620000,91238000,3205400000,2258700000,946690000,2687400000,1881100000,806280000,,,,1529,3026;3027;3286;3287;3379;5413;7148;9156;11628,True;True;True;True;True;True;True;True;True,3415;3416;3696;3697;3802;3803;6016;7955;7956;10323;13131,8867;8868;8869;8870;9539;9540;9541;9542;9543;9812;9813;9814;9815;9816;9817;14853;14854;19591;19592;19593;19594;19595;19596;19597;19598;25749;25750;32754;32755,17353;17354;17355;17356;17357;17358;17359;17360;17361;17362;17363;18513;18514;18515;18516;18517;18518;18519;18520;18521;19141;19142;19143;19144;19145;19146;19147;19148;19149;19150;19151;28309;28310;28311;37461;37462;37463;37464;37465;37466;37467;37468;37469;37470;37471;37472;37473;49472;49473;49474;49475;49476;62879;62880;62881;62882;62883;62884,17354;17361;18516;18521;19143;28309;37468;49472;62882,897;898,,18;41,,-1,protein_1530,quanti,quanti,quanti,quanti
SF3B1,2.78975265236945,0.000831174260161865,O75533;H7C341;B4DGZ4;A0A494C1M2;F8WC19,O75533,35;7;4;4;2,35;7;4;4;2,35;7;4;4;2,Splicing factor 3B subunit 1,sp|O75533|SF3B1_HUMAN Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,5,35,35,35,6,4,28,29,6,4,28,29,6,4,28,29,37.3,37.3,37.3,145.83,1304,1304;241;154;161;37,0.0,100.46,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42351,1.0236,30.267,77,14,Leave out requantified,0.38743,0.49916,0.44751,0.41049,1.1335,1.205,1.0116,0.99164,56.81,7.7878,16.742,20.176,6,4,34,33,0,1,6,7,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,7.7,4.8,32.3,33.6,9858000000,6598500000,3259500000,161950000,110500000,51454000,125650000,79658000,45996000,5018700000,3323500000,1695200000,4551600000,3084800000,1466800000,,,,1530,121;1120;1127;1245;2608;4001;9516;10516;11265;11372;11420;11421;11486;11490;12123;12127;12229;12985;15647;16415;17339;18354;19279;19669;20196;21338;22465;22663;23098;23220;24847;25134;25463;25564;26370,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,122;1242;1250;1387;2938;4487;10731;11874;12717;12836;12890;12891;12960;12964;13822;13826;13959;14892;17838;18695;19762;20874;21889;22315;22880;24162;25391;25605;26108;26242;28094;28435;28812;28916;29819,271;272;273;274;3205;3206;3207;3208;3229;3602;7595;7596;7597;11401;26753;26754;29700;29701;29702;31753;31754;31755;31756;32035;32036;32166;32167;32168;32169;32170;32340;32341;32353;32354;34419;34420;34421;34422;34430;34431;34432;34433;34707;34708;34709;34710;37125;37126;44360;46485;49085;49086;51871;54240;54241;55197;55198;56572;59848;59849;59850;59851;63007;63008;63564;64876;65212;65213;69988;69989;69990;69991;70853;70854;71804;72023;72024;72025;74248;74249,452;453;454;455;456;457;458;6234;6235;6236;6237;6238;6239;6240;6241;6242;6243;6244;6245;6246;6286;7062;14770;14771;14772;22090;22091;51365;51366;51367;51368;57145;57146;57147;57148;57149;57150;57151;60905;60906;60907;61457;61458;61459;61460;61765;61766;61767;61768;61769;61770;61771;62132;62133;62134;62135;62136;62137;62161;62162;62163;62164;62165;62166;62167;62168;62169;65857;65858;65859;65860;65861;65862;65877;65878;65879;65880;65881;65882;65883;65884;65885;66344;66345;66346;66347;66348;70839;70840;70841;84257;84258;88309;93071;93072;98445;102755;102756;104471;104472;107048;113226;113227;113228;113229;113230;113231;113232;113233;119380;119381;119382;119383;119384;120569;123460;124107;124108;124109;133659;133660;133661;133662;133663;133664;133665;135391;135392;135393;135394;135395;135396;137383;137851;137852;137853;142096;142097,455;6246;6286;7062;14770;22090;51367;57147;60906;61457;61765;61766;62137;62163;65857;65885;66347;70840;84257;88309;93072;98445;102755;104471;107048;113226;119380;120569;123460;124107;133664;135394;137383;137851;142096,899,,6,,-1;-1;-1;-1;-1,protein_1531,quanti,quanti,quanti,quanti
CSDE1,1.2449416312988,0.00471879922514917,O75534;E9PLT0;E9PLD4;E9PKN4,O75534;E9PLT0,13;11;2;1,13;11;2;1,13;11;2;1,Cold shock domain-containing protein E1,sp|O75534|CSDE1_HUMAN Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2;tr|E9PLT0|E9PLT0_HUMAN Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=1,4,13,13,13,4,4,11,10,4,4,11,10,4,4,11,10,20.1,20.1,20.1,88.884,798,798;668;94;46,0.0,29.955,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.907,2.2794,18.297,31,7,Leave out requantified,0.91592,1.0381,0.81532,0.93175,2.6098,2.8397,2.0022,2.2076,42.809,10.152,12.347,24.848,5,4,12,10,2,0,3,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,4.4,4.8,18.4,16.2,4254400000,2297500000,1956900000,180310000,95464000,84845000,178660000,84861000,93802000,2049200000,1169000000,880220000,1846200000,948190000,898050000,,,,1531,2562;4995;6403;8121;10219;13260;14112;14405;14696;15754;17875;21053;22693,True;True;True;True;True;True;True;True;True;True;True;True;True,2891;5566;7125;9110;11532;15196;16154;16491;16810;17963;20343;23851;25641,7499;7500;13881;13882;17533;17534;22640;22641;28808;28809;28810;37845;37846;40249;40250;40251;40252;41131;41132;41133;41894;41895;41896;41897;44680;44681;50507;50508;59048;59049;63681,14604;14605;14606;14607;26596;26597;26598;33430;33431;43435;43436;55424;55425;55426;55427;55428;55429;72090;72091;72092;72093;72094;72095;72096;72097;76699;76700;76701;76702;76703;76704;78367;78368;78369;78370;78371;78372;78373;79833;79834;79835;79836;84916;84917;84918;95826;95827;95828;95829;95830;111778;111779;111780;111781;111782;111783;120857,14607;26597;33431;43436;55428;72097;76699;78368;79835;84916;95827;111783;120857,,,,,-1;-1;-1;-1,protein_1532,quanti,quanti,quanti,quanti
PRKRA,0.606550056865316,0.0788410522833868,O75569;G5E9Q4;F8WEG8;C9JMM3,O75569;G5E9Q4,6;3;2;2,6;3;2;2,6;3;2;2,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,sp|O75569|PRKRA_HUMAN Interferon-inducible double-stranded RNA-dependent protein kinase activator A OS=Homo sapiens OX=9606 GN=PRKRA PE=1 SV=1;tr|G5E9Q4|G5E9Q4_HUMAN Interferon-inducible double-stranded RNA-dependent protein kinase activator A OS=Homo sapi,4,6,6,6,2,2,5,5,2,2,5,5,2,2,5,5,34.8,34.8,34.8,34.404,313,313;105;95;108,0.0,32.338,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40273,0.92941,29.645,15,1,Leave out requantified,0.43009,0.45177,0.34204,0.41751,1.1823,1.1564,0.82218,1.0232,58.156,12.669,23.843,34.369,2,3,5,5,1,0,0,0,Median,Plateau,Leave out requantified,Leave out requantified,9.6,9.6,28.4,28.4,1016200000,711940000,304230000,46625000,32822000,13803000,78214000,52769000,25445000,450560000,329650000,120910000,440770000,296690000,144080000,,,,1532,82;6541;9155;18307;20444;21225,True;True;True;True;True;True,82;7274;10322;20818;23160;24037,181;182;183;184;185;17884;17885;25747;25748;51719;51720;57256;57257;59537;59538,299;300;301;302;34076;34077;49470;49471;98141;98142;108359;108360;108361;112670;112671;112672;112673,301;34076;49470;98141;108361;112672,,,,,-1;-1;-1;-1,protein_1533,quanti,quanti,quanti,quanti
NPM3,-0.0767266238442303,0.758419340848814,O75607,O75607,5,5,5,Nucleoplasmin-3,sp|O75607|NPM3_HUMAN Nucleoplasmin-3 OS=Homo sapiens OX=9606 GN=NPM3 PE=1 SV=3,1,5,5,5,3,4,5,4,3,4,5,4,3,4,5,4,45.5,45.5,45.5,19.343,178,178,0.0,125.47,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3679,0.98332,9.8932,19,2,Leave out requantified,0.30348,0.27548,0.49643,0.39691,0.96764,0.75671,1.2893,1.0457,13.778,11.851,20.638,8.3702,4,4,6,5,0,0,0,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,33.7,45.5,45.5,33.7,4772800000,3335300000,1437500000,329180000,258850000,70325000,437030000,331270000,105760000,1983100000,1294200000,688910000,2023500000,1451000000,572510000,,,,1534,123;848;15444;17761;25458,True;True;True;True;True,124;928;17619;20221;28807,276;277;278;279;2315;2316;2317;2318;43825;43826;50207;50208;50209;50210;50211;50212;50213;71794;71795,460;461;462;463;464;465;466;467;468;469;470;471;472;473;474;475;476;477;478;479;480;481;482;4402;4403;4404;4405;4406;83266;83267;83268;83269;83270;83271;83272;83273;83274;95236;95237;95238;95239;95240;95241;95242;95243;95244;95245;95246;95247;95248;95249;95250;137367;137368;137369;137370;137371;137372,476;4405;83269;95244;137371,,,,,-1,protein_1535,quanti,quanti,quanti,quanti
ERAL1,-1.51540364064015,0.140750692588766,O75616;J3QT61;J3QSB2;J3QRV9,O75616,4;1;1;1,4;1;1;1,4;1;1;1,"GTPase Era, mitochondrial","sp|O75616|ERAL1_HUMAN GTPase Era, mitochondrial OS=Homo sapiens OX=9606 GN=ERAL1 PE=1 SV=2",4,4,4,4,2,1,2,1,2,1,2,1,2,1,2,1,17.6,17.6,17.6,48.349,437,437;171;276;284,0.00045065,3.7487,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.79873,1.8444,28.494,6,1,Leave out requantified,0.19539,0.37182,0.83896,0.78128,0.62334,0.94587,1.9094,1.9219,116.73,,4.8963,,2,1,2,1,1,0,0,0,Median,Median,Median,Median,8.5,5.9,9.2,2.5,459760000,290790000,168960000,110430000,95202000,15224000,33107000,24207000,8899700,202810000,107480000,95330000,113410000,63904000,49507000,,,,1535,5242;7457;18826;26101,True;True;True;True,5830;8325;21401;29532,14441;20573;20574;53090;73533;73534,27566;39466;100677;140772;140773;140774;140775;140776;140777,27566;39466;100677;140775,,,,,-1;-1;-1;-1,protein_1536,quanti,quanti,quanti,quanti
SNRNP200,2.55784661752126,0.00437859528332505,O75643;A0A494C1A5,O75643;A0A494C1A5,53;35,53;35,53;35,U5 small nuclear ribonucleoprotein 200 kDa helicase,sp|O75643|U520_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2;tr|A0A494C1A5|A0A494C1A5_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase (Fragment) OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV,2,53,53,53,4,10,44,48,4,10,44,48,4,10,44,48,35.4,35.4,35.4,244.5,2136,2136;1375,0.0,205.12,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54917,1.3281,20.134,119,22,Leave out requantified,0.52939,0.60587,0.58095,0.52762,1.4259,1.5518,1.3333,1.2663,16.065,7.4309,23.604,20.696,5,9,49,56,1,2,8,11,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,2.7,6.5,30.6,33.3,15119000000,9453600000,5665100000,157590000,105620000,51967000,356790000,231620000,125170000,6834600000,4216600000,2618000000,7769700000,4899700000,2870000000,,,,1536,170;1961;3477;3516;3790;4022;4392;5598;6396;7800;7837;7838;8077;8294;8769;9055;9454;10158;11254;13154;13871;13888;14649;15009;15686;16256;16551;16898;16993;17343;17440;17523;17989;18330;18716;19241;19554;19874;19875;20685;21355;21356;21598;22619;22723;23140;23155;26105;26167;26484;26585;26691;27066,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,185;2217;3908;3950;4256;4508;4911;6230;7118;8744;8785;8786;9062;9305;9857;10193;10664;11440;12702;15083;15859;15877;16762;17152;17881;18530;18853;19252;19364;19766;19878;19965;20477;20849;21275;21848;22189;22543;22544;23424;24183;24184;24443;25558;25675;26154;26171;29536;29603;29950;30056;30171;30580,423;5812;5813;5814;10082;10083;10174;10175;10176;10874;10875;11448;12392;12393;15390;15391;17518;17519;21695;21696;21818;21819;21820;21821;21822;22520;22521;23123;23124;23125;24520;24521;25417;25418;26597;26598;28550;28551;31709;31710;37600;37601;39515;39516;39517;39559;39560;39561;41797;41798;42736;42737;44471;44472;44473;44474;44475;44476;44477;44478;46099;46100;46101;46892;46893;46894;47838;48094;49095;49096;49097;49366;49547;49548;50842;50843;51805;51806;51807;51808;52817;52818;52819;52820;54146;54147;54921;54922;55772;55773;55774;55775;55776;55777;57916;57917;59903;59904;59905;59906;59907;60543;60544;63423;63424;63780;64998;64999;65000;65001;65002;65042;65043;73542;73543;73706;73707;74580;74581;74814;74815;75101;75102;75103;76098,781;11451;11452;11453;11454;19652;19653;19654;19655;19813;19814;19815;19816;19817;21099;21100;22168;23923;23924;23925;23926;23927;29375;29376;33398;33399;33400;33401;33402;33403;41603;41604;41605;41606;41853;41854;41855;41856;41857;41858;41859;43204;43205;43206;44297;44298;44299;44300;44301;44302;44303;46983;46984;46985;48844;48845;51103;51104;54982;54983;54984;54985;54986;54987;54988;54989;60813;60814;60815;60816;60817;60818;71668;71669;75321;75322;75323;75324;75325;75326;75327;75328;75329;75418;75419;75420;75421;75422;79649;79650;79651;79652;79653;79654;79655;79656;81347;81348;81349;81350;81351;84481;84482;84483;84484;84485;84486;84487;84488;84489;84490;84491;84492;84493;84494;84495;84496;84497;84498;84499;84500;84501;84502;84503;84504;84505;84506;87584;87585;87586;87587;87588;87589;89084;89085;89086;89087;90853;91305;93085;93086;93087;93088;93089;93090;93091;93092;93652;94003;96452;96453;96454;96455;96456;98329;98330;98331;98332;98333;98334;98335;98336;98337;98338;98339;100129;100130;100131;102599;102600;102601;103917;103918;103919;103920;103921;103922;103923;105600;105601;105602;105603;105604;105605;105606;109560;109561;109562;113381;113382;113383;113384;113385;113386;113387;113388;113389;113390;113391;114631;114632;120260;120261;120262;121103;123672;123673;123674;123675;123676;123677;123753;123754;123755;123756;140790;140791;140792;140793;141104;141105;141106;141107;142764;142765;142766;143153;143154;143155;143156;143157;143158;143728;143729;143730;145575;145576,781;11453;19654;19815;21099;22168;23925;29376;33399;41604;41854;41859;43206;44301;46983;48844;51104;54982;60814;71669;75322;75422;79650;81349;84501;87586;89085;90853;91305;93092;93652;94003;96454;98333;100129;102600;103919;105600;105606;109560;113381;113390;114631;120261;121103;123676;123755;140790;141105;142765;143156;143730;145576,,,,,-1;-1,protein_1537,quanti,quanti,quanti,quanti
UTP20,21.0138818533943,6.72435709919313e-08,O75691,O75691,3,3,3,Small subunit processome component 20 homolog,sp|O75691|UTP20_HUMAN Small subunit processome component 20 homolog OS=Homo sapiens OX=9606 GN=UTP20 PE=1 SV=3,1,3,3,3,0,0,3,3,0,0,3,3,0,0,3,3,1.3,1.3,1.3,318.38,2785,2785,0.0,5.6682,,,By MS/MS,By MS/MS,0.52302,1.0575,13.101,6,2,Leave out requantified,,,0.58893,0.46152,,,1.1991,0.9845,,,11.96,10.655,0,0,3,3,0,0,1,1,Median,Median,Plateau,Median,0.0,0.0,1.3,1.3,346240000,245730000,100500000,0,0,0,0,0,0,182990000,125280000,57713000,163240000,120450000,42791000,,,,1538,454;13919;15119,True;True;True,498;15914;17266,1274;1275;39651;39652;42969;42970,2422;2423;75606;75607;81810;81811,2422;75606;81810,,,,,-1,protein_1539,quanti,quanti,imputed MEC,imputed MEC
EIF3G,23.5733480122175,1.02702228688877e-07,O75821;K7ENA8;K7EP16;K7ER90;K7EL20,O75821;K7ENA8;K7EP16,5;4;3;2;2,5;4;3;2;2,5;4;3;2;2,Eukaryotic translation initiation factor 3 subunit G,sp|O75821|EIF3G_HUMAN Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2;tr|K7ENA8|K7ENA8_HUMAN Eukaryotic translation initiation factor 3 subunit G (Fragment) OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=1;tr|K7EP1,5,5,5,5,0,0,3,5,0,0,3,5,0,0,3,5,21.9,21.9,21.9,35.611,320,320;289;118;227;262,0.0,38.576,,,By MS/MS,By MS/MS,0.35963,0.95716,7.8822,12,4,Leave out requantified,,,0.37154,0.34811,,,0.97256,0.94136,,,1.4386,14.402,0,0,5,7,0,0,1,3,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,10.6,21.9,2092200000,1451200000,641040000,0,0,0,0,0,0,998170000,679610000,318570000,1094100000,771580000,322470000,,,,1542,4730;5253;7117;25925;27617,True;True;True;True;True,5287;5842;7913;7914;29320;31197,13241;14467;14468;19446;19447;19448;19449;19450;19451;19452;19453;72946;72947;77636,25471;27612;27613;27614;27615;27616;27617;37193;37194;37195;37196;37197;37198;37199;37200;37201;37202;139558;139559;139560;139561;139562;139563;139564;148476,25471;27613;37193;139562;148476,,,,,-1;-1;-1;-1;-1,protein_1543,quanti,quanti,imputed MEC,imputed MEC
EIF3J,0.983551516376622,0.190814634392139,O75822;H0YGJ7;H0YLP3,O75822,5;2;2,5;2;2,5;2;2,Eukaryotic translation initiation factor 3 subunit J,sp|O75822|EIF3J_HUMAN Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens OX=9606 GN=EIF3J PE=1 SV=2,3,5,5,5,1,3,4,4,1,3,4,4,1,3,4,4,24.8,24.8,24.8,29.062,258,258;106;117,0.0,25.592,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38974,0.99207,26.64,12,4,Leave out requantified,0.36956,0.64806,0.38097,0.40114,1.2454,1.7278,0.96457,1.0203,,62.349,27.231,36.275,1,2,5,4,0,1,2,1,Median,Median,Leave out requantified,Leave out requantified,10.1,14.7,24.8,24.8,1506200000,1060900000,445290000,38275000,25862000,12413000,124590000,85773000,38817000,828410000,593040000,235370000,514910000,356220000,158690000,,,,1543,2;3;11204;21381;25236,True;True;True;True;True,2;3;12645;24212;28553,6;7;8;9;10;31559;31560;31561;31562;59983;59984;71151;71152,11;12;13;14;15;16;17;18;19;60534;60535;60536;60537;60538;60539;113527;113528;113529;113530;113531;113532;136013,11;12;60536;113530;136013,,,,,-1;-1;-1,protein_1544,quanti,quanti,quanti,quanti
CBR3,-0.950270745015928,0.0121282478658731,O75828,O75828,4,2,2,Carbonyl reductase [NADPH] 3,sp|O75828|CBR3_HUMAN Carbonyl reductase [NADPH] 3 OS=Homo sapiens OX=9606 GN=CBR3 PE=1 SV=3,1,4,2,2,3,3,4,3,1,1,2,2,1,1,2,2,17.7,7.2,7.2,30.85,277,277,0.0015238,2.1592,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.0887,1.4385,57.396,6,0,Linear,0.37005,0.55486,0.625,0.61363,1.333,1.5524,1.4758,1.448,,,75.859,102.93,1,1,2,2,0,0,0,0,Median,Median,Median,Median,13.4,13.4,17.7,11.9,542400000,302810000,239580000,63098000,44686000,18412000,65203000,40104000,25099000,224770000,122880000,101890000,189330000,95146000,94179000,,,,1544,5893;6668;8199;13705,False;True;False;True,6544;7410;9197;15672,16181;16182;16183;16184;18238;18239;22834;22835;22836;39017;39018;39019;39020,30897;30898;30899;30900;30901;30902;30903;30904;30905;30906;34810;34811;43774;43775;43776;43777;74351;74352;74353;74354;74355;74356,30902;34810;43777;74356,,,,,-1,protein_1545,quanti,quanti,quanti,quanti
ZMPSTE24,2.34039026024509,0.00276064809223501,O75844,O75844,7,7,7,CAAX prenyl protease 1 homolog,sp|O75844|FACE1_HUMAN CAAX prenyl protease 1 homolog OS=Homo sapiens OX=9606 GN=ZMPSTE24 PE=1 SV=2,1,7,7,7,1,1,4,7,1,1,4,7,1,1,4,7,21.3,21.3,21.3,54.812,475,475,0.0,5.7554,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37957,0.70052,24.2,13,6,Leave out requantified,0.33633,0.31823,0.37957,0.36438,0.90868,0.66403,0.78322,0.67403,,,32.411,24.411,1,1,4,7,1,1,1,3,Median,Median,Leave out requantified,Leave out requantified,2.7,1.7,9.5,21.3,1092200000,684950000,407220000,19782000,13851000,5930900,17115000,12179000,4935700,427360000,273260000,154100000,627910000,385660000,242250000,,,,1545,3788;3834;11335;11336;20835;21794;23526,True;True;True;True;True;True;True,4254;4307;12795;12796;23589;24659;26565,10870;10871;11000;31943;31944;31945;58363;58364;58365;61107;61108;61109;66041,21093;21094;21376;21377;61261;61262;61263;61264;61265;61266;61267;110475;110476;110477;115702;115703;115704;115705;115706;115707;125729,21093;21376;61263;61267;110476;115702;125729,,254,,454,-1,protein_1546,quanti,quanti,quanti,quanti
IDH1,-2.22314253523019,0.00315227317784512,O75874;C9J4N6;C9JJE5;C9JLU6,O75874,14;6;3;3,14;6;3;3,13;5;3;3,Isocitrate dehydrogenase [NADP] cytoplasmic,sp|O75874|IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2,4,14,14,13,11,10,4,3,11,10,4,3,10,9,3,3,38.9,38.9,38.9,46.659,414,414;157;62;73,0.0,25.129,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38547,0.95503,23.752,28,7,Leave out requantified,0.28481,0.50779,0.32474,0.37726,0.84484,1.2526,0.72936,0.96438,28.191,7.7368,13.243,8.9599,11,10,4,3,2,2,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Median,28.3,28.5,13.3,10.6,1591400000,1113100000,478330000,376090000,275620000,100470000,396790000,250520000,146270000,534810000,388260000,146550000,283740000,198700000,85046000,,,,1546,3608;5991;8212;10155;10156;10969;13814;16132;17840;17841;20446;20474;20843;21632,True;True;True;True;True;True;True;True;True;True;True;True;True;True,4050;6652;9212;11437;11438;12385;15795;18394;20307;20308;23162;23191;23597;24478,10374;10375;16423;16424;16425;22876;22877;28543;28544;28545;30927;30928;39368;45747;45748;45749;45750;50420;50421;50422;50423;50424;57262;57263;57326;58380;60638;60639,20147;20148;31362;31363;31364;31365;31366;43853;43854;43855;43856;43857;54950;54951;54952;54953;59366;59367;75047;75048;86922;86923;86924;86925;86926;86927;86928;86929;86930;86931;95670;95671;95672;95673;95674;95675;95676;95677;95678;95679;95680;95681;108367;108478;110502;114823;114824;114825;114826,20148;31362;43854;54950;54952;59367;75048;86929;95671;95680;108367;108478;110502;114823,,,,,-1;-1;-1;-1,protein_1547,quanti,quanti,quanti,quanti
BCAS2,1.09030409855264,0.0271949560658665,O75934,O75934,9,9,9,Pre-mRNA-splicing factor SPF27,sp|O75934|SPF27_HUMAN Pre-mRNA-splicing factor SPF27 OS=Homo sapiens OX=9606 GN=BCAS2 PE=1 SV=1,1,9,9,9,2,2,5,6,2,2,5,6,2,2,5,6,68.0,68.0,68.0,26.131,225,225,0.0,17.516,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.49358,1.1447,9.631,15,5,Leave out requantified,0.39808,0.45362,0.54459,0.42412,1.0153,1.1107,1.2496,1.0731,14.913,0.32374,10.241,4.1729,2,2,5,6,1,0,1,3,Median,Median,Leave out requantified,Leave out requantified,11.6,18.2,35.1,43.1,1081400000,728140000,353250000,35599000,24070000,11529000,59167000,41202000,17965000,469470000,313030000,156440000,517150000,349840000,167320000,,,,1550,952;4169;4988;9661;12572;17597;18644;22824;26296,True;True;True;True;True;True;True;True;True,1045;4666;5559;10883;14430;20047;21189;25790;29739,2647;11802;11803;11804;11805;13863;13864;27084;27085;35906;49786;49787;52647;64082;64083;74044,5057;5058;5059;5060;5061;5062;5063;5064;5065;22865;22866;22867;22868;22869;22870;22871;26566;26567;26568;51989;51990;51991;51992;68501;94474;94475;94476;94477;99857;121779;121780;121781;121782;141718,5062;22867;26566;51992;68501;94475;99857;121782;141718,,,,,-1,protein_1551,quanti,quanti,quanti,quanti
