Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WDR53-N1,Intensity WDR53-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q8IZP0;B6VEX4;A0A0A0MRT6;H0Y6B5,Q8IZP0;B6VEX4;A0A0A0MRT6,6;6;6;1,6;6;6;1,4;4;4;0,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,6,4,14.4,4.09271599355779,3.98362812786341,26.247750523388,26.039005367772
P42684;P00519,P42684;P00519,3;2,3;2,3;2,Abelson tyrosine-protein kinase 2;Tyrosine-protein kinase ABL1,ABL2;ABL1,sp|P42684|ABL2_HUMAN Tyrosine-protein kinase ABL2 OS=Homo sapiens OX=9606 GN=ABL2 PE=1 SV=1;sp|P00519|ABL1_HUMAN Tyrosine-protein kinase ABL1 OS=Homo sapiens OX=9606 GN=ABL1 PE=1 SV=4,3,3,3.6,4.09271599355779,3.98362812786341,22.469137989422,23.5702216857903
O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,19;19;18;18;10;10,19;19;18;18;10;10,3;3;2;2;2;2,Actin-binding LIM protein 1,ABLIM1,sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;tr|A0A3B3IS55|A0A3B3IS55_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;tr|F8W8M4|F8W8M4_HUMAN Actin-binding LIM protein 1 OS=Homo,19,3,27.5,22.9788801014095,21.4327531710264,28.1805397607883,27.9545466242509
I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,2;1;1;1,2;1;1;1,2;1;1;1,,ABR,tr|I3L3W0|I3L3W0_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L259|I3L259_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L2L,2,2,29.3,4.09271599355779,3.98362812786341,23.1248829926369,26.0421406174902
Q13085;Q59FY4;A0A087WWN5;A0A0C4DGT1;A0A087X2F8;A0A087X126;A0A087WYS8,Q13085;Q59FY4,191;104;6;6;3;3;2,191;104;6;6;3;3;2,169;96;6;2;1;1;2,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2;tr|Q59FY4|Q59FY4_HUMAN Acetyl-CoA carboxylase 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,191,169,73.1,35.5559356757862,33.6935352647063,33.2359198909874,33.0492928281425
O00763;F8W8T8;H0YGH5;S4R3S7;A0A087WUA1,O00763,62;27;26;6;5,46;22;21;2;5,46;22;21;2;5,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,sp|O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3,62,46,29.0,29.5338962753381,26.8010698797179,24.5036093439039,24.7960023656898
Q9H3P7,Q9H3P7,9,9,9,Golgi resident protein GCP60,ACBD3,sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,9,9,20.5,4.09271599355779,3.98362812786341,26.6438892100658,26.9017319939852
S4R3H4;Q9UKV3;E7EQT4;G3V3B0;A0A087WYN3,S4R3H4;Q9UKV3;E7EQT4,16;15;15;6;1,16;15;15;6;1,16;15;15;6;1,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,tr|S4R3H4|S4R3H4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=1;sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2;tr|E7EQT4|E7E,16,16,20.3,4.09271599355779,3.98362812786341,28.0513397312771,28.055224420578
P53396,P53396,5,5,5,ATP-citrate synthase,ACLY,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,5,5,5.5,4.09271599355779,3.98362812786341,25.354743320895,24.9626108126827
P21399,P21399,5,5,5,Cytoplasmic aconitate hydratase,ACO1,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,5,5,7.5,4.09271599355779,3.98362812786341,25.2578901873642,25.0248329423986
Q86TX2;G3V4F2;A0A087X0W7;P49753;A0A087WT95;A0A2R8Y7H3,Q86TX2;G3V4F2;A0A087X0W7;P49753;A0A087WT95,17;16;16;15;15;2,17;16;16;15;15;2,17;16;16;15;15;2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT1;ACOT2,"sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2,",17,17,53.0,25.5698451807136,22.6811457417842,30.5964602386103,30.4397594998813
P68133;P68032;P62736;P63267;A6NL76;F8WB63;B8ZZJ2;C9JFL5;F6UVQ4;F6QUT6,P68133;P68032;P62736;P63267;A6NL76;F8WB63;B8ZZJ2;C9JFL5;F6UVQ4;F6QUT6,20;20;18;18;17;11;11;11;11;11,3;3;2;2;3;2;2;2;2;2,3;3;2;2;3;2;2;2;2;2,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",ACTA1;ACTC1;ACTA2;ACTG2,"sp|P68133|ACTS_HUMAN Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1;sp|P68032|ACTC_HUMAN Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1;sp|P62736|ACTA_HUMAN Actin, aortic smooth muscle OS=Homo sapiens OX=9",20,3,34.7,29.1391930375509,28.7795654758791,28.917353594158,28.4595146682324
P12814;H9KV75;G3V2W4;H7C5W8;G3V2N5;P35609;A0A494C1A0;H0YJW3;H0YJ11;G3V2X9;F6THM6;G3V5M4;A0A494C033;A0A494C166;A0A494C060;G3V2E8;G3V380;A0A494C0Q3;A0A494C031,P12814;H9KV75,27;26;11;10;10;7;7;7;6;5;4;4;3;3;3;3;1;1;1,27;26;11;10;10;7;7;7;6;5;4;4;3;3;3;3;1;1;1,16;15;6;6;6;2;2;4;3;2;1;2;1;1;0;1;1;1;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,27,16,39.8,4.09271599355779,3.98362812786341,29.1947908138459,29.0992375968261
O43707;F5GXS2;H7C144;Q08043;K7EJH8;A0A087WSZ2;Q9H254;M0QZQ3;C9JY79,O43707,21;9;8;3;3;3;1;1;1,10;6;5;0;2;0;1;1;1,10;6;5;0;2;0;1;1;1,Alpha-actinin-4,ACTN4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,21,10,32.4,4.09271599355779,3.98362812786341,26.5441274896391,26.980327881244
P00813;F5GWI4;F5GXW0,P00813;F5GWI4;F5GXW0,3;3;2,3;3;2,3;3;2,Adenosine deaminase,ADA,sp|P00813|ADA_HUMAN Adenosine deaminase OS=Homo sapiens OX=9606 GN=ADA PE=1 SV=3;tr|F5GWI4|F5GWI4_HUMAN Adenosine deaminase OS=Homo sapiens OX=9606 GN=ADA PE=1 SV=1;tr|F5GXW0|F5GXW0_HUMAN Adenosine deaminase OS=Homo sapiens OX=9606 GN=ADA PE=1 SV=1,3,3,10.5,23.4142878041309,21.6410594168042,21.8528906378148,22.8915086711113
P82987,P82987,3,3,3,ADAMTS-like protein 3,ADAMTSL3,sp|P82987|ATL3_HUMAN ADAMTS-like protein 3 OS=Homo sapiens OX=9606 GN=ADAMTSL3 PE=1 SV=4,3,3,3.3,22.4311211051623,21.0671740998332,23.2694307382105,21.6329845506411
P55265,P55265,30,30,3,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,30,3,32.0,26.2793759372348,23.1881565789742,30.2405901012697,29.6776125523225
P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2;D6RAH3;D6RF25;P35612;D6RJE2;H0YFD8,P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,Alpha-adducin,ADD1,sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2;tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|E7ENY0|E7ENY0_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|A0A0A0MSR2|A0A0A0M,10,10,19.7,4.09271599355779,3.98362812786341,28.2500209959269,27.2819774132684
Q9UEY8,Q9UEY8,16,16,16,Gamma-adducin,ADD3,sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,16,16,27.2,4.09271599355779,3.98362812786341,28.7373124414758,28.6387551199059
Q9H2P0;A0A669KBJ7;A0A2R8Y6X0;A0A2R8YCL6,Q9H2P0;A0A669KBJ7;A0A2R8Y6X0,32;31;23;5,32;31;23;5,32;31;23;5,Activity-dependent neuroprotector homeobox protein,ADNP,sp|Q9H2P0|ADNP_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1;tr|A0A669KBJ7|A0A669KBJ7_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=4 SV=1;tr|A0A2R8Y6X0|A0A2,32,32,39.3,4.09271599355779,3.98362812786341,29.5187460097175,29.3672388302607
Q9UHB7;C9JCE0,Q9UHB7,11;2,11;2,11;2,AF4/FMR2 family member 4,AFF4,sp|Q9UHB7|AFF4_HUMAN AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1,11,11,13.0,4.09271599355779,3.98362812786341,27.0873987408807,26.5519790306276
Q6ULP2;B8ZZI9;A0A0A0MSN6;A0A0U1RR74,Q6ULP2;B8ZZI9,10;6;2;1,10;6;2;1,10;6;2;1,Aftiphilin,AFTPH,sp|Q6ULP2|AFTIN_HUMAN Aftiphilin OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=3;tr|B8ZZI9|B8ZZI9_HUMAN Aftiphilin (Fragment) OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=2,10,10,13.4,4.09271599355779,3.98362812786341,27.5015760322988,27.2449051309763
P52594;C9J2I0;B8ZZY2,P52594;C9J2I0;B8ZZY2,6;5;5,6;5;5,6;5;5,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,sp|P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2;tr|C9J2I0|C9J2I0_HUMAN Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=8;tr|B8ZZY2|B8ZZ,6,6,17.4,4.09271599355779,3.98362812786341,27.4186046493561,27.0851712654646
Q8WYP5;H7C4S1,Q8WYP5,27;1,27;1,27;1,Protein ELYS,AHCTF1,sp|Q8WYP5|ELYS_HUMAN Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,27,27,17.2,4.09271599355779,3.98362812786341,28.7226663234499,28.3781556546311
O43865,O43865,6,6,2,Putative adenosylhomocysteinase 2,AHCYL1,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,6,2,12.1,4.09271599355779,3.98362812786341,26.6035695268123,26.3900490072837
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,11.1,4.09271599355779,3.98362812786341,22.9306485579508,23.4636361216132
Q09666;E9PKR9;E9PLK4;E9PJZ0;E9PJC6;E9PQE3;P48552,Q09666,491;9;9;8;8;7;1,491;9;9;8;8;7;1,490;9;9;8;8;7;1,Neuroblast differentiation-associated protein AHNAK,AHNAK,sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,491,490,85.6,35.539332320073,34.3258302801582,38.3947257085157,38.3220230530578
Q8IVF2,Q8IVF2,205,204,204,Protein AHNAK2,AHNAK2,sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,205,204,64.7,30.1335699180885,28.2395434664377,34.7295846465967,34.4562939151171
O95433;G3V438;H0YJU2;H0YJG7;H0YJ63;G3V3W9,O95433;G3V438,12;8;5;5;3;3,12;8;5;5;3;3,12;8;5;5;3;3,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr|G3V438|G3V438_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,12,12,46.7,23.1162297230491,21.6292504739345,29.2660206438674,29.3382200288084
E7ET48;Q8N1P7;E9PIR9;E7EX92,E7ET48;Q8N1P7;E9PIR9;E7EX92,2;2;2;1,2;2;2;1,2;2;2;1,Absent in melanoma 1-like protein,AIM1L,tr|E7ET48|E7ET48_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=1 SV=2;sp|Q8N1P7|CRBG2_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=2 SV=2;tr|E9PIR9|E9PIR9_HUMAN,2,2,1.4,4.09271599355779,3.98362812786341,24.3118824352119,26.5821895409773
O00170;E9PMH2;V9GYQ3,O00170;E9PMH2,6;4;2,6;4;2,6;4;2,AH receptor-interacting protein,AIP,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2;tr|E9PMH2|E9PMH2_HUMAN Peptidylprolyl isomerase (Fragment) OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2,6,6,26.4,25.8228662302433,20.4931635438448,4.49389273847095,4.43205595859272
