Gene_names,NUP43_vs_BirA_logFC,NUP43_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_NUP43_N1,Peptides_NUP43_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_NUP43_N1,Razor___unique_peptides_NUP43_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_NUP43_N1,Unique_peptides_NUP43_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_NUP43_N1,Identification_type_NUP43_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_NUP43_N1,Ratio_H_L_NUP43_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_NUP43_N1,Ratio_H_L_normalized_NUP43_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____NUP43_N1,Ratio_H_L_variability_____NUP43_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_NUP43_N1,Ratio_H_L_count_NUP43_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_NUP43_N1,Ratio_H_L_iso_count_NUP43_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_NUP43_N1,Ratio_H_L_type_NUP43_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_NUP43_N1____,Sequence_coverage_NUP43_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_NUP43_N1,Intensity_L_NUP43_N1,Intensity_H_NUP43_N1,Intensity_NUP43_N2,Intensity_L_NUP43_N2,Intensity_H_NUP43_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_NUP43_N1,metacell_Intensity_L_NUP43_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
TJP1,19.686008873147,7.73816276953246e-06,Q07157;A0A087X0K9;G5E9E7;G3V1L9,Q07157;A0A087X0K9;G5E9E7;G3V1L9,2;2;2;2,2;2;2;2,2;2;2;2,Tight junction protein ZO-1,sp|Q07157|ZO1_HUMAN Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3;tr|A0A087X0K9|A0A087X0K9_HUMAN Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=1;tr|G5E9E7|G5E9E7_HUMAN Tight junction protein 1 (Zona occludens 1,4,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,1.5,1.5,1.5,195.46,1748,1748;1676;1692;1768,0.00095238,2.6322,,,By MS/MS,By MS/MS,0.6111,1.3947,11.103,3,0,Median,,,0.54356,0.6111,,,1.3344,1.3947,,,15.282,,0,0,2,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,1.5,0.5,112470000,69751000,42716000,0,0,0,0,0,0,77056000,48445000,28612000,35410000,21306000,14104000,,,,93,3375;10396,True;True,3883;12083,9922;30419;30420,18875;18876;56898;56899,18875;56898,,,,,-1;-1;-1;-1,protein_94,quanti,quanti,imputed MEC,imputed MEC
OXA1L,19.6861092176758,2.7516135874481e-05,Q15070;C9JC63;E7EVY0;A0A087X0L7;J3KNA0,Q15070;C9JC63;E7EVY0;A0A087X0L7;J3KNA0,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Mitochondrial inner membrane protein OXA1L,sp|Q15070|OXA1L_HUMAN Mitochondrial inner membrane protein OXA1L OS=Homo sapiens OX=9606 GN=OXA1L PE=1 SV=3;tr|C9JC63|C9JC63_HUMAN Mitochondrial inner membrane protein OXA1L (Fragment) OS=Homo sapiens OX=9606 GN=OXA1L PE=1 SV=2;tr|E7EVY0|E7EVY0_HUMAN Mitoc,5,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,4.6,4.6,4.6,48.547,435,435;112;408;435;495,0.0026144,1.954,,,By MS/MS,By MS/MS,1.141,3.4613,47.282,3,0,Plateau,,,1.1141,0.63485,,,3.0431,1.3839,,,18.21,,0,0,2,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,4.6,2.3,131840000,78553000,53283000,0,0,0,0,0,0,107420000,61867000,45557000,24413000,16686000,7726200,,,,94,7605;9628,True;True,8847;11218,22207;22208;28194,41851;41852;41853;41854;52712,41853;52712,,,,,-1;-1;-1;-1;-1,protein_95,quanti,quanti,imputed MEC,imputed MEC
SNX12,-21.002742211628,1.46136422013035e-06,Q9UMY4;A0A087X0R6,Q9UMY4;A0A087X0R6,3;3,3;3,2;2,Sorting nexin-12,sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=4;tr|A0A087X0R6|A0A087X0R6_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=1,2,3,3,2,3,2,0,0,3,2,0,0,2,1,0,0,21.6,21.6,17.3,18.884,162,162;172,0.0030395,1.926,By MS/MS,By MS/MS,,,0.58553,1.388,31.921,5,0,Leave out requantified,0.45647,0.7371,,,1.1028,1.7547,,,26.365,0.62704,,,3,2,0,0,0,0,0,0,Leave out requantified,Median,Median,Median,21.6,16.0,0.0,0.0,120180000,72425000,47756000,70945000,46969000,23976000,49236000,25456000,23780000,0,0,0,0,0,0,,,,96,1900;14689;17757,True;True;True,2186;16945;20395,5727;42470;42471;51175;51176,10961;78919;95246;95247;95248,10961;78919;95247,,,,,-1;-1,protein_97,imputed MEC,imputed MEC,quanti,quanti
ACOT1;ACOT2,0.51555860698371,0.0908886877767767,Q86TX2;A0A087X0W7;P49753;A0A087WT95;G3V4F2;A0A2R8Y7H3,Q86TX2;A0A087X0W7;P49753;A0A087WT95;G3V4F2,13;13;12;12;11;2,13;13;12;12;11;2,13;13;12;12;11;2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial","sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=1;sp|P49753|ACOT2_HUMAN Acyl-coenzyme A th",6,13,13,13,6,5,11,9,6,5,11,9,6,5,11,9,48.2,48.2,48.2,46.277,421,421;421;483;463;395;421,0.0,46.512,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27634,0.86739,30.028,35,12,Leave out requantified,0.29594,0.44272,0.27457,0.2613,1.064,1.2276,0.8174,0.77645,21.554,8.8434,22.262,30.527,6,6,12,11,2,1,6,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,23.5,19.0,42.5,35.2,4159600000,2808100000,1351500000,441980000,339920000,102060000,454980000,316780000,138200000,1446700000,944720000,501990000,1815900000,1206700000,609240000,,,,98,245;855;856;1691;2012;2019;2882;5542;5873;6192;6880;15062;17829,True;True;True;True;True;True;True;True;True;True;True;True;True,272;273;959;960;1951;2309;2316;3311;6377;6781;7164;7997;17370;20475,653;654;655;656;657;2464;2465;2466;5121;5122;6081;6082;6083;6084;6085;6100;6101;8631;15962;15963;17021;17022;17023;17024;17997;20046;20047;43492;43493;43494;43495;43496;43497;51356;51357,1151;1152;1153;1154;1155;1156;1157;1158;1159;1160;1161;1162;1163;1164;4527;4528;4529;4530;4531;4532;4533;9818;9819;11621;11622;11623;11624;11625;11626;11627;11628;11629;11630;11631;11632;11633;11634;11635;11665;11666;16512;16513;16514;30168;30169;32008;32009;32010;32011;32012;32013;32014;32015;32016;32017;32018;33869;37696;37697;80605;80606;80607;80608;80609;80610;80611;80612;80613;80614;80615;95567;95568;95569;95570;95571;95572,1161;4530;4533;9818;11632;11665;16514;30169;32018;33869;37697;80609;95572,,,,,-1;-1;-1;-1;-1;-1,protein_99,quanti,quanti,quanti,quanti
SEPT8,-1.97177546712976,0.314517019145259,Q92599;A0A087X142;A6NMH6;A6NFQ9;F8W8I8;C9JV02;A0A0A0MRP8;C9J4G8,Q92599;A0A087X142;A6NMH6;A6NFQ9;F8W8I8,8;8;8;8;8;3;1;1,6;6;6;6;6;1;1;1,6;6;6;6;6;1;1;1,Septin-8,sp|Q92599|SEPT8_HUMAN Septin-8 OS=Homo sapiens OX=9606 GN=SEPTIN8 PE=1 SV=4;tr|A0A087X142|A0A087X142_HUMAN Septin-8 OS=Homo sapiens OX=9606 GN=SEPTIN8 PE=1 SV=1;tr|A6NMH6|A6NMH6_HUMAN Septin-8 OS=Homo sapiens OX=9606 GN=SEPTIN8 PE=1 SV=1;tr|A6NFQ9|A6NFQ9_H,8,8,6,6,3,7,1,2,1,6,1,1,1,6,1,1,27.3,22.8,22.8,55.756,483,483;426;430;440;460;130;78;97,0.0,5.5316,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48911,1.0832,81.677,9,1,Leave out requantified,0.32316,0.48911,0.29508,0.25103,0.91207,1.0849,0.90076,0.71067,,81.683,,,1,6,1,1,1,0,0,0,Median,Leave out requantified,Median,Median,7.9,24.4,3.3,5.0,758670000,649170000,109500000,22658000,16437000,6221300,588940000,523330000,65610000,66751000,44903000,21848000,80322000,64501000,15821000,,,,100,237;3729;8851;9163;11715;16014;16197;16736,True;True;True;False;True;False;True;True,264;4276;10276;10663;13598;18449;18658;19246,640;10860;25848;26818;34156;34157;34158;34159;46169;46170;46171;46716;48233,1134;20599;48756;48757;50409;63667;63668;63669;63670;85407;85408;85409;85410;85411;86425;86426;89211,1134;20599;48756;50409;63670;85408;86426;89211,26;27,,402;423,,-1;-1;-1;-1;-1;-1;-1;-1,protein_101,quanti,quanti,quanti,quanti
USP39,21.6885914880749,8.91128182136323e-08,Q53GS9;A0A087X1B2;B9A018;A0A087WW31,Q53GS9;A0A087X1B2;B9A018,4;4;4;1,4;4;4;1,4;4;4;1,U4/U6.U5 tri-snRNP-associated protein 2,sp|Q53GS9|SNUT2_HUMAN U4/U6.U5 tri-snRNP-associated protein 2 OS=Homo sapiens OX=9606 GN=USP39 PE=1 SV=2;tr|A0A087X1B2|A0A087X1B2_HUMAN U4/U6.U5 tri-snRNP-associated protein 2 OS=Homo sapiens OX=9606 GN=USP39 PE=1 SV=1;tr|B9A018|B9A018_HUMAN U4/U6.U5 tri-s,4,4,4,4,0,0,2,4,0,0,2,4,0,0,2,4,11.3,11.3,11.3,65.38,565,565;487;536;61,0.0,6.002,,,By MS/MS,By MS/MS,0.38146,1.0224,20.405,6,2,Leave out requantified,,,0.48702,0.38146,,,1.4217,1.0224,,,24.055,9.9598,0,0,2,4,0,0,1,1,Median,Median,Median,Leave out requantified,0.0,0.0,5.3,11.3,562840000,268310000,294540000,0,0,0,0,0,0,153910000,96433000,57473000,408930000,171870000,237060000,,,,102,2473;4115;13983;17495,True;True;True;True,2842;4709;16143;20093,7460;7461;11812;40551;50421;50422,14334;14335;22194;75484;75485;93767;93768;93769;93770;93771,14335;22194;75485;93770,,,,,-1;-1;-1;-1,protein_103,quanti,quanti,imputed MEC,imputed MEC
LYPLA1,20.123403582884,1.31837992585522e-06,O75608;A0A087X1K9;E5RGR0;B4DP64,O75608;A0A087X1K9;E5RGR0;B4DP64,2;2;2;1,2;2;2;1,2;2;2;1,Acyl-protein thioesterase 1,sp|O75608|LYPA1_HUMAN Acyl-protein thioesterase 1 OS=Homo sapiens OX=9606 GN=LYPLA1 PE=1 SV=1;tr|A0A087X1K9|A0A087X1K9_HUMAN Acyl-protein thioesterase 1 OS=Homo sapiens OX=9606 GN=LYPLA1 PE=1 SV=1;tr|E5RGR0|E5RGR0_HUMAN Acyl-protein thioesterase 1 (Fragmen,4,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,10.4,10.4,10.4,24.669,230,230;166;197;196,0.000998,3.1168,,,By MS/MS,By MS/MS,0.29371,0.80756,11.892,3,2,Median,,,0.29371,0.33724,,,0.70671,0.8506,,,,7.3428,0,0,1,2,0,0,1,1,Median,Median,Median,Median,0.0,0.0,4.8,10.4,138140000,99548000,38588000,0,0,0,0,0,0,36452000,25593000,10859000,101680000,73955000,27729000,,,,104,1967;17706,True;True,2255;20341,5917;51046;51047,11274;95012;95013;95014,11274;95014,,,,,-1;-1;-1;-1,protein_105,quanti,quanti,imputed MEC,imputed MEC
PSME2,-2.39034431172405,0.00256257659655357,Q9UL46;A0A087X1Z3;H0YM70,Q9UL46;A0A087X1Z3;H0YM70,7;7;5,7;7;5,7;7;5,Proteasome activator complex subunit 2,sp|Q9UL46|PSME2_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=4;tr|A0A087X1Z3|A0A087X1Z3_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=1;tr|H0YM70|H0YM70_HUMAN Proteasome activ,3,7,7,7,4,5,2,4,4,5,2,4,4,5,2,4,34.7,34.7,34.7,27.401,239,239;254;228,0.0,26.707,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39863,1.1365,17.64,20,6,Leave out requantified,0.35206,0.40146,0.36635,0.34378,1.2941,1.1405,1.112,0.77272,15.851,11.477,38.922,27.301,5,6,3,6,0,1,1,4,Leave out requantified,Leave out requantified,Median,Median,21.3,24.3,13.0,23.4,1593800000,1139400000,454480000,612400000,451770000,160630000,472980000,332070000,140910000,178320000,120090000,58234000,330140000,235440000,94700000,,,,106,657;1531;1628;8701;9352;14734;17534,True;True;True;True;True;True;True,728;1770;1882;10108;10883;17000;20139,1825;1826;1827;1828;4603;4604;4605;4606;4607;4608;4609;4610;4947;4948;25441;27331;42604;42605;42606;50540,3283;3284;3285;3286;3287;3288;3289;3290;3291;3292;3293;3294;3295;8729;8730;8731;8732;8733;8734;8735;8736;8737;8738;8739;8740;8741;8742;8743;8744;8745;8746;9485;9486;9487;9488;9489;9490;47904;51224;79129;79130;79131;79132;93933,3292;8729;9487;47904;51224;79130;93933,,,,,-1;-1;-1,protein_107,quanti,quanti,quanti,quanti
BSG,1.30543517772482,0.0231541041440945,P35613;A0A087X2B5;A0A087WUV8;I3L192;R4GMX5;R4GN83;A0A2R8YDZ0,P35613;A0A087X2B5;A0A087WUV8;I3L192;R4GMX5,7;7;6;5;4;3;1,7;7;6;5;4;3;1,7;7;6;5;4;3;1,Basigin,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|I3L192|I3L19,7,7,7,7,3,3,4,4,3,3,4,4,3,3,4,4,22.3,22.3,22.3,42.2,385,385;221;189;160;84;52;132,0.0,15.649,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.372,1.1224,15.507,17,10,Leave out requantified,0.49958,0.46176,0.37364,0.46428,1.7062,1.2796,1.139,1.3777,94.673,29.483,15.918,29.023,3,4,5,5,3,4,0,3,Median,Median,Leave out requantified,Median,7.8,9.1,13.8,14.8,2044900000,1355600000,689280000,115780000,68332000,47450000,208450000,141610000,66843000,619290000,424780000,194510000,1101400000,720900000,380480000,,,,107,4367;5619;6324;15558;15573;16556;19100,True;True;True;True;True;True;True,4994;6470;7317;17918;17933;19054;21918,12541;12542;12543;12544;12545;16169;16170;16171;18368;44782;44783;44808;47736;47737;47738;47739;47740;55151,23609;23610;23611;23612;23613;23614;23615;23616;23617;23618;23619;23620;23621;30541;30542;30543;30544;34492;82840;82841;82842;82872;82873;82874;82875;88305;88306;88307;88308;88309;88310;88311;103228,23615;30544;34492;82841;82872;88306;103228,,,,,-1;-1;-1;-1;-1;-1;-1,protein_108,quanti,quanti,quanti,quanti
SRSF3,1.81827811191717,0.00298824845734454,P84103;A0A087X2D0,P84103;A0A087X2D0,6;6,5;5,5;5,Serine/arginine-rich splicing factor 3,sp|P84103|SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1;tr|A0A087X2D0|A0A087X2D0_HUMAN Serine/arginine-rich-splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1,2,6,5,5,4,4,4,4,4,4,4,3,4,4,4,3,38.4,38.4,38.4,19.329,164,164;95,0.0,26.279,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28848,0.82529,5.0779,23,6,Leave out requantified,0.27923,0.29941,0.28741,0.29822,1.0321,0.88371,0.82975,0.728,36.295,12.204,14.796,18.339,4,4,9,6,1,1,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,31.7,35.4,31.7,28.7,12380000000,9480800000,2898800000,704650000,573470000,131180000,663020000,477510000,185510000,5024800000,3865300000,1159500000,5987100000,4564500000,1422700000,,,,108,585;12860;14022;14023;14024;20329,True;True;False;True;True;True,648;649;14883;16187;16188;16189;23337;23338;23339,1631;1632;1633;1634;1635;1636;37354;40654;40655;40656;40657;40658;40659;40660;58671;58672;58673;58674;58675;58676;58677;58678;58679;58680,2927;2928;2929;2930;2931;2932;2933;2934;2935;2936;2937;2938;2939;2940;2941;2942;2943;2944;2945;2946;2947;2948;2949;2950;2951;2952;2953;2954;2955;2956;69541;75659;75660;75661;75662;75663;75664;75665;75666;75667;75668;75669;75670;75671;75672;75673;75674;75675;75676;75677;75678;75679;75680;75681;75682;75683;75684;75685;110057;110058;110059;110060;110061;110062;110063;110064;110065;110066;110067;110068;110069;110070,2955;69541;75659;75670;75681;110067,28,,23,,-1;-1,protein_109,quanti,quanti,quanti,quanti
MRPL45,1.37859257428,0.0180039571159295,Q9BRJ2;A0A087X2D5;A0A0G2JMS5;A0A087WU62,Q9BRJ2;A0A087X2D5;A0A0G2JMS5;A0A087WU62,4;4;3;3,4;4;3;3,4;4;3;3,"39S ribosomal protein L45, mitochondrial","sp|Q9BRJ2|RM45_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=2;tr|A0A087X2D5|A0A087X2D5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1;tr|A0A0G2JMS5|A0A0G2JMS5_HUMAN 39S",4,4,4,4,1,2,3,3,1,2,3,3,1,2,3,3,19.6,19.6,19.6,35.351,306,306;306;256;256,0.0,7.226,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43844,1.2571,32.817,9,2,Leave out requantified,0.15657,0.426,0.44441,0.31245,0.45017,1.07,1.366,0.87382,,50.732,31.711,17.046,1,2,3,3,0,0,0,2,Median,Median,Leave out requantified,Median,4.6,11.1,13.1,16.3,611070000,425200000,185870000,25014000,20747000,4267700,67262000,42186000,25076000,205900000,134720000,71172000,312900000,227540000,85355000,,,,109,8709;11296;17721;20501,True;True;True;True,10118;13126;20357;23524,25467;25468;25469;25470;33032;33033;51079;59147;59148,47953;47954;47955;47956;47957;47958;47959;47960;47961;61839;61840;61841;61842;95086;110851;110852;110853,47958;61839;95086;110852,,,,,-1;-1;-1;-1,protein_110,quanti,quanti,quanti,quanti
DDX1,0.407869332314348,0.161999075745489,Q92499;A0A087X2G1;F1T0B3,Q92499;A0A087X2G1;F1T0B3,22;22;22,22;22;22,22;22;22,ATP-dependent RNA helicase DDX1,sp|Q92499|DDX1_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2;tr|A0A087X2G1|A0A087X2G1_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=1;tr|F1T0B3|F1T0B3_HUMAN ATP-dependent RNA helicase DDX1 O,3,22,22,22,12,11,14,19,12,11,14,19,12,11,14,19,41.4,41.4,41.4,82.431,740,740;659;659,0.0,56.8,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33226,0.9733,20.384,58,17,Leave out requantified,0.30364,0.36042,0.32191,0.35046,0.97609,0.94434,0.96691,0.9944,23.12,18.042,30.364,18.097,12,12,14,20,5,3,3,6,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,22.2,22.3,28.8,37.8,4077300000,2768100000,1309200000,439380000,327050000,112330000,477580000,339190000,138390000,1086900000,746150000,340790000,2073400000,1355700000,717700000,,,,110,986;1325;3146;3172;3434;3755;4638;4690;4724;4926;5671;5836;6316;7102;7944;8064;11354;11646;11647;12635;14034;20274,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1116;1525;3624;3650;3947;4305;5309;5371;5412;5634;6534;6736;7309;8288;9242;9382;13191;13523;13524;14637;16199;23277,2856;2857;3923;3924;9355;9400;9401;10063;10064;10939;10940;10941;10942;13322;13323;13324;13325;13467;13468;13469;13578;13579;13580;13581;14114;14115;16333;16334;16335;16336;16918;16919;18347;18348;18349;20787;20788;23277;23278;23649;23650;23651;23652;23653;33199;33966;33967;36743;36744;36745;36746;40680;40681;40682;40683;58543;58544;58545,5287;5288;5289;5290;5291;7350;7351;7352;7353;17846;17847;17917;19107;19108;19109;19110;19111;19112;20728;20729;20730;20731;20732;20733;20734;25029;25030;25031;25032;25033;25034;25035;25036;25296;25297;25298;25492;25493;25494;25495;25496;25497;25498;25499;25500;25501;25502;26472;26473;26474;30843;30844;30845;30846;30847;30848;30849;31842;31843;31844;34451;34452;34453;34454;39191;39192;43938;44640;44641;44642;44643;44644;44645;62097;63383;63384;68394;68395;68396;68397;68398;68399;68400;68401;68402;68403;68404;75720;75721;75722;75723;75724;75725;75726;75727;75728;75729;109825;109826;109827;109828,5287;7353;17846;17917;19108;20733;25035;25297;25497;26472;30848;31842;34454;39192;43938;44641;62097;63383;63384;68404;75723;109826,,,,,-1;-1;-1,protein_111,quanti,quanti,quanti,quanti
GPS1,-1.18784018714715,0.0112493500252046,Q13098;C9JFE4;A0A096LP07;A0A096LPJ3;A8K070;J3QS84;J3QS88;J3KTB0;J3QLE8;J3QLT0;J3QL53;J3KRE8;J3KSA5;J3KRJ4;J3QQX0,Q13098;C9JFE4;A0A096LP07;A0A096LPJ3;A8K070;J3QS84;J3QS88;J3KTB0;J3QLE8;J3QLT0;J3QL53;J3KRE8;J3KSA5;J3KRJ4,3;3;3;3;3;2;2;2;2;2;2;2;2;2;1,3;3;3;3;3;2;2;2;2;2;2;2;2;2;1,3;3;3;3;3;2;2;2;2;2;2;2;2;2;1,COP9 signalosome complex subunit 1,sp|Q13098|CSN1_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=4;tr|C9JFE4|C9JFE4_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=2;tr|A0A096LP07|A0A096LP07_HUMAN COP9 signalosome complex su,15,3,3,3,2,3,1,1,2,3,1,1,2,3,1,1,8.4,8.4,8.4,55.536,491,491;471;486;490;526;101;134;139;166;168;168;186;210;253;79,0.0,5.109,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41216,1.3882,48.192,7,4,Median,0.61719,0.5426,0.32993,0.39924,2.0673,1.497,1.0147,1.1261,56.32,56.348,,,2,3,1,1,1,1,1,1,Median,Median,Median,Median,4.9,8.4,3.3,3.3,378980000,249550000,129430000,75480000,47221000,28259000,125780000,78858000,46922000,75362000,52027000,23335000,102350000,71445000,30910000,,,,114,1324;11520;12537,True;True;True,1524;13385;14528,3919;3920;3921;3922;33642;36462;36463,7342;7343;7344;7345;7346;7347;7348;7349;62870;67951;67952;67953,7347;62870;67953,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_115,quanti,quanti,quanti,quanti
C21orf33,2.48705095290451,0.00740016080194351,A0A096LPI6;P0DPI2;A0A0B4J2D5;A0A096LNH5;A0A096LNJ1;A0A096LP73;A0A2R8Y6K9;H7C1F6;A0A2R8YDR7;H7C2G3;F2Z2Q0;A0A096LP12,A0A096LPI6;P0DPI2;A0A0B4J2D5;A0A096LNH5;A0A096LNJ1;A0A096LP73;A0A2R8Y6K9;H7C1F6;A0A2R8YDR7;H7C2G3;F2Z2Q0;A0A096LP12,6;5;5;4;3;3;3;3;3;3;3;3,5;5;5;4;3;3;3;3;3;3;3;3,5;5;5;4;3;3;3;3;3;3;3;3,,"tr|A0A096LPI6|A0A096LPI6_HUMAN Utp12 domain-containing protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2;sp|P0DPI2|GAL3A_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3A PE=1 SV=",12,6,5,5,1,1,6,5,1,1,5,4,1,1,5,4,39.8,35.1,35.1,30.376,279,279;268;268;182;106;137;163;184;190;191;217;224,0.0,4.8175,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41272,1.1214,20.864,12,3,Leave out requantified,0.28428,0.69932,0.4226,0.37093,0.98727,1.6957,1.2669,1.0107,,,15.649,23.521,1,1,5,5,0,0,1,2,Median,Median,Leave out requantified,Leave out requantified,9.7,9.0,39.8,31.9,891310000,658980000,232330000,42475000,33667000,8807800,25497000,16696000,8801600,371910000,271500000,100400000,451430000,337110000,114320000,,,,116,820;5531;5837;8523;19332;20221,False;True;True;True;True;True,918;6364;6737;9905;22206;23218,2325;2326;15933;16920;16921;16922;24969;24970;24971;55873;55874;55875;58405;58406,4241;4242;4243;4244;4245;4246;30113;31845;31846;31847;31848;47024;47025;47026;47027;104599;104600;104601;109569;109570,4243;30113;31848;47027;104601;109569,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_117,quanti,quanti,quanti,quanti
