DDB2_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ABHD14B,0.2258579975,0.170019498414872,0,Q96IU4;F8W9U3;B4DQI4,Q96IU4;F8W9U3;B4DQI4,6;5;4,6;5;4,6;5;4,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,6,6,41,1462
ABI1,0.6019738839,0.0175065252008199,0,Q8IZP0;B6VEX4;A0A0A0MRT6,Q8IZP0;B6VEX4;A0A0A0MRT6,2;2;2,2;2;2,2;2;2,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,2,2,5.3,563
ACAA2,0.0245156617,0.879396216601492,0,P42765;A0A0B4J2A4;K7EME0;K7ER88;K7EJB1;K7EJ68,P42765;A0A0B4J2A4;K7EME0,14;12;9;1;1;1,14;12;9;1;1;1,14;12;9;1;1;1,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,"sp|P42765|THIM_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2;tr|A0A0B4J2A4|A0A0B4J2A4_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=1;tr|K7EME0|K7EME0_HUMAN 3-ketoacyl-CoA th",14,14,41.1,226
ACADM,0.5923120546,0.148077716013898,0,P11310;B7Z9I1;Q5T4U5;H0YDT5,P11310;B7Z9I1;Q5T4U5,9;9;9;3,9;9;9;3,9;9;9;3,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,"sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|B7Z9I1|B7Z9I1_HUMAN Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|Q5",9,9,24.2,420
ACADVL,-0.1331190059,0.363483151321249,0,P49748;G3V1M7;J3KSR4;J3QRJ8;K7EQP4;K7EMF8;J3QKU9;K7EJW8,P49748,21;8;4;3;2;1;1;1,21;8;4;3;2;1;1;1,21;8;4;3;2;1;1;1,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADVL,"sp|P49748|ACADV_HUMAN Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1",21,21,34.4,109
ACAT1,0.1092576113,0.604510188585993,0,P24752;A0A5F9ZHL1;A0A5F9ZHJ7;A0A5F9ZHJ0;A0A5F9ZHD4;A0A5F9ZI66;A0A5F9ZHH9;H0YEL7;A0A5F9ZHL7;E9PRQ6,P24752;A0A5F9ZHL1;A0A5F9ZHJ7;A0A5F9ZHJ0;A0A5F9ZHD4;A0A5F9ZI66,9;9;8;7;5;5;4;3;2;2,9;9;8;7;5;5;4;3;2;2,9;9;8;7;5;5;4;3;2;2,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,"sp|P24752|THIL_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHL1|A0A5F9ZHL1_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHJ7|A0A5F9ZHJ7_HUMAN",9,9,24.6,978
ACIN1,1.4206828578,0.0807854271851832,0,S4R3H4;Q9UKV3;E7EQT4;G3V3B0,S4R3H4;Q9UKV3;E7EQT4;G3V3B0,9;8;8;6,9;8;8;6,9;8;8;6,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,tr|S4R3H4|S4R3H4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=1;sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2;tr|E7EQT4|E7E,9,9,8,210
ACLY,0.7051809595,0.00637901019788897,0,P53396;K7ESG8;K7EIE7,P53396,24;3;2,24;3;2,24;3;2,ATP-citrate synthase,ACLY,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,24,24,29,1267
ACO1,1.4374078568,0.164018379458667,0,P21399,P21399,13,13,13,Cytoplasmic aconitate hydratase,ACO1,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,13,13,21.4,227
ACO2,0.07759188,0.57234500289446,0,Q99798;A2A274,Q99798;A2A274,21;21,21;21,21;21,"Aconitate hydratase, mitochondrial",ACO2,"sp|Q99798|ACON_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2;tr|A2A274|A2A274_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=1",21,21,33.6,414
ACOT1;ACOT2,-0.2852413084,0.174177490212128,0,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95;A0A2R8Y7H3,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95,9;9;8;8;8;2,9;9;8;8;8;2,9;9;8;8;8;2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT1;ACOT2,"sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=1;sp|P49753|ACOT2_HUMAN Acyl-coenzyme A th",9,9,30.6,184
ACTA1;ACTC1,0.019620206,0.90300923410557,0,P68133;P68032;A6NL76,P68133;P68032;A6NL76,32;32;25,4;4;4,2;2;2,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1",ACTA1;ACTC1,"sp|P68133|ACTS_HUMAN Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1;sp|P68032|ACTC_HUMAN Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1;tr|A6NL76|A6NL76_HUMAN Actin, alpha skeletal muscle OS=Homo sapiens O",32,2,39,788
ACTB,-0.2087060244,0.182890004044803,0,P60709;A0A2R8Y793;E7EVS6;A0A2R8YGF8;G5E9R0;A0A2R8YEA7;C9JUM1;C9JZR7;C9JTX5;A0A2R8YFE2;F8WCH0,P60709;A0A2R8Y793,55;42;20;20;19;18;16;16;13;12;4,2;2;2;2;2;0;2;2;2;0;0,2;2;2;2;2;0;2;2;2;0;0,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",ACTB,"sp|P60709|ACTB_HUMAN Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1;tr|A0A2R8Y793|A0A2R8Y793_HUMAN Actin, cytoplasmic 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",55,2,99.2,160
ACTG1,-0.1203047009,0.488540164019309,0,P63261;I3L3I0;I3L1U9;I3L4N8;I3L3R2;J3KT65;K7EM38,P63261;I3L3I0;I3L1U9;I3L4N8,56;32;32;29;21;20;18,56;32;32;29;21;20;18,3;3;3;3;3;3;3,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",ACTG1,"sp|P63261|ACTG_HUMAN Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1;tr|I3L3I0|I3L3I0_HUMAN Actin, cytoplasmic 2 (Fragment) OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1;tr|I3L1U9|I3L1U9_HUMAN Actin, cytoplasmic 2 (Fragment) OS=Homo sapiens OX",56,3,99.5,250
ACTL6A,-0.7248736029,0.0621245319818702,0,O96019;H7C5S0;O94805,O96019,11;3;1,11;3;1,11;3;1,Actin-like protein 6A,ACTL6A,sp|O96019|ACL6A_HUMAN Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1,11,11,35.2,999
ACTN1,0.0224778274,0.883501345641669,0,P12814;H9KV75;G3V2N5;G3V2W4;H0YJW3;H0YJ11;H7C5W8;G3V2X9;G3V5M4;G3V2E8;F6THM6;G3V380,P12814;H9KV75,56;49;18;17;14;12;12;11;7;5;5;1,56;49;18;17;14;12;12;11;7;5;5;1,33;31;8;8;10;9;9;6;3;2;0;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,56,33,61.8,796
ACTN4,-0.0267190424,0.840209371264183,0,O43707;F5GXS2;H7C144;P35609;A0A494C1A0;K7EJH8;A0A494C033;A0A494C166;A0A494C0Q3;K7EP19;A0A494C060,O43707;F5GXS2,52;26;18;13;13;10;8;8;5;4;2,29;18;14;0;0;5;0;0;0;0;0,28;18;14;0;0;5;0;0;0;0;0,Alpha-actinin-4,ACTN4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2;tr|F5GXS2|F5GXS2_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,52,28,56.5,421
ACTR1A,0.9061431322,0.00373829389812411,0,P61163;R4GMT0;A0A1B0GVS3,P61163;R4GMT0;A0A1B0GVS3,12;9;7,12;9;7,7;6;4,Alpha-centractin,ACTR1A,sp|P61163|ACTZ_HUMAN Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=1;tr|R4GMT0|R4GMT0_HUMAN Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=1;tr|A0A1B0GVS3|A0A1B0GVS3_HUMAN Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=,12,7,49.5,239
ACTR2,-0.5805337533,0.0546697207401534,0,P61160;F5H6T1;A0A1B0GWD0;A0A1B0GWH0,P61160;F5H6T1,7;5;2;2,7;5;2;2,7;5;2;2,Actin-related protein 2,ACTR2,sp|P61160|ARP2_HUMAN Actin-related protein 2 OS=Homo sapiens OX=9606 GN=ACTR2 PE=1 SV=1;tr|F5H6T1|F5H6T1_HUMAN Actin-related protein 2 OS=Homo sapiens OX=9606 GN=ACTR2 PE=1 SV=2,7,7,15.2,937
ADAR,0.065082844,0.730121379867551,0,P55265;A0A3B3IRQ9;A0A3B3ISX1;A0A3B3ITG9;A0A3B3ISU1,P55265;A0A3B3IRQ9;A0A3B3ISX1,8;7;5;3;1,8;7;5;3;1,8;7;5;3;1,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4;tr|A0A3B3IRQ9|A0A3B3IRQ9_HUMAN Double-stranded RNA-specific adenosine deaminase (Fragment) OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=1;tr|A0A3B3I,8,8,9.3,385
ADRM1,-0.0616927569,0.696122080799545,0,Q16186;A0A087WUX6;A0A087WX59,Q16186;A0A087WUX6;A0A087WX59,3;2;2,3;2;2,3;2;2,Proteasomal ubiquitin receptor ADRM1,ADRM1,sp|Q16186|ADRM1_HUMAN Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens OX=9606 GN=ADRM1 PE=1 SV=2;tr|A0A087WUX6|A0A087WUX6_HUMAN Proteasomal ubiquitin receptor ADRM1 (Fragment) OS=Homo sapiens OX=9606 GN=ADRM1 PE=1 SV=1;tr|A0A087WX59|A0A087WX59_HUMAN P,3,3,8.6,432
AFG3L2,-0.115698317,0.441887059959645,0,Q9Y4W6;K7EP56,Q9Y4W6,12;1,12;1,12;1,AFG3-like protein 2,AFG3L2,sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,12,12,18.4,260
AGPS,0.0192785255,0.91021398767238,0,O00116;A0A1B0GWA2;A0A2R8YEL0;B8ZZ81,O00116;A0A1B0GWA2;A0A2R8YEL0,8;6;6;2,8;6;6;2,8;6;6;2,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",AGPS,"sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1;tr|A0A1B0GWA2|A0A1B0GWA2_HUMAN Alkylglycerone-phosphate synthase (Fragment) OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1;tr|A0A2R8YEL0|A0A2R8YE",8,8,17.6,856
AHCY,-0.1045149925,0.592472251892555,0,P23526,P23526,19,19,19,Adenosylhomocysteinase,AHCY,sp|P23526|SAHH_HUMAN Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,19,19,41,699
AHNAK,0.2064589345,0.579760384328032,0,Q09666;E9PLK4;E9PJZ0;E9PKR9;E9PJC6;E9PQE3,Q09666,137;5;4;4;4;2,137;5;4;4;4;2,137;5;4;4;4;2,Neuroblast differentiation-associated protein AHNAK,AHNAK,sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,137,137,42.4,508
AHNAK2,-0.0931166995,0.815679600807259,0,Q8IVF2,Q8IVF2,6,6,6,Protein AHNAK2,AHNAK2,sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,6,6,6,314
AIMP1,0.4874376361,0.183027005111879,0,Q12904;A0A5F9ZHC5;D6R937,Q12904;A0A5F9ZHC5,6;6;2,6;6;2,6;6;2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2,AIMP1,sp|Q12904|AIMP1_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2;tr|A0A5F9ZHC5|A0A5F9ZHC5_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9,6,6,26.3,199
AIMP2,0.3261836742,0.0948760261234921,0,Q13155;A8MU58,Q13155;A8MU58,4;3,4;3,4;3,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,sp|Q13155|AIMP2_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2;tr|A8MU58|A8MU58_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=A,4,4,16.9,938
AK2,0.0024909425,0.98566855918162,0,P54819;F8W1A4;F8VY04;A0A5K1VW67;G3V213;F8VZG5;A0A5F9ZHP2;F8VPP1,P54819;F8W1A4;F8VY04;A0A5K1VW67;G3V213;F8VZG5;A0A5F9ZHP2,13;13;10;10;8;8;8;3,13;13;10;10;8;8;8;3,13;13;10;10;8;8;8;3,"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed;Adenylate kinase 2, mitochondrial",AK2,"sp|P54819|KAD2_HUMAN Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2;tr|F8W1A4|F8W1A4_HUMAN Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=1;tr|F8VY04|F8VY04_HUMAN Adenylate kinase 2, mitochondrial OS=Ho",13,13,64.4,630
AK4,0.0794374104,0.707771454755933,0,P27144;F8VS11,P27144;F8VS11,5;3,5;3,5;3,"Adenylate kinase 4, mitochondrial",AK4,"sp|P27144|KAD4_HUMAN Adenylate kinase 4, mitochondrial OS=Homo sapiens OX=9606 GN=AK4 PE=1 SV=1;tr|F8VS11|F8VS11_HUMAN Adenylate kinase 4, mitochondrial OS=Homo sapiens OX=9606 GN=AK4 PE=1 SV=1",5,5,29.6,1647
AKR1A1,-0.1701467252,0.434640254796445,0,P14550;V9GYG2;V9GYP9;Q5T621,P14550,12;5;5;5,12;5;5;5,12;5;5;5,Alcohol dehydrogenase [NADP(+)],AKR1A1,sp|P14550|AK1A1_HUMAN Aldo-keto reductase family 1 member A1 OS=Homo sapiens OX=9606 GN=AKR1A1 PE=1 SV=3,12,12,40.3,426
ALCAM,0.5889261185,0.0101453137694086,0,Q13740;F5GXJ9;H7C543,Q13740;F5GXJ9,9;8;3,9;8;3,9;8;3,CD166 antigen,ALCAM,sp|Q13740|CD166_HUMAN CD166 antigen OS=Homo sapiens OX=9606 GN=ALCAM PE=1 SV=2;tr|F5GXJ9|F5GXJ9_HUMAN CD166 antigen OS=Homo sapiens OX=9606 GN=ALCAM PE=1 SV=1,9,9,16.3,452
ALDH18A1,0.2539109582,0.112859515452709,0,P54886,P54886,29,29,29,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,ALDH18A1,sp|P54886|P5CS_HUMAN Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens OX=9606 GN=ALDH18A1 PE=1 SV=2,29,29,38.1,299
ALDH1B1,0.2437152667,0.119846863950562,0,P30837,P30837,12,12,11,"Aldehyde dehydrogenase X, mitochondrial",ALDH1B1,"sp|P30837|AL1B1_HUMAN Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=3",12,11,25.7,412
ALDH2,0.4034339438,0.127894966456295,0,P05091;F8VP50;P00352;P47895;S4R3S4;H0Y2X5,P05091,9;4;1;1;1;1,8;4;0;0;1;0,8;4;0;0;1;0,"Aldehyde dehydrogenase, mitochondrial",ALDH2,"sp|P05091|ALDH2_HUMAN Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2",9,8,21.1,34350
ALDH5A1,1.8239571939,0.00421443437481654,1,P51649;C9J8Q5;A0A5F9ZH98;A0A5F9ZI23,P51649;C9J8Q5;A0A5F9ZH98;A0A5F9ZI23,2;2;1;1,2;2;1;1,2;2;1;1,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,"sp|P51649|SSDH_HUMAN Succinate-semialdehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH5A1 PE=1 SV=2;tr|C9J8Q5|C9J8Q5_HUMAN Succinate-semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH5A1 PE=1 SV=1;tr|A0A5F9ZH98|A0A5F9ZH98_HUMAN Su",2,2,8.2,224
ALDH7A1,-0.2577223047,0.236000443214957,0,P49419;A0A1B0GTG2;A0A1B0GW77;A0A1B0GUA1;A0A1B0GW82;A0A1B0GV49;A0A1B0GTJ4;A0A1B0GTY9;A0A1B0GUY0;A0A0J9YWF7;F8WDY6;F8VVF2;H0YHM6;A0A1B0GVU0,P49419;A0A1B0GTG2;A0A1B0GW77;A0A1B0GUA1;A0A1B0GW82;A0A1B0GV49;A0A1B0GTJ4;A0A1B0GTY9;A0A1B0GUY0,10;10;10;9;9;8;8;7;5;4;2;2;2;1,10;10;10;9;9;8;8;7;5;4;2;2;2;1,10;10;10;9;9;8;8;7;5;4;2;2;2;1,Alpha-aminoadipic semialdehyde dehydrogenase,ALDH7A1,sp|P49419|AL7A1_HUMAN Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH7A1 PE=1 SV=5;tr|A0A1B0GTG2|A0A1B0GTG2_HUMAN Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH7A1 PE=1 SV=1;tr|A0A1B0GW77|A0A1B0GW7,10,10,30.2,866
ALDH9A1,-0.1079355037,0.610387367582674,0,P49189,P49189,7,7,7,4-trimethylaminobutyraldehyde dehydrogenase,ALDH9A1,sp|P49189|AL9A1_HUMAN 4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3,7,7,20.4,238
