Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NUP43-N1,Intensity NUP43-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q96P48;A0A0A0MSJ2;E7EU13,Q96P48;A0A0A0MSJ2;E7EU13,2;1;1,2;1;1,2;1;1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",ARAP1,"sp|Q96P48|ARAP1_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ARAP1 PE=1 SV=3;tr|A0A0A0MSJ2|A0A0A0MSJ2_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sa",2,2,2.1,28.2369463549517,28.7072718015881,24.3827898976017,24.7645092034795
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.20354318657847,4.29426065740498,23.3003369184145,21.8010452032896
Q9NWB6,Q9NWB6,2,2,2,Arginine and glutamate-rich protein 1,ARGLU1,sp|Q9NWB6|ARGL1_HUMAN Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,2,2,5.5,23.6036544136965,24.0574675922306,4.42963131265863,4.37131702904701
Q68EM7;I3L4P6;C9IZD3,Q68EM7;I3L4P6;C9IZD3,2;2;2,2;2;2,2;2;2,Rho GTPase-activating protein 17,ARHGAP17,sp|Q68EM7|RHG17_HUMAN Rho GTPase-activating protein 17 OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|I3L4P6|I3L4P6_HUMAN Rho GTPase-activating protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|C9IZD3|C9IZD3_HUMAN Rho GTPase-activati,2,2,3.2,4.20354318657847,4.29426065740498,24.4191192313905,23.3706597396773
Q66PJ3;F5GYV5;H7BZV4;A0A0C4DG62;F8WCT1;F8WEP2;A0A0C4DH18;F5H7X4,Q66PJ3;F5GYV5;H7BZV4;A0A0C4DG62;F8WCT1;F8WEP2;A0A0C4DH18;F5H7X4,2;2;2;2;2;1;1;1,2;2;2;2;2;1;1;1,2;2;2;2;2;1;1;1,ADP-ribosylation factor-like protein 6-interacting protein 4,ARL6IP4,sp|Q66PJ3|AR6P4_HUMAN ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens OX=9606 GN=ARL6IP4 PE=1 SV=2;tr|F5GYV5|F5GYV5_HUMAN ADP-ribosylation factor-like protein 6-interacting protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=ARL6IP,2,2,7.4,23.8390361275642,25.5908652361481,4.42963131265863,4.37131702904701
Q9NVP2;K7ELW9;K7EM93;K7EIL9;K7ES22,Q9NVP2;K7ELW9;K7EM93;K7EIL9;K7ES22,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,Histone chaperone ASF1B,ASF1B,sp|Q9NVP2|ASF1B_HUMAN Histone chaperone ASF1B OS=Homo sapiens OX=9606 GN=ASF1B PE=1 SV=1;tr|K7ELW9|K7ELW9_HUMAN Histone chaperone ASF1B OS=Homo sapiens OX=9606 GN=ASF1B PE=1 SV=1;tr|K7EM93|K7EM93_HUMAN Histone chaperone ASF1B OS=Homo sapiens OX=9606 GN=ASF,2,2,17.3,23.8556684549649,23.745093258622,4.42963131265863,4.37131702904701
P18846;P16220;E9PAR2;G5E998,P18846;P16220;E9PAR2;G5E998,2;1;1;1,2;1;1;1,2;1;1;1,Cyclic AMP-dependent transcription factor ATF-1;Cyclic AMP-responsive element-binding protein 1,ATF1;CREB1;CREM,sp|P18846|ATF1_HUMAN Cyclic AMP-dependent transcription factor ATF-1 OS=Homo sapiens OX=9606 GN=ATF1 PE=1 SV=2;sp|P16220|CREB1_HUMAN Cyclic AMP-responsive element-binding protein 1 OS=Homo sapiens OX=9606 GN=CREB1 PE=1 SV=2;tr|E9PAR2|E9PAR2_HUMAN cAMP-resp,2,2,12.2,24.4374594990541,24.028252102753,23.510628004985,23.2874305756535
Q4VNC1;B7WPN9;F8W9W3,Q4VNC1;B7WPN9;F8W9W3,2;2;1,2;2;1,2;2;1,Probable cation-transporting ATPase 13A4,ATP13A4,sp|Q4VNC1|AT134_HUMAN Probable cation-transporting ATPase 13A4 OS=Homo sapiens OX=9606 GN=ATP13A4 PE=2 SV=3;tr|B7WPN9|B7WPN9_HUMAN Cation-transporting ATPase OS=Homo sapiens OX=9606 GN=ATP13A4 PE=1 SV=1;tr|F8W9W3|F8W9W3_HUMAN Probable cation-transporting A,2,2,2.9,21.9905776693646,23.3519162219771,23.6436140178779,24.2193320916547
H7C5W9;P16615,H7C5W9;P16615,2;1,2;1,2;1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,tr|H7C5W9|H7C5W9_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1;sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,2,2,3.3,4.20354318657847,4.29426065740498,24.0383356317693,21.1735307515394
Q01814;A0A2U3U055;A0A2U3TZI3;A0A2R8Y4R4,Q01814;A0A2U3U055;A0A2U3TZI3;A0A2R8Y4R4,3;3;3;2,2;2;2;1,2;2;2;1,Plasma membrane calcium-transporting ATPase 2,ATP2B2,sp|Q01814|AT2B2_HUMAN Plasma membrane calcium-transporting ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2B2 PE=1 SV=2;tr|A0A2U3U055|A0A2U3U055_HUMAN Calcium-transporting ATPase OS=Homo sapiens OX=9606 GN=ATP2B2 PE=1 SV=1;tr|A0A2U3TZI3|A0A2U3TZI3_HUMAN Calcium-tr,3,2,2.7,23.8575870333509,24.1797997760729,4.42963131265863,4.37131702904701
P21283,P21283,2,2,2,V-type proton ATPase subunit C 1,ATP6V1C1,sp|P21283|VATC1_HUMAN V-type proton ATPase subunit C 1 OS=Homo sapiens OX=9606 GN=ATP6V1C1 PE=1 SV=4,2,2,5.5,23.9503980586474,24.4792651606411,22.0749619880174,21.9932065380096
H7C1I6,H7C1I6,4,2,2,,BAZ2B,tr|H7C1I6|H7C1I6_HUMAN Bromodomain adjacent to zinc finger domain protein 2B (Fragment) OS=Homo sapiens OX=9606 GN=BAZ2B PE=1 SV=1,4,2,39.1,24.5290401514444,24.5391356136057,4.42963131265863,4.37131702904701
O75934,O75934,2,2,2,Pre-mRNA-splicing factor SPF27,BCAS2,sp|O75934|SPF27_HUMAN Pre-mRNA-splicing factor SPF27 OS=Homo sapiens OX=9606 GN=BCAS2 PE=1 SV=1,2,2,14.7,4.20354318657847,4.29426065740498,23.2085415881129,24.0651320950653
Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Bcl-2-like protein 2,BCL2L2,sp|Q92843|B2CL2_HUMAN Bcl-2-like protein 2 OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=2;tr|G3V3B7|G3V3B7_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=1;tr|G3V3G8|G3V3G8_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens,2,2,16.6,22.7795654758791,23.5884209864677,25.7820429794854,25.5113822922466
Q5H9F3;H7C4B2;A0A075B6Q3,Q5H9F3;H7C4B2;A0A075B6Q3,2;2;2,2;2;2,2;2;2,BCL-6 corepressor-like protein 1,BCORL1,sp|Q5H9F3|BCORL_HUMAN BCL-6 corepressor-like protein 1 OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=1;tr|H7C4B2|H7C4B2_HUMAN BCL-6 corepressor-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=1;tr|A0A075B6Q3|A0A075B6Q3_HUMAN BCL-6 corepress,2,2,1.7,22.8031362661628,21.7664011168678,4.42963131265863,4.37131702904701
Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|H3BPT9|H3BPT9_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV,2,2,29.1,21.9599609098238,22.6434158469941,24.2604050335537,23.1003870803596
O95861;A6NF51;F8VRY7;F8VVW8,O95861;A6NF51;F8VRY7;F8VVW8,2;2;1;1,2;2;1;1,2;2;1;1,"3(2),5-bisphosphate nucleotidase 1",BPNT1,"sp|O95861|BPNT1_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1;tr|A6NF51|A6NF51_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=2;tr|F8VRY7|F8VRY7_HUMAN 3(2),5-bisphosphate nuc",2,2,12.0,4.20354318657847,4.29426065740498,23.2583935074264,25.183098319448
Q8TDN6,Q8TDN6,2,2,2,Ribosome biogenesis protein BRX1 homolog,BRIX1,sp|Q8TDN6|BRX1_HUMAN Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens OX=9606 GN=BRIX1 PE=1 SV=2,2,2,5.7,23.2971211409586,23.8821302983762,4.42963131265863,4.37131702904701
Q9UPA5,Q9UPA5,2,2,2,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,2,2,0.9,4.20354318657847,4.29426065740498,23.7839669896107,24.735467191381
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,4.20354318657847,4.29426065740498,23.3280021005752,23.0454023982834
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ELS0|K7ELS0_HUMAN Telomerase RNA component-interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ERU7|K7ERU7_HUMAN Telomerase RNA comp,2,2,21.6,23.9427958247474,24.6041636301407,24.7162819267612,24.0197949881964
Q96PB1;F8WDQ7;F8WDW8,Q96PB1;F8WDQ7;F8WDW8,2;2;2,2;2;2,2;2;2,CAS1 domain-containing protein 1,CASD1,sp|Q96PB1|CASD1_HUMAN N-acetylneuraminate 9-O-acetyltransferase OS=Homo sapiens OX=9606 GN=CASD1 PE=1 SV=1;tr|F8WDQ7|F8WDQ7_HUMAN N-acetylneuraminate 9-O-acetyltransferase OS=Homo sapiens OX=9606 GN=CASD1 PE=1 SV=1;tr|F8WDW8|F8WDW8_HUMAN N-acetylneuraminat,2,2,1.4,23.7462215261033,25.1669892919616,25.4504183980319,25.9321770779463
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.20354318657847,4.29426065740498,23.7611137310158,22.8220930856658
Q03135;C9JKI3;E9PCT5,Q03135;C9JKI3;E9PCT5,2;1;1,2;1;1,2;1;1,Caveolin-1;Caveolin,CAV1,sp|Q03135|CAV1_HUMAN Caveolin-1 OS=Homo sapiens OX=9606 GN=CAV1 PE=1 SV=4;tr|C9JKI3|C9JKI3_HUMAN Caveolin (Fragment) OS=Homo sapiens OX=9606 GN=CAV1 PE=1 SV=1;tr|E9PCT5|E9PCT5_HUMAN Caveolin OS=Homo sapiens OX=9606 GN=CAV1 PE=1 SV=1,2,2,19.7,24.8756305025773,25.6233260443655,23.5869203979367,23.6589445079191
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.20354318657847,4.29426065740498,25.0788345594308,24.3987828270151
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.20354318657847,4.29426065740498,24.3118131598024,24.3126442452505
Q15834,Q15834,2,2,2,Coiled-coil domain-containing protein 85B,CCDC85B,sp|Q15834|CC85B_HUMAN Coiled-coil domain-containing protein 85B OS=Homo sapiens OX=9606 GN=CCDC85B PE=1 SV=2,2,2,16.3,22.7399470976117,22.9935002585955,23.1847108043905,21.9285357241351
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2,2,15.0,4.20354318657847,4.29426065740498,24.5936031234191,24.6954581299705
P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,20.5,4.20354318657847,4.29426065740498,23.7613166702539,24.1335944139335
P11802;F8VYH9;F8VTV8;F8VWX7;F8VYY1;Q96BE9;F8W1L8,P11802;F8VYH9;F8VTV8;F8VWX7;F8VYY1;Q96BE9;F8W1L8,3;3;3;3;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Cyclin-dependent kinase 4,CDK4,sp|P11802|CDK4_HUMAN Cyclin-dependent kinase 4 OS=Homo sapiens OX=9606 GN=CDK4 PE=1 SV=2;tr|F8VYH9|F8VYH9_HUMAN Cyclin-dependent kinase 4 (Fragment) OS=Homo sapiens OX=9606 GN=CDK4 PE=1 SV=1;tr|F8VTV8|F8VTV8_HUMAN Cyclin-dependent kinase 4 OS=Homo sapiens,3,2,18.2,23.6885918158316,25.5870062700859,25.802737810424,25.3835049683201
Q9Y232,Q9Y232,2,2,2,Chromodomain Y-like protein,CDYL,sp|Q9Y232|CDYL_HUMAN Chromodomain Y-like protein OS=Homo sapiens OX=9606 GN=CDYL PE=1 SV=2,2,2,5.7,23.1949185301856,23.8879992672132,4.42963131265863,4.37131702904701
Q92674,Q92674,2,2,2,Centromere protein I,CENPI,sp|Q92674|CENPI_HUMAN Centromere protein I OS=Homo sapiens OX=9606 GN=CENPI PE=1 SV=2,2,2,3.3,22.7935636027133,21.6624041316464,4.42963131265863,4.37131702904701
Q53EZ4;H0Y432,Q53EZ4;H0Y432,2;2,2;2,2;2,Centrosomal protein of 55 kDa,CEP55,sp|Q53EZ4|CEP55_HUMAN Centrosomal protein of 55 kDa OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=3;tr|H0Y432|H0Y432_HUMAN Centrosomal protein of 55 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=1,2,2,6.5,4.20354318657847,4.29426065740498,24.3376289790479,22.7906436078291
Q96G28;B5MC35;B5MD16;B5MCA1,Q96G28;B5MC35;B5MD16;B5MCA1,2;1;1;1,2;1;1;1,2;1;1;1,Cilia- and flagella-associated protein 36,CFAP36,sp|Q96G28|CFA36_HUMAN Cilia- and flagella-associated protein 36 OS=Homo sapiens OX=9606 GN=CFAP36 PE=1 SV=2;tr|B5MC35|B5MC35_HUMAN Cilia- and flagella-associated protein 36 OS=Homo sapiens OX=9606 GN=CFAP36 PE=1 SV=1;tr|B5MD16|B5MD16_HUMAN Cilia- and flage,2,2,9.9,4.20354318657847,4.29426065740498,23.6499849976521,24.7181126587086
Q96RK0;A0A0A0MQR4,Q96RK0;A0A0A0MQR4,31;30,2;1,2;1,Protein capicua homolog,CIC,sp|Q96RK0|CIC_HUMAN Protein capicua homolog OS=Homo sapiens OX=9606 GN=CIC PE=1 SV=2;tr|A0A0A0MQR4|A0A0A0MQR4_HUMAN Protein capicua homolog OS=Homo sapiens OX=9606 GN=CIC PE=1 SV=1,31,2,34.9,23.7503168948058,24.8727930295689,4.42963131265863,4.37131702904701
O14578;H7BYJ3,O14578;H7BYJ3,2;2,2;2,2;2,Citron Rho-interacting kinase,CIT,sp|O14578|CTRO_HUMAN Citron Rho-interacting kinase OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=2;tr|H7BYJ3|H7BYJ3_HUMAN Citron Rho-interacting kinase (Fragment) OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=1,2,2,1.1,4.20354318657847,4.29426065740498,24.0806653135036,21.3780894896174
Q8N2M8;K7EM61;F5H0Q6;A0A0A0MQS2;K7EKC9,Q8N2M8;K7EM61;F5H0Q6;A0A0A0MQS2;K7EKC9,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,CLK4-associating serine/arginine rich protein,CLASRP,sp|Q8N2M8|CLASR_HUMAN CLK4-associating serine/arginine rich protein OS=Homo sapiens OX=9606 GN=CLASRP PE=1 SV=4;tr|K7EM61|K7EM61_HUMAN CLK4-associating serine/arginine-rich protein (Fragment) OS=Homo sapiens OX=9606 GN=CLASRP PE=1 SV=2;tr|F5H0Q6|F5H0Q6_HUM,2,2,5.5,23.2901054928166,23.285738595349,4.42963131265863,4.37131702904701
Q9P218,Q9P218,2,2,2,Collagen alpha-1(XX) chain,COL20A1,sp|Q9P218|COKA1_HUMAN Collagen alpha-1(XX) chain OS=Homo sapiens OX=9606 GN=COL20A1 PE=1 SV=4,2,2,3.8,26.5414712441836,26.7755156173849,22.9186347125084,23.4603963354769
P05997,P05997,2,2,2,Collagen alpha-2(V) chain,COL5A2,sp|P05997|CO5A2_HUMAN Collagen alpha-2(V) chain OS=Homo sapiens OX=9606 GN=COL5A2 PE=1 SV=3,2,2,2.6,24.0236914191629,25.0401984398538,23.1841204737635,24.1830103814064
Q92793;I3L466;I3L293;I3L3I5;I3L0Q1,Q92793;I3L466,3;2;1;1;1,3;2;1;1;1,2;2;1;1;1,CREB-binding protein,CREBBP,sp|Q92793|CBP_HUMAN CREB-binding protein OS=Homo sapiens OX=9606 GN=CREBBP PE=1 SV=3;tr|I3L466|I3L466_HUMAN CREB-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=CREBBP PE=1 SV=2,3,2,2.5,20.6258693396669,24.4691131412887,27.346494798359,27.1229732981769
Q5TZA2;B1AKD8;A0A087WW81,Q5TZA2;B1AKD8;A0A087WW81,2;2;1,2;2;1,2;2;1,Rootletin,CROCC,sp|Q5TZA2|CROCC_HUMAN Rootletin OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=1;tr|B1AKD8|B1AKD8_HUMAN Rootletin (Fragment) OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=2;tr|A0A087WW81|A0A087WW81_HUMAN Rootletin (Fragment) OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=6,2,2,1.0,25.3978095424609,25.9133070808329,25.5081511709835,25.2228405876449
