Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity TLE1-N1,Intensity TLE1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|H3BPT9|H3BPT9_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV,2,2,29.1,4.55156783181132,4.41900817165282,24.2604050335537,23.1003870803596
P15056;H7C560;A0A2U3TZI2;A0A2R8Y8E0;A0A2R8Y467;A0A2R8YDP5;A0A2R8YES9;H7C5K3,P15056;H7C560;A0A2U3TZI2;A0A2R8Y8E0;A0A2R8Y467;A0A2R8YDP5,3;3;3;3;2;2;1;1,2;2;2;2;2;2;1;1,2;2;2;2;2;2;1;1,Serine/threonine-protein kinase B-raf,BRAF,sp|P15056|BRAF_HUMAN Serine/threonine-protein kinase B-raf OS=Homo sapiens OX=9606 GN=BRAF PE=1 SV=4;tr|H7C560|H7C560_HUMAN Serine/threonine-protein kinase B-raf OS=Homo sapiens OX=9606 GN=BRAF PE=1 SV=2;tr|A0A2U3TZI2|A0A2U3TZI2_HUMAN Serine/threonine-prot,3,2,7.7,25.8356913460965,24.827769836578,23.6745448766351,23.59155341343
O60477,O60477,2,2,2,BMP/retinoic acid-inducible neural-specific protein 1,BRINP1,sp|O60477|BRNP1_HUMAN BMP/retinoic acid-inducible neural-specific protein 1 OS=Homo sapiens OX=9606 GN=BRINP1 PE=1 SV=2,2,2,4.6,25.3338132245783,24.3335402841166,4.43729856701432,4.39899271413031
Q9UPA5,Q9UPA5,2,2,2,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,2,2,0.9,4.55156783181132,4.41900817165282,23.7839669896107,24.735467191381
Q06187;Q5JY90;U3NG26,Q06187;Q5JY90;U3NG26,3;2;2,2;1;1,2;1;1,Tyrosine-protein kinase BTK;Non-specific protein-tyrosine kinase,BTK,sp|Q06187|BTK_HUMAN Tyrosine-protein kinase BTK OS=Homo sapiens OX=9606 GN=BTK PE=1 SV=3;tr|Q5JY90|Q5JY90_HUMAN Tyrosine-protein kinase OS=Homo sapiens OX=9606 GN=BTK PE=1 SV=1;tr|U3NG26|U3NG26_HUMAN Tyrosine-protein kinase OS=Homo sapiens OX=9606 GN=BTK P,3,2,6.8,4.55156783181132,4.41900817165282,24.4942407116547,24.4284782563017
E9PSC8;Q6ZUT1;E9PKA8,E9PSC8;Q6ZUT1;E9PKA8,2;1;1,2;1;1,2;1;1,Uncharacterized protein C11orf57,C11orf57,tr|E9PSC8|E9PSC8_HUMAN Uncharacterized protein NKAPD1 (Fragment) OS=Homo sapiens OX=9606 GN=NKAPD1 PE=1 SV=1;sp|Q6ZUT1|NKAP1_HUMAN Uncharacterized protein NKAPD1 OS=Homo sapiens OX=9606 GN=NKAPD1 PE=1 SV=2;tr|E9PKA8|E9PKA8_HUMAN Uncharacterized protein NKA,2,2,30.1,24.0217445191144,23.702551199569,4.43729856701432,4.39899271413031
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,4.55156783181132,4.41900817165282,23.3280021005752,23.0454023982834
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,4.55156783181132,4.41900817165282,23.4612646017837,24.3673971534476
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,4.55156783181132,4.41900817165282,25.1809236132093,24.3178966976681
Q9H6R7,Q9H6R7,2,2,2,WD repeat and coiled-coil-containing protein C2orf44,C2orf44,sp|Q9H6R7|WDCP_HUMAN WD repeat and coiled-coil-containing protein OS=Homo sapiens OX=9606 GN=WDCP PE=1 SV=1,2,2,2.9,25.3583700409376,24.2686507114053,4.43729856701432,4.39899271413031
Q13555;Q8WU40;Q5SWX3;A0A2Q3DQE3;Q13554;H0Y6G2;H7C394,Q13555;Q8WU40;Q5SWX3;A0A2Q3DQE3;Q13554;H0Y6G2,3;3;3;3;2;2;1,3;3;3;3;2;2;1,2;2;2;2;1;2;1,Calcium/calmodulin-dependent protein kinase type II subunit gamma;Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK2G;CAMK2B,sp|Q13555|KCC2G_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=4;tr|Q8WU40|Q8WU40_HUMAN CAMK2G protein (Fragment) OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=2;tr|Q5SWX3|Q5SWX3_HUMAN Calcium/,3,2,5.9,4.55156783181132,4.41900817165282,24.916021208057,23.8738953948087
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.55156783181132,4.41900817165282,23.7611137310158,22.8220930856658
Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,Chromobox protein homolog 3;Chromobox protein homolog 1,CBX3;CBX1,"sp|Q13185|CBX3_HUMAN Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4;sp|P83916|CBX1_HUMAN Chromobox protein homolog 1 OS=Homo sapiens OX=9606 GN=CBX1 PE=1 SV=1;tr|B8ZZ43|B8ZZ43_HUMAN Chromobox homolog 3 (HP1 gamma homolog, Drosophila)",2,2,16.4,24.5704533323934,23.870449760018,24.9146989939742,25.2625929734968
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.55156783181132,4.41900817165282,25.5615662447535,24.3987828270151
O60583;F8WDY7;F2Z2C9;C9JUL2;H7BZ27,O60583;F8WDY7;F2Z2C9,4;2;2;1;1,2;1;1;0;0,2;1;1;0;0,Cyclin-T2,CCNT2,sp|O60583|CCNT2_HUMAN Cyclin-T2 OS=Homo sapiens OX=9606 GN=CCNT2 PE=1 SV=2;tr|F8WDY7|F8WDY7_HUMAN Cyclin-T2 OS=Homo sapiens OX=9606 GN=CCNT2 PE=1 SV=1;tr|F2Z2C9|F2Z2C9_HUMAN Cyclin-T2 OS=Homo sapiens OX=9606 GN=CCNT2 PE=1 SV=1,4,2,8.1,26.1199497113345,24.3265627980563,4.43729856701432,4.39899271413031
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2,2,15.0,4.55156783181132,4.41900817165282,24.5936031234191,24.6954581299705
P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,20.5,4.55156783181132,4.41900817165282,23.7613166702539,24.1335944139335
P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;K7ELV5;G3V317,P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;K7ELV5,4;4;3;3;2;1,2;2;1;1;0;0,2;2;1;1;0;0,Cyclin-dependent kinase 1,CDK1;CDC2;CDK3,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|E5RIU6|E5RIU6_HUMAN Cyclin-depend",4,2,17.5,4.55156783181132,4.41900817165282,21.9130924698339,23.099071016264
Q8IVW4;E7ET86;E5RGK4;B4DX41,Q8IVW4;E7ET86;E5RGK4;B4DX41,2;2;1;1,2;2;1;1,2;2;1;1,Cyclin-dependent kinase-like 3,CDKL3,sp|Q8IVW4|CDKL3_HUMAN Cyclin-dependent kinase-like 3 OS=Homo sapiens OX=9606 GN=CDKL3 PE=1 SV=1;tr|E7ET86|E7ET86_HUMAN Cyclin-dependent kinase-like 3 OS=Homo sapiens OX=9606 GN=CDKL3 PE=1 SV=1;tr|E5RGK4|E5RGK4_HUMAN Cyclin-dependent kinase-like 3 OS=Homo s,2,2,6.8,24.098364340286,24.0235328558374,24.3593684563577,24.1251826325151
Q9NXV6;J3KNE1;D6RGD2,Q9NXV6;J3KNE1;D6RGD2,2;1;1,2;1;1,2;1;1,CDKN2A-interacting protein,CDKN2AIP,sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3;tr|J3KNE1|J3KNE1_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=1;tr|D6RGD2|D6RGD2_HUMAN CDKN2A-interacting protein OS=Homo sapiens,2,2,5.9,23.5131608481602,22.9562605775089,24.086022162004,24.2216242897802
