Gene_names,DCAF7_vs_BirA_logFC,DCAF7_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_R10K8_N1,Peptides_BirA_alone_R10K8_N2,Peptides_DCAF7_R10K8_N2_04_02,Peptides_DCAF7_R10K8_N2_20_01,Razor___unique_peptides_BirA_alone_R10K8_N1,Razor___unique_peptides_BirA_alone_R10K8_N2,Razor___unique_peptides_DCAF7_R10K8_N2_04_02,Razor___unique_peptides_DCAF7_R10K8_N2_20_01,Unique_peptides_BirA_alone_R10K8_N1,Unique_peptides_BirA_alone_R10K8_N2,Unique_peptides_DCAF7_R10K8_N2_04_02,Unique_peptides_DCAF7_R10K8_N2_20_01,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_R10K8_N1,Identification_type_BirA_alone_R10K8_N2,Identification_type_DCAF7_R10K8_N2_04_02,Identification_type_DCAF7_R10K8_N2_20_01,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_R10K8_N1,Ratio_H_L_BirA_alone_R10K8_N2,Ratio_H_L_DCAF7_R10K8_N2_04_02,Ratio_H_L_DCAF7_R10K8_N2_20_01,Ratio_H_L_normalized_BirA_alone_R10K8_N1,Ratio_H_L_normalized_BirA_alone_R10K8_N2,Ratio_H_L_normalized_DCAF7_R10K8_N2_04_02,Ratio_H_L_normalized_DCAF7_R10K8_N2_20_01,Ratio_H_L_variability_____BirA_alone_R10K8_N1,Ratio_H_L_variability_____BirA_alone_R10K8_N2,Ratio_H_L_variability_____DCAF7_R10K8_N2_04_02,Ratio_H_L_variability_____DCAF7_R10K8_N2_20_01,Ratio_H_L_count_BirA_alone_R10K8_N1,Ratio_H_L_count_BirA_alone_R10K8_N2,Ratio_H_L_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_iso_count_BirA_alone_R10K8_N1,Ratio_H_L_iso_count_BirA_alone_R10K8_N2,Ratio_H_L_iso_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_iso_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_type_BirA_alone_R10K8_N1,Ratio_H_L_type_BirA_alone_R10K8_N2,Ratio_H_L_type_DCAF7_R10K8_N2_04_02,Ratio_H_L_type_DCAF7_R10K8_N2_20_01,Sequence_coverage_BirA_alone_R10K8_N1____,Sequence_coverage_BirA_alone_R10K8_N2____,Sequence_coverage_DCAF7_R10K8_N2_04_02____,Sequence_coverage_DCAF7_R10K8_N2_20_01____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_R10K8_N1,Intensity_L_BirA_alone_R10K8_N1,Intensity_H_BirA_alone_R10K8_N1,Intensity_BirA_alone_R10K8_N2,Intensity_L_BirA_alone_R10K8_N2,Intensity_H_BirA_alone_R10K8_N2,Intensity_DCAF7_R10K8_N2_04_02,Intensity_L_DCAF7_R10K8_N2_04_02,Intensity_H_DCAF7_R10K8_N2_04_02,Intensity_DCAF7_R10K8_N2_20_01,Intensity_L_DCAF7_R10K8_N2_20_01,Intensity_H_DCAF7_R10K8_N2_20_01,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF7_R10K8_N2_04_02,metacell_Intensity_L_DCAF7_R10K8_N2_20_01,metacell_Intensity_L_BirA_alone_R10K8_N1,metacell_Intensity_L_BirA_alone_R10K8_N2
DDX27,1.01059731680006,0.0239531649566062,Q96GQ7;B7Z6D5;A0A087X059,Q96GQ7;B7Z6D5;A0A087X059,10;10;5,10;10;5,10;10;5,Probable ATP-dependent RNA helicase DDX27,sp|Q96GQ7|DDX27_HUMAN Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2;tr|B7Z6D5|B7Z6D5_HUMAN Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=1;tr|A0A087X059|A0A087X059_HUMAN Probable A,3,10,10,10,3,3,6,7,3,3,6,7,3,3,6,7,13.3,13.3,13.3,89.834,796,796;765;275,0.0,16.597,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.6817,1.6731,15.91,19,6,Leave out requantified,0.53412,0.6533,0.80913,1.0989,1.3584,1.7192,1.6241,1.8437,11.609,18.689,20.339,13.948,3,3,6,7,0,0,2,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,5.8,5.8,8.3,10.1,1121100000,498130000,622990000,63831000,39709000,24122000,92210000,48037000,44173000,415140000,255240000,159900000,549940000,155140000,394800000,,,,424,200;342;1085;1456;7894;7895;8412;17361;18522;19863,True;True;True;True;True;True;True;True;True;True,210;365;1164;1576;8637;8638;9217;18845;20091;21572,521;522;923;924;3125;3126;3127;4324;4325;22635;22636;22637;22638;24300;49731;49732;53094;53095;57248,1064;1065;1066;1940;1941;1942;1943;1944;6517;6518;6519;6520;6521;6522;8975;8976;8977;46754;46755;46756;46757;46758;46759;46760;50408;102155;102156;102157;109541;109542;109543;118558,1065;1944;6519;8975;46754;46758;50408;102157;109542;118558,,,,,-1;-1;-1,protein_425,quanti,quanti,quanti,quanti
RANBP3,-0.332011514297911,0.539054587800647,Q9H6Z4;B7Z7F3;K7ENJ2;K7EID7;K7ENB9;K7EPW1;K7ESQ0;K7EN31,Q9H6Z4;B7Z7F3,3;3;1;1;1;1;1;1,3;3;1;1;1;1;1;1,3;3;1;1;1;1;1;1,Ran-binding protein 3,sp|Q9H6Z4|RANB3_HUMAN Ran-binding protein 3 OS=Homo sapiens OX=9606 GN=RANBP3 PE=1 SV=1;tr|B7Z7F3|B7Z7F3_HUMAN Ran-binding protein 3 OS=Homo sapiens OX=9606 GN=RANBP3 PE=1 SV=1,8,3,3,3,1,2,2,2,1,2,2,2,1,2,2,2,7.8,7.8,7.8,60.209,567,567;494;62;73;74;108;122;171,0.0,5.6219,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40388,1.0127,14.652,7,2,Leave out requantified,0.28831,0.40664,0.37244,0.55238,0.8448,1.0527,0.80104,0.95006,,9.1626,4.7677,14.559,1,2,2,2,0,0,1,1,Median,Median,Median,Median,2.5,4.2,6.0,6.0,279070000,182080000,96998000,26227000,18588000,7639000,79063000,51892000,27171000,81383000,55421000,25962000,92400000,56174000,36225000,,,,425,413;11662;17196,True;True;True,443;12751;18674,1149;1150;33923;49263;49264;49265;49266,2430;2431;70256;101170;101171;101172;101173;101174;101175,2430;70256;101171,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_426,quanti,quanti,quanti,quanti
ACADM,0.095402581281089,0.735601727875337,P11310;B7Z9I1;Q5T4U5;H0YDT5;E9PJM9,P11310;B7Z9I1;Q5T4U5,12;12;12;3;1,12;12;12;3;1,12;12;12;3;1,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial","sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|B7Z9I1|B7Z9I1_HUMAN Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|Q5",5,12,12,12,5,6,7,6,5,6,7,6,5,6,7,6,31.6,31.6,31.6,46.588,421,421;385;454;67;104,0.0,40.065,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41747,0.9751,18.152,23,9,Leave out requantified,0.31255,0.44277,0.45316,0.47568,1.0475,1.0663,1.1349,0.86274,22.652,12.075,29.317,25.854,5,5,7,6,2,0,4,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,13.5,16.4,24.0,21.4,1264300000,886300000,378040000,187620000,136580000,51042000,182060000,121620000,60436000,488620000,354870000,133750000,406040000,273230000,132810000,,,,426,670;1227;1688;2778;3721;4220;6185;6186;9236;14449;18300;18770,True;True;True;True;True;True;True;True;True;True;True;True,713;1326;1831;3029;4047;4577;6733;6734;10095;15725;19850;20360,1854;1855;3605;5124;5125;5126;5127;8330;8331;10800;10801;12019;12020;17679;17680;26590;26591;26592;26593;41629;41630;52404;52405;53866,3783;3784;3785;3786;7493;10900;10901;10902;10903;10904;10905;10906;10907;10908;10909;10910;10911;17528;17529;17530;22470;22471;24778;24779;24780;36611;36612;55120;55121;55122;55123;55124;55125;85785;85786;85787;85788;85789;107976;107977;107978;107979;111258,3786;7493;10909;17530;22471;24778;36611;36612;55120;85788;107977;111258,,,,,-1;-1;-1;-1;-1,protein_427,quanti,quanti,quanti,quanti
IMP4,19.6894007851261,2.66014995006408e-06,Q96G21;B9A008;E7ENR5;B8ZZ47;H0Y714,Q96G21;B9A008;E7ENR5;B8ZZ47;H0Y714,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,U3 small nucleolar ribonucleoprotein protein IMP4,sp|Q96G21|IMP4_HUMAN U3 small nucleolar ribonucleoprotein protein IMP4 OS=Homo sapiens OX=9606 GN=IMP4 PE=1 SV=1;tr|B9A008|B9A008_HUMAN U3 small nucleolar ribonucleoprotein protein IMP4 (Fragment) OS=Homo sapiens OX=9606 GN=IMP4 PE=1 SV=1;tr|E7ENR5|E7ENR5_,5,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,14.1,14.1,14.1,33.756,291,291;172;236;248;280,0.0049483,1.8862,,,By MS/MS,By MS/MS,1.0502,1.9135,15.307,4,3,Median,,,0.98197,1.0754,,,2.2574,1.8018,,,,12.481,0,0,1,3,0,0,1,2,Median,Median,Median,Median,0.0,0.0,4.8,14.1,144920000,66626000,78293000,0,0,0,0,0,0,40525000,21139000,19386000,104390000,45488000,58907000,,,,428,6832;19477,True;True,7445;21136,19511;56026;56027;56028,40211;40212;115892;115893;115894;115895,40211;115893,,,,,-1;-1;-1;-1;-1,protein_429,quanti,quanti,imputed MEC,imputed MEC
SUMO1,-1.12600032822219,0.00984146807476842,P63165;B8ZZN6;B8ZZ67;G2XKQ0;B8ZZJ0;B9A032,P63165;B8ZZN6;B8ZZ67;G2XKQ0,3;3;2;2;1;1,3;3;2;2;1;1,3;3;2;2;1;1,Small ubiquitin-related modifier 1;Small ubiquitin-related modifier,sp|P63165|SUMO1_HUMAN Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1;tr|B8ZZN6|B8ZZN6_HUMAN Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1;tr|B8ZZ67|B8ZZ67_HUMAN SMT3 suppressor of mif two 3 hom,6,3,3,3,3,3,2,2,3,3,2,2,3,3,2,2,27.7,27.7,27.7,11.557,101,101;146;62;101;58;77,0.0,3.8646,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.92977,2.3978,4.9078,11,4,Leave out requantified,0.84024,0.92977,1.013,1.2864,2.7697,2.5343,2.4573,2.2981,14.244,12.558,3.4662,11.988,4,3,2,2,2,1,1,0,Median,Median,Median,Median,27.7,27.7,18.8,18.8,632340000,304690000,327640000,143160000,77409000,65749000,148830000,72223000,76611000,160780000,80497000,80279000,179570000,74565000,105000000,,,,432,4997;14832;19391,True;True;True,5414;16141;21028,14105;14106;14107;14108;42662;42663;42664;55677;55678;55679;55680,28920;28921;28922;28923;28924;28925;28926;87796;87797;87798;87799;115040;115041;115042;115043;115044;115045,28925;87798;115040,,,,,-1;-1;-1;-1;-1;-1,protein_433,quanti,quanti,quanti,quanti
PTMA,-2.33690794426273,0.0122977013291108,P06454;B8ZZQ6;B8ZZA1;B8ZZW7;H7C2N1,P06454;B8ZZQ6,4;4;1;1;1,4;4;1;1;1,4;4;1;1;1,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1",sp|P06454|PTMA_HUMAN Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=2;tr|B8ZZQ6|B8ZZQ6_HUMAN Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=1,5,4,4,4,3,3,2,1,3,3,2,1,3,3,2,1,26.1,26.1,26.1,12.203,111,111;107;131;136;148,0.0,67.574,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39631,1.0861,10.999,13,1,Leave out requantified,0.32808,0.39845,0.56577,0.52173,1.0769,0.98855,1.2008,0.99386,6.4432,13.244,13.856,,4,4,4,1,0,0,1,0,Leave out requantified,Leave out requantified,Median,Median,17.1,17.1,21.6,12.6,4216600000,2986300000,1230300000,1106100000,830080000,276040000,1617000000,1151200000,465820000,1081900000,749650000,332240000,411600000,255400000,156210000,,,,433,4484;15739;15740;15741,True;True;True;True,4864;17125;17126;17127,12658;45121;45122;45123;45124;45125;45126;45127;45128;45129;45130;45131;45132,26015;26016;26017;92693;92694;92695;92696;92697;92698;92699;92700;92701;92702;92703;92704;92705;92706;92707;92708;92709;92710;92711;92712;92713;92714;92715;92716;92717;92718;92719;92720;92721;92722;92723;92724;92725;92726;92727;92728;92729;92730;92731;92732;92733;92734;92735;92736;92737;92738;92739,26015;92715;92723;92739,,,,,-1;-1;-1;-1;-1,protein_434,quanti,quanti,quanti,quanti
HIBCH,0.45403768492131,0.639346560968743,Q6NVY1;B8ZZZ0;H7C400,Q6NVY1;B8ZZZ0,3;3;1,3;3;1,3;3;1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","sp|Q6NVY1|HIBCH_HUMAN 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBCH PE=1 SV=2;tr|B8ZZZ0|B8ZZZ0_HUMAN 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=HIBCH PE=1 SV=1",3,3,3,3,2,1,1,3,2,1,1,3,2,1,1,3,9.1,9.1,9.1,43.482,386,386;273;52,0.0,7.7308,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4056,0.7633,57.32,7,5,Median,0.31026,1.3158,0.4056,0.54675,0.64652,2.5653,0.77011,0.8633,23.482,,,43.204,2,1,1,3,2,1,1,1,Median,Median,Median,Plateau,5.7,2.8,2.8,9.1,138240000,91552000,46689000,18905000,14253000,4651400,13785000,6303200,7482200,22012000,15550000,6461700,83539000,55445000,28094000,,,,435,5040;9400;10829,True;True;True,5459;10277;11847,14226;14227;14228;27104;31445;31446;31447,29194;29195;29196;56192;56193;65192;65193;65194;65195;65196,29194;56192;65195,,,,,-1;-1;-1,protein_436,quanti,quanti,quanti,quanti
IMMT,0.365459062832851,0.361804810143066,Q16891;B9A067;C9J406;H7C463;A0A087WYS0;D6RAW4,Q16891;B9A067;C9J406;H7C463,11;11;10;9;4;1,11;11;10;9;4;1,11;11;10;9;4;1,MICOS complex subunit MIC60,sp|Q16891|MIC60_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1;tr|B9A067|B9A067_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=2;tr|C9J406|C9J406_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens OX=9,6,11,11,11,2,2,7,6,2,2,7,6,2,2,7,6,20.4,20.4,20.4,83.677,758,758;711;659;613;372;147,0.0,24.175,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37886,0.83377,25.974,20,5,Leave out requantified,0.25847,0.30387,0.36229,0.46964,0.78918,0.84492,0.83377,0.83179,33.425,37.147,18.349,26.151,3,3,8,6,0,0,3,2,Median,Median,Leave out requantified,Leave out requantified,4.0,4.0,12.0,12.7,1425200000,957830000,467360000,125660000,96244000,29416000,202660000,143170000,59491000,720390000,469080000,251320000,376470000,249330000,127130000,,,,437,4002;5462;6081;7004;10164;12026;15342;17823;18364;20080;20575,True;True;True;True;True;True;True;True;True;True;True,4346;5907;6610;7638;11132;13136;16698;19344;19918;21806;22344,11531;15377;17214;17215;19996;29482;29483;29484;29485;34884;34885;44039;51129;52586;52587;57839;59213;59214;59215;59216;59217;59218,23909;23910;31595;35587;35588;35589;41222;41223;61092;61093;72057;72058;90494;105331;108320;108321;108322;119837;122599;122600;122601;122602;122603;122604;122605;122606;122607,23909;31595;35588;41223;61093;72057;90494;105331;108320;119837;122604,,,,,-1;-1;-1;-1;-1;-1,protein_438,quanti,quanti,quanti,quanti
BZW1,1.67074117658225,0.00146669866468658,Q7L1Q6;C9IZ80,Q7L1Q6;C9IZ80,2;2,2;2,2;2,Basic leucine zipper and W2 domain-containing protein 1,sp|Q7L1Q6|BZW1_HUMAN Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1;tr|C9IZ80|C9IZ80_HUMAN Basic leucine zipper and W2 domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,5.7,5.7,5.7,48.043,419,419;294,0.0,9.983,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.5627,1.2175,43.212,6,2,Median,0.21608,0.29588,0.61262,0.73481,0.58914,0.71426,1.5042,1.3248,,,15.822,26.039,1,1,2,2,0,0,1,1,Median,Median,Median,Median,3.6,3.6,5.7,5.7,451380000,278560000,172820000,20148000,15745000,4402600,25158000,18298000,6860600,200980000,125640000,75338000,205090000,118870000,86220000,,,,440,11588;21103,True;True,12671;22902,33735;33736;60684;60685;60686;60687,69902;69903;69904;69905;125471;125472;125473;125474;125475;125476,69904;125471,,,,,-1;-1,protein_441,quanti,quanti,quanti,quanti
PFN2,0.0382965943280169,0.87806740067955,C9J0J7;G5E9Q6;C9JQ45;C9J2N0,C9J0J7;G5E9Q6;C9JQ45,6;6;3;1,6;6;3;1,3;3;0;0,Profilin,tr|C9J0J7|C9J0J7_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1;tr|G5E9Q6|G5E9Q6_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1;tr|C9JQ45|C9JQ45_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1,4,6,6,3,4,5,5,5,4,5,5,5,3,3,2,2,53.8,53.8,19.8,9.8402,91,91;188;110;125,0.0,27.525,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48769,1.1695,8.8698,19,2,Leave out requantified,0.40149,0.44593,0.4118,0.60456,1.3067,1.1645,1.0016,1.0858,2.8523,27.074,9.3262,6.0682,4,5,5,5,1,1,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,35.2,51.6,52.7,52.7,1504900000,989020000,515920000,201380000,151570000,49812000,220950000,145730000,75220000,537500000,368190000,169310000,545110000,323530000,221580000,,,,444,1546;2521;2522;3331;16792;17897,True;True;True;True;True;True,1682;2742;2743;3624;18247;19423,4645;4646;4647;4648;7585;7586;7587;7588;7589;7590;9817;9818;9819;48139;48140;48141;48142;51328;51329,9785;9786;9787;9788;9789;9790;9791;9792;16113;16114;16115;16116;16117;16118;16119;16120;20554;20555;20556;20557;20558;20559;20560;98951;98952;98953;98954;98955;98956;98957;98958;98959;105726;105727;105728;105729,9791;16116;16120;20559;98954;105726,,,,,-1;-1;-1;-1,protein_445,quanti,quanti,quanti,quanti
SRI,-0.0960510254295635,0.757558028345625,P30626;C9J0K6;B4DHQ6,P30626;C9J0K6,9;9;3,9;9;3,9;9;3,Sorcin,sp|P30626|SORCN_HUMAN Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1;tr|C9J0K6|C9J0K6_HUMAN Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1,3,9,9,9,5,5,7,7,5,5,7,7,5,5,7,7,45.5,45.5,45.5,21.676,198,198;155;158,0.0,24.44,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44012,0.95555,19.969,24,2,Leave out requantified,0.29569,0.52866,0.41642,0.48111,1.0123,1.2747,0.9215,0.863,25.269,44.488,19.9,22.866,5,5,7,7,1,0,1,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,36.9,36.9,30.3,34.8,1567200000,1035800000,531430000,270850000,169100000,101750000,232510000,162140000,70373000,473090000,315420000,157670000,590760000,389120000,201630000,,,,445,1509;1525;2661;4143;8966;12207;12208;14836;16088,True;True;True;True;True;True;True;True;True,1637;1655;2900;4496;9808;13326;13327;16145;17497,4493;4494;4547;4548;4549;4550;7982;7983;7984;11858;11859;25832;25833;25834;25835;35348;35349;35350;35351;35352;35353;42671;42672;46091,9333;9447;9448;9449;9450;9451;9452;9453;9454;9455;9456;9457;16848;16849;16850;16851;24520;24521;24522;24523;53445;53446;53447;53448;53449;53450;53451;53452;53453;53454;72954;72955;72956;72957;72958;72959;72960;72961;72962;72963;72964;72965;72966;72967;72968;72969;72970;87814;87815;94696,9333;9457;16848;24522;53453;72954;72968;87815;94696,,,,,-1;-1;-1,protein_446,quanti,quanti,quanti,quanti
EEF1E1;EEF1E1-BLOC1S5,0.702179803344848,0.0560990643830976,O43324;D6RBD7;C9J1V9;D6RCQ0;H0YAL7,O43324;D6RBD7;C9J1V9;D6RCQ0;H0YAL7,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Eukaryotic translation elongation factor 1 epsilon-1,sp|O43324|MCA3_HUMAN Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1;tr|D6RBD7|D6RBD7_HUMAN Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1;tr|C9J1V9|C9J1V9_H,5,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,12.1,12.1,12.1,19.81,174,174;150;151;94;136,0.0,6.773,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33458,0.80012,15.07,6,1,Leave out requantified,0.24622,0.26681,0.36752,0.46682,0.71924,0.6822,0.90463,0.8196,,,12.211,2.8361,1,1,2,2,0,0,0,1,Median,Median,Median,Median,6.3,6.3,12.1,12.1,344480000,240780000,103700000,26060000,20244000,5816600,40322000,32285000,8037400,135260000,97638000,37624000,142830000,90615000,52220000,,,,447,16;1112,True;True,16;1196,44;45;46;47;3231;3232,88;89;90;91;92;93;94;95;6768;6769;6770;6771;6772;6773,89;6773,,,,,-1;-1;-1;-1;-1,protein_448,quanti,quanti,quanti,quanti
NCAPH,1.08393119085748,0.0327277990995071,Q15003;C9J470;E9PHA2;C9JZP1,Q15003;C9J470;E9PHA2;C9JZP1,8;8;8;4,8;8;8;4,8;8;8;4,Condensin complex subunit 2,sp|Q15003|CND2_HUMAN Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=3;tr|C9J470|C9J470_HUMAN Condensin complex subunit 2 (Fragment) OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=8;tr|E9PHA2|E9PHA2_HUMAN Condensin complex subunit 2 OS=Homo ,4,8,8,8,2,4,5,5,2,4,5,5,2,4,5,5,13.5,13.5,13.5,82.562,741,741;607;730;216,0.0,14.988,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.59543,1.1334,8.6918,16,6,Leave out requantified,0.43556,0.68979,0.49583,0.63976,1.1476,1.5635,1.1534,1.1317,11.274,25.743,18.842,1.7849,2,4,5,5,1,3,2,0,Median,Median,Leave out requantified,Leave out requantified,3.2,6.5,8.6,10.7,630410000,383610000,246800000,37369000,23452000,13917000,80156000,45822000,34334000,237470000,159850000,77625000,275410000,154490000,120920000,,,,450,2205;5384;16146;16873;17059;17777;18903;19080,True;True;True;True;True;True;True;True,2389;5822;17561;18335;18528;19293;20506;20691,6618;15157;15158;15159;46281;46282;46283;48374;48375;48886;51011;51012;54277;54278;54705;54706,14017;31121;31122;31123;95169;95170;95171;99397;99398;100416;105011;105012;105013;105014;105015;105016;112189;113056;113057;113058;113059,14017;31121;95170;99398;100416;105014;112189;113059,,,,,-1;-1;-1;-1,protein_451,quanti,quanti,quanti,quanti
RPL37A,-1.09581574269888,0.0557851698718377,P61513;C9J4Z3;M0R0A1;Q6P4E4;E9PEL3;M0R2L6;G5E9R3;A6NKH3,P61513;C9J4Z3;M0R0A1;Q6P4E4;E9PEL3;M0R2L6,4;4;3;3;3;3;1;1,4;4;3;3;3;3;1;1,4;4;3;3;3;3;1;1,60S ribosomal protein L37a,sp|P61513|RL37A_HUMAN 60S ribosomal protein L37a OS=Homo sapiens OX=9606 GN=RPL37A PE=1 SV=2;tr|C9J4Z3|C9J4Z3_HUMAN 60S ribosomal protein L37a OS=Homo sapiens OX=9606 GN=RPL37A PE=1 SV=1;tr|M0R0A1|M0R0A1_HUMAN 60S ribosomal protein L37a OS=Homo sapiens OX=,8,4,4,4,2,3,4,4,2,3,4,4,2,3,4,4,42.4,42.4,42.4,10.275,92,92;68;60;72;75;88;58;93,0.0,24.104,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44159,0.97818,4.1689,19,0,Leave out requantified,0.27303,0.31146,0.45309,0.54621,1.0267,0.93916,1.1102,0.99125,8.0602,6.9601,19.561,1.3596,3,4,5,7,0,0,0,0,Median,Leave out requantified,Leave out requantified,Leave out requantified,21.7,41.3,42.4,42.4,3316300000,2383300000,933060000,700200000,560200000,139990000,768200000,575690000,192510000,636560000,456530000,180030000,1211400000,790830000,420530000,,,,451,2320;15218;18461;21636,True;True;True;True,2523;2524;2525;16563;20023;23476,7008;7009;7010;7011;7012;7013;7014;7015;7016;7017;43648;43649;52907;52908;52909;62210;62211;62212;62213,14951;14952;14953;14954;14955;14956;14957;14958;14959;14960;14961;14962;14963;14964;14965;14966;14967;14968;14969;14970;14971;14972;14973;14974;14975;14976;14977;14978;89641;89642;89643;89644;89645;89646;109114;109115;109116;109117;109118;109119;109120;128636;128637;128638;128639;128640;128641;128642;128643;128644;128645;128646;128647;128648;128649;128650;128651,14975;89645;109114;128651,,28,,61,-1;-1;-1;-1;-1;-1;-1;-1,protein_452,quanti,quanti,quanti,quanti
