Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity RBBP7_N1,Intensity RBBP7_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q6AI12,Q6AI12,2,2,2,Ankyrin repeat domain-containing protein 40,ANKRD40,sp|Q6AI12|ANR40_HUMAN Ankyrin repeat domain-containing protein 40 OS=Homo sapiens OX=9606 GN=ANKRD40 PE=1 SV=2,2,2,4.9,4.05855270270621,4.16046733447314,23.4332624725697,23.4547475015348
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.05855270270621,4.16046733447314,23.3003369184145,21.8010452032896
Q9NWB6,Q9NWB6,2,2,2,Arginine and glutamate-rich protein 1,ARGLU1,sp|Q9NWB6|ARGL1_HUMAN Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,2,2,5.9,23.74570878663,24.4281587437451,4.46703075912539,4.41961297623885
P52565;J3QQX2;J3KTF8;J3KRE2,P52565;J3QQX2;J3KTF8;J3KRE2,2;2;2;1,2;2;2;1,2;2;2;1,Rho GDP-dissociation inhibitor 1,ARHGDIA,sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3;tr|J3QQX2|J3QQX2_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=1;tr|J3KTF8|J3KTF8_HUMAN Rho GDP-dissociation inhibitor 1,2,2,14.2,22.89794835352,23.1725086940949,25.99595566793,26.137156577394
Q8TER5,Q8TER5,2,2,2,Rho guanine nucleotide exchange factor 40,ARHGEF40,sp|Q8TER5|ARH40_HUMAN Rho guanine nucleotide exchange factor 40 OS=Homo sapiens OX=9606 GN=ARHGEF40 PE=1 SV=3,2,2,1.6,4.05855270270621,4.16046733447314,24.3861941902528,23.2415014201461
P36404;V9GYD0,P36404;V9GYD0,2;1,2;1,2;1,ADP-ribosylation factor-like protein 2,ARL2;ARL2-SNX15,sp|P36404|ARL2_HUMAN ADP-ribosylation factor-like protein 2 OS=Homo sapiens OX=9606 GN=ARL2 PE=1 SV=4;tr|V9GYD0|V9GYD0_HUMAN ARL2-SNX15 readthrough (NMD candidate) OS=Homo sapiens OX=9606 GN=ARL2-SNX15 PE=3 SV=1,2,2,10.9,4.05855270270621,4.16046733447314,26.8676186079931,26.5916357922548
P27540,P27540,2,2,2,Aryl hydrocarbon receptor nuclear translocator,ARNT,sp|P27540|ARNT_HUMAN Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1,2,2,3.7,4.05855270270621,4.16046733447314,24.5999146577554,23.8311309294789
F5GXE4;B4E107;Q5SQQ1;B4DK25,F5GXE4;B4E107;Q5SQQ1;B4DK25,4;3;2;2,4;3;2;2,2;1;1;0,Arginyl-tRNA--protein transferase 1,ATE1,tr|F5GXE4|F5GXE4_HUMAN Arginyl-tRNA--protein transferase 1 OS=Homo sapiens OX=9606 GN=ATE1 PE=1 SV=1;tr|B4E107|B4E107_HUMAN Arginyl-tRNA--protein transferase 1 OS=Homo sapiens OX=9606 GN=ATE1 PE=1 SV=1;tr|Q5SQQ1|Q5SQQ1_HUMAN Arginyl-tRNA--protein transfera,4,2,13.3,23.4556322451014,24.1123529604029,25.262091116647,25.1318102781723
H7C5W9;P16615,H7C5W9;P16615,2;1,2;1,2;1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,tr|H7C5W9|H7C5W9_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1;sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,2,2,3.3,4.05855270270621,4.16046733447314,24.0383356317693,21.1735307515394
P21281;H0YC04;E5RGH6,P21281;H0YC04;E5RGH6,2;2;1,2;2;1,2;2;1,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,"sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1;tr|E5RGH6|E5RGH6",2,2,6.1,4.05855270270621,4.16046733447314,24.1196529398853,25.2221772795685
Q9UHR4,Q9UHR4,2,2,2,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1,BAIAP2L1,sp|Q9UHR4|BI2L1_HUMAN Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens OX=9606 GN=BAIAP2L1 PE=1 SV=2,2,2,5.5,24.6964666921389,25.9500409830365,23.7108053032863,22.9746680542382
Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|H3BPT9|H3BPT9_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV,2,2,29.1,22.1427053963065,24.2802967235553,24.2604050335537,23.1003870803596
O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,"3(2),5-bisphosphate nucleotidase 1",BPNT1,"sp|O95861|BPNT1_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1;tr|A6NF51|A6NF51_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=2;tr|F8VVW8|F8VVW8_HUMAN 3(2),5-bisphosphate nuc",2,2,6.2,4.05855270270621,4.16046733447314,23.2583935074264,24.6377122884933
P51587;A0A590UJI7,P51587;A0A590UJI7,2;2,2;2,2;2,Breast cancer type 2 susceptibility protein,BRCA2,sp|P51587|BRCA2_HUMAN Breast cancer type 2 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA2 PE=1 SV=3;tr|A0A590UJI7|A0A590UJI7_HUMAN Breast cancer type 2 susceptibility protein (Fragment) OS=Homo sapiens OX=9606 GN=BRCA2 PE=1 SV=1,2,2,1.1,24.3440609086678,25.4215288910656,4.46703075912539,4.41961297623885
Q9UPA5,Q9UPA5,2,2,2,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,2,2,0.9,4.05855270270621,4.16046733447314,23.7839669896107,24.735467191381
Q06187;Q5JY90;U3NG26,Q06187;Q5JY90;U3NG26,3;2;2,2;1;1,2;1;1,Tyrosine-protein kinase BTK;Non-specific protein-tyrosine kinase,BTK,sp|Q06187|BTK_HUMAN Tyrosine-protein kinase BTK OS=Homo sapiens OX=9606 GN=BTK PE=1 SV=3;tr|Q5JY90|Q5JY90_HUMAN Tyrosine-protein kinase OS=Homo sapiens OX=9606 GN=BTK PE=1 SV=1;tr|U3NG26|U3NG26_HUMAN Tyrosine-protein kinase OS=Homo sapiens OX=9606 GN=BTK P,3,2,6.8,4.05855270270621,4.16046733447314,24.492119156319,24.4284782563017
C9JUV8;O00478;P78410;O00481;C9JNZ3;S4R3N0;C9J877;C9JZT5,C9JUV8;O00478;P78410;O00481;C9JNZ3;S4R3N0;C9J877;C9JZT5,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,Butyrophilin subfamily 3 member A3;Butyrophilin subfamily 3 member A2;Butyrophilin subfamily 3 member A1,BTN3A3;BTN3A2;BTN3A1,tr|C9JUV8|C9JUV8_HUMAN Butyrophilin subfamily 3 member A3 (Fragment) OS=Homo sapiens OX=9606 GN=BTN3A3 PE=1 SV=1;sp|O00478|BT3A3_HUMAN Butyrophilin subfamily 3 member A3 OS=Homo sapiens OX=9606 GN=BTN3A3 PE=1 SV=1;sp|P78410|BT3A2_HUMAN Butyrophilin subfami,2,2,14.0,26.8273432350685,28.0117465335658,23.0339513256835,22.5298384812074
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,4.05855270270621,4.16046733447314,23.3280021005752,23.0454023982834
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,4.05855270270621,4.16046733447314,23.4612646017837,24.3673971534476
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ELS0|K7ELS0_HUMAN Telomerase RNA component-interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ERU7|K7ERU7_HUMAN Telomerase RNA comp,2,2,21.6,4.05855270270621,4.16046733447314,24.7162819267612,24.0197949881964
Q5T0J3,Q5T0J3,2,2,2,Putative uncharacterized protein C1orf220,C1orf220,sp|Q5T0J3|CA220_HUMAN Putative uncharacterized protein C1orf220 OS=Homo sapiens OX=9606 GN=C1orf220 PE=2 SV=1,2,2,18.7,23.4004125122988,23.1619253143803,25.1561877199422,24.9200260421356
Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,2;2;2;1,2;2;2;1,2;2;2;1,Protein C9orf72,C9orf72,sp|Q96LT7|CI072_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=2;tr|A0A5F9ZHW7|A0A5F9ZHW7_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=1;tr|A0A2R8Y5K2|A0A2R8Y5K2_HUMAN Guanine nu,2,2,5.6,4.05855270270621,4.16046733447314,22.7286853344371,22.3990828273411
Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,2;1;1;1,2;1;1;1,2;1;1;1,Cactin,CACTIN,sp|Q8WUQ7|CATIN_HUMAN Cactin OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=3;tr|K7EIU6|K7EIU6_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7EMQ0|K7EMQ0_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7ENY9|K7E,2,2,4.1,21.3275031019835,22.7914586280253,25.2995629219045,24.0666929644928
P31944,P31944,2,2,2,"Caspase-14;Caspase-14 subunit p17, mature form;Caspase-14 subunit p10, mature form;Caspase-14 subunit p20, intermediate form;Caspase-14 subunit p8, intermediate form",CASP14,sp|P31944|CASPE_HUMAN Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2,2,2,13.6,23.4758066434759,23.7269305291132,4.46703075912539,4.41961297623885
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.05855270270621,4.16046733447314,23.7611137310158,22.8220930856658
Q86V15,Q86V15,2,2,2,Zinc finger protein castor homolog 1,CASZ1,sp|Q86V15|CASZ1_HUMAN Zinc finger protein castor homolog 1 OS=Homo sapiens OX=9606 GN=CASZ1 PE=1 SV=4,2,2,1.9,21.808880927546,23.9845060766323,4.46703075912539,4.41961297623885
Q03135;C9JKI3;E9PCT5,Q03135;C9JKI3;E9PCT5,2;1;1,2;1;1,2;1;1,Caveolin-1;Caveolin,CAV1,sp|Q03135|CAV1_HUMAN Caveolin-1 OS=Homo sapiens OX=9606 GN=CAV1 PE=1 SV=4;tr|C9JKI3|C9JKI3_HUMAN Caveolin (Fragment) OS=Homo sapiens OX=9606 GN=CAV1 PE=1 SV=1;tr|E9PCT5|E9PCT5_HUMAN Caveolin OS=Homo sapiens OX=9606 GN=CAV1 PE=1 SV=1,2,2,19.7,25.2171927241981,24.543331129389,23.5869203979367,23.824659470119
Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,Chromobox protein homolog 3;Chromobox protein homolog 1,CBX3;CBX1,"sp|Q13185|CBX3_HUMAN Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4;sp|P83916|CBX1_HUMAN Chromobox protein homolog 1 OS=Homo sapiens OX=9606 GN=CBX1 PE=1 SV=1;tr|B8ZZ43|B8ZZ43_HUMAN Chromobox homolog 3 (HP1 gamma homolog, Drosophila)",2,2,16.4,4.05855270270621,4.16046733447314,24.9146989939742,25.2625929734968
Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,2;2;1;1,2;2;1;1,2;2;1;1,Cell division cycle and apoptosis regulator protein 1,CCAR1,sp|Q8IX12|CCAR1_HUMAN Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2;tr|A0A0C4DGG8|A0A0C4DGG8_HUMAN Cell division cycle and apoptosis regulator protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=,2,2,2.0,4.05855270270621,4.16046733447314,24.1833633919656,24.2177843867033
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.05855270270621,4.16046733447314,25.5615662447535,24.3987828270151
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.05855270270621,4.16046733447314,24.3118131598024,24.3126442452505
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2,2,15.0,4.05855270270621,4.16046733447314,24.5936031234191,24.6954581299705
Q96FF9;B5MBX0,Q96FF9;B5MBX0,2;2,2;2,2;2,Sororin,CDCA5,sp|Q96FF9|CDCA5_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1;tr|B5MBX0|B5MBX0_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1,2,2,15.1,4.05855270270621,4.16046733447314,23.9078405442646,21.9781993172643
P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;K7ELV5;G3V317,P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;K7ELV5,4;4;3;3;2;1,2;2;1;1;0;0,2;2;1;1;0;0,Cyclin-dependent kinase 1,CDK1;CDC2;CDK3,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|E5RIU6|E5RIU6_HUMAN Cyclin-depend",4,2,17.5,4.05855270270621,4.16046733447314,21.9130924698339,23.099071016264
Q9NYV4;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;J3QSD7;A0A2R8Y4Z0,Q9NYV4;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;J3QSD7;A0A2R8Y4Z0,3;2;2;2;2;2;2;2;2;2;2,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,Cyclin-dependent kinase 12;Cyclin-dependent kinase 13,CDK12;CDK13,sp|Q9NYV4|CDK12_HUMAN Cyclin-dependent kinase 12 OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=2;sp|Q14004|CDK13_HUMAN Cyclin-dependent kinase 13 OS=Homo sapiens OX=9606 GN=CDK13 PE=1 SV=2;tr|A0A2R8YEB7|A0A2R8YEB7_HUMAN Cyclin-dependent kinase 13 (Fragment) OS=,3,2,2.7,4.05855270270621,4.16046733447314,24.8146516958088,24.3059125583627
Q9NXV6;J3KNE1;D6RGD2,Q9NXV6;J3KNE1;D6RGD2,2;1;1,2;1;1,2;1;1,CDKN2A-interacting protein,CDKN2AIP,sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3;tr|J3KNE1|J3KNE1_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=1;tr|D6RGD2|D6RGD2_HUMAN CDKN2A-interacting protein OS=Homo sapiens,2,2,5.9,4.05855270270621,4.16046733447314,24.086022162004,24.2216242897802
P17676,P17676,2,2,2,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,2,2,8.7,4.05855270270621,4.16046733447314,24.6521206609293,24.3198270014465
Q9NZK5;C9IZA8;F5H7J3;B4E3Q4;A0A3B3IT96,Q9NZK5;C9IZA8;F5H7J3;B4E3Q4;A0A3B3IT96,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,Adenosine deaminase CECR1,CECR1,sp|Q9NZK5|ADA2_HUMAN Adenosine deaminase 2 OS=Homo sapiens OX=9606 GN=ADA2 PE=1 SV=2;tr|C9IZA8|C9IZA8_HUMAN Adenosine deaminase 2 (Fragment) OS=Homo sapiens OX=9606 GN=ADA2 PE=1 SV=1;tr|F5H7J3|F5H7J3_HUMAN Adenosine deaminase 2 (Fragment) OS=Homo sapiens O,2,2,2.9,23.3651902948505,23.6484497489079,21.6255572465437,22.8071884900718
Q02224;A0A087X0P0,Q02224;A0A087X0P0,2;2,2;2,2;2,Centromere-associated protein E;Kinesin-like protein,CENPE,sp|Q02224|CENPE_HUMAN Centromere-associated protein E OS=Homo sapiens OX=9606 GN=CENPE PE=1 SV=2;tr|A0A087X0P0|A0A087X0P0_HUMAN Centromere-associated protein E OS=Homo sapiens OX=9606 GN=CENPE PE=1 SV=1,2,2,1.3,23.0130786374451,25.3503319724067,4.46703075912539,4.41961297623885
