Gene_names,PWP1_vs_BirA_logFC,PWP1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_PWP1_N1,Peptides_PWP1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_PWP1_N1,Razor___unique_peptides_PWP1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_PWP1_N1,Unique_peptides_PWP1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_PWP1_N1,Identification_type_PWP1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_PWP1_N1,Ratio_H_L_PWP1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_PWP1_N1,Ratio_H_L_normalized_PWP1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____PWP1_N1,Ratio_H_L_variability_____PWP1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_PWP1_N1,Ratio_H_L_count_PWP1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_PWP1_N1,Ratio_H_L_iso_count_PWP1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_PWP1_N1,Ratio_H_L_type_PWP1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_PWP1_N1____,Sequence_coverage_PWP1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_PWP1_N1,Intensity_L_PWP1_N1,Intensity_H_PWP1_N1,Intensity_PWP1_N2,Intensity_L_PWP1_N2,Intensity_H_PWP1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_PWP1_N1,metacell_Intensity_L_PWP1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CTPS1,-1.43013881927733,0.0287558211059038,P17812;A0A3B3IRI2;A0A3B3IRQ8;A0A3B3ITF6;B4E1E0;A0A3B3ITB8;A0A3B3ITH9;A0A3B3ISY3;Q9NRF8,P17812;A0A3B3IRI2;A0A3B3IRQ8;A0A3B3ITF6;B4E1E0;A0A3B3ITB8,21;21;18;18;15;13;5;3;2,21;21;18;18;15;13;5;3;2,21;21;18;18;15;13;5;3;2,CTP synthase 1;CTP synthase,sp|P17812|PYRG1_HUMAN CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2;tr|A0A3B3IRI2|A0A3B3IRI2_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr|A0A3B3IRQ8|A0A3B3IRQ8_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr,9,21,21,21,17,14,10,14,17,14,10,14,17,14,10,14,49.1,49.1,49.1,66.69,591,591;564;451;461;435;335;111;89;586,0.0,62.862,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28198,0.81065,24.449,59,16,Leave out requantified,0.23663,0.21707,0.30183,0.36372,0.85794,0.62721,0.86788,0.98958,24.14,29.749,20.288,19.304,17,15,12,15,6,5,4,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,39.4,32.3,23.9,33.7,4675800000,3541700000,1134000000,1046900000,839100000,207760000,1282200000,1024100000,258150000,699480000,526540000,172940000,1647200000,1152000000,495180000,,,,314,1213;4944;5734;5941;6434;6995;8190;8389;8771;8772;9801;9802;10840;12834;14066;14200;18224;19185;19690;20845;20872,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1298;5288;6172;6408;6948;7587;8883;9096;9507;9508;10643;10644;11763;13877;15175;15316;19599;20660;21215;22437;22466,3561;3562;3563;3564;13947;13948;13949;13950;16292;16293;16294;16295;16995;16996;16997;16998;18393;18394;20191;20192;23752;23753;23754;24301;24302;25362;25363;25364;25365;25366;28457;28458;28459;28460;28461;31510;31511;31512;31513;31514;37015;37016;37017;40489;40490;40491;40837;40838;52191;55139;56615;56616;56617;56618;59812;59813;59889;59890;59891,6673;6674;6675;6676;6677;6678;26511;26512;26513;26514;26515;26516;26517;26518;31050;31051;31052;31053;31054;31055;31056;31057;31058;31059;31060;31061;32377;32378;32379;32380;32381;32382;32383;32384;32385;32386;32387;32388;34825;34826;38457;38458;38459;45239;45240;45241;45242;46288;46289;46290;46291;48354;48355;48356;48357;48358;48359;53862;53863;53864;53865;53866;53867;53868;53869;53870;53871;53872;53873;59588;59589;59590;59591;59592;59593;59594;59595;59596;69656;69657;69658;69659;69660;76243;76244;76245;76830;76831;76832;76833;76834;76835;98084;104078;104079;107028;107029;107030;107031;107032;107033;107034;107035;107036;107037;107038;107039;107040;107041;112938;112939;112940;112941;112942;113058;113059;113060;113061;113062,6676;26515;31053;32385;34825;38457;45239;46289;48355;48358;53868;53873;59595;69656;76243;76834;98084;104078;107039;112940;113061,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_315,quanti,quanti,quanti,quanti
SSR1,22.5928027084476,4.60754366999238e-08,P43307;C9J3L8;C9J5W0;A0A3B3IRT8;E9PAL7;C9IZQ1,P43307;C9J3L8;C9J5W0;A0A3B3IRT8;E9PAL7;C9IZQ1,2;2;2;2;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Translocon-associated protein subunit alpha,sp|P43307|SSRA_HUMAN Translocon-associated protein subunit alpha OS=Homo sapiens OX=9606 GN=SSR1 PE=1 SV=3;tr|C9J3L8|C9J3L8_HUMAN Translocon-associated protein subunit alpha OS=Homo sapiens OX=9606 GN=SSR1 PE=1 SV=1;tr|C9J5W0|C9J5W0_HUMAN Translocon-associ,6,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,8.0,8.0,8.0,32.235,286,286;265;266;288;291;298,0.0,2.3573,,,By MS/MS,By MS/MS,0.4442,1.1055,8.1201,8,0,Leave out requantified,,,0.40117,0.48284,,,0.98645,1.1069,,,19.159,8.2885,0,0,4,4,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,8.0,8.0,640850000,445390000,195450000,0,0,0,0,0,0,306710000,222520000,84195000,334140000,222880000,111260000,,,,317,4761;6432,True;True,5097;5098;6946,13451;13452;13453;13454;18388;18389;18390;18391,25562;25563;25564;25565;25566;25567;25568;25569;34820;34821;34822;34823,25562;34820,,,,,-1;-1;-1;-1;-1;-1,protein_318,quanti,quanti,imputed MEC,imputed MEC
PPM1B;PPM1A,-21.6769844415757,7.05834828188088e-07,O75688;B8ZZF0;C9JIR6;A0A3B3IS24;P35813;E9PKB5,O75688;B8ZZF0;C9JIR6;A0A3B3IS24;P35813;E9PKB5,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,Protein phosphatase 1B;Protein phosphatase 1A,sp|O75688|PPM1B_HUMAN Protein phosphatase 1B OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=1;tr|B8ZZF0|B8ZZF0_HUMAN Protein phosphatase 1B (Fragment) OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=2;tr|C9JIR6|C9JIR6_HUMAN Protein phosphatase 1B (Fragment) OS=Homo sap,6,2,2,2,1,2,0,0,1,2,0,0,1,2,0,0,4.4,4.4,4.4,52.642,479,479;303;378;384;382;187,0.0,4.0184,By MS/MS,By MS/MS,,,0.98011,3.5012,43.994,4,4,Linear,1.0156,1.034,,,3.6731,2.889,,,,42.997,,,1,3,0,0,1,3,0,0,Median,Plateau,Median,Median,2.5,4.4,0.0,0.0,220390000,110300000,110080000,69679000,36488000,33192000,150710000,73815000,76893000,0,0,0,0,0,0,,,,318,8239;14055,True;True,8935;15164,23888;23889;23890;40451,45474;45475;45476;45477;45478;76174,45478;76174,,,,,-1;-1;-1;-1;-1;-1,protein_319,imputed MEC,imputed MEC,quanti,quanti
COPA,-0.310742801738371,0.408030050497951,P53621;A0A3B3ISC6;A0A3B3IS84;A0A3B3IT15;A0A3B3IU89;A0A3B3ITV3;A0A3B3ITI7;A0A3B3ISK1;A0A3B3IU78,P53621;A0A3B3ISC6;A0A3B3IS84;A0A3B3IT15;A0A3B3IU89,17;17;17;15;11;7;6;6;2,17;17;17;15;11;7;6;6;2,17;17;17;15;11;7;6;6;2,Coatomer subunit alpha;Xenin;Proxenin,sp|P53621|COPA_HUMAN Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2;tr|A0A3B3ISC6|A0A3B3ISC6_HUMAN Coatomer subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=1;tr|A0A3B3IS84|A0A3B3IS84_HUMAN Coatomer subunit alpha OS=Homo s,9,17,17,17,8,9,10,13,8,9,10,13,8,9,10,13,19.0,19.0,19.0,138.34,1224,1224;1024;1204;1204;682;609;452;455;121,0.0,38.854,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39445,1.0141,23.909,39,11,Leave out requantified,0.33804,0.39803,0.43792,0.41013,1.0974,0.98651,1.2968,1.0237,20.526,31.335,14.256,23.804,8,9,9,13,3,3,3,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,8.8,10.5,10.9,15.5,1864400000,1267800000,596640000,282070000,203020000,79049000,339480000,233130000,106360000,437160000,292460000,144700000,805720000,539190000,266530000,,,,319,5447;5670;6570;8431;9099;10824;10907;11048;14554;14570;15739;16607;17583;19502;20048;20263;20632,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,5843;6100;7102;9141;9872;11747;11834;11991;15694;15712;16960;17887;18924;21013;21594;21832;22215,15381;15382;16097;16098;18781;24437;24438;26316;26317;31471;31472;31692;31693;32123;32124;41798;41799;41800;41848;41849;45005;45006;45007;45008;47527;47528;47529;47530;47531;50410;50411;50412;50413;56079;57573;57574;57575;57576;58247;59231;59232,29288;29289;30705;30706;30707;35582;35583;46481;46482;46483;50114;50115;59529;59530;59944;59945;60869;78584;78585;78669;78670;84222;84223;84224;84225;84226;84227;84228;84229;84230;88926;88927;88928;88929;88930;88931;88932;88933;94589;94590;94591;94592;94593;94594;94595;94596;94597;105966;108798;108799;108800;108801;108802;108803;108804;110119;111887;111888,29289;30706;35583;46481;50115;59529;59944;60869;78585;78670;84224;88926;94594;105966;108803;110119;111888,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_320,quanti,quanti,quanti,quanti
DDX10,21.7843697941194,7.60138916769147e-08,Q13206;A0A3B3ISR7;E9PIF2,Q13206;A0A3B3ISR7;E9PIF2,4;4;4,4;4;4,4;4;4,Probable ATP-dependent RNA helicase DDX10,sp|Q13206|DDX10_HUMAN Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens OX=9606 GN=DDX10 PE=1 SV=2;tr|A0A3B3ISR7|A0A3B3ISR7_HUMAN RNA helicase OS=Homo sapiens OX=9606 GN=DDX10 PE=1 SV=1;tr|E9PIF2|E9PIF2_HUMAN RNA helicase OS=Homo sapiens OX=9606 GN,3,4,4,4,0,0,4,3,0,0,4,3,0,0,4,3,5.3,5.3,5.3,100.89,875,875;679;835,0.0,6.4605,,,By MS/MS,By MS/MS,0.53934,1.3817,16.061,9,5,Leave out requantified,,,0.51392,0.69999,,,1.5071,1.6913,,,23.647,5.4926,0,0,5,4,0,0,3,2,Median,Median,Median,Median,0.0,0.0,5.3,4.2,428000000,254640000,173360000,0,0,0,0,0,0,223770000,133660000,90110000,204240000,120980000,83253000,,,,322,1597;1700;8120;14774,True;True;True;True,1711;1823;8811;15929,4771;5053;5054;23556;23557;23558;23559;42377;42378,9263;9264;9818;9819;44925;44926;44927;44928;79517,9263;9819;44927;79517,,,,,-1;-1;-1,protein_323,quanti,quanti,imputed MEC,imputed MEC
EIF2B5,-1.34616251153979,0.0223670100378592,Q13144;A0A3B3ISX3;A0A3B3IUB1;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ITG6;A0A3B3ISV1;A0A3B3ITQ2;A0A3B3IS56;A0A3B3IRP4;C9JRD9;A0A3B3IT53;A0A3B3ITK8;A0A3B3IST9;A0A3B3ISI2;A0A3B3ISS1,Q13144;A0A3B3ISX3;A0A3B3IUB1;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ITG6;A0A3B3ISV1;A0A3B3ITQ2,5;5;5;4;4;4;3;3;2;2;1;1;1;1;1;1,5;5;5;4;4;4;3;3;2;2;1;1;1;1;1;1,5;5;5;4;4;4;3;3;2;2;1;1;1;1;1;1,Translation initiation factor eIF-2B subunit epsilon,sp|Q13144|EI2BE_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=3;tr|A0A3B3ISX3|A0A3B3ISX3_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=1;tr|A0A3B3,16,5,5,5,3,2,3,1,3,2,3,1,3,2,3,1,11.5,11.5,11.5,80.379,721,721;530;729;389;402;546;310;382;269;314;107;113;141;230;231;267,0.0,4.7151,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30821,0.79365,27.213,10,3,Leave out requantified,0.25996,0.3287,0.47493,0.5615,0.70736,0.83526,1.0048,1.2542,49.754,10.954,21.17,0.0,3,2,3,2,2,0,1,0,Median,Median,Median,Median,7.2,5.1,5.4,3.2,311620000,217530000,94091000,87467000,68266000,19201000,66148000,47258000,18890000,86954000,57563000,29391000,71054000,44445000,26609000,,,,324,189;7756;18331;19905;20562,True;True;True;True;True,196;8406;19719;21442;22143,488;489;490;22379;52536;57171;57172;59037;59038;59039,974;975;42769;98896;108005;108006;111549;111550;111551,974;42769;98896;108005;111550,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_325,quanti,quanti,quanti,quanti
MCM4,-0.0195213227935902,0.921567867918112,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31;A0A3B3IRR8,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31,29;29;29;24;24;21;7,29;29;29;24;24;21;7,28;28;28;24;23;20;7,DNA replication licensing factor MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,7,29,29,28,14,13,21,22,14,13,21,22,13,13,20,21,43.8,43.8,43.0,96.557,863,863;813;904;742;749;582;191,0.0,77.708,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41372,1.2138,30.154,77,16,Leave out requantified,0.40979,0.57316,0.33869,0.45702,1.2314,1.566,1.0661,1.0631,72.618,18.926,21.98,22.168,14,15,24,24,3,1,4,8,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,26.3,26.4,32.3,35.7,5860600000,4071200000,1789400000,738640000,541330000,197300000,1169500000,727150000,442390000,1932300000,1389000000,543350000,2020100000,1413800000,606310000,,,,326,458;726;1129;3105;4518;5754;5755;6144;6394;7136;9369;9696;10163;11759;12109;12110;13711;14563;15085;16066;16496;16873;16954;17325;17382;17808;18014;18015;18026,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,479;756;1205;3327;4836;6195;6196;6197;6639;6904;7748;10162;10526;11035;12734;13105;13106;14804;15703;16266;17312;17771;18164;18247;18640;18700;19164;19376;19377;19388,1251;1980;1981;1982;1983;3289;3290;9027;9028;12783;12784;12785;12786;16371;16372;16373;16374;16375;16376;16377;17635;18288;18289;20607;27093;27094;27095;28122;28123;28124;29488;29489;29490;33978;33979;33980;33981;34952;34953;34954;34955;34956;34957;39497;39498;39499;39500;41821;41822;41823;43235;45960;45961;47201;47202;48306;48307;48308;48309;48310;48546;48547;49588;49589;49590;49591;49774;49775;51030;51561;51562;51563;51564;51590;51591;51592;51593,2395;3639;3640;3641;3642;3643;3644;3645;3646;3647;3648;6193;6194;17444;17445;24370;24371;24372;24373;24374;24375;24376;31241;31242;31243;31244;31245;31246;31247;31248;31249;31250;31251;33565;34653;34654;34655;39253;51429;51430;51431;51432;53265;53266;53267;53268;53269;53270;55817;55818;55819;55820;55821;55822;55823;55824;55825;55826;55827;55828;55829;55830;55831;55832;55833;64052;64053;64054;64055;64056;64057;65811;65812;65813;65814;65815;65816;65817;65818;65819;65820;65821;65822;74316;74317;74318;74319;74320;74321;78619;78620;78621;81001;86045;86046;86047;86048;86049;86050;88355;88356;90350;90351;90352;90353;90354;90355;90356;90357;90358;90359;90360;90361;90362;90363;90364;90365;90366;90367;90368;90369;90748;90749;90750;92879;92880;92881;92882;93213;93214;93215;93216;93217;93218;93219;95843;96782;96783;96784;96785;96786;96787;96788;96789;96790;96791;96835;96836;96837;96838;96839;96840,2395;3641;6194;17444;24370;31241;31247;33565;34653;39253;51429;53270;55829;64052;65811;65815;74316;78621;81001;86046;88355;90353;90750;92880;93218;95843;96785;96790;96840,,,,,-1;-1;-1;-1;-1;-1;-1,protein_327,quanti,quanti,quanti,quanti
AGK,21.947378769136,6.37619225890773e-07,Q53H12;E9PC15;A0A3B3ITD0;E9PG39;A0A3B3ISY9;A0A3B3ISZ0;A0A3B3ITX7;A0A0G2JLG5;A0A0G2JLD0;A0A3B3IUC9;A0A3B3ITV0;A0A3B3IS09,Q53H12;E9PC15;A0A3B3ITD0;E9PG39;A0A3B3ISY9;A0A3B3ISZ0;A0A3B3ITX7;A0A0G2JLG5,4;4;4;3;3;3;2;2;1;1;1;1,4;4;4;3;3;3;2;2;1;1;1;1,4;4;4;3;3;3;2;2;1;1;1;1,"Acylglycerol kinase, mitochondrial","sp|Q53H12|AGK_HUMAN Acylglycerol kinase, mitochondrial OS=Homo sapiens OX=9606 GN=AGK PE=1 SV=2;tr|E9PC15|E9PC15_HUMAN Acylglycerol kinase, mitochondrial OS=Homo sapiens OX=9606 GN=AGK PE=1 SV=1;tr|A0A3B3ITD0|A0A3B3ITD0_HUMAN Acylglycerol kinase, mitochond",12,4,4,4,0,0,4,4,0,0,4,4,0,0,4,4,14.0,14.0,14.0,47.137,422,422;394;418;244;330;350;214;226;51;134;138;146,0.0,2.8234,,,By MS/MS,By MS/MS,0.31459,0.77992,6.1193,9,0,Leave out requantified,,,0.24955,0.34467,,,0.66988,0.84901,,,5.529,9.9291,0,0,4,5,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,14.0,14.0,382920000,297930000,84989000,0,0,0,0,0,0,135960000,105130000,30828000,246970000,192810000,54161000,,,,327,5357;8164;13256;21340,True;True;True;True,5743;8855;14327;22964,15126;15127;23679;23680;38219;38220;38221;61196;61197,28841;45117;45118;45119;45120;45121;45122;45123;71923;71924;115517;115518;115519,28841;45120;71924;115517,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_328,quanti,quanti,imputed MEC,imputed MEC
RPL29,0.0529368012190261,0.797429333656302,P47914;A0A3B3ITT5,P47914;A0A3B3ITT5,3;3,3;3,3;3,60S ribosomal protein L29,sp|P47914|RL29_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2;tr|A0A3B3ITT5|A0A3B3ITT5_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=1,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,17.6,17.6,17.6,17.752,159,159;167,0.0,50.7,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32317,1.0217,44.155,9,0,Leave out requantified,0.32317,0.31163,0.1369,0.44839,1.1655,0.94951,0.44652,1.2636,25.845,1.3626,126.06,17.792,3,2,2,2,0,0,0,0,Median,Median,Median,Median,17.0,17.0,10.1,10.1,3183400000,2411700000,771740000,462050000,357090000,104960000,479620000,362880000,116750000,1080900000,871910000,208970000,1160900000,819780000,341070000,,,,330,1722;1723;9112,True;True;True,1846;1847;9887,5111;5112;5113;5114;5115;5116;26351;26352;26353,9897;9898;9899;9900;9901;9902;9903;9904;9905;9906;50166;50167;50168,9897;9905;50168,,,,,-1;-1,protein_331,quanti,quanti,quanti,quanti
ABCD3,2.32908596591711,0.0250630934514968,P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,5;5,5;5,5;5,ATP-binding cassette sub-family D member 3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,2,5,5,5,1,1,2,5,1,1,2,5,1,1,2,5,8.3,8.3,8.3,75.475,659,659;659,0.0,8.1755,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37497,0.87615,11.519,9,5,Leave out requantified,0.31008,0.45343,0.31506,0.41073,0.81451,0.86722,0.92639,1.2991,,,7.8845,21.497,1,1,2,5,0,0,1,4,Median,Median,Median,Linear,1.8,1.8,4.2,8.3,438870000,291580000,147290000,18539000,12073000,6466200,12224000,8600500,3623700,90282000,65387000,24895000,317830000,205520000,112300000,,,,331,5850;8498;10121;10571;19310,True;True;True;True;True,6305;9213;10990;11469;20799,16713;24614;29362;29363;30672;55509;55510;55511;55512,31873;46827;55578;55579;55580;55581;55582;55583;58147;104793;104794;104795;104796;104797;104798;104799;104800;104801,31873;46827;55580;58147;104799,,,,,-1;-1,protein_332,quanti,quanti,quanti,quanti
THRAP3,1.02532372028503,0.00902353869938862,Q9Y2W1;A0A3B3ITZ9,Q9Y2W1;A0A3B3ITZ9,12;12,12;12,12;12,Thyroid hormone receptor-associated protein 3,sp|Q9Y2W1|TR150_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2;tr|A0A3B3ITZ9|A0A3B3ITZ9_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=1,2,12,12,12,5,7,8,9,5,7,8,9,5,7,8,9,16.4,16.4,16.4,108.66,955,955;910,0.0,29.568,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3673,1.0364,16.651,37,7,Leave out requantified,0.34038,0.42265,0.35468,0.4106,1.0474,1.0364,1.1072,1.0331,24.817,22.679,11.186,15.312,6,8,11,12,1,0,2,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,7.5,10.7,11.7,12.8,3695800000,2620600000,1075200000,273820000,196010000,77803000,411180000,276790000,134380000,1513800000,1107900000,405830000,1497100000,1039900000,457160000,,,,332,1894;1912;5541;6345;9349;12517;13903;15835;16426;16442;16597;20899,True;True;True;True;True;True;True;True;True;True;True;True,2027;2046;5958;6854;10142;13542;15007;17065;17700;17716;17877;22495,5631;5678;5679;5680;5681;15753;15754;18178;27046;36147;36148;36149;36150;40045;40046;40047;45278;45279;45280;45281;45282;45283;45284;45285;47013;47049;47050;47051;47052;47495;47496;47497;59969;59970;59971;59972;59973,10833;10834;10835;10913;10914;10915;10916;10917;10918;30061;30062;30063;34501;51350;51351;68071;68072;68073;68074;68075;68076;68077;68078;68079;68080;68081;68082;68083;68084;75432;75433;75434;84746;84747;84748;84749;84750;84751;84752;84753;84754;84755;84756;84757;84758;84759;84760;84761;84762;88028;88076;88077;88078;88079;88080;88081;88082;88083;88084;88856;88857;88858;113228;113229;113230,10834;10918;30062;34501;51351;68080;75433;84747;88028;88081;88856;113229,,,,,-1;-1,protein_333,quanti,quanti,quanti,quanti
AMDHD2,-21.9525822892328,1.47887191283633e-06,Q9Y303;A0A3B3IU33;H3BSD5;H3BTZ6;H3BSV9;H3BQ15;H3BT49;H3BTE3,Q9Y303;A0A3B3IU33;H3BSD5;H3BTZ6;H3BSV9,6;6;3;3;3;2;2;1,6;6;3;3;3;2;2;1,6;6;3;3;3;2;2;1,Putative N-acetylglucosamine-6-phosphate deacetylase,sp|Q9Y303|NAGA_HUMAN N-acetylglucosamine-6-phosphate deacetylase OS=Homo sapiens OX=9606 GN=AMDHD2 PE=1 SV=2;tr|A0A3B3IU33|A0A3B3IU33_HUMAN N-acetylglucosamine-6-phosphate deacetylase OS=Homo sapiens OX=9606 GN=AMDHD2 PE=1 SV=1;tr|H3BSD5|H3BSD5_HUMAN N-ace,8,6,6,6,6,4,0,0,6,4,0,0,6,4,0,0,20.5,20.5,20.5,43.747,409,409;386;155;296;300;152;165;269,0.0,10.549,By MS/MS,By MS/MS,,,0.58539,1.5732,25.657,10,0,Leave out requantified,0.5672,0.6678,,,1.5703,1.4402,,,20.727,42.131,,,6,4,0,0,0,0,0,0,Leave out requantified,Leave out requantified,Median,Median,20.5,12.5,0.0,0.0,220660000,130860000,89795000,136970000,83724000,53249000,83683000,47138000,36545000,0,0,0,0,0,0,,,,333,2546;5684;7849;8686;15686;19448,True;True;True;True;True;True,2725;6119;8512;9417;16905;20952,7490;16149;22718;22719;25142;25143;44852;44853;55914;55915,14516;30816;30817;43307;43308;43309;47862;47863;47864;47865;47866;83964;105639;105640;105641,14516;30816;43307;47865;83964;105641,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_334,imputed MEC,imputed MEC,quanti,quanti
