Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity ATG16L1-N1,Intensity ATG16L1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P25391;A0A1W2PQN4,P25391;A0A1W2PQN4,2;1,2;1,2;1,Laminin subunit alpha-1,LAMA1,sp|P25391|LAMA1_HUMAN Laminin subunit alpha-1 OS=Homo sapiens OX=9606 GN=LAMA1 PE=1 SV=2;tr|A0A1W2PQN4|A0A1W2PQN4_HUMAN Laminin subunit alpha-1 OS=Homo sapiens OX=9606 GN=LAMA1 PE=1 SV=1,2,2,1.1,26.0986513052912,25.5115331023865,24.2777454127036,24.1092174473754
P42704,P42704,2,2,2,"Leucine-rich PPR motif-containing protein, mitochondrial",LRPPRC,"sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",2,2,1.1,26.0991472844507,26.2938981794957,26.8438591526753,26.2517463351229
O60318,O60318,2,2,2,Germinal-center associated nuclear protein,MCM3AP,sp|O60318|GANP_HUMAN Germinal-center associated nuclear protein OS=Homo sapiens OX=9606 GN=MCM3AP PE=1 SV=2,2,2,1.1,4.5103917704062,4.37962167650643,23.6154895501335,21.0678912230734
Q8NDH2,Q8NDH2,2,2,2,Coiled-coil domain-containing protein 168,CCDC168,sp|Q8NDH2|CC168_HUMAN Coiled-coil domain-containing protein 168 OS=Homo sapiens OX=9606 GN=CCDC168 PE=2 SV=2,2,2,1.2,34.4606940559001,29.5122228578034,24.7911903185565,24.3093992038024
O75051,O75051,2,2,2,Plexin-A2,PLXNA2,sp|O75051|PLXA2_HUMAN Plexin-A2 OS=Homo sapiens OX=9606 GN=PLXNA2 PE=1 SV=4,2,2,1.2,26.0585414255819,25.6188252626968,23.8735199618378,23.6898169191155
A0A1B0GUI1;Q6GYQ0,A0A1B0GUI1;Q6GYQ0,2;1,2;1,2;1,Ral GTPase-activating protein subunit alpha-1,RALGAPA1,tr|A0A1B0GUI1|A0A1B0GUI1_HUMAN Ral GTPase-activating protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=RALGAPA1 PE=1 SV=1;sp|Q6GYQ0|RGPA1_HUMAN Ral GTPase-activating protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=RALGAPA1 PE=1 SV=1,2,2,1.2,26.075142514031,25.4978357604086,4.4278525700598,4.37954704379713
Q13535;A0A590UJ01,Q13535;A0A590UJ01,2;2,2;2,2;2,Serine/threonine-protein kinase ATR,ATR,sp|Q13535|ATR_HUMAN Serine/threonine-protein kinase ATR OS=Homo sapiens OX=9606 GN=ATR PE=1 SV=3;tr|A0A590UJ01|A0A590UJ01_HUMAN Serine/threonine-protein kinase ATR (Fragment) OS=Homo sapiens OX=9606 GN=ATR PE=1 SV=1,2,2,1.3,24.4610147411941,22.6176880626491,24.6429190133572,24.4122860785656
Q5VZL5;H7C1I7,Q5VZL5;H7C1I7,2;2,2;2,2;2,Zinc finger MYM-type protein 4,ZMYM4,sp|Q5VZL5|ZMYM4_HUMAN Zinc finger MYM-type protein 4 OS=Homo sapiens OX=9606 GN=ZMYM4 PE=1 SV=1;tr|H7C1I7|H7C1I7_HUMAN Zinc finger MYM-type protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=ZMYM4 PE=1 SV=1,2,2,1.3,4.5103917704062,4.37962167650643,24.3790062165522,24.7595907761179
P02549,P02549,2,2,2,"Spectrin alpha chain, erythrocytic 1",SPTA1,"sp|P02549|SPTA1_HUMAN Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5",2,2,1.4,25.2595309747655,24.2384140696385,4.4278525700598,4.37954704379713
P13533,P13533,3,2,2,Myosin-6,MYH6,sp|P13533|MYH6_HUMAN Myosin-6 OS=Homo sapiens OX=9606 GN=MYH6 PE=1 SV=5,3,2,1.4,24.1273474890238,22.7618644636481,24.5066993413931,24.3033619737076
P07942;G3XAI2,P07942;G3XAI2,2;2,2;2,2;2,Laminin subunit beta-1,LAMB1,sp|P07942|LAMB1_HUMAN Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2;tr|G3XAI2|G3XAI2_HUMAN Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=1,2,2,1.5,4.5103917704062,4.37962167650643,4.4278525700598,4.37954704379713
Q9BTW9;J3KR97;A0A0J9YYG2;A0A0J9YVU1;I3L0V3;I3L163;I3L439;A0A0J9YWI5;A0A0J9YVR1,Q9BTW9;J3KR97;A0A0J9YYG2;A0A0J9YVU1;I3L0V3;I3L163;I3L439;A0A0J9YWI5;A0A0J9YVR1,2;2;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1,Tubulin-specific chaperone D,TBCD,sp|Q9BTW9|TBCD_HUMAN Tubulin-specific chaperone D OS=Homo sapiens OX=9606 GN=TBCD PE=1 SV=2;tr|J3KR97|J3KR97_HUMAN Tubulin-specific chaperone D OS=Homo sapiens OX=9606 GN=TBCD PE=1 SV=1;tr|A0A0J9YYG2|A0A0J9YYG2_HUMAN Tubulin-specific chaperone D (Fragment),2,2,1.8,22.9611804696833,23.4517186908996,4.4278525700598,4.37954704379713
Q9HCE3;K7EMF9;K7ER18;K7EKV7;K7EJM2;K7EP49;K7EL14;K7EPI7;K7EQW7;K7ELB7,Q9HCE3;K7EMF9;K7ER18;K7EKV7;K7EJM2;K7EP49;K7EL14;K7EPI7;K7EQW7;K7ELB7,2;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1,Zinc finger protein 532,ZNF532,sp|Q9HCE3|ZN532_HUMAN Zinc finger protein 532 OS=Homo sapiens OX=9606 GN=ZNF532 PE=1 SV=2;tr|K7EMF9|K7EMF9_HUMAN Zinc finger protein 532 (Fragment) OS=Homo sapiens OX=9606 GN=ZNF532 PE=1 SV=1;tr|K7ER18|K7ER18_HUMAN Zinc finger protein 532 (Fragment) OS=Hom,2,2,1.8,4.5103917704062,4.37962167650643,24.7991982831766,23.6418515437597
Q9Y4F3;G8JLP4;F8VVB8;F8VRS5,Q9Y4F3;G8JLP4;F8VVB8,3;3;2;1,2;2;2;1,2;2;2;1,Meiosis arrest female protein 1,KIAA0430,sp|Q9Y4F3|MARF1_HUMAN Meiosis regulator and mRNA stability factor 1 OS=Homo sapiens OX=9606 GN=MARF1 PE=1 SV=6;tr|G8JLP4|G8JLP4_HUMAN Meiosis regulator and mRNA stability factor 1 OS=Homo sapiens OX=9606 GN=MARF1 PE=1 SV=1;tr|F8VVB8|F8VVB8_HUMAN Meiosis re,3,2,1.8,23.8710224053348,23.1740338869518,23.4289254550338,23.8584093715663
A7E2Y1;A0A087X0T3,A7E2Y1;A0A087X0T3,3;3,2;2,2;2,Myosin-7B,MYH7B,sp|A7E2Y1|MYH7B_HUMAN Myosin-7B OS=Homo sapiens OX=9606 GN=MYH7B PE=1 SV=4;tr|A0A087X0T3|A0A087X0T3_HUMAN Myosin-7B OS=Homo sapiens OX=9606 GN=MYH7B PE=1 SV=1,3,2,1.8,22.40553726724,24.0160186979294,25.674194639273,25.1137841267223
Q96P48;F5GWN4;F8WBT0;A0A0A0MSJ2;E7EU13,Q96P48;F5GWN4;F8WBT0;A0A0A0MSJ2;E7EU13,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",ARAP1,"sp|Q96P48|ARAP1_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ARAP1 PE=1 SV=3;tr|F5GWN4|F5GWN4_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (Fragment) OS=Homo",2,2,1.9,23.627896300973,23.3152037490031,24.3863830296524,24.7645092034795
Q9H6N6,Q9H6N6,2,2,2,Putative uncharacterized protein MYH16,MYH16,sp|Q9H6N6|MYH16_HUMAN Putative uncharacterized protein MYH16 OS=Homo sapiens OX=9606 GN=MYH16 PE=1 SV=2,2,2,1.9,22.8743457854491,22.6211137498969,22.6717650620596,22.194933554894
O43933;A0A0C4DG33,O43933;A0A0C4DG33,2;2,2;2,2;2,Peroxisome biogenesis factor 1,PEX1,sp|O43933|PEX1_HUMAN Peroxisome biogenesis factor 1 OS=Homo sapiens OX=9606 GN=PEX1 PE=1 SV=1;tr|A0A0C4DG33|A0A0C4DG33_HUMAN Peroxisome biogenesis factor 1 OS=Homo sapiens OX=9606 GN=PEX1 PE=1 SV=1,2,2,1.9,22.8924694432385,23.8180522562797,4.4278525700598,4.37954704379713
P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,2;2;1,2;2;1,2;2;1,DNA polymerase alpha catalytic subunit;DNA polymerase,POLA1,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,2,2,1.9,26.3982935622358,25.8800058896536,24.4917943917238,24.7901242036605
Q8TCJ2,Q8TCJ2,2,2,2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,STT3B,sp|Q8TCJ2|STT3B_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens OX=9606 GN=STT3B PE=1 SV=1,2,2,1.9,4.5103917704062,4.37962167650643,23.751543241872,23.3165853762308
P37275;H0YMD3;H0YND9,P37275;H0YMD3;H0YND9,2;1;1,2;1;1,2;1;1,Zinc finger E-box-binding homeobox 1,ZEB1,sp|P37275|ZEB1_HUMAN Zinc finger E-box-binding homeobox 1 OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=2;tr|H0YMD3|H0YMD3_HUMAN Zinc finger E-box-binding homeobox 1 (Fragment) OS=Homo sapiens OX=9606 GN=ZEB1 PE=1 SV=3;tr|H0YND9|H0YND9_HUMAN Zinc finger E-box-bi,2,2,1.9,24.8127612635731,24.1361788369762,24.1546044501224,24.1381336556283
Q9P2G1,Q9P2G1,2,2,2,Ankyrin repeat and IBR domain-containing protein 1,ANKIB1,sp|Q9P2G1|AKIB1_HUMAN Ankyrin repeat and IBR domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKIB1 PE=1 SV=3,2,2,2.0,26.8863464943292,26.8020565909068,4.4278525700598,4.37954704379713
Q9ULJ7,Q9ULJ7,2,2,2,Ankyrin repeat domain-containing protein 50,ANKRD50,sp|Q9ULJ7|ANR50_HUMAN Ankyrin repeat domain-containing protein 50 OS=Homo sapiens OX=9606 GN=ANKRD50 PE=1 SV=4,2,2,2.0,25.5067296027496,24.7351572676331,4.4278525700598,4.37954704379713
Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,2;2;1;1,2;2;1;1,2;2;1;1,Cell division cycle and apoptosis regulator protein 1,CCAR1,sp|Q8IX12|CCAR1_HUMAN Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2;tr|A0A0C4DGG8|A0A0C4DGG8_HUMAN Cell division cycle and apoptosis regulator protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=,2,2,2.0,4.5103917704062,4.37962167650643,24.1833633919656,24.2177843867033
Q9BXB1,Q9BXB1,2,2,2,Leucine-rich repeat-containing G-protein coupled receptor 4,LGR4,sp|Q9BXB1|LGR4_HUMAN Leucine-rich repeat-containing G-protein coupled receptor 4 OS=Homo sapiens OX=9606 GN=LGR4 PE=1 SV=2,2,2,2.0,23.7911406261414,25.3028137684843,4.4278525700598,4.37954704379713
Q6AWC2;D6R9P8,Q6AWC2;D6R9P8,2;1,2;1,2;1,Protein WWC2,WWC2,sp|Q6AWC2|WWC2_HUMAN Protein WWC2 OS=Homo sapiens OX=9606 GN=WWC2 PE=1 SV=2;tr|D6R9P8|D6R9P8_HUMAN Protein WWC2 OS=Homo sapiens OX=9606 GN=WWC2 PE=1 SV=1,2,2,2.0,22.4359601461319,23.8587659215951,24.7314457685353,23.5825628386622
Q9UPW5;J3KNS1,Q9UPW5;J3KNS1,2;2,2;2,2;2,Cytosolic carboxypeptidase 1,AGTPBP1,sp|Q9UPW5|CBPC1_HUMAN Cytosolic carboxypeptidase 1 OS=Homo sapiens OX=9606 GN=AGTPBP1 PE=1 SV=3;tr|J3KNS1|J3KNS1_HUMAN Cytosolic carboxypeptidase 1 OS=Homo sapiens OX=9606 GN=AGTPBP1 PE=1 SV=1,2,2,2.1,26.5745300107729,24.8533857091708,22.0499282952772,22.7723506120954
A2RUB6;F8WCY0;F8WDJ0;C9JYB8,A2RUB6;F8WCY0;F8WDJ0;C9JYB8,2;2;2;2,2;2;2;2,2;2;2;2,Coiled-coil domain-containing protein 66,CCDC66,sp|A2RUB6|CCD66_HUMAN Coiled-coil domain-containing protein 66 OS=Homo sapiens OX=9606 GN=CCDC66 PE=1 SV=4;tr|F8WCY0|F8WCY0_HUMAN Coiled-coil domain-containing protein 66 OS=Homo sapiens OX=9606 GN=CCDC66 PE=1 SV=1;tr|F8WDJ0|F8WDJ0_HUMAN Coiled-coil domain,2,2,2.1,26.1085893800143,25.7651449271777,4.4278525700598,4.37954704379713
Q9Y6K5;F8VWK9;F8VS35,Q9Y6K5;F8VWK9;F8VS35,2;2;2,2;2;2,2;2;2,2-5-oligoadenylate synthase 3,OAS3,sp|Q9Y6K5|OAS3_HUMAN 2-5-oligoadenylate synthase 3 OS=Homo sapiens OX=9606 GN=OAS3 PE=1 SV=3;tr|F8VWK9|F8VWK9_HUMAN 2-5-oligoadenylate synthase 3 OS=Homo sapiens OX=9606 GN=OAS3 PE=1 SV=1;tr|F8VS35|F8VS35_HUMAN 2-5-oligoadenylate synthase 3 OS=Homo s,2,2,2.1,4.5103917704062,4.37962167650643,22.974493014498,22.36626350964
Q86UR5;H0YBU6,Q86UR5;H0YBU6,2;1,2;1,2;1,Regulating synaptic membrane exocytosis protein 1,RIMS1,sp|Q86UR5|RIMS1_HUMAN Regulating synaptic membrane exocytosis protein 1 OS=Homo sapiens OX=9606 GN=RIMS1 PE=1 SV=1;tr|H0YBU6|H0YBU6_HUMAN Regulating synaptic membrane exocytosis protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=RIMS1 PE=1 SV=1,2,2,2.1,24.0558995097728,23.1206023937142,26.2152412845032,25.5477792130992
Q9BXT6,Q9BXT6,2,2,2,Putative helicase Mov10l1,MOV10L1,sp|Q9BXT6|M10L1_HUMAN RNA helicase Mov10l1 OS=Homo sapiens OX=9606 GN=MOV10L1 PE=2 SV=1,2,2,2.2,4.5103917704062,4.37962167650643,29.1082154730618,23.8627788441281
Q00722;Q9BVT6,Q00722;Q9BVT6,2;2,2;2,2;2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",PLCB2,"sp|Q00722|PLCB2_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 OS=Homo sapiens OX=9606 GN=PLCB2 PE=1 SV=2;tr|Q9BVT6|Q9BVT6_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 OS=Homo sapiens OX=9606 GN=PLCB2 PE=1",2,2,2.2,22.1129574038075,24.4014545455986,4.4278525700598,4.37954704379713
Q9BXR5,Q9BXR5,2,2,2,Toll-like receptor 10,TLR10,sp|Q9BXR5|TLR10_HUMAN Toll-like receptor 10 OS=Homo sapiens OX=9606 GN=TLR10 PE=1 SV=2,2,2,2.2,24.5493114991931,24.071119921723,4.4278525700598,4.37954704379713
Q12955;A0A087WTF3;A0A087WZ65;H0Y9E9,Q12955;A0A087WTF3,6;3;2;1,2;2;1;1,2;2;1;1,Ankyrin-3,ANK3,sp|Q12955|ANK3_HUMAN Ankyrin-3 OS=Homo sapiens OX=9606 GN=ANK3 PE=1 SV=3;tr|A0A087WTF3|A0A087WTF3_HUMAN Ankyrin-3 (Fragment) OS=Homo sapiens OX=9606 GN=ANK3 PE=1 SV=1,6,2,2.2,27.1748377770499,26.1510662578115,4.4278525700598,4.37954704379713
P28715;A0A494C0S2;A0A1W2PS85;R4GMW8;A0A494C113;A0A090HNM7,P28715;A0A494C0S2;A0A1W2PS85;R4GMW8;A0A494C113;A0A090HNM7,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,DNA repair protein complementing XP-G cells,ERCC5;BIVM-ERCC5;ERCC5-201,sp|P28715|ERCC5_HUMAN DNA repair protein complementing XP-G cells OS=Homo sapiens OX=9606 GN=ERCC5 PE=1 SV=3;tr|A0A494C0S2|A0A494C0S2_HUMAN DNA repair protein-complementing XP-G cells OS=Homo sapiens OX=9606 GN=ERCC5 PE=1 SV=1;tr|A0A1W2PS85|A0A1W2PS85_HUMA,2,2,2.3,4.5103917704062,4.37962167650643,24.2994288381303,23.999809430637
Q8NFZ0;F6UZG9,Q8NFZ0;F6UZG9,2;2,2;2,2;2,F-box only protein 18,FBXO18,sp|Q8NFZ0|FBH1_HUMAN F-box DNA helicase 1 OS=Homo sapiens OX=9606 GN=FBH1 PE=1 SV=2;tr|F6UZG9|F6UZG9_HUMAN F-box DNA helicase 1 OS=Homo sapiens OX=9606 GN=FBH1 PE=1 SV=1,2,2,2.3,25.1253657686487,24.4004776614348,24.3070399999401,23.7193144474432
Q9Y2L1;G3V1J5,Q9Y2L1;G3V1J5,2;2,2;2,2;2,Exosome complex exonuclease RRP44,DIS3,sp|Q9Y2L1|RRP44_HUMAN Exosome complex exonuclease RRP44 OS=Homo sapiens OX=9606 GN=DIS3 PE=1 SV=2;tr|G3V1J5|G3V1J5_HUMAN Exosome complex exonuclease RRP44 OS=Homo sapiens OX=9606 GN=DIS3 PE=1 SV=1,2,2,2.4,4.5103917704062,4.37962167650643,22.3246002927871,23.9861566085466
Q5VUB5;A8MVW0,Q5VUB5;A8MVW0,2;1,2;1,2;1,Protein FAM171A1;Protein FAM171A2,FAM171A1;FAM171A2,sp|Q5VUB5|F1711_HUMAN Protein FAM171A1 OS=Homo sapiens OX=9606 GN=FAM171A1 PE=1 SV=1;sp|A8MVW0|F1712_HUMAN Protein FAM171A2 OS=Homo sapiens OX=9606 GN=FAM171A2 PE=1 SV=1,2,2,2.4,23.4781543983323,22.7047209663382,22.6200846596058,23.0996113281649
P78347;A0A494C1K3;A0A494C0Q7,P78347;A0A494C1K3;A0A494C0Q7,2;2;1,2;2;1,2;2;1,General transcription factor II-I,GTF2I,sp|P78347|GTF2I_HUMAN General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2;tr|A0A494C1K3|A0A494C1K3_HUMAN General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=1;tr|A0A494C0Q7|A0A494C0Q7_HUMAN General transcript,2,2,2.4,4.5103917704062,4.37962167650643,22.6769134809656,23.3465158973451
Q504Q3,Q504Q3,2,2,2,PAB-dependent poly(A)-specific ribonuclease subunit PAN2,PAN2,sp|Q504Q3|PAN2_HUMAN PAN2-PAN3 deadenylation complex catalytic subunit PAN2 OS=Homo sapiens OX=9606 GN=PAN2 PE=1 SV=3,2,2,2.4,26.6855206882023,26.352370950956,4.4278525700598,4.37954704379713
Q02413,Q02413,2,2,2,Desmoglein-1,DSG1,sp|Q02413|DSG1_HUMAN Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2,2,2,2.5,26.2132297316702,23.9435114029335,24.6945155878572,23.618853261242
P10071;A0A2R8YGX0,P10071;A0A2R8YGX0,2;2,2;2,2;2,Transcriptional activator GLI3;Transcriptional repressor GLI3R,GLI3,sp|P10071|GLI3_HUMAN Transcriptional activator GLI3 OS=Homo sapiens OX=9606 GN=GLI3 PE=1 SV=6;tr|A0A2R8YGX0|A0A2R8YGX0_HUMAN Transcriptional activator GLI3 OS=Homo sapiens OX=9606 GN=GLI3 PE=1 SV=1,2,2,2.5,25.5473968045591,24.2187453210558,4.4278525700598,4.37954704379713
Q01804;D6RI06,Q01804;D6RI06,2;1,2;1,2;1,OTU domain-containing protein 4,OTUD4,sp|Q01804|OTUD4_HUMAN OTU domain-containing protein 4 OS=Homo sapiens OX=9606 GN=OTUD4 PE=1 SV=4;tr|D6RI06|D6RI06_HUMAN OTU domain-containing protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=OTUD4 PE=1 SV=1,2,2,2.5,4.5103917704062,4.37962167650643,22.9533503071865,21.195083793373
Q15032;H7C1X4;H7BZ47;H7C2F9;H7C207,Q15032;H7C1X4;H7BZ47;H7C2F9;H7C207,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,R3H domain-containing protein 1,R3HDM1,sp|Q15032|R3HD1_HUMAN R3H domain-containing protein 1 OS=Homo sapiens OX=9606 GN=R3HDM1 PE=1 SV=3;tr|H7C1X4|H7C1X4_HUMAN R3H domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=R3HDM1 PE=1 SV=1;tr|H7BZ47|H7BZ47_HUMAN R3H domain-containing pro,2,2,2.5,24.0059027354269,23.0988622616594,4.4278525700598,4.37954704379713
O00237,O00237,2,2,2,E3 ubiquitin-protein ligase RNF103,RNF103,sp|O00237|RN103_HUMAN E3 ubiquitin-protein ligase RNF103 OS=Homo sapiens OX=9606 GN=RNF103 PE=1 SV=1,2,2,2.5,23.8008477766672,23.435647608495,24.8599761773716,23.8588961743734
O95171;F2Z2X8,O95171;F2Z2X8,2;2,2;2,2;2,Sciellin,SCEL,sp|O95171|SCEL_HUMAN Sciellin OS=Homo sapiens OX=9606 GN=SCEL PE=1 SV=2;tr|F2Z2X8|F2Z2X8_HUMAN Sciellin OS=Homo sapiens OX=9606 GN=SCEL PE=1 SV=1,2,2,2.5,23.3311498498617,25.5254601131106,4.4278525700598,4.37954704379713
Q96CW5;A0A3B3ITE3;A0A087WU06,Q96CW5;A0A3B3ITE3;A0A087WU06,2;2;1,2;2;1,2;2;1,Gamma-tubulin complex component 3,TUBGCP3,sp|Q96CW5|GCP3_HUMAN Gamma-tubulin complex component 3 OS=Homo sapiens OX=9606 GN=TUBGCP3 PE=1 SV=2;tr|A0A3B3ITE3|A0A3B3ITE3_HUMAN Gamma-tubulin complex component OS=Homo sapiens OX=9606 GN=TUBGCP3 PE=1 SV=1;tr|A0A087WU06|A0A087WU06_HUMAN Gamma-tubulin com,2,2,2.5,24.7847658240945,23.6252227861177,4.4278525700598,4.37954704379713
