ERCC8_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
DEK,-0.0486848195,0.634828388491354,0,P35659;H0Y993;A0A494C028;H0Y8X0;A0A494C198;D6R9L5;B4DFG0;D6RDA2,P35659;H0Y993;A0A494C028;H0Y8X0;A0A494C198;D6R9L5;B4DFG0,6;6;6;5;4;3;3;2,6;6;6;5;4;3;3;2,6;6;6;5;4;3;3;2,Protein DEK,DEK,"sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1;tr|H0Y993|H0Y993_HUMAN DEK oncogene (DNA binding), isoform CRA_b OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;tr|A0A494C028|A0A494C028_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=",6,6,16.3,375
SUCLG1,-0.2812472534,0.238021523491149,0,P53597;A0A494C0D1;H7C233,P53597;A0A494C0D1,5;5;1,5;5;1,5;5;1,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",SUCLG1,"sp|P53597|SUCA_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG1 PE=1 SV=4;tr|A0A494C0D1|A0A494C0D1_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=960",5,5,18.5,346
PGM3,0.2381187975,0.297101096654855,0,O95394;A0A494C0G1;H0Y987;A0A087WT27;J3KN95;A0A494C1E2;D6RCD1;H0Y8I3;D6RC77;D6RCQ8;D6RF77;A0A494C163;A0A494C099;A0A494C1Q4,O95394;A0A494C0G1;H0Y987;A0A087WT27;J3KN95;A0A494C1E2,3;3;3;2;2;2;1;1;1;1;1;1;1;1,3;3;3;2;2;2;1;1;1;1;1;1;1;1,3;3;3;2;2;2;1;1;1;1;1;1;1;1,Phosphoacetylglucosamine mutase,PGM3,sp|O95394|AGM1_HUMAN Phosphoacetylglucosamine mutase OS=Homo sapiens OX=9606 GN=PGM3 PE=1 SV=1;tr|A0A494C0G1|A0A494C0G1_HUMAN Phosphoacetylglucosamine mutase OS=Homo sapiens OX=9606 GN=PGM3 PE=1 SV=1;tr|H0Y987|H0Y987_HUMAN Phosphoacetylglucosamine mutase O,3,3,6.5,542
NOP56,-0.181085157,0.191932472298452,0,O00567;A0A494C128;H0Y653;H0YDU4;Q5JXT2,O00567;A0A494C128;H0Y653;H0YDU4,6;6;4;4;2,6;6;4;4;2,6;6;4;4;2,Nucleolar protein 56,NOP56,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;tr|A0A494C128|A0A494C128_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=1;tr|H0Y653|H0Y653_HUMAN Nucleolar protein 56 (Fragment) OS=Homo sapiens OX=9,6,6,11.1,594
FKBP2,-0.5520805592,0.00737469741995019,0,P26885;A0A494C1N0,P26885;A0A494C1N0,2;2,2;2,2;2,Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2,sp|P26885|FKBP2_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=2;tr|A0A494C1N0|A0A494C1N0_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=1,2,2,9.2,142
SRSF6,0.130334024,0.31664428477051,0,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80,5;5;5;5;5,5;5;5;5;5,4;4;4;4;4,Serine/arginine-rich splicing factor 6,SRSF6,sp|Q13247|SRSF6_HUMAN Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2;tr|A0A590UJK4|A0A590UJK4_HUMAN Serine/arginine-rich-splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=1;tr|A0A590UK01|A0A590UK01_HUMAN Serine/a,5,4,14.2,344
SAE1,-0.6175876393,0.00981254681450373,0,Q9UBE0;A0A590UK93;A0A590UKC5;B3KNJ4;M0QX65;M0QZS6;M0R375;M0QYP2;M0R286;A0A590UKA0;M0QYM8;M0R054,Q9UBE0;A0A590UK93;A0A590UKC5;B3KNJ4;M0QX65;M0QZS6,3;3;3;3;2;2;1;1;1;1;1;1,3;3;3;3;2;2;1;1;1;1;1;1,3;3;3;3;2;2;1;1;1;1;1;1,"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed",SAE1,sp|Q9UBE0|SAE1_HUMAN SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;tr|A0A590UK93|A0A590UK93_HUMAN SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;tr|A0A590UKC5|A0A590UKC5_HUMAN SUMO-activating enzyme ,3,3,12.4,346
AMPD2,0.1661486292,0.205762273192284,0,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;E9PJF6,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,5;5;5;3;3;1,5;5;5;3;3;1,5;5;5;3;3;1,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,5,5,7.2,879
ACAT1,-0.2637770829,0.154472571509367,0,P24752;A0A5F9ZHL1;A0A5F9ZHJ7;A0A5F9ZHJ0;A0A5F9ZHH9;A0A5F9ZHD4;A0A5F9ZI66;A0A5F9ZHL7;E9PRQ6;H0YEL7,P24752;A0A5F9ZHL1;A0A5F9ZHJ7;A0A5F9ZHJ0;A0A5F9ZHH9;A0A5F9ZHD4;A0A5F9ZI66,10;10;9;6;5;5;5;4;4;3,10;10;9;6;5;5;5;4;4;3,10;10;9;6;5;5;5;4;4;3,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,"sp|P24752|THIL_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHL1|A0A5F9ZHL1_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHJ7|A0A5F9ZHJ7_HUMAN",10,10,34.7,427
CTNND1,0.0883195285,0.673189849870758,0,O60716;A0A669KB62;A0A669KB05;C9JZR2,O60716;A0A669KB62;A0A669KB05;C9JZR2,3;3;3;3,3;3;3;3,3;3;3;3,Catenin delta-1,CTNND1,sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1;tr|A0A669KB62|A0A669KB62_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=4 SV=1;tr|A0A669KB05|A0A669KB05_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE,3,3,4.4,968
STAT1,-0.4695293843,0.0395107763688335,0,P42224;J3KPM9;A0A669KBI6;A0A669KB68;A0A669KB56;A0A669KBA4;A0A669KB53;A0A669KB52;A0A669KB75;E7EPD2;A0A669KB17;E7ENM1;D2KFR9,P42224;J3KPM9;A0A669KBI6;A0A669KB68;A0A669KB56;A0A669KBA4;A0A669KB53;A0A669KB52;A0A669KB75,10;10;10;10;10;10;10;8;6;4;3;2;2,10;10;10;10;10;10;10;8;6;4;3;2;2,10;10;10;10;10;10;10;8;6;4;3;2;2,Signal transducer and activator of transcription 1-alpha/beta;Signal transducer and activator of transcription,STAT1,sp|P42224|STAT1_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2;tr|J3KPM9|J3KPM9_HUMAN Signal transducer and activator of transcription OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=1;tr|A0A669KBI6|,10,10,17.2,750
UBA6,-0.196216131,0.32825814901223,0,A0AVT1;H0Y8S8,A0AVT1,5;2,5;2,5;2,Ubiquitin-like modifier-activating enzyme 6,UBA6,sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1,5,5,8.1,1052
ACO2,-0.235861915,0.0601541849465123,0,Q99798;A2A274,Q99798;A2A274,14;14,14;14,14;14,"Aconitate hydratase, mitochondrial",ACO2,"sp|Q99798|ACON_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2;tr|A2A274|A2A274_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=1",14,14,26.9,780
PGP,-0.131805079,0.707806812996456,0,A6NDG6,A6NDG6,3,3,3,Phosphoglycolate phosphatase,PGP,sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1,3,3,12.5,321
HCFC1,-0.4189263643,0.0526482984552583,0,P51610;A6NEM2;H7C1C4,P51610;A6NEM2,11;11;2,11;11;2,11;11;2,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,HCFC1,sp|P51610|HCFC1_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2;tr|A6NEM2|A6NEM2_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,11,11,7.1,2035
NUDT5,-0.0064976811,0.952082957903175,0,Q9UKK9;A6NFX8;H0YEY4;A6NCQ0;A6NJU6,Q9UKK9;A6NFX8;H0YEY4;A6NCQ0;A6NJU6,4;4;2;2;2,4;4;2;2;2,4;4;2;2;2,ADP-sugar pyrophosphatase,NUDT5,sp|Q9UKK9|NUDT5_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1;tr|A6NFX8|A6NFX8_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1;tr|H0YEY4|H0YEY4_HUMAN ADP-sugar pyrophosphatase (Fragment) OS=Homo sapie,4,4,22.4,219
UNC119;UNC119B,-0.4538415288,0.127234149972239,0,Q13432;A6NIH7;K7EJU3;K7EN86;C9JSK0,Q13432;A6NIH7;K7EJU3;K7EN86;C9JSK0,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1,Protein unc-119 homolog A;Protein unc-119 homolog B,UNC119;UNC119B,sp|Q13432|U119A_HUMAN Protein unc-119 homolog A OS=Homo sapiens OX=9606 GN=UNC119 PE=1 SV=1;sp|A6NIH7|U119B_HUMAN Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1;tr|K7EJU3|K7EJU3_HUMAN Protein unc-119 homolog A OS=Homo sapiens OX=960,1,1,3.8,240
USP14,0.1742497301,0.282200323065803,0,P54578;A6NJA2;J3QQT6;J3KS55,P54578;A6NJA2,10;10;1;1,10;10;1;1,10;10;1;1,Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase,USP14,sp|P54578|UBP14_HUMAN Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3;tr|A6NJA2|A6NJA2_HUMAN Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=2,10,10,20.6,494
RNPEP,-0.3119243268,0.377496149013155,0,Q9H4A4;A6NKB8;A0A087WUS4;A0A087WU27;C9JMZ3,Q9H4A4;A6NKB8;A0A087WUS4;A0A087WU27,7;7;5;5;2,7;7;5;5;2,7;7;5;5;2,Aminopeptidase B,RNPEP,sp|Q9H4A4|AMPB_HUMAN Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=2;tr|A6NKB8|A6NKB8_HUMAN Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=1;tr|A0A087WUS4|A0A087WUS4_HUMAN Aminopeptidase B (Fragment) OS=Homo sapiens OX=9606 GN=RNPEP ,7,7,14.5,650
ENSA;ARPP19,-0.2160512634,0.271445867759462,0,O43768;P56211;H3BQ52;H3BTD3;H3BMD8;A6NMQ3;Q5T5H1,O43768;P56211;H3BQ52;H3BTD3;H3BMD8;A6NMQ3;Q5T5H1,1;1;1;1;1;1;1,1;1;1;1;1;1;1,1;1;1;1;1;1;1,Alpha-endosulfine;cAMP-regulated phosphoprotein 19,ENSA;ARPP19,sp|O43768|ENSA_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1;sp|P56211|ARP19_HUMAN cAMP-regulated phosphoprotein 19 OS=Homo sapiens OX=9606 GN=ARPP19 PE=1 SV=2;tr|H3BQ52|H3BQ52_HUMAN cAMP-regulated phosphoprotein 19 OS=Homo sapiens OX=9,1,1,9.1,121
CRYZ,-0.3445027342,0.0492238394386862,0,Q08257;C9JH92;A6NP24,Q08257;C9JH92;A6NP24,5;5;5,5;5;5,5;5;5,Quinone oxidoreductase,CRYZ,sp|Q08257|QOR_HUMAN Quinone oxidoreductase OS=Homo sapiens OX=9606 GN=CRYZ PE=1 SV=1;tr|C9JH92|C9JH92_HUMAN Quinone oxidoreductase (Fragment) OS=Homo sapiens OX=9606 GN=CRYZ PE=1 SV=1;tr|A6NP24|A6NP24_HUMAN Quinone oxidoreductase (Fragment) OS=Homo sapiens,5,5,20.1,329
MANF,-0.0589230794,0.608425281223034,0,P55145;A8K878;H7C2D6,P55145;A8K878,5;5;1,5;5;1,5;5;1,Mesencephalic astrocyte-derived neurotrophic factor,MANF,sp|P55145|MANF_HUMAN Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens OX=9606 GN=MANF PE=1 SV=3;tr|A8K878|A8K878_HUMAN Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens OX=9606 GN=MANF PE=1 SV=1,5,5,45.1,182
SUMO2;SUMO3;SUMO4,-0.5299864016,0.0037021734083574,0,P61956;P55854;Q6EEV6;A8MUA9;A8MU27,P61956;P55854;Q6EEV6;A8MUA9;A8MU27,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,SUMO2;SUMO3;SUMO4,sp|P61956|SUMO2_HUMAN Small ubiquitin-related modifier 2 OS=Homo sapiens OX=9606 GN=SUMO2 PE=1 SV=3;sp|P55854|SUMO3_HUMAN Small ubiquitin-related modifier 3 OS=Homo sapiens OX=9606 GN=SUMO3 PE=1 SV=2;sp|Q6EEV6|SUMO4_HUMAN Small ubiquitin-related modifier 4,1,1,12.6,95
RPL23A,0.1408110671,0.199573564755228,0,P62750;H7BY10;K7ERT8;A8MUS3;K7EMA7;K7EJV9,P62750;H7BY10;K7ERT8;A8MUS3;K7EMA7;K7EJV9,7;7;7;7;6;6,7;7;7;7;6;6,7;7;7;7;6;6,60S ribosomal protein L23a,RPL23A,sp|P62750|RL23A_HUMAN 60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1;tr|H7BY10|H7BY10_HUMAN 60S ribosomal protein L23a (Fragment) OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1;tr|K7ERT8|K7ERT8_HUMAN 60S ribosomal protein L23a (Fragmen,7,7,46.8,156
SNRPG;SNRPGP15,-0.1666113039,0.144891083259496,0,P62308;A8MWD9;Q49AN9;F5H013,P62308;A8MWD9;Q49AN9;F5H013,1;1;1;1,1;1;1;1,1;1;1;1,Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15,SNRPG;SNRPGP15,sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2;tr|Q49AN9|Q49AN9_HUMAN Small nu,1,1,17.1,76
EIF3L,-0.1023595536,0.715338121471872,0,Q9Y262;B0QY89;B0QY90;C9JHP4;C9K0Q7;H0Y7E6;H7C3A0,Q9Y262;B0QY89;B0QY90,13;13;11;2;2;1;1,13;13;11;2;2;1;1,13;13;11;2;2;1;1,Eukaryotic translation initiation factor 3 subunit L,EIF3L,sp|Q9Y262|EIF3L_HUMAN Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1;tr|B0QY89|B0QY89_HUMAN Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1;tr|B0QY90|B0QY90_HU,13,13,32.8,564
UBE2I,-0.6315820039,0.0351998165383211,0,P63279;H3BQQ9;B0QYN7;H3BPC4;H3BRD1,P63279;H3BQQ9;B0QYN7;H3BPC4,5;5;5;4;1,5;5;5;4;1,5;5;5;4;1,SUMO-conjugating enzyme UBC9,UBE2I,sp|P63279|UBC9_HUMAN SUMO-conjugating enzyme UBC9 OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=1;tr|H3BQQ9|H3BQQ9_HUMAN SUMO-conjugating enzyme UBC9 (Fragment) OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=1;tr|B0QYN7|B0QYN7_HUMAN SUMO-conjugating enzyme UBC9 OS=Ho,5,5,39.9,158
CPNE1,-1.3770631491,0.0173972785157378,1,B0QZ18;Q99829;F2Z2V0;A6PVH9;H0Y524;E7ENH5;Q5JX56;Q5JX58;Q5JX59;Q5JX60;Q5JX44,B0QZ18;Q99829;F2Z2V0;A6PVH9,5;4;4;3;2;2;1;1;1;1;1,5;4;4;3;2;2;1;1;1;1;1,3;2;2;1;1;0;0;0;0;0;0,Copine-1,CPNE1,tr|B0QZ18|B0QZ18_HUMAN Copine-1 OS=Homo sapiens OX=9606 GN=CPNE1 PE=1 SV=1;sp|Q99829|CPNE1_HUMAN Copine-1 OS=Homo sapiens OX=9606 GN=CPNE1 PE=1 SV=1;tr|F2Z2V0|F2Z2V0_HUMAN Copine-1 (Fragment) OS=Homo sapiens OX=9606 GN=CPNE1 PE=1 SV=1;tr|A6PVH9|A6PVH9_HUMA,5,3,15.5,542
MPST,0.1806247853,0.343913171004431,0,P25325;B1AH49,P25325;B1AH49,6;6,6;6,6;6,3-mercaptopyruvate sulfurtransferase;Sulfurtransferase,MPST,sp|P25325|THTM_HUMAN 3-mercaptopyruvate sulfurtransferase OS=Homo sapiens OX=9606 GN=MPST PE=1 SV=3;tr|B1AH49|B1AH49_HUMAN 3-mercaptopyruvate sulfurtransferase OS=Homo sapiens OX=9606 GN=MPST PE=1 SV=1,6,6,21.2,297
PSMD10,-0.2344124884,0.0883633798503569,0,O75832;B1AJY7;B1AJY5,O75832;B1AJY7;B1AJY5,3;3;2,3;3;2,3;3;2,26S proteasome non-ATPase regulatory subunit 10,PSMD10,sp|O75832|PSD10_HUMAN 26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PSMD10 PE=1 SV=1;tr|B1AJY7|B1AJY7_HUMAN 26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PSMD10 PE=1 SV=1;tr|B1AJY5|B1AJY5_HUMAN 26S ,3,3,17.3,226
PEA15,0.1042113227,0.510170637892056,0,Q15121;B1AKZ5,Q15121;B1AKZ5,4;4,4;4,4;4,Astrocytic phosphoprotein PEA-15,PEA15,sp|Q15121|PEA15_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=2;tr|B1AKZ5|B1AKZ5_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=1,4,4,33.1,130
MRPL43,0.7084848136,0.00575048836936036,0,Q8N983;H0Y6Y8;B1AL05;H0YBU8;M0R051,Q8N983;H0Y6Y8;B1AL05;H0YBU8,5;5;5;3;2,5;5;5;3;2,5;5;5;3;2,"39S ribosomal protein L43, mitochondrial",MRPL43,"sp|Q8N983|RM43_HUMAN 39S ribosomal protein L43, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL43 PE=1 SV=1;tr|H0Y6Y8|H0Y6Y8_HUMAN 39S ribosomal protein L43, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL43 PE=1 SV=1;tr|B1AL05|B1AL05_HUMAN 39S ribo",5,5,27.4,215
PRPS1;PRPS1L1,0.128481543,0.341002918481399,0,P60891;B1ALA9;A0A2R8Y7H4;P21108;B7ZB02;B1ALA7;A0A0B4J207;Q15244;H7C540,P60891;B1ALA9;A0A2R8Y7H4;P21108,10;10;8;5;4;4;4;3;2,10;10;8;5;4;4;4;3;2,6;6;5;3;1;3;2;3;0,Ribose-phosphate pyrophosphokinase 1;Ribose-phosphate pyrophosphokinase 3,PRPS1;PRPS1L1,sp|P60891|PRPS1_HUMAN Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2;tr|B1ALA9|B1ALA9_HUMAN Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2;tr|A0A2R8Y7H4|A0A2R8Y7H4_HUMAN Ribose-phosphate pyr,10,6,40.6,318
PABPC4,0.3149614069,0.0695340088157548,0,Q13310;B1ANR0;H0Y5F5;B1ANR1;H0YEU6;H0Y6X6;H0YER0;H0YCC8,Q13310;B1ANR0;H0Y5F5,19;19;12;8;6;3;2;2,8;8;7;1;4;2;1;1,8;8;7;1;4;2;1;1,Polyadenylate-binding protein 4;Polyadenylate-binding protein,PABPC4,sp|Q13310|PABP4_HUMAN Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|B1ANR0|B1ANR0_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|H0Y5F5|H0Y5F5_HUMAN Polyadenylate-binding protein (Fragmen,19,8,32.3,644
HNRNPC,-0.1608447735,0.18298571922756,0,G3V4W0;G3V4C1;B2R5W2;B4DY08;G3V251;G3V5X6;G3V3K6;B4DSU6;G3V4M8;G3V2H6;A0A0G2JPF8;A0A0G2JNQ3;O60812;G3V2D6;B7ZW38;P0DMR1;B2RXH8;G3V5V7,G3V4W0;G3V4C1;B2R5W2;B4DY08;G3V251;G3V5X6;G3V3K6;B4DSU6,21;21;21;21;16;15;15;15;10;7;6;6;6;6;6;6;6;4,21;21;21;21;16;15;15;15;10;7;6;6;6;6;6;6;6;4,2;2;2;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0,,HNRNPC,tr|G3V4W0|G3V4W0_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1;tr|G3V4C1|G3V4C1_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1;tr|B2R5W2|B2R5W2_,21,2,52.7,262
PES1,0.1783292691,0.217325397760551,0,O00541;B3KXD6;B5MCF9,O00541;B3KXD6;B5MCF9,4;4;4,4;4;4,4;4;4,Pescadillo homolog,PES1,sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B3KXD6|B3KXD6_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B5MCF9|B5MCF9_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,4,4,8.7,588
CNN2,0.1504246985,0.212835963116963,0,Q99439;B4DDF4;B4DUT8;A0A087X271;H3BVI6;K7ES69;A0A087X1X5;A0A087WV51;H3BQH0,Q99439;B4DDF4;B4DUT8;A0A087X271;H3BVI6;K7ES69;A0A087X1X5,10;10;10;8;8;5;5;1;1,9;9;9;7;7;4;5;1;1,9;9;9;7;7;4;5;1;1,Calponin-2;Calponin,CNN2,sp|Q99439|CNN2_HUMAN Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4;tr|B4DDF4|B4DDF4_HUMAN Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1;tr|B4DUT8|B4DUT8_HUMAN Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1;tr|A0A087X271|A0A087X271_HUMAN Cal,10,9,41.7,309
COPS2,0.1465370786,0.370026953958931,0,P61201;B4DIH5;H0YM03;H0YKU5,P61201;B4DIH5;H0YM03;H0YKU5,3;3;2;2,3;3;2;2,3;3;2;2,COP9 signalosome complex subunit 2,COPS2,sp|P61201|CSN2_HUMAN COP9 signalosome complex subunit 2 OS=Homo sapiens OX=9606 GN=COPS2 PE=1 SV=1;tr|B4DIH5|B4DIH5_HUMAN COP9 signalosome complex subunit 2 OS=Homo sapiens OX=9606 GN=COPS2 PE=1 SV=1;tr|H0YM03|H0YM03_HUMAN COP9 signalosome complex subunit ,3,3,7.4,443
CS,0.077174219,0.654632905564116,0,O75390;B4DJV2;A0A0C4DGI3;H0YH82;F8VTT8;F8VRP1;F8VX68;F8W4S1;F8VPF9;F8W1S4;F8VPA1;F8W642;F8VZK9;H0YIC4;F8VX07;F8VRI6;F8VWQ5;F8VR34;F8VU34,O75390;B4DJV2;A0A0C4DGI3,15;15;14;7;6;6;6;6;6;6;6;5;5;5;5;3;2;1;1,15;15;14;7;6;6;6;6;6;6;6;5;5;5;5;3;2;1;1,15;15;14;7;6;6;6;6;6;6;6;5;5;5;5;3;2;1;1,"Citrate synthase, mitochondrial;Citrate synthase",CS,"sp|O75390|CISY_HUMAN Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2;tr|B4DJV2|B4DJV2_HUMAN Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 SV=1;tr|A0A0C4DGI3|A0A0C4DGI3_HUMAN Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 ",15,15,40.1,466
