Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DDA1_N1,Intensity DDA1_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q92688,Q92688,3,2,2,Acidic leucine-rich nuclear phosphoprotein 32 family member B,ANP32B,sp|Q92688|AN32B_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B PE=1 SV=1,3,2,15.9,24.6220415388731,25.916021208057,4.42168670121973,4.40094061045596
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.44813127545976,4.42301530869759,23.3003369184145,21.8010452032896
Q9P227;A0A087WZZ2;A0A087WTU4,Q9P227;A0A087WZZ2;A0A087WTU4,2;1;1,2;1;1,2;1;1,Rho GTPase-activating protein 23,ARHGAP23,sp|Q9P227|RHG23_HUMAN Rho GTPase-activating protein 23 OS=Homo sapiens OX=9606 GN=ARHGAP23 PE=1 SV=2;tr|A0A087WZZ2|A0A087WZZ2_HUMAN Rho GTPase-activating protein 23 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP23 PE=1 SV=1;tr|A0A087WTU4|A0A087WTU4_HUMAN Rho,2,2,1.7,23.925599043595,23.0012535527285,23.6751912453918,23.746631586517
P52565;J3QQX2;J3KTF8;J3KRE2,P52565;J3QQX2;J3KTF8;J3KRE2,2;2;2;1,2;2;2;1,2;2;2;1,Rho GDP-dissociation inhibitor 1,ARHGDIA,sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3;tr|J3QQX2|J3QQX2_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=1;tr|J3KTF8|J3KTF8_HUMAN Rho GDP-dissociation inhibitor 1,2,2,14.2,4.44813127545976,4.42301530869759,25.99595566793,26.137156577394
Q9NVP2;K7ELW9;K7EM93;K7EIL9;K7ES22,Q9NVP2;K7ELW9;K7EM93;K7EIL9;K7ES22,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,Histone chaperone ASF1B,ASF1B,sp|Q9NVP2|ASF1B_HUMAN Histone chaperone ASF1B OS=Homo sapiens OX=9606 GN=ASF1B PE=1 SV=1;tr|K7ELW9|K7ELW9_HUMAN Histone chaperone ASF1B OS=Homo sapiens OX=9606 GN=ASF1B PE=1 SV=1;tr|K7EM93|K7EM93_HUMAN Histone chaperone ASF1B OS=Homo sapiens OX=9606 GN=ASF,2,2,17.3,27.1617331472084,27.243634673568,4.42168670121973,4.40094061045596
P18847;A0A0A0MRJ2;Q5VTZ4,P18847;A0A0A0MRJ2;Q5VTZ4,2;2;2,2;2;2,2;2;2,Cyclic AMP-dependent transcription factor ATF-3,ATF3,sp|P18847|ATF3_HUMAN Cyclic AMP-dependent transcription factor ATF-3 OS=Homo sapiens OX=9606 GN=ATF3 PE=1 SV=2;tr|A0A0A0MRJ2|A0A0A0MRJ2_HUMAN Cyclic AMP-dependent transcription factor ATF-3 (Fragment) OS=Homo sapiens OX=9606 GN=ATF3 PE=1 SV=1;tr|Q5VTZ4|Q5V,2,2,11.6,23.0824368976303,23.8861371400772,4.42168670121973,4.40094061045596
P05023,P05023,4,4,2,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,sp|P05023|AT1A1_HUMAN Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,4,2,4.4,4.44813127545976,4.42301530869759,25.925220289732,25.1173558434994
P54253,P54253,2,2,2,Ataxin-1,ATXN1,sp|P54253|ATX1_HUMAN Ataxin-1 OS=Homo sapiens OX=9606 GN=ATXN1 PE=1 SV=2,2,2,4.7,24.3191379036875,24.6813350392877,4.42168670121973,4.40094061045596
Q92560;H0Y8E8;F8W6N3,Q92560;H0Y8E8;F8W6N3,2;1;1,2;1;1,2;1;1,Ubiquitin carboxyl-terminal hydrolase BAP1;Ubiquitin carboxyl-terminal hydrolase,BAP1,sp|Q92560|BAP1_HUMAN Ubiquitin carboxyl-terminal hydrolase BAP1 OS=Homo sapiens OX=9606 GN=BAP1 PE=1 SV=2;tr|H0Y8E8|H0Y8E8_HUMAN Ubiquitin carboxyl-terminal hydrolase BAP1 (Fragment) OS=Homo sapiens OX=9606 GN=BAP1 PE=1 SV=1;tr|F8W6N3|F8W6N3_HUMAN Ubiquiti,2,2,3.4,24.1956545569493,24.050343566873,4.42168670121973,4.40094061045596
H7C1I6,H7C1I6,5,2,2,,BAZ2B,tr|H7C1I6|H7C1I6_HUMAN Bromodomain adjacent to zinc finger domain protein 2B (Fragment) OS=Homo sapiens OX=9606 GN=BAZ2B PE=1 SV=1,5,2,45.8,25.6540619173062,25.8452718108869,4.42168670121973,4.40094061045596
O75934,O75934,2,2,2,Pre-mRNA-splicing factor SPF27,BCAS2,sp|O75934|SPF27_HUMAN Pre-mRNA-splicing factor SPF27 OS=Homo sapiens OX=9606 GN=BCAS2 PE=1 SV=1,2,2,11.6,25.4453751067579,22.8607346425238,23.2085415881129,23.0141349203956
Q9NYF8;H0YF14,Q9NYF8,34;9,34;9,2;2,Bcl-2-associated transcription factor 1,BCLAF1,sp|Q9NYF8|BCLF1_HUMAN Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2,34,2,36.4,31.8852557745065,31.6532659080258,29.0048532611861,28.7407578964681
Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|H3BPT9|H3BPT9_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV,2,2,29.1,22.9353866544512,22.7329135011301,24.2604050335537,23.1003870803596
P15056;H7C560;A0A2U3TZI2;A0A2R8Y8E0;A0A2R8Y467;A0A2R8YDP5,P15056;H7C560;A0A2U3TZI2;A0A2R8Y8E0;A0A2R8Y467;A0A2R8YDP5,3;3;3;3;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Serine/threonine-protein kinase B-raf,BRAF,sp|P15056|BRAF_HUMAN Serine/threonine-protein kinase B-raf OS=Homo sapiens OX=9606 GN=BRAF PE=1 SV=4;tr|H7C560|H7C560_HUMAN Serine/threonine-protein kinase B-raf OS=Homo sapiens OX=9606 GN=BRAF PE=1 SV=2;tr|A0A2U3TZI2|A0A2U3TZI2_HUMAN Serine/threonine-prot,3,2,3.0,4.44813127545976,4.42301530869759,23.6745448766351,23.4113165036904
Q6PJG6,Q6PJG6,2,2,2,BRCA1-associated ATM activator 1,BRAT1,sp|Q6PJG6|BRAT1_HUMAN BRCA1-associated ATM activator 1 OS=Homo sapiens OX=9606 GN=BRAT1 PE=1 SV=2,2,2,4.3,23.3120209760523,23.6143665680258,4.42168670121973,4.40094061045596
B0QYR1;B0QYR0;Q9Y2F9,B0QYR1;B0QYR0;Q9Y2F9,2;2;1,2;2;1,2;2;1,BTB/POZ domain-containing protein 3,BTBD3,tr|B0QYR1|B0QYR1_HUMAN BTB/POZ domain-containing protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=BTBD3 PE=1 SV=1;tr|B0QYR0|B0QYR0_HUMAN BTB/POZ domain-containing protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=BTBD3 PE=1 SV=8;sp|Q9Y2F9|BTBD3_HUMAN BTB/POZ,2,2,33.1,25.7491918268356,25.6408266819856,24.4044462056835,24.3612347406114
A0A5F9ZHH3;Q8NEP4;O43236;J3QRS4;A0A5F9ZHS9;J3QLA8,A0A5F9ZHH3;Q8NEP4;O43236;J3QRS4;A0A5F9ZHS9;J3QLA8,2;1;1;1;1;1,2;1;1;1;1;1,2;1;1;1;1;1,Uncharacterized protein C17orf47;Septin-4,C17orf47;SEPT4,tr|A0A5F9ZHH3|A0A5F9ZHH3_HUMAN Septin-4 OS=Homo sapiens OX=9606 GN=SEPTIN4 PE=1 SV=1;sp|Q8NEP4|CQ047_HUMAN Uncharacterized protein C17orf47 OS=Homo sapiens OX=9606 GN=C17orf47 PE=1 SV=3;sp|O43236|SEPT4_HUMAN Septin-4 OS=Homo sapiens OX=9606 GN=SEPTIN4 PE=1,2,2,2.6,23.3269056193969,23.3253965957772,4.42168670121973,4.40094061045596
Q8N3J3,Q8N3J3,2,2,2,Uncharacterized protein C17orf53,C17orf53,sp|Q8N3J3|HROB_HUMAN Homologous recombination OB-fold protein OS=Homo sapiens OX=9606 GN=HROB PE=1 SV=1,2,2,6.5,25.3284815491653,25.1157215287797,22.2038008294733,22.3885813627402
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ELS0|K7ELS0_HUMAN Telomerase RNA component-interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ERU7|K7ERU7_HUMAN Telomerase RNA comp,2,2,21.6,24.9957185084455,24.7259844356743,24.7162819267612,24.0197949881964
Q8N9M1;J3QKZ5;J3QS16;J3QS80,Q8N9M1;J3QKZ5;J3QS16;J3QS80,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf47,C19orf47,sp|Q8N9M1|CS047_HUMAN Uncharacterized protein C19orf47 OS=Homo sapiens OX=9606 GN=C19orf47 PE=1 SV=1;tr|J3QKZ5|J3QKZ5_HUMAN Uncharacterized protein C19orf47 (Fragment) OS=Homo sapiens OX=9606 GN=C19orf47 PE=1 SV=1;tr|J3QS16|J3QS16_HUMAN Uncharacterized pro,2,2,5.5,22.5313148226724,21.3747508363164,4.42168670121973,4.40094061045596
Q9NSG2,Q9NSG2,2,2,2,Uncharacterized protein C1orf112,C1orf112,sp|Q9NSG2|CA112_HUMAN Uncharacterized protein C1orf112 OS=Homo sapiens OX=9606 GN=C1orf112 PE=1 SV=1,2,2,3.6,24.3063966700958,23.4725877224577,4.42168670121973,4.40094061045596
Q8IYL3,Q8IYL3,2,2,2,UPF0688 protein C1orf174,C1orf174,sp|Q8IYL3|CA174_HUMAN UPF0688 protein C1orf174 OS=Homo sapiens OX=9606 GN=C1orf174 PE=1 SV=2,2,2,15.2,21.6792996826188,22.0940364369395,26.0623141496359,25.9276966344717
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,4.44813127545976,4.42301530869759,24.7250845711704,24.3178966976681
Q9BVC5;C9J4K0,Q9BVC5;C9J4K0,2;2,2;2,2;2,Ashwin,C2orf49,sp|Q9BVC5|ASHWN_HUMAN Ashwin OS=Homo sapiens OX=9606 GN=C2orf49 PE=1 SV=1;tr|C9J4K0|C9J4K0_HUMAN Ashwin OS=Homo sapiens OX=9606 GN=C2orf49 PE=1 SV=1,2,2,11.2,25.1208001179715,25.3646949455306,4.42168670121973,4.40094061045596
Q6ZQR2;A2A393,Q6ZQR2;A2A393,2;2,2;2,2;2,Uncharacterized protein C9orf171,C9orf171,sp|Q6ZQR2|CFA77_HUMAN Cilia- and flagella-associated protein 77 OS=Homo sapiens OX=9606 GN=CFAP77 PE=1 SV=1;tr|A2A393|A2A393_HUMAN Cilia- and flagella-associated protein 77 OS=Homo sapiens OX=9606 GN=CFAP77 PE=1 SV=1,2,2,8.8,30.9689096053983,30.7302833642855,4.42168670121973,4.40094061045596
Q9H8G2,Q9H8G2,2,2,2,Caspase activity and apoptosis inhibitor 1,CAAP1,sp|Q9H8G2|CAAP1_HUMAN Caspase activity and apoptosis inhibitor 1 OS=Homo sapiens OX=9606 GN=CAAP1 PE=1 SV=2,2,2,12.2,25.6409694986175,24.3794122136863,4.42168670121973,4.40094061045596
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.44813127545976,4.42301530869759,23.7611137310158,22.8220930856658
P45973;F8VNY3,P45973;F8VNY3,2;1,2;1,2;1,Chromobox protein homolog 5,CBX5,sp|P45973|CBX5_HUMAN Chromobox protein homolog 5 OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1;tr|F8VNY3|F8VNY3_HUMAN Chromobox protein homolog 5 (Fragment) OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1,2,2,13.6,24.4579504318861,24.3420737803738,4.42168670121973,4.40094061045596
Q9P2K1;A0A140T8Y7;H0Y941;A0A494C0X1,Q9P2K1;A0A140T8Y7;H0Y941;A0A494C0X1,2;2;1;1,2;2;1;1,2;2;1;1,Coiled-coil and C2 domain-containing protein 2A,CC2D2A,sp|Q9P2K1|C2D2A_HUMAN Coiled-coil and C2 domain-containing protein 2A OS=Homo sapiens OX=9606 GN=CC2D2A PE=1 SV=3;tr|A0A140T8Y7|A0A140T8Y7_HUMAN Coiled-coil and C2 domain-containing protein 2A (Fragment) OS=Homo sapiens OX=9606 GN=CC2D2A PE=1 SV=2;tr|H0Y94,2,2,1.9,27.6212870570076,27.4260107549536,27.3784864341902,27.2696363668668
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.44813127545976,4.42301530869759,25.5615662447535,24.3987828270151
Q96JG6;H0Y7Q2,Q96JG6;H0Y7Q2,2;1,2;1,2;1,Coiled-coil domain-containing protein 132,CCDC132,sp|Q96JG6|VPS50_HUMAN Syndetin OS=Homo sapiens OX=9606 GN=VPS50 PE=1 SV=3;tr|H0Y7Q2|H0Y7Q2_HUMAN Syndetin (Fragment) OS=Homo sapiens OX=9606 GN=VPS50 PE=1 SV=1,2,2,2.3,4.44813127545976,4.42301530869759,24.9469055607369,23.6962544218463
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.44813127545976,4.42301530869759,24.3118131598024,24.3126442452505
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2,2,15.0,4.44813127545976,4.42301530869759,24.5936031234191,24.6954581299705
P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,20.5,4.44813127545976,4.42301530869759,23.7613166702539,24.1335944139335
O60508;Q5SRN1,O60508;Q5SRN1,2;2,2;2,2;2,Pre-mRNA-processing factor 17,CDC40,sp|O60508|PRP17_HUMAN Pre-mRNA-processing factor 17 OS=Homo sapiens OX=9606 GN=CDC40 PE=1 SV=1;tr|Q5SRN1|Q5SRN1_HUMAN Pre-mRNA-processing factor 17 OS=Homo sapiens OX=9606 GN=CDC40 PE=1 SV=1,2,2,5.5,24.2927052605487,24.1036559919171,4.42168670121973,4.40094061045596
P06493;A0A024QZP7;E5RIU6;A0A087WZZ9,P06493;A0A024QZP7;E5RIU6;A0A087WZZ9,3;3;2;2,2;2;1;1,2;2;1;1,Cyclin-dependent kinase 1,CDK1;CDC2,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|E5RIU6|E5RIU6_HUMAN Cyclin-depend",3,2,13.8,4.44813127545976,4.42301530869759,21.9130924698339,23.099071016264
Q9BXF3;A0A087WT21;B7WPH3;A0A0R4J2E1,Q9BXF3;A0A087WT21;B7WPH3;A0A0R4J2E1,2;2;1;1,2;2;1;1,2;2;1;1,Cat eye syndrome critical region protein 2,CECR2,sp|Q9BXF3|CECR2_HUMAN Cat eye syndrome critical region protein 2 OS=Homo sapiens OX=9606 GN=CECR2 PE=1 SV=2;tr|A0A087WT21|A0A087WT21_HUMAN Cat eye syndrome critical region protein 2 OS=Homo sapiens OX=9606 GN=CECR2 PE=1 SV=1;tr|B7WPH3|B7WPH3_HUMAN Cat eye,2,2,2.8,23.7748489783092,24.8649051452365,23.6390933602238,23.847903481076
Q53EZ4;H0Y432,Q53EZ4;H0Y432,2;2,2;2,2;2,Centrosomal protein of 55 kDa,CEP55,sp|Q53EZ4|CEP55_HUMAN Centrosomal protein of 55 kDa OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=3;tr|H0Y432|H0Y432_HUMAN Centrosomal protein of 55 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=1,2,2,6.5,4.44813127545976,4.42301530869759,24.3376289790479,24.3331990359089
Q13112,Q13112,2,2,2,Chromatin assembly factor 1 subunit B,CHAF1B,sp|Q13112|CAF1B_HUMAN Chromatin assembly factor 1 subunit B OS=Homo sapiens OX=9606 GN=CHAF1B PE=1 SV=1,2,2,3.9,25.7085936925849,26.342791413254,4.42168670121973,4.40094061045596
Q96RK0;A0A0A0MQR4,Q96RK0;A0A0A0MQR4,31;30,2;1,2;1,Protein capicua homolog,CIC,sp|Q96RK0|CIC_HUMAN Protein capicua homolog OS=Homo sapiens OX=9606 GN=CIC PE=1 SV=2;tr|A0A0A0MQR4|A0A0A0MQR4_HUMAN Protein capicua homolog OS=Homo sapiens OX=9606 GN=CIC PE=1 SV=1,31,2,35.3,24.9424379025125,25.2048606523644,4.42168670121973,4.40094061045596
Q8N2M8;F5H0Q6;A0A0A0MQS2;K7EM61,Q8N2M8;F5H0Q6;A0A0A0MQS2;K7EM61,2;2;2;1,2;2;2;1,2;2;2;1,CLK4-associating serine/arginine rich protein,CLASRP,sp|Q8N2M8|CLASR_HUMAN CLK4-associating serine/arginine rich protein OS=Homo sapiens OX=9606 GN=CLASRP PE=1 SV=4;tr|F5H0Q6|F5H0Q6_HUMAN CLK4-associating serine/arginine-rich protein OS=Homo sapiens OX=9606 GN=CLASRP PE=1 SV=2;tr|A0A0A0MQS2|A0A0A0MQS2_HUMAN,2,2,5.8,22.9924979069456,25.5321059483916,4.42168670121973,4.40094061045596
O15516,O15516,3,3,2,Circadian locomoter output cycles protein kaput,CLOCK,sp|O15516|CLOCK_HUMAN Circadian locomoter output cycles protein kaput OS=Homo sapiens OX=9606 GN=CLOCK PE=1 SV=1,3,2,6.7,24.5063966929116,26.0492428357061,4.42168670121973,4.40094061045596
Q99715;D6RGG3;H0Y4P7;A0A087X0A8,Q99715;D6RGG3;H0Y4P7;A0A087X0A8,2;2;1;1,2;2;1;1,2;2;1;1,Collagen alpha-1(XII) chain,COL12A1,sp|Q99715|COCA1_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2;tr|D6RGG3|D6RGG3_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=1;tr|H0Y4P7|H0Y4P7_HUMAN Collagen alpha-1(XII) chain (Fragment) OS=,2,2,0.6,4.44813127545976,4.42301530869759,25.8843214628414,25.6230424576273
