Gene_names,TLE3_vs_BirA_logFC,TLE3_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_TLE3_N1,Peptides_TLE3_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_TLE3_N1,Razor___unique_peptides_TLE3_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_TLE3_N1,Unique_peptides_TLE3_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_TLE3_N1,Identification_type_TLE3_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_TLE3_N1,Ratio_H_L_TLE3_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_TLE3_N1,Ratio_H_L_normalized_TLE3_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____TLE3_N1,Ratio_H_L_variability_____TLE3_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_TLE3_N1,Ratio_H_L_count_TLE3_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_TLE3_N1,Ratio_H_L_iso_count_TLE3_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_TLE3_N1,Ratio_H_L_type_TLE3_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_TLE3_N1____,Sequence_coverage_TLE3_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_TLE3_N1,Intensity_L_TLE3_N1,Intensity_H_TLE3_N1,Intensity_TLE3_N2,Intensity_L_TLE3_N2,Intensity_H_TLE3_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_TLE3_N1,metacell_Intensity_L_TLE3_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
RPAP1,18.0746481130186,1.102773162912e-06,Q9BWH6;H3BRE8;H3BPM3,Q9BWH6;H3BRE8;H3BPM3,2;2;1,2;2;1,2;2;1,RNA polymerase II-associated protein 1,sp|Q9BWH6|RPAP1_HUMAN RNA polymerase II-associated protein 1 OS=Homo sapiens OX=9606 GN=RPAP1 PE=1 SV=3;tr|H3BRE8|H3BRE8_HUMAN RNA polymerase II-associated protein 1 OS=Homo sapiens OX=9606 GN=RPAP1 PE=1 SV=1;tr|H3BPM3|H3BPM3_HUMAN RNA polymerase II-associ,3,2,2,2,0,0,1,1,0,0,1,1,0,0,1,1,1.7,1.7,1.7,152.75,1393,1393;1128;180,0.015584,1.1059,,,By MS/MS,By MS/MS,2.7967,6.784,311.9,2,1,Median,,,21.462,0.36444,,,61.562,0.74757,,,,,0,0,1,1,0,0,1,0,Median,Median,Median,Median,0.0,0.0,0.7,0.9,129330000,27999000,101340000,0,0,0,0,0,0,99848000,6873400,92975000,29486000,21126000,8360500,,,,957,910;17150,True;True,972;18791,2551;48379,4744;91613,4744;91613,,,,,-1;-1;-1,protein_958,quanti,quanti,imputed MEC,imputed MEC
EARS2,20.6711761959212,3.12741965678167e-08,Q5JPH6;H3BTB7,Q5JPH6;H3BTB7,2;2,2;2,2;2,"Probable glutamate--tRNA ligase, mitochondrial","sp|Q5JPH6|SYEM_HUMAN Probable glutamate--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=EARS2 PE=1 SV=2;tr|H3BTB7|H3BTB7_HUMAN Probable glutamate--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=EARS2 PE=1 SV=1",2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,4.8,4.8,4.8,58.688,523,523;506,0.0032468,1.7554,,,By MS/MS,By MS/MS,0.55081,1.3761,12.331,4,2,Median,,,0.55081,0.55017,,,1.3761,1.3474,,,0.16585,21.254,0,0,2,2,0,0,1,1,Median,Median,Median,Median,0.0,0.0,4.8,4.8,227620000,146050000,81574000,0,0,0,0,0,0,106600000,68476000,38123000,121030000,77574000,43451000,,,,960,4652;18450,True;True,5042;20190,12942;12943;52119;52120,24883;24884;24885;98641;98642,24883;98642,,,,,-1;-1,protein_961,quanti,quanti,imputed MEC,imputed MEC
DHX30,4.08936204385368,5.71339871384603e-05,Q7L2E3;H7BXY3,Q7L2E3;H7BXY3,26;26,26;26,26;26,Putative ATP-dependent RNA helicase DHX30,sp|Q7L2E3|DHX30_HUMAN ATP-dependent RNA helicase DHX30 OS=Homo sapiens OX=9606 GN=DHX30 PE=1 SV=1;tr|H7BXY3|H7BXY3_HUMAN ATP-dependent RNA helicase DHX30 OS=Homo sapiens OX=9606 GN=DHX30 PE=1 SV=1,2,26,26,26,2,2,22,24,2,2,22,24,2,2,22,24,27.8,27.8,27.8,133.94,1194,1194;1166,0.0,64.953,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48017,1.1715,27.989,51,16,Leave out requantified,0.41353,0.43791,0.42091,0.51452,0.94758,0.8919,1.1184,1.2708,30.144,22.973,25.046,24.904,2,2,21,26,0,0,7,9,Median,Median,Leave out requantified,Leave out requantified,2.5,2.5,22.6,25.5,3076800000,1993000000,1083800000,25171000,16314000,8857100,31902000,22069000,9833200,1256800000,832750000,424050000,1762900000,1121800000,641090000,,,,965,1018;1453;1578;2228;2308;2340;2775;3542;4263;4556;7162;7252;8929;9828;12512;12803;13146;14325;14849;14863;15830;16426;17397;19262;20599;22647,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1091;1575;1716;2415;2497;2535;3007;3841;4618;4934;7858;7960;9876;10855;13809;14118;14492;15772;16331;16347;17383;18023;19059;21079;22551;24783,2892;2893;4234;4235;4236;4627;4628;6569;6570;6754;6877;6878;8098;8099;10089;10090;11941;12652;12653;20228;20229;20483;20484;25595;25596;28095;28096;28097;28098;28099;35755;35756;36519;36520;37497;37498;40794;40795;42221;42222;42223;42224;42263;44849;46404;49088;54485;54486;58402;58403;64103;64104,5423;5424;5425;7982;7983;7984;7985;7986;8748;8749;12826;12827;13164;13424;13425;13426;13427;15781;19657;19658;23038;24296;24297;38878;38879;38880;39330;39331;49199;49200;49201;49202;49203;54007;54008;54009;54010;54011;68288;68289;68290;69614;69615;69616;69617;69618;69619;69620;69621;71455;71456;77568;77569;77570;80382;80383;80384;80385;80386;80387;80388;80389;80475;80476;85304;87940;87941;92965;92966;103520;103521;103522;103523;111515;111516;111517;122394;122395;122396,5425;7985;8749;12826;13164;13426;15781;19658;23038;24297;38880;39331;49203;54010;68288;69617;71456;77568;80387;80475;85304;87941;92965;103521;111515;122396,,,,,-1;-1,protein_966,quanti,quanti,quanti,quanti
PPP1R7,-19.7879327691337,1.57844018765679e-07,Q15435;H7C003;H7C3Q5,Q15435;H7C003;H7C3Q5,2;2;1,2;2;1,2;2;1,Protein phosphatase 1 regulatory subunit 7,sp|Q15435|PP1R7_HUMAN Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1;tr|H7C003|H7C003_HUMAN Protein phosphatase 1 regulatory subunit 7 (Fragment) OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1;tr|H7C3Q5|H7C3Q5_HUMAN Pro,3,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,5.0,5.0,5.0,41.564,360,360;335;108,0.00043535,2.3289,By MS/MS,By MS/MS,,,0.36109,0.64692,22.161,3,1,Median,0.36129,0.29124,,,0.74967,0.56285,,,20.847,,,,2,1,0,0,1,0,0,0,Median,Median,Median,Median,5.0,2.5,0.0,0.0,35725000,26117000,9608900,22826000,15582000,7244300,12899000,10535000,2364600,0,0,0,0,0,0,,,,972,15691;21104,True;True,17230;23116,44465;44466;59894,84624;84625;114399,84624;114399,,,,,-1;-1;-1,protein_973,imputed MEC,imputed MEC,quanti,quanti
DNTTIP1,20.1900232066423,3.41385041312122e-08,Q9H147;H7C1M5;H7C1J2;F2Z2A4;H0Y501,Q9H147;H7C1M5;H7C1J2,3;3;2;1;1,3;3;2;1;1,3;3;2;1;1,Deoxynucleotidyltransferase terminal-interacting protein 1,sp|Q9H147|TDIF1_HUMAN Deoxynucleotidyltransferase terminal-interacting protein 1 OS=Homo sapiens OX=9606 GN=DNTTIP1 PE=1 SV=2;tr|H7C1M5|H7C1M5_HUMAN Deoxynucleotidyltransferase terminal-interacting protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=DNTTIP1 PE,5,3,3,3,0,0,2,2,0,0,2,2,0,0,2,2,12.5,12.5,12.5,37.013,329,329;280;232;145;150,0.0,4.5591,,,By MS/MS,By MS/MS,0.46516,1.0299,68.529,4,0,Leave out requantified,,,0.58892,0.77218,,,1.4134,1.6972,,,44.764,118.01,0,0,2,2,0,0,0,0,Median,Median,Median,Median,0.0,0.0,8.8,7.0,181700000,104700000,77000000,0,0,0,0,0,0,80440000,48545000,31895000,101270000,56160000,45106000,,,,976,12187;16937;17837,True;True;True,13456;18561;19536,34922;47758;47759;50362,66834;90424;90425;90426;95378,66834;90425;95378,,,,,-1;-1;-1;-1;-1,protein_977,quanti,quanti,imputed MEC,imputed MEC
EBNA1BP2,2.25723967465337,0.0139728231369437,Q99848;H7C2Q8,Q99848;H7C2Q8,6;6,6;6,6;6,Probable rRNA-processing protein EBP2,"sp|Q99848|EBP2_HUMAN Probable rRNA-processing protein EBP2 OS=Homo sapiens OX=9606 GN=EBNA1BP2 PE=1 SV=2;tr|H7C2Q8|H7C2Q8_HUMAN EBNA1 binding protein 2, isoform CRA_d OS=Homo sapiens OX=9606 GN=EBNA1BP2 PE=1 SV=1",2,6,6,6,1,3,6,5,1,3,6,5,1,3,6,5,23.9,23.9,23.9,34.852,306,306;361,0.0,23.306,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.79376,2.1746,25.037,15,1,Leave out requantified,0.72675,0.80405,0.79376,0.98293,2.0033,1.6263,2.1648,2.6762,,46.487,29.54,19.711,1,3,6,5,0,0,0,1,Median,Leave out requantified,Leave out requantified,Leave out requantified,5.2,15.4,23.9,18.6,1156700000,605510000,551210000,20697000,10922000,9774800,64819000,34869000,29949000,556220000,299300000,256920000,514990000,260420000,254570000,,,,977,2343;4386;6048;6550;6551;15520,True;True;True;True;True;True,2538;4747;6600;7180;7181;17051,6885;6886;6887;12238;12239;16943;16944;16945;18532;18533;18534;18535;44007;44008;44009,13439;13440;13441;13442;13443;13444;13445;23547;23548;23549;23550;32839;32840;32841;32842;32843;32844;32845;32846;35747;35748;35749;35750;35751;83796;83797;83798;83799;83800;83801;83802;83803,13443;23548;32842;35748;35751;83800,,,,,-1;-1,protein_978,quanti,quanti,quanti,quanti
NAGK,-22.4887590303645,0.000152192031238091,Q9UJ70;H7C3G9;H7C1L7;H0YEB7;C9JEV6;H0YE82;H0YC94,Q9UJ70;H7C3G9;H7C1L7;H0YEB7;C9JEV6,3;3;2;2;2;1;1,3;3;2;2;2;1;1,3;3;2;2;2;1;1,N-acetyl-D-glucosamine kinase,sp|Q9UJ70|NAGK_HUMAN N-acetyl-D-glucosamine kinase OS=Homo sapiens OX=9606 GN=NAGK PE=1 SV=4;tr|H7C3G9|H7C3G9_HUMAN N-acetyl-D-glucosamine kinase OS=Homo sapiens OX=9606 GN=NAGK PE=1 SV=2;tr|H7C1L7|H7C1L7_HUMAN N-acetyl-D-glucosamine kinase OS=Homo sapiens,7,3,3,3,1,2,0,0,1,2,0,0,1,2,0,0,16.9,16.9,16.9,37.375,344,344;340;159;182;293;84;136,0.015521,1.0816,By MS/MS,By MS/MS,,,1.7089,4.4117,99.592,3,2,Plateau,0.27609,0.93104,,,0.64077,2.3775,,,,91.524,,,1,2,0,0,1,1,0,0,Median,Median,Median,Median,3.5,13.4,0.0,0.0,908020000,669420000,238600000,14299000,10532000,3766400,893720000,658880000,234830000,0,0,0,0,0,0,,,,978,130;11426;16316,True;True;True,135;12626;17908,326;32772;46118,645;62749;87489,645;62749;87489,,,,,-1;-1;-1;-1;-1;-1;-1,protein_979,imputed MEC,imputed MEC,quanti,quanti
NSF,0.908386944175664,0.0228222072024016,P46459;I3L0N3;I3L2G1;I3L0L3;K7EQD6,P46459;I3L0N3,15;15;2;2;2,15;15;2;2;2,15;15;2;2;2,Vesicle-fusing ATPase,sp|P46459|NSF_HUMAN Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3;tr|I3L0N3|I3L0N3_HUMAN Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=1,5,15,15,15,7,5,12,13,7,5,12,13,7,5,12,13,22.8,22.8,22.8,82.593,744,744;739;136;161;180,0.0,41.184,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38469,1.0296,19.173,36,10,Leave out requantified,0.55561,0.4604,0.36952,0.38455,1.3654,1.1552,1.053,0.95742,68.755,25.297,15.19,25.997,6,5,12,13,2,1,3,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,11.8,7.8,17.2,20.2,2498000000,1681900000,816180000,178380000,114410000,63974000,204880000,139480000,65405000,943100000,634230000,308880000,1171700000,793740000,377930000,,,,988,6305;6969;7780;10877;11698;11835;12442;13747;13748;14569;15994;18785;20740;21773;22990,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,6895;7642;8611;12022;12932;13079;13736;15146;15147;16034;17558;20554;22716;23846;25163,17706;17707;17708;17709;17710;19693;19694;22242;22243;31178;31179;33589;33590;33968;35566;35567;35568;35569;39190;39191;39192;39193;41441;41442;41443;41444;45253;45254;45255;53123;53124;58859;58860;58861;61759;61760;65068;65069,34237;34238;34239;34240;34241;34242;34243;34244;34245;34246;34247;37815;37816;37817;42837;42838;42839;42840;59633;59634;64266;64267;64268;64269;65061;67983;67984;67985;67986;67987;67988;67989;74702;74703;74704;74705;78907;78908;78909;78910;78911;78912;78913;78914;78915;78916;85935;85936;85937;85938;100714;100715;112359;112360;112361;112362;112363;118073;118074;124326;124327,34242;37817;42839;59634;64267;65061;67983;74703;74705;78910;85936;100715;112360;118073;124326,,,,,-1;-1;-1;-1;-1,protein_989,quanti,quanti,quanti,quanti
CCDC137,20.2439183252517,8.66277396667172e-07,Q6PK04;I3L0U5,Q6PK04;I3L0U5,2;2,2;2,2;2,Coiled-coil domain-containing protein 137,sp|Q6PK04|CC137_HUMAN Coiled-coil domain-containing protein 137 OS=Homo sapiens OX=9606 GN=CCDC137 PE=1 SV=1;tr|I3L0U5|I3L0U5_HUMAN Coiled-coil domain-containing protein 137 (Fragment) OS=Homo sapiens OX=9606 GN=CCDC137 PE=1 SV=1,2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,10.7,10.7,10.7,33.231,289,289;292,0.00043197,2.2571,,,By MS/MS,By MS/MS,1.7099,4.4637,26.299,5,0,Leave out requantified,,,1.3638,2.1282,,,3.7063,5.2184,,,22.252,2.3003,0,0,3,2,0,0,0,0,Median,Median,Median,Median,0.0,0.0,10.7,10.7,331960000,117270000,214680000,0,0,0,0,0,0,210770000,81011000,129760000,121190000,36264000,84926000,,,,989,13973;14162,True;True,15389;15591,39781;39782;40284;40285;40286,75724;75725;76612,75725;76612,,,,,-1;-1,protein_990,quanti,quanti,imputed MEC,imputed MEC
SLC25A11,0.209252926411839,0.687554628993101,Q02978;I3L1P8,Q02978;I3L1P8,3;3,3;3,3;3,Mitochondrial 2-oxoglutarate/malate carrier protein,sp|Q02978|M2OM_HUMAN Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens OX=9606 GN=SLC25A11 PE=1 SV=3;tr|I3L1P8|I3L1P8_HUMAN Mitochondrial 2-oxoglutarate/malate carrier protein (Fragment) OS=Homo sapiens OX=9606 GN=SLC25A11 PE=1 SV=1,2,3,3,3,1,1,3,2,1,1,3,2,1,1,3,2,14.0,14.0,14.0,34.061,314,314;296,0.0,24.635,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38595,1.119,19.078,7,3,Median,0.37651,0.38595,0.35543,0.55815,1.2767,1.119,0.94023,1.2698,,,21.285,26.843,1,1,3,2,0,0,2,1,Median,Median,Median,Median,5.1,5.1,14.0,8.9,502500000,345560000,156930000,38870000,27531000,11339000,88184000,50800000,37384000,224550000,167000000,57547000,150900000,100230000,50664000,,,,991,255;2554;6380,True;True;True,271;2771;6984,665;666;667;668;7509;18005;18006,1244;1245;1246;1247;1248;1249;1250;14704;34801;34802,1245;14704;34802,,,,,-1;-1,protein_992,quanti,quanti,quanti,quanti
GEMIN4,20.614180688729,1.95483003878224e-07,P57678;I3L2C7;I3L1J7;E7EN12;I3L4M4;I3L4A4;I3L399,P57678;I3L2C7;I3L1J7;E7EN12;I3L4M4;I3L4A4;I3L399,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,Gem-associated protein 4,sp|P57678|GEMI4_HUMAN Gem-associated protein 4 OS=Homo sapiens OX=9606 GN=GEMIN4 PE=1 SV=2;tr|I3L2C7|I3L2C7_HUMAN Gem-associated protein 4 OS=Homo sapiens OX=9606 GN=GEMIN4 PE=1 SV=1;tr|I3L1J7|I3L1J7_HUMAN Gem-associated protein 4 (Fragment) OS=Homo sapien,7,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,2.2,2.2,2.2,120.04,1058,1058;1047;70;184;189;271;296,0.012434,1.1791,,,By MS/MS,By MS/MS,0.33688,0.94036,18.422,3,1,Plateau,,,0.30654,0.34636,,,0.7878,0.79269,,,,26.048,0,0,1,2,0,0,0,1,Median,Median,Median,Median,0.0,0.0,1.2,2.2,218910000,152260000,66653000,0,0,0,0,0,0,64012000,46345000,17667000,154900000,105910000,48986000,,,,992,3565;20392,True;True,3866;22312,10144;10145;57742,19758;110188,19758;110188,,,,,-1;-1;-1;-1;-1;-1;-1,protein_993,quanti,quanti,imputed MEC,imputed MEC
EIF5A;EIF5AL1;EIF5A2,-1.35813090361325,0.0114772952853368,P63241;I3L397;I3L504;Q6IS14;Q9GZV4;F8WCJ1;C9J7B5;C9J4W5,P63241;I3L397;I3L504;Q6IS14;Q9GZV4;F8WCJ1;C9J7B5;C9J4W5,11;11;11;10;8;8;8;8,11;11;11;10;8;8;8;8,11;11;11;10;8;8;8;8,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-1-like;Eukaryotic translation initiation factor 5A-2,sp|P63241|IF5A1_HUMAN Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=2;tr|I3L397|I3L397_HUMAN Eukaryotic translation initiation factor 5A (Fragment) OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=8;tr|I3L504|I3L504_HUMAN E,8,11,11,11,8,8,8,9,8,8,8,9,8,8,8,9,56.5,56.5,56.5,16.832,154,154;146;186;154;153;105;109;115,0.0,26.292,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38487,1.0126,11.796,50,12,Leave out requantified,0.3483,0.4033,0.36221,0.39514,1.1756,1.036,0.93452,1.0371,17.594,17.687,6.8848,11.056,11,11,14,14,3,0,5,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.6,41.6,51.9,56.5,6448100000,4566500000,1881600000,1169400000,835350000,334050000,1822400000,1259700000,562700000,1304200000,930470000,373740000,2152100000,1541000000,611120000,,,,994,359;360;10027;10261;10262;14483;14593;20453;20454;20455;22312,True;True;True;True;True;True;True;True;True;True;True,384;385;11077;11338;11339;15944;16060;22380;22381;22382;22383;24415,992;993;994;995;996;997;998;999;1000;1001;1002;1003;1004;1005;28683;28684;29385;29386;29387;29388;29389;29390;29391;29392;29393;29394;29395;41231;41232;41510;41511;41512;57924;57925;57926;57927;57928;57929;57930;57931;57932;57933;57934;57935;57936;57937;57938;57939;63173;63174,1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;55043;55044;55045;55046;55047;55048;56155;56156;56157;56158;56159;56160;56161;56162;56163;56164;56165;56166;56167;56168;56169;56170;56171;78498;78499;79052;79053;79054;79055;79056;79057;79058;79059;110538;110539;110540;110541;110542;110543;110544;110545;110546;110547;110548;110549;110550;110551;110552;110553;110554;110555;110556;110557;110558;110559;110560;110561;110562;110563;110564;110565;110566;110567;110568;110569;110570;110571;110572;120672;120673;120674,1932;1945;55043;56160;56171;78499;79055;110541;110564;110567;120674,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_995,quanti,quanti,quanti,quanti
NDUFAB1,21.832002637525,2.51139416851909e-08,O14561;I3L505;H3BNK3,O14561;I3L505,3;3;1,3;3;1,3;3;1,"Acyl carrier protein, mitochondrial;Acyl carrier protein","sp|O14561|ACPM_HUMAN Acyl carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFAB1 PE=1 SV=3;tr|I3L505|I3L505_HUMAN Acyl carrier protein, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=NDUFAB1 PE=1 SV=1",3,3,3,3,0,0,2,3,0,0,2,3,0,0,2,3,31.4,31.4,31.4,17.417,156,156;70;111,0.0,16.361,,,By MS/MS,By MS/MS,0.45353,1.0797,138.3,5,2,Median,,,0.40345,0.4725,,,1.0788,1.0797,,,9.1997,180.81,0,0,2,3,0,0,1,1,Median,Median,Median,Median,0.0,0.0,11.5,31.4,755320000,329450000,425860000,0,0,0,0,0,0,201040000,140650000,60391000,554270000,188800000,365470000,,,,997,3224;12835;13333,True;True;True,3489;14152;14700,9250;36605;36606;38042;38043,17969;69765;69766;72571;72572,17969;69766;72571,,,,,-1;-1;-1,protein_998,quanti,quanti,imputed MEC,imputed MEC
DHODH,21.507617904467,3.98429356261943e-08,Q02127;I3NI32;J3QRQ3;I3L449;J3QRJ4,Q02127;I3NI32;J3QRQ3;I3L449,4;4;2;2;1,4;4;2;2;1,4;4;2;2;1,"Dihydroorotate dehydrogenase (quinone), mitochondrial","sp|Q02127|PYRD_HUMAN Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Homo sapiens OX=9606 GN=DHODH PE=1 SV=3;tr|I3NI32|I3NI32_HUMAN Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Homo sapiens OX=9606 GN=DHODH PE=1 SV=1;tr|J3QRQ3|J3QRQ3_H",5,4,4,4,0,0,4,4,0,0,4,4,0,0,4,4,14.7,14.7,14.7,42.867,395,395;393;144;193;76,0.0,7.9925,,,By MS/MS,By MS/MS,0.46678,1.1756,24.754,8,0,Leave out requantified,,,0.4638,0.45884,,,1.2156,1.1369,,,27.009,23.957,0,0,4,4,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,14.7,14.7,407800000,260430000,147370000,0,0,0,0,0,0,203380000,134540000,68839000,204420000,125890000,78532000,,,,998,715;5530;12878;20249,True;True;True;True,759;5997;14200;22157,1974;1975;15376;15377;36724;36725;57313;57314,3632;29565;29566;29567;29568;69988;69989;109382;109383;109384;109385,3632;29568;69988;109384,,,,,-1;-1;-1;-1;-1,protein_999,quanti,quanti,imputed MEC,imputed MEC
LMO7,19.1497526787327,4.28402552930779e-08,J3KP06;Q8WWI1;E9PMP7;E9PMS6;F8WD26,J3KP06;Q8WWI1;E9PMP7;E9PMS6;F8WD26,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,LIM domain only protein 7,tr|J3KP06|J3KP06_HUMAN LIM domain only protein 7 OS=Homo sapiens OX=9606 GN=LMO7 PE=1 SV=2;sp|Q8WWI1|LMO7_HUMAN LIM domain only protein 7 OS=Homo sapiens OX=9606 GN=LMO7 PE=1 SV=3;tr|E9PMP7|E9PMP7_HUMAN LIM domain only protein 7 (Fragment) OS=Homo sapiens ,5,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,1.3,1.3,1.3,190.68,1668,1668;1683;1045;1275;1631,0.0043547,1.5449,,,By MS/MS,By MS/MS,1.5367,3.1398,194.56,4,2,Median,,,3.1111,1.5141,,,6.4449,2.8619,,,271.29,182.69,0,0,2,2,0,0,1,1,Median,Median,Median,Median,0.0,0.0,1.3,1.3,103250000,51113000,52140000,0,0,0,0,0,0,49392000,22629000,26763000,53860000,28484000,25376000,,,,1002,593;14242,True;True,627;15676,1629;1630;40534;40535,3019;3020;77071;77072,3019;77071,,,,,-1;-1;-1;-1;-1,protein_1003,quanti,quanti,imputed MEC,imputed MEC
SRSF2,-0.0315304209618539,0.913921827972251,Q01130;J3QL05;J3KP15;Q9BRL6,Q01130;J3QL05;J3KP15,7;7;7;1,7;7;7;1,7;7;7;1,Serine/arginine-rich splicing factor 2,sp|Q01130|SRSF2_HUMAN Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=4;tr|J3QL05|J3QL05_HUMAN Serine/arginine-rich-splicing factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=1;tr|J3KP15|J3KP15_HUMAN Serine/argini,4,7,7,7,5,5,4,4,5,5,4,4,5,5,4,4,26.2,26.2,26.2,25.476,221,221;130;133;282,0.0,42.12,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29363,0.83307,10.872,20,7,Leave out requantified,0.24198,0.30375,0.25784,0.25858,0.86475,0.85103,0.74411,0.694,12.488,3.9574,11.84,12.184,5,5,6,4,3,0,2,2,Median,Leave out requantified,Leave out requantified,Median,26.2,26.2,21.7,21.7,3286500000,2521800000,764760000,357830000,284860000,72976000,481350000,360040000,121300000,1181900000,899100000,282810000,1265400000,977770000,287670000,,,,1003,2841;2842;4929;18351;18352;20297;20298,True;True;True;True;True;True;True,3077;3078;5343;20082;20083;22208;22209;22210,8256;8257;8258;8259;8260;13735;13736;51845;51846;51847;51848;51849;51850;57469;57470;57471;57472;57473;57474;57475;57476,16028;16029;16030;16031;16032;16033;16034;16035;16036;16037;16038;26415;26416;26417;26418;98152;98153;98154;98155;98156;98157;98158;98159;98160;98161;109672;109673;109674;109675;109676;109677;109678;109679;109680;109681;109682;109683;109684;109685;109686;109687;109688;109689;109690;109691;109692;109693;109694;109695,16029;16036;26418;98152;98158;109672;109695,,,,,-1;-1;-1;-1,protein_1004,quanti,quanti,quanti,quanti
