Gene_names,SMU1_vs_BirA_logFC,SMU1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_SMU1_N1,Peptides_SMU1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_SMU1_N1,Razor___unique_peptides_SMU1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_SMU1_N1,Unique_peptides_SMU1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_SMU1_N1,Identification_type_SMU1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_SMU1_N1,Ratio_H_L_SMU1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_SMU1_N1,Ratio_H_L_normalized_SMU1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____SMU1_N1,Ratio_H_L_variability_____SMU1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_SMU1_N1,Ratio_H_L_count_SMU1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_SMU1_N1,Ratio_H_L_iso_count_SMU1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_SMU1_N1,Ratio_H_L_type_SMU1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_SMU1_N1____,Sequence_coverage_SMU1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_SMU1_N1,Intensity_L_SMU1_N1,Intensity_H_SMU1_N1,Intensity_SMU1_N2,Intensity_L_SMU1_N2,Intensity_H_SMU1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_SMU1_N1,metacell_Intensity_L_SMU1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
MTHFD1,-0.829803829004376,0.0152922464773975,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,59;59;59;59;51;39,59;59;59;59;51;39,58;58;58;58;50;38,"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed","sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3;tr|V9GYY3|V9GYY3_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=2;tr|A0A384N5Y3|A0A384N5Y3_HUMAN C-1-tet",6,59,59,58,36,39,35,36,36,39,35,36,35,38,34,35,62.1,62.1,61.1,101.56,935,935;922;935;964;854;644,0.0,234.26,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29394,0.92267,16.444,160,92,Leave out requantified,0.25498,0.32179,0.10016,0.11442,0.94805,0.94051,0.11522,0.13204,20.753,14.434,99.372,116.15,44,44,35,37,12,10,34,36,Leave out requantified,Leave out requantified,Median,Median,44.8,48.0,44.1,44.3,12479000000,9961700000,2517500000,3625900000,2779600000,846250000,4270100000,3161300000,1108800000,2305900000,2032200000,273660000,2277400000,1988600000,288770000,,,,281,64;173;174;982;1149;1453;1659;2142;2143;2294;3052;3053;3331;3566;4112;4113;4380;4452;4478;5461;5462;5823;6184;6185;6369;7079;7166;7273;7465;7578;7855;7989;7990;8076;8199;8488;8489;8501;8788;8845;9398;10012;10424;10507;11557;11969;12139;13141;13797;14126;14131;14303;14696;15806;15913;16472;16740;17363;17457,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,71;208;209;210;1244;1245;1246;1478;1479;1861;1862;2107;2108;2109;2735;2736;2933;2934;3902;3903;4247;4538;5189;5190;5515;5516;5624;5659;6967;6968;6969;7482;7923;7924;7925;8154;9027;9133;9134;9258;9514;9662;10046;10047;10221;10222;10336;10507;10852;10853;10867;11210;11290;11291;11956;12694;13186;13279;13280;14544;15037;15038;15253;16457;17244;17629;17634;17846;18341;18342;19756;19891;19892;20586;20920;21680;21681;21791;21792,170;171;494;495;496;497;498;499;500;2979;2980;2981;2982;3551;3552;3553;3554;3555;4484;4485;4486;4487;4488;4489;5091;5092;5093;5094;5095;5096;5097;5098;6534;6535;6536;6537;6964;6965;6966;6967;9150;9151;9152;9153;9154;9894;9895;10518;11994;11995;11996;11997;12712;12713;12714;12715;12951;12952;12953;12954;12955;13034;13035;16051;16052;16053;16054;16055;16056;16057;16058;17278;18223;18224;18225;18226;18227;18228;18229;18759;18760;18761;18762;20784;21019;21020;21021;21288;21289;21290;21291;21828;22167;23040;23041;23042;23473;23474;23475;23741;23742;24207;24208;24209;24210;24997;24998;24999;25000;25001;25002;25030;25031;25845;25846;25847;25848;26026;26027;26028;26029;26030;26031;26032;26033;27483;29110;29111;29112;30247;30458;30459;30460;33251;33252;33253;34345;34346;34347;34348;34349;34800;34801;37604;37605;37606;37607;39454;40409;40423;40424;40946;42080;42081;42082;45476;45477;45478;45479;45480;45481;45797;45798;45799;45800;45801;45802;47434;47435;48224;48225;49911;49912;49913;49914;49915;50150;50151;50152;50153,268;269;270;826;827;828;829;830;831;832;833;834;5020;5021;5022;5023;5926;5927;5928;5929;5930;5931;5932;5933;7606;7607;7608;7609;7610;7611;7612;7613;7614;7615;7616;7617;7618;8612;8613;8614;8615;8616;8617;8618;8619;8620;8621;8622;11063;11064;11065;11066;11067;11734;11735;11736;11737;11738;11739;15217;15218;15219;15220;15221;16306;16307;16308;16309;17282;17283;19675;19676;19677;19678;19679;19680;19681;20887;20888;20889;20890;20891;20892;20893;21294;21295;21296;21297;21298;21299;21300;21301;21302;21303;21304;21435;21436;26233;26234;26235;26236;26237;26238;26239;26240;26241;26242;26243;26244;26245;26246;28277;29717;29718;29719;29720;29721;29722;29723;29724;29725;29726;29727;30650;30651;30652;30653;30654;30655;30656;33968;34326;34327;34328;34329;34330;34331;34332;34831;34832;34833;34834;34835;34836;34837;34838;35674;36254;37572;37573;38263;38264;38265;38664;38665;38666;39399;39400;39401;39402;39403;39404;39405;39406;39407;40683;40684;40685;40686;40719;40720;42044;42045;42046;42047;42048;42049;42281;42282;42283;42284;42285;42286;42287;42288;42289;42290;42291;42292;42293;42294;42295;44508;47004;47005;47006;48901;49259;49260;49261;49262;53786;53787;55549;55550;55551;55552;55553;55554;55555;55556;55557;55558;55559;55560;55561;56234;56235;60801;60802;60803;60804;60805;60806;60807;60808;60809;60810;63786;65454;65479;65480;66421;66422;68417;68418;68419;68420;68421;68422;74049;74050;74051;74052;74053;74054;74055;74056;74057;74058;74613;74614;74615;74616;74617;74618;74619;74620;74621;74622;74623;74624;74625;77331;77332;77333;78605;78606;81235;81236;81237;81238;81239;81240;81241;81242;81243;81244;81245;81598;81599;81600;81601;81602,269;830;831;5021;5931;7610;8612;11063;11067;11735;15217;15220;16307;17283;19677;19681;20889;21300;21435;26237;26244;28277;29717;29721;30652;33968;34331;34838;35674;36254;37572;38263;38265;38664;39403;40683;40686;40720;42049;42285;44508;47005;48901;49260;53786;55559;56234;60805;63786;65454;65480;66421;68418;74053;74620;77331;78605;81238;81600,163;164;165;166;167;168,,21;292;354;543;588;705,,-1;-1;-1;-1;-1;-1,protein_282,quanti,quanti,quanti,quanti
CTPS1,-0.0444678371296483,0.886845865308,P17812;A0A3B3IRI2;B4E1E0;A0A3B3IRQ8;A0A3B3ITF6;A0A3B3ITB8;A0A3B3ITH9;A0A3B3ISY3;Q9NRF8,P17812;A0A3B3IRI2;B4E1E0;A0A3B3IRQ8;A0A3B3ITF6;A0A3B3ITB8,25;25;19;18;18;13;5;4;2,25;25;19;18;18;13;5;4;2,25;25;19;18;18;13;5;4;2,CTP synthase 1;CTP synthase,sp|P17812|PYRG1_HUMAN CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2;tr|A0A3B3IRI2|A0A3B3IRI2_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr|B4E1E0|B4E1E0_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr|A0A3B3I,9,25,25,25,17,15,16,11,17,15,16,11,17,15,16,11,48.9,48.9,48.9,66.69,591,591;564;435;451;461;335;111;89;586,0.0,66.285,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.22537,0.62684,29.339,65,42,Leave out requantified,0.22939,0.21707,0.084286,0.066745,0.81065,0.62721,0.10014,0.084441,25.014,29.749,110.72,80.072,18,16,20,11,6,6,19,11,Leave out requantified,Leave out requantified,Median,Median,37.9,35.4,31.0,23.4,5055500000,4255700000,799790000,1096400000,881490000,214960000,1331800000,1062400000,269440000,1613000000,1394300000,218700000,1014300000,917560000,96702000,,,,282,1075;4115;4777;4965;5337;5820;5821;6815;7306;7307;7684;8171;8172;8980;8981;9662;10138;10608;11700;11823;14982;15745;16142;17053;17074,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1377;5192;6057;6058;6332;6807;7479;7480;8715;8716;9294;9295;9808;10458;10459;10460;11456;11457;11458;12262;12852;13412;13413;14711;14853;14854;18683;19671;20175;21295;21319,3314;3315;3316;3317;12000;12001;12002;13953;13954;13955;13956;14598;14599;14600;14601;15691;15692;17273;17274;17275;17276;20102;20103;20104;20105;20106;20107;20108;21362;21363;21364;22489;22490;24049;24050;24051;24052;24053;24054;24055;24056;24057;26406;26407;26408;26409;26410;26411;26412;28149;29495;30734;30735;30736;33633;33634;33635;33926;33927;33928;42885;42886;42887;45273;46489;49057;49058;49107;49108;49109,5524;5525;5526;5527;5528;5529;5530;5531;19684;19685;19686;19687;19688;19689;19690;22921;22922;22923;22924;22925;22926;23925;23926;23927;23928;23929;23930;23931;25655;25656;28269;28270;28271;28272;28273;28274;28275;32885;32886;32887;32888;32889;32890;32891;32892;34951;34952;34953;34954;34955;36741;36742;39146;39147;39148;39149;39150;39151;39152;39153;39154;39155;39156;39157;39158;42872;42873;42874;42875;42876;42877;42878;42879;42880;42881;45479;47623;47624;49670;49671;49672;49673;49674;54418;54419;54420;54421;54852;54853;54854;69775;69776;69777;69778;73744;73745;75777;75778;75779;79868;79869;79870;79871;79872;79940;79941;79942,5525;19687;22925;23931;25656;28271;28275;32890;34952;34953;36741;39146;39157;42876;42881;45479;47623;49673;54420;54852;69777;73744;75778;79871;79941,169;170,,2;535,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_283,quanti,quanti,quanti,quanti
SSR1,18.6287455352157,8.52758277719458e-08,P43307;C9J3L8;C9J5W0;A0A3B3IRT8;E9PAL7;C9IZQ1,P43307;C9J3L8;C9J5W0;A0A3B3IRT8;E9PAL7;C9IZQ1,2;2;2;2;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Translocon-associated protein subunit alpha,sp|P43307|SSRA_HUMAN Translocon-associated protein subunit alpha OS=Homo sapiens OX=9606 GN=SSR1 PE=1 SV=3;tr|C9J3L8|C9J3L8_HUMAN Translocon-associated protein subunit alpha OS=Homo sapiens OX=9606 GN=SSR1 PE=1 SV=1;tr|C9J5W0|C9J5W0_HUMAN Translocon-associ,6,2,2,2,0,0,1,1,0,0,1,1,0,0,1,1,8.0,8.0,8.0,32.235,286,286;265;266;288;291;298,0.0038997,2.0682,,,By MS/MS,By MS/MS,0.35353,0.41562,,1,1,Median,,,,0.35353,,,,0.41562,,,,,0,0,0,1,0,0,0,1,Median,Median,Median,Median,0.0,0.0,2.8,5.2,23149000,20418000,2731500,0,0,0,0,0,0,10572000,10572000,0,12577000,9845900,2731500,,,,284,3969;5335,True;True,5024;6805,11633;15688,19087;25651,19087;25651,,,,,-1;-1;-1;-1;-1;-1,protein_285,quanti,quanti,imputed MEC,imputed MEC
TCOF1,-1.70185706294449,0.0051943118760146,Q13428;A0A3B3IS06;E7ETY2;H0Y8Y7;A0A2R8Y857;A0A2R8Y4M7;H0YA99,Q13428;A0A3B3IS06;E7ETY2;H0Y8Y7,8;8;8;6;3;1;1,8;8;8;6;3;1;1,8;8;8;6;3;1;1,Treacle protein,sp|Q13428|TCOF_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3;tr|A0A3B3IS06|A0A3B3IS06_HUMAN Treacle protein (Fragment) OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=1;tr|E7ETY2|E7ETY2_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=,7,8,8,8,7,4,4,2,7,4,4,2,7,4,4,2,8.1,8.1,8.1,152.1,1488,1488;1358;1488;994;297;108;188,0.0,17.561,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27827,0.80613,14.461,14,10,Leave out requantified,0.28508,0.26869,0.15835,0.19348,0.8797,0.72595,0.16848,0.20477,38.048,11.175,14.905,4.8397,6,4,2,2,5,1,2,2,Median,Leave out requantified,Median,Median,7.3,4.6,4.2,2.1,587050000,468150000,118900000,235210000,175420000,59792000,213120000,164540000,48580000,81372000,76173000,5198500,57349000,52022000,5326400,,,,287,209;3194;5351;8093;13508;14637;14893;15996,True;True;True;True;True;True;True;True,248;4087;6826;10356;16909;18272;18575;19995,577;578;579;580;9581;15730;15731;23799;23800;23801;38660;41930;42629;46051;46052;46053;46054,960;961;962;963;964;965;966;15854;25715;25716;25717;25718;38742;38743;38744;38745;62525;68199;68200;69310;75052;75053;75054;75055;75056;75057,962;15854;25715;38744;62525;68199;69310;75056,,,,,-1;-1;-1;-1;-1;-1;-1,protein_288,quanti,quanti,quanti,quanti
PPM1B;PPM1A,-0.8096042637514,0.0824058776997019,O75688;B8ZZF0;C9JIR6;A0A3B3IS24;P35813;E9PKB5;E9PL75;E9PJN3,O75688;B8ZZF0;C9JIR6;A0A3B3IS24;P35813;E9PKB5,3;3;3;3;2;2;1;1,3;3;3;3;2;2;1;1,3;3;3;3;2;2;1;1,Protein phosphatase 1B;Protein phosphatase 1A,sp|O75688|PPM1B_HUMAN Protein phosphatase 1B OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=1;tr|B8ZZF0|B8ZZF0_HUMAN Protein phosphatase 1B (Fragment) OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=2;tr|C9JIR6|C9JIR6_HUMAN Protein phosphatase 1B (Fragment) OS=Homo sap,8,3,3,3,1,2,1,2,1,2,1,2,1,2,1,2,6.5,6.5,6.5,52.642,479,479;303;378;384;382;187;128;148,0.0,4.9288,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.65195,1.3189,120.98,7,7,Median,1.0156,1.034,0.65195,0.25252,3.6731,2.889,0.70401,0.2708,,42.997,,120.86,1,3,1,2,1,3,1,2,Median,Plateau,Median,Median,2.5,4.4,2.5,4.6,333620000,182140000,151470000,69679000,36488000,33192000,150710000,73815000,76893000,53258000,31876000,21383000,59970000,39963000,20006000,,,,288,6865;11689;17008,True;True;True,8773;14697;21237,20206;20207;20208;20209;20210;33595;48924,33024;33025;33026;33027;33028;33029;33030;33031;54355;79655,33029;54355;79655,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_289,quanti,quanti,quanti,quanti
MCM4,-2.13238174849248,0.00599919940550814,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31;A0A3B3IRR8;Q9UJA3;A0A494C100,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31,20;20;20;16;16;14;4;1;1,20;20;20;16;16;14;4;1;1,20;20;20;16;16;14;4;1;1,DNA replication licensing factor MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,9,20,20,20,14,13,8,7,14,13,8,7,14,13,8,7,33.4,33.4,33.4,96.557,863,863;813;904;742;749;582;191;840;1009,0.0,66.335,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50507,1.2984,38.131,41,16,Leave out requantified,0.40302,0.57316,0.21521,0.20684,1.2291,1.566,0.22392,0.21922,75.04,18.926,76.661,38.422,14,15,8,4,4,1,7,4,Leave out requantified,Leave out requantified,Median,Median,24.2,26.4,13.2,10.2,2334300000,1633800000,700580000,738330000,541740000,196590000,1169500000,727150000,442390000,288800000,241660000,47143000,137670000,123210000,14457000,,,,295,639;3800;4799;4800;5122;7795;8080;8442;9703;9968;11400;12066;12411;13220;13866;13932;14248;14804;14805;14817,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,787;788;4809;6090;6091;6092;6093;6545;9963;10340;10794;12312;12638;14353;15158;15599;16553;17324;17401;17778;18466;18467;18481,1871;1872;1873;1874;1875;11158;11159;14029;14030;14031;14032;14033;14034;15116;22854;23748;23749;23750;24862;24863;28251;28252;29001;29002;29003;32819;32820;32821;34598;35573;37810;37811;39659;39660;39661;39662;39854;39855;40753;42349;42350;42351;42352;42379;42380;42381;42382,3112;3113;3114;3115;3116;3117;18280;18281;18282;18283;23043;23044;23045;23046;23047;23048;24787;37309;38671;38672;38673;40424;40425;40426;40427;40428;40429;40430;40431;40432;40433;40434;45658;45659;45660;45661;46787;46788;46789;46790;46791;46792;53031;53032;53033;53034;53035;53036;55929;57429;57430;61135;61136;61137;61138;61139;61140;64154;64155;64156;64157;64158;64159;64160;64161;64162;64163;64164;64466;64467;64468;66050;68828;68829;68830;68831;68832;68833;68834;68867;68868;68869;68870;68871;68872;68873,3115;18282;23044;23047;24787;37309;38672;40426;45661;46790;53032;55929;57429;61139;64159;64468;66050;68828;68830;68870,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_296,quanti,quanti,quanti,quanti
NUP98,-22.4290249609799,1.71294427443312e-07,P52948;A0A3B3ITD8;H0YDA1;H7C3P6,P52948;A0A3B3ITD8;H0YDA1;H7C3P6,2;2;1;1,2;2;1;1,2;2;1;1,Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96,sp|P52948|NUP98_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4;tr|A0A3B3ITD8|A0A3B3ITD8_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=1;tr|H0YDA1|H0YDA1_HUMAN Nuclear pore,4,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,1.2,1.2,1.2,197.58,1817,1817;1348;75;753,0.0078616,1.7291,By MS/MS,By MS/MS,,,0.35967,1.1477,16.127,6,2,Median,0.31514,0.35967,,,1.1477,1.0017,,,17.445,10.934,,,3,3,0,0,1,1,0,0,Median,Median,Median,Median,1.2,1.2,0.0,0.0,331950000,235710000,96233000,177300000,131470000,45833000,154640000,104240000,50400000,0,0,0,0,0,0,,,,296,9093;13362,True;True,11594;16733,26715;26716;26717;26718;38256;38257,43405;43406;43407;61827;61828,43407;61827,,,,,-1;-1;-1;-1,protein_297,imputed MEC,imputed MEC,quanti,quanti
HNRNPL,-0.0605958980541885,0.880720877813236,P14866;M0QXS5;A0A3B3ITJ4;B4DVF8;M0R1W6,P14866;M0QXS5;A0A3B3ITJ4,15;15;15;2;2,15;15;15;2;2,6;6;6;2;2,Heterogeneous nuclear ribonucleoprotein L,sp|P14866|HNRPL_HUMAN Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2;tr|M0QXS5|M0QXS5_HUMAN Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=1;tr|A0A3B3ITJ4|A0A3B3ITJ4_HUM,5,15,15,6,9,8,9,8,9,8,9,8,3,3,3,4,27.5,27.5,18.2,64.132,589,589;530;537;179;220,0.0,39.419,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.339,1.1781,42.745,30,17,Leave out requantified,0.33739,0.40844,0.10261,0.085789,1.196,1.2414,0.10959,0.088911,91.725,18.491,97.74,59.779,8,7,8,7,2,1,7,7,Leave out requantified,Leave out requantified,Median,Median,17.0,17.0,23.4,18.3,3115900000,2580200000,535710000,868500000,678720000,189790000,745890000,510730000,235160000,896770000,838490000,58279000,604770000,552280000,52482000,,,,297,907;1706;3987;6166;8155;10727;10728;11516;12685;13150;13694;13695;15413;15414;17012,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1142;1143;2177;5046;7903;10439;10440;13553;13554;14495;15914;15915;16472;17124;17125;19222;19223;19224;21241,2747;2748;2749;2750;2751;5274;5275;11679;18184;24006;24007;24008;24009;24010;24011;31034;31035;31036;33139;33140;33141;36297;36298;36299;37633;37634;37635;37636;37637;39193;39194;39195;44135;44136;44137;44138;44139;44140;44141;48930,4621;4622;4623;4624;4625;4626;4627;4628;4629;4630;4631;8957;8958;19159;19160;29665;39087;39088;39089;39090;39091;39092;39093;50123;50124;50125;50126;50127;50128;53599;53600;53601;58673;58674;58675;58676;58677;60842;60843;60844;60845;60846;60847;60848;60849;60850;60851;60852;63353;63354;71888;71889;71890;71891;71892;71893;71894;71895;71896;71897;71898;71899;71900;71901;71902;79662,4629;8958;19160;29665;39088;50127;50128;53601;58675;60852;63353;63354;71890;71901;79662,173;174,,413;416,,-1;-1;-1;-1;-1,protein_298,quanti,quanti,quanti,quanti
DARS2,19.5446129232214,1.02050537223511e-06,Q6PI48;A0A3B3ITK9;A0A3B3ITS3;A0A3B3IS01;A0A3B3IT01;A0A3B3ISK7;A0A3B3IS54,Q6PI48;A0A3B3ITK9;A0A3B3ITS3;A0A3B3IS01;A0A3B3IT01;A0A3B3ISK7,3;3;2;2;2;2;1,3;3;2;2;2;2;1,3;3;2;2;2;2;1,"Aspartate--tRNA ligase, mitochondrial","sp|Q6PI48|SYDM_HUMAN Aspartate--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=DARS2 PE=1 SV=1;tr|A0A3B3ITK9|A0A3B3ITK9_HUMAN Aspartate--tRNA ligase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=DARS2 PE=1 SV=1;tr|A0A3B3ITS3|A0A3B3ITS3_HUMAN ",7,3,3,3,0,1,2,1,0,1,2,1,0,1,2,1,6.4,6.4,6.4,73.562,645,645;295;482;539;594;624;484,0.0,2.4857,,By MS/MS,By MS/MS,By MS/MS,0.34683,0.38973,47.461,2,2,Median,,,0.24742,0.48619,,,0.27862,0.54515,,,,,0,0,1,1,0,0,1,1,Median,Median,Median,Median,0.0,1.9,4.5,1.4,51946000,40737000,11209000,0,0,0,0,0,0,30672000,27028000,3644500,21274000,13709000,7564700,,,,299,6377;9568;11116,True;True;True,8162;12153;14015,18781;18782;27920;32071,30687;30688;45139;51815,30687;45139;51815,,,,,-1;-1;-1;-1;-1;-1;-1,protein_300,quanti,quanti,imputed MEC,imputed MEC
RPL29,1.25065062237714,0.00472097606990466,P47914;A0A3B3ITT5,P47914;A0A3B3ITT5,5;5,5;5,5;5,60S ribosomal protein L29,sp|P47914|RL29_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2;tr|A0A3B3ITT5|A0A3B3ITT5_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=1,2,5,5,5,2,2,4,4,2,2,4,4,2,2,4,4,24.5,24.5,24.5,17.752,159,159;167,0.0,79.433,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29088,1.0178,19.155,14,9,Leave out requantified,0.32317,0.31163,0.095413,0.046208,1.1655,0.94951,0.11575,0.057644,25.845,1.3626,51.671,34.919,3,2,5,4,0,0,5,4,Median,Median,Median,Median,17.0,17.0,22.0,22.0,3099300000,2785000000,314270000,462050000,357090000,104960000,479620000,362880000,116750000,1077100000,1020700000,56469000,1080500000,1044400000,36097000,,,,300,382;1502;1503;7611;8138,True;True;True;True;True,471;472;1924;1925;1926;1927;9710;10421,1132;1133;1134;1135;1136;4624;4625;4626;4627;4628;4629;4630;4631;4632;4633;4634;22286;22287;22288;23970;23971,1948;1949;1950;1951;1952;7834;7835;7836;7837;7838;7839;7840;7841;7842;7843;7844;7845;7846;7847;36434;36435;36436;39036;39037;39038;39039,1948;7836;7845;36435;39039,175;176,,73;149,,-1;-1,protein_301,quanti,quanti,quanti,quanti
