FBXW5_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
HNRNPDL,-0.3904725973,0.063130004097316,0,A0A087WU03,A0A087WU03,2,2,2,,HNRNPDL,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,2,40.4,57
POLA1,0.3822646244,0.0493759314938623,0,P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,2;2;2,2;2;2,2;2;2,DNA polymerase alpha catalytic subunit;DNA polymerase,POLA1,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,2,2,1.9,1462
CTNNBL1,-0.2584165648,0.128150321723155,0,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,6;6;1,6;6;1,6;6;1,Beta-catenin-like protein 1,CTNNBL1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,6,6,13.1,563
SPCS2,-0.1322160375,0.344370451772342,0,Q15005;E9PL01;A0A087WUC6;E9PI68;E9PRB9,Q15005;E9PL01;A0A087WUC6;E9PI68;E9PRB9,4;4;4;4;3,4;4;4;4;3,4;4;4;4;3,Signal peptidase complex subunit 2,SPCS2,sp|Q15005|SPCS2_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=3;tr|E9PL01|E9PL01_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=1;tr|A0A087WUC6|A0A087WUC6_HUMAN Signal peptidase complex,4,4,24.8,226
HNRNPDL,-0.4248674359,0.0276799930514641,0,O14979;A0A087WUK2,O14979;A0A087WUK2,17;17,15;15,15;15,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,17,15,24.5,420
SLIRP,0.0894070383,0.545977681578397,0,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJ07;H0YJU7;H0YJI1,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,8;8;8;8;8;7;3;3;1,8;8;8;8;8;7;3;3;1,8;8;8;8;8;7;3;3;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,"sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",8,8,67.9,109
EIF5B,1.3390075507,0.0682256356915332,0,O60841;A0A087WUT6,O60841;A0A087WUT6,7;7,7;7,7;7,Eukaryotic translation initiation factor 5B,EIF5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,7,7,10.3,1220
SPTBN1,-0.6328173643,0.00453722442677841,0,Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,56;56;18,56;56;18,54;54;16,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,"sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",56,54,30.4,2364
MTHFD1L,-0.2127825922,0.149442864056198,0,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM0;Q4VXM1;Q4VXV2;Q5JYA8;Q5JYA3;H0Y327,Q6UB35;A0A087WVM4;B7ZM99,14;14;14;2;1;1;1;1;1,13;13;13;2;1;1;1;1;1,13;13;13;2;1;1;1;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,"sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",14,13,18,978
POLR2E,-0.5951692579,0.0193204105845598,0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,P19388;A0A087WVZ9;A0A0A0MQR7,3;3;3;1;1;1;1,3;3;3;1;1;1;1,3;3;3;1;1;1;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,"sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WVZ9|A0A087WVZ9_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV",3,3,25.2,210
TPM3,0.0036950119,0.978088904387976,0,A0A087WWU8;D6R904;A0A494C0G0;Q5VU61;H0YL80,A0A087WWU8;D6R904,25;14;8;6;5,25;14;8;6;5,9;9;3;6;0,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,25,9,74.4,227
RPL17;RPL17-C18orf32,0.6090904438,0.0203835959570895,0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81;J3KSJ0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81,12;12;12;12;12;11;11;11;9;9;8;4,12;12;12;12;12;11;11;11;9;9;8;4,12;12;12;12;12;11;11;11;9;9;8;4,60S ribosomal protein L17,RPL17;RPL17-C18orf32,sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=1;tr|J3QQT2|J3QQT2_HUMAN 60S ribosomal protein L17 (Fragm,12,12,50,184
ITGB6,0.0315571874,0.834781480253791,0,P18564;A0A087WXP3;E9PEE8,P18564;A0A087WXP3;E9PEE8,2;2;2,2;2;2,2;2;2,Integrin beta-6;Integrin beta,ITGB6,sp|P18564|ITB6_HUMAN Integrin beta-6 OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=2;tr|A0A087WXP3|A0A087WXP3_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1;tr|E9PEE8|E9PEE8_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1,2,2,4.6,788
PSMB3,0.1761305329,0.32062265630327,0,P49720;A0A087WXQ8;A0A087WY10;A0A087WUL2,P49720;A0A087WXQ8;A0A087WY10;A0A087WUL2,8;8;8;7,8;8;8;7,8;8;8;7,Proteasome subunit beta type-3,PSMB3,sp|P49720|PSB3_HUMAN Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2;tr|A0A087WXQ8|A0A087WXQ8_HUMAN Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=1;tr|A0A087WY10|A0A087WY10_HUMAN Proteasome subunit beta t,8,8,34.1,205
VTA1,-0.5330161751,0.192141502335472,0,Q9NP79;A0A087WY55,Q9NP79;A0A087WY55,4;4,4;4,2;2,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,"sp|Q9NP79|VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|A0A087WY55|A0A087WY55_HUMAN Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1",4,2,16.6,307
AP2M1,-0.0297445655,0.905466173166395,0,Q96CW1;A0A087WY71;E9PFW3;C9JJ47;C9JTK4;C9JGT8,Q96CW1;A0A087WY71;E9PFW3;C9JJ47,3;3;3;2;1;1,3;3;3;2;1;1,3;3;3;2;1;1,AP-2 complex subunit mu,AP2M1,sp|Q96CW1|AP2M1_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2;tr|A0A087WY71|A0A087WY71_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=1;tr|E9PFW3|E9PFW3_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=960,3,3,10.1,435
UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.2440680326,0.286325333943157,0,P61077;P62837;D6RAW0;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;Q9Y2X8;P51668;D6RA11;A0A087WW00;C9J9H9,P61077;P62837;D6RAW0;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;Q9Y2X8;P51668;D6RA11;A0A087WW00;C9J9H9,2;2;2;2;2;2;2;2;1;1;1;1;1,2;2;2;2;2;2;2;2;1;1;1;1;1,2;2;2;2;2;2;2;2;1;1;1;1;1,Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2;Ubiquitin-conjugating enzyme E2 D4;Ubiquitin-conjugating enzyme E2 D1,UBE2D3;UBE2D2;UBE2D4;UBE2D1,sp|P61077|UB2D3_HUMAN Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1;sp|P62837|UB2D2_HUMAN Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens OX=9606 GN=UBE2D2 PE=1 SV=1;tr|D6RAW0|D6RAW0_HUMAN Ubiquitin-conjugating enzyme E2,2,2,19.7,147
PTGES3,-0.2534398556,0.106543218852486,0,Q15185;A0A087WYT3,Q15185;A0A087WYT3,5;5,5;5,5;5,Prostaglandin E synthase 3,PTGES3,sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1;tr|A0A087WYT3|A0A087WYT3_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,5,5,26.2,160
EIF3H,-0.0798334042,0.690916925061359,0,O15372;A0A087WZK9;B3KS98;E5RGU4,O15372;A0A087WZK9;B3KS98,3;3;3;1,3;3;3;1,1;1;1;0,Eukaryotic translation initiation factor 3 subunit H,EIF3H,sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|A0A087WZK9|A0A087WZK9_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|B3KS98|B,3,1,13.9,352
IDH3B,-0.9909344138,0.00420752970540913,0,O43837;A0A087WZN1;A0A087X2E5;A0A0D9SG66,O43837;A0A087WZN1;A0A087X2E5,10;10;9;3,10;10;9;3,10;10;9;3,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial;Isocitrate dehydrogenase [NAD] subunit, mitochondrial",IDH3B,"sp|O43837|IDH3B_HUMAN Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3B PE=1 SV=2;tr|A0A087WZN1|A0A087WZN1_HUMAN Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3B PE=1 SV=1;tr|A",10,10,28.8,385
NDUFB6,1.0507487984,0.00760691426431968,1,O95139;A0A087WZX2,O95139;A0A087WZX2,2;2,2;2,2;2,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,NDUFB6,sp|O95139|NDUB6_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFB6 PE=1 SV=3;tr|A0A087WZX2|A0A087WZX2_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFB6 PE=1 ,2,2,27.3,128
HYOU1,-0.2663668534,0.238114107565519,0,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2;J3KTF1;Q9BST8;J3QQH7;J3QLE9;J3QL06;A0A087X214;A0A087WW13,Q9Y4L1;A0A087X054;A0A494C039;E9PJ21;A0A087WWI4;K7EQK2,20;20;20;14;14;14;4;3;3;3;3;2;2,20;20;20;14;14;14;4;3;3;3;3;2;2,20;20;20;14;14;14;4;3;3;3;3;2;2,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087X054|A0A087X054_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A494C039|A0A494C039_HUMAN Hypoxia up-regulated pro,20,20,25.1,999
ACOT1;ACOT2,-0.587856557,0.0466209296774795,0,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95,12;12;11;11;11,12;12;11;11;11,10;10;10;9;10,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT1;ACOT2,"sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=1;sp|P49753|ACOT2_HUMAN Acyl-coenzyme A th",12,10,37.8,421
NOMO2;NOMO1;NOMO3,-0.6774450029,0.187726969191305,0,Q5JPE7;Q15155;P69849;J3KN36;A0A0G2JN29;A0A087X117;A0A0G2JP90;A0A087WW46;H3BPS9;A0A087WTD5;H3BUC9,Q5JPE7;Q15155;P69849;J3KN36;A0A0G2JN29;A0A087X117;A0A0G2JP90;A0A087WW46,10;10;10;10;10;10;9;9;2;2;1,10;10;10;10;10;10;9;9;2;2;1,10;10;10;10;10;10;9;9;2;2;1,Nodal modulator 2;Nodal modulator 1;Nodal modulator 3,NOMO2;NOMO1;NOMO3,sp|Q5JPE7|NOMO2_HUMAN Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1;sp|Q15155|NOMO1_HUMAN Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5;sp|P69849|NOMO3_HUMAN Nodal modulator 3 OS=Homo sapiens OX=9606 GN=NOMO3 PE=1 SV=2;tr|J3KN,10,10,11.3,1267
PSME2,-0.1739770457,0.548293258521082,0,Q9UL46;A0A087X1Z3;H0YM70,Q9UL46;A0A087X1Z3;H0YM70,8;8;6,8;8;6,8;8;6,Proteasome activator complex subunit 2,PSME2,sp|Q9UL46|PSME2_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=4;tr|A0A087X1Z3|A0A087X1Z3_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=1;tr|H0YM70|H0YM70_HUMAN Proteasome activ,8,8,39.3,239
BSG,-0.0557144305,0.716253008878879,0,P35613;A0A087X2B5;A0A087WUV8;I3L192;R4GMX5;R4GN83;A0A2R8YDZ0,P35613;A0A087X2B5;A0A087WUV8;I3L192;R4GMX5,6;6;5;4;3;2;1,6;6;5;4;3;2;1,6;6;5;4;3;2;1,Basigin,BSG,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|I3L192|I3L19,6,6,21,385
MRPL45,0.4631811353,0.319134427034173,0,Q9BRJ2;A0A087X2D5;A0A0G2JMS5;A0A087WU62,Q9BRJ2;A0A087X2D5;A0A0G2JMS5;A0A087WU62,6;6;5;5,6;6;5;5,6;6;5;5,"39S ribosomal protein L45, mitochondrial",MRPL45,"sp|Q9BRJ2|RM45_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=2;tr|A0A087X2D5|A0A087X2D5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1;tr|A0A0G2JMS5|A0A0G2JMS5_HUMAN 39S",6,6,26.5,306
DDX1,0.1022470228,0.44921682235815,0,Q92499;A0A087X2G1;F1T0B3,Q92499;A0A087X2G1;F1T0B3,22;22;22,22;22;22,22;22;22,ATP-dependent RNA helicase DDX1,DDX1,sp|Q92499|DDX1_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2;tr|A0A087X2G1|A0A087X2G1_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=1;tr|F1T0B3|F1T0B3_HUMAN ATP-dependent RNA helicase DDX1 O,22,22,40.5,740
GPS1,-0.2277818151,0.291993883081722,0,Q13098;C9JFE4;A0A096LP07;A0A096LPJ3;A8K070;J3QS84;J3QS88;J3KTB0;J3QLE8;J3QLT0;J3QL53;J3KRE8;J3KSA5;J3KRJ4;J3QQX0,Q13098;C9JFE4;A0A096LP07;A0A096LPJ3;A8K070;J3QS84;J3QS88;J3KTB0;J3QLE8;J3QLT0;J3QL53;J3KRE8;J3KSA5;J3KRJ4,4;4;4;4;4;3;3;3;3;3;3;3;3;3;1,4;4;4;4;4;3;3;3;3;3;3;3;3;3;1,4;4;4;4;4;3;3;3;3;3;3;3;3;3;1,COP9 signalosome complex subunit 1,GPS1,sp|Q13098|CSN1_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=4;tr|C9JFE4|C9JFE4_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=2;tr|A0A096LP07|A0A096LP07_HUMAN COP9 signalosome complex su,4,4,8.4,491
