Gene_names,TRPC4AP_vs_BirA_logFC,TRPC4AP_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_TRCP4AC_N1,Peptides_TRCP4AC_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_TRCP4AC_N1,Razor___unique_peptides_TRCP4AC_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_TRCP4AC_N1,Unique_peptides_TRCP4AC_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_TRCP4AC_N1,Identification_type_TRCP4AC_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_TRCP4AC_N1,Ratio_H_L_TRCP4AC_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_TRCP4AC_N1,Ratio_H_L_normalized_TRCP4AC_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____TRCP4AC_N1,Ratio_H_L_variability_____TRCP4AC_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_TRCP4AC_N1,Ratio_H_L_count_TRCP4AC_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_TRCP4AC_N1,Ratio_H_L_iso_count_TRCP4AC_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_TRCP4AC_N1,Ratio_H_L_type_TRCP4AC_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_TRCP4AC_N1____,Sequence_coverage_TRCP4AC_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_TRCP4AC_N1,Intensity_L_TRCP4AC_N1,Intensity_H_TRCP4AC_N1,Intensity_TRCP4AC_N2,Intensity_L_TRCP4AC_N2,Intensity_H_TRCP4AC_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_TRCP4AC_N1,metacell_Intensity_L_TRCP4AC_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
DNPH1,0.851616233958026,0.108558175246243,O43598;H0Y8X4,O43598;H0Y8X4,2;2,2;2,2;2,2-deoxynucleoside 5-phosphate N-hydrolase 1,sp|O43598|DNPH1_HUMAN 2-deoxynucleoside 5-phosphate N-hydrolase 1 OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1;tr|H0Y8X4|H0Y8X4_HUMAN 2-deoxynucleoside 5-phosphate N-hydrolase 1 (Fragment) OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,16.1,16.1,16.1,19.108,174,174;243,0.0,4.4713,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42976,1.1955,2.2093,6,2,Leave out requantified,0.33904,0.46037,0.51004,0.53789,1.1783,1.177,1.1434,1.3236,,,8.5162,86.984,1,1,2,2,0,0,1,1,Median,Median,Median,Median,6.3,6.3,16.1,16.1,316170000,206840000,109330000,50887000,37193000,13694000,40431000,27196000,13234000,105770000,68810000,36958000,119080000,73639000,45445000,,,,792,3688;6486,True;True,3845;6788,10811;10812;19274;19275;19276;19277,21736;21737;39103;39104;39105;39106;39107;39108;39109;39110,21736;39108,,,,,-1;-1,protein_793,quanti,quanti,quanti,quanti
RRM2B,-0.0910616002925977,0.807626800961786,Q7LG56;H0YAV1;A0A0C4DGZ6,Q7LG56;H0YAV1,3;3;1,3;3;1,3;3;1,Ribonucleoside-diphosphate reductase subunit M2 B,sp|Q7LG56|RIR2B_HUMAN Ribonucleoside-diphosphate reductase subunit M2 B OS=Homo sapiens OX=9606 GN=RRM2B PE=1 SV=1;tr|H0YAV1|H0YAV1_HUMAN Ribonucleoside-diphosphate reductase subunit M2 B (Fragment) OS=Homo sapiens OX=9606 GN=RRM2B PE=1 SV=1,3,3,3,3,1,2,2,2,1,2,2,2,1,2,2,2,7.1,7.1,7.1,40.736,351,351;408;297,0.0070281,1.4303,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.60357,1.0649,60.622,7,0,Leave out requantified,0.51775,1.3968,0.49925,0.49624,1.1913,3.0301,0.88087,0.86747,,89.504,26.826,9.0474,1,2,2,2,0,0,0,0,Median,Median,Median,Median,3.1,6.8,4.0,4.0,110760000,57236000,53523000,13632000,8679200,4952400,52248000,18444000,33804000,26238000,18164000,8074500,18642000,11950000,6691900,,,,795,4115;4200;12082,True;True;True,4281;4367;12634,11957;11958;12198;12199;12200;35545;35546,23967;24483;24484;24485;24486;24487;24488;71183,23967;24483;71183,,,,,-1;-1;-1,protein_796,quanti,quanti,quanti,quanti
TPD52,0.479734911452674,0.235877657400258,H0YC42;P55327;E5RK35;U3KQQ8;E5RFR7;H0YC44,H0YC42;P55327,8;6;1;1;1;1,8;6;1;1;1;1,6;6;1;0;1;1,Tumor protein D52,tr|H0YC42|H0YC42_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=2;sp|P55327|TPD52_HUMAN Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=2,6,8,8,6,5,4,6,6,5,4,6,6,3,2,5,5,35.3,35.3,25.2,31.17,278,278;224;60;83;111;148,0.0,33.136,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3797,1.0967,40.222,24,6,Leave out requantified,0.37629,0.46972,0.3577,0.38577,1.2668,1.2786,0.82803,0.93534,9.7616,22.522,45.785,27.45,6,4,7,7,2,0,1,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,23.7,19.8,24.8,24.8,1362500000,947690000,414780000,282890000,204160000,78733000,220900000,141930000,78972000,515830000,362410000,153420000,342850000,239190000,103660000,,,,798,1605;5474;5797;7616;8467;11482;12599;14561,True;True;True;True;True;True;True;True,1674;5702;6061;6062;7973;8865;12000;13170;15197,4945;4946;4947;4948;15984;15985;15986;15987;15988;15989;17096;17097;17098;22519;22520;25249;25250;33954;33955;33956;33957;37024;37025;42777,10122;10123;10124;10125;10126;10127;10128;10129;10130;10131;10132;32099;32100;32101;32102;32103;32104;32105;32106;32107;32108;34629;34630;34631;34632;34633;45602;45603;45604;45605;45606;51093;51094;51095;68144;68145;68146;68147;68148;68149;74078;74079;86029;86030;86031,10124;32102;34629;45604;51094;68146;74078;86029,,,,,-1;-1;-1;-1;-1;-1,protein_799,quanti,quanti,quanti,quanti
CD44,-1.23636741364375,0.00555532210355634,P16070;H0YD13;H0YDW7;H0YCV9;H0Y2P0;H0Y5E4;E9PKC6;Q86UZ1;H0YDX6;H0YD17;H0YE40,P16070;H0YD13;H0YDW7;H0YCV9;H0Y2P0;H0Y5E4;E9PKC6,5;5;4;4;4;4;3;2;2;2;1,5;5;4;4;4;4;3;2;2;2;1,5;5;4;4;4;4;3;2;2;2;1,CD44 antigen,sp|P16070|CD44_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3;tr|H0YD13|H0YD13_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=2;tr|H0YDW7|H0YDW7_HUMAN CD44 antigen (Fragment) OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=2;tr|H0YCV9|H0Y,11,5,5,5,4,5,2,2,4,5,2,2,4,5,2,2,7.0,7.0,7.0,81.537,742,742;206;240;277;287;294;78;80;183;229;82,0.0,79.204,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38959,1.2129,18.332,15,8,Leave out requantified,0.38959,0.33417,0.72834,0.8169,1.2129,0.86708,1.7987,2.0609,17.752,40.52,16.831,7.9269,4,6,3,2,1,4,2,1,Leave out requantified,Median,Median,Median,5.9,7.0,3.0,3.0,2263600000,1402100000,861520000,585070000,367050000,218020000,774420000,551160000,223260000,558990000,291710000,267270000,345170000,192200000,152970000,,,,799,1252;3469;11230;16805;17196,True;True;True;True;True,1309;3619;11738;17527;17936,3777;3778;3779;3780;3781;10201;10202;33199;49503;49504;49505;49506;49507;50634;50635,7556;7557;7558;7559;7560;7561;7562;7563;7564;7565;20571;20572;20573;20574;66560;99838;99839;99840;99841;99842;99843;99844;99845;99846;102121;102122;102123;102124;102125;102126;102127,7565;20573;66560;99844;102121,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_800,quanti,quanti,quanti,quanti
HADHA,-0.203567870137707,0.450539977821645,P40939;H0YFD6;A0A2R8Y4F5;A0A2R8YG21;A0A2R8Y688,P40939;H0YFD6;A0A2R8Y4F5;A0A2R8YG21,29;29;25;15;9,29;29;25;15;9,29;29;25;15;9,"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase","sp|P40939|ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2;tr|H0YFD6|H0YFD6_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2;tr|A0A2R8Y4F5|A0A2R8Y4F5_H",5,29,29,29,17,17,24,17,17,17,24,17,17,17,24,17,44.8,44.8,44.8,82.999,763,763;792;728;499;357,0.0,113.53,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32477,0.8025,30.984,83,24,Leave out requantified,0.26287,0.35963,0.34173,0.32953,0.88652,1.0054,0.7235,0.76187,19.228,34.479,26.852,28.32,18,19,27,19,6,3,10,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,33.4,33.4,39.1,28.4,4726500000,3335100000,1391400000,945100000,709460000,235640000,1198800000,847250000,351580000,1716200000,1194700000,521500000,866340000,583700000,282640000,,,,805,1190;1191;2209;2678;2712;3124;3650;4184;4570;5033;5034;5833;6596;9738;10679;10796;11734;12445;12692;14019;14148;14149;14327;14582;14746;14747;15425;15426;15449,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1243;1244;2308;2799;2836;3261;3807;4351;4757;5246;5247;6107;6904;10175;11164;11289;12276;13013;13269;14638;14775;14776;14957;15218;15387;15388;16093;16094;16126,3575;3576;3577;3578;3579;3580;3581;3582;3583;3584;3585;6746;6747;6748;8099;8100;8196;9288;9289;9290;9291;10715;10716;12152;12153;12154;12155;13296;14767;14768;14769;14770;17343;17344;19590;19591;28848;28849;28850;28851;28852;28853;31582;31583;31946;31947;31948;31949;31950;31951;31952;34637;36622;36623;36624;36625;37301;41202;41203;41204;41636;41637;41638;41639;42117;42118;42119;42120;42121;42833;42834;43323;43324;43325;43326;43327;43328;45347;45348;45349;45495;45496;45497;45498,7143;7144;7145;7146;7147;7148;7149;7150;7151;7152;7153;7154;7155;7156;7157;7158;7159;7160;13760;13761;13762;13763;13764;13765;13766;16559;16732;18847;18848;18849;18850;18851;18852;18853;18854;18855;21578;21579;21580;21581;21582;24392;24393;24394;24395;24396;24397;24398;26894;29845;29846;29847;29848;35111;35112;39729;39730;39731;39732;39733;57874;57875;57876;57877;57878;57879;57880;57881;57882;57883;57884;57885;57886;57887;57888;57889;57890;63261;63262;63944;63945;63946;63947;63948;63949;63950;63951;63952;63953;63954;63955;63956;63957;63958;63959;63960;69504;69505;69506;73285;73286;73287;73288;73289;73290;74610;82582;82583;82584;82585;82586;83678;83679;83680;84727;84728;84729;84730;84731;84732;84733;84734;84735;84736;86155;86156;86157;87213;87214;87215;87216;87217;87218;87219;87220;87221;87222;87223;87224;91373;91374;91375;91376;91377;91653;91654;91655;91656;91657;91658;91659;91660;91661;91662;91663;91664;91665;91666;91667;91668,7143;7153;13761;16559;16732;18851;21579;24394;26894;29845;29846;35111;39729;57884;63261;63954;69505;73287;74610;82585;83678;83680;84727;86155;87214;87224;91373;91377;91656,,,,,-1;-1;-1;-1;-1,protein_806,quanti,quanti,quanti,quanti
REXO2,1.3291782023235,0.00296356728513242,Q9Y3B8;H0YG54;H0YGR4;F5GYG5,Q9Y3B8;H0YG54;H0YGR4;F5GYG5,7;7;7;5,7;7;7;5,7;7;7;5,"Oligoribonuclease, mitochondrial","sp|Q9Y3B8|ORN_HUMAN Oligoribonuclease, mitochondrial OS=Homo sapiens OX=9606 GN=REXO2 PE=1 SV=3;tr|H0YG54|H0YG54_HUMAN Oligoribonuclease, mitochondrial OS=Homo sapiens OX=9606 GN=REXO2 PE=1 SV=2;tr|H0YGR4|H0YGR4_HUMAN Oligoribonuclease, mitochondrial (Frag",4,7,7,7,3,3,6,7,3,3,6,7,3,3,6,7,30.4,30.4,30.4,26.832,237,237;188;192;222,0.0,12.594,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3909,0.86698,17.355,19,4,Leave out requantified,0.32691,0.46855,0.44145,0.34675,1.0012,1.2052,0.90634,0.77108,3.0212,25.029,15.164,20.366,3,3,6,7,0,0,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,20.7,20.7,29.1,30.4,785940000,552450000,233490000,84566000,60445000,24120000,101200000,72860000,28340000,352380000,243440000,108940000,247790000,175700000,72099000,,,,806,1014;1939;3314;3821;6335;6336;12360,True;True;True;True;True;True;True,1060;2025;3458;3980;6620;6621;12923,3029;3030;3031;3032;6003;6004;6005;9766;9767;11169;11170;18710;18711;18712;18713;18714;18715;36342;36343,6072;6073;6074;6075;6076;6077;6078;12328;12329;12330;19692;19693;19694;19695;19696;22406;22407;37857;37858;37859;37860;37861;37862;37863;37864;37865;37866;37867;72764;72765;72766,6074;12330;19693;22406;37857;37861;72764,,,,,-1;-1;-1;-1,protein_807,quanti,quanti,quanti,quanti
DUT,-1.39367538548613,0.0438517429403976,P33316;H0YNW5;H0YKC5;H0YMM5;A0A0C4DGL3;H0YNJ9;H0YKI0;H0YMP1,P33316;H0YNW5;H0YKC5;H0YMM5;A0A0C4DGL3;H0YNJ9;H0YKI0;H0YMP1,5;5;5;4;4;4;4;3,5;5;5;4;4;4;4;3,5;5;5;4;4;4;4;3,"Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial","sp|P33316|DUT_HUMAN Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=DUT PE=1 SV=4;tr|H0YNW5|H0YNW5_HUMAN Deoxyuridine 5-triphosphate nucleotidohydrolase OS=Homo sapiens OX=9606 GN=DUT PE=1 SV=1;tr|H0YKC5|H0YKC5_H",8,5,5,5,2,4,2,3,2,4,2,3,2,4,2,3,22.6,22.6,22.6,26.563,252,252;167;221;133;141;143;226;107,0.0,41.835,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44421,1.1409,6.7486,11,5,Leave out requantified,0.32899,0.5075,0.43301,0.45968,1.1939,1.3612,0.99046,1.1278,3.1335,36.024,3.8965,6.2981,2,4,2,3,1,2,0,2,Median,Median,Median,Median,11.9,22.6,10.3,13.5,868540000,601580000,266950000,185910000,139170000,46734000,405870000,275860000,130010000,117620000,81230000,36391000,159140000,105320000,53819000,,,,809,98;1591;2038;5961;13901,True;True;True;True;True,99;1660;2129;6237;14517,240;4907;4908;4909;4910;6299;6300;17684;17685;40859;40860,459;10046;10047;10048;10049;10050;10051;10052;10053;10054;10055;10056;12953;12954;35792;35793;35794;81798;81799;81800,459;10051;12954;35794;81798,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_810,quanti,quanti,quanti,quanti
RPL28,0.646059887560458,0.0842691365343006,P46779;H0YMF4;H0YKD8;H0YLP6,P46779;H0YMF4;H0YKD8;H0YLP6,9;9;9;5,9;9;9;5,9;9;9;5,60S ribosomal protein L28,sp|P46779|RL28_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3;tr|H0YMF4|H0YMF4_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=1;tr|H0YKD8|H0YKD8_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 G,4,9,9,9,5,6,4,5,5,6,4,5,5,6,4,5,37.2,37.2,37.2,15.747,137,137;112;170;89,0.0,47.558,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2925,0.94677,27.2,21,11,Leave out requantified,0.28052,0.23522,0.38341,0.46358,1.0568,0.65532,0.79159,1.0716,31.564,21.456,37.646,16.848,5,6,4,6,3,3,3,2,Median,Leave out requantified,Median,Leave out requantified,35.8,29.2,27.0,27.0,3693900000,2985100000,708830000,589200000,458020000,131180000,663880000,503460000,160420000,1631700000,1405600000,226100000,809200000,618050000,191140000,,,,810,5466;7820;10724;10936;10937;11388;12410;14723;14724,True;True;True;True;True;True;True;True;True,5694;8182;11212;11437;11438;11901;12977;12978;15363;15364,15968;15969;23102;23103;31725;32335;32336;32337;32338;32339;32340;32341;33684;36517;36518;36519;36520;36521;43267;43268;43269;43270;43271,32073;32074;46701;46702;63531;64782;64783;64784;64785;64786;64787;64788;64789;64790;64791;64792;64793;64794;67590;73088;73089;73090;73091;73092;73093;73094;73095;73096;73097;73098;73099;73100;73101;73102;73103;73104;73105;87098;87099;87100;87101;87102;87103;87104;87105;87106;87107;87108;87109;87110;87111;87112;87113;87114,32073;46702;63531;64783;64793;67590;73102;87101;87114,,,,,-1;-1;-1;-1,protein_811,quanti,quanti,quanti,quanti
TMOD3,-0.128743888014881,0.74432793633797,Q9NYL9;H0YKU1;H0YNJ8,Q9NYL9;H0YKU1;H0YNJ8,3;3;3,3;3;3,3;3;3,Tropomodulin-3,sp|Q9NYL9|TMOD3_HUMAN Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1;tr|H0YKU1|H0YKU1_HUMAN Tropomodulin-3 (Fragment) OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1;tr|H0YNJ8|H0YNJ8_HUMAN Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1,3,3,3,3,2,2,3,1,2,2,3,1,2,2,3,1,11.6,11.6,11.6,39.594,352,352;187;213,0.0,4.9439,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.70824,1.7526,25.877,8,0,Leave out requantified,0.34497,0.56677,0.81246,0.81486,1.065,1.4923,1.7526,2.0046,29.42,15.038,28.718,,2,2,3,1,0,0,0,0,Median,Median,Leave out requantified,Median,8.8,8.8,11.6,3.1,363210000,217770000,145440000,61857000,41648000,20210000,82839000,53803000,29036000,157860000,90431000,67424000,60657000,31889000,28769000,,,,812,3701;6591;10530,True;True;True,3858;6899;11007,10842;10843;10844;10845;19579;19580;19581;31146,21800;21801;21802;21803;21804;21805;21806;21807;21808;21809;21810;39712;39713;62426,21804;39712;62426,,,,,-1;-1;-1,protein_813,quanti,quanti,quanti,quanti
PSMA4,1.63811784414086,0.0419633688708633,P25789;H0YMZ1;H0YL69;H0YMI6;H0YMA1;H0YN18;H0YLS6;H0YLC2;H0YKT8;H0YKS0,P25789;H0YMZ1;H0YL69;H0YMI6;H0YMA1;H0YN18;H0YLS6;H0YLC2;H0YKT8,6;6;6;5;5;4;3;3;3;2,6;6;6;5;5;4;3;3;3;2,6;6;6;5;5;4;3;3;3;2,Proteasome subunit alpha type-4;Proteasome subunit alpha type;Proteasome subunit beta type,sp|P25789|PSA4_HUMAN Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1;tr|H0YMZ1|H0YMZ1_HUMAN Proteasome subunit alpha type (Fragment) OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=8;tr|H0YL69|H0YL69_HUMAN Proteasome subunit alpha type ,10,6,6,6,4,3,5,5,4,3,5,5,4,3,5,5,34.1,34.1,34.1,29.483,261,261;220;236;183;209;230;125;174;181;122,0.0,13.988,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38198,0.92875,5.3698,17,5,Leave out requantified,0.30543,0.38071,0.39832,0.39422,1.0855,0.90978,0.92005,0.94867,13.622,4.631,5.5477,4.6594,4,3,5,5,3,1,0,1,Linear,Median,Leave out requantified,Leave out requantified,15.3,19.5,21.5,21.5,1073000000,764510000,308460000,156400000,115020000,41372000,67175000,50284000,16891000,512990000,359250000,153750000,336410000,239950000,96455000,,,,813,1754;8885;9569;10125;12418;14635,True;True;True;True;True;True,1828;9300;10001;10579;12986;15273,5412;5413;26527;26528;26529;26530;28403;28404;28405;30030;36548;36549;36550;36551;42994;42995;42996,11049;11050;53559;53560;53561;53562;53563;53564;53565;53566;53567;57007;57008;57009;57010;57011;57012;60288;60289;60290;60291;60292;73165;73166;73167;73168;73169;86541;86542;86543;86544,11049;53560;57009;60288;73168;86541,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_814,quanti,quanti,quanti,quanti
FAH,-0.717153837730269,0.0624407528693357,P16930;H0YLC7,P16930;H0YLC7,2;2,2;2,2;2,Fumarylacetoacetase,sp|P16930|FAAA_HUMAN Fumarylacetoacetase OS=Homo sapiens OX=9606 GN=FAH PE=1 SV=2;tr|H0YLC7|H0YLC7_HUMAN Fumarylacetoacetase (Fragment) OS=Homo sapiens OX=9606 GN=FAH PE=1 SV=1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,8.8,8.8,8.8,46.374,419,419;161,0.0,3.7665,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35251,0.74881,23.604,6,2,Leave out requantified,0.30061,0.25446,0.45009,0.42518,0.64824,0.52734,0.85785,0.91266,5.7145,28.49,,,2,2,1,1,1,1,0,0,Median,Median,Median,Median,8.8,8.8,3.1,3.1,100140000,69920000,30216000,20437000,14874000,5562400,32931000,25434000,7496900,25039000,16773000,8265800,21730000,12839000,8891100,,,,814,12610;15221,True;True,13181;15879,37051;37052;44694;44695;44696;44697,74133;74134;74135;74136;74137;74138;90099;90100;90101;90102;90103;90104,74133;90101,,,,,-1;-1,protein_815,quanti,quanti,quanti,quanti
ANP32A,0.59683130614156,0.045429624980213,P39687;H0YN26;H7BZ09;O43423,P39687;H0YN26,10;10;3;1,10;10;3;1,9;9;3;1,Acidic leucine-rich nuclear phosphoprotein 32 family member A,sp|P39687|AN32A_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1;tr|H0YN26|H0YN26_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1,4,10,10,9,4,4,7,7,4,4,7,7,4,4,6,7,47.4,47.4,47.4,28.585,249,249;177;79;234,0.0,50.439,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29696,0.73362,19.981,27,4,Leave out requantified,0.24607,0.36999,0.29592,0.30573,0.75937,0.98011,0.69687,0.75299,26.651,24.693,16.39,16.536,5,5,9,8,0,1,2,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,28.5,28.5,27.7,33.7,2692200000,1993300000,698910000,390880000,302600000,88280000,550150000,387970000,162180000,1025100000,756970000,268150000,726040000,545740000,180300000,,,,817,2245;2591;7623;11379;12961;12962;13213;14469;16084;16085,True;True;True;True;True;True;True;True;True;True,2349;2705;7980;11892;13548;13549;13807;15102;16787;16788,6853;6854;7829;22529;22530;33657;33658;33659;33660;33661;33662;33663;33664;38090;38091;38092;38093;38094;38095;38853;38854;42524;42525;42526;47431;47432;47433,13945;13946;13947;13948;13949;15943;45615;45616;45617;45618;67526;67527;67528;67529;67530;67531;67532;67533;67534;67535;67536;67537;67538;67539;67540;67541;67542;67543;67544;67545;67546;67547;67548;67549;67550;67551;67552;67553;67554;67555;67556;76246;76247;76248;76249;76250;76251;76252;76253;76254;76255;76256;76257;76258;76259;76260;76261;76262;76263;76264;76265;76266;76267;76268;77727;85569;85570;85571;85572;85573;85574;95702;95703;95704;95705,13945;15943;45617;67547;76246;76258;77727;85572;95702;95705,,,,,-1;-1;-1;-1,protein_818,quanti,quanti,quanti,quanti
RAB11A;RAB11B,-1.05146612830126,0.00809981176132862,P62491;Q15907;H3BMH2;H3BSC1;B4DQU5;P57735,P62491;Q15907;H3BMH2;H3BSC1,10;10;10;10;2;1,10;10;10;10;2;1,10;10;10;10;2;1,Ras-related protein Rab-11A;Ras-related protein Rab-11B,sp|P62491|RB11A_HUMAN Ras-related protein Rab-11A OS=Homo sapiens OX=9606 GN=RAB11A PE=1 SV=3;sp|Q15907|RB11B_HUMAN Ras-related protein Rab-11B OS=Homo sapiens OX=9606 GN=RAB11B PE=1 SV=4;tr|H3BMH2|H3BMH2_HUMAN Ras-related protein Rab-11A (Fragment) OS=Hom,6,10,10,10,10,10,6,7,10,10,6,7,10,10,6,7,40.3,40.3,40.3,24.393,216,216;218;155;198;146;213,0.0,40.756,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48517,1.3426,14.133,33,8,Leave out requantified,0.43375,0.53393,0.51033,0.4721,1.4825,1.486,1.2178,1.201,7.531,17.241,4.6237,5.1775,11,10,6,6,4,1,2,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,40.3,40.3,29.2,32.9,2750100000,1819500000,930650000,784420000,527620000,256800000,923580000,607610000,315980000,592910000,389600000,203310000,449230000,294680000,154550000,,,,820,904;1516;1517;4161;4374;5342;13558;14141;16321;16322,True;True;True;True;True;True;True;True;True;True,945;1583;1584;4328;4549;5561;14163;14768;17033;17034,2673;2674;2675;4684;4685;4686;4687;4688;4689;12096;12097;12098;12696;12697;12698;12699;15591;15592;15593;15594;39829;39830;39831;39832;41623;41624;48159;48160;48161;48162;48163;48164;48165;48166,5334;5335;5336;5337;9612;9613;9614;9615;9616;9617;9618;9619;9620;9621;9622;9623;9624;9625;9626;9627;9628;9629;24274;24275;24276;24277;24278;24279;25598;25599;25600;25601;25602;25603;25604;25605;25606;31318;31319;31320;31321;31322;31323;31324;31325;31326;31327;31328;31329;31330;31331;31332;31333;31334;79649;79650;79651;79652;79653;79654;79655;79656;79657;79658;79659;83657;83658;83659;83660;97236;97237;97238;97239;97240;97241;97242;97243;97244;97245;97246;97247;97248;97249;97250;97251;97252;97253;97254;97255;97256;97257;97258;97259;97260,5334;9618;9628;24275;25606;31320;79658;83657;97244;97260,,,,,-1;-1;-1;-1;-1;-1,protein_821,quanti,quanti,quanti,quanti
