DCAF12_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
PYCR2,0.7996453452,0.0381772022917963,0,Q96C36;A0A087WTV6;J3KR12;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,4;4;4;1;1,3;3;3;1;1,3;3;3;1;1,Pyrroline-5-carboxylate reductase 2,PYCR2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,4,3,15,320
HNRNPDL,1.1017946402,0.00728318973895036,1,O14979;A0A087WUK2,O14979;A0A087WUK2,8;8,6;6,6;6,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,8,6,19,420
SLIRP,-1.2981068664,0.133597751072348,0,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJI1,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,4;4;4;4;4;3;1,4;4;4;4;4;3;1,4;4;4;4;4;3;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,"sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",4,4,34.9,109
EIF5B,1.5545778,0.0115761175616413,1,O60841;A0A087WUT6,O60841;A0A087WUT6,7;7,7;7,7;7,Eukaryotic translation initiation factor 5B,EIF5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,7,7,11.6,1220
BSG,-0.0872818441,0.806144064658804,0,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192,5;5;5;3;3;2,5;5;5;3;3;2,5;5;5;3;3;2,Basigin,BSG,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|R4GMX5|R4GMX,5,5,17.4,385
SPTBN1,0.133168218,0.588123254248747,0,Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,26;26;7,26;26;7,26;26;7,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,"sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",26,26,14.9,2364
MTHFD1L,0.9531681407,0.0408886825789314,0,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM1;Q4VXM0,Q6UB35;A0A087WVM4;B7ZM99,6;6;6;1;1,4;4;4;1;1,4;4;4;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,"sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",6,4,5.9,978
POLR2E,1.6508384647,0.0130427808498631,1,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,2;2;2;1;1;1;1,2;2;2;1;1;1;1,2;2;2;1;1;1;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,"sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WVZ9|A0A087WVZ9_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV",2,2,12.4,210
HYOU1,1.9411632725,0.00161243311793567,1,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039;J3KTF1;J3QL06;Q9BST8;J3QQH7;J3QLE9,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039,10;10;10;10;10;10;3;2;1;1;1,10;10;10;10;10;10;3;2;1;1;1,10;10;10;10;10;10;3;2;1;1;1,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|E9PJ21|E9PJ21_HUMAN Hypoxia up-regulated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087WWI4|A0A087WWI4_HUMAN Hypoxia up-regulated ,10,10,15.5,999
TPM3,-0.1569390029,0.540164590174416,0,A0A087WWU8;D6R904;A0A494C0G0;Q5VU61;H0YL80,A0A087WWU8;D6R904,24;14;8;6;5,24;14;8;6;5,9;9;3;6;0,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,24,9,75.8,227
TARDBP;TDP43,0.6581431189,0.373959964130444,0,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;A0A087WXQ5;A0A087WV68;A0A1W2PNU8;K7EN94;A0A087WXV3;A0A087WX67;A0A087WW61;K7EL26;A0A087WZC9;A0A087WYE7;A0A0A0MSV7;K7EJ99;A0A087WTZ4,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5,7;7;5;5;5;5;4;4;3;3;3;3;2;2;2;1;1;1;1;1;1,7;7;5;5;5;5;4;4;3;3;3;3;2;2;2;1;1;1;1;1;1,7;7;5;5;5;5;4;4;3;3;3;3;2;2;2;1;1;1;1;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,7,7,22.2,414
RPL17;RPL17-C18orf32,0.3526800253,0.197479432631671,0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;A0A087WY81;J3QLC8;A0A0A0MRF8;J3KSJ0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;A0A087WY81;J3QLC8;A0A0A0MRF8,11;11;11;11;11;10;10;10;8;8;7;5,11;11;11;11;11;10;10;10;8;8;7;5,11;11;11;11;11;10;10;10;8;8;7;5,60S ribosomal protein L17,RPL17;RPL17-C18orf32,sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=1;tr|J3QQT2|J3QQT2_HUMAN 60S ribosomal protein L17 (Fragm,11,11,56.5,184
PSMB3,1.095749123,0.019421983059605,1,P49720;A0A087WXQ8;A0A087WY10;A0A087WUL2,P49720;A0A087WXQ8;A0A087WY10;A0A087WUL2,8;8;8;6,8;8;8;6,8;8;8;6,Proteasome subunit beta type-3,PSMB3,sp|P49720|PSB3_HUMAN Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2;tr|A0A087WXQ8|A0A087WXQ8_HUMAN Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=1;tr|A0A087WY10|A0A087WY10_HUMAN Proteasome subunit beta t,8,8,38.5,205
VTA1,0.5870254078,0.0503526827527831,0,Q9NP79;A0A087WY55;Q5TGM0,Q9NP79;A0A087WY55;Q5TGM0,3;3;2,3;3;2,3;3;2,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,"sp|Q9NP79|VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|A0A087WY55|A0A087WY55_HUMAN Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|Q5TGM0|Q5T",3,3,13.7,307
SRP19,1.6004055725,0.0228062372535474,1,P09132;A0A087WYR0;A0A087WWU9;D6RBG4;A0A2R8Y4M3;A0A2U3TZN1,P09132;A0A087WYR0;A0A087WWU9,3;3;2;1;1;1,3;3;2;1;1;1,3;3;2;1;1;1,Signal recognition particle 19 kDa protein,SRP19,sp|P09132|SRP19_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=3;tr|A0A087WYR0|A0A087WYR0_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=1;tr|A0A087WWU9|A0A087WWU9_HUMAN ,3,3,35.4,144
UGP2,0.6628948161,0.0507602094867373,0,Q16851;A0A087WYS1;E7EUC7;C9JNZ1;C9JTZ5;C9JUW1;C9JWG0;C9JVG3;C9JQU9;F2Z3H1,Q16851;A0A087WYS1;E7EUC7;C9JNZ1,11;11;11;6;3;3;3;3;3;1,11;11;11;6;3;3;3;3;3;1,11;11;11;6;3;3;3;3;3;1,UTP--glucose-1-phosphate uridylyltransferase,UGP2,sp|Q16851|UGPA_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5;tr|A0A087WYS1|A0A087WYS1_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=1;tr|E7EUC7|E7EUC7_HUMAN UTP--gl,11,11,22.2,508
PTGES3,0.4557313782,0.123422065844786,0,Q15185;A0A087WYT3;B4DDC6,Q15185;A0A087WYT3,6;6;1,6;6;1,6;6;1,Prostaglandin E synthase 3,PTGES3,sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1;tr|A0A087WYT3|A0A087WYT3_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,6,6,32.5,160
ACOT1;ACOT2,0.5074604117,0.170278885116017,0,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95;A0A2R8Y7H3,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95,8;8;7;7;7;2,8;8;7;7;7;2,8;8;7;7;7;2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT1;ACOT2,"sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=1;sp|P49753|ACOT2_HUMAN Acyl-coenzyme A th",8,8,26.1,421
PSME2,-0.6789469011,0.330737303121569,0,Q9UL46;A0A087X1Z3;H0YM70,Q9UL46;A0A087X1Z3;H0YM70,7;7;5,7;7;5,7;7;5,Proteasome activator complex subunit 2,PSME2,sp|Q9UL46|PSME2_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=4;tr|A0A087X1Z3|A0A087X1Z3_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=1;tr|H0YM70|H0YM70_HUMAN Proteasome activ,7,7,34.7,239
SRSF3,-1.0104657601,0.00811316340681568,1,P84103;A0A087X2D0,P84103;A0A087X2D0,5;5,5;5,5;5,Serine/arginine-rich splicing factor 3,SRSF3,sp|P84103|SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1;tr|A0A087X2D0|A0A087X2D0_HUMAN Serine/arginine-rich-splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1,5,5,38.4,164
DDX1,0.3170427813,0.35715012020894,0,Q92499;A0A087X2G1;F1T0B3,Q92499;A0A087X2G1;F1T0B3,19;19;19,19;19;19,19;19;19,ATP-dependent RNA helicase DDX1,DDX1,sp|Q92499|DDX1_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2;tr|A0A087X2G1|A0A087X2G1_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=1;tr|F1T0B3|F1T0B3_HUMAN ATP-dependent RNA helicase DDX1 O,19,19,39.9,740
PYCRL,1.8210481819,0.0126914766520736,1,Q53H96;A0A0A0MQS1;F8WEI0;B5MD87,Q53H96;A0A0A0MQS1;F8WEI0;B5MD87,2;2;1;1,2;2;1;1,2;2;1;1,Pyrroline-5-carboxylate reductase 3;Pyrroline-5-carboxylate reductase,PYCRL,sp|Q53H96|P5CR3_HUMAN Pyrroline-5-carboxylate reductase 3 OS=Homo sapiens OX=9606 GN=PYCR3 PE=1 SV=3;tr|A0A0A0MQS1|A0A0A0MQS1_HUMAN Pyrroline-5-carboxylate reductase OS=Homo sapiens OX=9606 GN=PYCR3 PE=1 SV=1;tr|F8WEI0|F8WEI0_HUMAN Pyrroline-5-carboxylate ,2,2,8.8,274
GSTZ1,1.5837288753,0.022588225258824,1,O43708;G3V3B9;A0A0A0MR33;G3V267;G3V5T0;A0A0C4DFM0;G3V4T6,O43708;G3V3B9;A0A0A0MR33;G3V267;G3V5T0;A0A0C4DFM0;G3V4T6,3;3;3;3;3;3;3,3;3;3;3;3;3;3,3;3;3;3;3;3;3,Maleylacetoacetate isomerase,GSTZ1,sp|O43708|MAAI_HUMAN Maleylacetoacetate isomerase OS=Homo sapiens OX=9606 GN=GSTZ1 PE=1 SV=3;tr|G3V3B9|G3V3B9_HUMAN Maleylacetoacetate isomerase OS=Homo sapiens OX=9606 GN=GSTZ1 PE=1 SV=1;tr|A0A0A0MR33|A0A0A0MR33_HUMAN Maleylacetoacetate isomerase OS=Homo ,3,3,19,216
SNX6,1.2970237998,0.211282713486048,0,Q9UNH7;A0A0A0MRI2;G3V5X9;H0YJF8;G3V4Z5;G3V2U1;G3V5U2,Q9UNH7;A0A0A0MRI2,7;7;3;2;2;1;1,7;7;3;2;2;1;1,7;7;3;2;2;1;1,"Sorting nexin-6;Sorting nexin-6, N-terminally processed",SNX6,sp|Q9UNH7|SNX6_HUMAN Sorting nexin-6 OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=1;tr|A0A0A0MRI2|A0A0A0MRI2_HUMAN Sorting nexin OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=1,7,7,21.9,406
NOLC1,1.3419533826,0.00993143363324233,1,Q14978;A0A0A0MRM9;S4R402;S4R341;S4R349,Q14978;A0A0A0MRM9,5;5;1;1;1,5;5;1;1;1,5;5;1;1;1,Nucleolar and coiled-body phosphoprotein 1,NOLC1,sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2;tr|A0A0A0MRM9|A0A0A0MRM9_HUMAN Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1,5,5,7.6,699
ABI1,1.7841927251,0.00641233761807035,1,Q8IZP0;B6VEX4;A0A0A0MRT6,Q8IZP0;B6VEX4;A0A0A0MRT6,3;3;3,3;3;3,3;3;3,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,3,3,7.7,508
HADH,-0.1202974385,0.905965269296227,0,Q16836;A0A1W2PQV5;A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;A0A1W2PQ78;A0A1W2PQC2;A0A1W2PRT2,Q16836;A0A1W2PQV5;A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;A0A1W2PQ78,3;3;3;3;3;3;2;1;1,3;3;3;3;3;3;2;1;1,3;3;3;3;3;3;2;1;1,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH,"sp|Q16836|HCDH_HUMAN Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3;tr|A0A1W2PQV5|A0A1W2PQV5_HUMAN Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=1;tr|A0A1W2PNM1|A0",3,3,14,314
PLS3,1.4609853269,0.00439507597805578,1,P13797;A0A0A0MSQ0;H7C4N2;Q5TBN3,P13797;A0A0A0MSQ0,6;6;2;1,6;6;2;1,3;3;1;0,Plastin-3,PLS3,sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4;tr|A0A0A0MSQ0|A0A0A0MSQ0_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=1,6,3,11.1,630
PITPNB,0.5652832378,0.0965085836327429,0,P48739;A0A0A0MSW4;B3KYB6;B3KYB7;I3L3W1;I3L2X8;I3L471;I3L4C0;I3L4U7;I3L459,P48739;A0A0A0MSW4;B3KYB6;B3KYB7,4;4;3;2;1;1;1;1;1;1,4;4;3;2;1;1;1;1;1;1,3;3;2;1;0;0;0;0;0;0,Phosphatidylinositol transfer protein beta isoform,PITPNB,sp|P48739|PIPNB_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2;tr|A0A0A0MSW4|A0A0A0MSW4_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=1;tr|B3KYB6|B3K,4,3,18.5,271
