Gene_names,KATNB1_vs_zBirA_logFC,KATNB1_vs_zBirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_KATNB1_N1,Peptides_KATNB1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_KATNB1_N1,Razor___unique_peptides_KATNB1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_KATNB1_N1,Unique_peptides_KATNB1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_KATNB1_N1,Identification_type_KATNB1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_KATNB1_N1,Ratio_H_L_KATNB1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_KATNB1_N1,Ratio_H_L_normalized_KATNB1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____KATNB1_N1,Ratio_H_L_variability_____KATNB1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_KATNB1_N1,Ratio_H_L_count_KATNB1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_KATNB1_N1,Ratio_H_L_iso_count_KATNB1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_KATNB1_N1,Ratio_H_L_type_KATNB1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_KATNB1_N1____,Sequence_coverage_KATNB1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_KATNB1_N1,Intensity_L_KATNB1_N1,Intensity_H_KATNB1_N1,Intensity_KATNB1_N2,Intensity_L_KATNB1_N2,Intensity_H_KATNB1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_KATNB1_N1,metacell_Intensity_L_KATNB1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
,19.0170916812117,2.85845204732185e-07,M0QZD8,M0QZD8,2,2,2,,tr|M0QZD8|M0QZD8_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 GN=LOC400499 PE=4 SV=3,1,2,2,2,0,0,1,1,0,0,1,1,0,0,1,1,0.9,0.9,0.9,357.81,3266,3266,0.025717,0.9082,,,By MS/MS,By MS/MS,0.36928,0.6214,,1,1,Median,,,0.36928,,,,0.6214,,,,,,0,0,1,0,0,0,1,0,Median,Median,Median,Median,0.0,0.0,0.6,0.4,44679000,38936000,5743200,0,0,0,0,0,0,30571000,24827000,5743200,14108000,14108000,0,,,,1037,11461;11998,True;True,12303;12863,32934;34335,69343;72042,69343;72042,,,,,-1,protein_1038,quanti,quanti,imputed MEC,imputed MEC
RPS5,-1.17852105335633,0.00977853641939355,P46782;M0R0F0;M0R0R2;M0QZN2,P46782;M0R0F0;M0R0R2;M0QZN2,12;12;11;8,12;12;11;8,12;12;11;8,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",sp|P46782|RS5_HUMAN 40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4;tr|M0R0F0|M0R0F0_HUMAN 40S ribosomal protein S5 (Fragment) OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=1;tr|M0R0R2|M0R0R2_HUMAN 40S ribosomal protein S5 OS=Homo sapiens OX=9,4,12,12,12,8,8,11,8,8,8,11,8,8,8,11,8,62.3,62.3,62.3,22.876,204,204;200;225;134,0.0,82.218,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.49321,0.95009,8.4133,53,8,Leave out requantified,0.24124,0.2901,0.56715,0.53913,0.83271,0.88758,1.0327,1.0215,11.456,10.55,7.2796,11.408,12,11,18,12,2,2,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,34.3,37.7,58.3,42.6,6541800000,4574500000,1967300000,1505900000,1203300000,302600000,1573700000,1204400000,369300000,2267000000,1403200000,863840000,1195200000,763640000,431570000,,,,1042,1719;6968;12184;13344;14550;15357;15448;17402;17403;17588;19799;20709,True;True;True;True;True;True;True;True;True;True;True;True,1850;7476;13064;13065;14311;15579;16425;16522;18570;18571;18767;21136;21137;22109,5100;19702;34856;34857;34858;34859;34860;34861;34862;34863;34864;34865;38091;38092;41384;41385;41386;41387;41388;41389;43493;43494;43495;43760;43761;43762;49233;49234;49235;49236;49237;49238;49239;49240;49241;49817;49818;49819;49820;49821;49822;49823;49824;56308;56309;56310;56311;56312;56313;56314;56315;56316;56317;58861;58862,10855;41236;73125;73126;73127;73128;73129;73130;73131;73132;73133;73134;73135;73136;73137;73138;73139;73140;73141;73142;73143;73144;73145;73146;73147;73148;73149;73150;73151;73152;73153;73154;79731;79732;79733;79734;86651;86652;86653;86654;86655;86656;86657;86658;86659;86660;86661;86662;90856;90857;90858;90859;90860;90861;90862;91422;91423;91424;91425;91426;102877;102878;102879;102880;102881;102882;102883;102884;102885;102886;102887;102888;102889;102890;102891;102892;102893;104305;104306;104307;104308;104309;104310;104311;104312;104313;104314;104315;104316;104317;104318;104319;104320;104321;104322;104323;104324;104325;104326;118699;118700;118701;118702;118703;118704;118705;118706;118707;118708;118709;118710;118711;118712;118713;118714;118715;118716;118717;118718;118719;118720;118721;118722;118723;118724;118725;118726;118727;118728;124000;124001;124002;124003,10855;41236;73153;79732;86654;90862;91426;102879;102892;104313;118699;124000,,108;109,,76;77,-1;-1;-1;-1,protein_1043,quanti,quanti,quanti,quanti
RPL18A,-0.184637098808118,0.475547491582712,Q02543;M0R1A7;M0R117;M0R3D6;M0R0P7,Q02543;M0R1A7;M0R117;M0R3D6;M0R0P7,18;18;18;17;13,18;18;18;17;13,18;18;18;17;13,60S ribosomal protein L18a,sp|Q02543|RL18A_HUMAN 60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2;tr|M0R1A7|M0R1A7_HUMAN 60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=1;tr|M0R117|M0R117_HUMAN 60S ribosomal protein L18a OS=Homo sapiens OX=,5,18,18,18,12,12,14,10,12,12,14,10,12,12,14,10,60.8,60.8,60.8,20.762,176,176;147;154;141;137,0.0,87.271,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42328,0.9551,16.867,61,9,Leave out requantified,0.25053,0.27767,0.56285,0.56678,0.84534,0.76717,1.0252,1.0506,22.307,11.742,7.637,5.1617,13,14,20,14,3,2,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,60.2,53.4,52.3,35.2,7850300000,5281200000,2569100000,1179900000,937970000,241900000,1251700000,954200000,297460000,3456400000,2191400000,1265100000,1962300000,1197700000,764680000,,,,1044,889;1819;3119;3120;4330;4331;5250;5359;5360;7681;9672;13622;15939;16722;16723;16783;16784;19341,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,939;1956;3344;3345;4624;4625;5586;5704;5705;8249;8250;10391;14604;17039;17859;17860;17922;17923;20633,2511;2512;2513;2514;2515;2516;5391;5392;8978;8979;8980;8981;8982;8983;8984;12035;12036;12037;12038;12039;12040;14538;14539;14540;14541;14542;14848;14849;14850;14851;21770;21771;21772;21773;21774;21775;21776;27650;27651;38833;38834;38835;38836;45126;45127;47316;47317;47318;47319;47320;47321;47322;47491;47492;47493;47494;47495;54935;54936;54937;54938;54939;54940,5176;5177;5178;5179;5180;5181;5182;5183;5184;11430;11431;11432;18930;18931;18932;18933;18934;18935;18936;18937;18938;18939;18940;18941;25016;25017;25018;25019;25020;25021;25022;25023;25024;25025;25026;25027;25028;30271;30272;30273;30274;30275;30276;30277;30998;30999;31000;31001;31002;31003;31004;31005;31006;31007;31008;45767;45768;45769;45770;45771;45772;45773;45774;45775;45776;45777;45778;45779;45780;45781;45782;45783;45784;45785;45786;58222;58223;58224;81300;81301;81302;81303;81304;81305;81306;81307;81308;94230;94231;98895;98896;98897;98898;98899;98900;98901;98902;98903;98904;98905;98906;98907;98908;98909;98910;99270;99271;99272;99273;99274;99275;99276;99277;99278;99279;99280;115683;115684;115685;115686;115687;115688;115689;115690;115691;115692;115693;115694;115695;115696;115697;115698,5177;11432;18933;18941;25017;25027;30273;31000;31004;45772;58222;81302;94231;98896;98901;99270;99276;115683,,,,,-1;-1;-1;-1;-1,protein_1045,quanti,quanti,quanti,quanti
TRIP10,19.8008964187357,7.15017608647173e-05,Q15642;M0R2H7;W4VSQ9;M0R070;M0R0F9,Q15642;M0R2H7;W4VSQ9;M0R070;M0R0F9,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Cdc42-interacting protein 4,sp|Q15642|CIP4_HUMAN Cdc42-interacting protein 4 OS=Homo sapiens OX=9606 GN=TRIP10 PE=1 SV=3;tr|M0R2H7|M0R2H7_HUMAN Cdc42-interacting protein 4 OS=Homo sapiens OX=9606 GN=TRIP10 PE=1 SV=1;tr|W4VSQ9|W4VSQ9_HUMAN Cdc42-interacting protein 4 OS=Homo sapiens O,5,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,6.2,6.2,6.2,68.351,601,601;343;593;83;437,0.041933,0.74487,,,By MS/MS,By MS/MS,0.61367,1.0745,4.7068,3,0,Median,,,0.60165,0.6336,,,1.0501,1.0745,,,6.3858,,0,0,2,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,6.2,3.5,173550000,103960000,69593000,0,0,0,0,0,0,155370000,92764000,62611000,18173000,11192000,6981900,,,,1046,1126;5190,True;True,1200;5524,3234;14350;14351,6753;29870;29871;29872;29873;29874,6753;29873,,,,,-1;-1;-1;-1;-1,protein_1047,quanti,quanti,imputed MEC,imputed MEC
TECR,-20.4164994225611,4.84110263426168e-06,Q9NZ01;M0R3C3,Q9NZ01;M0R3C3,2;2,2;2,2;2,Very-long-chain enoyl-CoA reductase,sp|Q9NZ01|TECR_HUMAN Very-long-chain enoyl-CoA reductase OS=Homo sapiens OX=9606 GN=TECR PE=1 SV=1;tr|M0R3C3|M0R3C3_HUMAN Very-long-chain enoyl-CoA reductase OS=Homo sapiens OX=9606 GN=TECR PE=1 SV=1,2,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,4.5,4.5,4.5,36.034,308,308;105,0.0,3.7722,By MS/MS,By MS/MS,,,0.66232,1.7288,26.058,3,1,Plateau,0.51124,0.67255,,,1.5316,1.7288,,,35.5,,,,2,1,0,0,1,0,0,0,Median,Median,Median,Median,4.5,3.9,0.0,0.0,89996000,48371000,41625000,56176000,32091000,24085000,33819000,16280000,17540000,0,0,0,0,0,0,,,,1049,13025;13026,True;True,13968;13969,37198;37199;37200,77957;77958;77959;77960;77961,77960;77961,,,,,-1;-1,protein_1050,imputed MEC,imputed MEC,quanti,quanti
AGPS,0.167285562848619,0.794177618162455,O00116;A0A1B0GWA2;A0A2R8YEL0;B8ZZ81,O00116;A0A1B0GWA2;A0A2R8YEL0,14;9;9;5,14;9;9;5,14;9;9;5,"Alkyldihydroxyacetonephosphate synthase, peroxisomal","sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1;tr|A0A1B0GWA2|A0A1B0GWA2_HUMAN Alkylglycerone-phosphate synthase (Fragment) OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1;tr|A0A2R8YEL0|A0A2R8YE",4,14,14,14,4,5,11,4,4,5,11,4,4,5,11,4,27.8,27.8,27.8,72.911,658,658;543;560;189,0.0,19.508,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.63261,1.1898,40.751,25,7,Leave out requantified,0.36732,0.5147,0.66737,0.81555,0.85848,1.1898,1.145,1.4103,29.205,28.073,19.853,59.07,4,5,12,4,1,2,4,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,9.6,11.9,25.7,10.3,860480000,510750000,349730000,83754000,61312000,22442000,116540000,76010000,40528000,531800000,298960000,232840000,128390000,74460000,53928000,,,,1050,873;3590;4146;4337;4774;6811;8425;8583;8584;13791;15040;17038;17629;21025,True;True;True;True;True;True;True;True;True;True;True;True;True;True,922;3844;4426;4631;5096;7303;9063;9225;9226;14781;16091;18191;18819;22435,2462;10238;10239;11570;12053;13276;19221;19222;24061;24452;24453;24454;39314;39315;39316;39317;42602;42603;48223;49979;49980;49981;49982;59689;59690,5063;5064;5065;5066;21534;21535;21536;24081;24082;25060;27597;40272;40273;40274;50715;50716;50717;50718;51489;51490;51491;82300;82301;82302;82303;89007;89008;100761;104794;104795;104796;104797;104798;104799;104800;104801;104802;125654;125655;125656,5065;21536;24081;25060;27597;40272;50718;51489;51490;82303;89007;100761;104794;125654,,,,,-1;-1;-1;-1,protein_1051,quanti,quanti,quanti,quanti
DDX39A,-0.0907413087356517,0.809132658990741,O00148;K7EQN7;K7EPJ3;A0A0D9SEM9,O00148,17;8;7;4,4;2;1;2,4;2;1;2,ATP-dependent RNA helicase DDX39A,sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2,4,17,4,4,11,9,11,13,1,2,2,3,1,2,2,3,42.4,14.5,14.5,49.129,427,427;255;189;96,0.0,9.9391,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51941,0.89237,18.946,8,1,Leave out requantified,0.22345,0.24447,0.58663,0.51941,0.78481,0.65381,1.0823,0.9689,,13.869,12.204,18.453,1,2,2,3,0,1,0,0,Median,Median,Median,Leave out requantified,29.5,30.9,29.0,29.3,539200000,356010000,183200000,53703000,43842000,9860700,112840000,86730000,26111000,193730000,114950000,78776000,178940000,110490000,68450000,,,,1051,1074;2578;2784;3352;3835;3836;6115;6644;6645;8285;12166;13559;15177;19775;20106;21407;21408,False;True;False;False;False;False;False;False;False;False;False;True;False;True;True;False;False,1147;2772;2994;2995;3596;4103;4104;6554;7121;7122;7123;8908;8909;13045;14540;16240;21110;21452;22845;22846,3104;3105;3106;7584;8135;8136;8137;8138;8139;8140;9630;9631;9632;9633;10847;10848;10849;17234;17235;18741;18742;18743;18744;18745;18746;18747;18748;18749;18750;18751;23635;23636;23637;23638;23639;23640;34803;34804;38667;38668;43028;43029;43030;43031;56233;56234;56235;56236;57069;60729;60730;60731;60732;60733;60734,6489;6490;6491;6492;6493;6494;6495;6496;16055;17287;17288;17289;17290;17291;17292;17293;17294;17295;20320;20321;20322;20323;20324;20325;22751;22752;22753;22754;22755;22756;36279;36280;36281;36282;36283;39254;39255;39256;39257;39258;39259;39260;39261;39262;39263;39264;39265;39266;39267;39268;39269;39270;39271;39272;49843;49844;49845;49846;49847;49848;49849;49850;49851;49852;49853;49854;49855;49856;73031;73032;73033;73034;73035;73036;73037;73038;80963;80964;80965;80966;80967;89929;89930;89931;89932;89933;89934;89935;89936;118510;118511;118512;118513;118514;118515;118516;118517;118518;118519;118520;118521;118522;118523;118524;118525;118526;118527;120194;120195;127999;128000;128001;128002;128003;128004;128005;128006;128007,6496;16055;17292;20323;22752;22755;36283;39264;39272;49845;73037;80967;89929;118515;120194;128005;128006,,,,,-1;-1;-1;-1,protein_1052,quanti,quanti,quanti,quanti
ACOT7,0.0409871204764656,0.812545656717693,O00154;K7EKP8,O00154;K7EKP8,8;6,8;6,8;6,Cytosolic acyl coenzyme A thioester hydrolase,sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3;tr|K7EKP8|K7EKP8_HUMAN Cytosolic acyl coenzyme A thioester hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=8,2,8,8,8,5,5,8,7,5,5,8,7,5,5,8,7,26.1,26.1,26.1,41.796,380,380;279,0.0,46.429,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51729,1.0981,25.529,26,3,Leave out requantified,0.3139,0.33325,0.6572,0.54487,1.0619,0.968,1.1897,1.0005,18.789,25.999,25.194,7.1615,5,5,9,7,2,0,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,18.9,19.2,26.1,23.4,1954100000,1245300000,708790000,245260000,181690000,63568000,310540000,232270000,78269000,802560000,475700000,326870000,595770000,355690000,240080000,,,,1052,217;2090;8341;9217;11431;12967;17954;17955,True;True;True;True;True;True;True;True,227;2243;2244;8976;9901;12268;13903;19159;19160,577;578;6163;6164;6165;6166;23830;23831;23832;23833;26280;26281;32852;32853;32854;32855;37029;37030;37031;37032;50862;50863;50864;50865;50866;50867,1206;1207;1208;1209;1210;1211;1212;1213;13037;13038;13039;13040;13041;13042;13043;50287;50288;50289;50290;50291;50292;50293;50294;50295;50296;50297;50298;55378;55379;69178;69179;69180;69181;69182;69183;69184;69185;69186;77624;77625;77626;77627;77628;77629;77630;77631;106771;106772;106773;106774;106775;106776;106777;106778,1209;13040;50288;55379;69186;77624;106772;106774,,,,,-1;-1,protein_1053,quanti,quanti,quanti,quanti
AIP,-1.45281507863257,0.0314625411144145,O00170;E9PMH2,O00170;E9PMH2,4;2,4;2,4;2,AH receptor-interacting protein,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2;tr|E9PMH2|E9PMH2_HUMAN Peptidylprolyl isomerase (Fragment) OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2,2,4,4,4,3,2,2,1,3,2,2,1,3,2,2,1,19.4,19.4,19.4,37.636,330,330;232,0.0,4.8317,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47714,1.0722,26.301,8,4,Leave out requantified,0.42803,0.35654,0.48752,0.64243,1.177,0.83422,0.79515,1.0722,47.277,63.563,6.969,,3,2,2,1,2,1,1,0,Median,Median,Median,Median,15.2,11.2,8.5,4.2,201990000,129490000,72496000,60106000,40912000,19194000,47088000,31733000,15355000,67283000,40742000,26541000,27513000,16108000,11405000,,,,1054,4783;13711;19269;19444,True;True;True;True,5105;14696;20553;20748,13302;39084;54713;54714;55257;55258;55259;55260,27650;81789;115185;115186;115187;115188;115189;116333;116334;116335;116336;116337;116338;116339;116340,27650;81789;115187;116336,,,,,-1;-1,protein_1055,quanti,quanti,quanti,quanti
AP3B1,1.98326614851052,0.000378057709956378,O00203;Q13367;H0YBD0;F5GWU4;A0A590UJW5;A0A590UKD3;A0A590UJU0;A0A590UJ60;A0A590UK04;A0A5F9UJV3;A0A2R8Y2A8;A0A590UKC4,O00203,5;1;1;1;1;1;1;1;1;1;1;1,5;1;1;1;1;1;1;1;1;1;1;1,5;1;1;1;1;1;1;1;1;1;1;1,AP-3 complex subunit beta-1,sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,12,5,5,5,1,1,3,3,1,1,3,3,1,1,3,3,6.1,6.1,6.1,121.32,1094,1094;1082;154;193;508;528;578;992;1025;1088;1125;1130,0.0,5.4658,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50074,0.8358,25.665,7,1,Leave out requantified,0.28283,0.42022,0.66084,0.53317,0.61549,0.81764,1.0999,0.96414,,,12.651,27.359,1,1,2,3,0,0,1,0,Median,Median,Median,Leave out requantified,1.0,1.0,3.9,3.9,233130000,145670000,87453000,10438000,7545300,2892600,13590000,9113900,4476400,118080000,73942000,44140000,91017000,55073000,35944000,,,,1055,10151;11092;11380;19847;20374,True;True;True;True;True,10918;11909;12215;21186;21751,29230;31913;31914;32718;32719;56420;57896;57897,61558;67205;67206;68922;68923;68924;118938;118939;122020;122021;122022,61558;67205;68923;118939;122021,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1056,quanti,quanti,quanti,quanti
PSMD11,-0.103174544261414,0.602391344708287,O00231;J3QRY4;J3QS13;J3KSW3,O00231,18;6;3;1,18;6;3;1,18;6;3;1,26S proteasome non-ATPase regulatory subunit 11,sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,4,18,18,18,10,10,13,10,10,10,13,10,10,10,13,10,51.4,51.4,51.4,47.463,422,422;187;90;45,0.0,49.963,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.57269,1.1564,22.457,43,11,Leave out requantified,0.32206,0.40713,0.63515,0.59748,1.0516,1.1955,1.1548,1.0753,32.579,24.285,22.146,14.394,10,10,13,10,2,3,5,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,31.8,30.3,38.4,29.9,2881000000,1771900000,1109100000,398380000,263420000,134960000,550570000,364080000,186490000,1155500000,684100000,471370000,776590000,460270000,316330000,,,,1056,26;482;1460;1797;4102;8329;9492;11683;12439;12540;16199;17513;18206;18477;19184;19917;21382;21565,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,26;511;1568;1933;4380;8957;10202;12535;13344;13454;17314;18688;19414;19704;20453;21258;22819;23010,66;67;68;69;1329;1330;4285;4286;5329;5330;11479;11480;23767;23768;23769;23770;27135;27136;33485;33486;35606;35607;35608;35884;35885;35886;35887;45883;49546;49547;49548;51510;52367;54393;54394;54395;56595;56596;56597;56598;60662;61166;61167,109;110;111;112;113;114;115;2794;8946;8947;11298;11299;11300;11301;11302;11303;11304;23911;23912;23913;23914;50119;50120;50121;50122;50123;50124;50125;50126;50127;57236;57237;57238;57239;57240;70445;74758;74759;74760;74761;74762;75329;75330;75331;75332;75333;75334;75335;95987;103615;103616;103617;103618;103619;107982;110095;114406;114407;114408;114409;114410;114411;114412;119328;119329;119330;119331;119332;119333;119334;119335;119336;119337;119338;119339;119340;119341;119342;119343;127848;128896;128897;128898;128899;128900,110;2794;8947;11304;23912;50119;57237;70445;74758;75331;95987;103617;107982;110095;114411;119334;127848;128900,,,,,-1;-1;-1;-1,protein_1057,quanti,quanti,quanti,quanti
PSMD12,1.1717544209519,0.0587929137756895,O00232,O00232,8,8,8,26S proteasome non-ATPase regulatory subunit 12,sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3,1,8,8,8,3,2,4,4,3,2,4,4,3,2,4,4,20.4,20.4,20.4,52.904,456,456,0.0,13.748,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55523,1.0146,38.75,13,3,Leave out requantified,0.74534,0.3199,0.58194,0.52974,2.0821,0.68171,1.0531,0.97739,57.444,17.446,15.046,24.337,3,2,4,4,1,0,1,1,Plateau,Median,Leave out requantified,Leave out requantified,8.3,3.7,7.7,11.8,530550000,329280000,201270000,55790000,36795000,18995000,37428000,25041000,12387000,199110000,120740000,78374000,238220000,146710000,91512000,,,,1057,6598;8286;9908;10113;11571;17117;20710;20711,True;True;True;True;True;True;True;True,7074;8910;10646;10876;12419;18272;22110;22111,18633;23641;23642;28380;28381;29050;29051;33225;33226;33227;48455;58863;58864;58865,39090;49857;49858;59720;59721;59722;59723;61130;61131;69896;69897;69898;101245;124004;124005;124006;124007,39090;49858;59722;61131;69897;101245;124006;124007,,,,,-1,protein_1058,quanti,quanti,quanti,quanti
PGRMC1,-1.29479356369628,0.0103168505782107,O00264,O00264,13,13,13,Membrane-associated progesterone receptor component 1,sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3,1,13,13,13,10,10,7,7,10,10,7,7,10,10,7,7,39.5,39.5,39.5,21.671,195,195,0.0,43.298,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43192,1.109,21.503,37,12,Leave out requantified,0.30339,0.439,0.51576,0.45776,1.114,1.3063,0.96096,0.81878,10.485,19.623,29.891,25.515,11,11,8,7,5,2,3,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,26.7,39.0,32.3,33.3,3828900000,2588600000,1240300000,796740000,594220000,202510000,1264700000,820710000,444010000,1170200000,780520000,389660000,597320000,393200000,204120000,,,,1058,2805;2806;2807;4476;5376;5377;6554;8221;8222;8942;9211;15089;15374,True;True;True;True;True;True;True;True;True;True;True;True;True,3016;3017;3018;4783;5724;5725;7029;8841;8842;9606;9895;16147;16442,8185;8186;8187;8188;8189;8190;8191;12457;12458;12459;14910;14911;14912;14913;14914;18524;18525;18526;18527;23475;23476;23477;23478;23479;23480;25456;25457;25458;26269;26270;26271;26272;26273;42739;42740;43536;43537,17385;17386;17387;17388;17389;17390;17391;17392;17393;17394;17395;25962;25963;25964;25965;25966;31174;31175;31176;31177;31178;31179;31180;31181;31182;31183;31184;31185;31186;38895;38896;38897;38898;38899;38900;38901;38902;38903;38904;38905;49525;49526;49527;49528;49529;49530;49531;49532;49533;49534;49535;49536;49537;49538;53568;53569;53570;53571;55353;55354;55355;55356;55357;55358;55359;55360;55361;55362;55363;55364;55365;55366;55367;55368;89332;89333;89334;89335;89336;90956;90957;90958,17390;17393;17395;25963;31175;31185;38898;49526;49538;53568;55368;89333;90957,,,,,-1,protein_1059,quanti,quanti,quanti,quanti
SUPT5H,2.8033009560054,0.000391242948911781,O00267,O00267,7,7,7,Transcription elongation factor SPT5,sp|O00267|SPT5H_HUMAN Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,1,7,7,7,1,1,6,6,1,1,6,6,1,1,6,6,9.6,9.6,9.6,121.0,1087,1087,0.0,10.042,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.81328,1.4279,26.475,17,2,Leave out requantified,0.37,0.45552,0.85643,0.83975,0.86156,0.87814,1.5319,1.4743,,,16.131,14.668,1,1,8,7,0,0,1,1,Median,Median,Leave out requantified,Leave out requantified,1.4,1.4,8.7,8.2,540540000,280330000,260210000,14502000,10129000,4373000,12655000,9006800,3647900,289650000,145320000,144330000,223730000,115870000,107860000,,,,1059,4430;6926;9190;18024;18825;18847;19970,True;True;True;True;True;True;True,4734;7427;9871;19229;20069;20092;21312,12330;12331;19541;26203;26204;26205;51034;51035;51036;51037;53312;53313;53314;53360;53361;56713;56714,25695;25696;25697;40900;55213;55214;55215;107103;107104;107105;107106;107107;107108;107109;107110;107111;107112;112125;112126;112127;112236;112237;112238;112239;112240;119520,25696;40900;55214;107103;112126;112238;119520,,,,,-1,protein_1060,quanti,quanti,quanti,quanti
