Gene_names,DCAF11_vs_BirA_logFC,DCAF11_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alon_N1,Peptides_BirA_alon_N2,Peptides_DCAF11_N1,Peptides_DCAF11_N2,Razor___unique_peptides_BirA_alon_N1,Razor___unique_peptides_BirA_alon_N2,Razor___unique_peptides_DCAF11_N1,Razor___unique_peptides_DCAF11_N2,Unique_peptides_BirA_alon_N1,Unique_peptides_BirA_alon_N2,Unique_peptides_DCAF11_N1,Unique_peptides_DCAF11_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alon_N1,Identification_type_BirA_alon_N2,Identification_type_DCAF11_N1,Identification_type_DCAF11_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alon_N1,Ratio_H_L_BirA_alon_N2,Ratio_H_L_DCAF11_N1,Ratio_H_L_DCAF11_N2,Ratio_H_L_normalized_BirA_alon_N1,Ratio_H_L_normalized_BirA_alon_N2,Ratio_H_L_normalized_DCAF11_N1,Ratio_H_L_normalized_DCAF11_N2,Ratio_H_L_variability_____BirA_alon_N1,Ratio_H_L_variability_____BirA_alon_N2,Ratio_H_L_variability_____DCAF11_N1,Ratio_H_L_variability_____DCAF11_N2,Ratio_H_L_count_BirA_alon_N1,Ratio_H_L_count_BirA_alon_N2,Ratio_H_L_count_DCAF11_N1,Ratio_H_L_count_DCAF11_N2,Ratio_H_L_iso_count_BirA_alon_N1,Ratio_H_L_iso_count_BirA_alon_N2,Ratio_H_L_iso_count_DCAF11_N1,Ratio_H_L_iso_count_DCAF11_N2,Ratio_H_L_type_BirA_alon_N1,Ratio_H_L_type_BirA_alon_N2,Ratio_H_L_type_DCAF11_N1,Ratio_H_L_type_DCAF11_N2,Sequence_coverage_BirA_alon_N1____,Sequence_coverage_BirA_alon_N2____,Sequence_coverage_DCAF11_N1____,Sequence_coverage_DCAF11_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alon_N1,Intensity_L_BirA_alon_N1,Intensity_H_BirA_alon_N1,Intensity_BirA_alon_N2,Intensity_L_BirA_alon_N2,Intensity_H_BirA_alon_N2,Intensity_DCAF11_N1,Intensity_L_DCAF11_N1,Intensity_H_DCAF11_N1,Intensity_DCAF11_N2,Intensity_L_DCAF11_N2,Intensity_H_DCAF11_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF11_N1,metacell_Intensity_L_DCAF11_N2,metacell_Intensity_L_BirA_alon_N1,metacell_Intensity_L_BirA_alon_N2
SEC22B,0.165025262901981,0.737704285085614,O75396;A0A087X1A9,O75396;A0A087X1A9,5;3,5;3,5;3,Vesicle-trafficking protein SEC22b,sp|O75396|SC22B_HUMAN Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=4;tr|A0A087X1A9|A0A087X1A9_HUMAN Vesicle-trafficking protein SEC22b (Fragment) OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=1,2,5,5,5,3,4,5,5,3,4,5,5,3,4,5,5,25.6,25.6,25.6,24.593,215,215;79,0.0,26.52,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43362,1.0514,10.378,19,1,Leave out requantified,0.32956,0.35753,0.55352,0.49875,1.1724,1.0259,1.0473,0.97955,2.7011,15.615,9.87,16.144,3,4,5,7,0,0,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,10.7,20.0,25.6,25.6,1094400000,765330000,329100000,200070000,146140000,53924000,313400000,224710000,88697000,103360000,67601000,35763000,477600000,326880000,150720000,,,,1174,6419;7523;10767;11765;15112,True;True;True;True;True,7489;7490;8805;12504;13663;17503;17504,19975;19976;19977;23402;23403;23404;33275;33276;33277;33278;36249;36250;36251;36252;46662;46663;46664;46665;46666,37935;37936;37937;37938;37939;44233;44234;44235;44236;44237;44238;44239;44240;44241;62430;62431;62432;62433;62434;62435;62436;62437;68063;68064;68065;68066;68067;68068;68069;88452;88453;88454;88455;88456;88457;88458;88459;88460;88461,37938;44239;62432;68066;88456,,,,,-1;-1,protein_1175,quanti,quanti,quanti,quanti
VPS26A,0.089179751004778,0.920141143596441,O75436;S4R3Q6,O75436,5;2,5;2,5;2,Vacuolar protein sorting-associated protein 26A,sp|O75436|VP26A_HUMAN Vacuolar protein sorting-associated protein 26A OS=Homo sapiens OX=9606 GN=VPS26A PE=1 SV=2,2,5,5,5,2,2,1,3,2,2,1,3,2,2,1,3,21.4,21.4,21.4,38.169,327,327;226,0.0,2.6276,By MS/MS,By MS/MS,By matching,By MS/MS,0.6123,1.442,34.124,8,1,Leave out requantified,0.49726,0.75397,0.69362,0.67907,1.4691,1.8208,1.2237,1.2774,17.785,22.622,,37.198,2,2,1,3,0,0,0,1,Median,Median,Median,Median,9.8,9.8,3.7,11.6,296950000,161080000,135870000,55725000,33908000,21817000,68158000,31790000,36367000,11987000,7423500,4563900,161080000,87957000,73125000,,,,1176,2958;6179;8005;13836;16138,True;True;True;True;True,3381;7213;9374;16017;18686,9151;9152;19248;25003;42592;42593;49767;49768,17460;17461;36633;36634;47191;47192;80402;94406;94407,17460;36633;47191;80402;94407,,,,,-1;-1,protein_1177,quanti,quanti,quanti,quanti
PSIP1,-1.04360671576591,0.0741401211625255,O75475;Q9Y3E1;H3BPQ6,O75475,3;1;1,2;0;0,2;0;0,PC4 and SFRS1-interacting protein,sp|O75475|PSIP1_HUMAN PC4 and SFRS1-interacting protein OS=Homo sapiens OX=9606 GN=PSIP1 PE=1 SV=1,3,3,2,2,2,2,2,2,2,2,1,1,2,2,1,1,4.3,2.5,2.5,60.103,530,530;203;44,0.0046344,1.1688,By MS/MS,By MS/MS,By MS/MS,By matching,0.42779,0.79976,8.5729,6,0,Leave out requantified,0.29849,0.50085,0.46955,0.51107,0.64009,0.88332,0.79323,0.83065,4.5475,30.039,,,2,2,1,1,0,0,0,0,Median,Median,Median,Median,2.5,2.5,4.0,4.0,63489000,43315000,20174000,22693000,18099000,4593800,21739000,13836000,7903000,8137000,4779500,3357400,10920000,6600300,4319600,,,,1178,2279;10100;13963,True;False;True,2622;11759;16155,7255;7256;7257;7258;31332;31333;42920;42921,14023;58857;58858;58859;58860;80926;80927;80928,14023;58859;80928,,,,,-1;-1;-1,protein_1179,quanti,quanti,quanti,quanti
SRSF10;FUSIP1,0.0188303678144344,0.961672541318781,O75494;Q5JRI1;R4GMP8;Q6IQ42,O75494;Q5JRI1;R4GMP8;Q6IQ42,2;2;1;1,2;2;1;1,2;2;1;1,Serine/arginine-rich splicing factor 10,sp|O75494|SRS10_HUMAN Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1;tr|Q5JRI1|Q5JRI1_HUMAN Serine/arginine-rich-splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1;tr|R4GMP8|R4GMP8_HUMAN Serine/arginine-rich,4,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,13.4,13.4,13.4,31.3,262,262;172;40;69,0.0,58.181,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36173,0.91143,18.279,6,0,Leave out requantified,0.26511,0.33779,0.56865,0.57802,0.83002,0.9045,1.119,1.1201,20.775,1.4729,,,2,2,1,1,0,0,0,0,Median,Median,Median,Median,13.4,13.4,4.6,4.6,329090000,218050000,111040000,84663000,57788000,26874000,96428000,66620000,29809000,59402000,38052000,21350000,88602000,55590000,33012000,,,,1181,4293;16402,True;True,4899;18989,12992;12993;50553;50554;50555;50556;50557,24603;24604;24605;95787;95788;95789;95790;95791;95792;95793;95794;95795;95796;95797;95798;95799;95800;95801;95802;95803;95804;95805;95806,24603;95792,,,,,-1;-1;-1;-1,protein_1182,quanti,quanti,quanti,quanti
BANF1,1.65751978010985,0.00693950570243539,O75531,O75531,9,9,9,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",sp|O75531|BAF_HUMAN Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1,1,9,9,9,2,3,8,8,2,3,8,8,2,3,8,8,64.0,64.0,64.0,10.058,89,89,0.0,18.303,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.49113,0.99384,28.309,23,1,Leave out requantified,0.42896,0.42787,0.48946,0.52354,1.2373,1.0336,0.95326,0.95821,36.934,56.87,17.224,33.323,2,3,8,10,0,0,0,1,Median,Leave out requantified,Leave out requantified,Leave out requantified,33.7,60.7,64.0,64.0,1449000000,994760000,454190000,148450000,103940000,44506000,269180000,171280000,97893000,261420000,173790000,87622000,769910000,545740000,224170000,,,,1182,2076;2077;2252;2253;2303;3280;4302;4303;5546,True;True;True;True;True;True;True;True;True,2377;2378;2379;2589;2590;2651;3738;4912;4913;6471;6472,6629;6630;6631;6632;6633;7149;7150;7151;7152;7153;7154;7342;7343;7344;7345;9970;13028;13029;13030;13031;13032;17250;17251;17252,12811;12812;12813;12814;12815;12816;12817;12818;12819;12820;12821;12822;12823;12824;13747;13748;13749;13750;13751;13752;13753;13754;13755;13756;14185;14186;14187;14188;18783;24668;24669;32701;32702;32703,12815;12822;13751;13752;14188;18783;24668;24669;32701,,,,,-1,protein_1183,quanti,quanti,quanti,quanti
SF3B1,-0.583626785084078,0.265046386111036,O75533;F8WC19;B4DGZ4;A0A494C1M2;H7C341,O75533,9;2;2;2;2,9;2;2;2;2,9;2;2;2;2,Splicing factor 3B subunit 1,sp|O75533|SF3B1_HUMAN Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,5,9,9,9,5,3,3,5,5,3,3,5,5,3,3,5,9.4,9.4,9.4,145.83,1304,1304;37;154;161;241,0.0,9.1938,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.58871,1.1603,50.464,15,1,Leave out requantified,0.39878,0.42406,0.68182,0.71086,1.1907,1.0788,1.1461,1.3162,59.422,21.841,14.444,24.905,5,3,3,4,0,0,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,6.0,3.6,3.9,5.6,376820000,235060000,141750000,144250000,98100000,46151000,86727000,57238000,29488000,41528000,24030000,17498000,104310000,55695000,48616000,,,,1183,1785;5697;6820;7338;7341;9784;14942;15362;15440,True;True;True;True;True;True;True;True;True,2038;6660;7935;8569;8572;11399;17297;17796;17884,5677;17710;21191;21192;22792;22793;22800;22801;22802;30397;46103;46104;47457;47458;47459;47676,10849;33580;40123;43138;43139;43147;43148;43149;43150;57136;87321;87322;90071;90072;90397,10849;33580;40123;43139;43149;57136;87322;90072;90397,,,,,-1;-1;-1;-1;-1,protein_1184,quanti,quanti,quanti,quanti
CSDE1,1.3381644049555,0.00873786669137195,O75534;E9PLT0;E9PLD4;E9PKN4,O75534;E9PLT0,13;11;2;1,13;11;2;1,13;11;2;1,Cold shock domain-containing protein E1,sp|O75534|CSDE1_HUMAN Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2;tr|E9PLT0|E9PLT0_HUMAN Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=1,4,13,13,13,5,6,10,11,5,6,10,11,5,6,10,11,20.2,20.2,20.2,88.884,798,798;668;94;46,0.0,23.587,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.96337,1.8362,16.919,32,1,Leave out requantified,0.82803,1.0381,0.92696,1.0382,1.9624,2.7561,1.7431,1.8716,38.566,17.912,11.248,10.574,5,6,10,11,1,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,6.6,8.1,16.7,18.7,1066200000,532710000,533510000,145180000,78900000,66276000,214740000,102020000,112720000,243980000,117620000,126360000,462320000,234170000,228150000,,,,1184,1759;1780;2312;3858;4945;6198;7983;8477;8666;8810;9390;10693;12459,True;True;True;True;True;True;True;True;True;True;True;True;True,2010;2032;2662;4389;5718;7236;9350;9918;10130;10295;10942;12424;14444,5620;5621;5622;5623;5666;5667;7371;7372;11668;11669;15222;19311;19312;19313;24944;26546;26547;26548;26549;27104;27105;27106;27546;27547;27548;27549;29192;29193;33079;33080;38335;38336,10769;10834;14226;14227;14228;21990;21991;28827;36712;36713;47086;47087;50140;50141;50142;50143;50144;50145;50146;50147;51087;51088;51089;51090;51972;51973;51974;51975;51976;51977;51978;54838;54839;54840;62052;62053;62054;62055;62056;72018;72019;72020,10769;10834;14226;21991;28827;36712;47087;50144;51088;51977;54839;62053;72018,,,,,-1;-1;-1;-1,protein_1185,quanti,quanti,quanti,quanti
PRKRA,-0.905781600053722,0.0365609490542413,O75569;G5E9Q4;F8WEG8;C9JMM3,O75569;G5E9Q4,3;2;1;1,3;2;1;1,3;2;1;1,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,sp|O75569|PRKRA_HUMAN Interferon-inducible double-stranded RNA-dependent protein kinase activator A OS=Homo sapiens OX=9606 GN=PRKRA PE=1 SV=1;tr|G5E9Q4|G5E9Q4_HUMAN Interferon-inducible double-stranded RNA-dependent protein kinase activator A OS=Homo sapi,4,3,3,3,2,2,1,1,2,2,1,1,2,2,1,1,15.7,15.7,15.7,34.404,313,313;105;95;108,0.0,1.8761,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.46475,0.9286,28.263,6,1,Leave out requantified,0.43009,0.43831,0.45162,0.47827,1.1823,1.0363,0.82061,0.87175,58.156,15.516,,,2,2,1,1,1,0,0,0,Median,Median,Median,Median,9.6,9.6,6.1,6.1,148640000,101930000,46709000,46625000,32822000,13803000,59424000,39535000,19888000,13633000,10227000,3405700,28961000,19349000,9612100,,,,1185,67;5545;10916,True;True;True,68;6470;12680,162;163;17248;17249;33755;33756,271;272;32698;32699;32700;63428;63429,271;32700;63429,,,,,-1;-1;-1;-1,protein_1186,quanti,quanti,quanti,quanti
NPM3,-0.275989570100297,0.407056112430731,O75607,O75607,5,5,5,Nucleoplasmin-3,sp|O75607|NPM3_HUMAN Nucleoplasmin-3 OS=Homo sapiens OX=9606 GN=NPM3 PE=1 SV=3,1,5,5,5,3,4,5,5,3,4,5,5,3,4,5,5,45.5,45.5,45.5,19.343,178,178,0.0,103.52,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38901,0.9099,13.375,18,1,Leave out requantified,0.30348,0.27548,0.52667,0.55805,0.96764,0.75671,1.0434,1.0879,13.778,11.851,18.671,19.997,4,4,5,5,0,0,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,33.7,45.5,45.5,45.5,1391600000,994130000,397470000,329180000,258850000,70325000,437030000,331270000,105760000,171540000,104550000,66989000,453850000,299460000,154400000,,,,1186,91;600;9197;10630;15325,True;True;True;True;True,94;661;10719;12356;17758,224;225;226;227;1763;1764;1765;1766;28639;28640;28641;32896;32897;32898;32899;32900;47365;47366,373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;3303;3304;3305;3306;53820;53821;53822;53823;53824;61705;61706;61707;61708;61709;61710;61711;61712;61713;61714;89872;89873;89874;89875;89876,382;3304;53824;61707;89874,,,,,-1,protein_1187,quanti,quanti,quanti,quanti
SNRNP200,-0.279662329968481,0.661940955195913,O75643;A0A494C1A5,O75643;A0A494C1A5,18;14,18;14,18;14,U5 small nuclear ribonucleoprotein 200 kDa helicase,sp|O75643|U520_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2;tr|A0A494C1A5|A0A494C1A5_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase (Fragment) OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV,2,18,18,18,6,11,7,14,6,11,7,14,6,11,7,14,10.9,10.9,10.9,244.5,2136,2136;1375,0.0,20.482,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.68584,1.4448,12.839,39,7,Leave out requantified,0.4924,0.58702,0.7873,0.80171,1.3657,1.5206,1.4259,1.4628,15.807,10.443,17.762,16.063,7,10,8,14,2,2,0,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,4.4,7.4,3.6,7.7,1188700000,739540000,449110000,222320000,144990000,77329000,388830000,253280000,135550000,78905000,45030000,33875000,498600000,296250000,202360000,,,,1187,1381;2354;2591;3403;3855;6159;9349;9696;9870;10164;10391;10933;12665;13494;13857;14623;15735;16066,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1580;2710;2973;3878;4386;7185;10892;11302;11499;11829;12087;12702;14678;15605;16039;16908;18240;18606,4428;4429;4430;7519;7520;8160;10327;10328;11656;19146;19147;29049;29050;29051;29052;29053;29054;29055;30164;30165;30695;31504;32189;32190;32191;33820;33821;38960;38961;38962;38963;41461;41462;41463;42650;44978;48624;48625;49577;49578;49579,8510;8511;8512;8513;8514;14512;14513;14514;14515;14516;15654;19510;21974;36432;36433;54562;54563;54564;54565;54566;54567;54568;54569;54570;54571;54572;54573;54574;54575;54576;54577;54578;54579;54580;54581;54582;54583;54584;56710;56711;56712;57692;59127;60327;60328;60329;60330;63564;63565;73160;73161;73162;73163;73164;73165;73166;73167;73168;73169;73170;73171;73172;77947;77948;77949;77950;80476;85058;92287;92288;92289;94066;94067,8513;14515;15654;19510;21974;36432;54569;56711;57692;59127;60328;63565;73163;77949;80476;85058;92288;94066,,,,,-1;-1,protein_1188,quanti,quanti,quanti,quanti
EIF3J,0.611857369593086,0.352849074260719,O75822;H0YGJ7;H0YLP3,O75822;H0YGJ7;H0YLP3,4;2;2,4;2;2,4;2;2,Eukaryotic translation initiation factor 3 subunit J,sp|O75822|EIF3J_HUMAN Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens OX=9606 GN=EIF3J PE=1 SV=2;tr|H0YGJ7|H0YGJ7_HUMAN Eukaryotic translation initiation factor 3 subunit J (Fragment) OS=Homo sapiens OX=9606 GN=EIF3J PE=1 SV=1;tr|H0YLP,3,4,4,4,1,3,3,2,1,3,3,2,1,3,3,2,19.8,19.8,19.8,29.062,258,258;106;117,0.0,7.4473,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55588,1.2454,26.066,8,2,Leave out requantified,0.36956,0.64806,0.73875,0.92046,1.2454,1.7278,1.3629,1.7438,,62.349,27.342,15.351,1,2,3,2,0,1,0,1,Median,Median,Leave out requantified,Median,10.1,14.7,19.8,14.7,363290000,220210000,143080000,38275000,25862000,12413000,124590000,85773000,38817000,73777000,41101000,32677000,126650000,67473000,59174000,,,,1189,2;3;6780;12682,True;True;True;True,2;3;7890;14697,8;9;10;11;12;21059;21060;21061;39020,14;15;16;17;18;19;20;21;22;23;24;39880;39881;39882;39883;39884;39885;39886;73283,14;19;39884;73283,,,,,-1;-1;-1,protein_1190,quanti,quanti,quanti,quanti
IDH1,-0.403239116309965,0.284658066085778,O75874;C9J4N6;C9JJE5;C9JLU6;P48735,O75874,15;6;3;3;1,15;6;3;3;1,15;6;3;3;1,Isocitrate dehydrogenase [NADP] cytoplasmic,sp|O75874|IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2,5,15,15,15,11,10,7,8,11,10,7,8,11,10,7,8,41.1,41.1,41.1,46.659,414,414;157;62;73;452,0.0,17.927,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37292,0.79932,31.482,37,6,Leave out requantified,0.28481,0.52171,0.33119,0.35217,0.84484,1.2451,0.59718,0.62668,28.191,8.3931,9.8893,16.859,11,10,7,9,2,1,2,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,29.2,29.2,16.9,22.9,1222800000,854180000,368570000,387760000,279990000,107770000,389950000,247150000,142800000,118650000,88965000,29684000,326400000,238070000,88325000,,,,1192,3630;4805;4986;5271;6156;6157;6635;8304;9616;10670;10671;12052;12068;12325;12825,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4128;5548;5767;6102;7181;7182;7730;9705;11200;11201;12400;12401;13984;14000;14292;14853,10998;10999;11000;11001;14775;15354;15355;16216;19135;19136;19137;19138;19139;19140;20632;20633;25971;25972;29887;29888;29889;29890;29891;33020;33021;33022;33023;33024;37070;37071;37103;37104;37105;37106;37904;39426;39427,20745;20746;20747;20748;20749;27963;29066;30582;36406;36407;36408;36409;36410;36411;39068;39069;49022;49023;49024;56161;56162;56163;56164;56165;56166;56167;56168;56169;56170;61951;61952;61953;61954;61955;61956;61957;61958;61959;61960;61961;61962;69626;69675;69676;69677;71137;74030;74031;74032;74033,20746;27963;29066;30582;36407;36410;39069;49024;56165;61953;61961;69626;69676;71137;74030,,,,,-1;-1;-1;-1;-1,protein_1193,quanti,quanti,quanti,quanti
DCTN3,-0.891888900110519,0.46170354601686,O75935;X6RA56;X6RCK5;A0A0A0MRV8;X6RLR1,O75935;X6RA56;X6RCK5;A0A0A0MRV8;X6RLR1,5;4;4;4;4,5;4;4;4;4,5;4;4;4;4,Dynactin subunit 3,sp|O75935|DCTN3_HUMAN Dynactin subunit 3 OS=Homo sapiens OX=9606 GN=DCTN3 PE=1 SV=1;tr|X6RA56|X6RA56_HUMAN Dynactin subunit 3 OS=Homo sapiens OX=9606 GN=DCTN3 PE=1 SV=1;tr|X6RCK5|X6RCK5_HUMAN Dynactin subunit 3 (Fragment) OS=Homo sapiens OX=9606 GN=DCTN3 P,5,5,5,5,1,4,1,2,1,4,1,2,1,4,1,2,37.1,37.1,37.1,21.119,186,186;142;151;160;176,0.0,3.7772,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39303,0.85675,25.961,6,2,Leave out requantified,0.31497,0.3616,0.42718,0.49605,0.83777,0.88719,0.82735,0.91033,,26.203,,,1,3,1,1,1,0,0,1,Median,Leave out requantified,Median,Median,4.3,37.1,6.5,11.3,218460000,171260000,47200000,19129000,13368000,5761400,146970000,125580000,21393000,24543000,16022000,8521000,27813000,16289000,11524000,,,,1196,641;1131;14514;15401;16013,True;True;True;True;True,711;1280;16781;17841;18551,1912;1913;3525;44621;47571;47572;47573;49436,3600;3601;3602;6664;6665;6666;6667;84337;90231;90232;90233;90234;90235;93802,3600;6664;84337;90232;93802,,,,,-1;-1;-1;-1;-1,protein_1197,quanti,quanti,quanti,quanti
DNAJC8,-2.02065797375931,0.0294468772015691,O75937;S4R3J5,O75937,5;2,5;2,5;2,DnaJ homolog subfamily C member 8,sp|O75937|DNJC8_HUMAN DnaJ homolog subfamily C member 8 OS=Homo sapiens OX=9606 GN=DNAJC8 PE=1 SV=2,2,5,5,5,3,4,3,1,3,4,3,1,3,4,3,1,27.3,27.3,27.3,29.841,253,253;106,0.0,4.2363,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37853,1.0595,17.734,11,1,Leave out requantified,0.31396,0.47889,0.5428,0.35848,1.0231,1.1885,0.9564,0.65039,51.786,11.45,12.181,,3,4,3,1,0,1,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Median,24.1,24.1,13.8,7.5,426010000,309680000,116330000,130890000,105270000,25618000,218110000,157460000,60651000,46807000,26952000,19854000,30197000,19995000,10203000,,,,1197,184;1016;7956;7957;8693,True;True;True;True;True,204;1152;9319;9320;10161,519;520;3169;3170;3171;3172;24857;24858;24859;24860;27184,996;6027;6028;6029;6030;6031;46934;46935;46936;46937;51234;51235,996;6028;46934;46936;51235,,,,,-1;-1,protein_1198,quanti,quanti,quanti,quanti
ATP5L,0.75750688439344,0.175083347899492,O75964;E9PN17;A0A3B3ITX4;A0A3B3IRW3,O75964;E9PN17;A0A3B3ITX4,5;4;4;1,5;4;4;1,5;4;4;1,"ATP synthase subunit g, mitochondrial","sp|O75964|ATP5L_HUMAN ATP synthase subunit g, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MG PE=1 SV=3;tr|E9PN17|E9PN17_HUMAN ATP synthase subunit g, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MG PE=1 SV=1;tr|A0A3B3ITX4|A0A3B3ITX4_HUMAN Uncharacterized ",4,5,5,5,3,4,3,3,3,4,3,3,3,4,3,3,58.3,58.3,58.3,11.428,103,103;76;91;34,0.0,7.2506,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43642,0.93168,14.897,11,0,Leave out requantified,0.29431,0.41716,0.56993,0.55564,0.94921,1.0696,1.0951,1.0691,66.374,28.794,16.091,20.119,2,3,3,3,0,0,0,0,Median,Leave out requantified,Plateau,Plateau,28.2,47.6,26.2,26.2,450470000,295720000,154750000,81007000,55645000,25362000,114390000,77451000,36939000,120540000,77083000,43453000,134530000,85537000,48996000,,,,1198,4564;6878;7785;10829;14529,True;True;True;True;True,5235;7999;9116;9117;12584;16797,13893;13894;13895;13896;21339;21340;24274;24275;24276;24277;24278;24279;33491;44657;44658,26348;26349;26350;26351;26352;26353;40423;40424;40425;40426;40427;40428;45846;45847;45848;45849;45850;45851;45852;45853;45854;45855;45856;45857;45858;45859;45860;45861;62928;62929;84407;84408,26353;40424;45849;62929;84407,,,,,-1;-1;-1;-1,protein_1199,quanti,quanti,quanti,quanti
GLRX3,-20.409161443727,1.86719736382543e-06,O76003,O76003,2,2,2,Glutaredoxin-3,sp|O76003|GLRX3_HUMAN Glutaredoxin-3 OS=Homo sapiens OX=9606 GN=GLRX3 PE=1 SV=2,1,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,3.9,3.9,3.9,37.432,335,335,0.0,1.6279,By MS/MS,By MS/MS,,,0.37362,1.136,12.4,3,1,Median,0.35089,0.37362,,,1.1422,0.92163,,,0.77564,,,,2,1,0,0,1,0,0,0,Median,Median,Median,Median,3.9,3.6,0.0,0.0,97298000,70124000,27174000,69965000,50553000,19412000,27333000,19571000,7761500,0,0,0,0,0,0,,,,1199,7342;9386,True;True,8573;10938,22803;29187;29188,43151;54831;54832;54833;54834,43151;54833,,,,,-1,protein_1200,imputed MEC,imputed MEC,quanti,quanti
