SNRNP40_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
PABPC1;PABPC3,0.0785159268,0.525824957356762,0,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361;E5RJB9;E5RGH3;H0YB86;E5RH24;H0YAP2;H0YEQ8;Q4VXU2;H0YAS7;H0YAS6;H0YB75;E5RHG7;Q5JQF8;H0YC10;E5RGC4;H0YCC8;E5RFD8,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361,28;28;27;26;15;14;9;9;8;8;7;4;4;3;3;3;3;3;2;1;1;1,28;28;27;26;15;14;9;9;8;8;7;4;4;3;3;3;3;3;2;1;1;1,12;12;12;12;10;7;0;0;5;0;7;0;1;2;2;2;0;0;2;0;0;0,Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein 3,PABPC1;PABPC3,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein ,28,12,42,636
PYCR2,-0.4914714941,0.0692148138685882,0,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9,5;5;4;3;1;1,4;4;3;2;1;1,4;4;3;2;1;1,Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase,PYCR2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,5,4,21.9,320
HNRNPDL,-0.1751367224,0.32164003556472,0,A0A087WU03,A0A087WU03,2,2,2,,HNRNPDL,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,2,40.4,57
POLA1,0.4038349868,0.026786864837149,0,P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,1;1;1,1;1;1,1;1;1,DNA polymerase alpha catalytic subunit;DNA polymerase,POLA1,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,1,1,0.5,1462
CTNNBL1,-0.6310325001,0.00204434035994073,0,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,4;4;1,4;4;1,4;4;1,Beta-catenin-like protein 1,CTNNBL1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,4,4,9.4,563
HNRNPDL,-0.296550613,0.0553519972972066,0,O14979;A0A087WUK2,O14979;A0A087WUK2,11;11,11;11,9;9,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,11,9,21.4,420
SLIRP,-0.3329643113,0.0343752119587468,0,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJI1;H0YJ07;H0YJU7,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,"sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",6,6,67.9,109
EIF5B,0.0586176125,0.732692070313794,0,O60841;A0A087WUT6,O60841;A0A087WUT6,10;10,10;10,10;10,Eukaryotic translation initiation factor 5B,EIF5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,10,10,14.6,1220
BSG,-0.1334641805,0.425363357528695,0,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192,5;5;5;3;3;2,5;5;5;3;3;2,5;5;5;3;3;2,Basigin,BSG,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|R4GMX5|R4GMX,5,5,17.4,385
SPTBN1,-0.3641205437,0.0407928937576645,0,Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,22;22;4,22;22;4,22;22;4,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,"sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",22,22,14.3,2364
MTHFD1L,-0.1529954181,0.199343778291608,0,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM0;Q4VXM1,Q6UB35;A0A087WVM4;B7ZM99,6;6;6;2;1,5;5;5;2;1,5;5;5;2;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,"sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",6,5,7.8,978
POLR2E,-0.5258639921,0.112343335986509,0,P19388;A0A087WWX0;A0A087WVZ9;A0A0A0MQR7;A0A087WVN5,P19388;A0A087WWX0;A0A087WVZ9;A0A0A0MQR7;A0A087WVN5,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,"sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WWX0|A0A087WWX0_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 (Fragment) OS=Homo sapiens OX=9606 GN=POL",2,2,11.4,210
POLD2,-0.4365928205,0.289245320904228,0,P49005;F8W8R3;A0A087WWF6;C9JHC7;H7C1B3;C9IZD2;C9J8Z7;C9JLE1,P49005;F8W8R3;A0A087WWF6;C9JHC7,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,DNA polymerase delta subunit 2,POLD2,sp|P49005|DPOD2_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|F8W8R3|F8W8R3_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|A0A087WWF6|A0A087WWF6_HUMAN DNA polymerase delta subunit 2 O,3,3,8.5,469
HYOU1,-0.2635935588,0.147003070164451,0,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039;J3KTF1;J3QL06;A0A087WW13;Q9BST8;J3QQH7;J3QLE9;A0A087X214,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039,12;12;12;12;12;12;5;4;3;3;3;3;2,12;12;12;12;12;12;5;4;3;3;3;3;2,12;12;12;12;12;12;5;4;3;3;3;3;2,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|E9PJ21|E9PJ21_HUMAN Hypoxia up-regulated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087WWI4|A0A087WWI4_HUMAN Hypoxia up-regulated ,12,12,16.2,999
TRAPPC3,-0.0316201367,0.76184254023721,0,O43617;A0A087WWM0;A0A087WYS5;A6NKE1,O43617;A0A087WWM0;A0A087WYS5,3;3;2;1,3;3;2;1,3;3;2;1,Trafficking protein particle complex subunit 3,TRAPPC3,sp|O43617|TPPC3_HUMAN Trafficking protein particle complex subunit 3 OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1;tr|A0A087WWM0|A0A087WWM0_HUMAN Trafficking protein particle complex subunit OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1;tr|A0A087WYS5|A0A087W,3,3,18.9,180
TPM3,-0.0559884374,0.584714759069285,0,A0A087WWU8;D6R904;A0A494C0G0;Q5VU61,A0A087WWU8;D6R904,27;17;10;7,27;17;10;7,11;11;4;7,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,27,11,75.8,227
TARDBP;TDP43,-0.2214754522,0.412636603751978,0,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;K7EN94;A0A087WXQ5;A0A087WV68;A0A1W2PNU8;A0A087WXV3;A0A087WX67;A0A087WW61;A0A0A0MSV7;K7EJ99;K7EL26;A0A087WZC9;A0A087WYE7;A0A087WTZ4,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;K7EN94,9;9;7;7;7;7;6;6;5;4;4;4;2;2;2;2;2;1;1;1;1,9;9;7;7;7;7;6;6;5;4;4;4;2;2;2;2;2;1;1;1;1,9;9;7;7;7;7;6;6;5;4;4;4;2;2;2;2;2;1;1;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,9,9,27.8,414
RPL17;RPL17-C18orf32,0.2722215058,0.133755390508011,0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81;J3KSJ0,P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81,12;12;12;12;12;10;10;10;9;9;7;4,12;12;12;12;12;10;10;10;9;9;7;4,12;12;12;12;12;10;10;10;9;9;7;4,60S ribosomal protein L17,RPL17;RPL17-C18orf32,sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=1;tr|J3QQT2|J3QQT2_HUMAN 60S ribosomal protein L17 (Fragm,12,12,57.6,184
ITGB6,-0.1017019805,0.523373519922372,0,P18564;A0A087WXP3;E9PEE8,P18564;A0A087WXP3;E9PEE8,1;1;1,1;1;1,1;1;1,Integrin beta-6;Integrin beta,ITGB6,sp|P18564|ITB6_HUMAN Integrin beta-6 OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=2;tr|A0A087WXP3|A0A087WXP3_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1;tr|E9PEE8|E9PEE8_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1,1,1,1.1,788
VTA1,-0.1619832995,0.448461815058665,0,Q9NP79;A0A087WY55;Q5TGM0,Q9NP79;A0A087WY55;Q5TGM0,3;3;2,3;3;2,3;3;2,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,"sp|Q9NP79|VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|A0A087WY55|A0A087WY55_HUMAN Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;tr|Q5TGM0|Q5T",3,3,13.7,307
UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.4486477708,0.0248143581685958,0,P61077;P62837;D6RAW0;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;Q9Y2X8;P51668;D6RA11;A0A087WW00;C9J9H9,P61077;P62837;D6RAW0;D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;Q9Y2X8;P51668;D6RA11;A0A087WW00;C9J9H9,2;2;2;2;2;2;2;2;1;1;1;1;1,2;2;2;2;2;2;2;2;1;1;1;1;1,2;2;2;2;2;2;2;2;1;1;1;1;1,Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2;Ubiquitin-conjugating enzyme E2 D4;Ubiquitin-conjugating enzyme E2 D1,UBE2D3;UBE2D2;UBE2D4;UBE2D1,sp|P61077|UB2D3_HUMAN Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1;sp|P62837|UB2D2_HUMAN Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens OX=9606 GN=UBE2D2 PE=1 SV=1;tr|D6RAW0|D6RAW0_HUMAN Ubiquitin-conjugating enzyme E2,2,2,19.7,147
SRP19,-0.7990550573,0.0356237867876955,0,P09132;A0A087WYR0;A0A087WWU9;D6RBG4;A0A2R8Y4M3;A0A2U3TZN1,P09132;A0A087WYR0;A0A087WWU9,4;4;2;1;1;1,4;4;2;1;1;1,4;4;2;1;1;1,Signal recognition particle 19 kDa protein,SRP19,sp|P09132|SRP19_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=3;tr|A0A087WYR0|A0A087WYR0_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=1;tr|A0A087WWU9|A0A087WWU9_HUMAN ,4,4,36.8,144
UGP2,-0.1690862258,0.154287912984722,0,Q16851;A0A087WYS1;E7EUC7;C9JNZ1;C9JWG0;C9JVG3;C9JQU9;C9JTZ5;C9JUW1;F2Z3H1,Q16851;A0A087WYS1;E7EUC7;C9JNZ1,15;15;15;9;5;5;5;4;4;1,15;15;15;9;5;5;5;4;4;1,15;15;15;9;5;5;5;4;4;1,UTP--glucose-1-phosphate uridylyltransferase,UGP2,sp|Q16851|UGPA_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5;tr|A0A087WYS1|A0A087WYS1_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=1;tr|E7EUC7|E7EUC7_HUMAN UTP--gl,15,15,31.7,508
PTGES3,-0.1490134946,0.255248080053528,0,Q15185;A0A087WYT3,Q15185;A0A087WYT3,5;5,5;5,5;5,Prostaglandin E synthase 3,PTGES3,sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1;tr|A0A087WYT3|A0A087WYT3_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,5,5,26.2,160
EIF3H,-0.1709161431,0.184293422433029,0,O15372;A0A087WZK9;B3KS98;E5RGU4,O15372;A0A087WZK9;B3KS98,8;8;8;3,8;8;8;3,3;3;3;0,Eukaryotic translation initiation factor 3 subunit H,EIF3H,sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|A0A087WZK9|A0A087WZK9_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1;tr|B3KS98|B,8,3,45.7,352
SBDS,0.1508429098,0.200643035545353,0,Q9Y3A5;F8WE72;A0A087X020,Q9Y3A5;F8WE72;A0A087X020,2;2;2,2;2;2,2;2;2,Ribosome maturation protein SBDS,SBDS,sp|Q9Y3A5|SBDS_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=4;tr|F8WE72|F8WE72_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=1;tr|A0A087X020|A0A087X020_HUMAN Ribosome maturation protein SBD,2,2,7.2,250
SNX12,-0.8762886459,0.00458702970549812,0,Q9UMY4;A0A087X0R6,Q9UMY4;A0A087X0R6,5;5,5;5,4;4,Sorting nexin-12,SNX12,sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=4;tr|A0A087X0R6|A0A087X0R6_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=1,5,4,48.8,162
ACOT1;ACOT2,-0.7313824386,0.007668042556168,0,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95;A0A2R8Y7H3,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95,9;9;8;8;8;2,9;9;8;8;8;2,9;9;8;8;8;2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT1;ACOT2,"sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=1;sp|P49753|ACOT2_HUMAN Acyl-coenzyme A th",9,9,31.4,421
RELA,-0.4042442549,0.03347241588499,0,Q04206;Q2TAM5;E9PKH5;A0A087X0W8;E9PKV4;A0A087WVP0;E9PMD5;E9PI38;E9PQS6;E9PM47;E9PNK5;E9PN69;E9PNV4,Q04206;Q2TAM5;E9PKH5;A0A087X0W8;E9PKV4;A0A087WVP0;E9PMD5;E9PI38;E9PQS6,4;4;4;4;3;3;2;2;2;1;1;1;1,4;4;4;4;3;3;2;2;2;1;1;1;1,4;4;4;4;3;3;2;2;2;1;1;1;1,Transcription factor p65,RELA,sp|Q04206|TF65_HUMAN Transcription factor p65 OS=Homo sapiens OX=9606 GN=RELA PE=1 SV=2;tr|Q2TAM5|Q2TAM5_HUMAN RELA protein OS=Homo sapiens OX=9606 GN=RELA PE=1 SV=1;tr|E9PKH5|E9PKH5_HUMAN Transcription factor p65 (Fragment) OS=Homo sapiens OX=9606 GN=RELA,4,4,14.2,551
