Gene_names,SNRNP40_vs_BirA_logFC,SNRNP40_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_SNRNP40_N1,Peptides_SNRNP40_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_SNRNP40_N1,Razor___unique_peptides_SNRNP40_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_SNRNP40_N1,Unique_peptides_SNRNP40_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_SNRNP40_N1,Identification_type_SNRNP40_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_SNRNP40_N1,Ratio_H_L_SNRNP40_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_SNRNP40_N1,Ratio_H_L_normalized_SNRNP40_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____SNRNP40_N1,Ratio_H_L_variability_____SNRNP40_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_SNRNP40_N1,Ratio_H_L_count_SNRNP40_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_SNRNP40_N1,Ratio_H_L_iso_count_SNRNP40_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_SNRNP40_N1,Ratio_H_L_type_SNRNP40_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_SNRNP40_N1____,Sequence_coverage_SNRNP40_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_SNRNP40_N1,Intensity_L_SNRNP40_N1,Intensity_H_SNRNP40_N1,Intensity_SNRNP40_N2,Intensity_L_SNRNP40_N2,Intensity_H_SNRNP40_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_SNRNP40_N1,metacell_Intensity_L_SNRNP40_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
COPE,-1.96154466022785,0.0256352060222218,O14579;M0QXB4;M0R061,O14579;M0QXB4;M0R061,4;4;3,4;4;3,4;4;3,Coatomer subunit epsilon,"sp|O14579|COPE_HUMAN Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3;tr|M0QXB4|M0QXB4_HUMAN Coatomer protein complex, subunit epsilon, isoform CRA_g OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=1;tr|M0R061|M0R061_HUMAN Coatomer subunit epsilo",3,4,4,4,2,2,2,1,2,2,2,1,2,2,2,1,15.3,15.3,15.3,34.482,308,308;331;146,0.0,6.2945,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42264,0.7918,19.484,7,2,Leave out requantified,0.30942,0.37062,0.4888,0.56248,0.89324,0.91114,0.83064,0.93913,21.613,29.212,6.7723,,2,2,2,1,0,0,1,1,Median,Median,Median,Median,12.0,12.0,9.7,3.2,164790000,108400000,56384000,48735000,33656000,15079000,57231000,37648000,19584000,49502000,31697000,17805000,9321000,5404600,3916500,,,,943,3739;7533;9927;17557,True;True;True;True,3865;7806;10283;18156,11138;22548;22549;29705;29706;52130;52131,22652;46658;46659;46660;46661;46662;46663;60815;60816;60817;107445;107446;107447,22652;46663;60816;107446,,,,,-1;-1;-1,protein_944,quanti,quanti,quanti,quanti
ETHE1,0.0657318726392226,0.787673002265926,O95571;M0QXB5;M0QY80,O95571;M0QXB5;M0QY80,5;5;3,5;5;3,5;5;3,"Persulfide dioxygenase ETHE1, mitochondrial","sp|O95571|ETHE1_HUMAN Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens OX=9606 GN=ETHE1 PE=1 SV=2;tr|M0QXB5|M0QXB5_HUMAN Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens OX=9606 GN=ETHE1 PE=1 SV=1;tr|M0QY80|M0QY80_HUMAN Persulfide dio",3,5,5,5,3,5,3,2,3,5,3,2,3,5,3,2,22.8,22.8,22.8,27.873,254,254;260;95,0.0,7.6028,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40598,0.85674,32.031,15,3,Leave out requantified,0.28382,0.45178,0.43827,1.5755,1.0169,1.2592,0.93988,3.4684,61.978,43.984,19.867,89.736,3,5,4,3,1,2,0,0,Median,Leave out requantified,Leave out requantified,Plateau,18.5,22.8,18.5,13.8,809530000,521340000,288190000,128570000,90960000,37614000,153220000,108910000,44305000,321560000,220570000,100990000,206190000,100900000,105280000,,,,944,2351;2905;2906;9382;13456,True;True;True;True;True,2438;3006;3007;9732;13947,7276;8834;8835;8836;8837;8838;28256;28257;28258;28259;28260;28261;39931;39932;39933,15192;18197;18198;18199;18200;18201;18202;18203;58157;58158;58159;58160;58161;58162;58163;58164;58165;58166;81774;81775;81776;81777;81778;81779;81780;81781,15192;18198;18203;58158;81774,,,,,-1;-1;-1,protein_945,quanti,quanti,quanti,quanti
FBL,-0.244499794265476,0.328931995852185,P22087;M0QXL5;M0R2Q4;M0R0P1;M0R299;M0R2U2;M0R1H0;M0R2B0,P22087;M0QXL5;M0R2Q4;M0R0P1;M0R299;M0R2U2;M0R1H0;M0R2B0,13;13;13;12;12;7;7;7,13;13;13;12;12;7;7;7,12;12;12;11;11;7;7;7,rRNA 2-O-methyltransferase fibrillarin,sp|P22087|FBRL_HUMAN rRNA 2-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2;tr|M0QXL5|M0QXL5_HUMAN rRNA 2-O-methyltransferase fibrillarin (Fragment) OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=1;tr|M0R2Q4|M0R2Q4_HUMAN rRNA 2-O-methyl,8,13,13,12,10,10,10,11,10,10,10,11,9,9,9,10,51.1,51.1,47.7,33.784,321,321;244;273;228;229;157;178;182,0.0,92.915,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37683,0.90556,28.278,43,8,Leave out requantified,0.24966,0.28763,0.47285,0.43804,0.90012,0.78302,0.91325,0.95779,35.383,25.832,28.004,21.313,11,12,10,10,3,1,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,36.8,32.7,44.2,45.8,3394700000,2306500000,1088300000,632190000,478710000,153480000,718710000,536450000,182260000,1315000000,849660000,465300000,728880000,441670000,287210000,,,,946,1404;7228;8058;11296;11552;11553;11812;12698;13092;13307;14836;16294;16576,True;True;True;True;True;True;True;True;True;True;True;True;True,1455;7489;8353;11721;11981;11982;12247;13171;13576;13795;15357;16868;17160,4364;4365;21671;21672;21673;21674;24075;24076;24077;24078;24079;24080;33712;33713;34464;34465;34466;34467;34468;34469;34470;35243;35244;37706;37707;37708;37709;38834;38835;38836;38837;38838;39473;39474;39475;44065;44066;44067;48535;48536;48537;49317;49318;49319,9204;9205;44778;44779;44780;44781;44782;44783;44784;44785;44786;44787;44788;44789;44790;44791;44792;44793;49683;49684;49685;49686;49687;49688;49689;49690;49691;49692;49693;49694;49695;49696;49697;49698;69100;69101;70660;70661;70662;70663;70664;70665;70666;70667;70668;70669;70670;70671;72244;72245;72246;72247;72248;72249;72250;72251;72252;72253;77147;77148;77149;77150;77151;77152;77153;77154;79434;79435;79436;79437;79438;79439;79440;79441;80832;80833;80834;80835;80836;80837;80838;80839;90637;90638;90639;90640;100142;100143;100144;100145;100146;100147;100148;100149;100150;100151;100152;100153;100154;100155;101789;101790;101791;101792;101793,9204;44782;49688;69100;70663;70668;72245;77154;79439;80839;90638;100148;101793,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_947,quanti,quanti,quanti,quanti
SLC1A5,-1.16086187337804,0.0775580744268523,Q15758;M0QXM4;M0QX44,Q15758;M0QXM4,3;3;1,3;3;1,3;3;1,Neutral amino acid transporter B(0);Amino acid transporter,sp|Q15758|AAAT_HUMAN Neutral amino acid transporter B(0) OS=Homo sapiens OX=9606 GN=SLC1A5 PE=1 SV=2;tr|M0QXM4|M0QXM4_HUMAN Amino acid transporter OS=Homo sapiens OX=9606 GN=SLC1A5 PE=1 SV=1,3,3,3,3,1,3,1,1,1,3,1,1,1,3,1,1,7.9,7.9,7.9,56.598,541,541;365;258,0.0,3.7684,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.70106,1.6021,4.4752,5,0,Leave out requantified,0.73346,0.67863,0.81171,0.8144,1.9129,1.6566,1.4405,1.5466,,9.2061,,,1,2,1,1,0,0,0,0,Median,Median,Median,Median,2.4,7.9,2.4,2.4,122440000,69173000,53269000,18210000,11852000,6358700,56040000,32119000,23921000,28759000,14219000,14540000,19433000,10983000,8449600,,,,947,11344;12926;13922,True;True;True,11771;13404;14420,33858;33859;33860;33861;38358;41276,69403;69404;69405;69406;69407;69408;69409;69410;69411;78495;84471,69404;78495;84471,,,,,-1;-1;-1,protein_948,quanti,quanti,quanti,quanti
TIMM44,-1.35573759515594,0.0341337789752542,O43615;M0QXU7;M0R301;M0R124,O43615;M0QXU7;M0R301;M0R124,2;2;1;1,2;2;1;1,2;2;1;1,Mitochondrial import inner membrane translocase subunit TIM44,sp|O43615|TIM44_HUMAN Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2;tr|M0QXU7|M0QXU7_HUMAN Mitochondrial import inner membrane translocase subunit TIM44 (Fragment) OS=Homo sapiens OX=9606 GN=TIMM4,4,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,5.3,5.3,5.3,51.355,452,452;273;126;139,0.0,7.2432,By MS/MS,By MS/MS,By matching,By MS/MS,0.47979,1.0707,19.59,5,1,Leave out requantified,0.39889,0.3599,0.83814,0.62254,1.1843,0.90773,1.6108,1.2298,,3.7621,,,1,2,1,1,1,0,0,0,Median,Median,Median,Median,2.7,5.3,2.7,2.7,152610000,103900000,48711000,26916000,19328000,7587800,65062000,49063000,15999000,37035000,22024000,15011000,23595000,13482000,10114000,,,,949,10779;12529,True;True,11177;12996,32186;37250;37251;37252;37253,65995;76194;76195;76196,65995;76196,,,,,-1;-1;-1;-1,protein_950,quanti,quanti,quanti,quanti
SH3GL1,-1.86138238280827,0.00142151239938631,Q99961;M0QYE0;M0R0I3;Q99962;M0R2K6,Q99961;M0QYE0;M0R0I3,3;3;3;1;1,3;3;3;1;1,3;3;3;1;1,Endophilin-A2,sp|Q99961|SH3G1_HUMAN Endophilin-A2 OS=Homo sapiens OX=9606 GN=SH3GL1 PE=1 SV=1;tr|M0QYE0|M0QYE0_HUMAN Endophilin-A2 (Fragment) OS=Homo sapiens OX=9606 GN=SH3GL1 PE=1 SV=8;tr|M0R0I3|M0R0I3_HUMAN Endophilin-A2 (Fragment) OS=Homo sapiens OX=9606 GN=SH3GL1 PE,5,3,3,3,3,3,1,1,3,3,1,1,3,3,1,1,11.7,11.7,11.7,41.489,368,368;128;139;352;26,0.0,6.9817,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43006,1.2259,20.75,8,2,Leave out requantified,0.50987,0.46473,0.64114,0.5539,1.6299,1.1926,1.2638,1.1385,23.659,23.246,,,3,3,1,1,1,1,0,0,Plateau,Median,Median,Median,11.7,11.7,3.3,3.3,277050000,180210000,96841000,83484000,56478000,27007000,108650000,72328000,36320000,50870000,30793000,20077000,34045000,20607000,13437000,,,,951,2049;6977;14543,True;True;True,2124;7228;15059,6385;6386;20966;20967;43218;43219;43220;43221,13434;13435;13436;13437;43341;43342;43343;43344;88745;88746;88747;88748;88749,13436;43344;88748,,,,,-1;-1;-1;-1;-1,protein_952,quanti,quanti,quanti,quanti
EXOSC5,1.33210102997474,0.00834507459773882,Q9NQT4;M0R050,Q9NQT4;M0R050,2;2,2;2,2;2,Exosome complex component RRP46,sp|Q9NQT4|EXOS5_HUMAN Exosome complex component RRP46 OS=Homo sapiens OX=9606 GN=EXOSC5 PE=1 SV=1;tr|M0R050|M0R050_HUMAN Exosome complex component RRP46 OS=Homo sapiens OX=9606 GN=EXOSC5 PE=1 SV=1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,11.1,11.1,11.1,25.249,235,235;197,0.0,11.752,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40049,0.80387,20.676,6,4,Median,0.31509,0.35582,0.44634,0.47656,0.71692,0.74209,0.7981,0.94274,,,36.436,11.226,1,1,2,2,1,1,1,1,Median,Median,Median,Median,5.1,5.1,11.1,11.1,153000000,99205000,53799000,11580000,9076800,2502900,17091000,12478000,4613500,70520000,44739000,25781000,53813000,32911000,20902000,,,,956,1997;11736,True;True,2070;12169,6232;6233;6234;6235;35009;35010,13091;13092;13093;13094;13095;71789;71790,13092;71789,,,,,-1;-1,protein_957,quanti,quanti,quanti,quanti
RPS5,-1.65953726287211,0.0145665972250263,P46782;M0R0F0;M0R0R2;M0QZN2,P46782;M0R0F0;M0R0R2;M0QZN2,11;11;11;8,11;11;11;8,11;11;11;8,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",sp|P46782|RS5_HUMAN 40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4;tr|M0R0F0|M0R0F0_HUMAN 40S ribosomal protein S5 (Fragment) OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=1;tr|M0R0R2|M0R0R2_HUMAN 40S ribosomal protein S5 OS=Homo sapiens OX=9,4,11,11,11,8,9,8,8,8,9,8,8,8,9,8,8,55.9,55.9,55.9,22.876,204,204;200;225;134,0.0,79.667,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33353,0.79663,19.588,46,8,Leave out requantified,0.24124,0.28417,0.43403,0.43053,0.83271,0.84997,0.86406,0.9477,11.456,20.994,20.675,14.681,12,12,11,11,2,2,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,34.3,39.2,50.5,34.3,4740800000,3513200000,1227700000,1505900000,1203300000,302600000,1585900000,1213700000,372150000,823870000,532130000,291740000,825180000,563990000,261190000,,,,958,1509;5604;10026;11362;12007;12615;12695;14356;14357;14519;16382,True;True;True;True;True;True;True;True;True;True;True,1563;5796;10388;10389;11789;12458;13084;13167;14865;14866;15031;16963,4689;16743;29991;29992;29993;29994;29995;29996;33908;35787;35788;35789;35790;35791;37464;37465;37466;37695;37696;37697;42571;42572;42573;42574;42575;42576;42577;42578;42579;42580;42581;43116;43117;43118;43119;43120;43121;43122;43123;48801;48802;48803;48804;48805;48806;48807;48808,9880;34255;61457;61458;61459;61460;61461;61462;61463;61464;61465;61466;69501;69502;73362;73363;73364;73365;73366;73367;73368;73369;73370;73371;76631;76632;76633;77126;77127;77128;77129;87107;87108;87109;87110;87111;87112;87113;87114;87115;87116;87117;87118;87119;87120;87121;87122;87123;87124;87125;87126;87127;87128;87129;88413;88414;88415;88416;88417;88418;88419;88420;88421;88422;88423;88424;88425;88426;88427;88428;88429;88430;88431;88432;88433;88434;100742;100743;100744;100745;100746;100747;100748;100749;100750;100751;100752;100753;100754;100755;100756;100757;100758;100759;100760;100761,9880;34255;61465;69501;73371;76632;77129;87111;87128;88422;100755,,,,,-1;-1;-1;-1,protein_959,quanti,quanti,quanti,quanti
NAPA,1.65513388435426,0.0310892529174829,P54920;M0R0Y2;M0R2M1;M0QZM9;M0QZN5;M0R031;M0R213;M0R027;M0R058;M0R0I4,P54920;M0R0Y2;M0R2M1,3;3;3;1;1;1;1;1;1;1,3;3;3;1;1;1;1;1;1;1,3;3;3;1;1;1;1;1;1;1,Alpha-soluble NSF attachment protein,sp|P54920|SNAA_HUMAN Alpha-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPA PE=1 SV=3;tr|M0R0Y2|M0R0Y2_HUMAN Alpha-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPA PE=1 SV=1;tr|M0R2M1|M0R2M1_HUMAN Alpha-soluble NSF attachment pr,10,3,3,3,1,1,1,2,1,1,1,2,1,1,1,2,16.6,16.6,16.6,33.232,295,295;256;268;35;60;74;83;102;137;139,0.0,6.8592,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54835,1.126,10.615,5,2,Median,0.54835,0.57117,0.57831,0.49352,1.2854,1.126,1.1527,1.0111,,,,6.7268,1,1,1,2,0,1,0,1,Median,Median,Median,Median,6.4,6.4,4.4,10.2,143040000,87665000,55372000,14920000,7381100,7538600,14562000,8392700,6169400,54115000,30304000,23811000,59440000,41587000,17853000,,,,959,8283;10502;15345,True;True;True,8591;10882;15882,24880;31424;31425;31426;45589;45590,51395;64488;64489;64490;93884;93885;93886;93887,51395;64489;93884,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_960,quanti,quanti,quanti,quanti
RPL18A,-0.971340923202902,0.0443245470759548,Q02543;M0R1A7;M0R117;M0R3D6;M0R0P7,Q02543;M0R1A7;M0R117;M0R3D6;M0R0P7,13;13;13;12;11,13;13;13;12;11,13;13;13;12;11,60S ribosomal protein L18a,sp|Q02543|RL18A_HUMAN 60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2;tr|M0R1A7|M0R1A7_HUMAN 60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=1;tr|M0R117|M0R117_HUMAN 60S ribosomal protein L18a OS=Homo sapiens OX=,5,13,13,13,12,12,9,9,12,12,9,9,12,12,9,9,60.2,60.2,60.2,20.762,176,176;147;154;141;137,0.0,74.761,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3396,0.86296,20.005,49,6,Leave out requantified,0.25053,0.27767,0.4806,0.45016,0.84534,0.76717,0.97607,0.98183,22.307,11.742,16.605,81.153,13,14,11,11,3,2,1,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,60.2,53.4,51.7,51.7,4510000000,3277300000,1232700000,1179900000,937970000,241900000,1251700000,954200000,297460000,1154400000,738960000,415400000,924150000,646170000,277980000,,,,960,770;1592;2637;2638;3462;3463;4216;6193;11258;13108;13771;13826;15991,True;True;True;True;True;True;True;True;True;True;True;True;True,791;1648;2731;2732;3580;3581;4351;6411;11682;13592;14267;14324;16557,2251;2252;2253;2254;2255;2256;2257;4966;4967;8104;8105;8106;8107;8108;10297;10298;10299;10300;10301;10302;12479;12480;12481;12482;12483;12484;12485;18542;18543;18544;18545;33608;33609;33610;33611;38879;38880;40817;40818;40819;40820;40821;40997;40998;40999;41000;47598;47599;47600;47601;47602,4567;4568;4569;4570;4571;4572;4573;4574;4575;4576;4577;4578;10414;10415;10416;16810;16811;16812;16813;16814;16815;16816;16817;16818;16819;16820;16821;16822;21007;21008;21009;21010;21011;21012;21013;21014;21015;21016;21017;21018;21019;25314;25315;25316;25317;25318;25319;25320;25321;25322;38180;38181;38182;38183;38184;38185;68869;68870;68871;68872;68873;68874;68875;79529;79530;83489;83490;83491;83492;83493;83494;83495;83496;83497;83498;83866;83867;83868;83869;83870;83871;83872;83873;83874;83875;83876;83877;98129;98130;98131;98132;98133;98134;98135;98136;98137;98138,4567;10416;16815;16822;21008;21018;25314;38180;68869;79530;83490;83873;98130,,,,,-1;-1;-1;-1;-1,protein_961,quanti,quanti,quanti,quanti
TECR,-20.0162716607086,7.39089280907692e-07,Q9NZ01;M0R3C3,Q9NZ01;M0R3C3,2;2,2;2,2;2,Very-long-chain enoyl-CoA reductase,sp|Q9NZ01|TECR_HUMAN Very-long-chain enoyl-CoA reductase OS=Homo sapiens OX=9606 GN=TECR PE=1 SV=1;tr|M0R3C3|M0R3C3_HUMAN Very-long-chain enoyl-CoA reductase OS=Homo sapiens OX=9606 GN=TECR PE=1 SV=1,2,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,4.5,4.5,4.5,36.034,308,308;105,0.0,4.5424,By MS/MS,By MS/MS,,,0.66232,1.7288,26.058,3,1,Plateau,0.51124,0.67255,,,1.5316,1.7288,,,35.5,,,,2,1,0,0,1,0,0,0,Median,Median,Median,Median,4.5,3.9,0.0,0.0,89996000,48371000,41625000,56176000,32091000,24085000,33819000,16280000,17540000,0,0,0,0,0,0,,,,963,10760;10761,True;True,11157;11158,32137;32138;32139,65904;65905;65906;65907;65908,65907;65908,,,,,-1;-1,protein_964,imputed MEC,imputed MEC,quanti,quanti
AGPS,-2.04272450672281,0.00128989794875531,O00116;A0A1B0GWA2;A0A2R8YEL0;B8ZZ81,O00116;A0A1B0GWA2;A0A2R8YEL0,6;5;5;1,6;5;5;1,6;5;5;1,"Alkyldihydroxyacetonephosphate synthase, peroxisomal","sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1;tr|A0A1B0GWA2|A0A1B0GWA2_HUMAN Alkylglycerone-phosphate synthase (Fragment) OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1;tr|A0A2R8YEL0|A0A2R8YE",4,6,6,6,4,5,1,1,4,5,1,1,4,5,1,1,13.8,13.8,13.8,72.911,658,658;543;560;189,0.0,10.749,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50882,1.1898,23.349,11,4,Leave out requantified,0.36732,0.5147,0.63062,0.54953,0.85848,1.1898,1.1975,1.1322,29.205,28.073,,,4,5,1,1,1,2,0,1,Leave out requantified,Leave out requantified,Median,Median,9.6,11.9,2.0,2.0,279390000,185400000,93981000,83754000,61312000,22442000,116540000,76010000,40528000,45759000,27912000,17847000,33335000,20171000,13164000,,,,964,753;5485;6992;11398;14049;14556,True;True;True;True;True;True,773;5669;7243;11825;14552;15073,2201;2202;16333;16334;21003;21004;34015;34016;41622;43259;43260,4471;4472;4473;33372;33373;33374;43402;43403;69703;69704;85181;88865;88866;88867;88868;88869,4471;33372;43402;69704;85181;88869,,,,,-1;-1;-1;-1,protein_965,quanti,quanti,quanti,quanti
DDX39A,-1.29291282639208,0.0317688046825792,O00148;K7EPJ3;K7EQN7;F6QYI9;A0A0G2JJL7;K7EN69;K7ENP6;K7EL56;K7EIL8;F6SXL5;A0A0D9SEM9;A0A140T9K2;A0A140T9N3,O00148;K7EPJ3;K7EQN7,16;8;8;6;6;5;4;4;4;4;3;2;2,4;2;2;0;0;0;0;0;0;0;1;0;0,4;2;2;0;0;0;0;0;0;0;1;0;0,ATP-dependent RNA helicase DDX39A,sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2;tr|K7EPJ3|K7EPJ3_HUMAN ATP-dependent RNA helicase DDX39A (Fragment) OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=1;tr|K7EQN7|K7EQN7_HUMAN ATP-dependent RNA hel,13,16,4,4,10,10,13,12,1,2,2,1,1,2,2,1,41.7,16.6,16.6,49.129,427,427;189;255;187;187;130;92;108;125;136;96;64;97,0.0,5.8367,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37701,0.93795,31.188,5,1,Leave out requantified,0.22345,0.24447,0.62427,0.55957,0.78481,0.65381,1.1856,1.1534,,13.869,,,1,2,1,1,0,1,0,0,Median,Median,Median,Median,29.5,34.2,25.1,27.9,282680000,214890000,67794000,53703000,43842000,9860700,112840000,86730000,26111000,83746000,64032000,19713000,32395000,20286000,12109000,,,,965,933;2253;2397;2785;3117;3118;4908;5350;5351;6737;11216;11798;12475;16365;17671;17672,False;True;False;False;False;False;False;False;False;False;True;True;False;True;False;False,963;2334;2486;2885;3226;3227;5075;5530;5531;6980;11640;12233;12942;16945;18278;18279,2806;2807;2808;6956;7433;7434;8521;8522;8523;8524;9412;9413;9414;9415;9416;14640;14641;14642;14643;15955;15956;15957;15958;15959;15960;15961;15962;15963;15964;20261;20262;20263;20264;33488;33489;35203;37115;37116;37117;37118;48735;48736;52488;52489;52490;52491;52492;52493;52494;52495;52496;52497;52498,5732;5733;5734;5735;5736;5737;5738;5739;5740;5741;5742;5743;14537;15546;15547;15548;15549;17653;17654;17655;17656;17657;17658;17659;19348;19349;19350;19351;19352;19353;19354;19355;19356;19357;30038;30039;30040;30041;30042;30043;30044;32575;32576;32577;32578;32579;32580;32581;32582;32583;32584;32585;32586;32587;32588;32589;32590;32591;32592;32593;32594;32595;32596;32597;32598;32599;32600;41933;41934;41935;41936;41937;41938;41939;41940;41941;41942;41943;41944;41945;41946;41947;68655;68656;68657;68658;68659;68660;68661;68662;68663;68664;72186;75938;75939;75940;75941;75942;75943;75944;75945;100586;100587;100588;100589;100590;100591;100592;100593;100594;100595;100596;100597;108279;108280;108281;108282;108283;108284;108285;108286;108287;108288;108289;108290;108291;108292;108293;108294;108295,5743;14537;15547;17657;19349;19352;30042;32576;32596;41946;68657;72186;75939;100595;108280;108294,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_966,quanti,quanti,quanti,quanti
ACOT7,-0.434691221511034,0.125087280405053,O00154;K7EKP8,O00154;K7EKP8,8;6,8;6,8;6,Cytosolic acyl coenzyme A thioester hydrolase,sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3;tr|K7EKP8|K7EKP8_HUMAN Cytosolic acyl coenzyme A thioester hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=8,2,8,8,8,7,6,6,7,7,6,6,7,7,6,6,7,30.0,30.0,30.0,41.796,380,380;279,0.0,48.126,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37601,0.96047,14.864,29,3,Leave out requantified,0.32454,0.3391,0.45683,0.50585,1.0619,0.92288,0.93616,1.0801,26.715,19.084,16.743,14.701,8,9,6,6,2,0,1,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,26.1,23.4,23.4,27.4,1721900000,1199200000,522690000,331010000,244110000,86899000,443090000,324700000,118400000,621630000,417110000,204520000,326200000,213330000,112870000,,,,966,191;1836;6789;7561;9393;10702;11769;14838,True;True;True;True;True;True;True;True,192;1899;7037;7837;9743;11088;12204;15359,513;514;515;516;5702;5703;5704;5705;20430;20431;20432;20433;20434;22627;28283;28284;28285;28286;31961;31962;31963;31964;35116;44071;44072;44073;44074;44075;44076;44077,1055;1056;1057;1058;1059;11862;11863;11864;11865;11866;11867;42309;42310;42311;42312;42313;42314;42315;42316;42317;42318;42319;46813;58209;58210;58211;58212;58213;58214;65555;65556;65557;65558;65559;65560;65561;72007;90643;90644;90645;90646;90647,1057;11863;42312;46813;58214;65555;72007;90643,,,,,-1;-1,protein_967,quanti,quanti,quanti,quanti
