Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF7-N1,Intensity DCAF7-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,3.80122640843825,3.8851689207087,24.1592326418786,23.8634029169779
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,ABCB4;ABCB1,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,3.80122640843825,3.8851689207087,25.4010964315382,25.3548105652978
P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,11;11,11;11,11;11,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,11,11,22.2,3.80122640843825,3.8851689207087,27.9059831591297,27.8053817676833
Q8NE71;H0YGW7;A0A0G2JIC2;Q5STZ8,Q8NE71;H0YGW7,13;11;3;3,13;11;3;3,13;11;3;3,ATP-binding cassette sub-family F member 1,ABCF1,sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;tr|H0YGW7|H0YGW7_HUMAN ATP-binding cassette sub-family F member 1 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=1,13,13,19.5,3.80122640843825,3.8851689207087,27.9493791539647,27.777936515309
Q9UG63;C9JHK9;C9JZV3,Q9UG63;C9JHK9;C9JZV3,9;6;6,9;6;6,9;6;6,ATP-binding cassette sub-family F member 2,ABCF2,sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2;tr|C9JHK9|C9JHK9_HUMAN ATP-binding cassette sub-family F member 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=1;tr|C9JZV3|C9JZV3_HUMAN ATP-b,9,9,18.3,3.80122640843825,3.8851689207087,27.0033526867141,26.5749341593783
Q9NUQ8,Q9NUQ8,8,8,8,ATP-binding cassette sub-family F member 3,ABCF3,sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2,8,8,14.8,3.80122640843825,3.8851689207087,26.1261481533969,25.9359126497852
Q96IU4;B4DQI4;F8W9U3,Q96IU4;B4DQI4;F8W9U3,3;2;2,3;2;2,3;2;2,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,3,3,23.3,3.80122640843825,3.8851689207087,25.9899067138378,25.4482141271051
Q8IZP0;B6VEX4;A0A0A0MRT6;H0Y6B5,Q8IZP0;B6VEX4;A0A0A0MRT6,7;7;7;1,7;7;7;1,5;5;5;0,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,7,5,14.4,3.80122640843825,3.8851689207087,26.247750523388,26.039005367772
P00519;P42684,P00519;P42684,2;2,2;2,2;2,Tyrosine-protein kinase ABL1;Abelson tyrosine-protein kinase 2,ABL1;ABL2,sp|P00519|ABL1_HUMAN Tyrosine-protein kinase ABL1 OS=Homo sapiens OX=9606 GN=ABL1 PE=1 SV=4;sp|P42684|ABL2_HUMAN Tyrosine-protein kinase ABL2 OS=Homo sapiens OX=9606 GN=ABL2 PE=1 SV=1,2,2,2.1,3.80122640843825,3.8851689207087,22.469137989422,20.9369685570668
O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,17;17;16;16;10;10,17;17;16;16;10;10,3;3;2;2;2;2,Actin-binding LIM protein 1,ABLIM1,sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;tr|A0A3B3IS55|A0A3B3IS55_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;tr|F8W8M4|F8W8M4_HUMAN Actin-binding LIM protein 1 OS=Homo,17,3,25.8,21.5226937083541,21.3961845638212,28.1805397607883,27.8858812213942
I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,2;1;1;1,2;1;1;1,2;1;1;1,,ABR,tr|I3L3W0|I3L3W0_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L259|I3L259_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L2L,2,2,29.3,22.8493440099253,22.8832309586448,23.1248829926369,25.6563279666607
Q13085;Q59FY4;A0A087WWN5;A0A0C4DGT1;A0A087X0W4;A0A087X2F8;A0A087X126;S4R3S7;A0A087WVR6;A0A087WYS8,Q13085,110;54;6;5;4;3;3;3;1;1,110;54;6;5;4;3;3;3;1;1,95;48;6;2;1;1;1;0;0;1,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,110,95,58.6,29.0842843809214,30.0641968183988,33.2359198909874,33.0675182845669
O00763;F8W8T8;H0YGH5,O00763,18;4;4,5;1;1,5;1;1,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,sp|O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3,18,5,9.9,3.80122640843825,3.8851689207087,24.5036093439039,25.7845661569375
Q9H3P7,Q9H3P7,9,9,9,Golgi resident protein GCP60,ACBD3,sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,9,9,20.5,3.80122640843825,3.8851689207087,26.6438892100658,26.9017319939852
S4R3H4;Q9UKV3;E7EQT4;G3V3B0;A0A087WYN3,S4R3H4;Q9UKV3;E7EQT4,16;15;15;6;1,16;15;15;6;1,16;15;15;6;1,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,tr|S4R3H4|S4R3H4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=1;sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2;tr|E7EQT4|E7E,16,16,20.3,3.80122640843825,3.8851689207087,28.0513397312771,27.9819614293041
P53396;K7EIE7,P53396,6;1,6;1,6;1,ATP-citrate synthase,ACLY,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,6,6,6.4,22.0617746157574,24.0265646412577,25.354743320895,24.9626108126827
P21399,P21399,5,5,5,Cytoplasmic aconitate hydratase,ACO1,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,5,5,7.5,3.80122640843825,3.8851689207087,25.2578901873642,25.0248329423986
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,24.8695720057829,25.7957794810627,30.6256652328299,30.463339894737
O96019,O96019,2,2,2,Actin-like protein 6A,ACTL6A,sp|O96019|ACL6A_HUMAN Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1,2,2,9.8,3.80122640843825,3.8851689207087,28.2691904713167,24.3629240908977
P12814;H9KV75;G3V2W4;H7C5W8;G3V2N5;H0YJW3;P35609;H0YJ11;A0A494C1A0;G3V2X9;F6THM6;G3V5M4;A0A494C060;G3V380,P12814;H9KV75,26;25;10;10;9;7;6;6;6;4;4;3;3;1,26;25;10;10;9;7;6;6;6;4;4;3;3;1,15;14;5;6;5;4;1;3;1;1;1;1;0;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,26,15,38.1,3.80122640843825,3.8851689207087,29.260153746113,29.0207012120263
O43707;H7C144;F5GXS2;Q08043;K7EJH8;A0A087WSZ2;G3V2E8;A0A494C033;A0A494C166;Q9H254;M0QZQ3;C9JY79,O43707,20;8;8;3;3;3;2;2;2;1;1;1,9;5;5;0;2;0;0;0;0;1;1;1,9;5;5;0;2;0;0;0;0;1;1;1,Alpha-actinin-4,ACTN4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,20,9,28.0,3.80122640843825,3.8851689207087,26.5441274896391,26.980327881244
P55265,P55265,25,25,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,25,2,28.6,3.80122640843825,3.8851689207087,30.2223938094815,29.6406868544624
P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2;D6RAH3;D6RF25;P35612;D6RJE2;H0YFD8,P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,Alpha-adducin,ADD1,sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2;tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|E7ENY0|E7ENY0_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|A0A0A0MSR2|A0A0A0M,10,10,19.7,3.80122640843825,3.8851689207087,28.1754565815377,27.2819774132684
Q9UEY8,Q9UEY8,16,16,16,Gamma-adducin,ADD3,sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,16,16,27.2,3.80122640843825,3.8851689207087,28.5747754002138,28.6387551199059
Q9H2P0;A0A669KBJ7;A0A2R8Y6X0;A0A2R8YCL6,Q9H2P0;A0A669KBJ7;A0A2R8Y6X0,33;32;24;5,33;32;24;5,33;32;24;5,Activity-dependent neuroprotector homeobox protein,ADNP,sp|Q9H2P0|ADNP_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1;tr|A0A669KBJ7|A0A669KBJ7_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=4 SV=1;tr|A0A2R8Y6X0|A0A2,33,33,41.3,21.6749973651701,24.9117767090589,29.5187460097175,29.3730603486289
Q9UHB7;C9JCE0,Q9UHB7,11;2,11;2,11;2,AF4/FMR2 family member 4,AFF4,sp|Q9UHB7|AFF4_HUMAN AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1,11,11,13.0,3.80122640843825,3.8851689207087,27.0873987408807,26.5519790306276
Q6ULP2;B8ZZI9;A0A0A0MSN6,Q6ULP2;B8ZZI9,11;6;2,11;6;2,11;6;2,Aftiphilin,AFTPH,sp|Q6ULP2|AFTIN_HUMAN Aftiphilin OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=3;tr|B8ZZI9|B8ZZI9_HUMAN Aftiphilin (Fragment) OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=2,11,11,17.6,3.80122640843825,3.8851689207087,27.9681268492685,26.8600573353497
P52594;C9J2I0;B8ZZY2,P52594;C9J2I0;B8ZZY2,6;5;5,6;5;5,6;5;5,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,sp|P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2;tr|C9J2I0|C9J2I0_HUMAN Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=8;tr|B8ZZY2|B8ZZ,6,6,17.4,21.5007679818586,21.98531169059,27.4186046493561,27.0851712654646
Q8WYP5;H7C4S1,Q8WYP5,26;1,26;1,26;1,Protein ELYS,AHCTF1,sp|Q8WYP5|ELYS_HUMAN Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,26,26,16.7,21.6752989453688,22.1028356156714,28.7441630566847,28.3781556546311
O43865,O43865,6,6,2,Putative adenosylhomocysteinase 2,AHCYL1,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,6,2,12.1,20.4904239390103,21.8635163167876,26.6035695268123,26.3900490072837
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,11.1,3.80122640843825,3.8851689207087,22.9306485579508,23.4636361216132
Q09666;E9PKR9;E9PLK4;E9PJZ0;E9PJC6;E9PQE3;P48552,Q09666,409;5;5;4;4;3;1,409;5;5;4;4;3;1,408;5;5;4;4;3;1,Neuroblast differentiation-associated protein AHNAK,AHNAK,sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,409,408,81.6,32.4358165219729,33.0865132250226,38.4667148243077,38.3800398249239
Q8IVF2,Q8IVF2,184,183,183,Protein AHNAK2,AHNAK2,sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,184,183,59.7,25.3448579964601,27.4438744794758,34.8439433673157,34.4469604224138
O95433;G3V438;H0YJU2;H0YJG7;H0YJ63;G3V3W9,O95433;G3V438,11;8;5;5;3;2,11;8;5;5;3;2,11;8;5;5;3;2,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr|G3V438|G3V438_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,11,11,42.6,24.7860131181401,25.5139138126771,29.2660206438674,29.3239074606194
Q13155;A8MU58,Q13155;A8MU58,2;2,2;2,2;2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,sp|Q13155|AIMP2_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2;tr|A8MU58|A8MU58_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=A,2,2,15.0,3.80122640843825,3.8851689207087,27.0573436369337,23.4402507487947
O00170;E9PMH2;V9GYQ3,O00170;E9PMH2,3;2;1,3;2;1,3;2;1,AH receptor-interacting protein,AIP,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2;tr|E9PMH2|E9PMH2_HUMAN Peptidylprolyl isomerase (Fragment) OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2,3,3,12.7,20.8808420193508,24.2008261840589,4.49388046560681,4.39866973288861
Q92667;I3L0W0;I3L2A2;I3L2N7;I3L0K6;I3L364;I3L3K1;I3NI36,Q92667,19;9;7;7;5;3;2;1,19;9;7;7;5;3;2;1,19;9;7;7;5;3;2;1,"A-kinase anchor protein 1, mitochondrial",AKAP1,"sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",19,19,29.6,3.80122640843825,3.8851689207087,28.4482141271051,28.4238624218042
Q02952,Q02952,20,20,20,A-kinase anchor protein 12,AKAP12,sp|Q02952|AKA12_HUMAN A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,20,20,18.5,3.80122640843825,3.8851689207087,28.6428569685844,28.0702499496946
Q02040;X6RAJ1,Q02040;X6RAJ1,2;1,2;1,2;1,A-kinase anchor protein 17A,AKAP17A,sp|Q02040|AK17A_HUMAN A-kinase anchor protein 17A OS=Homo sapiens OX=9606 GN=AKAP17A PE=1 SV=2;tr|X6RAJ1|X6RAJ1_HUMAN A-kinase anchor protein 17A OS=Homo sapiens OX=9606 GN=AKAP17A PE=1 SV=1,2,2,5.2,28.8405599208271,29.3762314954346,23.2019480018814,24.0298392417899
Q9Y2D5,Q9Y2D5,32,32,6,A-kinase anchor protein 2,AKAP2,sp|Q9Y2D5|AKAP2_HUMAN A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,32,6,50.1,3.80122640843825,3.8851689207087,32.1698538753083,31.9281832841395
P51648;J3QRD1;A0A5F9ZI12;A0A5F9ZHI5;A0A5F9ZGX4;A0A5F9ZHN9;A0A5K1VW72;I3L1M4;J3QS00;A0A5F9ZHP6;A0A5F9ZHZ9,P51648;J3QRD1;A0A5F9ZI12;A0A5F9ZHI5;A0A5F9ZGX4;A0A5F9ZHN9;A0A5K1VW72;I3L1M4,4;4;4;4;4;4;3;2;1;1;1,4;4;4;4;4;4;3;2;1;1;1,3;3;3;3;3;3;2;2;1;0;1,Fatty aldehyde dehydrogenase,ALDH3A2,sp|P51648|AL3A2_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|J3QRD1|J3QRD1_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|A0A5F9ZI12|A0A5F9ZI12_HUMAN Aldehy,4,3,10.5,3.80122640843825,3.8851689207087,25.3963021742974,25.8437393722741
Q8TCU4;A0A087WV20;A0A087WTU9;H7C1D9;A0A494BZW1,Q8TCU4;A0A087WV20;A0A087WTU9,49;49;49;21;7,49;49;49;21;7,49;49;49;21;7,Alstrom syndrome protein 1,ALMS1,sp|Q8TCU4|ALMS1_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=4;tr|A0A087WV20|A0A087WV20_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=1;tr|A0A087WTU9|A0A087WTU9_HUMAN Alstrom syndrome protein 1 OS=Ho,49,49,19.6,3.80122640843825,3.8851689207087,30.101744016916,29.271129113612
Q86V81;E9PB61,Q86V81;E9PB61,3;3,3;3,3;3,THO complex subunit 4,ALYREF,sp|Q86V81|THOC4_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3;tr|E9PB61|E9PB61_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1,3,3,17.1,3.80122640843825,3.8851689207087,25.6566825678769,24.9272339790603
Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;E9PJF6;A0A590UJX5;E9PIJ1;H0YF16,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,10,10,13.7,3.80122640843825,3.8851689207087,27.355146740306,27.163653668047
