Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity TLE3-N1,Intensity TLE3-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q9NRN7;E9PLW6,Q9NRN7,4;1,4;1,4;1,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,4,4,16.2,22.3326801839944,22.0620711784346,24.8779251409578,24.397412467283
Q9NY61;A0A087WTH8;A0A087WWS8,Q9NY61,3;1;1,3;1;1,3;1;1,Protein AATF,AATF,sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1,3,3,7.9,4.20850867790137,4.29066777690332,25.0034170290706,24.2705633884014
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.20850867790137,4.29066777690332,24.1592326418786,24.5792570618908
P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,11;11,11;11,11;11,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,11,11,22.2,4.20850867790137,4.29066777690332,27.6502726749991,27.6502041855955
Q8NE71;H0YGW7;A0A0G2JIC2;Q5STZ8,Q8NE71;H0YGW7,12;10;3;3,12;10;3;3,12;10;3;3,ATP-binding cassette sub-family F member 1,ABCF1,sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;tr|H0YGW7|H0YGW7_HUMAN ATP-binding cassette sub-family F member 1 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=1,12,12,18.2,4.20850867790137,4.29066777690332,27.8486422322024,27.777936515309
Q9UG63;C9JHK9;C9JZV3,Q9UG63;C9JHK9;C9JZV3,10;6;6,10;6;6,10;6;6,ATP-binding cassette sub-family F member 2,ABCF2,sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2;tr|C9JHK9|C9JHK9_HUMAN ATP-binding cassette sub-family F member 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=1;tr|C9JZV3|C9JZV3_HUMAN ATP-b,10,10,22.5,24.2077903334834,23.9532259575982,27.0033526867141,26.5749341593783
Q9NUQ8,Q9NUQ8,9,9,9,ATP-binding cassette sub-family F member 3,ABCF3,sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2,9,9,17.8,4.20850867790137,4.29066777690332,26.4675281888522,26.3658465047751
Q96IU4;B4DQI4;F8W9U3,Q96IU4;B4DQI4;F8W9U3,3;2;2,3;2;2,3;2;2,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,3,3,23.3,4.20850867790137,4.29066777690332,25.9899067138378,25.4482141271051
Q8IZP0;B6VEX4;A0A0A0MRT6;H0Y6B5;B7Z836,Q8IZP0;B6VEX4;A0A0A0MRT6,6;6;6;1;1,6;6;6;1;1,5;5;5;0;0,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,6,5,12.6,4.20850867790137,4.29066777690332,26.247750523388,25.8289784289976
Q9NYB9;E7EW77;E7EP65;F8WAL6;E9PEZ7;A0A0C4DG21;E7EUA1;F8WAU3;F8WCD7;F8WAZ8;F8WBL5;F8WEB9,Q9NYB9;E7EW77;E7EP65;F8WAL6;E9PEZ7;A0A0C4DG21,3;3;3;3;2;2;1;1;1;1;1;1,2;2;2;2;1;1;1;1;1;1;1;1,2;2;2;2;1;1;1;1;1;1;1;1,Abl interactor 2,ABI2,sp|Q9NYB9|ABI2_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;tr|E7EW77|E7EW77_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;tr|E7EP65|E7EP65_HUMAN Abl interactor 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;t,3,2,7.6,25.3823814126198,25.6264487621234,22.4577876538986,22.8811221778843
P42684;P00519,P42684;P00519,3;2,3;2,3;2,Abelson tyrosine-protein kinase 2;Tyrosine-protein kinase ABL1,ABL2;ABL1,sp|P42684|ABL2_HUMAN Tyrosine-protein kinase ABL2 OS=Homo sapiens OX=9606 GN=ABL2 PE=1 SV=1;sp|P00519|ABL1_HUMAN Tyrosine-protein kinase ABL1 OS=Homo sapiens OX=9606 GN=ABL1 PE=1 SV=4,3,3,3.6,4.20850867790137,4.29066777690332,22.469137989422,23.5702216857903
O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,18;18;17;17;10;10,18;18;17;17;10;10,3;3;2;2;2;2,Actin-binding LIM protein 1,ABLIM1,sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;tr|A0A3B3IS55|A0A3B3IS55_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;tr|F8W8M4|F8W8M4_HUMAN Actin-binding LIM protein 1 OS=Homo,18,3,27.2,23.1011302486151,21.9896425747823,28.1805397607883,27.9545466242509
I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,2;1;1;1,2;1;1;1,2;1;1;1,,ABR,tr|I3L3W0|I3L3W0_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L259|I3L259_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L2L,2,2,29.3,25.3517140741931,23.2361964238172,23.1248829926369,26.0421406174902
Q13085;Q59FY4;A0A087WWN5;A0A0C4DGT1;A0A087X0W4;A0A087X2F8;A0A087X126;S4R3S7;A0A087WVR6;A0A087WYS8,Q13085;Q59FY4,128;66;6;5;4;3;3;3;1;1,128;66;6;5;4;3;3;3;1;1,112;59;6;2;1;1;1;0;0;1,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2;tr|Q59FY4|Q59FY4_HUMAN Acetyl-CoA carboxylase 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,128,112,60.3,32.4456415023715,33.4422091288762,33.2359198909874,33.0333801391482
O00763;F8W8T8;H0YGH5;A0A087WUA1,O00763,34;12;12;1,20;8;8;1,20;8;8;1,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,sp|O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3,34,20,17.9,25.4845296341586,26.5444812864752,24.5036093439039,25.7845661569375
Q9H3P7,Q9H3P7,9,9,9,Golgi resident protein GCP60,ACBD3,sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,9,9,26.9,25.1600340349102,24.1952790800087,26.6100630770979,26.9017319939852
S4R3H4;Q9UKV3;E7EQT4;G3V3B0;A0A087WYN3;G3V3T3,S4R3H4;Q9UKV3;E7EQT4,25;24;24;11;1;1,25;24;24;11;1;1,25;24;24;11;1;1,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,tr|S4R3H4|S4R3H4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=1;sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2;tr|E7EQT4|E7E,25,25,30.7,27.8788256084409,27.674517938318,28.0513397312771,28.055224420578
P53396,P53396,5,5,5,ATP-citrate synthase,ACLY,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,5,5,5.5,4.20850867790137,4.29066777690332,25.354743320895,24.9626108126827
P21399,P21399,5,5,5,Cytoplasmic aconitate hydratase,ACO1,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,5,5,7.5,4.20850867790137,4.29066777690332,25.2578901873642,25.0248329423986
Q86TX2;G3V4F2;A0A087X0W7;P49753;A0A087WT95;A0A2R8Y7H3,Q86TX2;G3V4F2;A0A087X0W7;P49753;A0A087WT95,18;17;17;16;16;2,18;17;17;16;16;2,18;17;17;16;16;2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT1;ACOT2,"sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2,",18,18,53.0,27.3473948267971,26.906441995117,30.427723293967,30.4397594998813
P12814;H9KV75;G3V2W4;H7C5W8;G3V2N5;H0YJW3;P35609;H0YJ11;A0A494C1A0;G3V2X9;F6THM6;G3V5M4;A0A494C060;G3V380,P12814;H9KV75,26;25;10;10;9;7;6;6;6;4;4;3;3;1,26;25;10;10;9;7;6;6;6;4;4;3;3;1,15;14;5;6;5;4;1;3;1;1;1;1;0;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,26,15,38.1,21.8567325015084,23.7599622896646,29.1947908138459,29.0681752531814
Q08043;A0A087WSZ2;D6RH00,Q08043;A0A087WSZ2,6;5;1,3;2;1,3;2;1,Alpha-actinin-3,ACTN3,sp|Q08043|ACTN3_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=2;tr|A0A087WSZ2|A0A087WSZ2_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=1,6,3,10.4,31.2843293009127,30.80226476791,21.2975969684813,22.7420543345058
O43707;F5GXS2;H7C144;K7EJH8;G3V2E8;A0A494C033;A0A494C166,O43707,20;8;7;3;2;2;2,9;5;4;2;0;0;0,8;5;4;2;0;0;0,Alpha-actinin-4,ACTN4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,20,8,28.9,4.20850867790137,4.29066777690332,26.7389234913818,26.980327881244
P55265,P55265,27,27,3,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,27,3,29.4,25.6231585650145,25.4647581139245,30.2223938094815,29.6776125523225
P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2;D6RAH3;D6RF25;P35612;D6RJE2;H0YFD8,P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,Alpha-adducin,ADD1,sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2;tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|E7ENY0|E7ENY0_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|A0A0A0MSR2|A0A0A0M,10,10,19.7,4.20850867790137,4.29066777690332,28.2500209959269,27.2819774132684
Q9UEY8,Q9UEY8,16,16,16,Gamma-adducin,ADD3,sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,16,16,25.5,4.20850867790137,4.29066777690332,28.5375665495567,28.6578548590448
Q9H2P0;A0A669KBJ7;A0A2R8Y6X0;A0A2R8YCL6,Q9H2P0;A0A669KBJ7;A0A2R8Y6X0,41;39;30;6,41;39;30;6,41;39;30;6,Activity-dependent neuroprotector homeobox protein,ADNP,sp|Q9H2P0|ADNP_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1;tr|A0A669KBJ7|A0A669KBJ7_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=4 SV=1;tr|A0A2R8Y6X0|A0A2,41,41,47.3,28.7810987766124,29.072679440176,29.4197903243114,29.3223179268837
P30566;A0A1B0GTG9;A0A1B0GWF8;A0A1B0GWJ0;A0A1B0GTJ7;A0A096LPA2;A0A096LNY4;A0A096LNY6;A0A0A6YY92,P30566;A0A1B0GTG9;A0A1B0GWF8;A0A1B0GWJ0;A0A1B0GTJ7;A0A096LPA2;A0A096LNY4;A0A096LNY6;A0A0A6YY92,2;2;2;2;2;1;1;1;1,2;2;2;2;2;1;1;1;1,2;2;2;2;2;1;1;1;1,Adenylosuccinate lyase,ADSL,sp|P30566|PUR8_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2;tr|A0A1B0GTG9|A0A1B0GTG9_HUMAN Adenylosuccinate lyase (Fragment) OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=1;tr|A0A1B0GWF8|A0A1B0GWF8_HUMAN Adenylosuccinate lyase (Fragment,2,2,4.8,23.1656253020938,21.971408833856,4.43802889902157,4.4166468749236
Q08117;K7ELE3;K7ELQ8,Q08117;K7ELE3,9;8;1,8;7;1,4;3;1,Amino-terminal enhancer of split,AES,sp|Q08117|TLE5_HUMAN TLE family member 5 OS=Homo sapiens OX=9606 GN=TLE5 PE=1 SV=4;tr|K7ELE3|K7ELE3_HUMAN TLE family member 5 (Fragment) OS=Homo sapiens OX=9606 GN=TLE5 PE=1 SV=1,9,4,49.2,29.8256890636157,27.6402386465574,4.43802889902157,4.4166468749236
Q9UHB7;C9JCE0,Q9UHB7,11;2,11;2,11;2,AF4/FMR2 family member 4,AFF4,sp|Q9UHB7|AFF4_HUMAN AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1,11,11,13.0,22.4759550358139,23.0973358296367,27.0873987408807,26.5519790306276
Q9Y4W6;K7EP56,Q9Y4W6,3;1,2;1,2;1,AFG3-like protein 2,AFG3L2,sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,3,2,4.9,4.20850867790137,4.29066777690332,23.8906895511704,23.405744994969
Q6ULP2;B8ZZI9;A0A0A0MSN6;A0A0U1RR74,Q6ULP2;B8ZZI9,11;7;2;1,11;7;2;1,11;7;2;1,Aftiphilin,AFTPH,sp|Q6ULP2|AFTIN_HUMAN Aftiphilin OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=3;tr|B8ZZI9|B8ZZI9_HUMAN Aftiphilin (Fragment) OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=2,11,11,16.0,4.20850867790137,4.29066777690332,27.6184192227173,26.9219562211269
P52594;C9J2I0;B8ZZY2,P52594;C9J2I0;B8ZZY2,8;6;6,8;6;6,7;5;5,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,sp|P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2;tr|C9J2I0|C9J2I0_HUMAN Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=8;tr|B8ZZY2|B8ZZ,8,7,22.8,27.552594758789,27.3711917068813,27.4186046493561,27.0851712654646
O95081;A0A0C4DG34,O95081;A0A0C4DG34,5;4,4;3,4;3,Arf-GAP domain and FG repeat-containing protein 2,AGFG2,sp|O95081|AGFG2_HUMAN Arf-GAP domain and FG repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=AGFG2 PE=1 SV=2;tr|A0A0C4DG34|A0A0C4DG34_HUMAN Arf-GAP domain and FG repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=AGFG2 PE=1 SV=1,5,4,13.5,24.1075721263331,24.5906368441674,4.43802889902157,4.4166468749236
Q8WYP5;H7C4S1,Q8WYP5,46;2,46;2,46;2,Protein ELYS,AHCTF1,sp|Q8WYP5|ELYS_HUMAN Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,46,46,27.3,27.878650236771,28.9345523113265,28.6287794211891,28.3781556546311
O43865,O43865,6,6,2,Putative adenosylhomocysteinase 2,AHCYL1,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,6,2,12.1,4.20850867790137,4.29066777690332,26.6035695268123,26.3900490072837
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,11.1,4.20850867790137,4.29066777690332,22.9306485579508,23.4636361216132
Q5TGY3,Q5TGY3,43,43,43,AT-hook DNA-binding motif-containing protein 1,AHDC1,sp|Q5TGY3|AHDC1_HUMAN AT-hook DNA-binding motif-containing protein 1 OS=Homo sapiens OX=9606 GN=AHDC1 PE=1 SV=1,43,43,39.0,29.8689423895163,29.9021059093861,4.43802889902157,4.4166468749236
Q09666;E9PKR9;E9PLK4;E9PJZ0;E9PJC6;E9PQE3;P48552,Q09666,417;6;6;5;5;3;1,417;6;6;5;5;3;1,416;6;6;5;5;3;1,Neuroblast differentiation-associated protein AHNAK,AHNAK,sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,417,416,82.1,32.886946038925,33.5922330467855,38.3621436272557,38.2875648108881
Q8IVF2,Q8IVF2,193,192,192,Protein AHNAK2,AHNAK2,sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,193,192,62.6,27.3999075067182,29.5269939046845,34.7256797804011,34.4447409859916
O95433;G3V438;H0YJG7;H0YJU2;H0YJ63;G3V3W9,O95433;G3V438;H0YJG7,13;10;7;5;4;2,13;10;7;5;4;2,13;10;7;5;4;2,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr|G3V438|G3V438_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr,13,13,51.2,25.2686016780914,26.3054429452211,29.3292004234309,29.3239074606194
E7ET48;Q8N1P7;E9PIR9;E7EX92,E7ET48;Q8N1P7;E9PIR9;E7EX92,3;3;3;2,3;3;3;2,3;3;3;2,Absent in melanoma 1-like protein,AIM1L,tr|E7ET48|E7ET48_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=1 SV=2;sp|Q8N1P7|CRBG2_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=2 SV=2;tr|E9PIR9|E9PIR9_HUMAN,3,3,2.1,27.9746783263029,28.2542628924407,24.3118824352119,26.5821895409773
Q92667;I3L0W0;I3L2A2;I3L2N7;I3L0K6;I3L364;I3L3K1;I3NI36,Q92667,20;9;7;7;5;3;2;1,20;9;7;7;5;3;2;1,20;9;7;7;5;3;2;1,"A-kinase anchor protein 1, mitochondrial",AKAP1,"sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",20,20,31.0,4.20850867790137,4.29066777690332,28.5677943999458,28.5913504490892
